source_headword	HR	example_HR
beg	moliti	Molio je za pomoć.
being	biće	Svako biće treba vodu.
bent	savijen	Metalna šipka bila je savijena.
bet	kladiti se	Kladim se da zna.
beyond	iza	Selo je iza rijeke.
bitter	gorak	Lijek je imao gorak okus.
blame	kriviti	Ne krivi vozača.
blind	slijep	Oslijepio je u mladosti.
bond	veza	Povjerenje stvara snažnu vezu.
breast	dojka	Osjetila je bol u dojci.
brief	kratak	Drži odgovor kratkim.
broad	širok	Rijeka je ovdje široka.
broadcast	emitirati	Govor je emitiran uživo.
budget	proračun	Proračun je vrlo ograničen.
bullet	metak	Metak je pogodio zid.
bunch	svežanj	Nosila je svežanj ključeva.
bush	grm	Ptica se sakrila u grmu.
cable	kabel	Kabel je oštećen.
calculate	izračunati	Izračunaj ukupni trošak.
cancel	otkazati	Otkazali su sastanak.
cancer	rak	Liječenje raka može biti teško.
capable	sposoban	Ona je dovoljno sposobna.
capacity	kapacitet	Dvorana je dosegnula svoj kapacitet.
capture	uhvatiti	Fotografija je uhvatila raspoloženje.
cast	glumačka postava	Glumačka postava je spremna.
cell	stanica	Svaka stanica sadrži podatke.
chairman	predsjednik	Predsjednik je otvorio sjednicu.
characteristic	osobina	Strpljenje je važna osobina.
chief	glavni	Glavni razlog bila je sigurnost.
circumstance	okolnost	Svaka okolnost je važna.
cite	citirati	Student je citirao tri izvora.
citizen	građanin	Svaki građanin može glasati.
civil	građanski	Slučaj se ticao građanskih prava.
classic	klasičan	To je klasičan primjer.
closely	usko	Radili su usko zajedno.
collapse	urušiti se	Stari se krov urušio.
combination	kombinacija	Ta kombinacija dobro funkcionira.
comfort	udobnost	Stolica pruža malo udobnosti.
command	naredba	Vojnici su izvršili naredbu.
commission	komisija	Komisija je istražila pritužbu.
commitment	predanost	Njezina je predanost ostala snažna.
committee	odbor	Odbor će sutra glasati.
commonly	obično	Ta se riječ obično koristi.
complicated	složen	Pravila su složena.
component	komponenta	Svaka komponenta je testirana.
concentration	koncentracija	Potrebna je potpuna koncentracija.
concept	koncept	Koncept je jednostavan.
concern	zabrinutost	Postoji zabrinutost za sigurnost.
concerned	zabrinut	Zabrinuti smo zbog troškova.
conduct	provoditi	Provode lokalno istraživanje.
confidence	povjerenje	Njezino povjerenje brzo je raslo.
conflict	sukob	Sukob je trajao godinama.
confusing	zbunjujući	Objašnjenje je bilo zbunjujuće.
conscious	pri svijesti	Nakon pada bio je pri svijesti.
conservative	konzervativan	Prijedlog je bio prilično konzervativan.
consideration	razmatranje	Uzmi to u obzir.
consistent	dosljedan	Njezin je rad dosljedno dobar.
constant	stalan	Tamo je bila stalna buka.
constantly	stalno	Telefon je stalno zvonio.
construct	izgraditi	Izgradili su novi most.
construction	gradnja	Gradnja počinje u lipnju.
contemporary	suvremen	Muzej prikazuje suvremenu umjetnost.
contest	natjecanje	Pobijedila je u natjecanju.
contract	ugovor	Ugovor završava u petak.
contribute	doprinijeti	Svatko može doprinijeti fondu.
contribution	doprinos	Njegov doprinos bio je važan.
convert	pretvoriti	Pretvorili su zgradu u stanove.
convinced	uvjeren	Uvjeren sam da je u pravu.
core	srž	Povjerenje je srž problema.
corporate	korporativni	Tvrtka je promijenila korporativnu strategiju.
council	vijeće	Vijeće je odobrilo plan.
county	županija	Županija je dobila nove granice.
courage	hrabrost	Pokazala je veliku hrabrost.
crash	nesreća	Nesreća je blokirala cestu.
creation	stvaranje	Stvaranje radnih mjesta traje.
creature	stvorenje	Stvorenje se kretalo polako.
crew	posada	Posada je ostala mirna.
crisis	kriza	Kriza je trajala mjesecima.
criterion	kriterij	Cijena nije jedini kriterij.
critic	kritičar	Kritičar je pohvalio film.
critical	kritičan	Situacija je kritična.
criticism	kritika	Kritiku je primio mirno.
criticize	kritizirati	Ne kritiziraj je prebrzo.
crop	usjev	Usjev je trebao više kiše.
crucial	ključan	Vrijeme je ovdje ključno.
cure	lijek	Još nema lijeka.
curve	zavoj	Cesta ima oštar zavoj.
curved	zakrivljen	Most ima zakrivljen oblik.
debate	rasprava	Rasprava je počela kasno.
debt	dug	Otplatio je svoj dug.
decent	pristojan	Našla je pristojan hotel.
declare	proglasiti	Vlada je proglasila izvanredno stanje.
decline	pad	Pad je bio neočekivan.
decoration	ukras	Ukras je visio iznad vrata.
decrease	smanjiti se	Troškovi su se polako smanjili.
deeply	duboko	Osjećao se duboko povrijeđeno.
defeat	poraz	Poraz je bilo teško prihvatiti.
defence	obrana	Obrana je bila dobro pripremljena.
defend	braniti	Branila je svoju odluku.
delay	kašnjenje	Kašnjenje je trajalo sat vremena.
deliberate	namjeran	To je bio namjeran izbor.
deliberately	namjerno	Namjerno je ignorirao upozorenje.
delight	radost	Vijest je donijela veliku radost.
delighted	oduševljen	Bila je oduševljena rezultatom.
delivery	dostava	Dostava stiže sutra.
demand	potražnja	Potražnja za sobama je rasla.
demonstrate	pokazati	Brojke pokazuju problem.
deny	zanijekati	Zanijekao je optužbu.
depressed	depresivan	Osjećala se depresivno.
depressing	depresivan	Vijest je bila depresivna.
depth	dubina	Izmjeri dubinu vode.
deserve	zaslužiti	Zaslužuje iskren odgovor.
desire	želja	Njegova želja za slobodom ostala je.
desperate	očajan	Napravila je očajnički pokušaj.
detailed	detaljan	Dobili smo detaljno izvješće.
detect	otkriti	Test može otkriti pogreške.
dig	kopati	Iskopali su duboku jamu.
disc	disk	Stari disk nije radio.
discipline	disciplina	Disciplina pomaže pri treningu.
dishonest	nepošten	Odgovor je zvučao nepošteno.
dismiss	odbaciti	Sudac je odbacio pritužbu.
display	prikazati	Zaslon prikazuje rezultate.
distribute	raspodijeliti	Raspodijelili su hranu u selu.
distribution	raspodjela	Raspodjela nije bila pravedna.
district	okrug	Okrug je dobio novu školu.
division	odjel	Radi u financijskom odjelu.
domestic	domaći	Domaći letovi su jeftiniji.
dominate	dominirati	Jedna je momčad dominirala utakmicom.
downwards	nadolje	Strelica pokazuje nadolje.
dozen	tucet	Kupio je tucet jaja.
draft	nacrt	Prvi nacrt je gotov.
drag	vući	Povuci stolicu prema zidu.
dramatic	dramatičan	Promjena je bila dramatična.
edit	urediti	Uredi tekst pažljivo.
edition	izdanje	Ovo izdanje sadrži nove kartice.
efficient	učinkovit	Sustav je učinkovit.
elderly	stariji	Stariji muškarac dobio je pomoć.
elect	izabrati	Izabrali su novog vođu.
elsewhere	drugdje	Moramo tražiti drugdje.
emerge	pojaviti se	Pojavile su se nove činjenice.
emotional	emocionalan	Razgovor je postao emocionalan.
emphasis	naglasak	Naglasak je na sigurnosti.
emphasize	naglasiti	Naglasi najvažniju točku.
enable	omogućiti	Aplikacija omogućuje brzo učenje.
encounter	naići na	Naišli su na problem.
engage	uključiti	Učitelj je uključio razred.
enhance	poboljšati	Ova značajka poboljšava iskustvo.
enquiry	istraga	Istraga počinje sutra.
ensure	osigurati	Osiguraj da su svi sigurni.
enthusiasm	entuzijazam	Njezin entuzijazam bio je zarazan.
enthusiastic	oduševljen	Skupina je bila oduševljena.
entire	cijeli	Došao je cijeli tim.
entirely	potpuno	Potpuno se slažem.
establish	osnovati	Osnovali su novu tvrtku.
estate	imanje	Imanje se nalazi izvan grada.
estimate	procjena	Procjena je bila preniska.
ethical	etički	Izbor je bio etički težak.
evaluate	procijeniti	Moramo procijeniti rezultate.
evil	zlo	Priča je o zlu.
examination	pregled	Pregled je trajao dva sata.
excuse	isprika	Isprika je zvučala slabo.
executive	rukovoditelj	Rukovoditelj je dao ostavku.
existence	postojanje	Postojanje pisma je potvrđeno.
expectation	očekivanje	Očekivanje je bilo previsoko.
expense	trošak	Ovaj trošak nije bio planiran.
exploration	istraživanje	Istraživanje je počelo rano.
expose	izložiti	Ne izlaži djecu dimu.
extend	produljiti	Produljili su rok.
extent	opseg	Opseg štete je nepoznat.
external	vanjski	Vanjski tim to provjerava.
extraordinary	izvanredan	To je bio izvanredan uspjeh.
facility	objekt	Objekt se otvara sljedeći tjedan.
failure	neuspjeh	Njegov neuspjeh bio je bolan.
faith	vjera	Izgubila je vjeru u sustav.
fault	greška	To nije bila tvoja greška.
feather	pero	Na stolu je ležalo pero.
fee	naknada	Naknada je uključena.
feedback	povratna informacija	Povratna informacija bila je korisna.
fellow	kolega	Moj kolega mi je pomogao.
finance	financije	Studira financije.
finding	nalaz	Nalaz je iznenadio tim.
firm	tvrtka	Tvrtka brzo raste.
flame	plamen	Plamen se povećao.
flash	bljesak	Bljesak je osvijetlio sobu.
flexible	fleksibilan	Raspored je fleksibilan.
float	plutati	Drvo može plutati na vodi.
folding	sklopiv	Kupila je sklopivu stolicu.
forgive	oprostiti	Mogu mu oprostiti.
former	bivši	Bivši direktor kratko je govorio.
fortune	bogatstvo	Izgubio je svoje bogatstvo.
found	osnovati	Osnovali su klub 1998. godine.
freedom	sloboda	Sloboda je važna svima.
frequency	učestalost	Učestalost se povećala.
fully	potpuno	Potpuno to razumijem.
fund	fond	Fond podržava istraživanje.
fundamental	temeljan	To je temeljno pravo.
funding	financiranje	Financiranje je odobreno.
furthermore	osim toga	Osim toga, plan je jeftiniji.
gain	dobiti	Dobili su veću podršku.
gang	banda	Banda je uhićena.
generate	generirati	Program generira izvješće.
genre	žanr	Sviđa mi se ovaj žanr.
govern	upravljati	Zakoni upravljaju radom zemlje.
grab	zgrabiti	Brzo zgrabi torbu.
gradually	postupno	Bol je postupno nestala.
grand	veličanstven	Hotel je imao veličanstven ulaz.
grant	dotacija	Škola je dobila dotaciju.
guarantee	jamstvo	Jamstvo vrijedi dvije godine.
handle	nositi se	Dobro se nosi s pritiskom.
harm	šteta	Pušenje uzrokuje štetu.
harmful	štetan	Ova tvar je štetna.
hearing	sluh	Sluh mu se pogoršao.
heaven	nebo	Nebo je bilo vedro.
heel	peta	Boli me peta.
hell	pakao	Putovanje je izgledalo kao pakao.
hesitate	oklijevati	Ne oklijevaj nazvati.
hollow	šuplji	Stablo je iznutra bilo šuplje.
holy	svet	Hram je sveto mjesto.
honour	čast	Bila je velika čast.
household	kućanstvo	Svako kućanstvo dobilo je pismo.
housing	stanovanje	Stanovanje je ovdje skupo.
humorous	duhovit	Njegova priča bila je duhovita.
humour	humor	Njezin humor smirio je sve.
hunting	lov	Lov je ovdje zabranjen.
illustrate	ilustrirati	Grafikon ilustrira razliku.
illustration	ilustracija	Ilustracija je na drugoj stranici.
imagination	mašta	Upotrijebi svoju maštu.
impatient	nestrpljiv	Bio je nestrpljiv u redu.
imply	nagovijestiti	Nagovještavaš da griješim?
impose	nametnuti	Vlada je nametnula nova pravila.
impress	impresionirati	Njezina je hrabrost sve impresionirala.
impressed	impresioniran	Bio sam impresioniran njezinim radom.
inch	inč	Zaslon je širok pet inča.
incident	incident	Incident je istražen.
income	prihod	Njezin se prihod ove godine povećao.
increasingly	sve više	To je sve više jasno.
industrial	industrijski	Grad ima industrijsko područje.
infection	infekcija	Infekcija se brzo širila.
inform	obavijestiti	Obavijesti nas o promjenama.
initial	početni	Početni troškovi bili su visoki.
initially	u početku	U početku nitko nije razumio.
initiative	inicijativa	Preuzela je inicijativu.
inner	unutarnji	Njegova unutarnja snaga ostala je.
insight	uvid	Istraživanje je dalo novi uvid.
insist	inzistirati	Inzistirala je na odgovoru.
inspire	nadahnuti	Njezina je priča nadahnula razred.
install	instalirati	Instaliraj aplikaciju danas.
instance	primjer	To je jasan primjer.
