source_headword	TL	example_TL
candle	kandila	Nakasindi ang kandila sa ibabaw ng mesa.
carbon	carbon	Sumisipsip ang mga puno ng karbon mula sa hangin.
casual	kaswal	Nagsuot siya ng kaswal na damit sa trabaho.
cave	kuweba	Pumasok sa kuweba ang mga hiker.
certainty	katiyakan	Hindi natin malalaman nang may katiyakan.
certificate	sertipiko	Nakatanggap siya ng sertipiko sa pagsasanay.
challenging	mapanghamon	Mapaghamong ngunit kapaki-pakinabang ang kurso.
championship	kampeonato	Umabot sa pinal ng kampeonato ang aming koponan.
charming	kaakit-akit	Mukhang kaakit-akit ang lumang kalye.
chase	habulin	Hinabol ng aso ang bola.
cheek	pisngi	Tumulo ang isang luha sa kanyang pisngi.
cheer	magsaya	Nagsimulang maghiyawan nang malakas ang mga tao.
choir	koro	Kumanta nang maganda ang koro.
chop	tadtarin	Hiwain ang mga sibuyas sa maliliit na piraso.
circuit	sirkito	Nakumpleto ng tumatakbo ang sirkito.
civilization	sibilisasyon	Hinubog ng sinaunang kabihasnan ang rehiyong ito.
clarify	linawin	Mangyaring linawin ang huling punto.
classify	iuri	Inuuri ng mga siyentipiko ang mga hayop ayon sa espesye.
clerk	klerk	Inimprenta ng klerk ang resibo.
cliff	bangin	Nagtatapos ang daan malapit sa isang bangin.
clinic	klinika	Nagbubukas ang klinika nang alas otso.
clip	klip	Ikinabit niya ang klip sa papel.
coincidence	nagkataon	Isang pagkakataon ang pagkikita namin doon.
collector	kolektor	Bumili ng mga pambihirang barya ang kolektor.
colony	kolonya	Gumawa ng malaking kolonya ang mga langgam.
colourful	makulay	Maliwanag at makulay ang palengke.
comic	komiks	Pinatawa kami ng komikong eksena.
commander	komander	Nagbigay ng malinaw na utos ang kumander.
comparative	komparatibo	Gumagamit ng pahambing na datos ang sanaysay.
completion	pagkumpleto	Malapit nang matapos ang tulay.
compose	buuin	Lilikha siya ng musika para sa pelikula.
composer	kompositor	Sumulat ng bagong kanta ang kompositor.
compound	compound	Naglalaman ng dalawang kemikal ang kompuwesto.
comprehensive	komprehensibo	Nagbibigay ng komprehensibong tagubilin ang gabay.
comprise	bumubuo	Binubuo ng limang miyembro ang koponan.
compulsory	sapilitan	Sapilitan ang pagdalo para sa klaseng ito.
concrete	kongkreto	Gawa sa kongkreto ang sahig.
confess	aminin	Inamin niya ang pagkakamali sa kanyang guro.
confusion	pagkalito	Nagdulot ng pagkalito ang pagkaantala.
consequently	dahil dito	Umuulan; kaya tumigil ang laro.
conservation	konserbasyon	Pinoprotektahan ng pangangalaga ang mga pambihirang hayop.
considerable	malaki	Umabot ng mahabang panahon ang pagkumpuni.
considerably	nang malaki	Tumaas nang malaki ang mga presyo ngayong taon.
consistently	palagi	Palagi siyang mahusay gumanap.
conspiracy	sabwatan	Inimbestigahan ng pulisya ang sabwatan.
consult	kumonsulta	Sumangguni sa iyong doktor bago uminom ng gamot.
consultant	consultant	Nagmungkahi ng bagong estratehiya ang tagapayo.
consumption	pagkonsumo	Bumaba ang pagkonsumo ng enerhiya noong nakaraang buwan.
controversial	kontrobersyal	Nananatiling kontrobersyal ang patakaran.
controversy	kontrobersiya	Nagdulot ng kontrobersya ang desisyon.
convenience	kaginhawahan	Nag-aalok ng malaking kombinyensya ang tindahan.
convention	kombensiyon	Magsisimula ang taunang kumbensyon sa Lunes.
conventional	kumbensiyonal	Pinili niya ang kumbensyonal na disenyo.
convey	iparating	Nagparating ng pakikiramay ang mensahe.
convincing	nakakumbinsi	Nakakakumbinsi ang kanyang paliwanag.
cope	harapin	Natuto siyang harapin ang stress.
corporation	korporasyon	Nagbukas ng bagong opisina ang korporasyon.
corridor	pasilyo	Makipot at tahimik ang pasilyo.
counter (long flat surface)	counter	Nasa counter ng kusina ang mga susi.
coverage	saklaw	Tumagal ng buong gabi ang pagbabalita.
crack	bitak	Lumitaw ang isang bitak sa dingding.
craft	sining	Nagbebenta siya ng mga yari kamay na sining online.
creativity	pagkamalikhain	Nakakatulong ang pagkamalikhain sa paglutas ng mga problema.
critically	nang may panunuri	Kritikal na mahalaga ang artikulo.
cruise	paglalayag	Nag-book sila ng cruise papuntang Greece.
cue	hudyat	Pinalampas ng aktor ang kanyang hudyat.
curious	kakaiba	Mausisa ang bata tungkol sa kalawakan.
curriculum	kurikulum	In-update ng paaralan ang kurikulum nito.
cute	nakatutuwa	Mukhang kyut ang tuta.
dairy	dairy	Gumagawa ang sakahan ng mga produktong dairy.
dare	mangahas	Hinahamon kitang subukan ito.
darkness	dilim	Napuno ng kadiliman ang silid.
database	database	Iniimbak ng database ang mga tala ng kostumer.
deadline	deadline	Biyernes ang deadline.
deadly	nakamamatay	May nakamamatay na kamandag ang ahas.
dealer	dealer	Nag-alok ng diskwento ang dealer ng kotse.
deck	deck	Nasa deck ang mga upuan.
defender	tagapagtanggol	Hinarang ng defender ang tira.
delete	tanggalin	Burahin ang lumang mensahe.
democracy	demokrasya	Nakadepende ang demokrasya sa malayang halalan.
democratic	demokratiko	Sinunod ng pagboto ang mga demokratikong alituntunin.
demonstration	demonstrasyon	Sumali ang mga estudyante sa isang demonstrasyon.
depart	umalis	Aalis ang tren sa tanghali.
dependent	nakadepende	Nakadepende ang bata sa mga nakatatanda.
deposit	deposito	Nagbayad siya ng deposito para sa apartment.
depression	depresyon	Nangangailangan ang depresyon ng propesyonal na suporta.
derive	kunin	Maraming salita ang nagmula sa Latin.
desperately	desperado	Lubha niyang kailangan ng tubig.
destruction	pagkasira	Nagdulot ng malawakang pagkasira ang bagyo.
determination	determinasyon	Pinahanga ng kanyang determinasyon ang coach.
devote	italaga	Inilalaan niya ang katapusan ng linggo sa pag-aaral.
differ	naiiba	Lubhang naiiba ang kanilang mga opinyon.
disability	kapansanan	May access para sa may kapansanan ang gusali.
disabled	hindi pinagana	Nanalo ng medalya ang atletang may kapansanan.
disagreement	hindi pagkakasundo	Natapos ang pulong sa di-pagkakasundo.
disappoint	biguin	Maaaring biguin ng resulta ang mga tagahanga.
disappointment	pagkabigo	Nakaramdam siya ng matinding pagkabigo.
discourage	panghinaan ng loob	Huwag pahinain ang loob ng mga batang mag-aaral.
disorder	karamdaman	Na-diagnose ng doktor ang isang karamdaman sa pagtulog.
distant	malayo	Mukhang malayo ang mga bundok.
distinct	natatangi	Magkaiba ang dalawang tunog.
distinguish	kilalanin	Matutukoy mo ba ang pagkakaiba ng mga kulay na ito?
distract	abalahin	Maaaring abalahin ng ingay ang mga estudyante.
disturb	gambalain	Mangyaring huwag istorbohin ang pasyente.
dive	pagsisid	Sisisid sila malapit sa bahura.
diverse	magkakaibang	May iba't ibang kultura ang lungsod.
diversity	pagkakaiba-iba	Ipinagdiriwang natin ang pagkakaiba-iba ng kultura.
divorce	diborsiyo	Naging mahirap ang diborsyo para sa lahat.
dominant	nangingibabaw	Kinontrol ng nangingibabaw na koponan ang laro.
donation	donasyon	Nakatanggap ng donasyon ang charity.
dot	tuldok	Maglagay ng tuldok pagkatapos ng numero.
downtown	bayan	Nagkita kami sa kabayanan pagkatapos ng trabaho.
dramatically	kapansin-pansin	Bumaba nang malaki ang presyo.
drought	tagtuyot	Sinira ng tagtuyot ang mga pananim.
dull	nakakabagot	Nakakabagot ang lecture.
dump	itapon	Huwag itapon ang basura rito.
duration	tagal	Tatlong oras ang tagal ng biyahe.
dynamic	dinamiko	Naging dinamiko ang silid-aralan.
economics	ekonomiks	Nag-aaral siya ng ekonomiks sa unibersidad.
economist	ekonomista	Hinulaan ng ekonomista ang mas mabagal na paglago.
editorial	editoryal	Pinuna ng editoryal ang batas.
efficiently	nang mahusay	Nagtrabaho nang mahusay ang koponan.
elbow	siko	Nasaktan niya ang kanyang siko.
electronics	elektronika	Nagbebenta ang tindahan ng mga electronics.
elegant	elegante	Mukhang elegante ang damit.
elementary	elementarya	Ipinapaliwanag ng aklat ang elementaryang balarila.
eliminate	alisin	Inalis ng koponan ang ilang mga pagkakamali.
embrace	yakapin	Tinanggap niya ang bagong ideya.
emission	emisyon	Bumaba ang antas ng emisyon ng mga sasakyan.
emotionally	emosyonal	Nagsalita siya nang may emosyon tungkol sa kanyang pamilya.
empire	imperyo	Tumagal ng ilang siglo ang imperyo.
enjoyable	nakakatuwa	Kasiya-siya ang paglalakbay.
entertaining	nakakaaliw	Nakakaaliw ang palabas.
entrepreneur	negosyante	Nagbukas ng kapehan ang negosyante.
envelope	sobre	Ilagay ang liham sa isang sobre.
equip	sangkapan	Lalagyan ng kagamitan ng paaralan ang laboratoryo.
equivalent	katumbas	Hindi katumbas ang isang dolyar dito.
era	panahon	Sinimulan ng pagtuklas ang isang bagong panahon.
erupt	pumutok	Maaaring pumutok ang bulkan sa lalong madaling panahon.
essentially	mahalaga	Sa esensya ay magkapareho ang dalawang pamamaraan.
ethic	etika	Matibay ang kanyang etika sa trabaho.
ethnic	etniko	Ipinagdiriwang ng pagdiriwang ang mga etnikong tradisyon.
evaluation	ebalwasyon	May kasamang huling pagsusuri ang kurso.
evident	malinaw	Halata ang kanyang kaba.
evolution	ebolusyon	Ipinapaliwanag ng ebolusyon ang maraming biyolohikal na pagbabago.
evolve	umunlad	Nagbabago ang mga wika sa paglipas ng panahon.
exceed	lumampas	Maaaring lumampas sa suplay ang demand.
exception	pagbubukod	Mayroong isang eksepsiyon.
excessive	labis	Nakakaabala sa mga kapitbahay ang labis na ingay.
exclude	ibukod	Hindi kasama sa listahan ang mga pansamantalang manggagawa.
exhibit	eksibit	Itatanghal ng museo ang mga bihirang litrato.
exit	labasan	Nasa likod ng entablado ang labasan.
exotic	kakaiba	Nagbebenta ang tindahan ng mga eksotikong prutas.
expansion	pagpapalawak	Nagplano ang kumpanya ng pagpapalawak.
expertise	kadalubhasaan	Napabuti ng kanyang kadalubhasaan ang proyekto.
exploit	samantalahin	Sinasamantala ng mga kriminal ang mahihinang password.
exposure	pagkakalantad	Maaaring makasira ng balat ang pagkakalantad sa araw.
extension	palugit	Nakatulong sa lahat ang palugit sa takdang araw.
extensive	malawak	May malawak na mapagkukunan ang aklatan.
extensively	nang malawakan	Napag-aralan nang malawakan ang paksa.
extract	sipi	Nagbibigay ng lasa ang katas ng vanilla.
fabric	tela	Malambot ang tela.
fabulous	kahanga-hanga	Napakasarap ng pagkain.
failed	bigo	May itinuro sa amin ang bigong pagtatangka.
fake	peke	Nagbenta ang website ng mga pekeng tiket.
fame	katanyagan	Binago ng kasikatan ang kanyang pribadong buhay.
fantasy	pantasya	Isang pantasya ang nobela.
fare	pamasahe	Tumaas ang pamasahe sa bus.
federal	pederal	Nag-anunsyo ng pondo ang pederal na pamahalaan.
fever	lagnat	May lagnat ang bata.
firefighter	bumbero	Iniligtas ng bumbero ang aso.
firework	paputok	Pumutok ang isang paputok sa itaas ng parke.
firm	matatag	Matigas ang kutson.
firmly	nang matatag	Mahigpit niyang isinara ang pinto.
flavour	lasa	May malinamnam na lasa ang sabaw.
fond	magiliw	Mahilig siya sa jazz.
fool	hangal	Huwag kang umaktong parang hangal.
forbid	ipagbawal	Ipinagbabawal ng batas ang paninigarilyo rito.
forecast	pagtataya	Ulan ang prediksiyon ng taya ng panahon.
format	pormat	Gamitin ang tamang pormat ng file.
formation	pormasyon	Mabilis na nagbabago ang pormasyon ng ulap.
formerly	dati	Dating paaralan ang gusali.
fortunate	mapalad	Mapalad kaming nakarating nang maaga.
forum	porum	Tinalakay sa porum ang patakaran sa klima.
fossil	posil	Natagpuan ang posil sa bato.
foundation	pundasyon	May matibay na pundasyon ang bahay.
founder	tagapagtatag	Sinalubong ng tagapagtatag ang mga bisita.
fraction	bahagi	Isang maliit na bahagi lamang ng mga estudyante ang dumating.
fragment	piraso	Isang piraso ng salamin ang nasa sahig.
framework	balangkas	Lumilikha ang batas ng malinaw na balangkas.
fraud	panloloko	Nakita ng bangko ang pandaraya.
freely	nang malaya	Malayang naglaro ang mga bata sa labas.
frequent	madalas	Nagpapabuti ng pokus ang madalas na pahinga.
fulfil	tuparin	Umaasa akong matutupad ko ang aking pangako.
full-time	buong oras	Mayroon siyang full-time na trabaho.
fundamentally	sa panimula	Ang plano ay magkaiba sa batayan.
furious	galit na galit	Galit na galit siya sa pagkaantala.
gaming	paglalaro	Mapapabuti ng gaming ang bilis ng reaksiyon.
gay	bakla	Sinusuportahan niya ang mga karapatan ng mga bakla.
gender	kasarian	Nagtanong ang sarbey tungkol sa kasarian.
gene	gene	Nakakaapekto ang gene sa kulay ng mata.
genetic	henetiko	May mga henetikong sanhi ang sakit.
genius	henyo	Isang henyo ang batang piyanista.
genuine	tunay	Mukhang totoo ang kanyang ngiti.
genuinely	nang tapat	Talagang gusto niyang tumulong.
gesture	kumpas	Gumawa siya ng palakaibigang kumpas.
gig	gig	Tumugtog ang banda sa isang gig sa bayan.
globalization	globalisasyon	Naaapektuhan ng globalisasyon ang mga lokal na negosyo.
globe	globo	Ipinapakita ng globo ang bawat kontinente.
golden	ginintuan	Naging ginintuan ang paglubog ng araw.
goodness	kabutihan	Naniniwala siya sa kabutihan ng tao.
gorgeous	napakaganda	Napakaganda ng hardin.
governor	gobernador	Nilagdaan ng gobernador ang panukalang batas.
graphic	grapiko	Nagulat ang mga manonood sa grapikong imahe.
graphics	graphics	May mga simpleng graphics ang laro.
greatly	nang labis	Labis na nakatulong ang iyong payo.
greenhouse	greenhouse	Tumutubo ang mga kamatis sa loob ng greenhouse.
grocery	groseri	Bumili siya ng mga groseri pagkatapos ng trabaho.
guideline	alituntunin	Ipinapaliwanag ng alituntunin ang ligtas na gawain.
habitat	tirahan	Isang tirahan ng ibon ang kagubatan.
harbour	daungan	Pumasok ang bangka sa daungan.
headquarters	punong tanggapan	Lumipat sa bayan ang punong-tanggapan ng kompanya.
