source_headword	ZH	example_ZH
metal	金属	大门是金属的。
method	方法	这个方法很有效。
middle	中间	站在中间。
might modal	可能；也许	晚些时候可能会下雨。
mind	想法；头脑	我改变了主意。
mine (belongs to me)	我的	这本书是我的。
mirror	镜子	照照镜子。
missing	丢失的；缺少的	我的钥匙不见了。
mobile	手机	我的手机在桌上。
monkey	猴子	猴子爬上了树。
moon	月亮	月亮很亮。
mostly	大多；主要地	课堂大多很安静。
motorcycle	摩托车	他骑摩托车。
movement	动作；移动	我看见树林里有动静。
musical	音乐的；音乐剧	这是一部音乐电影。
musician	音乐家	音乐家弹了吉他。
myself	我自己	这是我自己做的。
narrow	狭窄的	这条路很窄。
national	国家的；全国的	今天是全国性假日。
nature	自然	我爱大自然。
nearly	几乎；差不多	我们快到了。
necessary	必要的	这是必要的吗？
neck	脖子	我的脖子疼。
neither	两者都不	两个答案都不正确。
nervous	紧张的	她感到紧张。
network	网络	网络断了。
noise	噪音；声响	我听到很大的声音。
noisy	吵闹的	这条街很吵。
none	没有一个	他们一个也没来。
normal	正常的	这是正常的。
normally	通常	我通常很早起床。
notice	注意到；通知	你注意到那个标志了吗？
novel	小说	她写了一本小说。
nowhere	无处；哪里都不	没有地方可坐。
nut	坚果；螺母	这个坚果很硬。
ocean	海洋	海洋很深。
offer	提议；提供	我接受了这个提议。
officer	官员；警官	警官检查了我的票。
oil	油	往锅里加油。
onto	到……上面	把它放到架子上。
opportunity	机会	这是一个好机会。
option	选择	选择最好的选项。
ordinary	普通的	那是普通的一天。
organization	组织	这个组织帮助学生。
organize	组织；整理	请整理这些文件。
original	原来的；原始的	保留原始收据。
ourselves	我们自己	我们自己做了晚饭。
oven	烤箱	烤箱很热。
owner	主人；所有者	店主打开了商店。
pack	打包；收拾	现在收拾你的包。
pain	疼痛	我背部疼。
painter	画家；油漆工	油漆工刷完了墙。
palace	宫殿	宫殿很古老。
pants	裤子	这条裤子太长。
parking	停车	这里停车很难。
particular	特定的；特别的	我需要一本特定的书。
pass	递；通过	把盐递给我。
passenger	乘客	每位乘客都需要一张票。
patient	有耐心的	对孩子要有耐心。
pattern	图案；模式	这个图案很简单。
peace	和平	我们都想要和平。
penny	便士	我找到了一枚便士。
per	每；按照	票价是每人十美元。
per cent	百分之	百分之五很少。
perform	表演；执行	乐队今晚将表演。
perhaps	也许	也许她在家。
permission	许可	先请求许可。
personality	性格	他性格友好。
pet	宠物	我的宠物是一只猫。
petrol	汽油	这辆车需要汽油。
physical	身体的；物理的	体育锻炼有益健康。
physics	物理学	物理很难。
pick	选择；采摘	选择一张卡片。
pilot	飞行员	飞行员说得很清楚。
planet	行星	地球是一颗行星。
plastic	塑料；塑料的	这个瓶子是塑料的。
plate	盘子	把食物放在盘子上。
platform	站台；平台	在二号站台等。
pleased	高兴的；满意的	很高兴见到你。
pocket	口袋	票在我的口袋里。
polite	有礼貌的	对每个人都要有礼貌。
pollution	污染	污染伤害海洋。
pop	流行音乐	我喜欢流行音乐。
population	人口	人口正在增长。
position	位置；姿势	改变你的位置。
possession	拥有物；所有权	这枚戒指是我的财物。
possibility	可能性	有下雨的可能。
poster	海报	把海报贴在墙上。
power	电力；力量	电脑需要电源。
predict	预测	我们无法预测天气。
president	总统；主席	总统发表了讲话。
prevent	防止；预防	洗手可以预防疾病。
print	打印	打印这份文件。
printer	打印机	打印机坏了。
prison	监狱	他进了监狱。
prize	奖品；奖	她赢得了奖品。
process	过程	这个过程需要时间。
produce	生产；产生	农场生产食物。
professional	专业的；职业的	她是一名专业舞者。
professor	教授	教授回答了问题。
profile	个人资料	更新你的个人资料。
program	节目；程序	节目现在开始。
progress	进步；进展	我们今天取得了进步。
promise	承诺；答应	遵守你的承诺。
pronounce	发音	请读出这个单词。
protect	保护	保护你的眼睛。
provide	提供	他们提供免费水。
pub	酒吧	我们在酒吧见面。
public	公共的；公众的	这个公园是公共的。
publish	出版；发布	他们出版一本杂志。
pull	拉	拉门。
purpose	目的	目的是什么？
push	推；按	按下按钮。
quality	质量	质量很高。
quantity	数量	检查数量。
queen	女王；王后	女王挥了挥手。
quietly	安静地；轻声地	轻声说话。
race (competition)	比赛；赛跑	比赛很快开始。
railway	铁路	铁路关闭了。
raise	举起；提高	举起你的手。
rate	价格；比率	酒店价格很高。
rather	相当；宁愿	我相当累。
reach	够到；到达	你能够到架子吗？
react	反应	他怎么反应的？
realize	意识到；明白	我意识到我的错误。
receive	收到	你收到我的消息了吗？
recent	最近的	这是一张最近的照片。
recently	最近	我最近搬到了这里。
reception	接待处；招待会	接待会在星期一。
recipe	食谱	这个食谱很简单。
recognize	认出；认可	我认得那首歌。
recommend	推荐	我推荐这本书。
record	记录；唱片	保留付款记录。
recording	录音	录音听起来很清楚。
recycle	回收	回收纸和塑料。
reduce	减少；降低	把火调小。
refer	参考；提到	请参考第二页。
refuse1	拒绝	我拒绝说谎。
region	地区	这个地区很冷。
regular	常规的；固定的	他是常客。
relationship	关系	他们的关系很牢固。
remove	移除；脱掉	脱掉你的鞋。
repair	修理	今天修理自行车。
replace	替换	更换旧电池。
reply	回复	请尽快回复。
reporter	记者	记者做了笔记。
request	请求	我提出了一个请求。
research	研究	我们研究当地历史。
researcher	研究人员	研究人员检查了数据。
respond	回应	请今天回复。
response	回应；回答	她的回应很快。
rest (remaining part)	剩余部分	稍后吃剩下的部分。
rest (sleep/relax)	休息	你需要休息。
review	复习；评论	今晚复习你的笔记。
ring1	戒指	她戴着一枚金戒指。
ring2	打电话	午饭后给我打电话。
rise	上升；上涨	价格每年上涨。
rock (stone)	岩石；石头	这块石头很重。
