source_headword	ET	example_ET
material	materjal	See materjal tundub pehme.
mathematics	matemaatika	Matemaatika on mu lemmikõppeaine.
maths	matemaatika	Matemaatika on minu jaoks raske.
matter	tähtis olema	See ei ole tähtis.
may modal	võima	Sa võid nüüd lahkuda.
media	meedia	Meedia kajastas lugu.
medical	meditsiiniline	Ta vajab meditsiinilist abi.
medicine	ravim	Võta see ravim pärast lõunat.
memory	mälu	Minu mälu on hea.
mention	mainima	Ära maini minu nime.
metal	metall; metallist	Värav on metallist.
method	meetod	See meetod töötab hästi.
middle	keskpaik	Seisa keskel.
might modal	võib; võiks	Hiljem võib vihma sadada.
mind	meel; mõte	Ma muutsin meelt.
mine (belongs to me)	minu oma	See raamat on minu oma.
mirror	peegel	Vaata peeglisse.
missing	kadunud	Minu võtmed on kadunud.
mobile	mobiiltelefon	Minu mobiiltelefon on laual.
monkey	ahv	Ahv ronis puu otsa.
moon	kuu	Kuu on hele.
mostly	enamasti	Klass on enamasti vaikne.
motorcycle	mootorratas	Ta sõidab mootorrattaga.
movement	liikumine	Ma nägin puudes liikumist.
musical	muusikaline; muusikal	See on muusikaline film.
musician	muusik	Muusik mängis kitarri.
myself	ise	Ma tegin selle ise.
narrow	kitsas	Tee on kitsas.
national	riiklik; rahvuslik	See on riigipüha.
nature	loodus	Ma armastan loodust.
nearly	peaaegu	Me oleme peaaegu kohal.
necessary	vajalik	Kas see on vajalik?
neck	kael	Mu kael valutab.
neither	kumbki mitte	Kumbki vastus ei ole õige.
nervous	närviline	Ta tunneb end närvilisena.
network	võrk	Võrk ei tööta.
noise	müra	Ma kuulsin valju müra.
noisy	lärmakas	Tänav on lärmakas.
none	mitte ükski	Mitte ükski neist ei tulnud.
normal	normaalne	See on normaalne.
normally	tavaliselt	Ma ärkan tavaliselt vara.
notice	märkama	Kas sa märkasid silti?
novel	romaan	Ta kirjutas romaani.
nowhere	mitte kuskil	Pole kuskil istuda.
nut	pähkel	Pähkel on kõva.
ocean	ookean	Ookean on sügav.
offer	pakkumine	Ma võtsin pakkumise vastu.
officer	ametnik	Ametnik kontrollis mu piletit.
oil	õli	Lisa pannile õli.
onto	peale	Pane see riiuli peale.
opportunity	võimalus	See on hea võimalus.
option	valik	Vali parim valik.
ordinary	tavaline	See oli tavaline päev.
organization	organisatsioon	Organisatsioon aitab õpilasi.
organize	korraldama; korrastama	Palun korrasta failid.
original	originaal; algne	Hoia originaalkviitung alles.
ourselves	ise	Me tegime õhtusöögi ise.
oven	ahi	Ahi on kuum.
owner	omanik	Omanik avas poe.
pack	pakkima	Paki oma kott nüüd.
pain	valu	Ma tunnen seljas valu.
painter	maalija; värvija	Värvija lõpetas seina.
palace	palee	Palee on vana.
pants	püksid	Need püksid on liiga pikad.
parking	parkimine	Siin on parkimine raske.
particular	konkreetne	Ma vajan konkreetset raamatut.
pass	ulatama	Ulata mulle sool.
passenger	reisija	Igal reisijal on piletit vaja.
patient	kannatlik	Ole lastega kannatlik.
pattern	muster	See muster on lihtne.
peace	rahu	Me kõik tahame rahu.
penny	penn; münt	Ma leidsin mündi.
per	kohta	Piletid maksavad kümme dollarit inimese kohta.
per cent	protsent	Viis protsenti on vähe.
perform	esinema	Bänd esineb täna õhtul.
perhaps	võib-olla	Võib-olla on ta kodus.
permission	luba	Küsi kõigepealt luba.
personality	isiksus	Tal on sõbralik isiksus.
pet	lemmikloom	Minu lemmikloom on kass.
petrol	bensiin	Auto vajab bensiini.
physical	füüsiline	Füüsiline treening aitab tervist.
physics	füüsika	Füüsika on raske.
pick	valima	Vali üks kaart.
pilot	piloot	Piloot rääkis selgelt.
planet	planeet	Maa on planeet.
plastic	plast; plastist	See pudel on plastist.
plate	taldrik	Pane toit taldrikule.
platform	perroon; platvorm	Oota teisel perroonil.
pleased	rõõmus	Mul on rõõm sinuga tutvuda.
pocket	tasku	Pilet on minu taskus.
polite	viisakas	Ole kõigi vastu viisakas.
pollution	reostus	Reostus kahjustab ookeani.
pop	popmuusika	Mulle meeldib popmuusika.
population	rahvaarv	Rahvaarv kasvab.
position	asend; positsioon	Muuda oma asendit.
possession	omand	See sõrmus on minu omand.
possibility	võimalus	On vihma võimalus.
poster	plakat	Pane plakat seinale.
power	elekter; jõud	Arvuti vajab elektrit.
predict	ennustama	Me ei saa ilma ennustada.
president	president	President pidas kõne.
prevent	ennetama	Pese käsi, et haigust ennetada.
print	printima	Prindi dokument välja.
printer	printer	Printer on katki.
prison	vangla	Ta läks vanglasse.
prize	auhind	Ta võitis auhinna.
process	protsess	Protsess võtab aega.
produce	tootma	Talud toodavad toitu.
professional	professionaalne	Ta on professionaalne tantsija.
professor	professor	Professor vastas küsimustele.
profile	profiil	Uuenda oma profiili.
program	programm	Programm algab nüüd.
progress	edenemine	Me tegime täna edusamme.
promise	lubadus	Pea oma lubadust.
pronounce	hääldama	Palun häälda see sõna.
protect	kaitsma	Kaitse oma silmi.
provide	pakkuma; tagama	Nad pakuvad tasuta vett.
pub	pub; kõrts	Me kohtusime pubis.
public	avalik	Park on avalik.
publish	avaldama; kirjastama	Nad avaldavad ajakirja.
pull	tõmbama	Tõmba ust.
purpose	eesmärk	Mis on eesmärk?
push	vajutama; lükkama	Vajuta nuppu.
quality	kvaliteet	Kvaliteet on kõrge.
quantity	kogus	Kontrolli kogust.
queen	kuninganna	Kuninganna lehvitas.
quietly	vaikselt	Räägi vaikselt.
race (competition)	võistlus	Võistlus algab varsti.
railway	raudtee	Raudtee on suletud.
raise	tõstma	Tõsta käsi.
rate	hind; määr	Hotelli hind on kõrge.
rather	üsna	Ma olen üsna väsinud.
reach	ulatuma; kätte saama	Kas sa ulatud riiulini?
react	reageerima	Kuidas ta reageeris?
realize	aru saama	Ma saan oma veast aru.
receive	saama	Kas sa said mu sõnumi?
recent	hiljutine	See on hiljutine foto.
recently	hiljuti	Ma kolisin hiljuti siia.
reception	vastuvõtt	Vastuvõtt on esmaspäeval.
recipe	retsept	See retsept on lihtne.
recognize	ära tundma	Ma tunnen selle laulu ära.
recommend	soovitama	Ma soovitan seda raamatut.
record	kirje; arvestus	Hoia maksete üle arvestust.
recording	salvestis	Salvestis kõlab selgelt.
recycle	taaskasutama	Taaskasuta paberit ja plasti.
reduce	vähendama	Vähenda kuumust.
refer	viitama	Vaata teist lehekülge.
refuse1	keelduma	Ma keeldun valetamast.
region	piirkond	See piirkond on külm.
regular	tavaline; püsiv	Ta on püsiklient.
relationship	suhe	Nende suhe on tugev.
remove	eemaldama	Võta kingad jalast.
repair	parandama	Paranda ratas täna.
replace	asendama	Asenda vana patarei.
reply	vastama	Palun vasta varsti.
reporter	reporter	Reporter tegi märkmeid.
request	palve	Ma esitasin palve.
research	uurima	Me uurime kohalikku ajalugu.
researcher	teadlane; uurija	Uurija kontrollis andmeid.
respond	vastama	Palun vasta täna.
response	vastus	Tema vastus oli kiire.
rest (remaining part)	ülejäänu	Söö ülejäänu hiljem.
rest (sleep/relax)	puhkama	Sa pead puhkama.
review	üle vaatama	Vaata oma märkmed täna õhtul üle.
ring1	sõrmus	Ta kandis kuldsõrmust.
ring2	helistama	Helista mulle pärast lõunat.
rise	tõusma	Hinnad tõusevad igal aastal.
rock (stone)	kivi	Kivi on raske.
