source_headword	IS	example_IS
ton	tonn	Vörubíllinn flutti eitt tonn af sandi.
tonne	tonn	Sendingin vóg eitt tonn.
tournament	mót	Tennismótið byrjar á morgun.
trace	rekja	Vísindamenn geta rakið uppruna veirunnar.
trading	viðskipti	Hlutabréfaviðskipti stöðvuðust á hádegi.
tragedy	harmleikur	Slysið var hræðilegur harmleikur.
tragic	sorglegur	Áreksturinn hafði hörmulegar afleiðingar.
trait	eiginleiki	Þolinmæði er gagnlegur eiginleiki.
transmit	bera	Moskítóflugur geta borið sjúkdóma.
transportation	samgöngur	Almenningssamgöngur eru troðfullar í dag.
trap	fanga	Kassinn getur fangað skordýr á öruggan hátt.
treasure	fjársjóður	Gamla kistan innihélt fjársjóð.
tribe	ættbálkur	Ættbálkurinn verndaði hefðir sínar.
trigger	kveikja í	Reykur getur sett af stað viðvörunina.
trillion	billjón	Skuldin náði einni billjón dollara.
troop	hersveit	Hersveitin færði sig nær landamærunum.
tsunami	flóðbylgja	Flóðbylgjan eyðilagði strandhús.
ultimate	endanlegur	Endanlegt markmið er friður.
unacceptable	óásættanlegur	Töfin var óásættanleg fyrir farþega.
uncertainty	óvissa	Óvissa gerði fjárfesta taugaóstyrka.
undergo	gangast undir	Sjúklingurinn mun gangast undir skurðaðgerð á morgun.
undertake	taka að sér	Liðið mun taka að sér könnun.
unfold	þróast	Leikritið fór hægt að þróast.
unfortunate	óheppilegur	Villan var óheppileg en hægt að laga hana.
unite	sameina	Leiðtogarnir reyndu að sameina flokkinn.
unity	samstaða	Ræðan kallaði á þjóðarsamstöðu.
universal	alhliða	Forritið notar alhliða hönnun.
urgent	brýnn	Spítalinn fékk brýnt símtal.
usage	notkun	Leiðarvísirinn útskýrir rétta notkun.
useless	gagnslaus	Brotna hleðslutækið er gagnslaust.
valid	gildur	Vegabréfið þitt er enn gilt.
variation	breytileiki	Það er mikill breytileiki í verði.
vertical	lóðréttur	Línuritið hefur lóðréttan ás.
viewpoint	sjónarmið	Sjónarmið hennar breyttist eftir kappræðurnar.
visa	vegabréfsáritun	Hann sótti um námsmannaáritun.
visible	sýnilegur	Skiltið er sýnilegt héðan.
voluntary	valfrjáls	Námskeiðið inniheldur valfrjálsar vinnustofur.
voting	kosning	Snemmbúin kosning byrjar í næstu viku.
wander	reika	Ferðamenn reika um gamla markaðinn.
warming	hlýnun	Hlýnun jarðar hefur áhrif á yfirborð sjávar.
weekly	vikulegur	Liðið heldur vikulegan fund.
weird	skrýtinn	Hávaðinn hljómaði skrýtið.
welfare	velferð	Forritið styður velferð barna.
wheat	hveiti	Bóndinn ræktar hveiti.
whoever	hver sem	Hver sem kemur fyrstur ætti að bíða úti.
widespread	útbreiddur	Stormurinn olli útbreiddu tjóni.
wisdom	viska	Amma hennar deildi hagnýtri visku.
withdraw	draga til baka	Hann ákvað að draga umsókn sína til baka.
workforce	vinnuafl	Vinnuaflið þarf nýja færni.
workplace	vinnustaður	Vinnustaðurinn er með skýrar öryggisreglur.
workshop	vinnustofa	Vinnustofan byrjar klukkan tíu.
worm	ormur	Ormur skreið yfir moldina.
wrist	úlnliður	Hún meiddi sig á úlnliðnum.
