simplified	HI	example_HI
层	मंज़िल; परत	इस इमारत की तीन मंज़िलें हैं।
差	खराब; कम; अंतर होना	आज मौसम बहुत खराब है।
超市	सुपरमार्केट	मैं रोटी खरीदने सुपरमार्केट जा रहा हूँ।
衬衫	कमीज़; शर्ट	यह कमीज़ बहुत साफ़ है।
城市	शहर	बीजिंग एक बड़ा शहर है।
成绩	अंक; परिणाम; प्रदर्शन	उसके गणित के अंक बहुत अच्छे हैं।
迟到	देर से पहुँचना	कक्षा में देर से मत आओ।
除了	के अलावा; छोड़कर	कॉफ़ी के अलावा मुझे चाय भी चाहिए।
船	नाव; जहाज़	हम नाव से उस शहर जा रहे हैं।
春	वसंत	वसंत में बहुत फूल होते हैं।
词典	शब्दकोश	यह शब्दकोश बहुत उपयोगी है।
聪明	होशियार; बुद्धिमान	यह बच्चा बहुत होशियार है।
打扫	साफ़ करना; झाड़ू लगाना	मैं सप्ताहांत में कमरा साफ़ करता हूँ।
打算	योजना बनाना; इरादा; योजना	कल तुम्हारी क्या योजना है?
带	लाना; साथ ले जाना; साथ रखना	कृपया अपना पासपोर्ट साथ लाओ।
担心	चिंता करना; चिंता	चिंता मत करो, मैं तुम्हारी मदद करूँगा।
蛋糕	केक	यह केक बहुत मीठा है।
当然	बिलकुल; अवश्य	बिलकुल कर सकते हो।
地	क्रिया-विशेषण बनाने वाला संरचनात्मक कण	वह खुशी से मुस्कुराया।
灯	बत्ती; दीपक	कृपया बत्ती जला दीजिए।
地方	जगह; स्थान	यह जगह बहुत शांत है।
地铁	मेट्रो	मैं रोज़ मेट्रो से काम पर जाता हूँ।
地图	नक्शा	मैं नक्शे में स्कूल ढूँढ़ता हूँ।
电梯	लिफ़्ट	लिफ़्ट बाईं ओर है।
电子邮件	ईमेल	मैं शिक्षक को ईमेल भेजता हूँ।
东	पूर्व	सूरज पूर्व से निकलता है।
冬	सर्दी; शीत ऋतु	सर्दियों में मुझे गरम चाय पीना पसंद है।
动物	जानवर; पशु	पांडा चीन का प्रसिद्ध जानवर है।
短	छोटा; छोटी; छोटे	यह पैंट बहुत छोटी है।
段	अनुच्छेद; भाग	कृपया यह अनुच्छेद पढ़िए।
锻炼	व्यायाम करना; अभ्यास से मज़बूत करना	मैं रोज़ सुबह व्यायाम करता हूँ।
多么	कितना; कैसी	यहाँ का वातावरण कितना अच्छा है!
饿	भूखा; भूखी; भूखे	मुझे भूख लगी है और मैं रोटी खाना चाहता हूँ।
耳朵	कान	मेरे कान में थोड़ा दर्द है।
发	भेजना; जारी करना	मैं शाम को ईमेल भेजता हूँ।
发烧	बुखार होना	उसे बुखार है, इसलिए वह स्कूल नहीं जा सकता।
发现	पाना; खोज निकालना	मैंने पाया कि यह तरीका अच्छा है।
方便	सुविधाजनक	मेट्रो लेना सुविधाजनक है।
放	रखना; छोड़ना	कृपया किताब मेज़ पर रख दीजिए।
放心	निश्चिंत होना	निश्चिंत रहो, मैं समय पर पहुँचूँगा।
分	बाँटना; अलग करना	कृपया केक सबको बाँट दीजिए।
复习	दोहराना; पुनरावृत्ति	परीक्षा से पहले मुझे दोहराना है।
附近	आस-पास; पास का इलाका	आस-पास एक रेस्तराँ है।
干净	साफ़; स्वच्छ	यह कमरा बहुत साफ़ है।
感冒	ज़ुकाम होना; ज़ुकाम	मुझे ज़ुकाम है और मैं आराम करना चाहता हूँ।
感兴趣	रुचि होना	मुझे चीनी भाषा में बहुत रुचि है।
刚才	अभी-अभी; थोड़ी देर पहले	अभी-अभी तुम्हें किसने फ़ोन किया?
个子	कद; डील-डौल	उसका कद लंबा है।
根据	के अनुसार; आधार	नक्शे के अनुसार स्कूल पूर्व में है।
跟	के साथ; पीछा करना	मैं दोस्त के साथ पार्क जाता हूँ।
更	और ज़्यादा; अधिक	आज कल से और ठंड है।
公斤	किलोग्राम	इन सेबों का वज़न एक किलोग्राम है।
公园	पार्क	बच्चे पार्क में खेल रहे हैं।
故事	कहानी	दादाजी मुझे कहानी सुनाते हैं।
刮风	हवा चलना	आज हवा चल रही है, साइकिल मत चलाओ।
关	बंद करना	कृपया दरवाज़ा बंद कर दीजिए।
关系	संबंध; रिश्ता	मेरे और सहकर्मी के संबंध अच्छे हैं।
关心	परवाह करना; ध्यान रखना	माँ मेरी सेहत की बहुत परवाह करती हैं।
关于	के बारे में; संबंधित	यह किताब चीनी संस्कृति के बारे में है।
国家	देश; राष्ट्र	चीन बहुत बड़ा देश है।
过	अनुभव दिखाने वाला कण	मैं बीजिंग जा चुका हूँ।
过去	अतीत; पहले	पहले यहाँ मेट्रो नहीं थी।
还是	या; अब भी	तुम चाय पियोगे या कॉफ़ी?
害怕	डरना	मुझे परीक्षा से डर नहीं लगता।
黑板	ब्लैकबोर्ड; काला पट्ट	शिक्षक ब्लैकबोर्ड पर अक्षर लिखते हैं।
后来	बाद में; फिर	बाद में हम पार्क गए।
护照	पासपोर्ट	कृपया अपना पासपोर्ट साथ लाओ।
96:花	खर्च करना; खर्च होना	मोबाइल फ़ोन खरीदने में दो हज़ार युआन लगे।
97:花	फूल	मेज़ पर एक फूल है।
画	बनाना; चित्र	मेरी छोटी बहन को पांडा बनाना पसंद है।
坏	खराब; टूटा हुआ; बुरा	मेरा कंप्यूटर खराब हो गया है।
欢迎	स्वागत करना; स्वागत	मेरे घर में आपका स्वागत है।
环境	वातावरण; परिवेश	इस स्कूल का वातावरण बहुत अच्छा है।
还	वापस करना; लौटाना	कृपया कल मेरी किताब वापस कर देना।
换	बदलना; विनिमय करना	मैं एक कमीज़ बदलना चाहता हूँ।
黄河	पीली नदी	पीली नदी बहुत लंबी है।
回答	उत्तर देना; उत्तर	कृपया मेरे प्रश्न का उत्तर दीजिए।
会议	बैठक; सम्मेलन	बैठक नौ बजे शुरू होती है।
或者	या; अथवा	तुम मेट्रो या बस ले सकते हो।
几乎	लगभग	वह लगभग रोज़ व्यायाम करता है।
机会	मौका; अवसर	यह एक अच्छा मौका है।
极	बहुत; अत्यंत	वह अत्यंत खुश हुई।
季节	ऋतु; मौसम	शरद ऋतु मेरी सबसे पसंदीदा ऋतु है।
记得	याद रखना	क्या तुम्हें क्रेडिट कार्ड लाना याद है?
检查	जाँचना; परीक्षण करना	डॉक्टर मेरा शरीर जाँचते हैं।
简单	सरल; आसान	यह वाक्य बहुत सरल है।
健康	स्वास्थ्य; स्वस्थ	व्यायाम स्वास्थ्य के लिए अच्छा है।
见面	मिलना	हम कल स्कूल में मिलेंगे।
讲	समझाना; बोलना	शिक्षक बहुत साफ़ समझाते हैं।
教	सिखाना; पढ़ाना	वह मुझे चीनी अक्षर लिखना सिखाता है।
脚	पैर	मेरे पैर में थोड़ा दर्द है।
角	कोना; कोण	दुकान सड़क के कोने पर है।
接	लेने जाना; प्राप्त करना	मैं दोस्त को लेने हवाई अड्डे जा रहा हूँ।
街道	सड़क; गली	यह सड़क बहुत साफ़ है।
结婚	शादी करना	वे अगले साल शादी करेंगे।
结束	समाप्त होना; समाप्त करना	मैच पहले ही समाप्त हो चुका है।
节目	कार्यक्रम; शो	यह टीवी कार्यक्रम बहुत अच्छा है।
节日	त्योहार; अवकाश	वसंत उत्सव चीन का महत्वपूर्ण त्योहार है।
解决	हल करना; सुलझाना	यह समस्या पहले ही हल हो चुकी है।
借	उधार लेना; उधार देना	मैं तुम्हारा शब्दकोश उधार लेना चाहता हूँ।
经常	अक्सर	मैं अक्सर पुस्तकालय जाता हूँ।
经过	से होकर गुजरना; प्रक्रिया	मैं रोज़ इस पार्क से होकर गुजरता हूँ।
经理	प्रबंधक	प्रबंधक बैठक में है।
久	लंबे समय तक; देर	मैं यहाँ बहुत समय से रह रहा हूँ।
旧	पुराना; पुरानी; पुराने	यह कपड़ा बहुत पुराना है।
句子	वाक्य	कृपया एक वाक्य लिखिए।
决定	निर्णय करना; निर्णय	मैंने चीनी भाषा सीखने का निर्णय किया।
可爱	प्यारा; प्यारी; प्यारे	यह बिल्ली बहुत प्यारी है।
渴	प्यासा; प्यासी	मुझे प्यास लगी है और मैं पानी पीना चाहता हूँ।
刻	पंद्रह मिनट; क्षण	अभी सवा आठ बजे हैं।
客人	मेहमान; अतिथि; ग्राहक	आज घर में मेहमान आए।
空调	एयर कंडीशनर	कृपया एयर कंडीशनर चालू कर दीजिए।
口	मुँह; घूँट; लोगों या पशुओं का माप शब्द	उसने पानी का एक घूँट लिया।
哭	रोना	बच्चा क्यों रो रहा है?
裤子	पैंट; पतलून	यह पैंट नई है।
筷子	चॉपस्टिक	मैं चॉपस्टिक से खाना खा सकता हूँ।
蓝	नीला; नीली; नीले	आसमान नीला है।
老	बूढ़ा; पुराना	मेरे शिक्षक बूढ़े नहीं हैं।
离开	छोड़ना; रवाना होना	वह कल बीजिंग छोड़ रहा है।
礼物	उपहार; तोहफ़ा	यह तुम्हारे लिए उपहार है।
历史	इतिहास	मुझे चीनी इतिहास पसंद है।
脸	चेहरा	उसका चेहरा बहुत लाल है।
练习	अभ्यास; अभ्यास करना	कृपया चीनी बोलने का अधिक अभ्यास कीजिए।
辆	वाहनों के लिए माप शब्द	दरवाज़े पर एक टैक्सी है।
聊天	गपशप करना; बातचीत करना	मैं दोस्त से बातचीत करता हूँ।
了解	समझना; जानना	मैं चीनी संस्कृति समझना चाहता हूँ।
邻居	पड़ोसी	मेरा पड़ोसी बहुत गर्मजोश है।
留学	विदेश में पढ़ना	वह चीन में पढ़ाई कर रही है।
楼	इमारत; मंज़िल	दफ़्तर तीसरी मंज़िल पर है।
绿	हरा; हरी; हरे	वसंत में पेड़ हरे हो गए हैं।
马	घोड़ा	वह घोड़ा बहुत तेज़ दौड़ता है।
马上	तुरंत; अभी	मैं तुरंत वापस आऊँगा।
满意	संतुष्ट; प्रसन्न	मैं इस कमरे से बहुत संतुष्ट हूँ।
帽子	टोपी	यह टोपी बहुत सुंदर है।
米	मीटर; चावल	यह मेज़ दो मीटर लंबी है।
面包	रोटी; ब्रेड	नाश्ते में मैं रोटी खाता हूँ।
明白	समझना; स्पष्ट	मैं तुम्हारा मतलब समझता हूँ।
拿	लेना; पकड़ना; उठाना	कृपया मेरे लिए एक किताब ले आओ।
奶奶	दादी	दादी को संगीत सुनना पसंद है।
南	दक्षिण	स्कूल शहर के दक्षिण में है।
难	कठिन; मुश्किल	यह प्रश्न कठिन नहीं है।
难过	उदास; दुखी	वह आज थोड़ी उदास है।
年级	कक्षा; ग्रेड	मेरी छोटी बहन तीसरी कक्षा में है।
年轻	युवा; जवान	यह प्रबंधक बहुत युवा है।
鸟	पक्षी; चिड़िया	पेड़ पर एक चिड़िया है।
努力	मेहनत करना; प्रयास	वह बहुत मेहनत से पढ़ता है।
爬山	पहाड़ चढ़ना; पर्वतारोहण करना	सप्ताहांत में हम पहाड़ चढ़ने जाएँगे।
盘子	प्लेट; थाली	मेज़ पर तीन प्लेटें हैं।
胖	मोटा; मोटी; मोटे	यह कुत्ता थोड़ा मोटा है।
啤酒	बीयर	पापा बीयर नहीं पीते।
皮鞋	चमड़े के जूते	चमड़े के जूतों की यह जोड़ी महँगी है।
瓶子	बोतल	बोतल में पानी है।
其实	असल में; वास्तव में	असल में मुझे बीयर पसंद नहीं है।
其他	अन्य; बाकी	बाकी सहपाठी सब आ गए हैं।
奇怪	अजीब	यह आवाज़ बहुत अजीब है।
骑	सवारी करना; चलाना	वह रोज़ साइकिल से काम पर जाता है।
起飞	उड़ान भरना	विमान अभी उड़ान भरने वाला है।
起来	उठना; ऊपर आना	कृपया खड़े हो जाइए।
清楚	स्पष्ट; साफ़	आपने बहुत स्पष्ट कहा।
请假	छुट्टी माँगना	उसे ज़ुकाम है, इसलिए छुट्टी माँगनी है।
秋	शरद ऋतु	शरद ऋतु का मौसम आरामदायक होता है।
裙子	स्कर्ट	यह स्कर्ट बहुत सुंदर है।
然后	फिर; उसके बाद	मैं पहले खाना खाता हूँ, फिर गृहकार्य करता हूँ।
热情	गर्मजोश; उत्साही	चीनी दोस्त बहुत गर्मजोश होते हैं।
认为	मानना; सोचना	मुझे लगता है कि यह तरीका अच्छा है।
认真	गंभीर; ध्यान से	कृपया शिक्षक की बात ध्यान से सुनो।
容易	आसान	यह चीनी अक्षर लिखना आसान है।
如果	अगर; यदि	अगर बारिश हुई, तो हम मेट्रो लेंगे।
伞	छाता	बारिश हो रही है, कृपया छाता ले जाओ।
上网	इंटरनेट इस्तेमाल करना; ऑनलाइन जाना	मैं शाम को इंटरनेट पर नक्शा देखता हूँ।
声音	आवाज़; ध्वनि	तुम्हारी आवाज़ अच्छी लगती है।
生气	गुस्सा होना	गुस्सा मत हो, मैंने जानबूझकर नहीं किया।
世界	दुनिया; विश्व	दुनिया बहुत बड़ी है।
试	आज़माना; कोशिश करना	मैं चमड़े के जूतों की यह जोड़ी पहनकर देखना चाहता हूँ।
瘦	पतला; पतली; पतले	वह पहले से पतला हो गया है।
叔叔	चाचा; अंकल	चाचा गाड़ी चलाकर मुझे स्कूल छोड़ते हैं।
舒服	आरामदायक; अच्छा लगना	यह कुर्सी आरामदायक है।
数学	गणित	गणित की कक्षा दिलचस्प है।
树	पेड़	घर के सामने एक पेड़ है।
刷牙	दाँत साफ़ करना	मैं रोज़ सुबह दाँत साफ़ करता हूँ।
双	जोड़ा; युगल	मैंने चमड़े के जूतों की एक जोड़ी खरीदी।
水平	स्तर; मानक	उसका चीनी भाषा का स्तर ऊँचा है।
司机	चालक; ड्राइवर	चालक दरवाज़े पर हमारा इंतज़ार कर रहा है।
太阳	सूरज; सूर्य	आज धूप बहुत तेज़ है।
特别	विशेष; खासकर	यह कार्यक्रम विशेष रूप से दिलचस्प है।
疼	दर्द होना; दुखना	मेरे पैर में बहुत दर्द है।
提高	बढ़ाना; सुधारना	अधिक अभ्यास से चीनी भाषा का स्तर सुधर सकता है।
体育	खेल; शारीरिक शिक्षा	मुझे खेल की कक्षा पसंद है।
甜	मीठा; मीठी; मीठे	यह पेय बहुत मीठा है।
条	लंबी वस्तुओं के लिए माप शब्द; धारा	मैंने एक स्कर्ट खरीदी।
同事	सहकर्मी	मेरा सहकर्मी बहुत व्यस्त है।
同意	सहमत होना	मैं तुम्हारे निर्णय से सहमत हूँ।
头发	बाल	उसके बाल लंबे हैं।
突然	अचानक	वह अचानक चला गया।
图书馆	पुस्तकालय	पुस्तकालय आज खुला नहीं है।
腿	टाँग; पैर	पहाड़ चढ़ने के बाद मेरी टाँगों में बहुत दर्द है।
完成	पूरा करना; समाप्त करना	मैंने गृहकार्य पहले ही पूरा कर लिया है।
碗	कटोरा	मेज़ पर दो कटोरे हैं।
万	दस हज़ार	इस शहर में दस हज़ार लोग हैं।
忘记	भूलना	पासपोर्ट लाना मत भूलना।
为	के लिए; की वजह से	मैं तुम्हारे लिए खुश हूँ।
为了	के लिए; ताकि	परीक्षा के लिए वह रोज़ दोहराता है।
位	लोगों के लिए सम्मानसूचक माप शब्द	यह शिक्षक बहुत प्रसिद्ध हैं।
文化	संस्कृति	मैं चीनी संस्कृति समझना चाहता हूँ।
西	पश्चिम	बैंक स्कूल के पश्चिम में है।
习惯	आदत; अभ्यस्त होना	मुझे सुबह व्यायाम करने की आदत है।
洗手间	शौचालय; प्रसाधन कक्ष	शौचालय दाईं ओर है।
洗澡	नहाना	मैं शाम को नहाता हूँ।
夏	गर्मी; ग्रीष्म ऋतु	गर्मी बहुत गरम होती है।
先	पहले	तुम पहले खाना खा लो।
相信	विश्वास करना	मुझे विश्वास है कि वह आएगा।
香蕉	केला	मैंने तीन केले खरीदे।
像	जैसा लगना; समान होना	यह बादल एक चिड़िया जैसा लगता है।
向	की ओर; दिशा	कृपया बाईं ओर चलिए।
小心	सावधान रहना	बारिश हो रही है, रास्ते में सावधान रहना।
校长	प्रधानाचार्य	प्रधानाचार्य दफ़्तर में हैं।
新闻	समाचार; खबर	पापा रोज़ समाचार देखते हैं।
新鲜	ताज़ा; नया	यह फल बहुत ताज़ा है।
信用卡	क्रेडिट कार्ड	क्या मैं क्रेडिट कार्ड से भुगतान कर सकता हूँ?
行李箱	सूटकेस	मेरा सूटकेस बहुत भारी है।
熊猫	पांडा	बच्चों को पांडा देखना पसंद है।
需要	ज़रूरत होना; चाहिए	मुझे तुम्हारी मदद की ज़रूरत है।
选择	चुनना; चुनाव	तुम कौन-सी कमीज़ चुनते हो?
要求	माँगना; अपेक्षा करना	शिक्षक हमसे ध्यान से गृहकार्य करने को कहते हैं।
爷爷	दादा	दादा रोज़ पार्क जाते हैं।
一直	लगातार; हमेशा	वह लगातार तुम्हारा इंतज़ार कर रहा है।
一定	ज़रूर; निश्चित रूप से	मैं ज़रूर आऊँगा।
一共	कुल मिलाकर	इन किताबों की कुल कीमत कितनी है?
一会儿	थोड़ी देर	कृपया मेरा थोड़ी देर इंतज़ार कीजिए।
一样	समान; एक जैसा	ये दोनों कप एक ही आकार के हैं।
以前	पहले; पूर्व में	पहले मैं बीजिंग में रहता था।
一般	साधारण; सामान्य	इस रेस्तराँ का खाना साधारण है।
一边	एक ओर; साथ-साथ	वह संगीत सुनते हुए गृहकार्य करता है।
音乐	संगीत	मुझे चीनी संगीत पसंद है।
银行	बैंक	बैंक सुपरमार्केट के बगल में है।
饮料	पेय	यह पेय स्वादिष्ट है।
应该	चाहिए; उचित होना	तुम्हें अधिक आराम करना चाहिए।
影响	प्रभाव; प्रभावित करना	मौसम मैच को प्रभावित करेगा।
用	इस्तेमाल करना; प्रयोग करना	मैं कंप्यूटर से गृहकार्य करता हूँ।
游戏	खेल	बच्चे खेल रहे हैं।
有名	प्रसिद्ध; मशहूर	यह रेस्तराँ बहुत प्रसिद्ध है।
又	फिर; दोबारा	वह आज फिर देर से आया।
遇到	मिलना; अचानक मिलना	मैं सड़क पर शिक्षक से मिला।
元	युआन	यह शब्दकोश पचास युआन का है।
愿意	इच्छुक होना; तैयार होना	क्या तुम भाग लेने को तैयार हो?
月亮	चाँद	आज रात चाँद बहुत चमक रहा है।
越	जितना… उतना…	चीनी जितनी पढ़ता हूँ, उतनी ही रोचक लगती है।
站	स्टेशन; खड़ा होना	वह दरवाज़े पर खड़ा है।
张	चपटी वस्तुओं के लिए माप शब्द; शीट	कृपया मुझे एक नक्शा दीजिए।
长	बढ़ना; बड़ा होना	बच्चे बहुत तेज़ी से बड़े होते हैं।
着急	घबराना; बेचैन होना	घबराओ मत, लिफ़्ट अभी आ जाएगी।
照顾	देखभाल करना	वह बीमार दादी की देखभाल करती है।
照片	फ़ोटो; तस्वीर	यह फ़ोटो अच्छी लगती है।
照相机	कैमरा	मैं कैमरे से तस्वीर खींचता हूँ।
283:只	केवल; सिर्फ़	मैं केवल एक कप चाय पीता हूँ।
284:只	पशुओं के लिए माप शब्द	मेज़ के नीचे एक बिल्ली है।
只有…才…	केवल… तभी…	ध्यान से दोहराने पर ही परीक्षा अच्छी होगी।
中间	बीच; मध्य	मेज़ कमरे के बीच में है।
中文	चीनी भाषा; चीनी लेखन	मैं रोज़ चीनी भाषा पढ़ता हूँ।
终于	आख़िरकार; अंततः	हम आख़िरकार पहुँच गए।
种	प्रकार; किस्म	तुम्हें किस तरह का पेय पसंद है?
重要	महत्वपूर्ण	पासपोर्ट बहुत महत्वपूर्ण है।
周末	सप्ताहांत	सप्ताहांत में मैं पार्क जाना चाहता हूँ।
主要	मुख्य; प्रमुख	उसका मुख्य शौक संगीत है।
注意	ध्यान देना; सावधान रहना	कृपया शिक्षक की बात पर ध्यान दीजिए।
自己	स्वयं; खुद	मैं गृहकार्य खुद करना चाहता हूँ।
自行车	साइकिल	मेरी साइकिल नीचे है।
总是	हमेशा	वह हमेशा बहुत जल्दी दफ़्तर पहुँचता है।
嘴	मुँह	कृपया मुँह खोलिए।
最后	अंतिम; आखिर में	अंत में हम सब सहमत हो गए।
最近	हाल में; इन दिनों	इन दिनों मैं बहुत व्यस्त हूँ।
作业	गृहकार्य; काम	मैंने अभी तक गृहकार्य पूरा नहीं किया है।
