source_headword	MS	example_MS
soar	melambung	Harga bahan api mungkin melambung.
socialist	sosialis	Parti itu menyokong dasar sosialis.
sole	tunggal	Dia adalah satu-satunya mangsa yang selamat.
solely	semata-mata	Keputusan itu semata-mata miliknya.
solicitor	peguam cara	Peguam cara menyediakan kontrak tersebut.
solidarity	perpaduan	Pekerja menyatakan perpaduan.
solo	solo	Dia mengeluarkan album solo.
sound	kukuh	Pelan itu kukuh dan praktikal.
sovereignty	kedaulatan	Perjanjian itu melindungi kedaulatan negara.
spam	spam	Spam memenuhi peti masuk.
span	merentangi	Jambatan itu merentangi sungai.
spark	mencetuskan	Komen kecil mencetuskan perdebatan.
specialized	khusus	Klinik ini menyediakan penjagaan khusus.
specification	spesifikasi	Reka bentuk itu memenuhi setiap spesifikasi.
specimen	spesimen	Spesimen itu disimpan dengan selamat.
spectacle	tontonan	Perarakan itu merupakan tontonan yang meriah.
spectrum	spektrum	Pendapat merangkumi spektrum yang luas.
spell	tempoh	Tempoh kering berlarutan selama berminggu-minggu.
sphere	bidang	Politik memasuki bidang budaya.
spin	berputar	Roda mula berputar.
spine	tulang belakang	Kecederaan itu menjejaskan tulang belakangnya.
spotlight	tumpuan	Skandal itu meletakkannya dalam tumpuan.
spouse	pasangan	Pasangannya menghadiri majlis tersebut.
spy	pengintip	Pengintip itu menghantar mesej berkod.
squad	skuad	Skuad penyelamat tiba dengan pantas.
squeeze	memerah	Perah pemegang dengan perlahan.
stab	tikaman	Laporan itu menerangkan luka tikaman.
stability	kestabilan	Dasar tersebut membawa kestabilan.
stabilize	menstabilkan	Ubat itu membantu menstabilkannya.
stake	kepentingan	Pelabur mempunyai kepentingan di sini.
standing	kedudukan	Kedudukannya dalam parti meningkat.
stark	ketara	Hasil kajian menunjukkan perbezaan yang ketara.
statistical	statistik	Kajian itu menggunakan kaedah statistik.
steer	mengemudi	Dia cuba mengemudi perdebatan itu.
stem	batang	Batang itu patah akibat ribut.
stereotype	stereotaip	Filem itu mencabar stereotaip.
stimulus	rangsangan	Pakej tersebut menyediakan rangsangan ekonomi.
stir	kacau	Kacau sos secara perlahan-lahan.
storage	penyimpanan	Kemudahan ini menawarkan penyimpanan yang selamat.
straightforward	mudah	Arahan itu mudah difahami.
strain	ketegangan	Kelewatan yang panjang menyebabkan ketegangan.
strand	sehelai	Sehelai rambut gugur.
strategic	strategik	Syarikat membuat pelaburan strategik.
strip (long narrow piece)	jalur	Potong jalur kertas yang sempit.
strip (remove clothes/a layer)	menanggalkan	Tanggalkan cat lama dengan berhati-hati.
strive	berusaha	Mereka berusaha ke arah kecemerlangan.
structural	struktur	Jambatan tersebut mengalami kerosakan struktur.
stumble	tersadung	Dia tersadung pada tangga.
stun	mengejutkan	Berita itu boleh mengejutkan orang.
submission	penyerahan	Tarikh akhir untuk penyerahan telah berlalu.
subscriber	pelanggan	Setiap pelanggan menerima kemas kini.
subscription	langganan	Langganan diperbaharui secara automatik.
subsidy	subsidi	Subsidi menurunkan kos bahan api.
substantial	besar	Projek ini memerlukan dana yang besar.
substantially	secara ketara	Harga meningkat secara ketara.
substitute	pengganti	Gunakan susu sebagai pengganti.
substitution	penggantian	Penggantian tersebut mengubah resipi.
subtle	halus	Lukisan itu mempunyai perincian yang halus.
suburban	pinggir bandar	Mereka berpindah ke kawasan pinggir bandar.
succession	siri	Krisis itu berikutan siri kegagalan.
successive	berturut-turut	Kerajaan berturut-turut mengabaikan isu tersebut.
successor	pengganti	Pengganti akan bermula pada hari Isnin.
suck	menyedut	Mesin itu boleh menyedut habuk.
sue	menyaman	Dia memutuskan untuk menyaman syarikat tersebut.
suicide	bunuh diri	Pencegahan bunuh diri memerlukan dana yang berterusan.
suite	suite	Suite hotel itu menghadap ke sungai.
summit	sidang kemuncak	Pemimpin bertemu di sidang kemuncak itu.
superb	hebat	Persembahan itu hebat.
superior	lebih baik	Model baharu ini lebih baik.
supervise	menyelia	Dia akan menyelia pelatih.
supervision	pengawasan	Kanak-kanak memerlukan pengawasan orang dewasa.
supervisor	penyelia	Tanya penyelia anda dahulu.
supplement	tambahan	Laporan itu termasuk tambahan.
supportive	menyokong	Keluarganya sangat menyokong.
supposedly	kononnya	Fail tersebut kononnya telah dipadam.
suppress	menindas	Rejim itu cuba menindas protes.
supreme	tertinggi	Mahkamah tertinggi mendengar kes tersebut.
surge	lonjakan	Lonjakan secara tiba-tiba merosakkan peralatan tersebut.
surgical	pembedahan	Pesakit memerlukan rawatan pembedahan.
surplus	lebihan	Gudang itu mempunyai lebihan.
surrender	menyerah	Askar-askar tersebut bersetuju untuk menyerah.
surveillance	pengawasan	Kamera pengawasan merakam pintu masuk.
suspension	penggantungan	Penggantungan itu berlangsung selama dua minggu.
suspicion	syak wasangka	Tingkah lakunya menimbulkan syak wasangka.
suspicious	mencurigakan	Bungkusan itu kelihatan mencurigakan.
sustain	mengekalkan	Projek ini boleh mengekalkan pekerjaan tempatan.
swing	berayun	Pintu itu mula berayun.
sword	pedang	Pedang itu tergantung pada dinding.
symbolic	simbolik	Isyarat itu adalah simbolik.
syndrome	sindrom	Sindrom tersebut menjejaskan ingatan.
synthesis	sintesis	Bab ini menawarkan sintesis.
systematic	sistematik	Kajian itu adalah sistematik.
tactic	taktik	Taktik itu gagal dengan cepat.
tactical	taktikal	Pasukan membuat perubahan taktikal.
taxpayer	pembayar cukai	Wang pembayar cukai membiayai jambatan tersebut.
tempt	menggoda	Tawaran itu mungkin menggoda pelabur.
tenant	penyewa	Penyewa membayar sewa awal.
tender	lembut	Dia memberikan senyuman yang lembut.
tenure	tempoh perkhidmatan	Tempoh perkhidmatannya berlangsung selama enam tahun.
terminal	terminal	Pesakit itu mempunyai penyakit terminal.
terminate	menamatkan	Syarikat boleh menamatkan kontrak tersebut.
terrain	rupa bumi	Rupa bumi itu sukar.
terrific	hebat	Pemandangan itu hebat.
testify	memberi keterangan	Dia bersetuju untuk memberi keterangan.
testimony	keterangan	Keterangannya terperinci.
texture	tekstur	Fabrik itu mempunyai tekstur yang kasar.
thankfully	syukurlah	Syukurlah, tiada sesiapa yang cedera.
theatrical	teater	Ucapan itu kedengaran seperti teater.
theology	teologi	Dia belajar teologi di universiti.
theoretical	teori	Model itu hanyalah teori.
thereafter	selepas itu	Selepas itu, peraturan berubah.
thereby	dengan itu	Perubahan itu mengurangkan kos, dengan itu menyelamatkan pekerjaan.
thoughtful	bertimbang rasa	Maklum balasnya sangat bertimbang rasa.
thought-provoking	menimbulkan pemikiran	Artikel itu menimbulkan pemikiran.
thread	benang	Benang itu putus dengan mudah.
threshold	ambang	Undian melepasi ambang itu.
thrilled	teruja	Dia teruja dengan berita tersebut.
thrive	berkembang maju	Perniagaan kecil boleh berkembang maju di sini.
tide	air pasang	Air pasang naik dengan cepat.
tighten	mengetatkan	Ketatkan penutup dengan kuat.
timber	kayu	Rumah itu menggunakan kayu tempatan.
timely	tepat pada masanya	Amaran itu tepat pada masanya.
tobacco	tembakau	Jualan tembakau merosot.
tolerance	toleransi	Dasar tersebut menggalakkan toleransi.
tolerate	bertolak ansur	Kami tidak boleh bertolak ansur dengan penderaan.
toll	angka korban	Ribut itu membawa angka korban yang besar.
top	mengatasi	Jualan mungkin mengatasi rekod tahun lepas.
torture	penyeksaan	Perjanjian itu mengharamkan penyeksaan secara mutlak.
