source_headword	KK	example_KK
biology	биология	Ол биологияны оқиды.
birth	туу	Сәбидің тууы қуанышты болды.
biscuit	печенье	Бала печенье жеді.
bit	аздап	Маған аздап уақыт керек.
blank	бос	Бет бос.
blood	қан	Қан қызыл.
blow	соғу	Жел қатты соғып тұр.
board	тақта	Мұғалім тақтаға жазды.
boil	қайнау	Су қайнап жатыр.
bone	сүйек	Ит сүйек тапты.
borrow	қарызға алу	Мен кітапты қарызға аламын.
boss	басшы	Менің басшым осында.
bottom	төменгі бөлік	Қораптың төменгі бөлігі дымқыл.
bowl	тостаған	Тостағанда сорпа бар.
brain	ми	Ми тез жұмыс істейді.
bridge	көпір	Ескі көпір ұзын.
bright	жарық	Бөлме жарық.
brilliant	тамаша	Бұл тамаша ой.
broken	сынған	Терезе сынған.
brush	щетка	Щетка үстелдің үстінде.
burn	жану; күйдіру	От оның қолын күйдірді.
businessman	кәсіпкер	Кәсіпкер телефонмен сөйлесіп тұр.
button	түйме	Қызыл түймені басыңыз.
camp	лагерь	Балалар лагерьде тұрады.
camping	лагерьде демалу	Біз тауда лагерьде демалдық.
can2	қалбыр	Үстелде бір қалбыр бар.
care	қамқорлық; назар	Балаға жақсы қамқорлық керек.
careful	сақ	Сақ жүргізуші баяу жүреді.
carefully	сақтықпен	Ол есікті сақтықпен ашты.
carpet	кілем	Кілем еденде жатыр.
cartoon	мультфильм	Балалар мультфильм көріп отыр.
case	жағдай; іс	Бұл жағдай қиын.
cash	қолма-қол ақша	Мен қолма-қол ақша бердім.
castle	қамал	Ескі қамал төбеде.
catch	ұстау	Допты ұстаңыз.
cause	себеп; себеп болу	Жаңбыр кешігуге себеп болды.
celebrate	тойлау	Олар туған күнді тойлады.
celebrity	танымал адам	Танымал адам келді.
certain	анық; сенімді	Ол жауабына сенімді.
certainly	әрине	Әрине, мен көмектесемін.
chance	мүмкіндік	Бұл жақсы мүмкіндік.
character	кейіпкер	Бұл кейіпкер қызықты.
charity	қайырымдылық ұйымы	Ол қайырымдылық ұйымына ақша берді.
chat	әңгіме	Қысқа әңгіме жасайық.
chef	аспаз	Аспаз сорпа дайындады.
chemistry	химия	Маған химия ұнайды.
chip	чип	Бұл чип кішкентай.
choice	таңдау	Сенің таңдауың дұрыс.
church	шіркеу	Ескі шіркеу ашық.
cigarette	темекі	Мұнда темекі шекпеңіз.
circle	шеңбер	Балалар шеңберде отырды.
classical	классикалық	Ол классикалық музыка тыңдайды.
clear	анық	Су анық.
clearly	анық	Өтініш, анық сөйлеңіз.
clever	ақылды	Бұл бала ақылды.
climate	климат	Мұнда климат ыстық.
close2	жақын	Дүкен үйге жақын.
closed	жабық	Есік жабық.
clothing	киім	Жылы киім керек.
cloud	бұлт	Аспанда қара бұлт бар.
coach	жаттықтырушы	Жаттықтырушы команданы үйретеді.
coast	жағалау	Олар жағалау бойымен жүрді.
code	код	Бұл кодты жазыңыз.
colleague	әріптес	Әріптесім көмектесті.
collect	жинау	Ол маркаларды жинайды.
column	баған	Бұл баған ұзын.
comedy	комедия	Біз комедия көрдік.
comfortable	ыңғайлы	Орындық ыңғайлы.
comment	пікір	Ол қысқа пікір жазды.
communicate	қарым-қатынас жасау	Біз анық қарым-қатынас жасауымыз керек.
community	қауымдастық	Бұл қауымдастық достық.
compete	жарысу	Олар жүгіруде жарысады.
competition	жарыс	Жарыс ертең басталады.
complain	шағымдану	Ол шу туралы шағымданды.
completely	толық	Бөлме толық бос.
condition	жағдай	Көліктің жағдайы жақсы.
conference	конференция	Конференция бүгін басталады.
connect	қосу	Кабельді компьютерге қосыңыз.
connected	қосылған	Телефон интернетке қосылған.
consider	қарастыру	Бұл ойды қарастырыңыз.
contain	ішінде болу	Қораптың ішінде кітаптар бар.
context	контекст	Контексті түсініңіз.
continent	құрлық	Азия үлкен құрлық.
continue	жалғастыру	Өтініш, жұмысты жалғастырыңыз.
control	бақылау; басқару	Жүргізуші бақылауды қолға алды.
cooker	плита	Плита асүйде.
copy	көшірме	Өтініш, бір көшірме алыңыз.
corner	бұрыш	Дүкен бұрышта.
correctly	дұрыс	Атын дұрыс жазыңыз.
count	санау	Балалар сандарды санайды.
couple	жұп; екі	Жұп саябақта жүрді.
cover	жабу	Кітапты жабыңыз.
crazy	ақылсыз	Бұл ой ақылсыз сияқты.
creative	шығармашыл	Ол шығармашыл жазушы.
credit	несие	Дүкен несие береді.
crime	қылмыс	Полиция қылмысты тексеріп жатыр.
criminal	қылмыскер	Қылмыскер қашты.
cross	кесіп өту	Жолды сақтықпен кесіп өтіңіз.
crowd	тобыр	Тобыр үлкен болды.
crowded	адам көп	Автобуста адам көп.
cry	жылау	Сәби жылап жатыр.
cupboard	шкаф	Кесе шкафта тұр.
curly	бұйра	Оның шашы бұйра.
cycle	велосипед; цикл	Ол велосипед тебеді.
daily	күнделікті	Ол күнделікті жаттығады.
danger	қауіп	Мұнда қауіп бар.
data	дерек	Дерек қауіпсіз.
dead	өлі	Балық өлі.
deal	келісім	Олар жақсы келісім жасады.
death	өлім	Оның өлімі күтпеген болды.
decision	шешім	Шешім бүгін шығады.
deep	терең	Бассейн терең.
definitely	міндетті түрде	Мен міндетті түрде келемін.
degree	дәреже; диплом	Ол ғылым бойынша диплом алды.
dentist	тіс дәрігері	Тіс дәрігері тісті тексерді.
department	бөлім	Бұл бөлім үлкен.
depend	тәуелді болу	Нәтиже ауа райына тәуелді.
desert	шөл	Шөл өте құрғақ.
designer	дизайнер	Дизайнер жаңа киім сызды.
destroy	қирату	От үйді қиратты.
detective	детектив	Детектив дәлел тапты.
develop	даму; әзірлеу	Қала тез дамып жатыр.
device	құрылғы	Бұл құрылғы кішкентай.
diary	күнделік	Ол күнделікке жазды.
differently	басқаша	Ол басқаша ойлайды.
digital	цифрлық	Цифрлық сурет анық.
direct	тікелей	Тікелей автобус бар.
direction	бағыт	Бұл бағытты ұстаныңыз.
director	директор; режиссер	Режиссер фильмді бастады.
disagree	келіспеу	Мен бұл пікірмен келіспеймін.
disappear	жоғалу	Мысық кенет жоғалды.
disaster	апат	Су тасқыны үлкен апат болды.
discover	табу	Олар жаңа жол тапты.
discovery	ашылу	Бұл ашылу маңызды.
discussion	талқылау	Талқылау ұзаққа созылды.
disease	ауру	Бұл ауру ауыр.
distance	қашықтық	Мектеп алыс емес.
divorced	ажырасқан	Ол ажырасқан.
document	құжат	Құжатқа қол қойыңыз.
double	екі кісілік; екі есе	Маған екі кісілік бөлме керек.
download	жүктеп алу	Файлды жүктеп алыңыз.
drama	драма	Драма кешке басталады.
drawing	сурет	Баланың суреті әдемі.
dream	арман	Оның арманы үлкен.
driving	көлік жүргізу	Көлік жүргізуді сақтықпен жасаңыз.
drop	түсіріп алу; тамшы	Стақанды түсіріп алмаңыз.
drug	дәрі	Бұл дәріні тамақтан кейін ішіңіз.
dry	құрғақ	Сүлгі құрғақ.
earn	ақша табу	Ол ақша табады.
earth	жер	Жер күнді айналады.
easily	оңай	Ол мұны оңай жасады.
education	білім	Білім маңызды.
effect	әсер	Бұл дәрінің тез әсері бар.
either	екеуінің бірі	Сіз екі жолдың бірін таңдай аласыз.
electric	электр	Электр көлігі тыныш.
electrical	электрге қатысты	Электрге қатысты мәселе бар.
electricity	электр тогы	Электр тогы өшті.
electronic	электрондық	Бұл электрондық құрылғы.
employ	жұмысқа алу	Компания жаңа адамды жұмысқа алады.
employee	қызметкер	Қызметкер уақытында келді.
employer	жұмыс беруші	Жұмыс беруші әділ.
empty	бос	Стақан бос.
ending	аяқталу	Әңгіменің аяқталуы бақытты.
energy	энергия	Балаларда көп энергия бар.
engine	қозғалтқыш	Қозғалтқыш шу шығарады.
engineer	инженер	Инженер көпірді жобалады.
enormous	орасан зор	Бұл ғимарат орасан зор.
enter	кіру	Өтініш, ішке кіріңіз.
environment	қоршаған орта	Қоршаған ортаны қорғау керек.
equipment	жабдық	Жабдық бөлмеде.
error	қате	Бұл қатені түзетіңіз.
especially	әсіресе	Маған әсіресе шай ұнайды.
essay	эссе	Ол қысқа эссе жазды.
everyday	күнделікті	Бұл күнделікті мәселе.
everywhere	барлық жерде	Гүлдер барлық жерде.
evidence	дәлел	Полиция дәлел тапты.
exact	дәл	Дәл бағаны айтыңыз.
exactly	дәл	Ол дәл уақытында келді.
excellent	өте жақсы	Тамақ өте жақсы.
except	басқа	Равшаннан басқа бәрі келді.
exist	бар болу	Бұл ереже әлі бар.
expect	күту	Мен жақсы хабар күтемін.
experience	тәжірибе	Бұл жұмыс жақсы тәжірибе.
experiment	тәжірибе	Студенттер тәжірибе жасады.
expert	сарапшы	Сарапшы кеңес берді.
explanation	түсіндіру	Оның түсіндіруі анық.
express	білдіру	Ол қуанышын білдірді.
expression	бет әлпеті	Оның бет әлпеті өзгерді.
extreme	шектен тыс	Мұнда шектен тыс суық.
extremely	өте	Ол өте шаршаған.
factor	фактор	Баға маңызды фактор.
factory	зауыт	Зауыт өзен жағасында.
fail	сәтсіз болу	Ол емтиханнан өте алмады.
fair	әділ; жәрмеңке	Шешім әділ.
fan	желдеткіш; жанкүйер	Желдеткіш айналып тұр.
farming	егіншілік	Егіншілік бұл жерде әдеттегі.
fashion	сән	Жаңа сән танымал.
fear	қорқыныш	Ол қараңғылықтан қорқады.
feature	ерекшелік	Бұл ерекшелік пайдалы.
feed	тамақ беру	Өтініш, итке тамақ беріңіз.
female	әйел; ұрғашы	Ұрғашы құс ұяда.
fiction	көркем әдебиет	Ол көркем әдебиет оқиды.
field	дала; сала	Балалар далада ойнайды.
fight	ұрыс; күресу	Екі бала ұрысып жатыр.
figure	сан; пішін	Бұл сан маңызды.
finally	ақырында	Ақырында жаңбыр тоқтады.
finger	саусақ	Оның саусағы ауырып тұр.
firstly	біріншіден	Біріншіден, қолдарыңызды жуыңыз.
fishing	балық аулау	Балық аулау таңертең басталды.
fit	сай келу; дені сау	Бұл көйлек сізге сай келеді.
fix	жөндеу	Ол орындықты жөндеді.
flu	тұмау	Оның тұмауы бар.
flying	ұшу	Ұшу оған ұнайды.
focus	назар аудару	Сабаққа назар аударыңыз.
following	келесі	Келесі ережелерді оқыңыз.
foreign	шетелдік	Шетелдік тілді үйреніңіз.
forest	орман	Орман жасыл.
fork	шанышқы	Шанышқы үстелдің үстінде.
formal	ресми	Ресми киім киіңіз.
fortunately	бақытымызға орай	Бақытымызға орай, ешкім жарақат алмады.
forward	алға	Өтініш, алға жүріңіз.
fresh	жаңа	Жаңа нан жылы.
