source_headword	SW	example_SW
assumption	dhana	Dhana hiyo inaweza kuwa si sahihi.
assure	kuhakikishia	Ninakuhakikishia mlango umefungwa.
astonishing	-a kushangaza	Mwonekano kutoka kwenye jabali ulikuwa wa kushangaza.
attachment	kiambatisho	Barua pepe inajumuisha kiambatisho.
auction	mnada	Mchoro uliuzwa kwenye mnada.
audio	sauti	Kurekodi sauti kunasikika wazi.
automatic	-a kujiendesha	Mlango una kitasa cha kiotomatiki.
automatically	moja kwa moja	Taa huwaka kiotomatiki.
awareness	ufahamu	Kampeni iliongeza ufahamu wa umma.
awkward	-a kutatanisha	Ukimya ulikuwa wa kutatanisha.
badge	beji	Wageni lazima wavae beji.
balanced	sawa	Mlo wenye uwiano unajumuisha mboga.
ballet	bale	Anajifunza bale baada ya shule.
balloon	puto	Puto lilielea juu ya meza.
barely	kwa shida	Alisikia tangazo kwa shida.
bargain	biashara	Jaketi hilo lilikuwa la bei nafuu kweli.
basement	chumba cha chini	Maboksi yako kwenye chumba cha chini.
basket	kikapu	Aliweka tufaha kwenye kikapu.
bat	popo	Popo aliruka nje ya pango.
beneficial	yenye faida	Mazoezi ya mara kwa mara ni ya manufaa kwa afya.
beside	kando ya	Taa iko kando ya kochi.
besides	zaidi ya hayo	Kando na hisabati, anasoma kemia.
bias	upendeleo	Makala ilionyesha upendeleo wazi.
bid	zabuni	Kampuni ilitoa zabuni ya juu zaidi.
biological	ya kibiolojia	Kipimo cha kibiolojia kilithibitisha matokeo.
blanket	blanketi	Mtoto alilala chini ya blanketi.
blow	pigo	Pigo kali lilivunja dirisha.
bold	shujaa	Kichwa cha habari kilitumia herufi nene.
bombing	shambulio la bomu	Ushambuliaji wa mabomu uliharibu majengo kadhaa.
booking	uhifadhi	Nilithibitisha uhifadhi wa hoteli.
boost	ongezeko	Ushindi uliimarisha ujasiri wa timu.
bound	ya lazima	Kifurushi kilifungwa kwa kamba.
brick	tofali	Ukuta umejengwa kwa matofali.
briefly	kwa kifupi	Alizungumza kwa ufupi baada ya chakula cha mchana.
broadcaster	mtangazaji	Mtangazaji alimhoji meya.
broadly	kwa upana	Mipango hiyo miwili kwa ujumla inafanana.
bug	mdudu	Programu ilikwama kwa sababu ya hitilafu.
cabin	kibanda	Tulikaa katika kibanda kidogo.
canal	mfereji	Boti zilisonga polepole kando ya mfereji.
candle	mshumaa	Mshumaa uliwaka mezani.
carbon	kaboni	Miti hufyonza kaboni kutoka hewani.
casual	isiyo rasmi	Alivaa nguo za kawaida kazini.
cave	pango	Wasafiri waliingia ndani ya pango.
certainty	uhakika	Hatuwezi kujua kwa uhakika.
certificate	cheti	Alipokea cheti cha mafunzo.
challenging	yenye changamoto	Kozi ilikuwa na changamoto lakini yenye manufaa.
championship	ubingwa	Timu yetu ilifika fainali ya michuano.
charming	yenye kuvutia	Mtaa wa zamani ulionekana wa kuvutia.
chase	msako	Mbwa alifukuza mpira.
cheek	shavu	Chozi lilitiririka kwenye shavu lake.
cheer	shangwe	Umati ulianza kushangilia kwa sauti.
choir	kwaya	Kwaya iliimba vizuri.
chop	kukata	Kata vitunguu vipande vidogo.
circuit	mzunguko	Mkimbiaji alikamilisha mzunguko.
civilization	ustaarabu	Ustaarabu wa kale uliunda eneo hili.
clarify	kufafanua	Tafadhali fafanua jambo la mwisho.
classify	kuainisha	Wanasayansi huainisha wanyama kulingana na spishi.
clerk	karani	Karani alichapisha risiti.
cliff	mwamba	Njia inaishia karibu na mwamba.
clinic	kliniki	Kliniki hufunguliwa saa mbili asubuhi.
clip	klipu	Aliweka kibanio kwenye karatasi.
coincidence	sadfa	Kukutana naye huko ilikuwa sadfa.
collector	mkusanyaji	Mkusanyaji alinunua sarafu adimu.
colony	koloni	Sisimizi walijenga koloni kubwa.
colourful	-a rangi nyingi	Soko lilikuwa lenye mwangaza na rangi nyingi.
comic	kichekesho	Onyesho la kuchekesha lilitufanya tucheke.
commander	kamanda	Kamanda alitoa maagizo wazi.
comparative	-a kulinganisha	Insha inatumia data za kulinganisha.
completion	ukamilishaji	Daraja liko karibu kukamilika.
compose	kutunga	Atatunga muziki wa filamu.
composer	mtunzi	Mtunzi aliandika wimbo mpya.
compound	mchanganyiko	Mchanganyiko huo una kemikali mbili.
comprehensive	kamili	Mwongozo unatoa maagizo ya kina.
comprise	kujumuisha	Timu inajumuisha wanachama watano.
compulsory	lazima	Kuhudhuria ni lazima kwa darasa hili.
concrete	halisi	Sakafu imetengenezwa kwa zege.
confess	kukiri	Alikiri kosa hilo kwa mwalimu wake.
confusion	mkanganyiko	Ucheleweshaji ulisababisha mkanganyiko.
consequently	kwa hivyo	Mvua ilinyesha; kwa hivyo, mechi ilisimama.
conservation	uhifadhi	Uhifadhi hulinda wanyama adimu.
considerable	kubwa	Ukarabati ulichukua muda mrefu.
considerably	sana	Bei zilipanda kwa kiasi kikubwa mwaka huu.
consistently	mara kwa mara	Yeye hufanya vizuri kila mara.
conspiracy	njama	Polisi walichunguza njama hizo.
consult	kushauriana	Wasiliana na daktari wako kabla ya kunywa dawa.
consultant	mshauri	Mshauri alipendekeza mkakati mpya.
consumption	matumizi	Matumizi ya nishati yalishuka mwezi uliopita.
controversial	-enye utata	Sera inasalia kuwa yenye utata.
controversy	utata	Uamuzi huo ulisababisha utata.
convenience	urahisi	Duka linatoa urahisi mkubwa.
convention	kongamano	Kongamano la kila mwaka linaanza Jumatatu.
conventional	kawaida	Alichagua muundo wa kawaida.
convey	kuwasilisha	Ujumbe uliwasilisha huruma.
convincing	-enye kusadikisha	Maelezo yake yalikuwa yenye kushawishi.
cope	kukabiliana	Alijifunza kukabiliana na msongo wa mawazo.
corporation	shirika	Shirika lilifungua ofisi mpya.
corridor	ukumbi	Korido ilikuwa nyembamba na tulivu.
counter (long flat surface)	kaunta	Funguo ziko kwenye kaunta ya jikoni.
coverage	uangaziaji	Utangazaji wa habari ulidumu jioni nzima.
crack	kupasuka	Ufa ulitokea ukutani.
craft	ufundi	Anauza kazi za ufundi za mikono mtandaoni.
creativity	ubunifu	Ubunifu husaidia kutatua matatizo.
critically	kwa umakini	Makala hiyo ilikuwa muhimu kwa kiasi kikubwa.
cruise	safari ya meli	Walikata tiketi ya safari ya meli kwenda Ugiriki.
cue	ishara	Muigizaji alikosa ishara yake.
curious	mdadisi	Mtoto alikuwa mdadisi kuhusu anga.
curriculum	mtaala	Shule ilisasisha mtaala wake.
cute	-zuri	Mbwa mdogo alionekana mzuri.
dairy	maziwa	Shamba linazalisha bidhaa za maziwa.
dare	kuthubutu	Nakupa changamoto ujaribu.
darkness	giza	Chumba kilijaa giza.
database	hifadhidata	Hifadhidata inahifadhi rekodi za wateja.
deadline	tarehe ya mwisho	Tarehe ya mwisho ni Ijumaa.
deadly	hatari	Nyoka ana sumu ya kufisha.
dealer	muuzaji	Muuzaji wa magari alitoa punguzo.
deck	staha	Viti viko kwenye staha.
defender	mlinzi	Mlinzi alizuia shuti.
delete	kufuta	Futa ujumbe wa zamani.
democracy	demokrasia	Demokrasia inategemea chaguzi huru.
democratic	ya kidemokrasia	Kura ilifuata sheria za kidemokrasia.
demonstration	maandamano	Wanafunzi walijiunga na maandamano.
depart	kuondoka	Treni itaondoka saa sita mchana.
dependent	tegemezi	Mtoto ni tegemezi kwa watu wazima.
deposit	amana	Alilipa amana kwa ajili ya ghorofa.
depression	unyogovu	Sonona inahitaji msaada wa kitaalamu.
derive	kupata	Maneno mengi yanatokana na Kilatini.
desperately	kwa kukata tamaa	Alihitaji maji kwa dharura.
destruction	uharibifu	Dhoruba ilisababisha uharibifu mkubwa.
determination	dhamira	Azimio lake lilimfurahisha kocha.
devote	kujitolea	Anatenga wikendi kwa masomo.
differ	kutofautiana	Maoni yao yanatofautiana sana.
disability	ulemavu	Jengo lina njia ya walemavu.
disabled	mlemavu	Mwanariadha mlemavu alishinda medali.
disagreement	kutokubaliana	Mkutano uliisha kwa kutokubaliana.
disappoint	kukatisha tamaa	Matokeo yanaweza kuwakatisha tamaa mashabiki.
disappointment	masikitiko	Alihisi masikitiko makubwa.
discourage	kuvunja moyo	Usivunje moyo wanafunzi wadogo.
disorder	ugonjwa	Daktari aligundua tatizo la usingizi.
distant	mbali	Milima ilionekana ya mbali.
distinct	tofauti	Sauti hizo mbili ni tofauti.
distinguish	kutofautisha	Je, unaweza kutofautisha rangi hizi?
distract	kuvuruga	Kelele inaweza kuwavuruga wanafunzi.
disturb	kusumbua	Tafadhali usimsumbue mgonjwa.
dive	kupiga mbizi	Watapiga mbizi karibu na mwamba.
diverse	mbalimbali	Jiji lina tamaduni mbalimbali.
diversity	utofauti	Tunasherehekea utofauti wa kitamaduni.
divorce	talaka	Talaka ilikuwa ngumu kwa kila mtu.
dominant	tawala	Timu inayotawala ilidhibiti mchezo.
donation	mchango	Shirika la msaada lilipokea mchango.
dot	nukta	Weka nukta baada ya nambari.
downtown	katikati ya jiji	Tulikutana katikati ya jiji baada ya kazi.
dramatically	kwa kiasi kikubwa	Bei ilishuka kwa kiasi kikubwa.
drought	ukame	Ukame uliharibu mazao.
dull	butu	Hotuba ilikuwa inachosha.
dump	kutupa	Usitupe taka hapa.
duration	muda	Muda wa ndege ni saa tatu.
dynamic	nguvu	Darasa lilikuwa changamfu.
economics	uchumi	Anasoma uchumi chuo kikuu.
economist	mwanauchumi	Mwanauchumi alitabiri ukuaji wa polepole.
editorial	ya uhariri	Tahariri ilikosoa sheria hiyo.
efficiently	kwa ufanisi	Timu ilifanya kazi kwa ufanisi.
elbow	kiwiko	Aliumiza kiwiko chake.
electronics	vifaa vya kielektroniki	Duka linauza vifaa vya kielektroniki.
elegant	kifahari	Rinda lilionekana la kifahari.
elementary	ya msingi	Kitabu kinaeleza sarufi ya msingi.
eliminate	kuondoa	Timu iliondoa makosa kadhaa.
embrace	kukumbatia	Alikubali wazo jipya.
emission	utoaji	Viwango vya utoaji hewa vya magari vilishuka.
emotionally	kwa hisia	Alizungumza kwa hisia kuhusu familia yake.
empire	himaya	Ufalme ulidumu kwa karne nyingi.
enjoyable	ya kufurahisha	Safari ilikuwa ya kufurahisha.
entertaining	ya kuburudisha	Onyesho lilikuwa la kuburudisha.
entrepreneur	mjasiriamali	Mjasiriamali alifungua mkahawa.
envelope	bahasha	Weka barua katika bahasha.
equip	kuandaa	Shule itaweka vifaa kwenye maabara.
equivalent	kisawe	Dola moja si sawa hapa.
era	enzi	Ugunduzi ulianza enzi mpya.
erupt	kulipuka	Volkano inaweza kulipuka hivi karibuni.
essentially	kimsingi	Mbinu hizo mbili kimsingi zinafanana.
ethic	maadili	Maadili yake ya kazi ni thabiti.
ethnic	ya kikabila	Tamasha linaadhimisha mila za kikabila.
evaluation	tathmini	Kozi inajumuisha tathmini ya mwisho.
evident	dhahiri	Wasiwasi wake ulikuwa wazi.
evolution	mageuzi	Mageuzi yanaeleza mabadiliko mengi ya kibiolojia.
evolve	kubadilika	Lugha hubadilika kadiri muda unavyopita.
exceed	kuzidi	Mahitaji yanaweza kuzidi ugavi.
exception	upekee	Kuna kighairi kimoja.
excessive	ya kupita kiasi	Kelele za kupita kiasi huwasumbua majirani.
exclude	kutenga	Orodha inawatenga wafanyakazi wa muda.
exhibit	onyesho	Jumba la makumbusho litaonyesha picha adimu.
exit	mlango wa kutokea	Njia ya kutokea iko nyuma ya jukwaa.
exotic	ya kigeni	Duka linauza matunda ya kigeni.
expansion	upanuzi	Kampuni ilipanga upanuzi.
expertise	utaalamu	Utaalamu wake uliboresha mradi.
exploit	kutumia	Wahalifu hutumia vibaya nywila dhaifu.
exposure	mfiduo	Mfiduo wa jua unaweza kuharibu ngozi.
extension	nyongeza	Nyongeza ya muda wa mwisho ilimsaidia kila mtu.
extensive	pana	Maktaba ina rasilimali nyingi.
extensively	kwa upana	Mada ilisomwa kwa kina.
extract	dondoo	Kiini cha vanila hutoa ladha.
fabric	kitambaa	Kitambaa kinahisi laini.
fabulous	nzuri sana	Chakula kilikuwa kizuri sana.
failed	iliyoshindwa	Jaribio lililoshindwa lilitufundisha kitu.
fake	bandia	Tovuti iliuza tiketi bandia.
fame	umaarufu	Umaarufu ulibadilisha maisha yake ya kibinafsi.
fantasy	ndoto	Riwaya ni njozi.
fare	nauli	Nauli ya basi iliongezeka.
federal	ya shirikisho	Serikali ya shirikisho ilitangaza ufadhili.
fever	homa	Mtoto ana homa.
firefighter	zima moto	Mzimamoto alimwokoa mbwa.
firework	fataki	Fataki ililipuka juu ya mbuga.
firm	imara	Godoro ni imara.
firmly	kwa uthabiti	Alifunga mlango kwa nguvu.
flavour	ladha	Supu ina ladha nzuri.
fond	-enye upendo	Anapenda sana muziki wa jazi.
fool	mjinga	Usijiendeshe kama mjinga.
forbid	kataza	Sheria inakataza kuvuta sigara hapa.
forecast	utabiri	Utabiri unatabiri mvua.
format	muundo	Tumia muundo sahihi wa faili.
formation	malezi	Uundaji wa mawingu hubadilika haraka.
formerly	zamani	Jengo hilo zamani lilikuwa shule.
fortunate	-enye bahati	Tulikuwa na bahati kufika mapema.
forum	jukwaa	Kongamano lilijadili sera ya hali ya hewa.
fossil	kisukuku	Kisukuku kilipatikana kwenye jiwe.
foundation	msingi	Nyumba ina msingi imara.
founder	mwanzilishi	Mwanzilishi aliwakaribisha wageni.
fraction	sehemu	Sehemu tu ya wanafunzi ndio walikuja.
fragment	kipande	Kipande cha kioo kilikuwa sakafuni.
framework	mfumo	Sheria inaunda mfumo wazi.
fraud	udanganyifu	Benki iligundua ulaghai.
freely	kwa uhuru	Watoto walicheza kwa uhuru nje.
frequent	-a mara kwa mara	Mapumziko ya mara kwa mara huboresha umakini.
fulfil	timiza	Natumai kutimiza ahadi yangu.
full-time	muda wote	Ana kazi ya muda wote.
fundamentally	kimsingi	Mpango ni tofauti kimsingi.
furious	-enye hasira	Alikuwa amekasirika sana kuhusu ucheleweshaji.
gaming	uchezaji	Uchezaji wa michezo unaweza kuboresha kasi ya kujibu.
gay	shoga	Anaunga mkono haki za mashoga.
gender	jinsia	Utafiti uliuliza kuhusu jinsia.
gene	jeni	Jeni huathiri rangi ya macho.
genetic	-a kijeni	Ugonjwa una sababu za kijeni.
genius	fikra	Mpigakinanda mchanga ni gwiji.
genuine	halisi	Tabasamu lake lilionekana kuwa la kweli.
genuinely	kwa dhati	Alitaka kusaidia kwa dhati.
gesture	ishara	Alifanya ishara ya kirafiki.
gig	onyesho	Bendi ilifanya onyesho katikati ya jiji.
globalization	utandawazi	Utandawazi unaathiri biashara za ndani.
globe	tufe	Globu inaonyesha kila bara.
golden	-a dhahabu	Jua lililozama liligeuka kuwa rangi ya dhahabu.
goodness	wema	Anaamini katika wema wa binadamu.
gorgeous	-zuri sana	Bustani ilionekana nzuri sana.
governor	gavana	Gavana alisaini muswada.
graphic	-a picha	Picha ya wazi ilishtua watazamaji.
graphics	picha	Mchezo una michoro rahisi.
greatly	sana	Ushauri wako ulisaidia kwa kiasi kikubwa.
greenhouse	kitalu	Nyanya hukua ndani ya kitalu nyumba.
grocery	mboga	Alinunua bidhaa za chakula baada ya kazi.
guideline	mwongozo	Mwongozo unaelezea mazoezi salama.
habitat	makazi	Msitu ni makazi ya ndege.
harbour	bandari	Boti iliingia bandarini.
headquarters	makao makuu	Makao makuu ya kampuni yalihamia katikati ya jiji.
