source_headword	ID	example_ID
attribute	mengaitkan	Ilmuwan mengaitkan peningkatan tersebut dengan polusi.
audit	audit	Audit tersebut menemukan beberapa kesalahan.
authentic	autentik	Restoran tersebut menyajikan makanan daerah yang autentik.
authorize	mengizinkan	Hanya manajer yang dapat mengizinkan pengembalian uang.
auto	mobil	Industri mobil berubah dengan cepat.
autonomy	otonomi	Wilayah itu menginginkan otonomi yang lebih besar.
availability	ketersediaan	Ketersediaan tempat duduk terbatas.
await	menanti	Beberapa pesan menanti balasan Anda.
backdrop	latar belakang	Pegunungan membentuk latar belakang yang dramatis.
backing	dukungan	Proposal tersebut mendapat dukungan dari pemilih.
backup	cadangan	Sistem membuat cadangan setiap hari.
bail	jaminan	Hakim menetapkan uang jaminan pada siang hari.
ballot	surat suara	Setiap pemilih menerima surat suara.
banner	spanduk	Spanduk itu tergantung di atas pintu masuk.
bare	kosong	Ruangan itu memiliki dinding yang kosong.
barrel	tong	Tong itu penuh dengan air.
bass1	bas	Suara bas terdengar dalam dan hangat.
battlefield	medan perang	Medan perang lama itu menjadi tugu peringatan.
bay	teluk	Desa itu terletak di samping teluk yang tenang.
beam	balok	Sebuah balok baja menopang atap.
beast	binatang buas	Cerita itu menggambarkan seekor binatang buas yang ganas.
behalf	atas nama	Dia berbicara atas nama timnya.
beloved	tercinta	Guru tercinta itu pensiun hari ini.
bench	bangku	Mereka duduk di bangku kayu.
benchmark	tolok ukur	Tes tersebut menjadi tolok ukur industri.
beneath	di bawah	Dokumen-dokumen itu ada di bawah map.
beneficiary	penerima manfaat	Anak laki-lakinya adalah penerima manfaat utama.
betray	mengkhianati	Jangan mengkhianati kepercayaan teman Anda.
bind	mengikat	Perjanjian itu akan mengikat kedua perusahaan.
biography	biografi	Biografinya terjual banyak eksemplar.
bishop	uskup	Uskup mengunjungi gereja desa.
bizarre	aneh	Film itu memiliki akhir yang aneh.
blade	bilah	Bilah pisau itu memotong tali.
blast	ledakan	Ledakan itu memecahkan jendela di dekatnya.
bleed	berdarah	Luka potong itu mulai berdarah banyak.
blend	campur	Campurkan saus sampai halus.
bless	memberkati	Pendeta akan memberkati rumah itu.
blessing	berkah	Mendapat dukungan adalah sebuah berkah.
boast	membual	Dia suka membual tentang uang.
bonus	bonus	Karyawan menerima bonus liburan.
boom	lonjakan	Kota tersebut mengalami lonjakan pembangunan.
bounce	memantul	Bola itu bisa memantul sangat tinggi.
boundary	batas	Sungai itu menandai batasnya.
bow1	membungkuk	Aktor itu membungkuk dalam-dalam.
breach	pelanggaran	Pelanggaran tersebut mengekspos data pribadi.
breakdown	rincian	Laporan itu mencakup rincian biaya.
breakthrough	terobosan	Penemuan tersebut merupakan sebuah terobosan besar.
breed	berkembang biak	Burung-burung ini berkembang biak di musim semi.
broadband	jalur lebar	Kantor membutuhkan jalur lebar yang lebih cepat.
browser	peramban	Perbarui peramban Anda sebelum masuk.
brutal	brutal	Serangan itu brutal dan tiba-tiba.
buck	dolar	Harga tiket itu sepuluh dolar.
buddy	teman	Temannya menunggu di luar.
buffer	penyangga	Pepohonan tersebut menciptakan penyangga kebisingan.
bulk	jumlah besar	Mereka membeli beras dalam jumlah besar.
burden	beban	Utang tersebut menjadi beban yang berat.
bureaucracy	birokrasi	Birokrasi menunda izin tersebut.
burial	pemakaman	Pemakaman berlangsung saat fajar.
burst	pecah	Pipa itu bisa pecah di bawah tekanan.
cabinet	kabinet	Kabinet menyetujui rencana tersebut.
calculation	perhitungan	Perhitungan itu memakan waktu beberapa menit.
canvas	kanvas	Seniman itu melukis di atas kanvas besar.
capability	kemampuan	Perangkat ini memiliki kemampuan nirkabel.
capitalism	kapitalisme	Kapitalisme membentuk ekonomi modern.
capitalist	kapitalis	Sistem kapitalis menghargai investasi swasta.
cargo	kargo	Kapal itu membawa kargo medis.
carriage	gerbong	Gerbong kereta itu hampir kosong.
carve	mengukir	Dia akan mengukir kayu itu dengan hati-hati.
casino	kasino	Kasino itu dibuka di dekat hotel.
casualty	korban	Kecelakaan itu menyebabkan satu korban.
catalogue	katalog	Katalog tersebut mencantumkan setiap produk.
cater	melayani	Restoran itu bisa melayani acara besar.
cattle	sapi	Sapi-sapi itu merumput di dekat sungai.
caution	kehati-hatian	Berhati-hatilah di jalan yang tertutup es.
cautious	berhati-hati	Para investor tetap berhati-hati minggu ini.
cease	menghentikan	Pabrik itu akan segera menghentikan produksi.
cemetery	pemakaman	Pemakaman itu menghadap ke laut.
chamber	ruangan	Ruangan itu sunyi selama pemungutan suara.
chaos	kekacauan	Keterlambatan tersebut menyebabkan kekacauan di bandara.
characterize	mencirikan	Para ahli mencirikan rencana itu berisiko.
charm	pesona	Kota itu memiliki pesona dunia lama.
charter	piagam	Piagam tersebut melindungi hak-hak dasar.
chronic	kronis	Dia menderita sakit punggung kronis.
chunk	potongan	Potong keju menjadi potongan besar.
circulate	mengedarkan	Tolong edarkan agenda hari ini.
circulation	sirkulasi	Sirkulasi surat kabar itu turun tajam.
citizenship	kewarganegaraan	Dia mengajukan kewarganegaraan Prancis.
civic	sipil	Para pemimpin sipil menghadiri pertemuan tersebut.
civilian	sipil	Beberapa rumah warga sipil rusak.
clarity	kejelasan	Diagram tersebut menambah kejelasan pada laporan.
clash	bentrokan	Bentrokan dimulai setelah pawai tersebut.
classification	klasifikasi	Klasifikasi bergantung pada ukuran.
cling	menempel	Pakaian basah menempel di kulit.
clinical	klinis	Uji klinis dimulai bulan depan.
closure	penutupan	Keluarga menginginkan penutupan setelah kasus tersebut.
cluster	kelompok	Sekelompok rumah berdiri di dekatnya.
coalition	koalisi	Koalisi kehilangan mayoritasnya.
coastal	pesisir	Desa-desa pesisir bersiap menghadapi banjir.
cocktail	koktail	Dia memesan koktail buah.
cognitive	kognitif	Keterampilan kognitif meningkat dengan latihan.
coincide	bertepatan	Festival itu akan bertepatan dengan kelulusan.
collaborate	berkolaborasi	Tim berkolaborasi dalam perangkat lunak.
collaboration	kolaborasi	Kolaborasi mereka membuahkan hasil yang kuat.
collective	kolektif	Keputusan itu adalah upaya kolektif.
collision	tabrakan	Tabrakan itu memblokir jalan raya.
colonial	kolonial	Bangunan ini memiliki arsitektur kolonial.
columnist	kolumnis	Kolumnis itu mengkritik kebijakan tersebut.
combat	pertempuran	Para prajurit berlatih untuk pertempuran.
commence	dimulai	Upacara akan dimulai pada siang hari.
commentary	komentar	Komentar pertandingan itu sangat hidup.
commentator	komentator	Komentator menjelaskan keputusan tersebut.
commerce	perdagangan	Perdagangan daring berkembang pesat.
commissioner	komisaris	Komisaris mengumumkan peraturan baru.
commodity	komoditas	Gandum adalah komoditas yang penting.
communist	komunis	Partai komunis mengadakan pertemuan.
companion	rekan	Anjingnya adalah rekan yang setia.
comparable	sebanding	Kedua kota ini sebanding ukurannya.
compassion	belas kasih	Perawat itu menunjukkan belas kasih yang besar.
compel	memaksa	Bukti tersebut dapat memaksa sebuah tanggapan.
compelling	meyakinkan	Dokumenter itu membuat argumen yang meyakinkan.
compensate	memberikan kompensasi	Perusahaan akan memberikan kompensasi kepada pelanggan yang terdampak.
compensation	kompensasi	Para pekerja menuntut kompensasi yang adil.
competence	kompetensi	Tes ini mengukur kompetensi profesional.
competent	kompeten	Dia adalah insinyur yang kompeten.
compile	menyusun	Para peneliti menyusun data dari rumah sakit.
complement	melengkapi	Anggur itu akan melengkapi makanan tersebut.
complexity	kompleksitas	Proyek ini memiliki kompleksitas yang tak terduga.
compliance	kepatuhan	Audit tersebut memeriksa kepatuhan hukum.
complication	komplikasi	Operasi tersebut memiliki satu komplikasi.
comply	mematuhi	Perusahaan harus mematuhi peraturan.
composition	komposisi	Komposisi tersebut meliputi biola dan piano.
compromise	kompromi	Kompromi tersebut memuaskan kedua belah pihak.
compute	menghitung	Program ini dapat menghitung totalnya.
conceal	menyembunyikan	Dia berusaha menyembunyikan kerusakan itu.
concede	mengakui	Menteri menolak untuk mengakui kekalahan.
conceive	membayangkan	Mereka tidak dapat membayangkan rencana yang lebih baik.
conception	konsep	Film tersebut mengubah konsep saya tentang sejarah.
concession	konsesi	Perusahaan menawarkan satu konsesi.
condemn	mengecam	Para pemimpin mengecam serangan itu secara publik.
confer	memberikan	Penghargaan itu akan memberikan prestise.
confession	pengakuan	Pengakuannya mengejutkan pengadilan.
configuration	konfigurasi	Konfigurasi ini mengontrol akses jaringan.
confine	membatasi	Peraturan membatasi anjing di area ini.
confirmation	konfirmasi	Kami menerima konfirmasi melalui email.
confront	menghadapi	Dia memutuskan untuk menghadapi masalah tersebut.
confrontation	konfrontasi	Konfrontasi itu berakhir tanpa kekerasan.
congratulate	mengucapkan selamat	Saya menelepon untuk mengucapkan selamat kepada saudara perempuan saya.
congregation	jemaat	Jemaat bernyanyi bersama.
congressional	kongres	Sidang kongres berlangsung berjam-jam.
conquer	menaklukkan	Tim berharap dapat menaklukkan pasar.
conscience	hati nurani	Hati nuraninya tidak akan membiarkan kebohongan.
consciousness	kesadaran	Kecelakaan itu memengaruhi kesadarannya.
consecutive	berturut-turut	Dia memenangkan tiga pertandingan berturut-turut.
consensus	konsensus	Komite mencapai konsensus dengan cepat.
consent	persetujuan	Persetujuan tertulis diperlukan.
conserve	menghemat	Kami menghemat air selama kekeringan.
consistency	konsistensi	Konsistensi penting dalam studi bahasa.
consolidate	mengkonsolidasikan	Perusahaan akan mengkonsolidasikan dua kantor.
constituency	daerah pemilihan	Kandidat mengunjungi setiap daerah pemilihan.
constitute	merupakan	Wanita merupakan setengah dari komite tersebut.
constitution	konstitusi	Konstitusi menjamin kebebasan berbicara.
constitutional	konstitusional	Pengadilan meninjau hak-hak konstitusional.
constraint	kendala	Kendala anggaran membatasi proyek tersebut.
consultation	konsultasi	Konsultasi berlangsung selama dua minggu.
contemplate	merenungkan	Dia berhenti sejenak untuk merenungkan tawaran itu.
contempt	penghinaan	Dia menunjukkan penghinaan terhadap peraturan.
contend	bersaing	Beberapa firma bersaing untuk mendapatkan kontrak.
contender	pesaing	Dia adalah pesaing yang kuat.
content2	puas	Dia merasa puas dengan hasilnya.
contention	perselisihan	Perselisihan utama menyangkut masalah pendanaan.
continually	terus-menerus	Sistem terus-menerus memeriksa kesalahan.
contractor	kontraktor	Kontraktor memperbaiki atap.
contradiction	kontradiksi	Pernyataannya mengandung kontradiksi.
contrary	sebaliknya	Bukti yang sebaliknya mengubah kasus tersebut.
contributor	kontributor	Dia adalah kontributor tetap.
conversion	konversi	Konversi itu mengubah dolar menjadi euro.
convict	menghukum	Juri mungkin menghukum tersangka.
conviction	vonis	Vonisnya mengejutkan publik.
cooperate	bekerja sama	Mohon bekerja sama dengan penyelidikan.
cooperative	kooperatif	Staf tersebut kooperatif dan tenang.
coordinate	mengoordinasikan	Mereka mengoordinasikan pengiriman setiap pagi.
coordination	koordinasi	Koordinasi yang baik menghemat waktu.
coordinator	koordinator	Koordinator menugaskan setiap tugas.
cop	polisi	Seorang polisi berdiri di luar stasiun.
copper	tembaga	Pipa itu terbuat dari tembaga.
copyright	hak cipta	Gambar tersebut dilindungi oleh hak cipta.
correction	koreksi	Guru membuat satu koreksi.
correlate	berkorelasi	Stres tinggi dapat berkorelasi dengan penyakit.
correlation	korelasi	Studi tersebut menemukan korelasi yang kuat.
correspond	sesuai	Angka-angka ini sesuai dengan label.
correspondence	korespondensi	Korespondensi mereka berlangsung selama bertahun-tahun.
correspondent	koresponden	Koresponden itu melaporkan dari Kairo.
corresponding	yang sesuai	Setiap tombol memiliki lampu yang sesuai.
corrupt	korup	Pejabat yang korup itu menerima uang.
corruption	korupsi	Korupsi melemahkan kepercayaan publik.
costly	merugikan	Kesalahan itu merugikan bagi tim.
councillor	anggota dewan	Anggota dewan menjawab pertanyaan penduduk.
counselling	konseling	Dia menerima konseling setelah kecelakaan itu.
counsellor	konselor	Konselor membantu siswa baru.
counter (argue against)	membantah	Dia berusaha membantah argumennya.
counterpart	rekan sejawat	Dia bertemu dengan rekan sejawatnya dari Jepang.
countless	tak terhitung	Relawan tak terhitung jumlahnya bergabung dalam pencarian.
coup	kudeta	Kudeta tersebut menyingkirkan presiden.
courtesy	kesopanan	Dia berterima kasih atas kesopanan mereka.
