source_headword	SK	example_SK
lack	nedostatok	Nedostatok spánku škodí pamäti.
latest	najnovší	Čítal si najnovšiu správu?
lay	položiť	Polož knihu na stôl.
layer	vrstva	Pridaj ďalšiu vrstvu farby.
leading	popredný	Je popredná vedkyňa.
leaf	list	List spadol na môj kabát.
leather	koža	Jeho taška je z kože.
legal	právny	Potrebujeme právnu radu.
leisure	voľný čas	Čítanie je moja obľúbená činnosť vo voľnom čase.
length	dĺžka	Zmeraj dĺžku izby.
lie2 (tell a lie)	klamať	Neklam svojim rodičom.
limit	limit	Rýchlostný limit je päťdesiat.
lip	pera	Zahryzla si do pery.
liquid	kvapalina	Voda je číra kvapalina.
literature	literatúra	Študuje francúzsku literatúru.
live2	naživo	Kapela hrala včera večer naživo.
living	živý	Živé rastliny potrebujú svetlo.
locate	nájsť	Môžeš nájsť súbor?
located	umiestnený	Kancelária je umiestnená v centre.
location	poloha	Toto je dobrá poloha.
lonely	osamelý	Po presťahovaní sa cítil osamelý.
loss	strata	Strata bola ťažká pre všetkých.
luxury	luxus	Hotel ponúka skutočný luxus.
mad	nahnevaný	Bola nahnevaná kvôli meškaniu.
magic	kúzlo	Predstavenie bolo plné kúziel.
mainly	hlavne	Skupina je hlavne zo študentov.
mall	nákupné centrum	Stretli sme sa v nákupnom centre.
management	riadenie	Dobré riadenie šetrí čas.
marketing	marketing	Marketing pomáha predávať produkt.
marriage	manželstvo	Ich manželstvo trvalo tridsať rokov.
meanwhile	medzitým	Medzitým som varil večeru.
measure	zmerať	Zmeraj stôl pozorne.
medium	stredný	Objednal som si strednú pizzu.
mental	duševný	Stres ovplyvňuje duševné zdravie.
mess	neporiadok	Uprac tento neporiadok.
mild	mierny	Polievka má miernu chuť.
mine (hole in the ground)	baňa	Baňa sa minulý rok zatvorila.
mix	zmiešať	Zmiešaj vajcia s mliekom.
mixture	zmes	Zmes zhustla.
mood	nálada	Hudba zmenila jej náladu.
mud	blato	Jeho topánky boli pokryté blatom.
murder	vražda	Vražda sa stala v noci.
muscle	sval	Cvičenie buduje svaly.
mystery	záhada	Starý dom je záhada.
nail	necht	Zlomil som si necht.
narrative	rozprávanie	Román má jasné rozprávanie.
nation	národ	Celý národ oslavoval.
native	materinský jazyk	Španielčina je jej materinský jazyk.
naturally	prirodzene	Deti sa učia prirodzene hrou.
necessarily	nutne	Drahé jedlo nie je nutne lepšie.
needle	ihla	Ihla je veľmi ostrá.
neighbourhood	štvrť	Žijú v pokojnej štvrti.
net	sieť	Rybár opravil svoju sieť.
nor	ani	Ani sa neusmial, ani neprehovoril.
northern	severný	Navštívili severné pobrežie.
nuclear	jadrový	Debata bola o jadrovej energii.
obvious	zrejmý	Odpoveď bola zrejmá.
obviously	zjavne	Zjavne potrebujeme viac času.
occasion	príležitosť	Toto je zvláštna príležitosť.
occur	stať sa	Nehody sa môžu stať kdekoľvek.
odd	zvláštny	To bola zvláštna otázka.
official	oficiálny	Oficiálny výsledok prišiel dnes.
old-fashioned	staromódny	Jej telefón vyzerá staromódne.
operation	operácia	Operácia trvala dve hodiny.
organized	organizovaný	Jej stôl je veľmi organizovaný.
organizer	organizátor	Organizátor privítal hostí.
originally	pôvodne	Pôvodne pochádzala z Kanady.
ought modal	mal by	Mal by si odpočívať.
ours	náš	Tento stôl je náš.
outdoor	vonkajší	Kúpili sme vonkajší nábytok.
outdoors	vonku	Deti by sa mali hrať vonku.
package	balík	Balík prišiel dnes ráno.
painful	bolestivý	Rez bol bolestivý.
pale	bledý	Jeho tvár vyzerala bledo.
pan	panvica	Najprv zohrej panvicu.
participate	zúčastniť sa	Každý sa môže zúčastniť.
particularly	obzvlášť	Táto pieseň sa mi obzvlášť páči.
passion	vášeň	Hudba je jej vášeň.
path	cesta	Nasleduj cestu cez park.
payment	platba	Platba je splatná zajtra.
peaceful	pokojný	Záhrada je pokojná.
percentage	percento	Malé percento súhlasilo.
perfectly	dokonale	Plán fungoval dokonale.
performance	výkon	Jej výkon bol výborný.
personally	osobne	Osobne dávam prednosť čaju.
persuade	presvedčiť	Môžeš ho presvedčiť, aby sa pridal?
photographer	fotograf	Fotograf urobil veľa snímok.
photography	fotografia	Fotografia je jeho obľúbený koníček.
pin	špendlík	Daj špendlík na mapu.
pipe	potrubie	Potrubie vedie vodu.
planning	plánovanie	Plánovanie zaberá čas.
pleasant	príjemný	Mali sme príjemný večer.
pleasure	potešenie	Bolo potešením ťa spoznať.
plenty	dostatok	Máme dostatok času.
plot	zápletka	Zápletku bolo ľahké sledovať.
plus1	plus	Dva plus tri je päť.
poem	báseň	Napísala krátku báseň.
poet	básnik	Básnik čítal nahlas.
poetry	poézia	Má rád modernú poéziu.
poison	jed	Drž jed mimo dosahu detí.
poisonous	jedovatý	Niektoré huby sú jedovaté.
policy	politika	Spoločnosť zmenila svoju politiku.
political	politický	Prejav bol politický.
politician	politik	Politik odpovedal na otázky.
politics	politika	Politika môže byť zložitá.
port	prístav	Loď vplávala do prístavu.
portrait	portrét	Portrét visí v hale.
possibly	možno	Možno príde neskoro.
pot	kvetináč	Rastlina potrebuje väčší kvetináč.
pour	naliať	Nalej mlieko pomaly.
poverty	chudoba	Mnoho rodín žije v chudobe.
powder	prášok	Pridaj prášok do vody.
powerful	silný	Motor je silný.
practical	praktický	Toto je praktické riešenie.
pray	modliť sa	Modlia sa každé ráno.
prayer	modlitba	Povedala tichú modlitbu.
prediction	predpoveď	Jeho predpoveď bola správna.
prepared	pripravený	Som pripravený na skúšku.
presentation	prezentácia	Jej prezentácia bola jasná.
press	stlačiť	Stlač tlačidlo raz.
pressure	tlak	Tlak môže ovplyvniť tvoje zdravie.
pretend	predstierať	Nepredstieraj, že spíš.
previous	predchádzajúci	Predchádzajúca lekcia bola ľahšia.
previously	predtým	Predtým sme žili v Ríme.
priest	kňaz	Kňaz hovoril potichu.
primary	hlavný	Zdravie je naša hlavná starosť.
prince	princ	Princ navštívil školu.
princess	princezná	Princezná mala modré šaty.
printing	tlač	Tlač správy trvala niekoľko minút.
prisoner	väzeň	Väzeň v noci ušiel.
private	súkromný	Toto je súkromný rozhovor.
producer	producent	Producentovi sa film páčil.
production	výroba	Výroba sa začne budúci týždeň.
profession	profesia	Učiteľstvo je rešpektovaná profesia.
profit	zisk	Obchod dosiahol zisk.
promote	podporovať	Podporujú zdravé stravovanie.
proper	vhodný	Na túru si vezmi vhodné topánky.
properly	poriadne	Zavri dvere poriadne.
property	nehnuteľnosť	Kúpili nehnuteľnosť pri rieke.
protest	protest	Protest sa skončil pokojne.
proud	hrdý	Bola hrdá na svojho syna.
prove	dokázať	Môžeš dokázať svoju odpoveď?
punish	potrestať	Učiteľ ho nepotrestal.
punishment	trest	Trest sa zdal spravodlivý.
qualification	kvalifikácia	Na túto prácu potrebuješ kvalifikáciu.
qualified	kvalifikovaný	Je kvalifikovaná zdravotná sestra.
qualify	kvalifikovať sa	Náš tím sa môže kvalifikovať.
queue	rad	Čakali sme v dlhom rade.
quit	prestať	Rozhodol sa prestať fajčiť.
quotation	citát	Esej sa začína citátom.
quote	citovať	Môžem citovať tvoje slová?
race (people)	etnicita	Formulár sa pýta na etnicitu.
racing	dostihy	Dostihy sú tam populárne.
range	sortiment	Obchod predáva široký sortiment.
rare	vzácny	Tento vták je vzácny.
rarely	zriedka	Zriedka jeme vonku.
reaction	reakcia	Jej reakcia ma prekvapila.
reality	realita	Realita bola iná než jeho sen.
receipt	účtenka	Odlož si účtenku.
recommendation	odporúčanie	Ďakujem za odporúčanie.
reference	odkaz	Pridaj na koniec odkaz.
reflect	odrážať	Zrkadlo môže odrážať svetlo.
regularly	pravidelne	Pravidelne cvičí.
reject	odmietnuť	Môžu odmietnuť ponuku.
relate	stotožniť sa	Dokážem sa s tým príbehom stotožniť.
related	súvisiaci	Tieto dva problémy spolu súvisia.
relation	vzťah	Je medzi nimi vzťah.
relative	relatívny	Rýchlosť je relatívna.
relaxed	uvoľnený	Po večeri sa cítil uvoľnene.
relaxing	upokojujúci	Hudba bola upokojujúca.
release	vydať	Čoskoro vydajú ten film.
reliable	spoľahlivý	Tento autobus je zvyčajne spoľahlivý.
religion	náboženstvo	Náboženstvo je pre ňu dôležité.
religious	náboženský	Navštívili náboženskú budovu.
remain	zostať	Prosím zostaň pokojný.
remind	pripomenúť	Pripomeň mi to zajtra.
remote	odľahlý	Žijú v odľahlej dedine.
rent	nájom	Nájom je splatný dnes.
repeated	opakovaný	Opakované chyby spomalili prácu.
represent	predstavovať	Hviezda predstavuje nádej.
require	vyžadovať	Táto práca vyžaduje školenie.
reservation	rezervácia	Urobil som rezerváciu.
resource	zdroj	Knižnica je užitočný zdroj.
respect	rešpektovať	Rešpektuj svojich spolužiakov.
responsibility	zodpovednosť	Starostlivosť o deti je veľká zodpovednosť.
responsible	zodpovedný	Je zodpovedná za lístky.
retire	odísť do dôchodku	Môj otec čoskoro odíde do dôchodku.
retired	na dôchodku	Je učiteľ na dôchodku.
revise	prepracovať	Dnes večer prepracuj svoju esej.
risk	riziko	Hrozí riziko dažďa.
robot	robot	Robot vyčistil podlahu.
roll	kotúľať	Kotúľaj loptu ku mne.
romantic	romantický	Mali romantickú večeru.
rope	lano	Pevne zviaž lano.
rough	nerovný	Cesta bola nerovná.
row1	rad	Sadni si do predného radu.
royal	kráľovský	Kráľovská rodina dorazila.
rugby	ragby	Pozerali sme ragby v televízii.
safety	bezpečnosť	Bezpečnosť je v práci dôležitá.
sailor	námorník	Námorník opravil loď.
sample	vzorka	Sestra odobrala vzorku krvi.
sand	piesok	Piesok pokryl moje topánky.
scan	naskenovať	Najprv naskenuj dokument.
scientific	vedecký	Toto je vedecká metóda.
script	scenár	Herec čítal scenár.
sculpture	socha	Socha stojí vonku.
secondary	sekundárny	Toto je sekundárny problém.
security	bezpečnosť	Bezpečnosť skontrolovala naše tašky.
seed	semeno	Zasaď semeno do pôdy.
sensible	rozumný	To je rozumný nápad.
seriously	vážne	Ber tento problém vážne.
servant	sluha	Sluha otvoril dvere.
set (put)	položiť	Polož pohár na stôl.
set (group)	sada	Táto sada obsahuje šesť šálok.
setting	prostredie	Príbeh má mestské prostredie.
sex	pohlavie	Formulár sa pýta na vek a pohlavie.
sexual	sexuálny	Trieda diskutovala o sexuálnom zdraví.
sharp	ostrý	Tento nôž je ostrý.
shelf	polica	Polož knihu na policu.
shell	škrupina	Škrupina bola prázdna.
shift	zmena	Moja zmena začína o ôsmej.
shine	žiariť	Hviezdy v noci žiaria.
shiny	lesklý	Jej topánky sú lesklé.
shoot	fotografovať	Fotograf bude fotografovať scénu.
shy	plachý	Je plachý pred cudzími ľuďmi.
sight	pohľad	Hora bola krásny pohľad.
signal	signál	Signál bol slabý.
silent	tichý	Miestnosť stíchla.
silly	hlúpy	To bola hlúpa chyba.
similarity	podobnosť	Je tam jasná podobnosť.
similarly	podobne	Druhý plán funguje podobne.
simply	jednoducho	Jednoducho stlač toto tlačidlo.
sink	klesnúť	Ťažké kamene rýchlo klesnú.
slice	plátok	Zjedol som plátok koláča.
slightly	trochu	Izba je trochu teplejšia.
smart	elegantný	Mala na sebe elegantné sako.
smooth	hladký	Cesta je hladká.
software	softvér	Softvér potrebuje aktualizáciu.
soil	pôda	Pôda je suchá.
solid	pevný	Stena je pevná.
southern	južný	Žijú na južnom pobreží.
specifically	konkrétne	Konkrétne som požiadal o čaj.
spending	výdavky	Vládne výdavky vzrástli.
spicy	pikantný	Toto kari je pikantné.
spirit	duch	Tím ukázal silného ducha.
spoken	hovorený	Hovorená angličtina sa zlepšuje praxou.
spot	miesto	Toto miesto je dokonalé.
spread	natrieť	Natri maslo na chlieb.
stadium	štadión	Štadión bol plný.
staff	personál	Personál bol ochotný.
standard	úroveň	Úroveň bola vysoká.
statistic	štatistika	Táto štatistika je prekvapivá.
statue	socha	Socha stojí na námestí.
stick (push into/attach)	prilepiť	Prilep štítok na krabicu.
stick (piece of wood)	palica	Zdvihol palicu.
