source_headword	BN	example_BN
ashamed	লজ্জিত	সে নিজের কথার জন্য লজ্জিত ছিল.
aspect	দিক	এই দিকটির আরও মনোযোগ দরকার.
assess	মূল্যায়ন করা	শিক্ষক আমাদের কাজ মূল্যায়ন করেছিলেন.
assessment	মূল্যায়ন	পরীক্ষার পর মূল্যায়ন প্রস্তুত হয়েছিল.
associate	সম্পর্কিত করা	অনেকে এই গন্ধকে গ্রীষ্মের সঙ্গে সম্পর্কিত করে.
associated	সম্পর্কিত	এই ঝুঁকিগুলো প্রকল্পের সঙ্গে সম্পর্কিত.
association	সমিতি	সমিতি একটি উন্মুক্ত আলোচনা আয়োজন করেছিল.
assume	ধরে নেওয়া	আমি ধরে নিচ্ছি যে সে আসবে.
attempt	প্রয়াস	প্রথম প্রয়াস ব্যর্থ হয়েছিল.
bacteria	ব্যাকটেরিয়া	ব্যাকটেরিয়া উষ্ণ পানিতে ছড়ায়.
barrier	বাধা	ভাষা একটি বড় বাধা ছিল.
basically	মূলত	মূলত পরিকল্পনাটি সহজ ছিল.
bear (deal with)	সহ্য করা	আমি এই শব্দ সহ্য করতে পারি না.
beg	অনুরোধ করা	সে আন্তরিকভাবে সাহায্য চেয়েছিল.
being	জীব	জীবটি ধীরে চলছিল.
bent	বাঁকা	বাঁকা তারটি সহজে ভেঙে গেল.
bet	বাজি	সে একটি ছোট বাজি জিতেছিল.
beyond	এর বাইরে	পথটি বাড়ির বাইরে এগিয়ে গিয়েছিল.
bitter	তিক্ত	কফিটি খুব তিক্ত ছিল.
blame	দোষ দেওয়া	সবকিছুর দোষ তাকে দিও না.
blind	অন্ধ	অন্ধ মানুষটি দরজাটি চিনেছিল.
bond	বন্ধন	বছরের পর বছর শক্ত বন্ধন তৈরি হয়েছিল.
breast	স্তন	ডাক্তার স্তনটি সাবধানে পরীক্ষা করেছিলেন.
brief	সংক্ষিপ্ত	সভাটি সংক্ষিপ্ত ছিল.
broad	প্রশস্ত	রাস্তাটি প্রশস্ত ও শান্ত ছিল.
broadcast	সম্প্রচার করা	চ্যানেলটি ম্যাচটি সম্প্রচার করেছিল.
budget	বাজেট	এই বছর বাজেট ছোট ছিল.
bullet	গুলি	গুলিটি ধাতব পাতায় লেগেছিল.
bunch	গুচ্ছ	টেবিলে ফুলের একটি গুচ্ছ ছিল.
bush	ঝোপ	ঝোপটি জানালার নিচে বেড়েছিল.
cable	কেবল	কেবলটি টেবিলের পেছনে গেল.
calculate	হিসাব করা	প্রোগ্রামটি নিজেই মোট হিসাব করে.
cancel	বাতিল করা	তারা সকালে ফ্লাইট বাতিল করেছিল.
cancer	ক্যান্সার	ক্যান্সারের দ্রুত চিকিৎসা দরকার.
capable	সক্ষম	সে এটি করতে সক্ষম.
capacity	ক্ষমতা	হলের ক্ষমতা সীমিত.
capture	ধরা	ক্যামেরা মুহূর্তটি ধরে ফেলেছিল.
cast	অভিনয়শিল্পী দল	সিনেমার অভিনয়শিল্পী দল পরিচিত ছিল.
cell	কোষ	প্রতিটি কোষে তথ্য থাকে.
chairman	সভাপতি	সভাপতি সভাটি শুরু করেছিলেন.
characteristic	বৈশিষ্ট্য	এই বৈশিষ্ট্য প্রজাতিটিকে আলাদা করে.
chief	প্রধান	প্রধান কারণ ছিল আবহাওয়া.
circumstance	পরিস্থিতি	এই পরিস্থিতি সিদ্ধান্ত বদলে দিয়েছিল.
cite	উদ্ধৃত করা	নিবন্ধটি পুরোনো গবেষণা উদ্ধৃত করেছিল.
citizen	নাগরিক	প্রতিটি নাগরিক ভোট দিতে পারত.
civil	নাগরিক	এখানে নাগরিক আইন প্রযোজ্য.
classic	ক্লাসিক	এটি একটি ক্লাসিক উদাহরণ.
closely	মনোযোগ দিয়ে	তারা পরিস্থিতি মনোযোগ দিয়ে দেখেছিল.
collapse	ধসে পড়া	পুরোনো দেয়ালটি ধসে পড়ল.
combination	সমন্বয়	এই সমন্বয়টি ভালো কাজ করেছিল.
comfort	আরাম	চেয়ারটি বেশি আরাম দিয়েছিল.
command	নির্দেশ	কম্পিউটার নির্দেশটি চিনতে পারেনি.
commission	কমিশন	কমিশন ঘটনাটি তদন্ত করেছিল.
commitment	অঙ্গীকার	কাজটির জন্য বড় অঙ্গীকার দরকার ছিল.
committee	কমিটি	কমিটি প্রস্তাবে ভোট দিয়েছিল.
commonly	সাধারণত	এই শব্দটি স্কুলে সাধারণত ব্যবহৃত হয়.
complicated	জটিল	নির্দেশগুলো খুব জটিল ছিল.
component	উপাদান	একটি উপাদান বদলাতে হয়েছিল.
concentration	মনোযোগ	শব্দে মনোযোগ নষ্ট হয়ে গেল.
concept	ধারণা	এই ধারণাটির ব্যাখ্যা দরকার.
concern	উদ্বেগ	তার প্রধান উদ্বেগ ছিল নিরাপত্তা.
concerned	উদ্বিগ্ন	অভিভাবকেরা শিশুদের নিয়ে উদ্বিগ্ন ছিলেন.
conduct	পরিচালনা করা	দলটি গবেষণা পরিচালনা করেছিল.
confidence	আত্মবিশ্বাস	জয়ের পর আত্মবিশ্বাস বেড়েছিল.
conflict	সংঘাত	সংঘাতটি ছোট তর্ক দিয়ে শুরু হয়েছিল.
confusing	বিভ্রান্তিকর	নির্দেশগুলো বিভ্রান্তিকর ছিল.
conscious	সচেতন	সে ঝুঁকি সম্পর্কে সচেতন ছিল.
conservative	রক্ষণশীল	এটি একটি রক্ষণশীল অনুমান ছিল.
consideration	বিবেচনা	এই বিবেচনা সিদ্ধান্তকে প্রভাবিত করেছিল.
consistent	ধারাবাহিক	তার কাজ ধারাবাহিক ছিল.
constant	নিরন্তর	নিরন্তর শব্দ সবাইকে ক্লান্ত করেছিল.
constantly	নিরন্তর	ফোনটি নিরন্তর বাজছিল.
construct	নির্মাণ করা	তারা একটি অস্থায়ী সেতু নির্মাণ করেছিল.
construction	নির্মাণ	নির্মাণে দুই মাস লেগেছিল.
contemporary	সমসাময়িক	গ্যালারি সমসাময়িক শিল্প দেখিয়েছিল.
contest	প্রতিযোগিতা	প্রতিযোগিতা দুপুরে শুরু হয়েছিল.
contract	চুক্তি	চুক্তিটি আজ স্বাক্ষরিত হয়েছিল.
contribute	অবদান রাখা	সবাইকে প্রকল্পে অবদান রাখতে হয়েছিল.
contribution	অবদান	তার অবদান গুরুত্বপূর্ণ ছিল.
convert	রূপান্তর করা	প্রোগ্রামটি ফাইল দ্রুত রূপান্তর করে.
convinced	নিশ্চিত	আমি এ বিষয়ে পুরোপুরি নিশ্চিত.
core	মূল	মূল দলটি একই রইল.
corporate	কর্পোরেট	কর্পোরেট নিয়মগুলো কঠোর.
council	পরিষদ	পরিষদ সন্ধ্যায় বৈঠক করেছিল.
county	কাউন্টি	কাউন্টি নতুন রাস্তা খুলেছিল.
courage	সাহস	তার কথা বলার সাহস ছিল.
crash	ধাক্কা	ধাক্কাটি যান চলাচল বন্ধ করেছিল.
creation	সৃষ্টি	নতুন ব্যবস্থার সৃষ্টি সময় নিয়েছিল.
creature	প্রাণী	ছোট প্রাণীটি বনে হারিয়ে গেল.
crew	দল	দলটি জাহাজ প্রস্তুত করেছিল.
crisis	সংকট	সংকটটি পুরো সপ্তাহ চলেছিল.
criterion	মানদণ্ড	প্রধান মানদণ্ড ছিল স্পষ্টতা.
critic	সমালোচক	সমালোচক প্রদর্শনীর প্রশংসা করেছিলেন.
critical	গুরুত্বপূর্ণ	এটি একটি গুরুত্বপূর্ণ মুহূর্ত ছিল.
criticism	সমালোচনা	সমালোচনাটি বেশ কঠোর ছিল.
criticize	সমালোচনা করা	তারা সিদ্ধান্তটির প্রকাশ্যে সমালোচনা করেছিল.
crop	ফসল	এই বছর ফসল ভালো ছিল.
crucial	নির্ণায়ক	সময় ছিল নির্ণায়ক কারণ.
cure	চিকিৎসা	ডাক্তাররা নতুন চিকিৎসা খুঁজছিলেন.
curve	বাঁক	রাস্তাটি তীক্ষ্ণ বাঁক নিয়েছিল.
curved	বাঁকানো	বাঁকানো কাঁচ আলো ফিরিয়ে দিল.
debate	বিতর্ক	বিতর্কটি দীর্ঘ সময় চলেছিল.
debt	ঋণ	ঋণটি শেষ পর্যন্ত পরিশোধ করা হয়েছিল.
decent	ভদ্র	ঘরটি ভদ্র ও পরিষ্কার ছিল.
declare	ঘোষণা করা	শহর জরুরি অবস্থা ঘোষণা করেছিল.
decline	পতন	বিক্রিতে স্পষ্ট পতন দেখা গেল.
decoration	সাজসজ্জা	সাজসজ্জা দরজার ওপরে ঝুলছিল.
decrease	কমে যাওয়া	বসন্তে খরচ কমে গিয়েছিল.
deeply	গভীরভাবে	সে গভীরভাবে শ্বাস নিল.
defeat	পরাজয়	পরাজয়টি দলের জন্য কঠিন ছিল.
defence	প্রতিরক্ষা	প্রতিরক্ষা নতুন প্রমাণ উপস্থাপন করেছিল.
defend	রক্ষা করা	সে নিজের সিদ্ধান্ত রক্ষা করার চেষ্টা করেছিল.
delay	দেরি	দেরিটি এক ঘণ্টা স্থায়ী হয়েছিল.
deliberate	ইচ্ছাকৃত	এটি একটি ইচ্ছাকৃত পছন্দ ছিল.
deliberately	ইচ্ছাকৃতভাবে	সে ইচ্ছাকৃতভাবে এটি বাদ দিয়েছিল.
delight	আনন্দ	খবরটি সবাইকে আনন্দ দিয়েছিল.
delighted	আনন্দিত	সে ফলাফলে আনন্দিত ছিল.
delivery	ডেলিভারি	ডেলিভারিটি একটু দেরিতে হয়েছিল.
demand	চাহিদা	চাহিদা দ্রুত বেড়েছিল.
demonstrate	দেখানো	পরীক্ষাটি প্রভাব স্পষ্টভাবে দেখিয়েছিল.
deny	অস্বীকার করা	সে অভিযোগ অস্বীকার করেছিল.
depressed	হতাশ	সে হতাশ বোধ করছিল.
depressing	হতাশাজনক	আবহাওয়া সত্যিই হতাশাজনক ছিল.
depth	গভীরতা	হ্রদের গভীরতা আমাদের অবাক করেছিল.
deserve	প্রাপ্য হওয়া	তারা প্রশংসার প্রাপ্য.
desire	ইচ্ছা	শক্ত ইচ্ছা তাকে এগিয়ে নিয়েছিল.
desperate	মরিয়া	তারা সাহায্যের জন্য মরিয়া ছিল.
detailed	বিস্তারিত	প্রতিবেদনটি খুব বিস্তারিত ছিল.
detect	সনাক্ত করা	সেন্সরটি গতি সনাক্ত করেছিল.
dig	খোঁড়া	শিশুরা বালিতে গর্ত খুঁড়েছিল.
disc	ডিস্ক	পুরোনো ডিস্কটি খুলল না.
discipline	শৃঙ্খলা	খেলায় শৃঙ্খলা দরকার.
dishonest	অসৎ	অসৎ উত্তর বিশ্বাস ভেঙে দিল.
dismiss	বরখাস্ত করা	ম্যানেজার কর্মীকে বরখাস্ত করলেন.
display	দেখানো	স্ক্রিনটি নতুন বার্তা দেখাল.
distribute	বিতরণ করা	তারা শ্রেণিতে পাতা বিতরণ করেছিল.
distribution	বিতরণ	বিতরণটি অসম ছিল.
district	জেলা	এই জেলা দ্রুত বেড়েছে.
division	বিভাগ	কোম্পানি নতুন বিভাগ তৈরি করেছিল.
domestic	দেশীয়	দেশীয় বাজার শক্তিশালী ছিল.
dominate	প্রাধান্য করা	একটি দল খেলায় প্রাধান্য করেছিল.
downwards	নিচের দিকে	দাম নিচের দিকে গেল.
dozen	ডজন	টেবিলে এক ডজন ডিম ছিল.
draft	খসড়া	সে আমাকে খসড়াটি পাঠিয়েছিল.
drag	টেনে আনা	আইকনটি স্ক্রিনে টেনে আনো.
dramatic	নাটকীয়	পরিবর্তনটি নাটকীয় ছিল.
edit	সম্পাদনা করা	আমাকে লেখাটি সম্পাদনা করতে হবে.
edition	সংস্করণ	নতুন সংস্করণ আজ প্রকাশিত হলো.
efficient	দক্ষ	ব্যবস্থাটি এখন বেশি দক্ষ.
elderly	বয়স্ক	বয়স্ক নারীটি পার্কে বসেছিলেন.
elect	নির্বাচন করা	তারা নতুন নেতা নির্বাচন করেছিল.
elsewhere	অন্য কোথাও	উত্তর অন্য কোথাও খোঁজো.
emerge	প্রকাশ পাওয়া	নতুন তথ্য পরে প্রকাশ পেয়েছিল.
emotional	আবেগপূর্ণ	ভাষণটি খুব আবেগপূর্ণ ছিল.
emphasis	জোর	শিক্ষক স্পষ্টতার ওপর জোর দিয়েছিলেন.
emphasize	জোর দেওয়া	সে সময়সীমার ওপর জোর দিয়েছিল.
enable	সক্ষম করা	নতুন সরঞ্জাম দ্রুত কাজ সক্ষম করে.
encounter	মুখোমুখি হওয়া	ভ্রমণে আমরা কয়েকটি সমস্যার মুখোমুখি হয়েছিলাম.
engage	জড়িত করা	শিক্ষক সবাইকে জড়িত করার চেষ্টা করলেন.
enhance	উন্নত করা	নতুন আলো ছবিটি উন্নত করেছিল.
enquiry	অনুসন্ধান	অনুসন্ধানটি সকালে পাঠানো হয়েছিল.
ensure	নিশ্চিত করা	পরীক্ষা গুণমান নিশ্চিত করে.
enthusiasm	উৎসাহ	সে বড় উৎসাহ নিয়ে কথা বলেছিল.
enthusiastic	উৎসাহী	দর্শকেরা উৎসাহী ছিল.
entire	পুরো	পুরো দল দেরি করেছিল.
entirely	সম্পূর্ণভাবে	আমি সম্পূর্ণভাবে একমত নই.
establish	প্রতিষ্ঠা করা	তারা নতুন ক্লাব প্রতিষ্ঠা করেছিল.
estate	সম্পত্তি	সম্পত্তিটি দ্রুত বিক্রি হয়েছিল.
estimate	অনুমান	প্রাথমিক অনুমানটি বেশি ছিল.
ethical	নৈতিক	এটি একটি নৈতিক প্রশ্ন.
evaluate	মূল্যায়ন করা	আমাদের ফলাফল মূল্যায়ন করতে হবে.
evil	মন্দ	গল্পে মন্দ রাজা ছিল.
examination	পরীক্ষা	পরীক্ষা নয়টায় শুরু হয়েছিল.
excuse	অজুহাত	এই অজুহাত বিশ্বাসযোগ্য শোনায়নি.
executive	নির্বাহী	নির্বাহী পরিকল্পনাটি নিশ্চিত করেছিলেন.
existence	অস্তিত্ব	প্রমাণ তার অস্তিত্ব নিশ্চিত করেছিল.
expectation	প্রত্যাশা	প্রত্যাশা খুব বেশি ছিল.
expense	খরচ	এই খরচ বাজেট থেকে এসেছে.
exploration	অন্বেষণ	গুহার অন্বেষণ চলতে থাকল.
expose	উন্মোচন করা	গবেষণা ভুলটি উন্মোচন করেছিল.
extend	বাড়ানো	তারা সময়সীমা বাড়িয়েছিল.
extent	পরিমাণ	ক্ষতির পরিমাণ পরে স্পষ্ট হয়েছিল.
external	বাহ্যিক	বাহ্যিক অডিট কাল শুরু হবে.
extraordinary	অসাধারণ	এটি ছিল অসাধারণ অর্জন.
facility	সুবিধা	নতুন সুবিধাটি বসন্তে খুলেছিল.
failure	ব্যর্থতা	ব্যর্থতা আমাদের অনেক শিখিয়েছিল.
faith	বিশ্বাস	সে বিশ্বাস হারায়নি.
fault	দোষ	ভুলটি তার দোষ ছিল না.
feather	পালক	পালকটি ধীরে নিচে পড়ল.
fee	ফি	ফি আগে দিতে হবে.
feedback	প্রতিক্রিয়া	আমরা দরকারী প্রতিক্রিয়া পেয়েছিলাম.
fellow	সহকর্মী	তার সহকর্মী বাইরে অপেক্ষা করছিল.
finance	অর্থনীতি	অর্থনীতিতে সঠিক তথ্য দরকার.
finding	ফলাফল	প্রধান ফলাফলটি অপ্রত্যাশিত ছিল.
firm	প্রতিষ্ঠান	প্রতিষ্ঠানটি নতুন মানুষ নিয়োগ করেছিল.
flame	শিখা	শিখাটি বাতাসে নড়ছিল.
flash	ঝলক	আমরা আকাশে উজ্জ্বল ঝলক দেখলাম.
flexible	নমনীয়	সময়সূচি বেশ নমনীয়.
float	ভাসা	নৌকাটি জলে শান্তভাবে ভাসছিল.
folding	ভাঁজ করা	ভাঁজ করা চেয়ারটি আলমারিতে ঢুকে গেল.
forgive	ক্ষমা করা	সে শেষ পর্যন্ত ক্ষমা করতে পেরেছিল.
former	সাবেক	সাবেক নেতা সাক্ষাৎকার দিয়েছিলেন.
fortune	সম্পদ	সে বড় সম্পদ উত্তরাধিকারসূত্রে পেল.
found	প্রতিষ্ঠা করা	তারা অনেক আগে স্কুলটি প্রতিষ্ঠা করেছিল.
freedom	স্বাধীনতা	স্বাধীনতা তার কাছে গুরুত্বপূর্ণ.
frequency	কম্পাঙ্ক	পরীক্ষার সময় কম্পাঙ্ক বদলেছিল.
fully	পুরোপুরি	দরজাটি পুরোপুরি খোলা ছিল.
fund	তহবিল	তহবিল তরুণ বিজ্ঞানীদের সহায়তা করে.
fundamental	মৌলিক	এটি একটি মৌলিক নীতি.
funding	অর্থায়ন	অর্থায়ন শরতে শেষ হয়েছিল.
furthermore	তদুপরি	তদুপরি পরিকল্পনাটি খুব ব্যয়বহুল ছিল.
gain	লাভ করা	সে দ্রুত অভিজ্ঞতা লাভ করেছিল.
gang	দল	দলটি স্টেশনের কাছে জড়ো হয়েছিল.
generate	তৈরি করা	ব্যবস্থাটি স্বয়ংক্রিয়ভাবে রিপোর্ট তৈরি করে.
genre	ধারা	এই ধারা তরুণদের পছন্দ.
govern	নিয়ন্ত্রণ করা	আইন এই প্রক্রিয়া নিয়ন্ত্রণ করে.
grab	ধরা	সে দ্রুত ব্যাগটি ধরল.
gradually	ধীরে ধীরে	ব্যথা ধীরে ধীরে চলে গেল.
grand	বড়সড়	পরিকল্পনাটি খুব বড়সড় ছিল.
grant	অনুদান	বিশ্ববিদ্যালয় নতুন অনুদান পেল.
guarantee	গ্যারান্টি	গ্যারান্টি দুই বছর বৈধ.
handle	সামলানো	এই সরঞ্জাম বড় ফাইল সামলায়.
harm	ক্ষতি	ধোঁয়া ক্ষতি করতে পারে.
harmful	ক্ষতিকর	এই পদার্থ ক্ষতিকর.
hearing	শ্রবণ	বয়সের সঙ্গে শ্রবণ দুর্বল হলো.
heaven	স্বর্গ	মেঘ আকাশ ঢেকে দিল.
heel	গোড়ালি	দৌড়ের পর গোড়ালিতে ব্যথা হলো.
hell	নরক	ঘরটি নরকের মতো গরম ছিল.
hesitate	দ্বিধা করা	সাহায্য চাইতে দ্বিধা করো না.
hollow	ফাঁপা	গাছের কাণ্ড ফাঁপা ছিল.
holy	পবিত্র	এটি একটি পবিত্র স্থান.
honour	সম্মান	তাকে বড় সম্মান দেওয়া হয়েছিল.
household	গৃহস্থালি	গৃহস্থালি কম শক্তি ব্যবহার করেছিল.
housing	আবাসন	শহর আবাসনে বিনিয়োগ করেছিল.
humorous	রসিক	নিবন্ধটি রসিক ছিল.
humour	রসবোধ	তার রসবোধ উত্তেজনা কমিয়েছিল.
hunting	শিকার	এখানে শিকার কঠোরভাবে সীমিত.
illustrate	ব্যাখ্যা করা	চিত্রটি ধারণাটি ব্যাখ্যা করেছিল.
illustration	চিত্র	বইটিতে সুন্দর চিত্র ছিল.
imagination	কল্পনা	শিশুরা কল্পনা ব্যবহার করেছিল.
impatient	অধৈর্য	সে লাইনে অধৈর্য হয়ে পড়েছিল.
imply	ইঙ্গিত করা	তার উত্তর সমস্যা ইঙ্গিত করেছিল.
impose	আরোপ করা	সরকার নতুন কর আরোপ করেছিল.
impress	মুগ্ধ করা	উপস্থাপনাটি দর্শকদের মুগ্ধ করেছিল.
impressed	মুগ্ধ	আমি তার কাজে মুগ্ধ হয়েছিলাম.
inch	ইঞ্চি	টেবিলটি এক ইঞ্চি সরল.
incident	ঘটনা	ঘটনাটি সন্ধ্যায় ঘটেছিল.
income	আয়	আয় ধীরে ধীরে বেড়েছিল.
increasingly	ক্রমশ	কাজটি ক্রমশ ডিজিটাল হয়ে উঠল.
industrial	শিল্প	শিল্প এলাকা শহরের বাইরে ছিল.
infection	সংক্রমণ	সংক্রমণ দ্রুত ছড়িয়েছিল.
inform	জানানো	দয়া করে আমাকে পরিবর্তনটি জানাও.
initial	প্রাথমিক	প্রাথমিক ফলাফল ইতিবাচক ছিল.
initially	প্রথমে	প্রথমে সবকিছু সহজ লাগছিল.
initiative	উদ্যোগ	উদ্যোগটি শিক্ষার্থীদের কাছ থেকে এসেছিল.
inner	ভেতরের	ভেতরের দরজা বন্ধ ছিল.
insight	অন্তর্দৃষ্টি	আলোচনা নতুন অন্তর্দৃষ্টি দিয়েছিল.
insist	জোর দেওয়া	সে পরিষ্কার উত্তরের ওপর জোর দিয়েছিল.
inspire	অনুপ্রাণিত করা	তার গল্প আমাদের অনুপ্রাণিত করেছিল.
install	ইনস্টল করা	প্রযুক্তিবিদ সফটওয়্যার ইনস্টল করলেন.
instance	উদাহরণ	এটি একটি স্পষ্ট উদাহরণ.
