source_headword	UZ	example_UZ
terror	dahshat	Hujumdan keyin dahshat tarqaldi.
terrorism	terrorizm	Terrorizm jamoat xavfsizligiga tahdid soladi.
terrorist	terrorchi	Politsiya kecha terrorchini hibsga oldi.
testing	sinovdan o'tkazish	Mahsulotni sinovdan o'tkazish dushanba kuni boshlanadi.
textbook	darslik	U biologiya darsligini unutib qo'ydi.
theft	o'g'irlik	Hududda o'g'irlik ko'paydi.
therapist	terapevt	Terapevt unga tashvishni yengishga yordam berdi.
thesis	dissertatsiya	Uning dissertatsiyasi onlayn ta'limni o'rganadi.
thorough	puxta	Puxta tekshiruv hech qanday xatolarni topmadi.
thoroughly	yaxshilab	Jarohatni yaxshilab tozalang.
thumb	bosh barmoq	U roziligini bildirish uchun bosh barmog'ini ko'tardi.
timing	vaqt	Qo'ng'iroq vaqti ayni muddao edi.
tissue	salfetka	U stakanni salfetka bilan artdi.
ton	tonna	Yuk mashinasi bir tonna qum tashidi.
tonne	tonna	Yukning og'irligi bir tonna edi.
tournament	turnir	Tennis turniri ertaga boshlanadi.
trace	izlab topmoq	Olimlar virus manbasini izlab topishlari mumkin.
trading	savdo	Birja savdosi tushda to'xtadi.
tragedy	fojia	Halokat dahshatli fojia edi.
tragic	fojiali	Avariya fojiali oqibatlarga olib keldi.
trait	xislat	Sabr - bu foydali xislat.
transmit	tarqatmoq	Chivinlar kasallik tarqatishi mumkin.
transportation	transport	Bugun jamoat transporti gavjum.
trap	tutmoq	Quti hasharotlarni xavfsiz tarzda tutishi mumkin.
treasure	xazina	Eski sandiqda xazina bor edi.
tribe	qabila	Qabila o'z an'analarini himoya qildi.
trigger	ishga tushirmoq	Tutun signalizatsiyani ishga tushirishi mumkin.
trillion	trillion	Qarz bir trillion dollarga yetdi.
troop	qo'shin	Qo'shin chegara tomon harakatlandi.
tsunami	tsunami	Tsunami qirg'oqdagi uylarni vayron qildi.
ultimate	yakuniy	Yakuniy maqsad tinchlikdir.
unacceptable	qabul qilib bo'lmaydigan	Kechikish yo'lovchilar uchun qabul qilib bo'lmaydigan holat edi.
uncertainty	noaniqlik	Noaniqlik sarmoyadorlarni xavotirga soldi.
undergo	o'tmoq	Bemor ertaga jarrohlik amaliyotidan o'tadi.
undertake	o'tkazmoq	Jamoa so'rovnoma o'tkazadi.
unfold	namoyon bo'lmoq	Drama asta-sekin namoyon bo'la boshladi.
unfortunate	afsuslanarli	Xato afsuslanarli, ammo tuzatsa bo'ladigan edi.
unite	birlashtirmoq	Yetakchilar partiyani birlashtirishga harakat qilishdi.
unity	birlik	Nutq milliy birlikka chaqirdi.
universal	universal	Ilova universal dizayndan foydalanadi.
urgent	shoshilinch	Kasalxonaga shoshilinch qo'ng'iroq keldi.
usage	foydalanish	Qo'llanma to'g'ri foydalanishni tushuntiradi.
useless	foydasiz	Singan quvvatlagich foydasizdir.
valid	yaroqli	Sizning pasportingiz hali ham yaroqli.
variation	tafovut	Narxlarda katta tafovut mavjud.
vertical	vertikal	Grafik vertikal o'qqa ega.
viewpoint	nuqtai nazar	Munozaradan so'ng uning nuqtai nazari o'zgardi.
visa	viza	U talaba vizasi uchun ariza topshirdi.
visible	ko'rinadigan	Belgi bu yerdan ko'rinib turibdi.
voluntary	ixtiyoriy	Kurs ixtiyoriy seminarlarni o'z ichiga oladi.
voting	ovoz berish	Muddatidan oldin ovoz berish kelasi hafta boshlanadi.
wander	aylanib yurmoq	Sayyohlar eski bozor bo'ylab aylanib yurishadi.
warming	isish	Global isish dengiz sathiga ta'sir qiladi.
weekly	haftalik	Jamoa haftalik yig'ilish o'tkazadi.
weird	g'alati	Shovqin g'alati eshitildi.
welfare	farovonlik	Dastur bolalar farovonligini qo'llab-quvvatlaydi.
wheat	bug'doy	Fermer bug'doy yetishtiradi.
whoever	kimki	Kim birinchi kelsa, tashqarida kutib turishi kerak.
widespread	keng tarqalgan	Bo'ron keng tarqalgan zararga olib keldi.
wisdom	donolik	Uning buvisi amaliy donolik bilan o'rtoqlashdi.
withdraw	qaytarib olmoq	U arizasini qaytarib olishga qaror qildi.
workforce	ishchi kuchi	Ishchi kuchiga yangi ko'nikmalar kerak.
workplace	ish joyi	Ish joyida aniq xavfsizlik qoidalari mavjud.
workshop	seminar	Seminar soat o'nda boshlanadi.
worm	chuvalchang	Chuvalchang tuproq bo'ylab harakatlandi.
wrist	bilak	U bilagini jarohatlab oldi.
