simplified	NL	example_NL
节日	het feest; de feestdag	Het Lentefeest is een belangrijk Chinees feest.
解决	oplossen	Dit probleem is al opgelost.
借	lenen; uitlenen	Ik wil je woordenboek lenen.
经常	vaak; regelmatig	Ik ga vaak naar de bibliotheek.
经过	langsgaan; passeren	Ik kom elke dag langs dit park.
经理	de leidinggevende; de directeur	De leidinggevende is in een vergadering.
久	lang; lange tijd	Ik woon hier al lange tijd.
旧	oud; gebruikt	Dit kledingstuk is heel oud.
句子	de zin	Schrijf alstublieft een zin.
决定	besluiten; de beslissing	Ik heb besloten Chinees te studeren.
可爱	schattig; lief	Deze kat is heel schattig.
渴	dorst hebben	Ik heb dorst en wil water drinken.
刻	het kwartier; het moment	Het is kwart over acht.
客人	de gast; de klant	Vandaag kwam er een gast bij ons thuis.
空调	de airconditioning	Zet alstublieft de airconditioning aan.
口	de mond; het telwoord voor mensen of dieren	Hij nam een slok water.
哭	huilen	Waarom huilt het kind?
裤子	de broek	Deze broek is nieuw.
筷子	de eetstokjes	Ik kan met eetstokjes eten.
蓝	blauw	De lucht is blauw.
老	oud; bejaard	Mijn leraar is niet oud.
离开	vertrekken; verlaten	Hij vertrekt morgen uit Beijing.
礼物	het cadeau	Dit is een cadeau voor jou.
历史	de geschiedenis	Ik hou van Chinese geschiedenis.
脸	het gezicht	Haar gezicht is erg rood.
练习	oefenen; de oefening	Oefen alstublieft meer met Chinees spreken.
辆	het telwoord voor voertuigen	Er staat een taxi bij de deur.
聊天	kletsen; chatten	Ik klets met een vriend.
了解	begrijpen; leren kennen	Ik wil de Chinese cultuur begrijpen.
邻居	de buurman; de buurvrouw	Mijn buur is erg hartelijk.
留学	in het buitenland studeren	Zij studeert als buitenlandse student in China.
楼	het gebouw; de verdieping	Het kantoor is op de derde verdieping.
绿	groen	In de lente worden de bomen groen.
马	het paard	Dat paard rent heel snel.
马上	meteen; onmiddellijk	Ik kom meteen terug.
满意	tevreden	Ik ben erg tevreden met deze kamer.
帽子	de hoed; de muts	Deze hoed is erg mooi.
米	de meter; de rijst	Deze tafel is twee meter lang.
面包	het brood	Ik eet brood bij het ontbijt.
明白	begrijpen; duidelijk	Ik begrijp wat je bedoelt.
拿	nemen; vasthouden	Pak alstublieft een boek voor mij.
奶奶	de grootmoeder van vaderskant; oma	Oma luistert graag naar muziek.
南	het zuiden	De school ligt in het zuiden van de stad.
难	moeilijk	Deze vraag is niet moeilijk.
难过	verdrietig; bedroefd	Zij is vandaag een beetje verdrietig.
年级	het leerjaar	Mijn jongere zus zit in het derde leerjaar.
年轻	jong	Deze leidinggevende is erg jong.
鸟	de vogel	Er zit een vogel in de boom.
努力	zijn best doen; de inspanning	Hij studeert heel hard.
爬山	een berg beklimmen; wandelen in de bergen	Dit weekend gaan we wandelen in de bergen.
盘子	het bord; de schaal	Er staan drie borden op tafel.
胖	dik; mollig	Deze hond is een beetje dik.
啤酒	het bier	Papa drinkt geen bier.
皮鞋	de leren schoenen	Dit paar leren schoenen is duur.
瓶子	de fles	Er zit water in de fles.
其实	eigenlijk; in feite	Eigenlijk houd ik niet van bier.
其他	ander; de overige	De andere klasgenoten zijn allemaal gekomen.
奇怪	vreemd; raar	Dit geluid is erg vreemd.
骑	rijden op; fietsen	Hij fietst elke dag naar zijn werk.
起飞	opstijgen	Het vliegtuig stijgt zo op.
起来	opstaan; omhoog	Sta alstublieft op.
清楚	duidelijk	Je sprak heel duidelijk.
请假	verlof vragen	Hij is verkouden en moet verlof vragen.
秋	de herfst	In de herfst is het weer aangenaam.
裙子	de rok	Deze rok is erg mooi.
然后	dan; daarna	Eerst eet ik, daarna maak ik huiswerk.
热情	hartelijk; enthousiast	Chinese vrienden zijn erg hartelijk.
认为	denken; vinden	Ik vind dat deze methode goed is.
认真	serieus; aandachtig	Luister alstublieft aandachtig naar de leraar.
容易	gemakkelijk; makkelijk	Dit Chinese karakter is gemakkelijk te schrijven.
如果	als	Als het regent, nemen we de metro.
伞	de paraplu	Het regent; breng alstublieft een paraplu mee.
上网	online gaan; internetten	's Avonds ga ik online om de kaart te bekijken.
声音	de stem; het geluid	Je stem klinkt mooi.
生气	boos; boos worden	Word niet boos, ik deed het niet expres.
世界	de wereld	De wereld is heel groot.
试	proberen; passen	Ik wil dit paar leren schoenen passen.
瘦	dun; slank	Hij is dunner dan vroeger.
叔叔	de oom van vaderskant; de oom	Oom brengt mij met de auto naar school.
舒服	comfortabel; prettig	Deze stoel is comfortabel.
数学	de wiskunde	De wiskundeles is interessant.
树	de boom	Er staat een boom voor het huis.
刷牙	tandenpoetsen	Ik poets elke ochtend mijn tanden.
双	het paar; dubbel	Ik heb een paar leren schoenen gekocht.
水平	het niveau	Zijn niveau Chinees is hoog.
司机	de chauffeur; de bestuurder	De chauffeur wacht op ons bij de deur.
太阳	de zon	De zon is vandaag fel.
特别	bijzonder; vooral	Dit programma is bijzonder interessant.
疼	pijn doen; pijnlijk	Mijn been doet pijn.
提高	verbeteren; verhogen	Meer oefenen kan het niveau Chinees verbeteren.
体育	de sport; lichamelijke opvoeding	Ik vind de gymles leuk.
甜	zoet	Dit drankje is te zoet.
条	het telwoord voor lange dingen	Ik heb een rok gekocht.
同事	de collega	Mijn collega is erg druk.
同意	het eens zijn; instemmen	Ik ben het eens met je beslissing.
头发	het haar	Haar haar is lang.
突然	plotseling; onverwacht	Hij ging plotseling weg.
图书馆	de bibliotheek	De bibliotheek is vandaag niet open.
腿	het been	Na de bergwandeling doen mijn benen pijn.
完成	voltooien; afmaken	Ik heb het huiswerk al af.
碗	de kom; de schaal	Er staan twee kommen op tafel.
万	tienduizend	Deze stad heeft tienduizend inwoners.
忘记	vergeten	Vergeet niet je paspoort mee te nemen.
为	voor; vanwege	Ik ben blij voor jou.
为了	voor; omwille van	Voor het examen herhaalt hij elke dag.
位	het beleefde telwoord voor personen	Deze leraar is erg beroemd.
文化	de cultuur	Ik wil de Chinese cultuur begrijpen.
西	het westen	De bank ligt ten westen van de school.
习惯	de gewoonte; gewend zijn	Ik ben gewend om 's ochtends te sporten.
洗手间	het toilet	Het toilet is rechts.
洗澡	douchen; baden	's Avonds douche ik.
夏	de zomer	De zomer is erg heet.
先	eerst; vooraf	Eet jij eerst.
相信	geloven	Ik geloof dat hij zal komen.
香蕉	de banaan	Ik heb drie bananen gekocht.
像	lijken op; zoals	Deze wolk lijkt op een vogel.
向	naar; in de richting van	Loop alstublieft naar links.
小心	voorzichtig zijn	Het regent; wees voorzichtig onderweg.
校长	de schooldirecteur	De schooldirecteur is op kantoor.
新闻	het nieuws	Papa kijkt elke dag naar het nieuws.
新鲜	vers	Dit fruit is heel vers.
信用卡	de creditcard	Kan ik met creditcard betalen?
行李箱	de koffer	Mijn koffer is zwaar.
熊猫	de panda	Kinderen kijken graag naar panda's.
需要	nodig hebben; behoefte hebben aan	Ik heb je hulp nodig.
选择	kiezen; de keuze	Welk overhemd kies je?
要求	vragen; eisen	De leraar vraagt ons het huiswerk zorgvuldig te maken.
爷爷	de grootvader van vaderskant; opa	Opa gaat elke dag naar het park.
一直	altijd; voortdurend	Hij wacht al die tijd op je.
一定	zeker; beslist	Ik kom zeker.
一共	in totaal	Hoeveel kosten deze boeken in totaal?
一会儿	even; een poosje	Wacht alstublieft even op mij.
一样	hetzelfde; gelijk	Deze twee kopjes zijn even groot.
以前	vroeger; eerder	Vroeger woonde ik in Beijing.
一般	gewoon; gemiddeld	Het eten in dit restaurant is gemiddeld.
一边	één kant; terwijl	Hij luistert naar muziek terwijl hij huiswerk maakt.
音乐	de muziek	Ik hou van Chinese muziek.
银行	de bank	De bank is naast de supermarkt.
饮料	het drankje	Deze drank smaakt goed.
应该	moeten; zou moeten	Je zou meer moeten rusten.
影响	de invloed; beïnvloeden	Het weer zal de wedstrijd beïnvloeden.
用	gebruiken	Ik gebruik de computer om huiswerk te maken.
游戏	het spel	De kinderen spelen spelletjes.
有名	beroemd; bekend	Dit restaurant is erg beroemd.
又	weer; opnieuw	Hij was vandaag weer te laat.
遇到	ontmoeten; tegenkomen	Ik kwam de leraar op straat tegen.
元	de yuan; de munteenheid	Dit woordenboek kost vijftig yuan.
愿意	bereid zijn; willen	Ben je bereid deel te nemen?
月亮	de maan	De maan is helder vanavond.
越	hoe meer... hoe meer...	Hoe meer ik Chinees studeer, hoe interessanter het wordt.
站	het station; staan	Hij staat bij de deur.
张	het telwoord voor platte voorwerpen	Geef mij alstublieft een kaart.
长	groeien	Kinderen groeien snel.
着急	zich zorgen maken; ongerust zijn	Maak je geen zorgen, de lift komt zo.
照顾	zorgen voor	Zij zorgt voor haar zieke oma.
照片	de foto	Deze foto ziet er goed uit.
照相机	de camera	Ik gebruik een camera om foto's te maken.
283:只	alleen; slechts	Ik drink maar één kop thee.
284:只	het telwoord voor dieren	Er zit een kat onder de tafel.
只有…才…	alleen als... dan...	Alleen door zorgvuldig te herhalen kun je het goed doen op het examen.
中间	het midden; tussen	De tafel staat midden in de kamer.
中文	het Chinees; de Chinese taal	Ik studeer elke dag Chinees.
终于	eindelijk	Eindelijk zijn we aangekomen.
种	de soort; het type	Wat voor drankje vind je lekker?
重要	belangrijk	Het paspoort is erg belangrijk.
周末	het weekend	Ik wil in het weekend naar het park.
主要	belangrijkste; voornaamste	Zijn belangrijkste hobby is muziek.
注意	opletten; aandacht besteden	Let alstublieft op de leraar.
自己	zelf; zichzelf	Ik wil het huiswerk zelf maken.
自行车	de fiets	Mijn fiets staat beneden.
总是	altijd	Hij komt altijd vroeg op kantoor.
嘴	de mond	Doe alstublieft je mond open.
最后	tot slot; uiteindelijk	Uiteindelijk waren we het allemaal eens.
最近	onlangs; de laatste tijd	Ik ben de laatste tijd druk.
作业	het huiswerk	Ik heb het huiswerk nog niet af.
