simplified	LV	example_LV
变质	sabojāties	Piens, ilgi stāvot, sabojājas.
辨认	atpazīt	Policija lūdza viņam atpazīt cilvēku fotogrāfijā.
辩护	aizstāvēt	Advokāts aizstāvēja apsūdzēto.
辩解	taisnoties	Viņš mēģināja taisnoties par savu kļūdu.
辩证	dialektisks	Mums uz šo jautājumu jāskatās dialektiski.
辫子	bize	Mazajai meitenei bija divas bizes.
遍布	būt izplatītam	Šis augs ir izplatīts visā valstī.
标本	eksponāts	Muzejā ir izstādīti dzīvnieku eksponāti.
标记	atzīme	Lūdzu, pie svarīgajām rindkopām izdariet atzīmes.
标题	virsraksts	Šī raksta virsraksts ir ļoti piesaistošs.
表决	balsošana	Pārstāvji balsos par priekšlikumu.
表态	paust nostāju	Viņš vēl nav publiski paudis savu nostāju.
表彰	uzslavēt	Uzņēmums uzslavēja izcilos darbiniekus.
憋	apspiest	Viņš apspieda smieklus un neko neteica.
别墅	villa	Viņi nopirka villu priekšpilsētā.
别致	savdabīgs	Šīs kafejnīcas iekārtojums ir ļoti savdabīgs.
别扭	neveikls	Šis teikums izklausās mazliet neveikls.
濒临	būt uz robežas	Šis dzīvnieks ir uz izmiršanas robežas.
冰雹	krusa	Vakar pēcpusdienā bija spēcīga krusa.
丙	trešais	C grupas sacensības sāksies pēcpusdienā.
并非	nebūt nav	Lietas nebūt nav tādas, kā tu iedomājies.
并列	dalīt vietu	Šie divi projekti dala pirmo vietu.
剥削	ekspluatācija	Vecajā sabiedrībā pastāvēja smaga ekspluatācija.
拨	sastādīt	Lūdzu, sastādiet šo tālruņa numuru.
播种	sēt	Zemnieki pavasarī sāk sēt.
波浪	viļņi	Jūrā pacēlās milzīgi viļņi.
波涛	viļņu bangas	Laiva virzījās uz priekšu cauri viļņu bangām.
伯母	tēva vecākā brāļa sieva	Es nedēļas nogalē apciemošu tēva vecākā brāļa sievu.
博大精深	plašs un dziļš	Ķīnas kultūra ir plaša un dziļa.
博览会	izstāde	Starptautiskā izstāde piesaistīja daudz uzņēmumu.
搏斗	cīņa	Policija iesaistījās cīņā ar noziedznieku.
薄弱	vājš	Viņa gramatikas pamati ir samērā vāji.
不顾	neraugoties uz	Viņš metās iekšā, neraugoties uz briesmām.
不愧	pelnīti	Viņš pelnīti tiek saukts par pieredzējušu ekspertu.
不料	negaidīti	Negaidīti sanāksme pēkšņi tika atcelta.
不像话	nepieņemams	Tā izturēties pret viesiem ir pilnīgi nepieņemami.
不屑一顾	nicīgi ignorēt	Viņš nicīgi ignorēja šīs baumas.
哺乳	barot ar krūti	Māte baro bērnu ar krūti.
捕捉	notvert	Fotogrāfs notvēra brīnišķīgu mirkli.
补偿	kompensēt	Uzņēmums kompensēs tavus zaudējumus.
补救	labot	Mums vēl ir laiks to labot.
补贴	pabalsts	Valdība piešķir pabalstus ģimenēm ar zemiem ienākumiem.
不得已	bez citas izvēles	Viņš aizbrauca no dzimtās vietas tikai tāpēc, ka nebija citas izvēles.
不妨	varētu arī	Tu varētu arī vispirms noklausīties viņa skaidrojumu.
不敢当	neesmu pelnījis	Jūs mani tā slavējat, bet es to tiešām neesmu pelnījis.
不禁	nevarēt atturēties	Dzirdot šo ziņu, viņš nevarēja atturēties no smiekliem.
不堪	neizturams	Troksnis šeit ir neizturams.
不可思议	neticams	Šis rezultāts ir patiešām neticams.
不免	neizbēgami	Pirmo reizi kāpjot uz skatuves, viņš neizbēgami mazliet uztraucās.
不时	ik pa laikam	Viņš ik pa laikam pacēla galvu un paskatījās pulkstenī.
不惜	nevilcināties	Lai glābtu cilvēku, viņš nevilcinājās riskēt.
不相上下	līdzvērtīgs	Abu komandu spēki ir līdzvērtīgi.
不言而喻	pašsaprotams	Godīguma nozīme ir pašsaprotama.
不由得	neviļus	Ieraugot veco fotogrāfiju, es neviļus atcerējos bērnību.
不择手段	bez jebkādiem līdzekļu ierobežojumiem	Naudas dēļ viņš izmanto jebkādus līdzekļus.
不止	vairāk nekā	Sanāksmē piedalījās vairāk nekā simt cilvēku.
布告	paziņojums	Pie skolas vārtiem bija pielīmēts paziņojums.
布局	plānojums	Šī dzīvokļa plānojums ir ļoti saprātīgs.
布置	uzdot	Skolotājs uzdeva jaunu mājasdarbu.
步伐	solis	Komanda virzījās uz priekšu vienmērīgiem soļiem.
部署	izvietot	Uzņēmums ievieš jaunu pārdošanas plānu.
部位	vieta	Ārsts pārbaudīja ievainoto vietu.
才干	spējas	Viņai ir lielas spējas vadībā.
裁缝	drēbnieks	Šis drēbnieks ir ļoti prasmīgs.
裁判	tiesnesis	Tiesnesis paziņoja par spēles pārtraukumu.
裁员	atlaist darbiniekus	Zaudējumu dēļ uzņēmums nolēma atlaist darbiniekus.
财富	bagātība	Zināšanas arī ir bagātība.
财务	finanšu lietas	Finanšu nodaļa pārbauda kontus.
财政	finanses	Šogad valsts finanšu ieņēmumi ir nedaudz pieauguši.
彩票	loterijas biļete	Viņš reizēm nopērk loterijas biļeti.
采购	iegādāties	Uzņēmums nosūtīja cilvēku iegādāties aprīkojumu.
采集	vākt	Pētnieki mežā vāca paraugus.
采纳	pieņemt	Vadītājs pieņēma mūsu priekšlikumu.
参谋	padomdevējs	Viņš bieži ir vadītāja padomdevējs.
参照	atsaukties uz	Lūdzu, aizpildiet veidlapu, atsaucoties uz šo formātu.
残疾	invaliditāte	Šī stacija sniedz palīdzību pasažieriem ar invaliditāti.
残酷	nežēlīgs	Karš ir ļoti nežēlīgs.
残留	palikt	Krūzē vēl bija palikusi kafijas smarža.
残忍	cietsirdīgs	Dzīvnieku mocīšana ir cietsirdīga rīcība.
灿烂	spilgts	Viņa parādīja spilgtu smaidu.
仓促	steidzīgs	Šis lēmums tika pieņemts pārāk steidzīgi.
仓库	noliktava	Preces jau ir nogādātas noliktavā.
舱	kabīne	Pasažieri iekāpj lidmašīnas kabīnē.
苍白	bāls	Viņa seja izskatījās ļoti bāla.
操劳	nopūlēties	Māte daudzus gadus nopūlējās šīs ģimenes labā.
操练	trenēties	Karavīri katru rītu trenējas.
操纵	vadīt	Šo mašīnu vada dators.
操作	darbināt	Lūdzu, darbiniet iekārtu saskaņā ar instrukciju.
嘈杂	trokšņains	Stacijā ir ļoti trokšņains.
草案	projekts	Komiteja apspriež projekta tekstu.
草率	paviršs	Tik svarīgu lēmumu nedrīkst pieņemt pavirši.
侧面	sāns	No sāniem šī ēka izskatās augstāka.
测量	mērīt	Inženieris mēra tilta garumu.
策划	plānot	Viņi plānoja lielu pasākumu.
策略	stratēģija	Šī stratēģija palīdzēja uzņēmumam samazināt izmaksas.
层出不穷	parādīties atkal un atkal	Jaunas problēmas parādās atkal un atkal.
层次	struktūra	Šī raksta struktūra ir ļoti skaidra.
差别	atšķirība	Starp abām metodēm nav lielas atšķirības.
插座	kontaktligzda	Šajā telpā nepietiek kontaktligzdu.
查获	konfiscēt	Muita konfiscēja viltotu preču partiju.
刹那	mirklis	Vienā mirklī visas gaismas nodzisa.
岔	sazaroties	Mašīnas priekšā esošajā krustojumā sadalījās dažādos virzienos.
诧异	pārsteigts	Viņa lēmums visus ļoti pārsteidza.
柴油	dīzeļdegviela	Šī kravas automašīna izmanto dīzeļdegvielu.
搀	pieturēt	Medmāsa pieturēja veco cilvēku, ieejot palātā.
缠绕	aptīties	Vīteņaugi aptinās ap zariem.
馋	kārot	Ieraugot kūku, bērnam to sagribējās.
产业	nozare	Tūrisms šeit ir svarīga nozare.
阐述	izklāstīt	Profesors detalizēti izklāstīja savu viedokli.
颤抖	trīcēt	Viņa tik ļoti sala, ka trīcēja viss ķermenis.
昌盛	plaukstošs	Mēs ceram, ka valsts būs plaukstoša un stipra.
偿还	atmaksāt	Viņš laikus atmaksāja aizdevumu.
尝试	mēģināt	Mēs varam mēģināt jaunu metodi.
场合	gadījums	Šādā gadījumā jokot nav piemēroti.
场面	aina	Kāzu aina bija ļoti dzīvīga.
场所	vieta	Šī ir publiska vieta, lūdzu, nesmēķējiet.
敞开	atvērt plaši	Lūdzu, uz brīdi plaši atveriet logu.
倡导	veicināt	Skola veicina veselīgu dzīvesveidu.
倡议	iniciatīva	Šī vides iniciatīva saņēma atbalstu.
畅通	netraucēts	Pēc lietus ceļš atkal bija brīvi izbraucams.
畅销	labi pārdoties	Šis romāns ļoti labi pārdodas.
超越	pārspēt	Viņš beidzot pārspēja savu rekordu.
钞票	banknote	Makā bija palikušas tikai dažas banknotes.
嘲笑	izsmiet	Neizsmej citu cilvēku trūkumus.
巢穴	ala	Mednieks atrada dzīvnieka alu.
朝代	dinastija	Tanu dinastija ir viena no Ķīnas vēstures dinastijām.
潮流	tendence	Jaunieši pievērš lielu uzmanību modes tendencēm.
撤退	atkāpties	Karaspēks atkāpās pēc pavēles saņemšanas.
撤销	atcelt	Tiesa atcēla sākotnējo spriedumu.
沉淀	nosēsties	Dūņas lēnām nosēdīsies.
沉闷	smacīgs	Šodien laiks ir karsts un smacīgs.
沉思	domīgi iegrimt	Viņš sēdēja pie loga un bija iegrimis domās.
沉重	smagums	Šī ziņa visiem radīja smagu noskaņojumu.
沉着	mierīgs	Bīstamā situācijā jāsaglabā miers.
陈旧	novecojis	Šī mašīna jau ir ļoti novecojusi.
陈列	izstādīt	Izstāžu zālē ir izstādīti daudzi kultūras priekšmeti.
陈述	izklāstīt	Lūdzu, skaidri izklāsti faktus.
称心如意	apmierinošs	Šis darbs viņu ļoti apmierina.
衬托	izcelt	Baltā siena izceļ ziedu krāsu.
称号	tituls	Viņš saņēma izcila skolotāja titulu.
乘	braukt	Es katru dienu braucu uz darbu ar metro.
呈现	iegūt	Debesis ieguva maigi sarkanu nokrāsu.
城堡	pils	Kalna virsotnē ir sena pils.
惩罚	sodīt	Skola sodīs skolēnus, kuri krāpjas.
成本	izmaksas	Izejvielu cenu kāpums palielināja izmaksas.
成交	noslēgt darījumu	Šis darījums beidzot tika noslēgts.
成天	visu dienu	Viņš visu dienu sēž pie datora.
成效	rezultāts	Jaunā vadības metode drīz parādīja rezultātus.
成心	tīšām	Viņš tevi nesamulsināja tīšām.
成员	loceklis	Katram loceklim jāpiedalās sanāksmē.
承办	organizēt	Šis uzņēmums organizēja izstādi.
承包	uzņemties līgumdarbu	Viņi uzņēmās šo projektu kā līgumdarbu.
承诺	solījums	Viņš solīja uzdevumu pabeigt laikā.
橙	apelsīns	Es nopirku vairākus svaigus apelsīnus.
澄清	noskaidrot	Vadītājs iznāca un noskaidroja pārpratumu.
盛	ieliet	Viņa viesim ielēja bļodu zupas.
诚挚	sirsnīgs	Lūdzu, pieņemiet manu sirsnīgo pateicību.
秤	svari	Šie svari nav īpaši precīzi.
吃苦	paciest grūtības	Jauniem cilvēkiem jāiemācās paciest grūtības.
吃力	grūti	Šo kasti pārvietot ir ļoti grūti.
持久	ilgstošs	Panākumiem vajadzīgas ilgstošas pūles.
迟钝	gauss	Pēdējā laikā viņa reakcija ir mazliet gausa.
迟缓	lēns	Pēc lietus satiksme kļuva lēna.
迟疑	vilcināties	Viņa brīdi vilcinājās un tikai tad atbildēja.
赤道	ekvators	Ekvatora tuvumā visu gadu ir karsts.
赤字	deficīts	Uzņēmumam šogad radās deficīts.
充当	pildīt lomu	Viņš projektā pildīja koordinatora lomu.
充沛	pārpilns	Bērni ir enerģijas pārpilni.
充实	pilnvērtīgs	Šī pieredze padarīja manu dzīvi pilnvērtīgāku.
充足	pietiekams	Pirms ceļojuma jāsagatavo pietiekami daudz ūdens.
冲动	impulss	Nepieņem lēmumu mirkļa impulsa dēļ.
冲击	ietekme	Jaunās tehnoloģijas spēcīgi ietekmēja tradicionālās nozares.
冲突	konflikts	Abas puses centās izvairīties no konflikta.
崇拜	apbrīnot	Daudzi jaunieši apbrīno šo zinātnieku.
崇高	cēls	Ārsta pienākums ir cēls.
崇敬	cienīt	Skolēni ļoti ciena šo skolotāju.
重叠	pārklāties	Šie divi uzdevumi daļēji pārklājas.
稠密	blīvs	Šeit iedzīvotāju skaits ir ļoti blīvs.
筹备	gatavoties	Viņi gatavojas kāzām.
丑恶	neglīts	Viņš atklāja neglīto patiesību aiz šī notikuma.
出路	izeja	Izglītība jauniešiem var dot vairāk iespēju.
出卖	nodot	Viņš nenodos draugus.
出身	izcelsme	Viņš nāk no parastas ģimenes.
出神	aizrāvies	Viņa bija pilnīgi aizrāvusies, klausoties mūziku.
出息	perspektīva	Šim bērnam nākotnē būs labas perspektīvas.
初步	sākotnējs	Mēs jau esam panākuši sākotnēju vienošanos.
除	izņemot	Izņemot viņu, visi jau ir ieradušies.
储备	rezerves	Uzņēmumam jāveido lielākas finanšu rezerves.
储存	glabāt	Šie dati tiks glabāti automātiski.
储蓄	uzkrāt	Viņš katru mēnesi uzkrāj daļu algas.
处分	sods	Skola viņam piemēroja nopietnu sodu.
处境	stāvoklis	Viņu pašreizējais stāvoklis ir ļoti grūts.
处置	rīkoties ar	Ar šo veco aprīkojumu jārīkojas pareizi.
触犯	pārkāpt	Tā rīkojoties, tiks pārkāpts likums.
川流不息	nepārtraukta plūsma	Mašīnas uz ielas plūst nepārtrauktā straumē.
穿越	šķērsot	Vilciens šķērsoja garo tuneli.
传达	nodot	Lūdzu, nododiet šo ziņu visiem.
传单	skrejlapa	Brīvprātīgie uz ielas dalīja skrejlapas.
传授	nodot tālāk	Skolotājs nodeva skolēniem savu pieredzi.
船舶	kuģi	Ostā stāv daudz kuģu.
喘气	elsot	Pēc skriešanas viņš nepārtraukti elsoja.
串	savērt	Viņa savēra krelles kaklarotā.
床单	palags	Lūdzu, nomainiet palagu.
创立	dibināt	Viņi kopā dibināja šo uzņēmumu.
创新	inovācija	Uzņēmuma attīstībai vajadzīga pastāvīga inovācija.
创业	uzsākt uzņēmējdarbību	Daudzi jaunieši izvēlas uzsākt uzņēmējdarbību.
创作	radīt	Rakstnieks rada garu romānu.
吹牛	lielīties	Nelielies, parādi pierādījumus.
吹捧	pārmērīgi slavēt	Mediji pārmērīgi slavēja šo produktu.
炊烟	virtuves dūmi	Vakarā virs ciema pacēlās virtuves dūmi.
垂直	vertikāls	Šīs divas līnijas ir savstarpēji perpendikulāras.
锤	āmurs	Strādnieks ar āmuru sita pa metāla plāksni.
纯粹	tīri	Viņa palīdzība bija tīri labas gribas dēļ.
纯洁	tīrs	Bērna sirds ir ļoti tīra.
慈善	labdarība	Šis uzņēmums bieži piedalās labdarības pasākumos.
慈祥	laipns	Vecmāmiņas smaids bija ļoti laipns.
磁带	magnētiskā lente	Šo veco kaseti vēl var atskaņot.
雌雄	tēviņš un mātīte	Šīs putnu sugas tēviņiem un mātītēm ir atšķirīgas krāsas.
伺候	apkalpot	Medmāsa rūpīgi aprūpēja pacientu.
刺	ērkšķis	Rozes zaros ir daudz ērkšķu.
次品	brāķis	Šo brāķi nedrīkst pārdot.
次序	kārtība	Lūdzu, stājieties rindā pēc kārtas.
丛	cers	Ceļmalā aug savvaļas puķu cers.
从容	mierīgi	Viņa mierīgi atbildēja uz jautājumu.
凑合	iztikt	Istaba nav liela, bet dzīvot var iztikt.
粗鲁	rupjš	Viņš runā pārāk rupji.
窜	iemukt	Tas kaķis pēkšņi iemuka istabā.
摧残	postīt	Ilgstošs piesārņojums postīs šo mežu.
脆弱	trausls	Stikla izstrādājumi ir ļoti trausli.
搓	berzēt	Viņš paberzēja savas aukstās rokas.
磋商	apspriesties	Abas puses turpinās apspriesties.
挫折	neveiksme	Ikviens sastopas ar neveiksmēm.
搭	braukt ar	Mēs brauksim uz lidostu ar autobusu.
搭档	partneris	Viņš ir mans darba partneris jau daudzus gadus.
搭配	saderēt	Šī jaka un bikses labi sader.
答辩	aizstāvēšana	Maģistrants gatavojas darba aizstāvēšanai.
答复	atbilde	Lūdzu, dodiet man atbildi pēc iespējas ātrāk.
达成	panākt	Abas puses beidzot panāca vienošanos.
打包	iesaiņot	Viesmīlis mums iesaiņoja pārpalikušo ēdienu.
打官司	tiesāties	Viņi tiesājās līguma problēmas dēļ.
打击	trieciens	Šī neveiksme viņam bija liels trieciens.
打架	kauties	Skolēni, kas kaujas skolas teritorijā, tiks sodīti.
打量	novērtēt ar skatienu	Viņa mani no galvas līdz kājām novērtēja ar skatienu.
打猎	medīt	Šeit medīt ir aizliegts.
打仗	karot	Neviens nevēlas karot.
大不了	sliktākajā gadījumā	Sliktākajā gadījumā mēs mēģināsim vēlreiz rīt.
大臣	ministrs	Karalis izsauca vairākus ministrus.
大伙儿	visi	Visi gaida tavu lēmumu.
大肆	plašā mērogā	Tirgotājs plašā mērogā reklamēja jauno produktu.
大体	kopumā	Kopumā ar plānu nav problēmu.
大意	galvenā doma	Lūdzu, vispirms pastāstiet šī raksta galveno domu.
大致	aptuveni	Es aptuveni saprotu, kas notika.
歹徒	noziedznieks	Policija ātri notvēra noziedznieku.
代价	cena	Panākumi bieži prasa maksāt cenu.
代理	aizvietot	Viņš pagaidām aizvieto vadītāju.
带领	vest	Skolotājs veda skolēnus apskatīt muzeju.
怠慢	atstāt novārtā	Mēs nedrīkstam atstāt viesus novārtā.
逮捕	arestēt	Policija arestēja galveno aizdomās turēto.
担保	garantija	Banka pieprasa, lai kāds sniedz garantiju.
胆怯	kautrīgs	Pirmajā runā viņš bija mazliet kautrīgs.
淡季	nesezona	Nesezonā aviobiļetes ir lētākas.
淡水	saldūdens	Šī zivs var dzīvot tikai saldūdenī.
蛋白质	olbaltumvielas	Olas satur daudz olbaltumvielu.
诞辰	dzimšanas gadadiena	Šodien ir šī rakstnieka dzimšanas gadadiena.
诞生	rasties	Šī ideja radās diskusijas laikā.
当场	uz vietas	Viņš uz vietas atzina savu kļūdu.
当初	sākumā	Sākumā mēs visi atbalstījām šo lēmumu.
当代	mūsdienu	Mūsdienu sabiedrība mainās ļoti ātri.
当面	aci pret aci	Problēmas vislabāk izskaidrot aci pret aci.
当前	pašreizējais	Pašlaik vissvarīgākais ir nodrošināt drošību.
当事人	iesaistītā persona	Policija iztaujā iesaistīto personu.
当务之急	neatliekama prioritāte	Mājokļu problēmas risināšana ir neatliekama prioritāte.
当选	tikt ievēlētam	Viņa veiksmīgi tika ievēlēta par priekšsēdētāju.
党	partija	Šī partija ierosināja jaunu politiku.
档案	arhīva lieta	Skola glabāja skolēnu arhīva lietas.
档次	līmenis	Šai viesnīcai ir ļoti augsts līmenis.
倒闭	bankrotēt	Tas mazais veikals pagājušajā gadā bankrotēja.
导弹	raķete	Ziņās tika ziņots par raķetes izmēģinājumu.
导航	navigācija	Lūdzu, ieslēdz tālruņa navigāciju.
导向	orientācija	Izglītības politikai jābūt orientētai uz taisnīgumu.
捣乱	traucēt	Lūdzu, netraucē stundā.
盗窃	zādzība	Tirdzniecības centrs pastiprināja pasākumus zādzību novēršanai.
稻谷	rīsu raža	Zemnieki novāc rīsu ražu.
得不偿失	zaudējums pārsniedz ieguvumu	Pērkot nekvalitatīvus materiālus, lai ietaupītu naudu, zaudējums pārsniegs ieguvumu.
得力	spējīgs	Viņš ir vadītāja spējīgs palīgs.
得天独厚	unikāli labvēlīgs	Šai pilsētai ir unikāli labvēlīgas ģeogrāfiskās priekšrocības.
得罪	aizvainot	Es negribu kolēģus aizvainot sīkumu dēļ.
灯笼	lukturis	Pavasara svētkos pie durvīm karājas sarkani lukturi.
登录	pieteikties	Lūdzu, vispirms piesakieties savā kontā.
登陆	izcelties krastā	Taifūns šovakar var izcelties piekrastes rajonos.
蹬	atsperties	Viņš spēcīgi atsperās, un velosipēds sāka kustēties.
等候	gaidīt	Pasažieri zālē gaida iekāpšanu.
等级	līmenis	Šai programmai ir dažādi dalības līmeņi.
瞪	nikni skatīties	Viņš dusmīgi uz mani paskatījās.
堤坝	dambis	Pēc stiprā lietus dambis rūpīgi jāpārbauda.
敌视	naidīgi izturēties	Mums nevajadzētu naidīgi izturēties pret atšķirīgiem viedokļiem.
抵达	ierasties	Lidmašīna Pekinā ieradās laikā.
抵抗	pretoties	Ciema iedzīvotāji kopā pretojās plūdiem.
抵制	boikotēt	Patērētāji sāka boikotēt nekvalitatīvus produktus.
地步	stāvoklis	Lieta vēl nav nonākusi tik nopietnā stāvoklī.
地势	reljefs	Šeit reljefs ir augstāks, tāpēc ūdens viegli neuzkrājas.
地质	ģeoloģija	Eksperti pēta vietējos ģeoloģiskos apstākļus.
