source_headword	DE	example_DE
gambling	das Glücksspiel	Das Glücksspiel ist gesetzlich eingeschränkt.
gathering	die Versammlung	Die Versammlung endete friedlich.
gaze	der Blick	Sie hielt kurz seinen Blick.
gear	die Ausrüstung	Packen Sie die Sicherheitsausrüstung ein, bevor Sie klettern.
generic	generisch	Die generische Version kostet weniger.
genocide	der Völkermord	Der Völkermord hinterließ ein tiefes nationales Trauma.
glance	der Blick	Er warf einen kurzen Blick darauf.
glimpse	der flüchtige Blick	Ich erhaschte einen flüchtigen Blick auf das Meer.
glorious	ruhmreich	Das Team feierte einen ruhmreichen Sieg.
glory	der Ruhm	Sie träumte vom olympischen Ruhm.
governance	die Regierungsführung	Gute Regierungsführung erfordert Transparenz.
grace	die Anmut	Sie nahm die Niederlage mit Anmut hin.
grasp	begreifen	Er konnte das Konzept nicht begreifen.
grave (for dead person)	das Grab	Das Grab war mit Blumen bedeckt.
grave (serious)	ernst	Die Situation bleibt ernst.
gravity	die Schwerkraft	Die Schwerkraft zieht Objekte zur Erde.
grid	das Raster	Die Karte verwendet ein einfaches Raster.
grief	die Trauer	Die Trauer veränderte seine ganze Familie.
grin	das Grinsen	Der Junge zeigte ein breites Grinsen.
grind	mahlen	Die Arbeiter mahlen die Bohnen jeden Morgen.
grip	der Griff	Behalten Sie einen festen Griff am Seil.
gross	brutto	Das Bruttoeinkommen stieg stark an.
guerrilla	die Guerilla	Guerillakämpfer versteckten sich in den Hügeln.
guidance	die Anleitung	Der Leitfaden bietet praktische Anleitung.
guilt	die Schuld	Sie fühlte Schuld nach dem Lügen.
gut	das Bauchgefühl	Vertrauen Sie bei schwierigen Entscheidungen Ihrem Bauchgefühl.
hail	feiern	Die Dorfbewohner feiern den Arzt als Helden.
halfway	auf halbem Weg	Wir hielten auf halbem Weg den Hügel hinauf an.
halt	der Halt	Der Zug kam zu einem plötzlichen Halt.
handful	die Handvoll	Eine Handvoll Freiwilliger blieb bis spät.
handling	die Handhabung	Richtige Handhabung verhindert Schäden.
handy	praktisch	Dieses Werkzeug ist praktisch für Reparaturen.
harassment	die Belästigung	Das Unternehmen untersuchte die Belästigungsbeschwerden.
hardware	die Hardware	Das Geschäft verkauft Computerhardware.
harmony	die Harmonie	Der Chor sang in perfekter Harmonie.
harsh	hart	Der Richter verhängte ein hartes Urteil.
harvest	die Ernte	Die Ernte beginnt im September.
haunt	verfolgen	Die Erinnerung verfolgte ihn weiterhin.
hazard	die Gefahr	Eis ist eine ernsthafte Gefahr auf der Straße.
heighten	erhöhen	Die Rede könnte die Spannungen erhöhen.
heritage	das Erbe	Die Burg ist Teil des lokalen Erbes.
hierarchy	die Hierarchie	Die Hierarchie des Büros ist klar definiert.
high-profile	hochkarätig	Der hochkarätige Prozess zog Reporter an.
hint	der Hinweis	Sie gab mir einen nützlichen Hinweis.
homeland	die Heimat	Er kehrte in seine Heimat zurück.
hopeful	hoffnungsvoll	Die Ärzte sind hoffnungsvoll bezüglich der Genesung.
horizon	der Horizont	Die Sonne verschwand hinter dem Horizont.
horn	die Hupe	Die Autohupe weckte alle auf.
hostage	die Geisel	Die Geisel kehrte nach Hause zurück.
hostile	feindselig	Die Menge wurde feindselig.
hostility	die Feindseligkeit	Offene Feindseligkeit beendete die Gespräche.
humanitarian	humanitär	Die humanitäre Mission lieferte Lebensmittel.
humanity	die Menschheit	Die Menschheit steht vor gemeinsamen Herausforderungen.
humble	bescheiden	Sie blieb auch nach dem Erfolg bescheiden.
hydrogen	der Wasserstoff	Wasserstoff brennt sehr leicht.
identification	der Ausweis	Am Eingang ist ein Ausweis erforderlich.
ideological	ideologisch	Der Streit hatte ideologische Wurzeln.
ideology	die Ideologie	Seine Ideologie prägte jede Rede.
idiot	der Idiot	Nennen Sie niemanden einen Idioten.
ignorance	die Unwissenheit	Unwissenheit kann Angst verbreiten.
imagery	die Bildsprache	Das Gedicht verwendet eine lebendige Bildsprache.
immense	immens	Das Projekt erforderte einen immensen Aufwand.
imminent	bevorstehend	Ein Sturm schien bevorstehend.
implementation	die Umsetzung	Die Umsetzung des Gesetzes verlief langsam.
imprison	einsperren	Das Regime versuchte, Kritiker einzusperren.
imprisonment	die Inhaftierung	Seine Inhaftierung dauerte fünf Jahre.
inability	die Unfähigkeit	Ihre Unfähigkeit, sich zu konzentrieren, beunruhigte die Lehrer.
inadequate	unzureichend	Das Tierheim hatte eine unzureichende Heizung.
inappropriate	unangemessen	Sein Witz war unangemessen.
incidence	die Häufigkeit	Die Häufigkeit der Grippe nahm zu.
inclined	geneigt	Sie ist geneigt zuzustimmen.
inclusion	die Inklusion	Die Schule fördert die Inklusion.
