source_headword	VI	example_VI
rear	phía sau	Hôm nay hãy sử dụng lối vào phía sau.
reasoning	lập luận	Lập luận của anh ấy rất rõ ràng.
reassure	trấn an	Bác sĩ đã cố gắng trấn an cô ấy.
rebel	phiến quân	Thủ lĩnh phiến quân đã trốn thoát khỏi việc bị bắt.
rebellion	cuộc nổi loạn	Cuộc nổi loạn kết thúc sau các cuộc đàm phán.
recipient	người nhận	Người nhận đã ký vào biểu mẫu.
reconstruction	sự tái thiết	Công cuộc tái thiết đã bắt đầu sau trận lũ.
recount1	kể lại chi tiết	Cô ấy có thể kể lại các sự kiện một cách rõ ràng.
referendum	cuộc trưng cầu dân ý	Cuộc trưng cầu dân ý đã chia rẽ đất nước.
reflection	sự suy ngẫm	Bài luận cần có sự suy ngẫm sâu sắc hơn.
reform	sự cải cách	Cuộc cải cách đã cải thiện các dịch vụ công.
refuge	nơi tị nạn	Gia đình đã tìm nơi tị nạn ở nước ngoài.
refusal	sự từ chối	Sự từ chối của cô ấy đã khiến ủy ban ngạc nhiên.
regain	lấy lại	Anh ấy đã làm việc chăm chỉ để lấy lại lòng tin.
regardless	bất chấp	Họ vẫn tiếp tục bất chấp sự chỉ trích.
regime	chế độ	Chế độ này đã hạn chế quyền tự do ngôn luận.
regulator	cơ quan quản lý	Cơ quan quản lý đã phạt công ty này.
regulatory	theo quy định	Việc phê duyệt theo quy định đã mất vài tháng.
rehabilitation	sự phục hồi chức năng	Sự phục hồi chức năng đã giúp anh ấy đi lại được.
reign	triều đại	Triều đại của nhà vua kéo dài nhiều thập kỷ.
rejection	sự từ chối	Sự từ chối đã làm tổn thương sự tự tin của cô ấy.
relevance	sự liên quan	Dữ liệu này có sự liên quan hạn chế.
reliability	sự đáng tin cậy	Sự đáng tin cậy rất quan trọng trong các hệ thống khẩn cấp.
reluctant	miễn cưỡng	Anh ấy miễn cưỡng khi phải nói.
remainder	phần còn lại	Phần còn lại đã được dành cho tổ chức từ thiện.
remains	di hài	Di hài đã được kiểm tra cẩn thận.
remedy	biện pháp khắc phục	Luật pháp cung cấp một biện pháp khắc phục.
reminder	lời nhắc nhở	Email đó là một lời nhắc nhở hữu ích.
removal	sự gỡ bỏ	Sự gỡ bỏ các rào cản đã giúp ích cho thương mại.
render	làm cho	Sai lầm đó đã làm cho hợp đồng bị vô hiệu.
renew	gia hạn	Hãy gia hạn hộ chiếu của bạn sớm.
renowned	nổi tiếng	Cô ấy nổi tiếng với các nghiên cứu của mình.
rental	tiền thuê	Tiền thuê đã bao gồm bảo hiểm.
replacement	vật thay thế	Bộ phận thay thế đã đến vào hôm nay.
reportedly	theo như đưa tin	Theo như đưa tin, bộ trưởng đã từ chức vào hôm qua.
representation	sự đại diện	Sự đại diện công bằng vẫn rất quan trọng.
reproduce	sinh sản	Những loài thực vật này sinh sản rất nhanh.
reproduction	sự sao chép	Sự sao chép kỹ thuật số đã cải thiện khả năng tiếp cận.
republic	nước cộng hòa	Nước cộng hòa đã tổ chức bầu cử.
resemble	giống với	Hai thiết kế này rất giống nhau.
reside	cư trú	Họ cư trú gần biên giới.
residence	dinh thự	Dinh thự chính thức của ông ấy đang được bảo vệ.
residential	khu dân cư	Khu vực này chủ yếu là khu dân cư.
residue	cặn	Chất tẩy rửa đã để lại một lớp cặn dính.
resignation	sự từ chức	Việc từ chức của cô ấy đã gây sốc cho hội đồng quản trị.
resistance	sự phản đối	Sự phản đối đối với sự thay đổi là rất mạnh mẽ.
respective	của riêng mình	Họ đã trở về văn phòng của riêng mình.
respectively	tương ứng	Điểm số tương ứng là 80 và 90.
restoration	sự trùng tu	Việc trùng tu tòa nhà đã mất nhiều năm.
restraint	sự kiềm chế	Cảnh sát đã thể hiện sự kiềm chế.
resume	tiếp tục	Các lớp học sẽ tiếp tục vào tuần tới.
retreat	sự rút lui	Quân đội đã bắt đầu rút lui.
retrieve	lấy lại	Cô ấy đã lấy lại được tập tin.
revelation	sự tiết lộ	Sự tiết lộ đó đã làm tổn hại đến danh tiếng của anh ấy.
revenge	sự trả thù	Anh ta muốn trả thù vì sự xúc phạm đó.
reverse	đảo ngược	Tòa án đã đảo ngược quyết định.
revival	sự phục hồi	Thị trấn đã chứng kiến sự phục hồi kinh tế.
revive	phục hồi	Lễ hội đã giúp phục hồi các truyền thống địa phương.
revolutionary	mang tính cách mạng	Phát minh đó mang tính cách mạng.
rhetoric	lời lẽ	Lời lẽ của anh ta nghe có vẻ hung trong hung hăng.
rifle	súng trường	Khẩu súng trường được cất giữ an toàn.
riot	cuộc bạo động	Cuộc bạo động kéo dài vài giờ.
rip	xé	Hãy xé tờ giấy thật cẩn thận.
ritual	nghi lễ	Nghi lễ này đánh dấu vụ thu hoạch.
robust	vững chắc	Hệ thống này rất vững chắc.
rock	làm rung chuyển	Vụ nổ đã làm rung chuyển ngôi làng.
rod	thanh	Bức rèm được treo trên một thanh ngang.
rotate	xoay	Hãy xoay tay cầm từ từ.
rotation	sự luân phiên	Luân canh cây trồng giúp bảo vệ đất.
ruling	phán quyết	Tòa án đã đưa ra một phán quyết.
rumour	tin đồn	Tin đồn đã lan truyền nhanh chóng.
sack	sa thải	Hội đồng quản trị có thể sa thải huấn luyện viên.
sacred	linh thiêng	Ngôi đền này rất linh thiêng.
sacrifice	sự hy sinh	Các bậc cha mẹ thường xuyên phải hy sinh.
saint	vị thánh	Nhà thờ tôn vinh một vị thánh địa phương.
sake	vì mục đích	Anh ấy đã ở lại vì cô ấy.
sanction	lệnh trừng phạt	Lệnh trừng phạt đã ảnh hưởng đến thương mại quốc tế.
say	tiếng nói	Nhân viên có tiếng nói trong việc sắp xếp lịch trình.
scattered	vương vãi	Những tờ giấy vương vãi khắp bàn.
sceptical	hoài nghi	Cô ấy vẫn hoài nghi về tuyên bố đó.
scope	phạm vi	Phạm vi của dự án đã được mở rộng.
screw	đinh ốc	Hãy vặn chặt đinh ốc cẩn thận.
scrutiny	sự giám sát	Thỏa thuận này phải đối mặt với sự giám sát của công chúng.
seal	niêm phong	Hãy dán kín phong bì trước khi gửi.
secular	thế tục	Trường học tuân theo một chương trình giảng dạy thế tục.
seemingly	có vẻ như	Nhiệm vụ này có vẻ như rất đơn giản.
segment	phần	Đoạn cuối cùng ngắn hơn.
seize	tịch thu	Cảnh sát đã tịch thu các tài liệu.
seldom	hiếm khi	Cô ấy hiếm khi nghỉ học.
selective	có tính chọn lọc	Chương trình này có tính chọn lọc rất cao.
senator	thượng nghị sĩ	Vị thượng nghị sĩ đã ủng hộ dự luật.
sensation	tiếng vang	Khám phá này đã gây ra một tiếng vang lớn.
sensitivity	sự nhạy cảm	Vấn đề này đòi hỏi sự nhạy cảm.
sentiment	quan điểm	Quan điểm của công chúng đã thay đổi nhanh chóng.
separation	sự chia cắt	Sự chia cắt thật sự rất khó khăn.
serial	sê-ri	Số sê-ri bị thiếu.
settlement	thỏa thuận	Thỏa thuận đã chấm dứt vụ tranh chấp.
set-up	sự thiết lập	Quá trình thiết lập đã mất cả buổi sáng.
sexuality	giới tính	Khóa học thảo luận về bản sắc và giới tính.
shareholder	cổ đông	Một cổ đông đã đặt câu hỏi cho hội đồng quản trị.
shatter	làm tiêu tan	Tin tức đó đã làm tiêu tan sự tự tin của anh ấy.
shed	cắt giảm	Công ty sẽ cắt giảm việc làm.
sheer	tuyệt đối	Kích thước khổng lồ đó đã khiến mọi người ngạc nhiên.
shipping	vận chuyển	Chi phí vận chuyển đã tăng.
shoot	buổi chụp hình	Buổi chụp hình kết thúc sớm.
shrink	co lại	Chiếc áo sơ mi có thể bị co lại.
shrug	nhún vai	Cô ấy khẽ nhún vai.
sigh	thở dài	Anh ấy thở phào nhẹ nhõm.
simulate	mô phỏng	Phần mềm này có thể mô phỏng giao thông.
simulation	sự mô phỏng	Sự mô phỏng đã dự đoán có lũ lụt.
simultaneously	đồng thời	Hai chuông báo động reo đồng thời.
sin	tội lỗi	Sự kiêu ngạo được coi là một tội lỗi.
situated	nằm ở	Khách sạn nằm ở trung tâm thành phố.
sketch	bản phác thảo	Cô ấy đã vẽ một bản phác thảo nhanh.
skip	bỏ qua	Đừng bỏ qua bữa sáng.
slam	đóng sầm	Anh ấy có thể đóng sầm cửa lại.
slap	đập	Đừng đập mạnh xuống bàn.
slavery	chế độ nô lệ	Chế độ nô lệ đã định hình lịch sử của khu vực.
slot	khoảng thời gian	Hãy đặt một khoảng thời gian trực tuyến.
smash	vỡ tan	Cốc thủy tinh vỡ tan trên sàn nhà.
snap	gãy	Cành cây gãy gập trong gió.
soak	ngâm	Ngâm đậu qua đêm.
soar	tăng vọt	Giá nhiên liệu có thể tăng vọt.
socialist	xã hội chủ nghĩa	Đảng ủng hộ các chính sách xã hội chủ nghĩa.
sole	duy nhất	Anh ấy là người sống sót duy nhất.
solely	hoàn toàn	Quyết định đó hoàn toàn là của anh ấy.
solicitor	luật sư	Luật sư đã chuẩn bị hợp đồng.
solidarity	sự đoàn kết	Các công nhân đã thể hiện sự đoàn kết.
solo	solo	Cô ấy đã phát hành một album solo.
sound	hợp lý	Kế hoạch này hợp lý và thiết thực.
sovereignty	chủ quyền	Hiệp ước đã bảo vệ chủ quyền quốc gia.
spam	thư rác	Thư rác lấp đầy hộp thư đến.
span	bắc qua	Cây cầu bắc qua sông.
spark	châm ngòi	Một nhận xét nhỏ đã châm ngòi cho cuộc tranh luận.
specialized	chuyên môn	Phòng khám cung cấp dịch vụ chăm sóc chuyên môn.
specification	thông số kỹ thuật	Thiết kế đáp ứng mọi thông số kỹ thuật.
specimen	mẫu vật	Mẫu vật được cất giữ an toàn.
spectacle	cảnh tượng	Cuộc diễu hành là một cảnh tượng sống động.
spectrum	phổ	Các ý kiến bao trùm một phổ rộng.
spell	đợt	Đợt hạn hán kéo dài nhiều tuần.
sphere	lĩnh vực	Chính trị đã bước vào lĩnh vực văn hóa.
spin	quay	Các bánh xe bắt đầu quay.
spine	cột sống	Chấn thương đã ảnh hưởng đến cột sống của anh ấy.
spotlight	sự chú ý	Vụ bê bối đã đưa anh ấy vào trung tâm của sự chú ý.
spouse	vợ chồng	Chồng của cô ấy đã tham dự buổi lễ.
spy	gián điệp	Tên gián điệp đã gửi các tin nhắn mã hóa.
squad	đội	Đội cứu hộ đến rất nhanh.
squeeze	bóp	Bóp nhẹ tay cầm.
stab	đâm	Báo cáo mô tả một vết thương do bị đâm.
stability	sự ổn định	Chính sách đã mang lại sự ổn định.
stabilize	ổn định	Thuốc đã giúp ổn định tình trạng của anh ấy.
stake	cổ phần	Các nhà đầu tư có cổ phần ở đây.
standing	vị thế	Vị thế của cô ấy trong đảng đã tăng lên.
stark	rõ rệt	Các kết quả cho thấy một sự tương phản rõ rệt.
statistical	thống kê	Nghiên cứu đã sử dụng các phương pháp thống kê.
steer	lèo lái	Anh ấy cố gắng lèo lái cuộc tranh luận.
stem	thân	Thân cây bị gãy trong cơn bão.
stereotype	khuôn mẫu	Bộ phim đã thách thức một khuôn mẫu.
stimulus	sự kích thích	Gói biện pháp này đã cung cấp sự kích thích kinh tế.
stir	khuấy	Khuấy nước sốt từ từ.
storage	kho lưu trữ	Cơ sở này cung cấp kho lưu trữ an toàn.
straightforward	đơn giản	Các hướng dẫn rất đơn giản và dễ hiểu.
strain	sự căng thẳng	Sự chậm trễ kéo dài đã gây ra sự căng thẳng.
strand	sợi	Một sợi tóc rơi xuống.
strategic	mang tính chiến lược	Công ty đã thực hiện một khoản đầu tư mang tính chiến lược.
strip (long narrow piece)	dải	Cắt một dải giấy hẹp.
strip (remove clothes/a layer)	cạo bỏ	Cẩn thận cạo bỏ lớp sơn cũ.
strive	phấn đấu	Họ phấn đấu cho sự xuất sắc.
structural	thuộc cấu trúc	Cây cầu bị hỏng hóc về cấu trúc.
stumble	vấp ngã	Anh ấy vấp ngã trên cầu thang.
stun	làm sững sờ	Tin tức đó có thể làm mọi người sững sờ.
submission	sự nộp	Hạn chót nộp bài đã qua.
subscriber	người đăng ký	Mỗi người đăng ký sẽ nhận được các bản cập nhật.
subscription	sự đăng ký	Gói đăng ký sẽ tự động gia hạn.
subsidy	tiền trợ cấp	Tiền trợ cấp đã làm giảm chi phí nhiên liệu.
substantial	đáng kể	Dự án cần một khoản tài trợ đáng kể.
substantially	đáng kể	Giá đã tăng đáng kể.
substitute	vật thay thế	Dùng sữa để làm vật thay thế.
substitution	sự thay thế	Sự thay thế này đã làm thay đổi công thức nấu ăn.
subtle	tinh tế	Bức tranh có những chi tiết tinh tế.
suburban	thuộc ngoại ô	Họ đã chuyển đến một khu vực ngoại ô.
succession	sự liên tiếp	Cuộc khủng hoảng xảy ra sau một chuỗi những thất bại liên tiếp.
successive	liên tiếp	Các chính phủ liên tiếp đã phớt lờ vấn đề này.
successor	người kế nhiệm	Người kế nhiệm sẽ bắt đầu làm việc vào thứ Hai.
suck	hút	Chiếc máy này có thể hút bụi.
sue	kiện	Cô ấy quyết định kiện công ty.
suicide	sự tự tử	Việc phòng chống tự tử cần được tài trợ lâu dài.
suite	phòng suite	Phòng suite của khách sạn có tầm nhìn ra sông.
summit	hội nghị thượng đỉnh	Các nhà lãnh đạo đã gặp nhau tại hội nghị thượng đỉnh.
superb	tuyệt vời	Màn trình diễn thật tuyệt vời.
superior	vượt trội	Mẫu mới này vượt trội hơn.
supervise	giám sát	Cô ấy sẽ giám sát các thực tập sinh.
supervision	sự giám sát	Trẻ em cần có sự giám sát của người lớn.
supervisor	người giám sát	Hãy hỏi ý kiến người giám sát của bạn trước.
supplement	phần bổ sung	Báo cáo bao gồm một phần bổ sung.
supportive	ủng hộ	Gia đình cô ấy rất ủng hộ.
supposedly	được cho là	Tệp tin đó được cho là đã bị xóa.
suppress	đàn áp	Chế độ đã cố gắng đàn áp các cuộc biểu tình.
supreme	tối cao	Tòa án tối cao đã xét xử vụ án.
surge	sự tăng vọt	Sự tăng vọt đột ngột đã làm hỏng thiết bị.
surgical	thuộc phẫu thuật	Bệnh nhân cần được điều trị bằng phẫu thuật.
surplus	sự dư thừa	Nhà kho có một lượng hàng dư thừa.
surrender	đầu hàng	Các binh sĩ đã đồng ý đầu hàng.
surveillance	sự giám sát	Camera giám sát đã ghi lại lối vào.
suspension	sự đình chỉ	Lệnh đình chỉ kéo dài hai tuần.
suspicion	sự nghi ngờ	Hành vi của anh ấy đã gây ra sự nghi ngờ.
suspicious	đáng ngờ	Gói hàng trông rất đáng ngờ.
sustain	duy trì	Dự án có thể duy trì việc làm cho người dân địa phương.
swing	đu đưa	Cánh cửa bắt đầu đu đưa.
sword	thanh kiếm	Thanh kiếm được treo trên tường.
symbolic	mang tính biểu tượng	Cử chỉ đó mang tính biểu tượng.
syndrome	hội chứng	Hội chứng này ảnh hưởng đến trí nhớ.
synthesis	sự tổng hợp	Chương này cung cấp một sự tổng hợp.
systematic	có hệ thống	Đánh giá này rất có hệ thống.
tactic	chiến thuật	Chiến thuật này đã thất bại nhanh chóng.
tactical	thuộc chiến thuật	Đội bóng đã thực hiện một sự thay đổi chiến thuật.
taxpayer	người nộp thuế	Tiền của người nộp thuế đã tài trợ cho cây cầu này.
tempt	cám dỗ	Lời đề nghị có thể thu hút các nhà đầu tư.
tenant	người thuê nhà	Người thuê nhà đã trả tiền thuê sớm.
tender	dịu dàng	Cô ấy nở một nụ cười dịu dàng.
tenure	nhiệm kỳ	Nhiệm kỳ của ông ấy kéo dài sáu năm.
terminal	giai đoạn cuối	Bệnh nhân mắc bệnh nan y giai đoạn cuối.
terminate	chấm dứt	Công ty có thể chấm dứt hợp đồng.
terrain	địa hình	Địa hình rất hiểm trở.
terrific	tuyệt vời	Khung cảnh thật tuyệt vời.
testify	làm chứng	Cô ấy đã đồng ý làm chứng.
testimony	lời khai	Lời khai của anh ấy rất chi tiết.
texture	kết cấu	Vải có kết cấu thô ráp.
thankfully	may mắn thay	May mắn thay, không có ai bị thương.
theatrical	có tính kịch	Bài phát biểu nghe có vẻ kịch tính.
theology	thần học	Anh ấy đã học thần học ở trường đại học.
theoretical	mang tính lý thuyết	Mô hình này hoàn toàn mang tính lý thuyết.
thereafter	sau đó	Sau đó, các quy tắc đã thay đổi.
thereby	nhờ đó	Sự thay đổi đã giảm chi phí, nhờ đó tiết kiệm được việc làm.
thoughtful	chu đáo	Câu trả lời của cô ấy rất chu đáo.
thought-provoking	kích thích tư duy	Bài báo này rất kích thích tư duy.
thread	sợi chỉ	Sợi chỉ đứt rất dễ dàng.
threshold	ngưỡng	Cuộc bỏ phiếu đã vượt qua ngưỡng quy định.
thrilled	vô cùng hồi hộp	Cô ấy rất vui sướng trước tin tức này.
thrive	phát triển mạnh	Các doanh nghiệp nhỏ có thể phát triển mạnh ở đây.
tide	thủy triều	Thủy triều dâng lên nhanh chóng.
tighten	vặn chặt	Vặn chặt nắp.
timber	gỗ	Ngôi nhà sử dụng gỗ của địa phương.
timely	kịp thời	Lời cảnh báo rất kịp thời.
tobacco	thuốc lá	Doanh số bán thuốc lá đã giảm.
tolerance	sự khoan dung	Chính sách khuyến khích sự khoan dung.
tolerate	tha thứ	Chúng ta không thể tha thứ cho sự lạm dụng.
toll	thiệt hại	Cơn bão đã gây ra thiệt hại nặng nề.
top	vượt qua	Doanh thu có thể vượt qua kỷ lục của năm ngoái.
torture	sự tra tấn	Hiệp ước cấm hoàn toàn sự tra tấn.
