source_headword	SR	example_SR
urban	урбан	Урбаним подручјима је потребан бољи превоз.
urge	подстицати	Лекари подстичу људе да вежбају.
vary	варирати	Цене варирају по регионима.
vast	огроман	Пустиња покрива огромно подручје.
venue	место одржавања	Место одржавања прима пет стотина људи.
via	путем	Пошаљите документ путем имејла.
victory	победа	Тим је прославио своју победу.
violence	насиље	Град је претрпео политичко насиље.
virtual	виртуелан	Састанак је виртуелан.
vision	визија	Њена визија је обликовала компанију.
visual	визуелан	Извештај укључује визуелне примере.
vital	виталан	Вода је витална за живот.
vitamin	витамин	Поморанџе садрже витамин Ц.
volume	јачина звука	Смањите јачину звука.
wage	плата	Радници су захтевали већу плату.
weakness	слабост	План има једну слабост.
wealth	богатство	Његово богатство потиче од трговине.
wealthy	богат	Богата породица је финансирала музеј.
whereas	док	Она воли чај, док ја више волим кафу.
wherever	где год	Седите где год вам је удобно.
whisper	шапутати	Молим вас, шапућите током церемоније.
whom	кога	Кога сте позвали?
widely	широко	Књига се широко чита.
wildlife	дивље животиње	Парк штити локалне дивље животиње.
willing	вољан	Она је вољна да помогне.
wind2	намотати	Намотајте кабл око калема.
wire	жица	Жица повезује два уређаја.
wise	мудар	То је био мудар избор.
witness	сведок	Сведок је описао несрећу.
wound	рана	Пажљиво очистите рану.
wrap	умотати	Умотајте поклон у папир.
zone	зона	Ова зона је затворена за саобраћај.
