source_headword	HI	example_HI
ranking	रैंकिंग	विश्वविद्यालय ने अपनी रैंकिंग में सुधार किया।
rape	बलात्कार	बलात्कार के मामलों में सावधानीपूर्वक जांच की आवश्यकता होती है।
ratio	अनुपात	कक्षा में शिक्षक का अनुपात कम है।
rational	तर्कसंगत	उनका निर्णय तर्कसंगत था।
ray	किरण	सूरज की एक किरण अंदर आई।
readily	आसानी से	उसने आसानी से प्रस्ताव स्वीकार कर लिया।
realization	अहसास	इस अहसास ने उसकी योजनाएँ बदल दीं।
realm	दायरा	यह सवाल किसी और दायरे का है।
rear	पिछला	आज पिछले दरवाजे का इस्तेमाल करें।
reasoning	तर्क	उनका तर्क स्पष्ट था।
reassure	आश्वस्त करना	डॉक्टर ने उसे आश्वस्त करने की कोशिश की।
rebel	विद्रोही	विद्रोही नेता पकड़ से बच निकला।
rebellion	विद्रोह	विद्रोह बातचीत के बाद समाप्त हुआ।
recipient	प्राप्तकर्ता	प्राप्तकर्ता ने फॉर्म पर हस्ताक्षर किए।
reconstruction	पुनर्निर्माण	बाढ़ के बाद पुनर्निर्माण शुरू हुआ।
recount1	विस्तार से बताना	वह घटनाओं को स्पष्ट रूप से बता सकती है।
referendum	जनमत संग्रह	जनमत संग्रह ने देश को बांट दिया।
reflection	चिंतन	निबंध को गहरे चिंतन की आवश्यकता थी।
reform	सुधार	सुधार ने सार्वजनिक सेवाओं को बेहतर बनाया।
refuge	शरण	परिवार ने विदेश में शरण ली।
refusal	इनकार	उनके इनकार ने समिति को चौंका दिया।
regain	वापस पाना	उसने विश्वास वापस पाने के लिए कड़ी मेहनत की।
regardless	परवाह किए बिना	आलोचना की परवाह किए बिना उन्होंने काम जारी रखा।
regime	शासन	शासन ने स्वतंत्र भाषण पर प्रतिबंध लगा दिया।
regulator	नियामक	नियामक ने कंपनी पर जुर्माना लगाया।
regulatory	विनियामक	विनियामक अनुमोदन में महीनों लग गए।
rehabilitation	पुनर्वास	पुनर्वास ने उसे फिर से चलने में मदद की।
reign	शासनकाल	राजा का शासनकाल दशकों तक चला।
rejection	अस्वीकृति	अस्वीकृति ने उसके आत्मविश्वास को ठेस पहुंचाई।
relevance	प्रासंगिकता	डेटा की प्रासंगिकता सीमित है।
reliability	विश्वसनीयता	आपातकालीन प्रणालियों में विश्वसनीयता मायने रखती है।
reluctant	अनिच्छुक	वह बोलने के लिए अनिच्छुक था।
remainder	शेष	शेष राशि दान में चली गई।
remains	अवशेष	अवशेषों की सावधानीपूर्वक जांच की गई।
remedy	उपाय	कानून एक उपाय प्रदान करता है।
reminder	अनुस्मारक	ईमेल एक उपयोगी अनुस्मारक था।
removal	हटाना	बाधाओं को हटाने से व्यापार में मदद मिली।
render	बना देना	गलती ने अनुबंध को अमान्य बना दिया।
renew	नवीनीकृत करना	अपना पासपोर्ट जल्द ही नवीनीकृत करें।
renowned	प्रसिद्ध	वह अपने शोध के लिए प्रसिद्ध है।
rental	किराया	किराये में बीमा शामिल है।
replacement	प्रतिस्थापन	प्रतिस्थापन भाग आज आ गया।
reportedly	कथित तौर पर	कथित तौर पर मंत्री ने कल इस्तीफा दे दिया।
representation	प्रतिनिधित्व	निष्पक्ष प्रतिनिधित्व महत्वपूर्ण बना हुआ है।
reproduce	प्रजनन करना	ये पौधे तेजी से प्रजनन करते हैं।
reproduction	प्रतिकृति	डिजिटल प्रतिकृति ने पहुंच में सुधार किया।
republic	गणतंत्र	गणतंत्र ने चुनाव कराए।
resemble	मेल खाना	दोनों डिज़ाइन एक-दूसरे से काफी मेल खाते हैं।
reside	निवास करना	वे सीमा के पास निवास करते हैं।
residence	निवास	उनके आधिकारिक निवास पर पहरा है।
residential	आवासीय	यह क्षेत्र मुख्य रूप से आवासीय है।
residue	अवशेष	क्लीनर ने एक चिपचिपा अवशेष छोड़ दिया।
resignation	इस्तीफा	उनके इस्तीफे ने बोर्ड को चौंका दिया।
resistance	प्रतिरोध	बदलाव का प्रतिरोध कड़ा था।
respective	संबंधित	वे अपने संबंधित कार्यालयों में लौट आए।
respectively	क्रमशः	स्कोर क्रमशः 80 और 90 थे।
restoration	जीर्णोद्धार	इमारत के जीर्णोद्धार में सालों लग गए।
restraint	संयम	पुलिस ने संयम दिखाया।
resume	फिर से शुरू होना	कक्षाएं अगले सप्ताह फिर से शुरू होंगी।
retreat	पीछे हटना	सेना ने पीछे हटना शुरू कर दिया।
retrieve	प्राप्त करना	उसने फ़ाइल प्राप्त की।
revelation	खुलासा	इस खुलासे से उनकी प्रतिष्ठा को नुकसान पहुंचा।
revenge	बदला	वह अपमान का बदला लेना चाहता था।
reverse	उलटना	अदालत ने फैसला उलट दिया।
revival	पुनरुद्धार	कस्बे में आर्थिक पुनरुद्धार देखा गया।
revive	पुनर्जीवित करना	त्योहार ने स्थानीय परंपराओं को पुनर्जीवित करने में मदद की।
revolutionary	क्रांतिकारी	आविष्कार क्रांतिकारी था।
rhetoric	बयानबाजी	उनकी बयानबाजी आक्रामक लग रही थी।
rifle	राइफल	राइफल को सुरक्षित रखा गया था।
riot	दंगा	दंगा कई घंटों तक चला।
rip	फाड़ना	कागज को ध्यान से फाड़ें।
ritual	अनुष्ठान	यह अनुष्ठान फसल को चिह्नित करता है।
robust	मजबूत	प्रणाली मजबूत है।
rock	हिलाना	धमाके ने गांव को हिला दिया।
rod	छड़	पर्दा एक छड़ से लटकता है।
rotate	घुमाना	हैंडल को धीरे से घुमाएं।
rotation	चक्रण	फसल चक्रण मिट्टी की रक्षा करता है।
ruling	फैसला	अदालत ने फैसला सुनाया।
rumour	अफवाह	अफवाह तेजी से फैल गई।
sack	बर्खास्त करना	बोर्ड कोच को बर्खास्त कर सकता है।
sacred	पवित्र	मंदिर पवित्र है।
sacrifice	बलिदान	माता-पिता अक्सर बलिदान देते हैं।
saint	संत	चर्च एक स्थानीय संत का सम्मान करता है।
sake	खातिर	वह उसकी खातिर रुका।
sanction	प्रतिबंध	प्रतिबंध ने अंतर्राष्ट्रीय व्यापार को प्रभावित किया।
say	अधिकार	कर्मचारियों को शेड्यूलिंग में अपनी बात कहने का अधिकार था।
scattered	बिखरा हुआ	डेस्क पर बिखरे हुए कागजात पड़े थे।
sceptical	संशयवादी	वह दावे के प्रति संशयवादी बनी रही।
scope	दायरा	परियोजना का दायरा बढ़ गया।
screw	पेंच	पेंच को ध्यान से कसें।
scrutiny	जांच	सौदा सार्वजनिक जांच के दायरे में आ गया।
seal	सील करना	भेजने से पहले लिफाफे को सील कर दें।
secular	धर्मनिरपेक्ष	स्कूल एक धर्मनिरपेक्ष पाठ्यक्रम का पालन करता है।
seemingly	प्रत्यक्ष रूप से	यह काम प्रत्यक्ष रूप से सरल था।
segment	खंड	अंतिम खंड छोटा था।
seize	जब्त करना	पुलिस ने दस्तावेजों को जब्त कर लिया।
seldom	शायद ही कभी	वह शायद ही कभी कोई कक्षा छोड़ती है।
selective	चयनात्मक	कार्यक्रम अत्यधिक चयनात्मक है।
senator	सीनेटर	सीनेटर ने बिल का समर्थन किया।
sensation	सनसनी	खोज ने सनसनी मचा दी।
sensitivity	संवेदनशीलता	इस मुद्दे पर संवेदनशीलता की आवश्यकता है।
sentiment	भावना	सार्वजनिक भावना तेजी से बदल गई।
separation	अलगाव	अलगाव मुश्किल था।
serial	क्रमिक	क्रमिक संख्या गायब है।
settlement	समझौता	समझौते ने विवाद को समाप्त कर दिया।
set-up	व्यवस्था	व्यवस्था में पूरी सुबह लग गई।
sexuality	कामुकता	पाठ्यक्रम पहचान और कामुकता पर चर्चा करता है।
shareholder	शेयरधारक	एक शेयरधारक ने बोर्ड से सवाल किए।
shatter	चूर-चूर करना	खबर ने उसका आत्मविश्वास चूर-चूर कर दिया।
shed	निकालना	कंपनी कर्मचारियों को निकालेगी।
sheer	विशाल	इसके विशाल आकार ने सबको हैरान कर दिया।
shipping	शिपिंग	शिपिंग लागत बढ़ गई।
shoot	शूट	फोटो शूट जल्दी खत्म हो गया।
shrink	सिकुड़ना	कमीज सिकुड़ सकती है।
shrug	कंधे उचकाना	उसने हल्के से कंधे उचकाए।
sigh	आह भरना	उसने राहत की सांस ली।
simulate	अनुकरण करना	सॉफ्टवेयर ट्रैफ़िक का अनुकरण कर सकता है।
simulation	सिमुलेशन	सिमुलेशन ने बाढ़ की भविष्यवाणी की।
simultaneously	एक साथ	दो अलार्म एक साथ बजे।
sin	पाप	अहंकार को एक पाप माना जाता है।
situated	स्थित	होटल शहर के केंद्र में स्थित है।
sketch	स्केच	उसने एक जल्दी से स्केच बनाया।
skip	छोड़ना	नाश्ता न छोड़ें।
slam	पटकना	वह दरवाजा जोर से बंद कर सकता है।
slap	मारना	मेज पर मत मारो।
slavery	गुलामी	गुलामी ने इस क्षेत्र के इतिहास को आकार दिया।
slot	स्लॉट	ऑनलाइन समय स्लॉट बुक करें।
smash	टूटना	गिलास फर्श पर टूट गया।
snap	टूटना	हवा में शाखा टूट गई।
soak	भिगोना	बीन्स को रात भर भिगो दें।
soar	तेजी से बढ़ना	ईंधन की कीमतें तेजी से बढ़ सकती हैं।
socialist	समाजवादी	पार्टी समाजवादी नीतियों का समर्थन करती है।
sole	एकमात्र	वह एकमात्र जीवित बचा व्यक्ति था।
solely	पूरी तरह से	निर्णय पूरी तरह से उसका था।
solicitor	वकील	वकील ने अनुबंध तैयार किया।
solidarity	एकजुटता	श्रमिकों ने एकजुटता व्यक्त की।
solo	एकल	उसने एक एकल एल्बम जारी किया।
sound	ठोस	योजना ठोस और व्यावहारिक है।
sovereignty	संप्रभुता	संधि ने राष्ट्रीय संप्रभुता की रक्षा की।
spam	स्पैम	स्पैम ने इनबॉक्स को भर दिया।
span	फैला होना	पुल नदी के ऊपर फैला है।
spark	भड़काना	एक छोटी सी टिप्पणी ने बहस छेड़ दी।
specialized	विशेष	क्लिनिक विशेष देखभाल प्रदान करता है।
specification	विशिष्टता	डिज़ाइन हर विशिष्टता को पूरा करता है।
specimen	नमूना	नमूना सुरक्षित रूप से रखा गया था।
spectacle	दृश्य	परेड एक जीवंत दृश्य था।
spectrum	दायरा	विचार एक विस्तृत दायरे को कवर करते हैं।
spell	दौर	सूखे का दौर हफ्तों तक चला।
sphere	क्षेत्र	राजनीति ने सांस्कृतिक क्षेत्र में प्रवेश किया।
spin	घूमना	पहिए घूमने लगे।
spine	रीढ़	चोट ने उसकी रीढ़ को प्रभावित किया।
spotlight	सुर्खियों	घोटाले ने उसे सुर्खियों में ला दिया।
spouse	जीवनसाथी	उसके जीवनसाथी ने समारोह में भाग लिया।
spy	जासूस	जासूस ने कोडित संदेश भेजे।
squad	दस्ता	बचाव दस्ता जल्दी पहुँच गया।
squeeze	दबाना	हैंडल को धीरे से दबाएं।
stab	छुरा मारना	रिपोर्ट में चाकू के घाव का वर्णन किया गया है।
stability	स्थिरता	नीति स्थिरता लाई।
stabilize	स्थिर करना	दवा ने उसे स्थिर करने में मदद की।
stake	हिस्सेदारी	निवेशकों की यहाँ हिस्सेदारी है।
standing	प्रतिष्ठा	पार्टी में उनकी प्रतिष्ठा बढ़ी।
stark	स्पष्ट	परिणामों ने स्पष्ट विपरीतता दिखाई।
statistical	सांख्यिकीय	अध्ययन में सांख्यिकीय विधियों का उपयोग किया गया।
steer	मोड़ना	उसने बहस को मोड़ने की कोशिश की।
stem	तना	तूफान में तना टूट गया।
stereotype	रूढ़िवादी धारणा	फिल्म ने एक रूढ़िवादी धारणा को चुनौती दी।
stimulus	प्रोत्साहन	पैकेज ने आर्थिक प्रोत्साहन प्रदान किया।
stir	हिलाना	सॉस को धीरे-धीरे हिलाएं।
storage	भंडारण	सुविधा सुरक्षित भंडारण प्रदान करती है।
straightforward	स्पष्ट	निर्देश स्पष्ट थे।
strain	तनाव	लंबी देरी से तनाव पैदा हुआ।
strand	लट	बालों की एक लट गिर गई।
strategic	रणनीतिक	कंपनी ने एक रणनीतिक निवेश किया।
strip (long narrow piece)	पट्टी	कागज की एक संकीर्ण पट्टी काट लें।
strip (remove clothes/a layer)	हटाना	पुराने पेंट को ध्यान से हटा दें।
strive	प्रयास करना	वे उत्कृष्टता के लिए प्रयास करते हैं।
structural	संरचनात्मक	पुल में संरचनात्मक क्षति है।
stumble	ठोकर खाना	उसे सीढ़ियों पर ठोकर लगी।
stun	स्तब्ध करना	खबर लोगों को स्तब्ध कर सकती है।
submission	जमा करना	जमा करने की समय सीमा बीत गई।
subscriber	ग्राहक	प्रत्येक ग्राहक को अपडेट प्राप्त होते हैं।
subscription	सदस्यता	सदस्यता स्वचालित रूप से नवीनीकृत होती है।
subsidy	सब्सिडी	सब्सिडी ने ईंधन की लागत कम कर दी।
substantial	पर्याप्त	परियोजना को पर्याप्त धन की आवश्यकता है।
substantially	काफी हद तक	कीमत में काफी वृद्धि हुई।
substitute	विकल्प	विकल्प के रूप में दूध का प्रयोग करें।
substitution	प्रतिस्थापन	प्रतिस्थापन ने नुस्खा बदल दिया।
subtle	सूक्ष्म	पेंटिंग में सूक्ष्म विवरण हैं।
suburban	उपनगरीय	वे एक उपनगरीय क्षेत्र में चले गए।
succession	श्रृंखला	संकट विफलताओं की एक श्रृंखला के बाद आया।
successive	लगातार	लगातार सरकारों ने इस मुद्दे को नजरअंदाज किया।
successor	उत्तराधिकारी	उत्तराधिकारी सोमवार से शुरू होगा।
suck	खींचना	मशीन धूल खींच सकती है।
sue	मुकदमा करना	उसने कंपनी पर मुकदमा करने का फैसला किया।
suicide	आत्महत्या	आत्महत्या की रोकथाम के लिए निरंतर धन की आवश्यकता है।
suite	सुइट	होटल के सुइट से नदी दिखती थी।
summit	शिखर सम्मेलन	नेता शिखर सम्मेलन में मिले।
superb	शानदार	प्रदर्शन शानदार था।
superior	बेहतर	नया मॉडल बेहतर है।
supervise	निगरानी करना	वह प्रशिक्षुओं की निगरानी करेगी।
supervision	देखरेख	बच्चों को बड़ों की देखरेख की आवश्यकता होती है।
supervisor	पर्यवेक्षक	पहले अपने पर्यवेक्षक से पूछें।
supplement	पूरक	रिपोर्ट में एक पूरक शामिल है।
supportive	सहायक	उसका परिवार सहायक था।
supposedly	कथित तौर पर	कथित तौर पर फ़ाइल हटा दी गई थी।
suppress	दबाना	शासन ने विरोध प्रदर्शनों को दबाने की कोशिश की।
supreme	सर्वोच्च	सर्वोच्च न्यायालय ने मामले की सुनवाई की।
surge	उछाल	अचानक हुए उछाल ने उपकरणों को नुकसान पहुंचाया।
surgical	शल्य	मरीज को शल्य चिकित्सा की आवश्यकता है।
surplus	अधिशेष	गोदाम में अधिशेष है।
surrender	आत्मसमर्पण करना	सैनिक आत्मसमर्पण करने के लिए सहमत हुए।
surveillance	निगरानी	निगरानी कैमरों ने प्रवेश द्वार को रिकॉर्ड किया।
suspension	निलंबन	निलंबन दो सप्ताह तक चला।
suspicion	संदेह	उसके व्यवहार से संदेह पैदा हुआ।
suspicious	संदिग्ध	पैकेज संदिग्ध लग रहा था।
sustain	बनाए रखना	परियोजना स्थानीय नौकरियों को बनाए रख सकती है।
swing	झूलना	दरवाजा झूलने लगा।
sword	तलवार	दीवार पर तलवार लटकी हुई थी।
symbolic	प्रतीकात्मक	यह इशारा प्रतीकात्मक था।
syndrome	सिंड्रोम	सिंड्रोम स्मृति को प्रभावित करता है।
synthesis	संश्लेषण	अध्याय एक संश्लेषण प्रस्तुत करता है।
systematic	व्यवस्थित	समीक्षा व्यवस्थित थी।
tactic	रणनीति	रणनीति जल्दी विफल हो गई।
tactical	सामरिक	टीम ने एक सामरिक बदलाव किया।
taxpayer	करदाता	करदाता के पैसे से पुल का वित्तपोषण किया गया।
tempt	लुभाना	यह प्रस्ताव निवेशकों को लुभा सकता है।
tenant	किरायेदार	किरायेदार ने जल्दी किराया दे दिया।
tender	कोमल	उसने एक कोमल मुस्कान दी।
tenure	कार्यकाल	उनका कार्यकाल छह साल तक चला।
terminal	जानलेवा	मरीज को एक जानलेवा बीमारी थी।
terminate	समाप्त करना	कंपनी अनुबंध समाप्त कर सकती है।
terrain	भूभाग	भूभाग कठिन था।
terrific	शानदार	नज़ारा शानदार था।
testify	गवाही देना	वह गवाही देने के लिए सहमत हो गई।
testimony	गवाही	उसकी गवाही विस्तृत थी।
texture	बनावट	कपड़े की बनावट खुरदरी है।
thankfully	शुक्र है	शुक्र है, कोई घायल नहीं हुआ।
theatrical	नाटकीय	भाषण नाटकीय लग रहा था।
theology	धर्मशास्त्र	उन्होंने विश्वविद्यालय में धर्मशास्त्र का अध्ययन किया।
theoretical	सैद्धांतिक	मॉडल विशुद्ध रूप से सैद्धांतिक है।
thereafter	उसके बाद	उसके बाद, नियम बदल गए।
thereby	जिससे	परिवर्तन ने लागत कम कर दी, जिससे नौकरियां बच गईं।
thoughtful	विचारशील	उसकी प्रतिक्रिया विचारशील थी।
thought-provoking	विचारोत्तेजक	लेख विचारोत्तेजक था।
thread	धागा	धागा आसानी से टूट गया।
threshold	सीमा	वोट ने सीमा पार कर ली।
thrilled	रोमांचित	वह खबर से रोमांचित थी।
thrive	फलना-फूलना	छोटे व्यवसाय यहाँ फल-फूल सकते हैं।
tide	ज्वार	ज्वार तेजी से बढ़ा।
tighten	कसना	ढक्कन को कसकर बंद करें।
timber	लकड़ी	घर में स्थानीय लकड़ी का उपयोग किया गया है।
timely	समय पर	चेतावनी समय पर थी।
tobacco	तंबाकू	तंबाकू की बिक्री में गिरावट आई।
tolerance	सहनशीलता	नीति सहनशीलता को प्रोत्साहित करती है।
tolerate	सहन करना	हम दुर्व्यवहार को सहन नहीं कर सकते।
toll	नुकसान	तूफान ने भारी नुकसान पहुंचाया।
top	पार करना	बिक्री पिछले साल के रिकॉर्ड को पार कर सकती है।
torture	यातना	संधि यातना पर पूर्ण प्रतिबंध लगाती है।
