source_headword	KA	example_KA
riot	არეულობა	არეულობა რამდენიმე საათს გაგრძელდა.
rip	დახევა	ქაღალდი ფრთხილად დახიეთ.
ritual	რიტუალი	ეს რიტუალი მოსავლის აღებას აღნიშნავს.
robust	მძლავრი	სისტემა მძლავრია.
rock	შეძვრა	აფეთქებამ სოფელი შეაზანზარა.
rod	ჯოხი	ფარდა ჯოხზე ჰკიდია.
rotate	ტრიალი	სახელური ნელა დაატრიალეთ.
rotation	როტაცია	მოსავლის როტაცია ნიადაგს იცავს.
ruling	გადაწყვეტილება	სასამართლომ გადაწყვეტილება გამოიტანა.
rumour	ჭორი	ჭორი სწრაფად გავრცელდა.
sack	გათავისუფლება	საბჭომ შეიძლება მწვრთნელი გაათავისუფლოს.
sacred	წმინდა	ტაძარი წმინდაა.
sacrifice	მსხვერპლი	მშობლები ხშირად იღებენ მსხვერპლს.
saint	წმინდანი	ეკლესია ადგილობრივ წმინდანს პატივს მიაგებს.
sake	გულისათვის	ის მისი გულისათვის დარჩა.
sanction	სანქცია	სანქციამ საერთაშორისო ვაჭრობაზე იმოქმედა.
say	სიტყვა	თანამშრომლებს განრიგში თავიანთი სიტყვა ეთქმოდათ.
scattered	გაფანტული	გაფანტული ქაღალდები მაგიდას ფარავდა.
sceptical	სკეპტიკური	ის განცხადების მიმართ სკეპტიკურად დარჩა.
scope	მასშტაბი	პროექტის მასშტაბი გაფართოვდა.
screw	ხრახნი	ხრახნი ფრთხილად მოუჭირეთ.
scrutiny	შემოწმება	გარიგება საჯარო შემოწმების წინაშე აღმოჩნდა.
seal	დალუქვა	ფოსტაში გაგზავნამდე კონვერტი დალუქეთ.
secular	სეკულარული	სკოლა სეკულარულ სასწავლო პროგრამას მიჰყვება.
seemingly	ერთი შეხედვით	დავალება ერთი შეხედვით მარტივი იყო.
segment	სეგმენტი	ბოლო სეგმენტი უფრო მოკლე იყო.
seize	ჩამორთმევა	პოლიციამ დოკუმენტები ამოიღო.
seldom	იშვიათად	ის იშვიათად აცდენს გაკვეთილს.
selective	შერჩევითი	პროგრამა ძალიან შერჩევითია.
senator	სენატორი	სენატორმა კანონპროექტს მხარი დაუჭირა.
sensation	სენსაცია	აღმოჩენამ სენსაცია გამოიწვია.
sensitivity	მგრძნობელობა	ეს საკითხი მგრძნობელობას მოითხოვს.
sentiment	განწყობა	საზოგადოების განწყობა სწრაფად შეიცვალა.
separation	დაშორება	დაშორება რთული იყო.
serial	სერიული	სერიული ნომერი აკლია.
settlement	მორიგება	მორიგებამ დავა დაასრულა.
set-up	მოწყობა	მოწყობას მთელი დილა დასჭირდა.
sexuality	სექსუალობა	კურსი იდენტობას და სექსუალობას განიხილავს.
shareholder	აქციონერი	აქციონერმა საბჭოს შეკითხვა დაუსვა.
shatter	დამსხვრევა, გაცრუება	ახალმა ამბავმა მისი თავდაჯერებულობა დაამსხვრია.
shed	შემცირება, მოშორება	კომპანია სამუშაო ადგილებს შეამცირებს.
sheer	აბსოლუტური, უშველებელი	მისმა უშველებელმა ზომამ ყველა გააკვირვა.
shipping	გადაზიდვა, მიწოდება	გადაზიდვის ხარჯები გაიზარდა.
shoot	გადაღება	ფოტოსესია ადრე დასრულდა.
shrink	შეკუმშვა, დაპატარავება	პერანგი შეიძლება შეიკუმშოს.
shrug	მხრების აჩეჩვა	მან მსუბუქად აიჩეჩა მხრები.
sigh	ამოოხვრა	მან შვებით ამოიოხრა.
simulate	სიმულირება	პროგრამას შეუძლია მოძრაობის სიმულირება.
simulation	სიმულაცია	სიმულაციამ წყალდიდობა იწინასწარმეტყველა.
simultaneously	ერთდროულად	ორი მაღვიძარა ერთდროულად დარეკა.
sin	ცოდვა	სიამაყე ცოდვად ითვლება.
situated	განლაგებული, მდებარე	სასტუმრო ქალაქის ცენტრში მდებარეობს.
sketch	ჩანახატი, ესკიზი	მან სწრაფი ჩანახატი გააკეთა.
skip	გამოტოვება	საუზმეს ნუ გამოტოვებთ.
slam	მიჯახუნება	მას შეუძლია კარის მიჯახუნება.
slap	სილის გაწვნა, დარტყმა	ნუ ურტყამთ ხელს მაგიდაზე.
slavery	მონობა	მონობამ რეგიონის ისტორია ჩამოაყალიბა.
slot	ადგილი, დროის მონაკვეთი	დაჯავშნეთ დროის მონაკვეთი ონლაინ.
smash	დამსხვრევა	ჭიქა იატაკზე დაიმსხვრა.
snap	გადატეხვა	ტოტი ქარში გადატყდა.
soak	ჩალბობა	ლობიო მთელი ღამით ჩაალბეთ.
soar	მკვეთრად გაზრდა	საწვავის ფასები შეიძლება მკვეთრად გაიზარდოს.
socialist	სოციალისტური	პარტია მხარს უჭერს სოციალისტურ პოლიტიკას.
sole	ერთადერთი	ის ერთადერთი გადარჩენილი იყო.
solely	მხოლოდ, ერთპიროვნულად	გადაწყვეტილება მხოლოდ მისი იყო.
solicitor	ადვოკატი, იურისტი	ადვოკატმა კონტრაქტი მოამზადა.
solidarity	სოლიდარობა	მუშებმა სოლიდარობა გამოხატეს.
solo	სოლო, დამოუკიდებელი	მან სოლო ალბომი გამოუშვა.
sound	საფუძვლიანი, გონივრული	გეგმა საფუძვლიანი და პრაქტიკულია.
sovereignty	სუვერენიტეტი	ხელშეკრულებამ ეროვნული სუვერენიტეტი დაიცვა.
spam	სპამი	სპამმა ელ-ფოსტა აავსო.
span	გადაჭიმვა, გადაკვეთა	ხიდი მდინარეზეა გადაჭიმული.
spark	გამოწვევა, გაჩაღება	მცირე რეპლიკამ დებატები გამოიწვია.
specialized	სპეციალიზებული	კლინიკა სპეციალიზებულ ზრუნვას უზრუნველყოფს.
specification	სპეციფიკაცია, მოთხოვნა	დიზაინი ყველა მოთხოვნას აკმაყოფილებს.
specimen	ნიმუში	ნიმუში უსაფრთხოდ შეინახეს.
spectacle	სანახაობა	აღლუმი ცოცხალი სანახაობა იყო.
spectrum	სპექტრი	მოსაზრებები ფართო სპექტრს მოიცავს.
spell	პერიოდი	გვალვის პერიოდი კვირები გაგრძელდა.
sphere	სფერო	პოლიტიკა კულტურულ სფეროში შეიჭრა.
spin	ტრიალი, ბრუნვა	ბორბლებმა ტრიალი დაიწყეს.
spine	ხერხემალი	ტრავმამ მის ხერხემალზე იმოქმედა.
spotlight	ყურადღების ცენტრი	სკანდალმა ის ყურადღების ცენტრში მოაქცია.
spouse	მეუღლე	ცერემონიას მისი მეუღლე დაესწრო.
spy	ჯაშუში	ჯაშუშმა კოდირებული შეტყობინებები გაგზავნა.
squad	რაზმი, გუნდი	სამაშველო რაზმი სწრაფად მივიდა.
squeeze	მოჭერა, მიჭყლეტა	სახელურს ფრთხილად მოუჭირეთ.
stab	ჩხვლეტა, დაჭრა	მოხსენებაში აღწერილი იყო ჭრილობა დანით.
stability	სტაბილურობა	პოლიტიკამ სტაბილურობა მოიტანა.
stabilize	დასტაბილურება	წამალი მის დასტაბილურებაში დაეხმარა.
stake	წილი, ინტერესი	აქ ინვესტორებს თავისი წილი აქვთ.
standing	რეპუტაცია, მდგომარეობა	მისი მდგომარეობა პარტიაში ამაღლდა.
stark	მკვეთრი, აშკარა	შედეგებმა მკვეთრი კონტრასტი აჩვენა.
statistical	სტატისტიკური	კვლევამ სტატისტიკური მეთოდები გამოიყენა.
steer	მართვა, მიმართულების მიცემა	ის შეეცადა დებატებისთვის მიმართულება მიეცა.
stem	ღერო	ღერო შტორმში გადატყდა.
stereotype	სტერეოტიპი	ფილმმა სტერეოტიპს გამოწვევა ესროლა.
stimulus	სტიმული	პაკეტმა ეკონომიკური სტიმული უზრუნველყო.
stir	მორევა	სოუსს ნელა მოურიეთ.
storage	შენახვა, საცავი	ობიექტი უსაფრთხო საცავს გვთავაზობს.
straightforward	მარტივი, გასაგები	ინსტრუქციები მარტივი და გასაგები იყო.
strain	დაძაბულობა	ხანგრძლივმა დაყოვნებამ დაძაბულობა გამოიწვია.
strand	ღერი	თმის ღერი ჩამოვარდა.
strategic	სტრატეგიული	კომპანიამ სტრატეგიული ინვესტიცია განახორციელა.
strip (long narrow piece)	ზოლი	ქაღალდის ვიწრო ზოლი მოჭერით.
strip (remove clothes/a layer)	აცლა, მოშორება	ძველი საღებავი ფრთხილად ააცალეთ.
strive	მისწრაფება, მცდელობა	ისინი სრულყოფილებისკენ ისწრაფვიან.
structural	სტრუქტურული	ხიდს სტრუქტურული დაზიანება აქვს.
stumble	წაბორძიკება	კიბეებზე წაიბორძიკა.
stun	გაოგნება	ახალმა ამბავმა შეიძლება ხალხი გააოგნოს.
submission	ჩაბარება, წარდგენა	წარდგენის ვადა გავიდა.
subscriber	გამომწერი	თითოეული გამომწერი სიახლეებს იღებს.
subscription	გამოწერა	გამოწერა ავტომატურად ახლდება.
subsidy	სუბსიდია	სუბსიდიამ საწვავის ხარჯები შეამცირა.
substantial	მნიშვნელოვანი, არსებითი	პროექტს მნიშვნელოვანი დაფინანსება სჭირდება.
substantially	მნიშვნელოვნად	ფასი მნიშვნელოვნად გაიზარდა.
substitute	შემცვლელი	შემცვლელად რძე გამოიყენეთ.
substitution	ჩანაცვლება	ჩანაცვლებამ რეცეპტი შეცვალა.
subtle	შეუმჩნეველი, ნატიფი	ნახატს ნატიფი დეტალები აქვს.
suburban	საგარეუბნო	ისინი საგარეუბნო ტერიტორიაზე გადავიდნენ.
succession	მიმდევრობა, სერია	კრიზისს წარუმატებლობების სერია მოჰყვა.
successive	თანმიმდევრული, მომდევნო	მომდევნო მთავრობებმა საკითხი იგნორირება გაუკეთეს.
successor	მემკვიდრე, შემცვლელი	შემცვლელი ორშაბათს დაიწყებს.
suck	შეწოვა	მანქანას მტვრის შეწოვა შეუძლია.
sue	სასამართლოში ჩივილი	მან გადაწყვიტა კომპანიისთვის სასამართლოში ეჩივლა.
suicide	თვითმკვლელობა	თვითმკვლელობის პრევენციას სტაბილური დაფინანსება სჭირდება.
suite	ლუქსი	სასტუმროს ლუქსი მდინარეს გადაჰყურებდა.
summit	სამიტი, მწვერვალი	ლიდერები სამიტზე შეხვდნენ.
superb	ბრწყინვალე	წარმოდგენა ბრწყინვალე იყო.
superior	უპირატესი, უკეთესი	ახალი მოდელი უპირატესია.
supervise	ზედამხედველობა	ის სტაჟიორებს ზედამხედველობას გაუწევს.
supervision	ზედამხედველობა	ბავშვებს უფროსების ზედამხედველობა სჭირდებათ.
supervisor	ხელმძღვანელი, ზედამხედველი	ჯერ თქვენს ხელმძღვანელს ჰკითხეთ.
supplement	დანამატი	მოხსენება დანამატს მოიცავს.
supportive	მხარდამჭერი	მისი ოჯახი მხარდამჭერი იყო.
supposedly	სავარაუდოდ	ფაილი სავარაუდოდ წაშლილია.
suppress	ჩახშობა	რეჟიმი პროტესტების ჩახშობას შეეცადა.
supreme	უზენაესი	უზენაესმა სასამართლომ საქმე განიხილა.
surge	მკვეთრი მატება, ტალღა	მოულოდნელმა ტალღამ მოწყობილობა დააზიანა.
surgical	ქირურგიული	პაციენტს ქირურგიული მკურნალობა სჭირდება.
surplus	ნამეტი, სიჭარბე	საწყობში ნამეტია.
surrender	დანებება	ჯარისკაცები დანებებაზე დათანხმდნენ.
surveillance	მეთვალყურეობა	სამეთვალყურეო კამერებმა შესასვლელი ჩაწერეს.
suspension	შეჩერება	შეჩერება ორ კვირას გაგრძელდა.
suspicion	ეჭვი	მისმა ქცევამ ეჭვი გამოიწვია.
suspicious	საეჭვო	ამანათი საეჭვოდ გამოიყურებოდა.
sustain	შენარჩუნება	პროექტს ადგილობრივი სამუშაო ადგილების შენარჩუნება შეუძლია.
swing	რწევა, ქანაობა	კარმა რწევა დაიწყო.
sword	ხმალი	ხმალი კედელზე ეკიდა.
symbolic	სიმბოლური	ეს ჟესტი სიმბოლური იყო.
syndrome	სინდრომი	სინდრომი მეხსიერებაზე მოქმედებს.
synthesis	სინთეზი	თავი სინთეზს გვთავაზობს.
systematic	სისტემატური	მიმოხილვა სისტემატური იყო.
tactic	ტაქტიკა	ტაქტიკამ სწრაფად განიცადა მარცხი.
tactical	ტაქტიკური	გუნდმა ტაქტიკური ცვლილება განახორციელა.
taxpayer	გადასახადის გადამხდელი	გადასახადის გადამხდელთა ფულით ხიდი დაფინანსდა.
tempt	ცდუნება	შეთავაზებამ შეიძლება ინვესტორები აცდუნოს.
tenant	დამქირავებელი, მდგმური	დამქირავებელმა ქირა ადრე გადაიხადა.
tender	ნაზი	მან ნაზად გაიღიმა.
tenure	უფლებამოსილების ვადა	მისი უფლებამოსილების ვადა ექვს წელს გაგრძელდა.
terminal	განუკურნებელი	პაციენტს განუკურნებელი დაავადება ჰქონდა.
terminate	შეწყვეტა	კომპანიამ შეიძლება კონტრაქტი შეწყვიტოს.
terrain	რელიეფი	რელიეფი რთული იყო.
terrific	შესანიშნავი	ხედი შესანიშნავი იყო.
testify	ჩვენების მიცემა	ის ჩვენების მიცემას დათანხმდა.
testimony	ჩვენება	მისი ჩვენება დეტალური იყო.
texture	ტექსტურა, ფაქტურა	ქსოვილს უხეში ტექსტურა აქვს.
thankfully	საბედნიეროდ	საბედნიეროდ, არავინ დაშავებულა.
theatrical	თეატრალური	სიტყვა თეატრალურად ჟღერდა.
theology	თეოლოგია	მან უნივერსიტეტში თეოლოგია შეისწავლა.
theoretical	თეორიული	მოდელი წმინდად თეორიულია.
thereafter	შემდგომში	შემდგომში წესები შეიცვალა.
thereby	ამით	ცვლილებამ ხარჯები შეამცირა და ამით სამუშაო ადგილები გადაარჩინა.
thoughtful	დაფიქრებული, ყურადღებიანი	მისი პასუხი დაფიქრებული იყო.
thought-provoking	დამაფიქრებელი	სტატია დამაფიქრებელი იყო.
thread	ძაფი	ძაფი ადვილად გაწყდა.
threshold	ზღურბლი, ბარიერი	ხმებმა ბარიერი გადალახა.
thrilled	აღფრთოვანებული	ის აღფრთოვანებული იყო ახალი ამბით.
thrive	აყვავება, განვითარება	მცირე ბიზნესს აქ აყვავება შეუძლია.
tide	მოქცევა	ზღვის მოქცევამ სწრაფად მოიმატა.
tighten	მოჭერა, გამკაცრება	თავსახურს მაგრად მოუჭირეთ.
timber	მერქანი, ხე-ტყე	სახლში ადგილობრივი ხე-ტყეა გამოყენებული.
timely	დროული	გაფრთხილება დროული იყო.
tobacco	თამბაქო	თამბაქოს გაყიდვები შემცირდა.
tolerance	ტოლერანტობა, შემწყნარებლობა	პოლიტიკა ტოლერანტობას ახალისებს.
tolerate	ატანა, მოთმენა	ჩვენ არ შეგვიძლია შეურაცხყოფის მოთმენა.
toll	ზარალი, მსხვერპლი	შტორმმა დიდი ზარალი გამოიწვია.
top	გადაჭარბება	გაყიდვებმა შეიძლება გასული წლის რეკორდს გადააჭარბოს.
torture	წამება	ხელშეკრულება წამებას აბსოლუტურად კრძალავს.
