source_headword	PL	example_PL
require	wymagać	Ta praca będzie wymagać szkolenia.
reservation	rezerwacja	Zrobiłem rezerwację.
resource	zasób	Biblioteka jest użytecznym zasobem.
respect	szacunek	Szanuj swoich kolegów z klasy.
responsibility	odpowiedzialność	Opieka nad dziećmi to duża odpowiedzialność.
responsible	odpowiedzialny	Ona jest odpowiedzialna za bilety.
retire	przejść na emeryturę	Mój ojciec wkrótce przejdzie na emeryturę.
retired	emerytowany	On jest emerytowanym nauczycielem.
revise	powtórzyć; poprawić	Powtórz swój esej dziś wieczorem.
risk	ryzyko	Jest ryzyko deszczu.
robot	robot	Robot wyczyścił podłogę.
roll	toczyć	Tocz piłkę do mnie.
romantic	romantyczny	Oni mieli romantyczną kolację.
rope	lina	Zawiąż linę mocno.
rough	szorstki	Droga była szorstka.
row1	rząd	Usiądź w przednim rzędzie.
royal	królewski	Rodzina królewska przybyła.
rugby	rugby	Oglądaliśmy rugby w telewizji.
safety	bezpieczeństwo	Bezpieczeństwo jest ważne w pracy.
sailor	marynarz	Marynarz naprawił łódź.
sample	próbka	Pielęgniarka pobrała próbkę krwi.
sand	piasek	Piasek pokrył moje buty.
scan	skanować	Najpierw zeskanuj dokument.
scientific	naukowy	To jest metoda naukowa.
script	scenariusz	Aktor czytał scenariusz.
sculpture	rzeźba	Rzeźba stoi na zewnątrz.
secondary	drugorzędny	To jest drugorzędny problem.
security	ochrona	Ochrona sprawdziła nasze torby.
seed	nasiono	Zasadź nasiono w ziemi.
sensible	rozsądny	To jest rozsądny pomysł.
seriously	poważnie	Potraktuj ten problem poważnie.
servant	służący	Służący otworzył drzwi.
set (put)	ustawić	Ustaw szklankę na stole.
set (group)	zestaw	Ten zestaw zawiera sześć filiżanek.
setting	sceneria	Historia ma miejską scenerię.
sex	płeć	Formularz pyta o wiek i płeć.
sexual	seksualny	Klasa omawiała zdrowie seksualne.
sharp	ostry	Ten nóż jest ostry.
shelf	półka	Połóż książkę na półce.
shell	muszla	Muszla była pusta.
shift	zmiana	Moja zmiana zaczyna się o ósmej.
shine	świecić	Gwiazdy świecą w nocy.
shiny	błyszczący	Jej buty są błyszczące.
shoot	fotografować	Fotograf będzie fotografować scenę.
shy	nieśmiały	On jest nieśmiały przy obcych.
sight	widok	Góra była pięknym widokiem.
signal	sygnał	Sygnał był słaby.
silent	cichy	Pokój stał się cichy.
silly	głupi	To był głupi błąd.
similarity	podobieństwo	Jest wyraźne podobieństwo.
similarly	podobnie	Drugi plan działa podobnie.
simply	po prostu	Po prostu naciśnij ten przycisk.
sink	tonąć	Ciężkie kamienie szybko toną.
slice	kawałek	Zjadłem kawałek ciasta.
slightly	nieco	Pokój jest nieco cieplejszy.
smart	elegancki	Ona miała elegancką marynarkę.
smooth	gładki	Droga jest gładka.
software	oprogramowanie	Oprogramowanie wymaga aktualizacji.
soil	gleba	Gleba jest sucha.
solid	solidny	Ściana jest solidna.
southern	południowy	Oni mieszkają na południowym wybrzeżu.
specifically	konkretnie	Konkretnie poprosiłem o herbatę.
spending	wydatki	Wydatki rządu wzrosły.
spicy	pikantny	To curry jest pikantne.
spirit	duch	Zespół pokazał wielkiego ducha.
spoken	mówiony	Mówiony angielski poprawia się dzięki ćwiczeniu.
spot	miejsce	To miejsce jest idealne.
spread	rozsmarować	Rozsmaruj masło na chlebie.
stadium	stadion	Stadion był pełny.
staff	personel	Personel był pomocny.
standard	standard	Standard był wysoki.
statistic	statystyka	Ta statystyka jest zaskakująca.
statue	posąg	Posąg stoi na placu.
stick (push into/attach)	przykleić	Przyklej etykietę do pudełka.
stick (piece of wood)	patyk	On podniósł patyk.
