source_headword	TR	example_TR
lifetime	ömür boyu	Bir ömür boyu para biriktirdi.
lighting	aydınlatma	İyi aydınlatma odayı güzelleştirir.
likewise	aynı şekilde	Gülümsedi; o da aynı şekilde yaptı.
limitation	sınırlama	Planın bir sınırlaması var.
literally	kelimenin tam anlamıyla	Kelimenin tam anlamıyla otobüse koştu.
literary	edebi	Festival edebi eserleri onurlandırıyor.
litre	litre	Bir litre süt al.
litter	çöp	Yere çöp atmayın.
logo	logo	Logo her sayfada görünür.
lottery	piyango	Küçük bir piyango ödülü kazandı.
loyal	sadık	Köpek sahibine sadıktı.
lyric	şarkı sözü	Şarkı sözü ana fikri tekrarladı.
magnificent	muhteşem	Saray muhteşem görünüyordu.
make-up	makyaj	Sade bir makyaj yapmıştı.
making	yapım	Filmin yapımı zordu.
manufacture	üretmek	Fabrika telefon üretecek.
manufacturing	üretim	Üretim işleri yerel olarak arttı.
marathon	maraton	Maratonu bitirdi.
margin	kenar boşluğu	Notları kenar boşluğuna yazın.
marker	işaretleyici	Etiket için bir işaretleyici kullanın.
martial	dövüş	Dövüş sanatları okuyor.
mate	arkadaş	Eski okul arkadaşım dün aradı.
mayor	belediye başkanı	Belediye başkanı kütüphaneyi açtı.
mechanic	tamirci	Tamirci otobüsü tamir etti.
mechanical	mekanik	Saatin mekanik bir hatası var.
mechanism	mekanizma	Kilit mekanizması basittir.
medal	madalya	Altın madalya kazandı.
medication	ilaç	İlacı suyla alın.
membership	üyelik	Spor salonu üyeliği çevrimiçi daha ucuzdur.
memorable	unutulmaz	Yolculuk unutulmazdı.
metaphor	metafor	Şiir güçlü bir metafor kullanıyor.
miner	madenci	Madenci yeraltında çalıştı.
miserable	berbat	Yağmur pikniği berbat etti.
mode	mod	Kamerayı gece moduna geçirin.
modest	mütevazı	Mütevazı bir evde yaşıyorlar.
monster	canavar	Hikayede korkunç bir canavar var.
monthly	aylık	Kirayı aylık ödüyoruz.
monument	anıt	Anıt nehrin yakınında duruyor.
moreover	dahası	Dahası, plan para tasarrufu sağlıyor.
mortgage	konut kredisi	Konut kredisine başvurdular.
mosque	cami	Cami pazarın yakınında.
motion	hareket	Sensör hareketi algılıyor.
motivate	motive etmek	Övgü öğrencileri motive edebilir.
motivation	motivasyon	Motivasyonu güçlü kaldı.
moving	dokunaklı	Konuşma dokunaklıydı.
myth	efsane	Efsane dağın adını açıklıyor.
naked	çıplak	Bebek banyodan sonra çıplaktı.
nasty	kötü	Kesik kötü görünüyordu.
navigation	gezinme	Uygulama gezinmeyi iyileştiriyor.
nearby	yakındaki	Yakındaki bir kafe erken açılır.
necessity	ihtiyaç	Temiz su bir ihtiyaçtır.
negotiate	müzakere etmek	Yarın sözleşmeyi müzakere edecekler.
negotiation	müzakere	Müzakere bütün sabah sürdü.
neutral	tarafsız	Yargıç tarafsız kaldı.
newly	yeni	Yeni boyanmış kapı parlak görünüyordu.
norm	norm	Uzaktan çalışma norm haline geldi.
notebook	defter	Notları defterinize yazın.
novelist	romancı	Romancı kitabını imzaladı.
nowadays	günümüzde	Günümüzde birçok insan çevrimiçi çalışıyor.
nursing	hemşirelik	O, hemşirelik okuyor.
nutrition	beslenme	İyi beslenme sağlığı destekler.
obesity	obezite	Obezite sağlık risklerini artırır.
observer	gözlemci	Gözlemci sonuçları kaydetti.
obstacle	engel	Düşen ağaç bir engeldi.
occupation	meslek	Lütfen mesleğinizi buraya yazın.
occupy	yerleşmek	Aile daireye yerleşecek.
offender	suçlu	Suçlu mahkemede özür diledi.
ongoing	devam eden	Soruşturma devam ediyor.
openly	açıkça	Korkuları hakkında açıkça konuştu.
opera	opera	Milano'da bir opera izledik.
operator	operatör	Operatör aramayı bağladı.
optimistic	iyimser	Gelecek hakkında iyimser hissediyor.
orchestra	orkestra	Orkestra hafifçe çaldı.
organic	organik	Organik sebzeler satın aldılar.
outfit	kıyafet	Kıyafeti duruma uygundu.
output	üretim	Makinenin üretimi arttı.
outstanding	olağanüstü	Performansı olağanüstüydü.
overcome	üstesinden gelmek	Sorunların üstesinden birlikte gelirler.
overnight	bir gecede	Paket bir gecede geldi.
overseas	yurtdışı	Yurtdışında iş buldu.
ownership	mülkiyet	Arazinin mülkiyeti el değiştirdi.
oxygen	oksijen	Bitkiler oksijen üretir.
packet	paket	Paketi dikkatlice açın.
palm	avuç	Madeni parayı avucunuzda tutun.
panic	panik	Panik kalabalığın arasına yayıldı.
parade	geçit töreni	Geçit töreni öğlen başladı.
parallel	paralel	Yollar paralel uzanıyor.
participation	katılım	Derse katılım arttı.
partnership	ortaklık	Ortaklık her iki şirkete de yardımcı oldu.
part-time	yarı zamanlı	Yarı zamanlı bir iş buldu.
passionate	tutkulu	Müziğe tutkuyla bağlı.
password	şifre	Güçlü bir şifre seçin.
patience	sabır	Küçük çocuklara öğretmek sabır gerektirir.
pause	duraklatmak	Videoyu şimdi duraklatın.
peer	akran	Akran baskısı seçimini etkiledi.
penalty	ceza	Oyuncu ceza aldı.
perceive	algılamak	İnsanlar riski farklı algılar.
perception	algı	Tehlike algısı değişti.
permanently	kalıcı olarak	Mağaza kalıcı olarak kapandı.
pill	hap	Kahvaltıdan sonra bir hap alın.
pity	yazık	Çok yazık.
placement	yerleşim	Kanepenin yerleşimi önemlidir.
portion	porsiyon	Küçük bir porsiyon pirinç servis edin.
potentially	potansiyel olarak	Bu değişiklik potansiyel olarak faydalıdır.
precede	önce gelmek	Kara bulutlar genellikle yağmurdan önce gelir.
precious	değerli	Yüzük değerlidir.
precise	kesin	Talimatlar kesindi.
precisely	tam olarak	Mesafeyi tam olarak ölçün.
predictable	öngörülebilir	Son öngörülebilirdi.
preference	tercih	Çay tercih ettiğini belirtti.
pride	gurur	Bitirdikten sonra gurur duydu.
primarily	öncelikle	Kurs öncelikle çevrimiçidir.
principal	müdür	Müdür yeni öğrencileri karşıladı.
prior	ön	Ön onaya ihtiyacımız var.
probability	olasılık	Yağmur yağma olasılığı yüksektir.
probable	muhtemel	Bu gece yağmur muhtemeldir.
proceed	ilerlemek	Lütfen sonraki odaya ilerleyin.
programming	programlama	Programlama pratik gerektirir.
progressive	ilerici	Politika kendi zamanı için ilericiydi.
prohibit	yasaklamak	Kurallar sigara içmeyi yasaklar.
promising	umut verici	Sonuçlar umut verici görünüyor.
promotion	terfi	İşte terfi aldı.
prompt	çabuk	Çabuk yanıt zaman kazandırdı.
proportion	oran	Büyük bir oran evet oyu verdi.
protein	protein	Fasulyeler protein içerir.
protester	protestocu	Protestocu bir tabela tutuyordu.
psychological	psikolojik	Kaza psikolojik strese neden oldu.
publicity	ilgi	Etkinlik ilgi gördü.
publishing	yayıncılık	O, yayıncılık sektöründe çalışıyor.
punk	punk	Punk müziği orada popüler oldu.
purely	tamamen	Seçim tamamen pratikti.
pursuit	arayış	Adalet arayışına devam etti.
puzzle	bulmaca	Bulmaca bir saat sürdü.
questionnaire	anket	Lütfen anketi doldurun.
racial	ırksal	Rapor ırksal eşitsizliği tartıştı.
racism	ırkçılık	Irkçılık topluluklara zarar verir.
racist	ırkçı	Yorum ırkçıydı.
radiation	radyasyon	Radyasyon hücrelere zarar verebilir.
rail	korkuluk	Merdivenlerdeki korkuluğu tutun.
random	rastgele	Bilgisayar rastgele bir sayı seçti.
rat	sıçan	Çöplerin arkasından bir sıçan koştu.
rating	derecelendirme	Otelin yüksek bir derecelendirmesi var.
reasonably	makul derecede	Oda makul derecede temizdi.
rebuild	yeniden inşa etmek	Köprüyü yeniden inşa edecekler.
receiver	alıcı	Alıcı topu yakaladı.
recession	durgunluk	Durgunluk harcamaları azalttı.
reckon	sanmak	Trenin geciktiğini sanıyorum.
recognition	takdir	Çalışmaları için takdir aldı.
recovery	iyileşme	İyileşme birkaç hafta sürdü.
recruit	işe almak	Şirket mühendisleri işe alacak.
recruitment	işe alım	İşe alım gelecek Pazartesi başlıyor.
referee	hakem	Hakem maçı durdurdu.
refugee	mülteci	Mülteci güvenli bir ev buldu.
registration	kayıt	Kayıtlar Cuma günü kapanıyor.
regulate	düzenlemek	Yasa emisyonları düzenleyecek.
reinforce	güçlendirmek	Ek kirişler çatıyı güçlendiriyor.
relieve	hafifletmek	İlaç ağrıyı hafifletebilir.
relieved	rahatlamış	Aramadan sonra rahatlamış hissetti.
remarkable	dikkate değer	İyileşme dikkate değerdi.
remarkably	dikkate değer biçimde	Dikkate değer biçimde hızlı iyileşti.
reporting	habercilik	Doğru habercilik önemlidir.
resign	istifa etmek	Müdür yarın istifa edecek.
resolution	çözünürlük	Ekranın yüksek çözünürlüğü var.
restore	onarmak	İşçiler eski tabloyu onarıyor.
restrict	kısıtlamak	Kurallar park etmeyi kısıtlar.
restriction	kısıtlama	Kısıtlama yarın sona eriyor.
retail	perakende	Perakende satışlar arttı.
retirement	emeklilik	Emekliliğini dikkatle planladı.
revenue	gelir	Bilet geliri onarımları karşıladı.
revision	tekrar	Sınavdan önce tekrar yapmak yardımcı oldu.
ridiculous	gülünç	Fiyat gülünçtü.
risky	riskli	Plan riskli görünüyordu.
rival	rakip	Rakibimiz yeni bir mağaza açtı.
rob	soymak	Adamlar bankayı soymaya çalıştı.
robbery	soygun	Soygun gece oldu.
rocket	roket	Roket başarıyla fırlatıldı.
romance	romantizm	Roman bir romantizm içeriyor.
rose	gül	Çitin yanında kırmızı bir gül büyüdü.
roughly	kabaca	Kabaca yirmi kişi katıldı.
ruin	mahvetmek	Yağmur pikniği mahvedebilir.
satisfaction	memnuniyet	Müşteri memnuniyeti arttı.
scandal	skandal	Skandal kariyerine zarar verdi.
scare	korkutmak	Yüksek ses beni korkuttu.
scenario	senaryo	En kötü senaryo pek olası değil.
scholar	bilgin	Bilgin eski metinleri inceledi.
scholarship	burs	O bir burs kazandı.
scratch	çizik	Kedi bir çizik bıraktı.
screening	tarama	Hastane kanser taraması sunuyor.
seeker	arayan	İş arayan başvurular gönderdi.
seminar	seminer	Seminer dokuzda başlıyor.
settler	yerleşimci	Yerleşimci küçük bir çiftlik kurdu.
severely	ağır bir şekilde	Fırtına yollara ağır bir şekilde zarar verdi.
sexy	seksi	Elbise seksi kabul edildi.
shocking	şok edici	Haber şok ediciydi.
shore	kıyı	Kıyı boyunca yürüdük.
shortage	kıtlık	Şehir su kıtlığıyla karşı karşıya kaldı.
shortly	kısa süre sonra	Otobüs öğleden kısa süre sonra geldi.
short-term	kısa vadeli	Planın kısa vadeli faydaları var.
sibling	kardeş	Her kardeş bir hediye aldı.
signature	imza	Lütfen imzanızı ekleyin.
significance	önem	Keşfin büyük önemi var.
skilled	vasıflı	Vasıflı işçiler çatıyı onardı.
slogan	slogan	Kampanya basit bir slogan kullandı.
so-called	sözde	Sözde uzman hatalar yaptı.
somehow	bir şekilde	Bir şekilde, anahtarlar kayboldu.
sometime	bir ara	Gelecek hafta bir ara bizi ziyaret et.
sophisticated	gelişmiş	Yazılım gelişmiştir.
spare	yedek	Yedek bir anahtar tutuyoruz.
specialize	uzmanlaşmak	Doktorlar farklı alanlarda uzmanlaşır.
specify	belirtmek	Lütfen varış zamanınızı belirtin.
spectacular	muhteşem	Havai fişekler muhteşemdi.
spectator	seyirci	Her seyirci bir program aldı.
speculate	tahmin yürütmek	Uzmanlar neden hakkında tahmin yürütüyor.
speculation	spekülasyon	Makale spekülasyonu teşvik etti.
spice	baharat	Her seferinde bir baharat ekleyin.
spill	dökmek	Meyve suyunu dökme.
spite	inat	Sorunlara rağmen başarılı oldu.
spoil	bozmak	Çok fazla tuz çorbayı bozabilir.
spokesman	sözcü	Sözcü soruları yanıtladı.
spokesperson	sözcü	Sözcü bir açıklama okudu.
spokeswoman	kadın sözcü	Kadın sözcü basına hitap etti.
sponsorship	sponsorluk	Takımın sponsorluğa ihtiyacı var.
sporting	sportif	Şehir sportif etkinliklere ev sahipliği yapıyor.
stall	tezgah	Pazar tezgahı meyve satıyor.
stance	duruş	Bakan duruşunu değiştirdi.
starve	açlıktan ölmek	Yiyecek olmadan hayvanlar açlıktan ölebilir.
steadily	istikrarlı bir şekilde	Şirket istikrarlı bir şekilde büyüdü.
steam	buhar	Çorbadan buhar yükseldi.
stimulate	teşvik etmek	Parlak renkler ilgiyi teşvik edebilir.
