source_headword	SI	example_SI
musician	සංගීතඥයා	සංගීතඥයා ගිටාරය වාදනය කළේය.
myself	මමම	මමම මෙය සෑදුවෙමි.
narrow	පටු	මාර්ගය පටුය.
national	ජාතික	එය ජාතික නිවාඩු දිනයකි.
nature	සොබාදහම	මම සොබාදහමට ආදරෙයි.
nearly	පාහේ	අපි පාහේ එහි සිටිමු.
necessary	අවශ්‍ය	මෙය අවශ්‍යද?
neck	බෙල්ල	මගේ බෙල්ල රිදෙයි.
neither	කිසිවක් නොව	පිළිතුරු දෙකෙන් කිසිවක් නිවැරදි නොවේ.
nervous	කනස්සල්ලෙන්	ඇයට කනස්සල්ලක් දැනෙයි.
network	ජාලය	ජාලය ක්‍රියා නොකරයි.
noise	ශබ්දය	මට විශාල ශබ්දයක් ඇසුණි.
noisy	ශබ්දවත්	වීදිය ශබ්දවත්ය.
none	කිසිවෙක් නැත	ඔවුන්ගෙන් කිසිවෙක් පැමිණියේ නැත.
normal	සාමාන්‍ය	මෙය සාමාන්‍යය.
normally	සාමාන්‍යයෙන්	මම සාමාන්‍යයෙන් කලින් අවදි වෙමි.
notice	දැකගන්න;දැනුම්දීම	ඔබ ලකුණ දැකගත්තේද?
novel	නවකතාව	ඇය නවකතාවක් ලිව්වා.
nowhere	කොහේවත් නැත	වාඩි වීමට කොහේවත් නැත.
nut	කජු ඇටය	කජු ඇටය තදය.
ocean	සාගරය	සාගරය ගැඹුරුය.
offer	යෝජනාව;ඉදිරිපත් කරන්න	මම යෝජනාව පිළිගත්තෙමි.
officer	නිලධාරියා	නිලධාරියා මගේ ටිකට්පත පරීක්ෂා කළේය.
oil	තෙල්	පෑනට තෙල් එකතු කරන්න.
onto	මතට	එය රාක්කය මතට තබන්න.
opportunity	අවස්ථාව	මෙය හොඳ අවස්ථාවකි.
option	විකල්පය	හොඳම විකල්පය තෝරන්න.
ordinary	සාමාන්‍ය	එය සාමාන්‍ය දිනයක් විය.
organization	සංවිධානය	සංවිධානය සිසුන්ට උදව් කරයි.
organize	සංවිධානය කරන්න	කරුණාකර ලිපිගොනු සංවිධානය කරන්න.
original	මුල්	මුල් රිසිට්පත තබා ගන්න.
ourselves	අපිම	අපිම රාත්‍රී ආහාරය පිසුවෙමු.
oven	උඳුන	උඳුන උණුසුම්ය.
owner	අයිතිකරු	අයිතිකරු සාප්පුව විවෘත කළේය.
pack	ඇසුරුම් කරන්න	ඔබේ බෑගය දැන් ඇසුරුම් කරන්න.
pain	වේදනාව	මට පිටේ වේදනාවක් දැනෙයි.
painter	චිත්‍රකරු	චිත්‍රකරු බිත්තිය අවසන් කළේය.
palace	මාලිගාව	මාලිගාව පැරණිය.
pants	කලිසම්	මෙම කලිසම් ඉතා දිගය.
parking	වාහන නැවැත්වීම	මෙහි වාහන නැවැත්වීම අපහසුය.
particular	විශේෂ	මට විශේෂ පොතක් අවශ්‍යයි.
pass	දෙන්න;පසු කරන්න	මට ලුණු දෙන්න.
passenger	මගියා	සෑම මගියෙකුටම ටිකට්පතක් අවශ්‍යයි.
patient	ඉවසිලිවන්ත;රෝගියා	දරුවන් සමඟ ඉවසිලිවන්ත වන්න.
pattern	රටාව	මෙම රටාව සරලය.
peace	සාමය	අප සියල්ලන්ටම සාමය අවශ්‍යයි.
penny	කුඩා කාසිය	මට කුඩා කාසියක් හමු විය.
per	එකට;ප්‍රති	ටිකට්පත් එක් පුද්ගලයෙකුට ඩොලර් දහයක් වේ.
per cent	ප්‍රතිශතය	ප්‍රතිශත පහ කුඩාය.
perform	රඟ දක්වන්න	සංගීත කණ්ඩායම අද රඟ දක්වනු ඇත.
perhaps	සමහරවිට	සමහරවිට ඇය ගෙදර ඇත.
permission	අවසරය	පළමුව අවසරය ඉල්ලන්න.
personality	පෞරුෂය	ඔහුට මිත්‍රශීලී පෞරුෂයක් ඇත.
pet	සුරතලා	මගේ සුරතලා බළලෙකි.
petrol	පෙට්‍රල්	මෝටර් රථයට පෙට්‍රල් අවශ්‍යයි.
physical	ශාරීරික	ශාරීරික ව්‍යායාම සෞඛ්‍යයට උදව් කරයි.
physics	භෞතික විද්‍යාව	භෞතික විද්‍යාව අමාරුය.
pick	තෝරන්න	එක් කාඩ්පතක් තෝරන්න.
pilot	ගුවන් නියමුවා	ගුවන් නියමුවා පැහැදිලිව කතා කළේය.
planet	ග්‍රහලෝකය	පෘථිවිය ග්‍රහලෝකයකි.
plastic	ප්ලාස්ටික්	මෙම බෝතලය ප්ලාස්ටික්ය.
plate	පිඟාන	ආහාරය පිඟාන මත තබන්න.
platform	වේදිකාව	දෙවන වේදිකාවේ රැඳී සිටින්න.
pleased	සතුටු	ඔබ හමුවීමට මම සතුටුයි.
pocket	සාක්කුව	ටිකට්පත මගේ සාක්කුවේ ඇත.
polite	විනීත	සෑම කෙනෙකුටම විනීත වන්න.
pollution	දූෂණය	දූෂණය සාගරයට හානි කරයි.
pop	පොප්	මම පොප් සංගීතයට කැමතියි.
population	ජනගහනය	ජනගහනය වැඩි වෙමින් පවතී.
position	ස්ථානය	ඔබේ ස්ථානය වෙනස් කරන්න.
possession	අයිතිය	මෙම මුද්ද මගේ අයිතියකි.
possibility	හැකියාව	වැසි ඇති වීමේ හැකියාවක් ඇත.
poster	පෝස්ටරය	පෝස්ටරය බිත්තිය මත දමන්න.
power	බලය	පරිගණකයට බලය අවශ්‍යයි.
predict	අනාවැකි කියන්න	අපට කාලගුණය අනාවැකි කියන්න බැහැ.
president	ජනාධිපති	ජනාධිපති කතාවක් කළේය.
prevent	වළක්වන්න	රෝගය වළක්වීමට අත් සෝදන්න.
print	මුද්‍රණය කරන්න	ලේඛනය මුද්‍රණය කරන්න.
printer	මුද්‍රණ යන්ත්‍රය	මුද්‍රණ යන්ත්‍රය කැඩී ඇත.
prison	බන්ධනාගාරය	ඔහු බන්ධනාගාරයට ගියේය.
prize	ත්‍යාගය	ඇය ත්‍යාගයක් දිනා ගත්තා.
process	ක්‍රියාවලිය	ක්‍රියාවලියට කාලය ගත වේ.
produce	නිෂ්පාදනය කරන්න	ගොවිපළවල් ආහාර නිෂ්පාදනය කරයි.
professional	වෘත්තීය	ඇය වෘත්තීය නර්තන ශිල්පිනියකි.
professor	මහාචාර්යවරයා	මහාචාර්යවරයා ප්‍රශ්නවලට පිළිතුරු දුන්නේය.
profile	පැතිකඩ	ඔබේ පැතිකඩ යාවත්කාලීන කරන්න.
program	වැඩසටහන	වැඩසටහන දැන් ආරම්භ වේ.
progress	ප්‍රගතිය	අපි අද ප්‍රගතියක් ලබා ගත්තෙමු.
promise	පොරොන්දුව	ඔබේ පොරොන්දුව රකින්න.
pronounce	උච්චාරණය කරන්න	කරුණාකර මෙම වචනය උච්චාරණය කරන්න.
protect	ආරක්ෂා කරන්න	ඔබේ ඇස් ආරක්ෂා කරන්න.
provide	සපයන්න	ඔවුහු නොමිලේ ජලය සපයති.
pub	මත්පැන්හල	අපි මත්පැන්හලේදී හමු වුණෙමු.
public	මහජන	උද්‍යානය මහජනයාට විවෘතය.
publish	ප්‍රකාශයට පත් කරන්න	ඔවුහු සඟරාවක් ප්‍රකාශයට පත් කරති.
pull	අදින්න	දොර අදින්න.
purpose	අරමුණ	අරමුණ කුමක්ද?
push	තල්ලු කරන්න	බොත්තම තල්ලු කරන්න.
quality	ගුණාත්මකභාවය	ගුණාත්මකභාවය ඉහළය.
quantity	ප්‍රමාණය	ප්‍රමාණය පරීක්ෂා කරන්න.
queen	රැජින	රැජින අත වැනුවා.
quietly	නිහඬව	නිහඬව කතා කරන්න.
race (competition)	තරඟය	තරඟය ඉක්මනින් ආරම්භ වේ.
railway	දුම්රිය මාර්ගය	දුම්රිය මාර්ගය වසා ඇත.
raise	ඔසවන්න	ඔබේ අත ඔසවන්න.
rate	අනුපාතය	හෝටල් අනුපාතය ඉහළය.
rather	තරමක්	මට තරමක් වෙහෙසයි.
reach	ළඟා වන්න	ඔබට රාක්කයට ළඟා විය හැකිද?
react	ප්‍රතිචාර දක්වන්න	ඔහු කෙසේ ප්‍රතිචාර දැක්වූවාද?
realize	වටහා ගන්න	මම මගේ වැරැද්ද වටහා ගනිමි.
receive	ලැබෙන්න	ඔබට මගේ පණිවිඩය ලැබුණාද?
recent	මෑත	මෙය මෑත ඡායාරූපයකි.
recently	මෑතකදී	මම මෑතකදී මෙහි පදිංචි වුණෙමි.
reception	පිළිගැනීම	පිළිගැනීම සඳුදා පැවැත්වේ.
recipe	වට්ටෝරුව	මෙම වට්ටෝරුව පහසුය.
recognize	හඳුනා ගන්න	මට ඒ ගීතය හඳුනා ගත හැකිය.
recommend	නිර්දේශ කරන්න	මම මෙම පොත නිර්දේශ කරමි.
record	වාර්තාව	ගෙවීම්වල වාර්තාවක් තබා ගන්න.
recording	පටිගත කිරීම	පටිගත කිරීම පැහැදිලිව ඇසේ.
recycle	ප්‍රතිචක්‍රීකරණය කරන්න	කඩදාසි සහ ප්ලාස්ටික් ප්‍රතිචක්‍රීකරණය කරන්න.
reduce	අඩු කරන්න	උණුසුම අඩු කරන්න.
refer	යොමු කරන්න	දෙවන පිටුවට යොමු කරන්න.
refuse1	ප්‍රතික්ෂේප කරන්න	මම බොරු කීමට ප්‍රතික්ෂේප කරමි.
region	කලාපය	මෙම කලාපය සීතලය.
regular	නිතිපතා;ස්ථිර	ඔහු ස්ථිර පාරිභෝගිකයෙකි.
relationship	සම්බන්ධතාවය	ඔවුන්ගේ සම්බන්ධතාවය ශක්තිමත්ය.
remove	ඉවත් කරන්න	ඔබේ සපත්තු ඉවත් කරන්න.
repair	අලුත්වැඩියා කරන්න	බයිසිකලය අද අලුත්වැඩියා කරන්න.
replace	ප්‍රතිස්ථාපනය කරන්න	පැරණි බැටරිය ප්‍රතිස්ථාපනය කරන්න.
reply	පිළිතුරු දෙන්න	කරුණාකර ඉක්මනින් පිළිතුරු දෙන්න.
reporter	වාර්තාකරු	වාර්තාකරු සටහන් ගත්තේය.
request	ඉල්ලීම	මම ඉල්ලීමක් කළෙමි.
research	පර්යේෂණය	අපි දේශීය ඉතිහාසය පර්යේෂණ කරමු.
researcher	පර්යේෂකයා	පර්යේෂකයා දත්ත පරීක්ෂා කළේය.
respond	ප්‍රතිචාර දක්වන්න	කරුණාකර අද ප්‍රතිචාර දක්වන්න.
response	ප්‍රතිචාරය	ඇගේ ප්‍රතිචාරය ඉක්මන් විය.
rest (remaining part)	ඉතිරි කොටස	ඉතිරි කොටස පසුව කන්න.
rest (sleep/relax)	විවේකය	ඔබට විවේකය අවශ්‍යයි.
review	සමාලෝචනය කරන්න	අද රාත්‍රියේ ඔබේ සටහන් සමාලෝචනය කරන්න.
ring1	මුද්ද	ඇය රන් මුද්දක් පැළඳ සිටියා.
ring2	දුරකථන ඇමතුමක් දෙන්න	දිවා ආහාරයෙන් පසු මට ඇමතුමක් දෙන්න.
rise	ඉහළ යන්න	මිල සෑම වසරකම ඉහළ යයි.
rock (stone)	ගල	ගල බරය.
