source_headword	BG	example_BG
strange	странен	Този звук е странен.
strategy	стратегия	Имаме нужда от стратегия.
stress	стрес	Работата може да причинява стрес.
structure	структура	Тази структура е здрава.
stupid	глупав	Това беше глупава грешка.
succeed	успявам	Тук можеш да успееш.
successful	успешен	Тя стана успешна.
such	такъв	Такава помощ е полезна.
suddenly	внезапно	Внезапно кучето избяга.
suggest	предлагам	Предлагам кратка почивка.
suggestion	предложение	Твоето предложение е полезно.
suit	костюм	Този костюм е скъп.
support	подкрепям	Подкрепяме нашия отбор.
suppose	предполагам	Предполагам, че си прав.
surprise	изненада	Изненадата я зарадва.
surprised	изненадан	Тя беше изненадана днес.
surprising	изненадващ	Резултатът беше изненадващ.
survey	анкета	Моля, попълни анкетата.
sweet	сладък	Този чай е сладък.
symbol	символ	Този символ означава опасност.
system	система	Системата работи добре.
tablet	таблет	Моят таблет е на масата.
target	цел	Улучи целта внимателно.
task	задача	Тази задача е лесна.
taste	вкус; опитвам	Първо опитай супата.
teaching	преподаване	Преподаването е трудна работа.
technology	технология	Технологията се променя бързо.
teenage	тийнейджърски	Моят тийнейджър брат учи усърдно.
temperature	температура	Температурата е ниска.
term	срок; семестър	Този семестър скоро свършва.
themselves	самите те	Те сами сготвиха вечерята.
thick	дебел	Тази книга е дебела.
thief	крадец	Крадецът избяга.
thin	тънък	Хартията е тънка.
thinking	мислене	Мисленето изисква време.
thought	мисъл	Имах странна мисъл.
throw	хвърлям	Хвърли топката леко.
tidy	подреден	Дръж стаята си подредена.
tie	връзвам	Вържи обувките си сега.
tip	съвет; бакшиш	Остави бакшиш за услугата.
tool	инструмент	Използвай правилния инструмент.
top	връх; горна част	Горният рафт е пълен.
touch	докосвам	Не докосвай стъклото.
tour	обиколка	Отидохме на обиколка на града.
tourism	туризъм	Туризмът помага на този град.
towards	към	Върви към гарата.
towel	кърпа	Вземи чиста кърпа.
tower	кула	Кулата е много стара.
toy	играчка	Колата играчка е червена.
track	релса; следа	Релсата води на север.
tradition	традиция	Тази традиция е стара.
traditional	традиционен	Тя носеше традиционни дрехи.
trainer	треньор	Моят треньор е услужлив.
training	тренировка	Тренировката започва утре.
transport	транспорт	Общественият транспорт закъснява.
traveller	пътешественик	Пътешественикът помоли за помощ.
trouble	проблем	Вчера имахме проблем.
truck	камион	Камионът е отвън.
twin	близнак	Сестра ми близначка е по-висока.
typical	типичен	Това е типичен ден.
underground	подземен	Влакът минава под земята.
understanding	разбиране	Твоето разбиране е правилно.
unfortunately	за съжаление	За съжаление магазинът е затворен.
unhappy	нещастен	Той изглежда нещастен.
uniform	униформа	Тя носи училищна униформа.
unit	единица	Тази единица е малка.
united	обединен	Отборът остана обединен.
unusual	необичаен	Този звук е необичаен.
used to modal	преди	Преди живеехме тук.
user	потребител	Всеки потребител има номер.
usual	обичаен	Взех обичайното си място.
valley	долина	Долината е зелена.
van	ван	Ванът е пълен.
variety	разнообразие	Нуждаем се от повече разнообразие.
vehicle	превозно средство	Това превозно средство е бавно.
view	гледка	Гледката е красива.
virus	вирус	Вирусът го разболя.
voice	глас	Гласът ѝ е тих.
war	война	Войната приключи преди години.
washing	пране	Прането е навън.
wave	вълна	Вълната удари кораба.
weak	слаб	Краката ми са слаби.
web	уеб	Уеб страницата е отворена.
wedding	сватба	Сватбата започва скоро.
weight	тегло	Първо провери теглото.
wet	мокър	Обувките ми са мокри.
wheel	колело	Колелото е счупено.
while	известно време	Почакай тук известно време.
whole	цял	Изядох цялата ябълка.
whose	чий	Чий е този телефон?
wide	широк	Пътят е широк.
wild	див	Диви животни живеят тук.
wind1	вятър	Вятърът е силен.
winner	победител	Победителят се усмихна.
wish	желание	Пожелай си нещо.
wood	дърво	Столът е от дърво.
wooden	дървен	Дървената кутия е тежка.
working	работен	Работният ден приключи.
worried	притеснен	Днес съм притеснен.
worry	тревожа се	Не се тревожи сега.
worse	по-лош	Тази болка е по-лоша.
worst	най-лош	Това беше най-лошият ден.
wow	уау	Уау, това е невероятно!
yet	още; вече	Вече там ли сме?
yours	твой; ваш	Тази книга е твоя.
zero	нула	Брой обратно до нула.
