simplified	TH	example_TH	MS	example_MS	ID	example_ID
表格	แบบฟอร์ม; ตาราง	กรุณากรอกชื่อของคุณในแบบฟอร์ม	borang; jadual	Sila isi nama anda dalam borang.	formulir; tabel	Silakan isi nama Anda di formulir.
表示	แสดง; สื่อ	กรุณาแสดงความขอบคุณต่อเขา	menyatakan; menunjukkan	Sila nyatakan terima kasih kepadanya.	menyatakan; menunjukkan	Tolong sampaikan terima kasih kepadanya.
表演	แสดง; การแสดง	พวกคุณจะแสดงรายการอะไร?	berlakon; membuat persembahan	Kamu semua hendak membuat persembahan apa?	pertunjukan; tampil	Kalian akan menampilkan pertunjukan apa?
表扬	ชมเชย	เขามักได้รับคำชมจากครูใหญ่	pujian; memuji	Dia sering mendapat pujian daripada pengetua.	memuji; pujian	Dia sering mendapat pujian dari kepala sekolah.
饼干	บิสกิต; คุกกี้	ฉันซื้อคุกกี้มา กินหน่อยเถอะ	biskut; kuki	Saya beli biskut, makanlah sedikit.	biskuit; kue kering	Saya membeli biskuit, makanlah sedikit.
并且	และ; อีกทั้ง	เธอฉลาดมาก และยังขยันมากด้วย	dan; tambahan pula	Dia sangat pintar dan juga sangat rajin.	dan; selain itu	Dia sangat pintar dan juga sangat rajin.
博士	ด็อกเตอร์; ปริญญาเอก	ฉันขอแนะนำหน่อย ท่านนี้คือด็อกเตอร์หลี่	doktor; PhD	Biar saya perkenalkan, ini Dr. Li.	doktor; PhD	Izinkan saya memperkenalkan, ini Dr. Li.
不过	แต่; อย่างไรก็ตาม	เขายอดเยี่ยมมาก แต่ไม่ตรงกับเงื่อนไขการรับสมัครของบริษัท	tetapi; namun	Dia sangat cemerlang, tetapi tidak memenuhi syarat pengambilan syarikat.	tetapi; namun	Dia sangat unggul, tetapi tidak memenuhi syarat perekrutan perusahaan.
不得不	จำเป็นต้อง; ไม่มีทางเลือกนอกจาก	ข้างนอกฝนตกหนัก ฉันจำเป็นต้องอยู่บ้าน	terpaksa; tidak dapat tidak	Di luar hujan lebat, saya terpaksa tinggal di rumah.	terpaksa; mau tidak mau	Di luar hujan deras, saya terpaksa tinggal di rumah.
不管	ไม่ว่า; ไม่สนว่า	ไม่ว่าอากาศจะเป็นอย่างไร ฉันก็จะไปปีนเขา	tidak kira; walau apa pun	Tidak kira cuaca bagaimana, saya tetap mahu mendaki gunung.	tidak peduli; bagaimanapun	Tidak peduli cuacanya bagaimana, saya tetap mau mendaki gunung.
不仅	ไม่เพียงแต่	ฉันไม่เพียงเคยไปเมืองนั้น แต่ยังเคยไปหลายครั้งด้วย	bukan sahaja	Saya bukan sahaja pernah pergi ke kota itu, malah sudah pergi banyak kali.	bukan hanya	Saya bukan hanya pernah ke kota itu, tetapi juga sudah berkali-kali.
部分	ส่วน; ตอน	ส่วนที่สำคัญที่สุดของบทความคือย่อหน้าที่สาม	bahagian	Bahagian paling penting dalam artikel itu ialah perenggan ketiga.	bagian	Bagian paling penting dari artikel itu adalah paragraf ketiga.
擦	เช็ด; ถู	ฉันเช็ดหน้าต่างจนสะอาดแล้ว	mengelap; menggosok	Saya sudah mengelap tingkap sampai bersih.	mengelap; menghapus	Saya sudah membersihkan jendela sampai bersih.
猜	เดา	ลองเดาสิว่าฉันเตรียมของขวัญวันเกิดอะไรให้คุณ	meneka	Cuba teka hadiah hari jadi apa yang saya sediakan untuk kamu?	menebak	Coba tebak hadiah ulang tahun apa yang saya siapkan untukmu?
材料	วัสดุ; เอกสาร	การสมัครต้องใช้เอกสารอะไรบ้าง?	bahan; dokumen	Dokumen apa yang diperlukan untuk pendaftaran?	bahan; dokumen	Pendaftaran memerlukan dokumen apa?
参观	เยี่ยมชม; เข้าชม	ฉันอยากไปเที่ยวชมกำแพงเมืองจีนสุดสัปดาห์นี้	melawat; mengunjungi	Saya mahu melawat Tembok Besar pada hujung minggu.	mengunjungi; melihat-lihat	Saya ingin mengunjungi Tembok Besar akhir pekan ini.
餐厅	ร้านอาหาร; ห้องอาหาร	ใกล้โรงเรียนมีร้านอาหารเปิดใหม่หนึ่งร้าน	restoran; dewan makan	Sebuah restoran baharu dibuka berhampiran sekolah.	restoran; ruang makan	Di dekat sekolah baru dibuka sebuah restoran.
厕所	ห้องน้ำ	ห้องน้ำชายอยู่ชั้นหนึ่ง	tandas	Tandas lelaki berada di tingkat satu.	toilet; kamar kecil	Toilet pria ada di lantai satu.
差不多	ประมาณ; เกือบ	ฉันตื่นประมาณเจ็ดโมงทุกวัน	lebih kurang; hampir	Saya bangun lebih kurang pukul tujuh setiap hari.	kira-kira; hampir	Saya bangun kira-kira jam tujuh setiap hari.
尝	ชิม; ลองชิม	รีบมาชิมอาหารที่ฉันทำ รสชาติเป็นอย่างไรบ้าง?	merasa; mencuba	Cepat cuba rasa masakan saya, bagaimana rasanya?	mencicipi; mencoba	Cepat cicipi masakan yang saya buat, bagaimana rasanya?
长城	กำแพงเมืองจีน	ฉันอยากไปเที่ยวชมกำแพงเมืองจีนสุดสัปดาห์นี้	Tembok Besar	Saya mahu melawat Tembok Besar pada hujung minggu.	Tembok Besar	Saya ingin mengunjungi Tembok Besar akhir pekan ini.
长江	แม่น้ำแยงซี	แม่น้ำแยงซีเป็นแม่น้ำที่ใหญ่ที่สุดของจีน	Sungai Yangtze	Sungai Yangtze ialah sungai terbesar di China.	Sungai Yangtze	Sungai Yangtze adalah sungai terbesar di Tiongkok.
场	ครั้ง; รอบ; ลักษณนามเหตุการณ์	ฝนครั้งนี้ตกได้ทันเวลาพอดี	penjodoh bilangan untuk peristiwa	Hujan ini turun tepat pada masanya.	kata ukur untuk peristiwa	Hujan kali ini turun tepat waktu.
超过	เกิน; มากกว่า	ทุกวันมีเที่ยวบินมากกว่าสามร้อยเที่ยวออกจากที่นี่	melebihi; lebih daripada	Setiap hari lebih daripada tiga ratus penerbangan berlepas dari sini.	melebihi; lebih dari	Setiap hari ada lebih dari tiga ratus penerbangan berangkat dari sini.
乘坐	โดยสาร; นั่ง	ยินดีต้อนรับท่านสู่เที่ยวบินนี้	menaiki; menumpang	Selamat menaiki penerbangan ini.	naik; menumpang	Selamat datang di penerbangan ini.
成功	สำเร็จ; ความสำเร็จ	ความพยายามเป็นหลักประกันของความสำเร็จ	berjaya; kejayaan	Usaha ialah jaminan kejayaan.	berhasil; kesuksesan	Usaha adalah jaminan kesuksesan.
成为	กลายเป็น; เป็น	ฉันอยากเป็นตำรวจมาตั้งแต่เด็ก	menjadi	Sejak kecil saya mahu menjadi seorang polis.	menjadi	Sejak kecil saya ingin menjadi polisi.
诚实	ซื่อสัตย์	คนซื่อสัตย์ควรค่าแก่การเคารพของเรา	jujur	Orang yang jujur patut kita hormati.	jujur	Orang jujur pantas kita hormati.
吃惊	ตกใจ; ประหลาดใจ	เมื่อได้ยินข่าวนี้ เขาตกใจมาก	terkejut	Dia sangat terkejut mendengar berita ini.	terkejut; kaget	Mendengar kabar ini, dia sangat terkejut.
重新	อีกครั้ง; ใหม่	เขาพูดเรื่องนั้นใหม่อีกครั้ง	semula; sekali lagi	Dia menerangkan perkara itu sekali lagi.	kembali; sekali lagi	Dia mengulangi hal itu sekali lagi.
抽烟	สูบบุหรี่	ขอโทษนะ ในโรงพยาบาลสูบบุหรี่ไม่ได้	merokok	Maaf, tidak boleh merokok di hospital.	merokok	Maaf, tidak boleh merokok di rumah sakit.
出差	เดินทางไปทำงานนอกสถานที่	พ่อไปทำงานต่างเมืองมาเกินหนึ่งเดือนแล้ว	pergi bertugas; perjalanan kerja	Ayah sudah pergi bertugas lebih daripada sebulan.	perjalanan dinas	Ayah sudah pergi dinas lebih dari sebulan.
出发	ออกเดินทาง	ฉันออกเดินทางจากปักกิ่งไปเซี่ยงไฮ้	bertolak; berangkat	Saya bertolak dari Beijing ke Shanghai.	berangkat	Saya berangkat dari Beijing ke Shanghai.
出生	เกิด	ฉันเกิดในเมืองเล็ก ๆ แห่งหนึ่ง	dilahirkan; lahir	Saya dilahirkan di sebuah bandar kecil.	lahir	Saya lahir di sebuah kota kecil.
出现	ปรากฏ; เกิดขึ้น	ในการทำงานของพวกเราเกิดปัญหาไม่น้อย	muncul; berlaku	Banyak masalah muncul dalam kerja kami.	muncul; terjadi	Banyak masalah muncul dalam pekerjaan kami.
厨房	ห้องครัว	มีดปอกผลไม้อยู่ในห้องครัว	dapur	Pisau buah ada di dapur.	dapur	Pisau buah ada di dapur.
传真	แฟกซ์	กรุณาช่วยส่งแฟกซ์ให้ฉันหนึ่งฉบับ	faks	Tolong hantarkan satu faks untuk saya.	faks	Tolong kirimkan satu faks untuk saya.
窗户	หน้าต่าง	ฉันเช็ดหน้าต่างจนสะอาดแล้ว	tingkap	Saya sudah mengelap tingkap sampai bersih.	jendela	Saya sudah membersihkan jendela sampai bersih.
词语	คำ; สำนวน	กรุณาใช้คำเหล่านี้แต่งประโยคสักสองสามประโยค	kata; ungkapan	Sila gunakan kata-kata ini untuk membina beberapa ayat.	kata; ungkapan	Silakan gunakan kata-kata ini untuk membuat beberapa kalimat.
从来	เคย; เสมอมา	ฉันไม่เคยพบเขามาก่อน	pernah; selama ini	Saya tidak pernah bertemu dengannya.	pernah; selama ini	Saya belum pernah bertemu dengannya.
粗心	สะเพร่า; ไม่รอบคอบ	คุณสะเพร่าจริง ๆ	cuai; lalai	Kamu memang terlalu cuai.	ceroboh; kurang teliti	Kamu benar-benar terlalu ceroboh.
存	ฝาก; เก็บ; มีอยู่	ฉันฝากเงินเข้าธนาคาร	menyimpan; mendepositkan	Saya menyimpan wang di bank.	menyimpan; menyetor	Saya menyetorkan uang ke bank.
错误	ความผิดพลาด; ผิด	ขอบคุณที่ชี้ความผิดพลาดของฉัน	kesilapan; salah	Terima kasih kerana menunjukkan kesilapan saya.	kesalahan; keliru	Terima kasih sudah menunjukkan kesalahan saya.
答案	คำตอบ	คำตอบของคุณถูกต้องมาก	jawapan	Jawapan kamu betul.	jawaban	Jawabanmu benar.
打扮	แต่งตัว; แต่งหน้า	เธอแต่งตัวง่าย ๆ แล้วก็ออกจากบ้าน	berdandan; berpakaian	Dia berdandan ringkas lalu keluar.	berdandan; berpakaian	Dia berdandan sederhana lalu keluar.
打扰	รบกวน	ขอโทษนะ ขอรบกวนคุณสักครู่	mengganggu	Maaf, saya mengganggu kamu sebentar.	mengganggu	Maaf, saya mengganggumu sebentar.
打印	พิมพ์	เอกสารเหล่านี้พิมพ์เสร็จแล้ว	mencetak	Bahan-bahan ini sudah dicetak.	mencetak	Dokumen-dokumen ini sudah dicetak.
打招呼	ทักทาย	เขายิ้มแล้วทักทายฉัน	menyapa; memberi salam	Dia tersenyum sambil menyapa saya.	menyapa	Dia menyapaku sambil tersenyum.
打折	ลดราคา	ก่อนเทศกาลตรุษจีน ห้างสรรพสินค้าต่างก็ลดราคา	memberi diskaun; jualan murah	Sebelum Tahun Baharu Cina, pusat beli-belah semuanya mengadakan jualan murah.	memberi diskon; obral	Sebelum Tahun Baru Imlek, pusat perbelanjaan semuanya mengadakan diskon.
打针	ฉีดยา; ได้รับการฉีดยา	ลูกชายกลัวการฉีดยามาก	mendapat suntikan; menyuntik	Anak lelaki itu sangat takut mendapat suntikan.	disuntik; memberi suntikan	Anak laki-laki itu sangat takut disuntik.
大概	น่าจะ; ประมาณ	เขาน่าจะไม่มาแล้ว	barangkali; lebih kurang	Dia barangkali tidak akan datang.	mungkin; kira-kira	Dia mungkin tidak akan datang.
大使馆	สถานทูต	พรุ่งนี้ฉันจะไปสถานทูตเพื่อทำวีซ่า	kedutaan	Saya akan pergi ke kedutaan esok untuk memohon visa.	kedutaan	Besok saya akan pergi ke kedutaan untuk mengurus visa.
大约	ประมาณ	เขาน่าจะอายุสามสิบกว่า ๆ	kira-kira; lebih kurang	Dia kira-kira berumur lebih tiga puluh tahun.	kira-kira; sekitar	Dia kira-kira berusia tiga puluhan.
大夫	หมอ; แพทย์	หมอหลี่ พรุ่งนี้เช้าคุณอยู่ที่โรงพยาบาลไหม?	doktor	Doktor Li, adakah doktor di hospital esok pagi?	dokter	Dokter Li, apakah Anda ada di rumah sakit besok pagi?
戴	สวม; ใส่	เขาสวมแว่นตาสีดำหนึ่งคู่	memakai	Dia memakai sepasang cermin mata hitam.	memakai	Dia memakai sepasang kacamata hitam.
当	เป็น; ทำหน้าที่เป็น	ฉันอยากเป็นหมอ	menjadi; bertugas sebagai	Saya mahu menjadi doktor.	menjadi; bertugas sebagai	Saya ingin menjadi dokter.
当时	ตอนนั้น; ในเวลานั้น	ฉันจำสถานการณ์ตอนนั้นได้ไม่ชัดเจน	pada masa itu; ketika itu	Saya tidak ingat dengan jelas keadaan pada masa itu.	pada waktu itu; saat itu	Saya tidak ingat jelas situasi saat itu.
刀	มีด	มีดปอกผลไม้อยู่ในห้องครัว	pisau	Pisau buah ada di dapur.	pisau	Pisau buah ada di dapur.
导游	ไกด์; มัคคุเทศก์	พี่สาวของฉันเป็นไกด์คนหนึ่ง	pemandu pelancong	Kakak perempuan saya seorang pemandu pelancong.	pemandu wisata	Kakak perempuan saya adalah pemandu wisata.
倒	ล้ม; ทำให้ล้ม	ลมแรงพัดต้นไม้ล้ม	jatuh; menumbangkan	Angin kencang menumbangkan pokok itu.	jatuh; menumbangkan	Angin kencang menumbangkan pohon itu.
到处	ทุกที่; ทั่วไป	ในสวนสาธารณะมีดอกไม้สดอยู่ทุกที่	di merata-rata tempat; di mana-mana	Di taman, bunga segar ada di merata-rata tempat.	di mana-mana	Di taman ada bunga-bunga di mana-mana.
到底	กันแน่; ที่สุดแล้ว	ประโยคนี้หมายความว่าอะไรกันแน่?	sebenarnya; akhirnya	Apakah sebenarnya maksud ayat ini?	sebenarnya; pada akhirnya	Apa sebenarnya arti kalimat ini?
道歉	ขอโทษ	ฉันขอโทษเขาไปแล้ว	meminta maaf	Saya sudah meminta maaf kepadanya.	meminta maaf	Saya sudah meminta maaf kepadanya.
得	ต้อง; จำเป็นต้อง	พรุ่งนี้มีสอบ ฉันต้องนอนให้เร็วหน่อย	mesti; perlu	Esok ada peperiksaan, saya perlu tidur lebih awal.	harus; perlu	Besok ada ujian, saya harus tidur lebih awal.
得意	ภูมิใจในตัวเอง; ได้ใจ	งานประสบความสำเร็จ ทุกคนจึงภูมิใจกันมาก	bangga; berpuas hati	Kerja itu berjaya, semua orang sangat bangga.	bangga; puas diri	Pekerjaan itu berhasil, semua orang sangat bangga.
登机牌	บัตรขึ้นเครื่อง	กรุณาถือบัตรขึ้นเครื่องให้ดีและเตรียมขึ้นเครื่อง	pas masuk pesawat	Sila pegang pas masuk pesawat anda dan bersedia untuk menaiki pesawat.	kartu boarding; boarding pass	Silakan pegang kartu boarding Anda dan bersiap naik pesawat.
等	เป็นต้น; ฯลฯ	บนโต๊ะมีผลไม้ เช่น แอปเปิลและกล้วย	dan sebagainya; seperti	Di atas meja ada buah-buahan seperti epal, pisang dan sebagainya.	dan sebagainya; seperti	Di atas meja ada buah-buahan seperti apel, pisang, dan sebagainya.
低	ต่ำ	สูงขึ้นอีกหน่อย ตอนนี้ต่ำเกินไป	rendah	Lebih tinggi sedikit lagi, sekarang terlalu rendah.	rendah	Lebih tinggi sedikit, sekarang terlalu rendah.
底	ก้น; ด้านล่าง; ฐาน	ก้นแก้วสะอาดมาก	bawah; dasar	Bahagian bawah cawan itu sangat bersih.	bagian bawah; dasar	Bagian bawah cangkir itu sangat bersih.
地点	สถานที่; จุด	สถานที่ประชุมอยู่ที่ห้องประชุมชั้นสาม	tempat; lokasi	Tempat mesyuarat berada di bilik mesyuarat tingkat tiga.	tempat; lokasi	Tempat rapat ada di ruang rapat lantai tiga.
地球	โลก; ดาวเคราะห์	พื้นที่ส่วนใหญ่ของผิวโลกเป็นมหาสมุทร	Bumi; planet	Sebahagian besar permukaan Bumi ialah lautan.	Bumi; planet	Sebagian besar permukaan Bumi adalah lautan.
地址	ที่อยู่	กรุณาเขียนที่อยู่ของคุณลงมา	alamat	Sila tulis alamat anda.	alamat	Silakan tuliskan alamat Anda.
掉	ตก; หล่น; ทำหล่น	กุญแจตกอยู่บนพื้น	jatuh; menjatuhkan	Kunci itu jatuh ke lantai.	jatuh; menjatuhkan	Kunci itu jatuh ke lantai.
调查	สอบสวน; สำรวจ	ตำรวจกำลังทำการสอบสวน	menyiasat; siasatan	Polis sedang menjalankan siasatan.	menyelidiki; penyelidikan	Polisi sedang melakukan penyelidikan.
丢	หาย; ทำหาย	กระเป๋านักเรียนของคุณหายหรือ?	hilang; kehilangan	Adakah beg sekolah kamu hilang?	hilang; kehilangan	Tas sekolahmu hilang?
动作	ท่าทาง; การเคลื่อนไหว	ฉันสอนคุณเต้นนะ ท่าง่ายมาก	pergerakan; aksi	Biar saya ajar kamu menari, gerakannya sangat mudah.	gerakan; tindakan	Saya ajari kamu menari, gerakannya sangat mudah.
堵车	รถติด	ฉันอยู่บนถนน รถติดอีกแล้ว	kesesakan lalu lintas	Saya di jalan raya, berlaku kesesakan lagi.	macet; kemacetan	Saya di jalan, macet lagi.
肚子	ท้อง	ฉันปวดท้อง	perut	Saya sakit perut.	perut	Saya sakit perut.
短信	ข้อความสั้น; เอสเอ็มเอส	ถ้ามีธุระ กรุณาส่งข้อความหรือโทรหาฉัน	mesej teks; SMS	Jika ada urusan, sila hantar mesej atau telefon saya.	pesan singkat; SMS	Kalau ada urusan, silakan kirim pesan atau telepon saya.
对话	บทสนทนา	บทสนทนานี้ค่อนข้างง่าย ฉันฟังเข้าใจ	dialog	Dialog ini agak mudah, saya boleh faham.	dialog	Dialog ini cukup sederhana, saya bisa mengerti.
对面	ฝั่งตรงข้าม; ตรงข้าม	ฉันอาศัยอยู่ตรงข้ามโรงเรียนพอดี	bertentangan; seberang	Saya tinggal betul-betul di seberang sekolah.	di seberang; berhadapan	Saya tinggal tepat di seberang sekolah.
对于	เกี่ยวกับ; สำหรับ	เกี่ยวกับปัญหานี้ ฉันมีความเห็นต่าง	mengenai; terhadap	Mengenai masalah ini, saya ada pandangan yang berbeza.	mengenai; terhadap	Terhadap masalah ini, saya punya pandangan berbeda.
儿童	เด็ก	เด็กที่สูงต่ำกว่าหนึ่งเมตรยี่สิบสามารถซื้อตั๋วเด็กได้	kanak-kanak	Kanak-kanak yang tingginya di bawah satu meter dua boleh membeli tiket kanak-kanak.	anak-anak	Anak dengan tinggi di bawah satu meter dua bisa membeli tiket anak-anak.
而	และ; อีกทั้ง	เสื้อผ้าชิ้นนี้ถูกและสวย	dan; serta	Baju ini murah dan cantik.	dan; serta	Pakaian ini murah dan bagus.
发生	เกิดขึ้น	สถานการณ์เกิดการเปลี่ยนแปลงอย่างมาก	berlaku; terjadi	Keadaan telah mengalami perubahan besar.	terjadi; berlangsung	Situasinya mengalami perubahan besar.
发展	พัฒนา; การพัฒนา	หลายปีมานี้เศรษฐกิจพัฒนาเร็วมาก	berkembang; pembangunan	Ekonomi berkembang dengan cepat dalam beberapa tahun ini.	berkembang; perkembangan	Ekonomi berkembang sangat cepat dalam beberapa tahun terakhir.
法律	กฎหมาย	ฉันเรียนสาขากฎหมายที่มหาวิทยาลัย	undang-undang	Saya belajar jurusan undang-undang di universiti.	hukum; undang-undang	Saya belajar jurusan hukum di universitas.
翻译	แปล; ล่าม; นักแปล	กรุณาแปลบทความนี้เป็นภาษาจีน	menterjemah; penterjemah	Sila terjemahkan artikel ini ke dalam bahasa Cina.	menerjemahkan; penerjemah	Tolong terjemahkan artikel ini ke dalam bahasa Mandarin.
烦恼	กลุ้มใจ; ความกังวล	อย่ากลุ้มใจกับเรื่องนี้อีกเลย	risau; masalah	Jangan risau lagi tentang perkara ini.	khawatir; kegelisahan	Jangan khawatir lagi tentang hal ini.
反对	คัดค้าน; ต่อต้าน	ทุกคนคัดค้านแผนนี้	menentang; membantah	Semua orang menentang rancangan ini.	menentang; keberatan	Semua orang menentang rencana ini.
方法	วิธี; วิธีการ	พวกเราต้องหาวิธีแก้ปัญหาได้แน่นอน	cara; kaedah	Kita pasti dapat mencari cara untuk menyelesaikan masalah ini.	cara; metode	Kita pasti bisa menemukan cara untuk menyelesaikan masalah ini.
方面	ด้าน; แง่มุม	พ่อชอบอ่านหนังสือด้านประวัติศาสตร์	aspek; bidang	Ayah suka membaca buku dalam bidang sejarah.	aspek; bidang	Ayah suka membaca buku tentang sejarah.
方向	ทิศทาง	ใช่ทิศทางนี้ไหม? ฉันคิดว่าเราหลงทางแล้ว	arah	Adakah ini arahnya? Saya rasa kita sudah sesat.	arah	Apakah arahnya ini? Saya rasa kita tersesat.
房东	เจ้าของบ้าน; ผู้ให้เช่า	เจ้าของบ้านของฉันเป็นมิตรมากและช่วยฉันบ่อย ๆ	tuan rumah; pemilik rumah	Tuan rumah saya sangat mesra dan sering membantu saya.	tuan tanah; pemilik rumah	Pemilik rumah saya sangat ramah dan sering membantu saya.
放弃	ยอมแพ้; ละทิ้ง	ฉันสละโอกาสไปเรียนต่างประเทศ	menyerah; melepaskan	Saya melepaskan peluang untuk belajar di luar negara.	menyerah; melepaskan	Saya melepaskan kesempatan untuk belajar di luar negeri.
放暑假	ปิดเทอมฤดูร้อน	พรุ่งนี้ก็จะเริ่มปิดเทอมฤดูร้อนแล้ว	bercuti musim panas	Cuti musim panas akan bermula esok.	libur musim panas	Libur musim panas akan dimulai besok.
放松	ผ่อนคลาย	สอบเสร็จแล้ว พวกเราต้องผ่อนคลายสักหน่อย	berehat; bersantai	Peperiksaan sudah tamat, kami perlu berehat sebentar.	bersantai; rileks	Ujian sudah selesai, kita perlu bersantai sebentar.
份	ฉบับ; ส่วน; ลักษณนาม	กรุณาช่วยส่งแฟกซ์ให้ฉันหนึ่งฉบับ	penjodoh bilangan; bahagian	Tolong hantarkan satu faks untuk saya.	lembar; porsi; kata ukur	Tolong kirimkan satu faks untuk saya.
丰富	อุดมสมบูรณ์; ทำให้สมบูรณ์ยิ่งขึ้น	การอ่านหนังสือทำให้ชีวิตของเราสมบูรณ์ยิ่งขึ้น	kaya; memperkaya	Membaca dapat memperkaya hidup kita.	kaya; memperkaya	Membaca bisa memperkaya hidup kita.
否则	มิฉะนั้น; ไม่อย่างนั้น	พวกเราออกเดินทางตอนนี้เถอะ ไม่อย่างนั้นจะสาย	jika tidak; kalau tidak	Mari kita bertolak sekarang, jika tidak kita akan lewat.	jika tidak; kalau tidak	Ayo berangkat sekarang, kalau tidak kita akan terlambat.
符合	สอดคล้องกับ; ตรงกับ	เธอตรงกับเงื่อนไขการรับสมัครของเรามาก	memenuhi; sesuai dengan	Dia sangat memenuhi syarat pengambilan kami.	memenuhi; sesuai dengan	Dia sangat memenuhi kriteria perekrutan kami.
付款	ชำระเงิน; การชำระเงิน	การซื้อของสามารถชำระเงินออนไลน์ได้	membayar; pembayaran	Belanja boleh dibayar secara dalam talian.	membayar; pembayaran	Belanja dapat dibayar secara online.
复印	ถ่ายเอกสาร; ทำสำเนา	เอกสารฉบับนี้ กรุณาถ่ายสำเนาเพิ่มอีกสองฉบับ	memfotostat; membuat salinan	Bahan ini, sila fotostat dua salinan lagi.	memfotokopi; menggandakan	Dokumen ini, tolong fotokopi dua salinan lagi.
