source_headword	LO	example_LO
trophy	ຂັນລາງວັນ	ຫົວໜ້າທີມໄດ້ຍົກຂັນລາງວັນຂຶ້ນດ້ວຍຄວາມພາກພູມໃຈ.
troubled	ທີ່ມີບັນຫາ	ບໍລິສັດທີ່ມີບັນຫາຕ້ອງການຜູ້ບໍລິຫານໃໝ່.
trustee	ຜູ້ດູແລຊັບສິນ	ຜູ້ດູແລຊັບສິນຄຸ້ມຄອງກອງທຶນທຶນການສຶກສາ.
tuition	ຄ່າຮຽນ	ຄ່າຮຽນຂອງນາງເພີ່ມຂຶ້ນໃນປີນີ້.
turnout	ຈຳນວນຜູ້ເຂົ້າຮ່ວມ	ຈຳນວນຜູ້ເຂົ້າຮ່ວມປ່ອນບັດມີຫຼາຍກວ່າທີ່ຄາດໄວ້.
turnover	ການປ່ຽນແປງພະນັກງານ	ການປ່ຽນແປງພະນັກງານຫຼຸດລົງຫຼັງຈາກມີການປ່ຽນແປງ.
twist	ບິດ	ນາງໄດ້ບິດຝາໃຫ້ເປີດ.
undergraduate	ນັກສຶກສາປະລິນຍາຕີ	ນັກສຶກສາປະລິນຍາຕີໄດ້ເຂົ້າຮ່ວມໂຄງການຄົ້ນຄວ້າ.
underlying	ທີ່ເປັນພື້ນຖານ	ບົດລາຍງານໄດ້ອະທິບາຍເຖິງສາເຫດທີ່ເປັນພື້ນຖານ.
undermine	ທຳລາຍ	ເລື່ອງອື້ສາວໄດ້ທຳລາຍຄວາມໄວ້ວາງໃຈຂອງປະຊາຊົນ.
undoubtedly	ຢ່າງບໍ່ຕ້ອງສົງໄສ	ນາງແມ່ນຜູ້ສະໝັກທີ່ດີທີ່ສຸດຢ່າງບໍ່ຕ້ອງສົງໄສ.
unify	ທ້ອນໂຮມ	ແຜນການມີຈຸດປະສົງເພື່ອທ້ອນໂຮມທີມງານເຂົ້າກັນ.
unprecedented	ທີ່ບໍ່ເຄີຍມີມາກ່ອນ	ພາຍຸໄດ້ສ້າງຄວາມເສຍຫາຍທີ່ບໍ່ເຄີຍມີມາກ່ອນ.
unveil	ເປີດເຜີຍ	ບໍລິສັດຈະເປີດເຜີຍການອອກແບບໃນມື້ອື່ນ.
upcoming	ທີ່ຈະມາເຖິງ	ການເລືອກຕັ້ງທີ່ຈະມາເຖິງໄດ້ດຶງດູດຄວາມສົນໃຈຂອງປະຊາຊົນ.
upgrade	ຍົກລະດັບ	ພວກເຮົາໄດ້ຍົກລະດັບຊອບແວໃນຄືນທີ່ຜ່ານມາ.
uphold	ຮັກສາໄວ້	ພວກເຮົາຮັກສາການຕັດສິນໃຈເດີມໄວ້.
utility	ຄ່າໄຟຟ້າແລະນ້ຳປະປາ	ຫ້ອງແຖວລວມຄ່າໄຟຟ້າແລະນ້ຳປະປາທັງໝົດແລ້ວ.
utilize	ນຳໃຊ້	ທີມງານໄດ້ນຳໃຊ້ຂໍ້ມູນທີ່ມີຢູ່.
utterly	ຢ່າງສິ້ນເຊີງ	ຄຳອະທິບາຍແມ່ນສັບສົນຢ່າງສິ້ນເຊີງ.
vacuum	ຄວາມວ່າງເປົ່າ	ຄວາມວ່າງເປົ່າໃນການເປັນຜູ້ນຳເຮັດໃຫ້ເກີດຄວາມເຄັ່ງຕຶງ.
vague	ບໍ່ຊັດເຈນ	ຄຳຕອບຂອງລາວແມ່ນບໍ່ຊັດເຈນ ແລະ ອ່ອນແອ.
validity	ຄວາມຖືກຕ້ອງ	ການສຶກສາໄດ້ຕັ້ງຄຳຖາມກ່ຽວກັບຄວາມຖືກຕ້ອງຂອງການທົດສອບ.
vanish	ຫາຍໄປ	ໄຟລ໌ໄດ້ຫາຍໄປຈາກໂຟນເດີ.
variable	ຕົວແປ	ລາຄາແມ່ນຕົວແປທີ່ສຳຄັນອັນໜຶ່ງ.
varied	ຫຼາກຫຼາຍ	ຫຼັກສູດມີວຽກບ້ານທີ່ຫຼາກຫຼາຍ.
vein	ເສັ້ນເລືອດດຳ	ພະຍາບານພົບເສັ້ນເລືອດດຳຢ່າງໄວວາ.
venture	ທຸລະກິດ	ທຸລະກິດໃໝ່ໄດ້ດຶງດູດນັກລົງທຶນ.
verbal	ທາງວາຈາ	ພວກເຂົາບັນລຸຂໍ້ຕົກລົງທາງວາຈາ.
verdict	ຄຳຕັດສິນ	ຄະນະລູກຂຸນໄດ້ອອກຄຳຕັດສິນ.
verify	ກວດສອບ	ກະລຸນາກວດສອບທີ່ຢູ່ອີເມວຂອງທ່ານ.
verse	ບົດກະວີ	ນາງໄດ້ຍົກເອົາບົດກະວີມາກ່າວ.
versus	ຕໍ່ກັບ	ການໂຕ້ວາທີແມ່ນກ່ຽວກັບຄວາມເປັນສ່ວນຕົວຕໍ່ກັບຄວາມປອດໄພ.
vessel	ເຮືອ	ເຮືອໄດ້ບັນທຸກເມັດພືດຂ້າມທະເລ.
veteran	ຜູ້ມີປະສົບການ	ຜູ້ມີປະສົບການໄດ້ຝຶກອົບຮົມພະນັກງານໃໝ່.
viable	ທີ່ເປັນໄປໄດ້	ຂໍ້ສະເໜີນີ້ແມ່ນເປັນໄປໄດ້ທາງດ້ານການເງິນ.
vibrant	ມີຊີວິດຊີວາ	ເມືອງມີວົງການສິລະປະທີ່ມີຊີວິດຊີວາ.
vice	ຄວາມຊົ່ວຮ້າຍ	ຄວາມໂລບແມ່ນຄວາມຊົ່ວຮ້າຍທີ່ຍິ່ງໃຫຍ່ທີ່ສຸດຂອງລາວ.
vicious	ໂຫດຮ້າຍ	ການໂຈມຕີທີ່ໂຫດຮ້າຍເຮັດໃຫ້ຄົນໃນເມືອງຕົກໃຈ.
villager	ຊາວບ້ານ	ຊາວບ້ານຄົນໜຶ່ງໄດ້ນຳທາງພວກເຮົາໄປທີ່ແມ່ນ້ຳ.
violate	ລະເມີດ	ບໍລິສັດອາດຈະລະເມີດກົດລະບຽບຄວາມປອດໄພ.
violation	ການລະເມີດ	ຜູ້ກວດກາໄດ້ລາຍງານການລະເມີດທີ່ຮ້າຍແຮງ.
virtue	ຄຸນນະທຳ	ຄວາມອົດທົນແມ່ນຄຸນນະທຳທີ່ສຳຄັນ.
vocal	ທີ່ກ້າສະແດງຄວາມຄິດເຫັນ	ນາງກ້າສະແດງຄວາມຄິດເຫັນກ່ຽວກັບການຕັດສິນໃຈ.
vow	ສາບານ	ລາວໄດ້ສາບານວ່າຈະເຮັດວຽກໃຫ້ສຳເລັດ.
vulnerability	ຄວາມອ່ອນແອ	ການກວດສອບໄດ້ເປີດເຜີຍຄວາມອ່ອນແອດ້ານຄວາມປອດໄພ.
vulnerable	ອ່ອນແອ	ເດັກນ້ອຍອ່ອນແອໃນຊ່ວງທີ່ອາກາດຮ້ອນຈັດ.
ward	ຫ້ອງຄົນເຈັບ	ຄົນເຈັບໄດ້ຍ້າຍໄປອີກຫ້ອງໜຶ່ງ.
warehouse	ສາງ	ສາງເກັບຮັກສາອາໄຫຼ່.
warfare	ການສູ້ຮົບ	ການສູ້ຮົບສະໄໝໃໝ່ແມ່ນອາໄສເຕັກໂນໂລຊີ.
warrant	ໝາຍຈັບ	ຕຳຫຼວດໄດ້ສະແດງໝາຍຄົ້ນ.
warrior	ນັກຮົບ	ນັກຮົບໄດ້ປົກປ້ອງໝູ່ບ້ານ.
weaken	ເຮັດໃຫ້ອ່ອນແອ	ການບາດເຈັບເຮັດໃຫ້ການຈັບຂອງລາວອ່ອນແອລົງ.
weave	ຕ່ຳແຜ່ນ	ນາງໄດ້ຮຽນຮູ້ການສານກະຕ່າ.
weed	ຫຍ້າ	ຫຍ້າເກີດຂຶ້ນລະຫວ່າງກ້ອນຫີນ.
well	ນ້ຳສ້າງ	ນ້ຳສ້າງໃນໝູ່ບ້ານແຫ້ງຂອດ.
well-being	ສະຫວັດດີການ	ການນອນຫຼັບແມ່ນສຳຄັນຕໍ່ສຸຂະພາບ.
whatsoever	ໃດໆເລີຍ	ລາວບໍ່ໄດ້ສະແດງຄວາມສົນໃຈໃດໆເລີຍ.
whereby	ໂດຍທີ່	ກົດໝາຍໄດ້ສ້າງລະບົບໂດຍທີ່ຄອບຄົວສາມາດອຸທອນໄດ້.
whilst	ໃນຂະນະທີ່	ນາງໄດ້ເຮັດວຽກໃນຂະນະທີ່ລາວພັກຜ່ອນ.
whip	ຕີ	ລົມສາມາດພັດທຸງໃຫ້ປິວໄດ້.
wholly	ທັງໝົດ	ການຕັດສິນໃຈນີ້ແມ່ນບໍ່ໄດ້ຄາດຄິດເລີຍທັງໝົດ.
widen	ຂະຫຍາຍ	ເມືອງມີແຜນທີ່ຈະຂະຫຍາຍຖະໜົນ.
widow	ແມ່ໝ້າຍ	ແມ່ໝ້າຍອາໄສຢູ່ໃກ້ໂຮງຮຽນ.
width	ຄວາມກວ້າງ	ວັດແທກຄວາມກວ້າງຂອງປະຕູ.
willingness	ຄວາມເຕັມໃຈ	ຄວາມເຕັມໃຈຂອງນາງທີ່ຈະຊ່ວຍເຫຼືອເຮັດໃຫ້ທຸກຄົນປະທັບໃຈ.
wipe	ເຊັດ	ເຊັດໜ້າຈໍດ້ວຍຜ້າ.
wit	ໄຫວພິບ	ໄຫວພິບຂອງລາວເຮັດໃຫ້ການກ່າວຄຳປາໄສມີຊີວິດຊີວາ.
withdrawal	ການຖອນ	ການຖອນເງິນທຶນເຮັດໃຫ້ໂຄງການລ່າຊ້າ.
workout	ການອອກກຳລັງກາຍ	ການອອກກຳລັງກາຍໃຊ້ເວລາສີ່ສິບນາທີ.
worship	ການບູຊາ	ຜູ້ຄົນໄດ້ເຕົ້າໂຮມກັນເພື່ອບູຊາໃນຕອນເຊົ້າ.
worthwhile	ຄຸ້ມຄ່າ	ການເດີນທາງຄັ້ງນີ້ຖືວ່າຄຸ້ມຄ່າ.
worthy	ສົມຄວນ	ອົງການການກຸສົນສົມຄວນໄດ້ຮັບການສະໜັບສະໜູນ.
yell	ຮ້ອງ	ຢ່າຮ້ອງໃສ່ພະນັກງານ.
yield	ຜົນຜະລິດ	ຜົນຜະລິດຂອງຟາມດີຂຶ້ນໃນລະດູການນີ້.
youngster	ເດັກນ້ອຍ	ເດັກນ້ອຍໄດ້ຖາມຄຳຖາມຫຼາຍຢ່າງ.
