source_headword	KK	example_KK
tonight	бүгін кешке	Біз бүгін кешке оқимыз.
too	да; тым	Мен де шай қалаймын.
tooth	тіс	Тісім ауырып тұр.
topic	тақырып	Бір тақырып таңдаңыз.
tourist	турист; саяхатшы	Турист суретке түсіреді.
town	қалашық; қала	Бұл қалашық тыныш.
traffic	жол қозғалысы; кептеліс	Жол қозғалысы баяу.
train	пойыз	Пойыз кешікті.
travel	саяхаттау; саяхат	Біз пойызбен саяхаттаймыз.
tree	ағаш	Ағаш биік.
trip	сапар; саяхат	Сапар ертең басталады.
trousers	шалбар	Менің шалбарым қара.
true	шын; дұрыс	Бұл оқиға шын.
try	тырысу; дәмін көру	Бұл шайдың дәмін көріңіз.
T-shirt	футболка	Мен футболка киемін.
Tuesday	сейсенбі	Біз сейсенбі күні кездесеміз.
turn	бұрылу; кезек	Осы жерде солға бұрылыңыз.
TV	теледидар	Теледидардың дауысы қатты.
twelve	он екі	Менде он екі қалам бар.
twenty	жиырма	Мұнда жиырма студент бар.
twice	екі рет	Мен аптасына екі рет жүземін.
two	екі	Екі адам күтіп тұр.
type	түр; теру	Сізге қандай музыка түрі керек?
umbrella	қолшатыр	Қолшатыр алыңыз.
uncle	аға; көке; нағашы	Менің ағам мейірімді.
under	астында	Сөмке үстелдің астында.
understand	түсіну	Мен сұрақты түсінемін.
university	университет	Университет жақын.
until	дейін	Сағат беске дейін күтіңіз.
up	жоғары; тұру	Қазір орныңыздан тұрыңыз.
upstairs	жоғарғы қабатта	Менің бөлмем жоғарғы қабатта.
us	бізді; бізге	Өтінемін, бізге көмектесіңіз.
use	қолдану; пайдалану	Бұл қаламды қолданыңыз.
useful	пайдалы	Бұл карта пайдалы.
usually	әдетте	Мен әдетте үйге жаяу барамын.
vacation	демалыс	Біздің демалыс ертең басталады.
vegetable	көкөніс	Сәбіз көкөніс.
very	өте	Бөлме өте тыныш.
video	бейне	Бұл бейнені көріңіз.
village	ауыл	Ауыл кішкентай.
visit	бару; қонаққа бару	Біз тәтемізге барамыз.
visitor	қонақ; келуші	Қонақ сыртта күтіп тұр.
wait	күту	Өтінемін, осында күтіңіз.
waiter	даяшы	Даяшы шай әкеледі.
wake	ояну; ояту	Мен таңертең ерте оянамын.
walk	жүру	Біз мектепке жаяу барамыз.
wall	қабырға	Қабырға ақ.
want	қалау; керек	Маған су керек.
warm	жылы	Бөлме жылы.
wash	жуу	Қолыңызды жуыңыз.
watch	көру; сағат	Мен теледидар көремін.
water	су; суару	Аздап су ішіңіз.
way	жол; әдіс	Бұл жол қысқа.
we	біз	Біз ағылшын тілін үйренеміз.
wear	кию	Мен күртеше киемін.
weather	ауа райы	Ауа райы суық.
website	веб-сайт	Бұл веб-сайт пайдалы.
Wednesday	сәрсенбі	Сабақ сәрсенбі күні басталады.
week	апта	Бұл апта қарбалас.
weekend	демалыс күндері	Демалыс күндері ертең басталады.
welcome	қош келдіңіз; қарсы алу	Біздің сыныпқа қош келдіңіз.
well	жақсы	Ол жақсы ән айтады.
west	батыс	Күн батыста батады.
what	не	Бұл не?
when	қашан	Сіз қашан оқисыз?
where	қайда	Бекет қайда?
which	қайсы; қандай	Қай сөмке сіздікі?
white	ақ	Қабырға ақ.
who	кім	Бұл кім?
why	неге	Неге кешіктіңіз?
wife	әйел; жұбай	Оның әйелі мұғалім.
will modal	келер шақ көмекші сөзі	Мен сізге көмектесемін.
win	жеңу	Біздің команда жеңуі мүмкін.
window	терезе	Терезені ашыңыз.
wine	шарап; жүзім шарабы	Бұл шарап қызыл.
winter	қыс	Мұнда қыс суық.
with	бірге; мен	Менімен бірге келіңіз.
without	сыз; жоқ	Қантсыз шай жақсы.
woman	әйел	Әйел кітап оқиды.
wonderful	тамаша; ғажайып	Көрініс тамаша.
word	сөз	Бір сөз жазыңыз.
work	жұмыс істеу; жұмыс	Мен үйде жұмыс істеймін.
worker	жұмысшы; қызметкер	Қызметкер бос емес.
world	әлем; дүние	Әлем үлкен.
would modal	қалар едім; болар еді	Мен шай ішкім келеді.
write	жазу	Атыңызды жазыңыз.
writer	жазушы	Жазушы осында тұрады.
writing	жазу; қолжазба	Оның қолжазбасы анық.
wrong	қате	Бұл жауап қате.
yeah	иә	Иә, мен келе аламын.
year	жыл	Бұл жыл жақсы.
yellow	сары	Банан сары.
yes	иә	Иә, мен түсіндім.
yesterday	кеше	Мен кеше қоңырау шалдым.
you	сен; сіз	Сен менің досымсың.
young	жас	Бала жас.
your	сенің; сіздің	Сенің сөмкең осында.
yourself	өзің; өзіңіз	Шайды өзіңіз алыңыз.
