simplified	TE	example_TE	KN	example_KN	ML	example_ML
报名	నమోదు చేయడం	నమోదుకు ఏ పదార్థాలు కావాలి?	ನೋಂದಣಿ ಮಾಡುವುದು	ನೋಂದಣಿಗೆ ಯಾವ ದಾಖಲೆಗಳು ಬೇಕು?	പേരെഴുതുക; രജിസ്റ്റർ ചെയ്യുക	രജിസ്ട്രേഷനിന് എന്ത് രേഖകൾ വേണം?
抱	ఎత్తుకోవడం; కౌగిలించుకోవడం	అతను పిల్లవాడిని ఎత్తుకున్నాడు.	ಎತ್ತಿಕೊಳ್ಳುವುದು; ಅಪ್ಪಿಕೊಳ್ಳುವುದು	ಅವನು ಮಗುವನ್ನು ಎತ್ತಿಕೊಂಡನು.	എടുത്തുപിടിക്കുക; ചേർത്തുപിടിക്കുക	അവൻ കുട്ടിയെ എടുത്തുപിടിച്ചു.
抱歉	క్షమించండి; విచారం	మీరు ఇంతసేపు ఎదురుచూడాల్సి వచ్చినందుకు చాలా క్షమించండి.	ಕ್ಷಮಿಸಿ; ವಿಷಾದ	ನಿಮ್ಮನ್ನು ಇಷ್ಟು ಹೊತ್ತು ಕಾಯಿಸಿದ್ದಕ್ಕೆ ಬಹಳ ಕ್ಷಮಿಸಿ.	ക്ഷമിക്കണം; ഖേദം	നിങ്ങളെ ഇത്ര നേരം കാത്തിരിപ്പിച്ചതിന് വളരെ ക്ഷമിക്കണം.
倍	రెట్టు; గుణం	మా పాఠశాలలో విదేశీ విద్యార్థులు గత సంవత్సరంతో పోలిస్తే రెట్టింపు అయ్యారు.	ಪಟ್ಟು; ಎರಡರಷ್ಟು	ನಮ್ಮ ಶಾಲೆಯ ವಿದೇಶಿ ವಿದ್ಯಾರ್ಥಿಗಳು ಕಳೆದ ವರ್ಷಕ್ಕಿಂತ ಎರಡರಷ್ಟು ಹೆಚ್ಚಿದ್ದಾರೆ.	മടങ്ങ്; ഇരട്ടി	ഞങ്ങളുടെ സ്കൂളിലെ വിദേശ വിദ്യാർത്ഥികളുടെ എണ്ണം കഴിഞ്ഞ വർഷത്തേക്കാൾ ഇരട്ടിയായി.
本来	మొదట; అసలు	నేను అసలు ప్రదర్శన చూడడానికి వెళ్లాలనుకున్నాను, కానీ అకస్మాత్తుగా పని వచ్చింది.	ಮೊದಲಿಗೆ; ಮೂಲತಃ	ನಾನು ಮೊದಲಿಗೆ ಪ್ರದರ್ಶನ ನೋಡಲು ಹೋಗಬೇಕಾಗಿತ್ತು, ಆದರೆ ಏಕಾಏಕಿ ಕೆಲಸ ಬಂತು.	ആദ്യത്തിൽ; യഥാർത്ഥത്തിൽ	ഞാൻ ആദ്യം പ്രകടനം കാണാൻ പോകുകയായിരുന്നു, പക്ഷേ പെട്ടെന്ന് കാര്യം വന്നു.
笨	మూర్ఖుడు; తెలివిలేని	నువ్వు మూర్ఖుడు కాదు, ఇంకా కష్టపడాలి అంతే.	ಮೂರ್ಖ; ಬುದ್ಧಿಯಿಲ್ಲದ	ನೀನು ಮೂರ್ಖನಲ್ಲ, ಇನ್ನಷ್ಟು ಶ್ರಮಿಸಬೇಕು ಅಷ್ಟೇ.	മണ്ടൻ; ബുദ്ധിയില്ലാത്ത	നീ മണ്ടനല്ല, കുറച്ച് കൂടി പരിശ്രമിക്കണം മാത്രം.
比如	ఉదాహరణకు	నాకు ఈత, చదవడం వంటి చాలా అభిరుచులు ఉన్నాయి.	ಉದಾಹರಣೆಗೆ	ನನಗೆ ಈಜು ಮತ್ತು ಓದು ಮುಂತಾದ ಅನೇಕ ಹವ್ಯಾಸಗಳಿವೆ.	ഉദാഹരണത്തിന്	എനിക്ക് നീന്തൽ, വായന എന്നിവ പോലെ പല ഹോബികളും ഉണ്ട്.
毕业	పట్టభద్రుడవడం; చదువు పూర్తిచేయడం	నేను ఈ సంవత్సరం మూడో సంవత్సరం చదువుతున్నాను, వచ్చే సంవత్సరం పట్టభద్రుడనవుతాను.	ಪದವಿ ಪಡೆಯುವುದು; ವಿದ್ಯಾಭ್ಯಾಸ ಮುಗಿಸುವುದು	ನಾನು ಈ ವರ್ಷ ಮೂರನೇ ವರ್ಷದ ವಿದ್ಯಾರ್ಥಿ, ಮುಂದಿನ ವರ್ಷ ಪದವಿ ಪಡೆಯುತ್ತೇನೆ.	ബിരുദം നേടുക; പഠനം പൂർത്തിയാക്കുക	ഞാൻ ഈ വർഷം മൂന്നാം വർഷത്തിലാണ്, അടുത്ത വർഷം ബിരുദം നേടും.
遍	సారి	అతను విషయాన్ని మళ్లీ ఒకసారి చెప్పాడు.	ಸಾರಿ; ಒಮ್ಮೆ	ಅವನು ವಿಷಯವನ್ನು ಮತ್ತೊಮ್ಮೆ ಹೇಳಿದನು.	പ്രാവശ്യം	അവൻ കാര്യം വീണ്ടും ഒരിക്കൽ പറഞ്ഞു.
标准	ప్రామాణికం; ప్రమాణం	నీ మాండరిన్ చాలా ప్రామాణికంగా ఉంది.	ಪ್ರಮಾಣಿತ; ಮಾನದಂಡ	ನಿನ್ನ ಮ್ಯಾಂಡರಿನ್ ಬಹಳ ಪ್ರಮಾಣಿತವಾಗಿದೆ.	മാനദണ്ഡം; സ്റ്റാൻഡേർഡ്	നിന്റെ മാൻഡറിൻ വളരെ മാനദണ്ഡമുള്ളതാണ്.
表格	ఫారం; పట్టిక	దయచేసి ఫారంలో మీ పేరు నింపండి.	ಫಾರ್ಮ್; ಪಟ್ಟಿಕೆ	ದಯವಿಟ್ಟು ಫಾರ್ಮ್‌ನಲ್ಲಿ ನಿಮ್ಮ ಹೆಸರನ್ನು ಬರೆಯಿರಿ.	ഫോം; പട്ടിക	ദയവായി ഫോമിൽ നിങ്ങളുടെ പേര് എഴുതുക.
表示	వ్యక్తపరచడం; చూపించడం	దయచేసి అతనికి కృతజ్ఞతలు తెలియజేయండి.	ವ್ಯಕ್ತಪಡಿಸುವುದು; ತೋರಿಸುವುದು	ದಯವಿಟ್ಟು ಅವನಿಗೆ ಧನ್ಯವಾದ ಹೇಳಿ.	പ്രകടിപ്പിക്കുക; കാണിക്കുക	ദയവായി അവനോട് നന്ദി അറിയിക്കുക.
表演	ప్రదర్శించడం; ప్రదర్శన	మీరు ఏ కార్యక్రమం ప్రదర్శించబోతున్నారు?	ಪ್ರದರ್ಶನ; ಪ್ರದರ್ಶಿಸುವುದು	ನೀವು ಯಾವ ಕಾರ್ಯಕ್ರಮವನ್ನು ಪ್ರದರ್ಶಿಸುತ್ತೀರಿ?	പ്രകടനം; അവതരിപ്പിക്കുക	നിങ്ങൾ ഏത് പരിപാടിയാണ് അവതരിപ്പിക്കാൻ പോകുന്നത്?
表扬	ప్రశంసించడం	అతనికి తరచుగా ప్రధానోపాధ్యాయుడి ప్రశంస లభిస్తుంది.	ಪ್ರಶಂಸಿಸುವುದು	ಅವನಿಗೆ ಮುಖ್ಯೋಪಾಧ್ಯಾಯರಿಂದ ಆಗಾಗ ಪ್ರಶಂಸೆ ಸಿಗುತ್ತದೆ.	പ്രശംസിക്കുക	അവന് പ്രധാനാധ്യാപകന്റെ പ്രശംസ പലപ്പോഴും ലഭിക്കുന്നു.
饼干	బిస్కెట్; కుకీ	నేను బిస్కెట్లు కొన్నాను, కొంచెం తినండి.	ಬಿಸ್ಕತ್ತು; ಕುಕಿ	ನಾನು ಬಿಸ್ಕತ್ತುಗಳನ್ನು ಕೊಂಡಿದ್ದೇನೆ, ಸ್ವಲ್ಪ ತಿನ್ನಿ.	ബിസ്കറ്റ്; കുക്കി	ഞാൻ ബിസ്കറ്റ് വാങ്ങിയിട്ടുണ്ട്, കുറച്ച് കഴിക്കൂ.
并且	మరియు; అదనంగా	ఆమె చాలా తెలివైనది, అలాగే చాలా కష్టపడుతుంది.	ಮತ್ತು; ಜೊತೆಗೆ	ಅವಳು ಬಹಳ ಬುದ್ಧಿವಂತಳು ಮತ್ತು ತುಂಬಾ ಶ್ರಮಿಸುತ್ತಾಳೆ.	കൂടാതെ; മാത്രമല്ല	അവൾ വളരെ ബുദ്ധിമതിയാണ്, കൂടാതെ വളരെ പരിശ്രമിക്കുന്നു.
博士	డాక్టరేట్; డాక్టర్	నేను పరిచయం చేస్తాను, వీరు డాక్టర్ లీ.	ಡಾಕ್ಟರೇಟ್; ಡಾಕ್ಟರ್	ನಾನು ಪರಿಚಯಿಸುತ್ತೇನೆ, ಇವರು ಡಾಕ್ಟರ್ ಲಿ.	ഡോക്ടറേറ്റ്; ഡോക്ടർ	ഞാൻ പരിചയപ്പെടുത്താം, ഇവർ ഡോക്ടർ ലിയാണ്.
不过	కానీ; అయితే	అతను అద్భుతమైనవాడు, కానీ కంపెనీ నియామక షరతులకు సరిపోడు.	ಆದರೆ; ಆದರೆ ಕೂಡ	ಅವನು ಅತ್ಯುತ್ತಮ, ಆದರೆ ಕಂಪನಿಯ ನೇಮಕಾತಿ ಷರತ್ತುಗಳಿಗೆ ಸರಿಹೊಂದುವುದಿಲ್ಲ.	പക്ഷേ; എങ്കിലും	അവൻ മികച്ചവനാണ്, പക്ഷേ കമ്പനിയുടെ നിയമന നിബന്ധനകൾക്ക് പൊരുത്തപ്പെടുന്നില്ല.
不得不	చేయక తప్పదు	బయట భారీ వర్షం పడుతోంది, నేను ఇంట్లో ఉండక తప్పదు.	ಮಾಡದೆ ಇರಲು ಆಗದು; ಅನಿವಾರ್ಯ	ಹೊರಗೆ ಭಾರೀ ಮಳೆ ಬರುತ್ತಿದೆ, ನಾನು ಮನೆಯಲ್ಲಿ ಉಳಿಯಲೇಬೇಕು.	ചെയ്യാതെ വഴിയില്ല	പുറത്ത് കനത്ത മഴയാണ്, വീട്ടിൽ തന്നെ ഇരിക്കേണ്ടിവരും.
不管	ఏమైనా సరే; సంబంధం లేకుండా	వాతావరణం ఎలా ఉన్నా, నేను కొండెక్కాలి.	ಯಾವುದೇ ಆಗಲಿ; ಲೆಕ್ಕಿಸದೆ	ಹವಾಮಾನ ಹೇಗಿದ್ದರೂ ನಾನು ಬೆಟ್ಟ ಏರಬೇಕು.	എന്തായാലും; പരിഗണിക്കാതെ	കാലാവസ്ഥ എങ്ങനെയായാലും എനിക്ക് മല കയറണം.
不仅	కేవలం కాదు; మాత్రమే కాదు	నేను ఆ నగరానికి వెళ్లడమే కాకుండా, ఎన్నోసార్లు వెళ్లాను.	ಮಾತ್ರವಲ್ಲ	ನಾನು ಆ ನಗರಕ್ಕೆ ಹೋಗಿರುವುದಷ್ಟೇ ಅಲ್ಲ, ಅನೇಕ ಬಾರಿ ಹೋಗಿದ್ದೇನೆ.	മാത്രമല്ല	ഞാൻ ആ നഗരത്തിൽ പോയതുമാത്രമല്ല, പലതവണ പോയിട്ടുണ്ട്.
部分	భాగం; విభాగం	వ్యాసంలో అత్యంత ముఖ్యమైన భాగం మూడో పేరా.	ಭಾಗ; ವಿಭಾಗ	ಲೇಖನದ ಅತ್ಯಂತ ಮುಖ್ಯ ಭಾಗ ಮೂರನೇ ಪ್ಯಾರಾ.	ഭാഗം; വിഭാഗം	ലേഖനത്തിലെ ഏറ്റവും പ്രധാനപ്പെട്ട ഭാഗം മൂന്നാം ഖണ്ഡികയാണ്.
擦	తుడవడం; చెరపడం	నేను ఇప్పటికే కిటికీలు శుభ్రంగా తుడిచాను.	ಒರೆಸುವುದು; ಅಳಿಸುವುದು	ನಾನು ಕಿಟಕಿಗಳನ್ನು ಈಗಾಗಲೇ ಸ್ವಚ್ಛವಾಗಿ ಒರೆಸಿದ್ದೇನೆ.	തുടയ്ക്കുക; മായ്ക്കുക	ഞാൻ ജനലുകൾ ഇതിനകം വൃത്തിയായി തുടച്ചു.
猜	ఊహించడం	నేను నీకు ఏ పుట్టినరోజు బహుమతి సిద్ధం చేశానో ఊహించు.	ಊಹಿಸುವುದು	ನಾನು ನಿನಗೆ ಯಾವ ಹುಟ್ಟುಹಬ್ಬದ ಉಡುಗೊರೆ ಸಿದ್ಧಪಡಿಸಿದ್ದೇನೆ ಎಂದು ಊಹಿಸು.	ഊഹിക്കുക	നിനക്കായി ഞാൻ എന്ത് പിറന്നാൾ സമ്മാനം ഒരുക്കിയെന്ന് ഊഹിക്കൂ.
材料	పదార్థం; పత్రాలు	నమోదుకు ఏ పదార్థాలు కావాలి?	ವಸ್ತು; ದಾಖಲೆಗಳು	ನೋಂದಣಿಗೆ ಯಾವ ದಾಖಲೆಗಳು ಬೇಕು?	സാധനം; രേഖകൾ	രജിസ്ട്രേഷനിന് എന്ത് രേഖകൾ വേണം?
参观	సందర్శించడం; చూసి రావడం	వారాంతంలో గ్రేట్ వాల్ చూడడానికి వెళ్లాలనుకుంటున్నాను.	ಭೇಟಿ ನೀಡುವುದು; ನೋಡಿ ಬರುವುದು	ವಾರಾಂತ್ಯದಲ್ಲಿ ಮಹಾ ಗೋಡೆಯನ್ನು ನೋಡಲು ಹೋಗಲು ಬಯಸುತ್ತೇನೆ.	സന്ദർശിക്കുക; ചുറ്റി കാണുക	വാരാന്ത്യത്തിൽ വലിയ മതിൽ സന്ദർശിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.
餐厅	రెస్టారెంట్; భోజనశాల	పాఠశాల దగ్గర కొత్త రెస్టారెంట్ తెరుచుకుంది.	ಊಟಮನೆ; ರೆಸ್ಟೋರೆಂಟ್	ಶಾಲೆಯ ಹತ್ತಿರ ಹೊಸ ಊಟಮನೆ ತೆರೆದಿದೆ.	ഭക്ഷണശാല; റെസ്റ്റോറന്റ്	സ്കൂളിന് സമീപം ഒരു പുതിയ ഭക്ഷണശാല തുറന്നു.
厕所	మరుగుదొడ్డి	పురుషుల మరుగుదొడ్డి మొదటి అంతస్తులో ఉంది.	ಶೌಚಾಲಯ	ಪುರುಷರ ಶೌಚಾಲಯ ಮೊದಲ ಮಹಡಿಯಲ್ಲಿ ಇದೆ.	ശൗചാലയം	പുരുഷന്മാരുടെ ശൗചാലയം ഒന്നാം നിലയിലാണ്.
差不多	దాదాపు	నేను ప్రతిరోజూ దాదాపు ఏడు గంటలకు లేస్తాను.	ಸುಮಾರು; ಬಹುತೇಕ	ನಾನು ಪ್ರತಿದಿನ ಸುಮಾರು ಏಳು ಗಂಟೆಗೆ ಎದ್ದೇಳುತ್ತೇನೆ.	ഏകദേശം; മിക്കവാറും	ഞാൻ ദിവസവും ഏകദേശം ഏഴ് മണിക്ക് എഴുന്നേൽക്കും.
尝	రుచి చూడడం; ప్రయత్నించడం	నేను చేసిన వంటలు త్వరగా రుచి చూడండి, రుచి ఎలా ఉంది?	ರುಚಿ ನೋಡುವುದು; ಪ್ರಯತ್ನಿಸುವುದು	ಬೇಗ ಬಂದು ನಾನು ಮಾಡಿದ ಊಟವನ್ನು ರುಚಿ ನೋಡಿ, ರುಚಿ ಹೇಗಿದೆ?	രുചി നോക്കുക; പരീക്ഷിക്കുക	വേഗം വന്ന് ഞാൻ ഉണ്ടാക്കിയ വിഭവങ്ങൾ രുചിച്ചു നോക്കൂ, രുചി എങ്ങനെയുണ്ട്?
长城	గ్రేట్ వాల్	వారాంతంలో గ్రేట్ వాల్ చూడడానికి వెళ్లాలనుకుంటున్నాను.	ಮಹಾ ಗೋಡೆ	ವಾರಾಂತ್ಯದಲ್ಲಿ ಮಹಾ ಗೋಡೆಯನ್ನು ನೋಡಲು ಹೋಗಲು ಬಯಸುತ್ತೇನೆ.	വലിയ മതിൽ	വാരാന്ത്യത്തിൽ വലിയ മതിൽ സന്ദർശിക്കാൻ ഞാൻ ആഗ്രഹിക്കുന്നു.
长江	యాంగ్‌త్సె నది	యాంగ్‌త్సె నది చైనాలో అతిపెద్ద నది.	ಯಾಂಗ್ಟ್ಸೆ ನದಿ	ಯಾಂಗ್ಟ್ಸೆ ನದಿ ಚೀನಾದ ಅತಿ ದೊಡ್ಡ ನದಿ.	യാങ്‌സി നദി	യാങ്‌സി നദി ചൈനയിലെ ഏറ്റവും വലിയ നദിയാണ്.
场	సంఘటనలకు వర్గవాచకం; స్థలం	ఈ వర్షం సరైన సమయంలో పడింది.	ಕಾರ್ಯಕ್ರಮಗಳಿಗೆ ಅಳತಾಪದ; ಸ್ಥಳ	ಈ ಮಳೆ ಸರಿಯಾದ ಸಮಯಕ್ಕೆ ಬಂತು.	സംഭവങ്ങൾക്ക് അളവുപദം; സ്ഥലം	ഈ മഴ ശരിയായ സമയത്ത് പെയ്തു.
超过	మించిపోవడం; దాటడం	ప్రతిరోజూ ఇక్కడి నుంచి మూడువందలకు పైగా విమానాలు బయలుదేరుతాయి.	ಮೀರಿಸುವುದು; ಮೀರಲು	ಪ್ರತಿದಿನ ಇಲ್ಲಿ ಮೂರು ನೂರಿಗಿಂತ ಹೆಚ್ಚು ವಿಮಾನಗಳು ಹೊರಡುತ್ತವೆ.	കവിഞ്ഞു; മുകളിൽ പോകുക	പ്രതിദിനം ഇവിടെ നിന്ന് മൂന്നുനൂറിലധികം വിമാനങ്ങൾ പുറപ്പെടുന്നു.
乘坐	వాహనంలో ప్రయాణించడం	ఈ విమాన ప్రయాణానికి స్వాగతం.	ವಾಹನದಲ್ಲಿ ಪ್ರಯಾಣಿಸುವುದು	ಈ ವಿಮಾನಯಾನಕ್ಕೆ ಸ್ವಾಗತ.	വാഹനത്തിൽ യാത്ര ചെയ്യുക	ഈ വിമാനയാത്രയിലേക്ക് സ്വാഗതം.
成功	విజయం; విజయం సాధించడం	విజయం సాధించడానికి కృషి హామీ.	ಯಶಸ್ಸು; ಯಶಸ್ವಿಯಾಗುವುದು	ಯಶಸ್ಸಿಗೆ ಶ್ರಮವೇ ಖಾತರಿ.	വിജയം; വിജയിക്കുക	വിജയം നേടാനുള്ള ഉറപ്പ് പരിശ്രമമാണ്.
成为	అవడం; మారడం	నేను చిన్నప్పటి నుంచే పోలీసు అవాలనుకున్నాను.	ಆಗುವುದು; ರೂಪಾಂತರಗೊಳ್ಳುವುದು	ನಾನು ಬಾಲ್ಯದಿಂದಲೇ ಪೊಲೀಸ್ ಆಗಲು ಬಯಸಿದ್ದೆ.	ആകുക; മാറുക	ചെറുപ്പം മുതൽ തന്നെ പോലീസുകാരനാകണമെന്നായിരുന്നു എന്റെ ആഗ്രഹം.
诚实	నిజాయితీ; నిజాయితీగల	నిజాయితీగలవారు మన గౌరవానికి అర్హులు.	ಪ್ರಾಮಾಣಿಕ; ಪ್ರಾಮಾಣಿಕತೆ	ಪ್ರಾಮಾಣಿಕರು ನಮ್ಮ ಗೌರವಕ್ಕೆ ಅರ್ಹರು.	സത്യസന്ധം; സത്യസന്ധത	സത്യസന്ധരായ ആളുകൾ നമ്മുടെ ബഹുമാനത്തിന് അർഹരാണ്.
吃惊	ఆశ్చర్యపోవడం; దిగ్భ్రాంతి చెందడం	ఈ వార్త విని అతను చాలా ఆశ్చర్యపోయాడు.	ಆಶ್ಚರ್ಯಪಡುವುದು; ಬೆಚ್ಚಿಬೀಳುವುದು	ಈ ಸುದ್ದಿ ಕೇಳಿ ಅವನು ತುಂಬಾ ಆಶ್ಚರ್ಯಪಟ್ಟನು.	അമ്പരക്കുക; ഞെട്ടുക	ഈ വാർത്ത കേട്ട് അവൻ വളരെ അമ്പരന്നു.
重新	మళ్లీ; కొత్తగా	అతను విషయాన్ని మళ్లీ ఒకసారి చెప్పాడు.	ಮತ್ತೆ; ಪುನಃ	ಅವನು ವಿಷಯವನ್ನು ಮತ್ತೊಮ್ಮೆ ಹೇಳಿದನು.	വീണ്ടും; പുതുതായി	അവൻ കാര്യം വീണ്ടും ഒരിക്കൽ പറഞ്ഞു.
抽烟	పొగ త్రాగడం	క్షమించండి, ఆసుపత్రిలో పొగ త్రాగకూడదు.	ಧೂಮಪಾನ ಮಾಡುವುದು	ಕ್ಷಮಿಸಿ, ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಧೂಮಪಾನ ಮಾಡಬಾರದು.	പുകവലിക്കുക	ക്ഷമിക്കണം, ആശുപത്രിയിൽ പുകവലിക്കാൻ പാടില്ല.
出差	వ్యాపార ప్రయాణానికి వెళ్లడం	నాన్న ఒక నెలకుపైగా వ్యాపార ప్రయాణంలో ఉన్నారు.	ವ್ಯಾಪಾರ ಪ್ರಯಾಣಕ್ಕೆ ಹೋಗುವುದು	ಅಪ್ಪ ಒಂದು ತಿಂಗಳಿಗಿಂತ ಹೆಚ್ಚು ಕಾಲ ವ್ಯಾಪಾರ ಪ್ರಯಾಣದಲ್ಲಿದ್ದಾರೆ.	ഓഫീസ് യാത്രയ്ക്ക് പോകുക	അച്ഛൻ ഒരു മാസത്തിലധികമായി ഔദ്യോഗിക യാത്രയിലാണ്.
出发	బయలుదేరడం	నేను బీజింగ్ నుంచి షాంఘైకి బయలుదేరాను.	ಹೊರಡುವುದು	ನಾನು ಬೀಜಿಂಗ್‌ನಿಂದ ಶಾಂಘೈಗೆ ಹೊರಟೆ.	പുറപ്പെടുക	ഞാൻ ബെയ്ജിംഗിൽ നിന്ന് ഷാങ്ഹായിലേക്ക് പുറപ്പെട്ടു.
出生	పుట్టడం	నేను ఒక చిన్న పట్టణంలో పుట్టాను.	ಹುಟ್ಟುವುದು	ನಾನು ಒಂದು ಸಣ್ಣ ನಗರದಲ್ಲಿ ಹುಟ್ಟಿದ್ದೇನೆ.	ജനിക്കുക	ഞാൻ ഒരു ചെറിയ നഗരത്തിൽ ജനിച്ചു.
出现	కనిపించడం; ఉద్భవించడం	మా పనిలో ఎన్నో సమస్యలు కనిపించాయి.	ಕಾಣಿಸಿಕೊಳ್ಳುವುದು; ಉದ್ಭವಿಸುವುದು	ನಮ್ಮ ಕೆಲಸದಲ್ಲಿ ಅನೇಕ ಸಮಸ್ಯೆಗಳು ಕಾಣಿಸಿಕೊಂಡಿವೆ.	പ്രത്യക്ഷപ്പെടുക; ഉണ്ടാകുക	ഞങ്ങളുടെ ജോലിയിൽ നിരവധി പ്രശ്നങ്ങൾ ഉണ്ടായി.
厨房	వంటగది	పండ్ల కత్తి వంటగదిలో ఉంది.	ಅಡಿಗೆಮನೆ	ಹಣ್ಣು ಕತ್ತರಿಸುವ ಚಾಕು ಅಡಿಗೆಮನೆಯಲ್ಲಿ ಇದೆ.	അടുക്കള	പഴക്കത്തി അടുക്കളയിലാണ്.
传真	ఫ్యాక్స్	దయచేసి నాకు ఒక ఫ్యాక్స్ పంపండి.	ಫ್ಯಾಕ್ಸ್	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ಫ್ಯಾಕ್ಸ್ ಕಳುಹಿಸಿ.	ഫാക്സ്	ദയവായി എനിക്ക് ഒരു ഫാക്സ് അയക്കൂ.
窗户	కిటికీ	నేను ఇప్పటికే కిటికీలు శుభ్రంగా తుడిచాను.	ಕಿಟಕಿ	ನಾನು ಕಿಟಕಿಗಳನ್ನು ಈಗಾಗಲೇ ಸ್ವಚ್ಛವಾಗಿ ಒರೆಸಿದ್ದೇನೆ.	ജനൽ	ഞാൻ ജനലുകൾ ഇതിനകം വൃത്തിയായി തുടച്ചു.
词语	పదం; పదప్రయోగం	దయచేసి ఈ పదాలతో కొన్ని వాక్యాలు చెప్పండి.	ಪದ; ಪದಪ್ರಯೋಗ	ದಯವಿಟ್ಟು ಈ ಪದಗಳನ್ನು ಬಳಸಿ ಕೆಲವು ವಾಕ್ಯಗಳನ್ನು ಹೇಳಿ.	വാക്ക്; പ്രയോഗം	ദയവായി ഈ വാക്കുകൾ ഉപയോഗിച്ച് ചില വാക്യങ്ങൾ പറയൂ.
