source_headword	TL	example_TL
neither	wala sa dalawa	Wala sa dalawang sagot ang tama.
nervous	kinakabahan	Kinakabahan siya.
network	network; lambat	Sira ang network.
noise	ingay	Nakarinig ako ng malakas na ingay.
noisy	maingay	Maingay ang kalye.
none	wala	Wala sa kanila ang dumating.
normal	normal; karaniwan	Normal ito.
normally	karaniwan	Karaniwan akong gumigising nang maaga.
notice	mapansin	Napansin mo ba ang karatula?
novel	nobela	Nagsulat siya ng nobela.
nowhere	wala saanman	Walang mauupuan saanman.
nut	mani	Matigas ang mani.
ocean	karagatan	Malalim ang karagatan.
offer	alok; mag-alok	Tinanggap ko ang alok.
officer	opisyal; opisyal na kawani	Sinuri ng opisyal ang tiket ko.
oil	langis	Magdagdag ng langis sa kawali.
onto	papunta sa ibabaw	Ilagay ito sa ibabaw ng estante.
opportunity	pagkakataon	Magandang pagkakataon ito.
option	opsyon; pagpipilian	Piliin ang pinakamahusay na opsyon.
ordinary	karaniwan	Karaniwang araw iyon.
organization	organisasyon	Tumutulong sa mga estudyante ang organisasyon.
organize	ayusin; organisahin	Pakiayos ang mga file.
original	orihinal	Itago ang orihinal na resibo.
ourselves	kami mismo; sarili namin	Kami mismo ang nagluto ng hapunan.
oven	oven	Mainit ang oven.
owner	may-ari	Binuksan ng may-ari ang tindahan.
pack	mag-impake	Mag-impake ka na ngayon.
pain	sakit	Nararamdaman ko ang sakit sa likod ko.
painter	pintor	Tinapos ng pintor ang pader.
palace	palasyo	Luma ang palasyo.
pants	pantalon	Masyadong mahaba ang pantalong ito.
parking	paradahan	Mahirap ang paradahan dito.
particular	tiyak	Kailangan ko ng isang tiyak na aklat.
pass	iabot	Iabot mo sa akin ang asin.
passenger	pasahero	Kailangan ng bawat pasahero ng tiket.
patient	pasyente; matiisin	Maging matiisin sa mga bata.
pattern	pattern; disenyo	Simple ang disenyong ito.
peace	kapayapaan	Gusto nating lahat ng kapayapaan.
penny	sentimo	Nakakita ako ng sentimo.
per	bawat	Sampung dolyar bawat tao ang tiket.
per cent	porsiyento	Maliit ang limang porsiyento.
perform	magtanghal	Magtatanghal ang banda ngayong gabi.
perhaps	marahil	Marahil nasa bahay siya.
permission	pahintulot	Humingi muna ng pahintulot.
personality	personalidad	May palakaibigan siyang personalidad.
pet	alagang hayop	Pusa ang alaga kong hayop.
petrol	gasolina	Kailangan ng kotse ng gasolina.
physical	pisikal	Nakakatulong sa kalusugan ang pisikal na ehersisyo.
physics	pisika	Mahirap ang pisika.
pick	pumili	Pumili ng isang card.
pilot	piloto	Malinaw magsalita ang piloto.
planet	planeta	Planeta ang Daigdig.
plastic	plastik	Plastik ang bote na ito.
plate	plato	Ilagay ang pagkain sa plato.
platform	plataporma; platform	Maghintay sa ikalawang platform.
pleased	natutuwa	Natutuwa akong makilala ka.
pocket	bulsa	Nasa bulsa ko ang tiket.
polite	magalang	Maging magalang sa lahat.
pollution	polusyon	Nakapipinsala sa karagatan ang polusyon.
pop	pop	Gusto ko ang pop na musika.
population	populasyon	Lumalago ang populasyon.
position	posisyon	Baguhin mo ang posisyon mo.
possession	pag-aari	Pag-aari ko ang singsing na ito.
possibility	posibilidad	May posibilidad ng ulan.
poster	poster	Idikit ang poster sa pader.
power	kuryente; kapangyarihan	Kailangan ng kompyuter ng kuryente.
predict	hulaan	Hindi namin mahulaan ang panahon.
president	pangulo	Nagbigay ng talumpati ang pangulo.
prevent	pigilan	Maghugas ng kamay para pigilan ang sakit.
print	ilimbag; i-print	I-print ang dokumento.
printer	printer	Sira ang printer.
prison	bilangguan	Nakulong siya sa bilangguan.
prize	premyo	Nanalo siya ng premyo.
process	proseso	Nangangailangan ng oras ang proseso.
produce	gumawa; magprodyus	Gumagawa ng pagkain ang mga bukid.
professional	propesyonal	Propesyonal siyang mananayaw.
professor	propesor	Sumagot ang propesor sa mga tanong.
profile	profile	I-update ang profile mo.
program	programa	Nagsisimula na ang programa.
progress	pag-unlad	Gumawa kami ng pag-unlad ngayon.
promise	pangako; mangako	Tuparin mo ang pangako mo.
pronounce	bigkasin	Pakibigkas ang salitang ito.
protect	protektahan	Protektahan ang mga mata mo.
provide	magbigay	Nagbibigay sila ng libreng tubig.
pub	pub; bar	Nagkita kami sa pub.
public	publiko	Pampubliko ang parke.
publish	ilathala	Naglilimbag sila ng magasin.
pull	hilahin	Hilahin ang pinto.
purpose	layunin	Ano ang layunin?
push	itulak; pindutin	Pindutin ang buton.
quality	kalidad	Mataas ang kalidad.
quantity	dami	Suriin ang dami.
queen	reyna	Kumaway ang reyna.
quietly	tahimik	Magsalita nang tahimik.
race (competition)	karera	Magsisimula na ang karera.
railway	daang-bakal	Sarado ang daang-bakal.
raise	itaas	Itaas ang kamay mo.
rate	presyo; antas	Mataas ang presyo ng hotel.
rather	medyo	Medyo pagod ako.
reach	maabot	Maaabot mo ba ang estante?
react	tumugon	Paano siya tumugon?
realize	mapagtanto	Napagtanto ko ang pagkakamali ko.
receive	tumanggap; makatanggap	Natanggap mo ba ang mensahe ko?
recent	kamakailan; bago	Kamakailang larawan ito.
recently	kamakailan	Lumipat ako rito kamakailan.
reception	reception; pagtanggap	Sa Lunes ang reception.
recipe	resipe	Madali ang resipe na ito.
recognize	makilala	Nakikilala ko ang kantang iyon.
recommend	irekomenda	Inirerekomenda ko ang aklat na ito.
record	talaan; rekord	Magtago ng talaan ng mga bayad.
recording	recording; rekording	Malinaw ang tunog ng recording.
recycle	i-recycle	I-recycle ang papel at plastik.
reduce	bawasan	Bawasan ang init.
refer	sumangguni	Sumangguni sa pahina dalawa.
refuse1	tumanggi	Tumanggi akong magsinungaling.
region	rehiyon	Malamig ang rehiyong ito.
regular	regular; palagian	Regular siyang kostumer.
relationship	relasyon	Matatag ang relasyon nila.
remove	alisin	Alisin ang sapatos mo.
repair	ayusin; kumpunihin	Ayusin ang bisikleta ngayon.
replace	palitan	Palitan ang lumang baterya.
reply	tumugon; sumagot	Mangyaring sumagot agad.
reporter	reporter	Nagsulat ng tala ang reporter.
request	hiling; kahilingan	Gumawa ako ng kahilingan.
research	pananaliksik; magsaliksik	Nagsasaliksik kami ng lokal na kasaysayan.
researcher	mananaliksik	Sinuri ng mananaliksik ang datos.
respond	tumugon	Mangyaring tumugon ngayon.
response	tugon; sagot	Mabilis ang sagot niya.
rest (remaining part)	natirang bahagi	Kainin ang natirang bahagi mamaya.
rest (sleep/relax)	pahinga	Kailangan mong magpahinga.
review	rebyu; suriin	Suriin ang mga tala mo ngayong gabi.
ring1	singsing	Nagsuot siya ng gintong singsing.
ring2	tumawag; tumunog	Tawagan mo ako pagkatapos ng tanghalian.
rise	tumaas	Tumataas ang presyo bawat taon.
rock (stone)	bato	Mabigat ang bato.
