source_headword	DA	example_DA
chop	hakke	Hak løgene i små stykker.
circuit	et kredsløb	Løberen gennemførte runden.
civilization	en civilisation	Gammel civilisation formede denne region.
clarify	afklare	Uddyb venligst det sidste punkt.
classify	klassificere	Forskere klassificerer dyr efter art.
clerk	en fuldmægtig	Ekspedienten udskrev kvitteringen.
cliff	en klint	Stien slutter i nærheden af en klippe.
clinic	en klinik	Klinikken åbner klokken otte.
clip	et klip	Hun satte clipsen på papiret.
coincidence	et sammentræf	At møde ham der var et sammentræf.
collector	en samler	Samleren købte sjældne mønter.
colony	en koloni	Myrerne byggede en stor koloni.
colourful	farverig	Markedet var lyst og farverigt.
comic	en tegneserie	Den komiske scene fik os til at grine.
commander	en kommandør	Kommandanten gav klare ordrer.
comparative	sammenlignende	Essayet bruger komparative data.
completion	en fuldførelse	Broen er nær færdiggørelse.
compose	komponere	Han vil komponere musik til filmen.
composer	en komponist	Komponisten skrev en ny sang.
compound	en sammensætning	Forbindelsen indeholder to kemikalier.
comprehensive	omfattende	Guiden giver omfattende instruktioner.
comprise	omfatte	Holdet består af fem medlemmer.
compulsory	obligatorisk	Fremmøde er obligatorisk for denne klasse.
concrete	en beton	Gulvet er lavet af beton.
confess	tilstå	Han indrømmede fejlen over for sin lærer.
confusion	en forvirring	Forsinkelsen forårsagede forvirring.
consequently	følgelig	Det regnede; følgelig stoppede kampen.
conservation	en bevarelse	Naturbeskyttelse beskytter sjældne dyr.
considerable	betydelig	Reparationen tog betydelig tid.
considerably	betydeligt	Priserne steg betydeligt i år.
consistently	konsekvent	Hun præsterer konsekvent godt.
conspiracy	en konspiration	Politiet efterforskede konspirationen.
consult	konsultere	Konsulter din læge, før du tager medicin.
consultant	en konsulent	Konsulenten foreslog en ny strategi.
consumption	et forbrug	Energiforbruget faldt i sidste måned.
controversial	kontroversiel	Politikken forbliver kontroversiel.
controversy	en kontrovers	Beslutningen forårsagede kontrovers.
convenience	en bekvemmelighed	Butikken tilbyder stor bekvemmelighed.
convention	en konvention	Den årlige konference starter på mandag.
conventional	konventionel	Han valgte et konventionelt design.
convey	formidle	Beskeden formidlede medfølelse.
convincing	overbevisende	Hendes forklaring var overbevisende.
cope	håndtere	Hun lærte at håndtere stress.
corporation	et selskab	Selskabet åbnede et nyt kontor.
corridor	en korridor	Korridoren var smal og stille.
counter (long flat surface)	en disk	Nøglerne ligger på køkkenbordet.
coverage	en dækning	Nyhedsdækningen varede hele aftenen.
crack	en revne	Der kom en revne i væggen.
craft	et håndværk	Hun sælger håndlavet håndværk på nettet.
creativity	en kreativitet	Kreativitet hjælper med at løse problemer.
critically	kritisk	Artiklen var kritisk vigtig.
cruise	et krydstogt	De bookede et krydstogt til Grækenland.
cue	et stikord	Skuespilleren missede sin stikreplik.
curious	mærkelig	Barnet var nysgerrig på rummet.
curriculum	en læreplan	Skolen opdaterede sin læreplan.
cute	sød	Hvalpen så sød ud.
dairy	et mejeri	Gården producerer mejeriprodukter.
dare	vove	Jeg udfordrer dig til at prøve det.
darkness	et mørke	Rummet blev fyldt med mørke.
database	en database	Databasen gemmer kunderegistre.
deadline	en deadline	Fristen er fredag.
deadly	dødelig	Slangen har dødelig gift.
dealer	en forhandler	Bilforhandleren tilbød en rabat.
deck	et dæk	Stolene står på terrassen.
defender	en forsvarer	Forsvarsspilleren blokkerede skuddet.
delete	slette	Slet den gamle besked.
democracy	et demokrati	Demokrati afhænger af frie valg.
democratic	demokratisk	Afstemningen fulgte demokratiske regler.
demonstration	en demonstration	Studenterne deltog i en demonstration.
depart	afvige	Toget afgår til middag.
dependent	afhængig	Barnet er afhængigt af voksne.
deposit	et indskud	Hun betalte et depositum for lejligheden.
depression	en depression	Depression kræver professionel støtte.
derive	aflede	Mange ord stammer fra latin.
desperately	desperat	Han havde desperat brug for vand.
destruction	en ødelæggelse	Stormen forårsagede omfattende ødelæggelser.
determination	en beslutsomhed	Hendes beslutsomhed imponerede træneren.
devote	dedikere	Hun vier weekenderne til at studere.
differ	adskille sig	Deres meninger er meget forskellige.
disability	et handicap	Bygningen har handicapvenlig adgang.
disabled	deaktiveret	Den handicappede atlet vandt en medalje.
disagreement	en uenighed	Mødet endte i uenighed.
disappoint	skuffe	Resultatet kan skuffe fansene.
disappointment	en skuffelse	Han følte dyb skuffelse.
discourage	afskrække	Tag ikke modet fra unge elever.
disorder	en lidelse	Lægen diagnosticerede en søvnforstyrrelse.
distant	fjern	Bjergene så fjerne ud.
distinct	tydelig	De to lyde er tydeligt forskellige.
distinguish	skelne	Kan du skelne mellem disse farver?
distract	distrahere	Støj kan distrahere elever.
disturb	forstyrre	Vær venlig ikke at forstyrre patienten.
dive	et dyk	De vil dykke i nærheden af revet.
diverse	mangfoldig	Byen har forskelligartede kulturer.
diversity	en mangfoldighed	Vi fejrer kulturel mangfoldighed.
divorce	en skilsmisse	Skilsmissen var svær for alle.
dominant	dominerende	Det dominerende hold kontrollerede kampen.
donation	en donation	Velgørenhedsorganisationen modtog en donation.
dot	en prik	Sæt et punktum efter tallet.
downtown	et centrum	Vi mødtes i centrum efter arbejde.
dramatically	dramatisk	Prisen faldt dramatisk.
drought	en tørke	Tørken ødelagde afgrøderne.
dull	kedelig	Forelæsningen var kedelig.
dump	dumpe	Smid ikke affald her.
duration	en varighed	Flyvningens varighed er tre timer.
dynamic	en dynamik	Klasseværelset føltes dynamisk.
economics	økonomi	Hun læser økonomi på universitetet.
economist	en økonom	Økonomen forudsagde langsommere vækst.
editorial	redaktionel	Lederen kritiserede loven.
efficiently	effektivt	Holdet arbejdede effektivt.
elbow	en albue	Han skadede sin albue.
electronics	elektronik	Butikken sælger elektronik.
elegant	elegant	Kjolen så elegant ud.
elementary	elementær	Bogen forklarer grundlæggende grammatik.
eliminate	eliminere	Holdet eliminerede flere fejl.
embrace	omfavne	Hun omfavnede den nye idé.
emission	en emission	Bilernes udledningsniveauer faldt.
emotionally	følelsesmæssigt	Han talte følelsesmæssigt om sin familie.
empire	et imperium	Imperiet varede i århundreder.
enjoyable	fornøjelig	Turen var fornøjelig.
entertaining	underholdende	Showet var underholdende.
entrepreneur	en iværksætter	Iværksætteren åbnede en café.
envelope	en konvolut	Læg brevet i en kuvert.
equip	udstyre	Skolen vil udstyre laboratoriet.
equivalent	en ækvivalent	En dollar er ikke tilsvarende her.
era	en æra	Opdagelsen begyndte en ny æra.
erupt	udbryde	Vulkanen kan gå i udbrud snart.
essentially	i bund og grund	De to metoder er i det væsentlige identiske.
ethic	en etik	Hans arbejdsmoral er stærk.
ethnic	etnisk	Festivalen fejrer etniske traditioner.
evaluation	en evaluering	Kurset inkluderer en slutevaluering.
evident	indlysende	Hans nervøsitet var tydelig.
evolution	en evolution	Evolutionen forklarer mange biologiske ændringer.
evolve	udvikle	Sprog udvikler sig over tid.
exceed	overstige	Efterspørgslen kan overstige udbuddet.
exception	en undtagelse	Der er én undtagelse.
excessive	overdreven	Overdreven støj forstyrrer naboerne.
exclude	ekskludere	Listen udelukker midlertidige arbejdere.
exhibit	en udstilling	Museet vil udstille sjældne fotografier.
exit	en udgang	Udgangen er bag scenen.
exotic	eksotisk	Butikken sælger eksotisk frugt.
expansion	en udvidelse	Virksomheden planlagde en udvidelse.
expertise	ekspertise	Hendes ekspertise forbedrede projektet.
exploit	udnytte	Kriminelle udnytter svage adgangskoder.
exposure	en eksponering	Soleksponering kan skade huden.
extension	en forlængelse	Fristforlængelsen hjalp alle.
extensive	omfattende	Biblioteket har omfattende ressourcer.
extensively	udførligt	Emnet blev studeret indgående.
extract	et uddrag	Vaniljeekstrakt giver smag.
fabric	et stof	Stoffet føles blødt.
fabulous	fabelagtig	Måltidet var fabelagtigt.
failed	mislykket	Det mislykkede forsøg lærte os noget.
fake	falsk	Hjemmesiden solgte falske billetter.
fame	berømmelse	Berømmelse ændrede hans privatliv.
fantasy	en fantasi	Romanen er en fantasi.
fare	en billetpris	Busbilletten steg i pris.
federal	føderal	Den føderale regering annoncerede finansiering.
fever	en feber	Barnet har feber.
firefighter	en brandmand	Brandmanden reddede hunden.
firework	et fyrværkeri	Et fyrværkeri eksploderede over parken.
firm	fast	Madrassen er fast.
firmly	bestemt	Hun lukkede døren bestemt.
flavour	en smag	Suppen har en fyldig smag.
fond	kærlig	Han er glad for jazz.
fool	en tåbe	Opfør dig ikke som et fjols.
forbid	forbyde	Loven forbyder rygning her.
forecast	en prognose	Vejrudsigten forudsiger regn.
format	et format	Brug det korrekte filformat.
formation	en formation	Skydannelse ændrer sig hurtigt.
formerly	tidligere	Bygningen var tidligere en skole.
fortunate	heldig	Vi var heldige at ankomme tidligt.
forum	et forum	Forummet diskuterede klimapolitik.
fossil	et fossil	Fossilet blev fundet i sten.
foundation	et fundament	Huset har et stærkt fundament.
founder	en grundlægger	Grundlæggeren bød gæsterne velkommen.
fraction	en brøkdel	Kun en brøkdel af de studerende kom.
fragment	et fragment	Et glasfragment lå på gulvet.
framework	en ramme	Loven skaber en klar ramme.
fraud	et bedrageri	Banken opdagede svindel.
freely	frit	Børnene legede frit udenfor.
frequent	hyppig	Hyppige pauser forbedrer fokus.
fulfil	opfylde	Jeg håber at opfylde mit løfte.
full-time	fuldtid	Hun har et fuldtidsjob.
fundamentally	fundamentalt	Planen er grundlæggende anderledes.
furious	rasende	Han var rasende over forsinkelsen.
gaming	en gaming	Gaming kan forbedre reaktionshastigheden.
gay	homoseksuel	Han støtter homoseksuelles rettigheder.
gender	et køn	Undersøgelsen spurgte om køn.
gene	et gen	Genet påvirker øjenfarven.
genetic	genetisk	Sygdommen har genetiske årsager.
genius	et geni	Den unge pianist er et geni.
genuine	ægte	Hendes smil virkede ægte.
genuinely	oprigtigt	Han ønskede oprigtigt at hjælpe.
gesture	en gestus	Hun lavede en venlig gestus.
gig	et gig	Bandet spillede en koncert i centrum.
globalization	en globalisering	Globalisering påvirker lokale virksomheder.
globe	en globus	Globussen viser alle kontinenter.
golden	gylden	Solnedgangen blev gylden.
goodness	en godhed	Hun tror på menneskelig godhed.
gorgeous	smuk	Haven så smuk ud.
governor	en guvernør	Guvernøren underskrev lovforslaget.
graphic	grafisk	Det grafiske billede chokerede seerne.
graphics	en grafik	Spillet har simpel grafik.
greatly	i høj grad	Dit råd hjalp i høj grad.
greenhouse	et drivhus	Tomater vokser inde i drivhuset.
grocery	en dagligvarebutik	Hun købte dagligvarer efter arbejde.
guideline	en retningslinje	Retningslinjen forklarer sikker praksis.
habitat	et levested	Skoven er et levested for fugle.
harbour	en havn	Båden sejlede ind i havnen.
headquarters	et hovedkvarter	Firmaets hovedkvarter flyttede til centrum.
