source_headword	ZH	example_ZH
consumer	消费者	消费者想要清楚的信息。
contact	联系；联系人	午饭后联系我。
container	容器	把汤放进容器里。
content1	内容	这门课的内容很有用。
continuous	连续的	机器发出连续的噪音。
contrast	对比	他们之间的对比很明显。
convenient	方便的	这个车站很方便。
convince	说服	她说服他再试一次。
costume	服装；戏装	她为派对穿了服装。
cottage	小屋	他们住在湖边小屋里。
cotton	棉花；棉布	这件衬衫是棉的。
countryside	乡村	我们周末去了乡村。
court	法院；球场	法院今天很忙。
covered	被覆盖的	桌子上覆盖着纸。
cruel	残忍的	那是残忍的玩笑。
cultural	文化的	我们参加了文化活动。
currency	货币	这个国家使用不同的货币。
current	当前的	当前计划需要修改。
currently	目前	她目前在伦敦工作。
curtain	窗帘	请拉上窗帘。
custom	习俗	这是当地的习俗。
damage	损坏	风暴造成了严重损坏。
decade	十年	这个城市在十年内改变很大。
decorate	装饰	我们会装饰房间。
define	定义	请定义这个词。
definite	明确的	我们需要一个明确的答案。
definition	定义	查一下这个词的定义。
deliver	递送；发表	他们明天递送包裹。
departure	出发	我们的出发时间是早上八点。
despite	尽管	尽管下雨，我们还是散步了。
destination	目的地	巴黎是他们的最终目的地。
determine	决定；确定	测试会确定你的水平。
determined	坚定的	她决心成功。
development	发展	这个小镇发展很快。
diagram	图表	画一个简单的图表。
diamond	钻石	戒指上有一颗小钻石。
difficulty	困难	他开门有困难。
directly	直接地	请直接跟我说。
dirt	泥土	他的鞋子上满是泥土。
disadvantage	缺点	长途旅行是一个缺点。
disappointed	失望的	她对结果感到失望。
disappointing	令人失望的	结局令人失望。
discount	折扣	学生在这里有折扣。
dislike	不喜欢	我不喜欢很吵的音乐。
divide	分开；分割	把蛋糕分成几块。
documentary	纪录片	我们看了一部关于太空的纪录片。
donate	捐赠	很多人捐赠旧衣服。
doubt	怀疑	我对此毫不怀疑。
dressed	穿着衣服的	他穿着黑色衣服。
drum	鼓	鼓声传遍房间。
drunk	醉的	司机喝醉了。
due	到期的	报告明天到期。
dust	灰尘	灰尘覆盖了旧书。
duty	职责	帮助别人是我的职责。
earthquake	地震	地震损坏了桥。
eastern	东部的	东部海岸风很大。
economic	经济的	这个国家面临经济问题。
economy	经济	今年经济增长了。
edge	边缘	离边缘远一点。
editor	编辑	编辑检查了文章。
educate	教育	学校教育年轻人。
educated	受过教育的	她受过高等教育。
educational	有教育意义的	这个游戏有教育意义。
effective	有效的	这种药很有效。
effectively	有效地	她有效地解释了规则。
effort	努力	你的努力带来了改变。
election	选举	选举结果很接近。
element	要素	信任是重要要素。
embarrassed	尴尬的	摔倒后他感到尴尬。
embarrassing	令人尴尬的	那是一个令人尴尬的错误。
emergency	紧急情况	遇到紧急情况请打这个号码。
emotion	情绪	恐惧是一种强烈的情绪。
employment	就业	本月就业增加了。
encourage	鼓励	老师鼓励学生阅读。
enemy	敌人	这两个国家曾是敌人。
engaged	订婚的	他们去年春天订婚了。
engineering	工程学	她在大学学习工程学。
entertain	娱乐；招待	歌手会为客人表演。
entertainment	娱乐	这座城市提供夜间娱乐。
entrance	入口	在入口处见我。
entry	进入；条目	儿童免费入场。
environmental	环境的	我们讨论了环境问题。
episode	一集	最后一集很精彩。
equal	平等的；相等的	他们获得同等工资。
equally	同样地；平均地	工作被平均分配。
escape	逃跑	囚犯试图逃跑。
essential	必要的	水对生命是必要的。
eventually	最终	最后，我们找到了酒店。
examine	检查	医生检查了我的胳膊。
exchange	交换	我们在商店做了交换。
excitement	兴奋	比赛充满了兴奋。
exhibition	展览	艺术展明天开幕。
expand	扩大	公司计划扩大规模。
expected	预期的	预计费用很高。
expedition	探险	探险队穿越了沙漠。
experienced	有经验的	她是一名有经验的护士。
explode	爆炸	瓶子受热可能会爆炸。
explore	探索	我们探索了老城区。
explosion	爆炸	爆炸震碎了几扇窗户。
export	出口	咖啡是一项重要出口商品。
fairly	相当	这次考试相当容易。
familiar	熟悉的	她的脸看起来很熟悉。
fancy	想要	你想喝杯咖啡吗？
fascinating	迷人的	这个故事很迷人。
fashionable	时髦的	那双鞋很时髦。
fasten	系紧	系好安全带。
favour	帮忙；恩惠	你能帮我一个忙吗？
fence	栅栏	栅栏围着花园。
fighting	打斗；战斗	战斗在黎明停止。
file	文件	关闭前保存文件。
financial	财务的	她需要财务建议。
fitness	健康；体能	跑步能改善体能。
fixed	固定的	价格是固定的。
flag	旗帜	旗帜在学校上方飘扬。
flood	洪水	洪水损坏了许多房屋。
flour	面粉	把面粉加到碗里。
flow	流动	河水流过城镇。
fold	折叠	把纸对折。
folk	民间的；人们	大厅里响起民间音乐。
force	力量	风力很大。
forever	永远	我会永远记住这件事。
frame	框架；相框	这张照片需要一个相框。
freeze	结冰；冻结	水会在夜里结冰。
frequently	经常	他经常去看父母。
friendship	友谊	他们的友谊持续了多年。
frighten	使害怕	大声响会吓到婴儿。
frightened	害怕的	那个孩子看起来很害怕。
frightening	可怕的	这场暴风雨很可怕。
frozen	冰冻的	湖面结冰了。
fry	油煎；炒	把洋葱炒五分钟。
fuel	燃料	汽车需要更多燃料。
function	功能	这个按钮只有一个功能。
fur	毛皮	这只猫的毛很软。
garage	车库	汽车在车库里。
gather	聚集	我们围着桌子聚集。
generally	通常	她通常早到。
generation	一代	每一代都会面临新问题。
generous	慷慨的	他很慷慨地付出时间。
gentle	温柔的	用温柔的声音说话。
gentleman	绅士	那位绅士打开了门。
ghost	鬼魂	这个故事提到了鬼魂。
giant	巨大的	一个巨大的屏幕填满了舞台。
glad	高兴的	我很高兴你来了。
global	全球的	气候变化是全球问题。
glove	手套	我丢了一只手套。
goods	商品	货物到得很晚。
grade	成绩；等级	她得了高分。
graduate	毕业生	他是最近的毕业生。
grain	谷粒；谷物	一粒米掉了下来。
grateful	感激的	我感谢你的支持。
growth	增长；生长	这株植物稳定生长。
guard	警卫	警卫检查了我们的票。
guilty	内疚的；有罪的	他因说谎感到内疚。
hang	悬挂	把你的外套挂在这里。
happiness	幸福	金钱买不到幸福。
hardly	几乎不	我几乎听不见你说话。
headline	标题	这个标题吸引了我的注意。
heating	暖气	暖气停止工作了。
heavily	猛烈地	雨下了一整夜。
helicopter	直升机	一架直升机在附近降落。
highlight	突出显示；强调	请突出主要观点。
highly	高度地	她受到高度尊重。
hire	租用；雇用	我们需要租一辆车。
historic	有历史意义的	我们参观了一座有历史意义的建筑。
historical	历史的	她喜欢历史小说。
honest	诚实的	请给出诚实的回答。
horrible	可怕的	气味很可怕。
horror	恐怖	他喜欢恐怖电影。
host	主人；主持人	主人欢迎了每位客人。
