simplified	TL	example_TL
报仇	maghiganti	Ayaw niyang maghiganti, gusto lang niyang magsimulang muli.
报答	gumanti ng kabutihan	Gagantihan ko ang tulong mo sa pamamagitan ng gawa.
报复	paghihiganti	Lalo lamang lalalim ang tunggalian dahil sa paghihiganti.
报警	tumawag sa pulis	Pagkakita ng sunog, dapat agad tumawag sa pulis.
报销	ipa-reimburse	Maaaring ipa-reimburse ang gastos sa biyahe.
抱负	ambisyon	Bata pa siya ay mayroon na siyang malaking ambisyon.
暴力	karahasan	Tinututulan namin ang anumang anyo ng karahasan.
暴露	mailantad	Unti-unting nailantad ang problemang ito.
曝光	maisiwalat	Nang maisiwalat ang litratong ito, nakakuha ito ng pansin.
爆发	sumabog; pumutok	Biglang pumutok ang bulkan.
爆炸	pagsabog	Nagkaroon ng pagsabog sa laboratoryo.
卑鄙	kasuklam-suklam	Nakagagalit ang kasuklam-suklam na paraang ito.
悲哀	malungkot	Nang marinig ang balita, nakaramdam siya ng matinding lungkot.
悲惨	kalunos-lunos	Iyon ay isang kalunos-lunos na yugto ng kasaysayan.
北极	Arktiko	Nagsasagawa ng pananaliksik ang mga siyentipiko sa Arktiko.
备份	backup; kopyang panseguridad	Gumawa muna ng kopyang panseguridad ng mahahalagang file.
备忘录	memo	Isinulat niya sa memo ang mahahalagang punto.
背叛	pagtataksil	Hindi niya matanggap ang pagtataksil ng kaibigan.
背诵	bigkasin mula sa memorya	Binibigkas ng mga estudyante ang teksto mula sa memorya.
被动	pasibo	Hindi tayo dapat maging masyadong pasibo sa negosasyon.
被告	akusado	Itinanggi ng akusado ang lahat ng paratang.
贝壳	kabibe	Pumulot ng kabibe ang bata sa dalampasigan.
奔波	magpagod sa pag-aasikaso	Nagpapagod siya sa pag-aasikaso sa iba't ibang lugar dahil sa trabaho.
奔驰	humagibis	Humagibis ang kotse sa expressway.
本能	likas na ugali	Likas na ugali ng magulang ang protektahan ang anak.
本钱	puhunan	Kailangan ng puhunan sa pagnenegosyo.
本人	ako mismo	Ako mismo ay handang managot.
本身	mismo	Walang problema ang plano mismo.
本事	kakayahan	Napakahusay ng kanyang kakayahan.
笨拙	asiwa	Medyo asiwa ang mga galaw niya.
崩溃	bumagsak	Biglang bumagsak ang sistema.
甭	hindi na kailangan	Hindi mo na kailangang mag-alala tungkol dito.
蹦	tumalon-talon	Tumatalon-talon ang tuta sa damuhan.
迸发	bumulwak	Bumulwak ang palakpakan mula sa karamihan.
逼迫	pilitin	Pinilit nila siyang pumirma sa kontrata.
鼻涕	sipon	May sipon ang bata at tuloy-tuloy ang pagtulo nito.
比方	halimbawa	Halimbawa, maaari muna nating subukan nang isang buwan.
比喻	talinghaga	Napakamalinaw ng talinghagang ito.
比重	proporsiyon	Pataas nang pataas ang proporsiyon ng industriya ng serbisyo.
鄙视	hamakin	Huwag hamakin ang pagsisikap ng iba.
弊病	problema	Maraming problema ang sistemang ito.
弊端	kakulangan	Nalutas ng bagong plano ang mga kakulangan ng lumang sistema.
臂	braso	Nasugatan ang kanan niyang braso.
闭塞	liblib; mahirap marating	Dati ay mahirap marating ang nayon sa bundok na ito.
编织	maghabi; maggantsilyo	Naghahabi ng panglamig si lola.
边疆	hangganang lupain	Maraming sundalo ang nagbabantay sa hangganang lupain ng bansa.
边界	hangganan	Muling itinakda ng dalawang bansa ang hangganan.
边境	lugar sa hangganan	Pinaigting ang pagsusuri sa seguridad sa mga lugar sa hangganan.
边缘	gilid	Nakalagay ang tasa sa gilid ng mesa.
鞭策	mag-udyok	Palagi akong inuudyukan ng mga salita ng guro.
扁	patag at lapad	Malapad at patag ang kahong ito.
贬低	maliitin	Huwag basta maliitin ang pagsisikap ng iba.
贬义	negatibong kahulugan	May negatibong kahulugan ang salitang ito rito.
便利	maginhawa	Ginawang mas maginhawa ng subway ang paglalakbay.
便条	maikling tala	Nag-iwan siya ng maikling tala sa mesa.
便于	madaling gamitin	Ang disenyong ito ay madaling gamitin ng matatanda.
变故	di-inaasahang pangyayari	Biglang may di-inaasahang pangyayari sa pamilya.
变迁	pagbabago	Marami siyang naisip dahil sa pagbabago ng lungsod.
变质	masira	Masisira ang gatas kapag matagal na naiwan.
辨认	kilalanin; tukuyin	Pinakilala sa kanya ng pulis ang tao sa larawan.
辩护	ipagtanggol	Nagtanggol ang abogado para sa akusado.
辩解	magbigay-katwiran	Sinubukan niyang bigyang-katwiran ang sarili niyang pagkakamali.
辩证	diyalektiko	Dapat nating tingnan ang problemang ito nang diyalektiko.
辫子	tirintas	May dalawang tirintas ang batang babae.
遍布	laganap	Laganap sa buong bansa ang halamang ito.
标本	ispesimen	Naka-display sa museo ang mga ispesimen ng hayop.
标记	marka	Pakilagyan ng marka ang tabi ng mahahalagang talata.
标题	pamagat	Kaakit-akit ang pamagat ng artikulong ito.
表决	bumoto	Bobotohan ng mga kinatawan ang panukala.
表态	magpahayag ng posisyon	Hindi pa siya hayagang nagpapahayag ng posisyon.
表彰	parangalan	Pinarangalan ng kumpanya ang mahuhusay na empleyado.
憋	pigilin	Pinigil niya ang tawa at hindi nagsalita.
别墅	bilya	Bumili sila ng isang bilya sa labas ng lungsod.
别致	kakaiba	Kakaiba ang dekorasyon ng kapihang ito.
别扭	asiwa	Medyo asiwa pakinggan ang pangungusap na ito.
濒临	nasa bingit	Nasa bingit ng pagkalipol ang hayop na ito.
冰雹	yelo mula sa ulan	Malakas ang bagsak ng yelo mula sa ulan kahapon ng hapon.
丙	ikatlong pangkat	Magsisimula sa hapon ang laban ng ikatlong pangkat.
并非	hindi naman	Hindi naman ganoon ang nangyari gaya ng iniisip mo.
并列	magtabla	Nagtabla sa unang puwesto ang dalawang proyektong ito.
剥削	pagsasamantala	Matinding pagsasamantala ang umiiral sa lumang lipunan.
拨	i-dial	Paki-dial ang numerong ito.
播种	maghasik ng binhi	Nagsisimulang maghasik ng binhi ang mga magsasaka sa tagsibol.
波浪	alon	Malalaking alon ang umangat sa dagat.
波涛	malalaking alon	Umandar ang bangka sa gitna ng malalaking alon.
伯母	tiya	Bibisitahin ko ang aking tiya sa katapusan ng linggo.
博大精深	malawak at malalim	Malawak at malalim ang kulturang Tsino.
博览会	eksposisyon	Maraming kumpanya ang nahikayat ng internasyonal na eksposisyon.
搏斗	makipaglaban	Nakipaglaban ang pulis sa kriminal.
薄弱	mahina	Medyo mahina ang pundasyon niya sa gramatika.
不顾	walang pakialam sa	Walang pakialam sa panganib, sumugod siya sa loob.
不愧	tunay na karapat-dapat	Tunay siyang karapat-dapat tawaging bihasang eksperto.
不料	hindi inaasahan	Hindi inaasahan, biglang nakansela ang pulong.
不像话	hindi katanggap-tanggap	Hindi katanggap-tanggap ang ganitong pagtrato mo sa bisita.
不屑一顾	balewalain nang may paghamak	Binalewala niya nang may paghamak ang mga tsismis na ito.
哺乳	magpasuso	Nagpapasuso ang ina sa sanggol.
捕捉	mahuli; makuha	Nakuha ng potograpo ang napakagandang sandali.
补偿	bayaran; tumbasan	Babayaran ng kumpanya ang iyong pagkalugi.
补救	maisalba	May panahon pa tayong maisalba ito.
补贴	subsidyo	Nagbibigay ang pamahalaan ng subsidyo sa mga pamilyang mababa ang kita.
不得已	walang ibang pagpipilian	Umalis siya sa bayan dahil wala siyang ibang pagpipilian.
不妨	mabuti ring	Mabuti ring pakinggan mo muna ang paliwanag niya.
不敢当	hindi karapat-dapat sa papuri	Hindi talaga ako karapat-dapat sa ganoong papuri ninyo.
不禁	hindi mapigilan	Nang marinig ang balita, hindi niya mapigilang tumawa.
不堪	hindi matiis	Hindi matiis ang ingay dito.
不可思议	hindi kapani-paniwala	Hindi kapani-paniwala ang resultang ito.
不免	hindi maiwasan	Sa unang pag-akyat sa entablado, hindi niya maiwasang kabahan.
不时	paminsan-minsan	Paminsan-minsan siyang tumitingin sa orasan.
不惜	hindi mag-atubili	Para iligtas ang tao, hindi siya nag-atubiling sumugal.
不相上下	magkapantay ang lakas	Magkapantay ang lakas ng dalawang koponan.
不言而喻	maliwanag na	Maliwanag na mahalaga ang katapatan.
不由得	hindi maiwasang	Nang makita ang lumang larawan, hindi niya maiwasang maalala ang pagkabata.
不择手段	gumamit ng anumang paraan	Gumagamit siya ng anumang paraan para kumita.
不止	higit sa	Higit sa isang daang tao ang dumalo sa pulong.
布告	patalastas	May nakapaskil na patalastas sa pintuan ng paaralan.
布局	ayos	Makatwiran ang ayos ng apartment na ito.
布置	mag-atas; mag-ayos	Nag-atas ang guro ng bagong takdang-aralin.
步伐	hakbang	Umabante ang pangkat sa maayos na mga hakbang.
部署	ipatupad ang plano	Ipinapatupad ng kumpanya ang bagong plano sa benta.
部位	bahagi	Sinuri ng doktor ang nasugatang bahagi.
才干	kakayahan	May kakayahan siya sa pamamahala.
裁缝	mananahi	Napakahusay ng mananahing ito.
裁判	reperi	Inihayag ng reperi na pansamantalang ihihinto ang laro.
裁员	magbawas ng kawani	Nagpasya ang kumpanya na magbawas ng kawani dahil sa pagkalugi.
财富	yaman	Ang kaalaman ay isang uri rin ng yaman.
财务	pananalapi	Sinusuri ng departamento ng pananalapi ang mga account.
财政	piskal na kita	Medyo tumaas ang piskal na kita ngayong taon.
彩票	tiket sa lotto	Paminsan-minsan siyang bumibili ng tiket sa lotto.
采购	bumili para sa kumpanya	Nagpadala ang kumpanya ng tao upang bumili ng kagamitan.
采集	mangolekta	Nangolekta ng mga sample ang mga mananaliksik sa kagubatan.
采纳	tanggapin	Tinanggap ng pinuno ang aming mungkahi.
参谋	tagapayo	Madalas siyang maging tagapayo ng manager.
参照	sundin bilang batayan	Pakisagutan ang form ayon sa format na ito.
残疾	may kapansanan	Nagbibigay ng tulong ang istasyong ito sa mga pasaherong may kapansanan.
残酷	malupit	Napakalupit ng digmaan.
残留	natitira	Nananatili pa rin ang amoy ng kape sa tasa.
残忍	malupit	Ang pag-abuso sa hayop ay malupit na gawain.
灿烂	maliwanag	Nagpakita siya ng maliwanag na ngiti.
仓促	minadali	Masyadong minadali ang desisyong ito.
仓库	bodega	Naihatid na ang mga kalakal sa bodega.
舱	kabina	Pumapasok na ang mga pasahero sa kabina ng eroplano.
苍白	maputla	Mukhang maputla ang mukha niya.
操劳	magpagod para sa	Inalagaan at pinagpaguran ni ina ang pamilyang ito nang maraming taon.
操练	magsanay	Nagsasanay ang mga sundalo tuwing umaga.
操纵	kontrolin	Kinokontrol ng computer ang makinang ito.
操作	paandarin	Pakiandarin ang kagamitan ayon sa mga tagubilin.
嘈杂	maingay	Maingay sa loob ng istasyon.
草案	burador	Tinatalakay ng komite ang burador.
草率	pabaya	Hindi maaaring maging pabaya sa ganitong mahalagang desisyon.
侧面	tagiliran	Mula sa tagiliran, mas mataas tingnan ang gusaling ito.
测量	sukatin	Sinusukat ng inhinyero ang haba ng tulay.
策划	planuhin	Nagplano sila ng isang malaking aktibidad.
策略	estratehiya	Nakatulong ang estratehiyang ito sa kumpanya na bawasan ang gastos.
层出不穷	sunud-sunod na lumilitaw	Sunud-sunod na lumilitaw ang mga bagong problema.
层次	antas; pagkakaayos	Napakalinaw ang pagkakaayos ng artikulong ito.
差别	pagkakaiba	Hindi malaki ang pagkakaiba ng dalawang paraan.
插座	saksakan	Hindi sapat ang mga saksakan sa kuwartong ito.
查获	masamsam	Nasamsam ng customs ang isang pangkat ng pekeng produkto.
刹那	saglit	Sa isang saglit, namatay ang lahat ng ilaw.
岔	sangandaan	Naghiwalay ang mga sasakyan sa susunod na sangandaan.
诧异	mamangha	Namangha ang lahat sa desisyon niya.
柴油	diesel	Gumagamit ng diesel ang trak na ito.
搀	alalayan	Inalalayan ng nars ang matanda papasok sa ward.
缠绕	pumulupot	Pumulupot ang baging sa mga sanga.
馋	nanabik sa pagkain	Nang makita ang cake, nanabik ang bata.
产业	industriya	Mahalagang industriya rito ang turismo.
阐述	ipaliwanag nang detalyado	Detalyadong ipinaliwanag ng propesor ang kanyang pananaw.
颤抖	manginig	Nanginginig ang buong katawan niya sa lamig.
昌盛	maunlad	Nais naming maging maunlad ang bansa.
偿还	bayaran	Binayaran niya ang utang sa takdang oras.
尝试	subukan	Maaari nating subukan ang bagong paraan.
场合	okasyon	Hindi angkop magbiro sa ganitong okasyon.
场面	tagpo	Napakasigla ng tagpo sa kasal.
场所	lugar	Pampublikong lugar ito, huwag manigarilyo.
敞开	buksang maluwag	Pakibuksan nang maluwag ang bintana sandali.
倡导	itaguyod	Itinataguyod ng paaralan ang malusog na pamumuhay.
倡议	inisyatiba	Sinuportahan ang inisyatibang ito para sa kapaligiran.
畅通	maluwag ang daloy	Matapos tumigil ang ulan, naging maluwag ang daloy sa kalsada.
畅销	mabentang-mabenta	Mabentang-mabenta ang nobelang ito.
超越	malampasan	Sa wakas nalampasan niya ang sariling rekord.
钞票	salaping papel	Ilang salaping papel na lang ang natira sa pitaka.
嘲笑	pagtawanan	Huwag pagtawanan ang kahinaan ng iba.
巢穴	pugad	Natuklasan ng mangangaso ang pugad ng hayop.
朝代	dinastiya	Ang Tang ay isang dinastiya sa kasaysayan ng Tsina.
潮流	uso	Maingat na sinusubaybayan ng mga kabataan ang uso sa moda.
撤退	umatras	Umatras ang hukbo matapos makatanggap ng utos.
撤销	bawiin	Binawi ng korte ang orihinal na hatol.
沉淀	lumubog	Unti-unting lulubog ang putik at buhangin.
沉闷	mabigat at maalinsangan	Mainit at mabigat ang panahon ngayon.
沉思	magmuni-muni	Nakaupo siya sa tabi ng bintana at nagmumuni-muni.
沉重	mabigat	Nagpabigat sa loob ng lahat ang balitang ito.
沉着	kalmado	Dapat manatiling kalmado kapag may panganib.
陈旧	luma	Lumang-luma na ang makinang ito.
陈列	maipakita	Maraming relikya ang naka-display sa bulwagan ng eksibisyon.
陈述	ilahad	Pakiilahad nang malinaw ang mga katotohanan.
称心如意	nakalulugod	Nakalulugod sa kanya ang trabahong ito.
衬托	palitawin	Pinalilitaw ng puting dingding ang kulay ng mga bulaklak.
称号	titulo	Natanggap niya ang titulo ng mahusay na guro.
乘	sumakay	Araw-araw akong sumasakay ng subway papunta sa trabaho.
呈现	magpakita	Nagpakita ng mapusyaw na pula ang langit.
城堡	kastilyo	May lumang kastilyo sa tuktok ng bundok.
惩罚	parusahan	Parurusahan ng paaralan ang mga estudyanteng nandaraya.
成本	gastos	Ang pagtaas ng presyo ng hilaw na materyales ay nagtaas ng gastos.
成交	matapos ang transaksyon	Sa wakas natapos ang transaksyong ito.
成天	buong araw	Buong araw siyang nakaupo sa harap ng computer.
成效	resulta	Agad na nagpakita ng resulta ang bagong paraan ng pamamahala.
成心	sinadya	Hindi niya sinadyang ipahiya ka.
成员	miyembro	Kailangang dumalo sa pulong ang bawat miyembro.
承办	mamahala sa pag-oorganisa	Ang kumpanyang ito ang namahala sa pag-oorganisa ng eksibisyon.
承包	kontratahin	Kinontrata nila ang proyektong ito.
承诺	mangako	Nangako siyang tatapusin ang gawain sa oras.
橙	kahel	Bumili ako ng ilang sariwang kahel.
澄清	linawin	Lumabas ang manager upang linawin ang hindi pagkakaunawaan.
盛	sandukan	Sinandukan niya ng isang mangkok na sabaw ang bisita.
诚挚	taos-puso	Tanggapin ninyo ang aking taos-pusong pasasalamat.
秤	timbangan	Hindi masyadong tumpak ang timbangang ito.
吃苦	tiisin ang hirap	Dapat matutong tiisin ng kabataan ang hirap.
吃力	mahirap gawin	Mahirap buhatin ang kahong ito.
持久	pangmatagalan	Kailangan ng tagumpay ang pangmatagalang pagsisikap.
迟钝	mabagal ang reaksiyon	Medyo mabagal ang reaksiyon niya nitong mga araw.
迟缓	mabagal	Bumagal ang trapiko matapos ang ulan.
迟疑	mag-atubili	Nag-atubili siya sandali bago sumagot.
赤道	ekwador	Mainit buong taon malapit sa ekwador.
赤字	depisit	Nagkaroon ng depisit ang kumpanya ngayong taon.
充当	gumanap bilang	Gumanap siya bilang tagapag-ugnay sa proyekto.
充沛	sagana	Napakasagana ng enerhiya ng mga bata.
充实	makabuluhan	Ginawang mas makabuluhan ng karanasang ito ang buhay ko.
充足	sapat	Dapat maghanda ng sapat na tubig bago bumiyahe.
冲动	silakbo	Huwag magpasya dahil sa pansamantalang silakbo.
冲击	epekto	Malaki ang epekto ng bagong teknolohiya sa tradisyonal na industriya.
冲突	salungatan	Nagsikap ang dalawang panig na iwasan ang salungatan.
崇拜	humanga	Maraming kabataan ang humahanga sa siyentipikong ito.
崇高	marangal	Marangal ang tungkulin ng doktor.
崇敬	lubos na igalang	Lubos na iginagalang ng mga estudyante ang gurong ito.
重叠	mag-overlap	Bahagyang nag-o-overlap ang dalawang gawaing ito.
稠密	siksik	Napakasiksik ng populasyon dito.
筹备	paghahanda	Naghahanda sila para sa kasal.
丑恶	pangit at masama	Inilantad niya ang pangit at masamang katotohanan sa likod ng pangyayari.
出路	daan pasulong	Maaaring magbigay ang edukasyon ng mas maraming daan pasulong sa kabataan.
出卖	ipagkanulo	Hindi niya ipagkakanulo ang kaibigan.
出身	pinagmulan	Nagmumula siya sa karaniwang pamilya.
出神	mahulog ang loob sa pakikinig	Nahulog ang loob niya sa pakikinig ng musika.
出息	magandang kinabukasan	Magkakaroon ng magandang kinabukasan ang batang ito.
初步	paunang	Nakamit na namin ang paunang kasunduan.
除	maliban sa	Dumating na ang lahat maliban sa kanya.
储备	magreserba	Kailangang magreserba ng mas maraming pondo ang kumpanya.
储存	imbakin	Awtomatikong maiimbak ang mga datos na ito.
储蓄	mag-ipon	Bawat buwan ay nag-iipon siya ng bahagi ng suweldo.
处分	disiplinaryong parusa	Binigyan siya ng paaralan ng mabigat na disciplinaryong parusa.
处境	kalagayan	Napakihirap ng kalagayan nila ngayon.
处置	asikasuhin	Kailangang asikasuhin nang maayos ang lumang kagamitang ito.
触犯	lumabag	Lalabag sa batas ang paggawa nito.
川流不息	tuloy-tuloy ang daloy	Tuloy-tuloy ang daloy ng mga sasakyan sa kalye.
穿越	dumaan sa	Dumaan ang tren sa mahabang lagusan.
传达	iparating	Pakiiparating ang balitang ito sa lahat.
传单	flyer	Namigay ng flyer ang mga boluntaryo sa kalye.
传授	ituro; ipasa	Itinuro ng guro ang karanasan sa mga estudyante.
船舶	sasakyang pandagat	Maraming sasakyang pandagat ang nakadaong sa daungan.
喘气	hingalin	Patuloy siyang hingal matapos tumakbo.
串	pagtuhugin	Itinuhog niya ang mga butil bilang kuwintas.
床单	kobrekama	Pakipalitan ang kobrekama.
创立	itaguyod; itatag	Magkasama nilang itinatag ang kumpanyang ito.
创新	magbago ng ideya	Kailangan ng negosyo ang tuloy-tuloy na pagbabago ng ideya.
创业	magsimula ng negosyo	Maraming kabataan ang pinipiling magsimula ng negosyo.
创作	lumikha	Lumilikha ang manunulat ng isang mahabang nobela.
吹牛	magyabang	Huwag magyabang, magpakita ng ebidensiya.
吹捧	purihin nang sobra	Sobra ang pagpuri ng media sa produktong ito.
炊烟	usok mula sa kusina	Sa takipsilim, umangat ang usok mula sa kusina sa nayon.
垂直	patayo	Magkapatayo ang dalawang linyang ito.
锤	martilyo	Pinalo ng manggagawa ang bakal na plato gamit ang martilyo.
纯粹	puro	Puro kabutihang-loob ang tulong niya.
纯洁	dalisay	Dalisay ang puso ng bata.
慈善	kawanggawa	Madalas sumali ang kumpanyang ito sa mga gawaing kawanggawa.
慈祥	mabait at maamo	Mabait at maamo ang ngiti ni lola.
磁带	cassette tape	Maipapatugtog pa ang lumang cassette tape na ito.
雌雄	lalaki at babae	Magkaiba ang kulay ng lalaki at babaeng ibon ng uring ito.
伺候	alagaan	Maingat na inalagaan ng nars ang pasyente.
刺	tinik	Maraming tinik sa sanga ng rosas.
次品	depektibong produkto	Hindi maaaring ibenta ang mga depektibong produktong ito.
次序	pagkakasunod-sunod	Pumila ayon sa pagkakasunod-sunod.
丛	kumpol	May kumpol ng ligaw na bulaklak sa tabi ng daan.
从容	kalmado	Kalmado niyang sinagot ang tanong.
凑合	pwede na	Hindi malaki ang kuwarto, pero pwede na itong tirahan.
粗鲁	bastos	Masyadong bastos siyang magsalita.
窜	sumibad	Biglang sumibad papasok sa bahay ang pusang iyon.
摧残	wasakin	Sisirain ng pangmatagalang polusyon ang kagubatang ito.
脆弱	marupok	Napakarupok ng mga produktong salamin.
搓	kuskusin	Kinusot niya ang malamig niyang mga kamay.
磋商	makipagsangguni	Patuloy na makikipagsangguni ang dalawang panig.
挫折	kabiguan	Nakaranas ng kabiguan ang bawat tao.
搭	sumakay	Sasakay kami ng bus papunta sa paliparan.
搭档	kapareha sa trabaho	Matagal ko na siyang kapareha sa trabaho.
搭配	bagay sa	Bagay ang jaket na ito sa pantalon.
答辩	depensa ng tesis	Naghahanda ang graduate student para sa depensa ng tesis.
答复	tugon	Pakibigyan ako ng tugon sa lalong madaling panahon.
达成	maabot	Sa wakas naabot ng dalawang panig ang kasunduan.
打包	ibalot	Tinulungan kami ng waiter na ibalot ang tirang pagkain.
打官司	magsampa ng kaso	Nagsampa sila ng kaso dahil sa problema sa kontrata.
打击	dagok	Malaking dagok sa kanya ang pagkabigong ito.
打架	makipag-away	Parurusahan ang mga estudyanteng makikipag-away sa campus.
打量	tingnan mula ulo hanggang paa	Tiningnan niya ako mula ulo hanggang paa.
打猎	mangaso	Ipinagbabawal ang pangangaso rito.
打仗	makidigma	Walang gustong makidigma.
大不了	pinakamalala na	Pinakamalala na ay susubukan natin ulit bukas.
大臣	ministro	Ipinatawag ng hari ang ilang ministro.
大伙儿	lahat	Lahat ay naghihintay sa desisyon mo.
大肆	malakihan	Malakihang ipinromote ng negosyante ang bagong produkto.
大体	sa kabuuan	Sa kabuuan, walang problema ang plano.
大意	pangunahing diwa	Pakiuna munang sabihin ang pangunahing diwa ng artikulong ito.
大致	humigit-kumulang	Humigit-kumulang naunawaan ko ang nangyari.
歹徒	kriminal	Mabilis na nahuli ng pulis ang kriminal.
代价	kapalit	Kadalasang kailangang magbayad ng kapalit para sa tagumpay.
代理	pansamantalang humalili	Pansamantala siyang humahalili sa trabaho ng manager.
带领	pamunuan	Pinamunuan ng guro ang mga estudyante sa pagbisita sa museo.
怠慢	pabayaan	Hindi natin dapat pabayaan ang mga bisita.
逮捕	arestuhin	Inaresto ng pulisya ang pangunahing suspek.
担保	garantiya	Nangangailangan ang bangko ng taong magbibigay ng garantiya.
胆怯	mahiyain at takot	Medyo natakot siya sa unang talumpati.
淡季	di-abalang panahon	Mas mura ang tiket sa eroplano sa di-abalang panahon ng turismo.
淡水	tubig-tabang	Sa tubig-tabang lamang nabubuhay ang isdang ito.
蛋白质	protina	Mayaman sa protina ang itlog.
诞辰	anibersaryo ng kapanganakan	Ngayon ang anibersaryo ng kapanganakan ng manunulat na ito.
诞生	ipanganak	Nabuo ang ideyang ito sa talakayan.
当场	agad sa lugar	Inamin niya agad sa lugar ang pagkakamali.
当初	noong simula	Noong simula, suportado naming lahat ang desisyong ito.
当代	kontemporaryo	Mabilis magbago ang kontemporaryong lipunan.
当面	harapan	Mas mabuting linawin nang harapan kung may problema.
当前	sa kasalukuyan	Sa kasalukuyan, pinakamahalaga ang pagtiyak sa kaligtasan.
当事人	taong sangkot	Tinatanong ng pulis ang taong sangkot.
当务之急	pinakamadaling dapat unahin	Ang paglutas sa problema sa pabahay ang pinakamadaling dapat unahin.
当选	mahalal	Matagumpay siyang nahalal bilang tagapangulo.
党	partido	Nagmungkahi ng bagong patakaran ang partidong ito.
档案	talaan	Iningatan ng paaralan ang talaan ng mga estudyante.
档次	antas	Mataas ang antas ng hotel na ito.
倒闭	magsara	Nagsara noong nakaraang taon ang maliit na tindahang iyon.
导弹	misayl	Ibinalita ang pagsubok ng misayl.
