source_headword	TH	example_TH
sheet	ผ้าปูที่นอน	วางผ้าปูที่นอนบนเตียง.
ship	เรือ	เรือออกไปวันนี้.
shoulder	ไหล่	ไหล่ของฉันเจ็บ.
shout	ตะโกน	อย่าตะโกนในชั้นเรียน.
shut	ปิด	กรุณาปิดหน้าต่าง.
side	ด้าน	นั่งด้านนี้.
sign	ป้าย	อ่านป้ายอย่างระมัดระวัง.
silver	เงิน	เงินเป็นโลหะที่สว่าง.
simple	ง่าย	แบบฝึกหัดนี้ง่าย.
since	ตั้งแต่	ฉันรอตั้งแต่เที่ยง.
singing	การร้องเพลง	การร้องเพลงช่วยให้ฉันผ่อนคลาย.
single	เดี่ยว	ฉันซื้อตั๋วเที่ยวเดียว.
sir	คุณผู้ชาย	คุณผู้ชายกระเป๋าของคุณพร้อมแล้ว.
site	เว็บไซต์	เว็บไซต์นี้ปลอดภัย.
size	ขนาด	คุณต้องการขนาดอะไร.
ski	เล่นสกี	เราเล่นสกีในฤดูหนาว.
skiing	การเล่นสกี	การเล่นสกีสนุกในฤดูหนาว.
skin	ผิวหนัง	ผิวของเธอรู้สึกแห้ง.
sky	ท้องฟ้า	ท้องฟ้าแจ่มใส.
slowly	อย่างช้าๆ	เดินอย่างช้าๆบนน้ำแข็ง.
smartphone	สมาร์ตโฟน	สมาร์ตโฟนของฉันใหม่.
smell	กลิ่น	ซุปมีกลิ่นดี.
smile	ยิ้ม	ยิ้มให้กล้อง.
smoke	ควัน	ควันเต็มห้อง.
smoking	การสูบบุหรี่	ไม่อนุญาตให้สูบบุหรี่.
soap	สบู่	ใช้สบู่กับน้ำ.
soccer	ฟุตบอล	ฟุตบอลเป็นที่นิยมที่นี่.
social	ทางสังคม	นี่เป็นงานสังคม.
society	สังคม	สังคมเปลี่ยนไปตามเวลา.
sock	ถุงเท้า	ถุงเท้าข้างหนึ่งหายไป.
soft	นุ่ม	ผ้าห่มนี้นุ่ม.
soldier	ทหาร	ทหารกลับบ้าน.
solution	ทางแก้	เราพบทางแก้แล้ว.
solve	แก้	แก้ปริศนานี้.
somewhere	ที่ไหนสักแห่ง	วางมันไว้ที่ไหนสักแห่งที่ปลอดภัย.
sort	ชนิด	คุณต้องการชนิดไหน.
source	แหล่งที่มา	ตรวจแหล่งที่มาก่อน.
speaker	ลำโพง	ลำโพงเสียงดัง.
specific	เฉพาะเจาะจง	ฉันต้องการคำตอบที่เฉพาะเจาะจง.
speech	คำปราศรัย	คำปราศรัยของเธอสั้น.
speed	ความเร็ว	ลดความเร็วของคุณตรงนี้.
spider	แมงมุม	มีแมงมุมอยู่บนผนัง.
spoon	ช้อน	ใช้ช้อนสำหรับซุป.
square	สี่เหลี่ยม	วาดกล่องสี่เหลี่ยม.
stage	เวที	วงดนตรีอยู่บนเวที.
stair	ขั้นบันได	ขั้นบันไดเสีย.
stamp	แสตมป์	ติดแสตมป์บนจดหมาย.
state	บอก	บอกชื่อของคุณให้ชัดเจน.
steal	ขโมย	อย่าขโมยเงิน.
step	ก้าว	ก้าวไปข้างหน้าหนึ่งก้าว.
stomach	ท้อง	ท้องของฉันเจ็บ.
stone	ก้อนหิน	ก้อนหินหนัก.
store	ร้านค้า	ร้านค้าปิดเร็ว.
storm	พายุ	พายุกำลังมา.
straight	ตรง	กลับบ้านตรงๆ.
strange	แปลก	เสียงนั้นแปลก.
strategy	กลยุทธ์	เราต้องการกลยุทธ์.
stress	ความเครียด	งานอาจทำให้เกิดความเครียด.
structure	โครงสร้าง	โครงสร้างนี้แข็งแรง.
stupid	โง่	นั่นเป็นความผิดพลาดที่โง่.
succeed	ประสบความสำเร็จ	คุณสามารถประสบความสำเร็จที่นี่.
successful	ประสบความสำเร็จ	เธอกลายเป็นคนประสบความสำเร็จ.
such	เช่นนั้น	ความช่วยเหลือเช่นนั้นมีประโยชน์.
suddenly	ทันใดนั้น	ทันใดนั้นสุนัขก็วิ่งหนีไป.
suggest	เสนอแนะ	ฉันเสนอแนะให้พักสั้นๆ.
suggestion	ข้อเสนอแนะ	ข้อเสนอแนะของคุณมีประโยชน์.
suit	ชุดสูท	ชุดสูทนี้แพง.
support	สนับสนุน	เราสนับสนุนทีมของเรา.
suppose	คิดว่า	ฉันคิดว่าคุณพูดถูก.
surprise	ความประหลาดใจ	ความประหลาดใจทำให้เธอมีความสุข.
surprised	ประหลาดใจ	เธอประหลาดใจวันนี้.
surprising	น่าประหลาดใจ	ผลลัพธ์น่าประหลาดใจ.
survey	แบบสำรวจ	กรุณาทำแบบสำรวจให้เสร็จ.
sweet	หวาน	ชานี้หวาน.
symbol	สัญลักษณ์	สัญลักษณ์นี้หมายถึงอันตราย.
system	ระบบ	ระบบทำงานได้ดี.
tablet	แท็บเล็ต	แท็บเล็ตของฉันอยู่บนโต๊ะ.
target	เป้าหมาย	เล็งเป้าหมายอย่างระมัดระวัง.
task	งาน	งานนี้ง่าย.
taste	ชิม	ชิมซุปก่อน.
teaching	การสอน	การสอนเป็นงานที่ยาก.
technology	เทคโนโลยี	เทคโนโลยีเปลี่ยนแปลงอย่างรวดเร็ว.
teenage	วัยรุ่น	น้องชายวัยรุ่นของฉันเรียนหนัก.
temperature	อุณหภูมิ	อุณหภูมิต่ำ.
term	ภาคเรียน	ภาคเรียนนี้จะจบเร็วๆนี้.
themselves	ด้วยตัวเอง	พวกเขาทำอาหารเย็นด้วยตัวเอง.
thick	หนา	หนังสือเล่มนี้หนา.
thief	ขโมย	ขโมยวิ่งหนีไป.
thin	บาง	กระดาษบาง.
thinking	การคิด	การคิดต้องใช้เวลา.
thought	ความคิด	ฉันมีความคิดแปลกๆ.
throw	โยน	โยนลูกบอลเบาๆ.
tidy	เรียบร้อย	รักษาห้องของคุณให้เรียบร้อย.
tie	ผูก	ผูกรองเท้าของคุณตอนนี้.
tip	ทิป	ให้ทิปสำหรับบริการ.
tool	เครื่องมือ	ใช้เครื่องมือที่ถูกต้อง.
top	บนสุด	ชั้นบนสุดเต็มแล้ว.
touch	แตะ	อย่าแตะแก้ว.
tour	ทัวร์	เราไปทัวร์เมือง.
tourism	การท่องเที่ยว	การท่องเที่ยวช่วยเมืองนี้.
towards	ไปทาง	เดินไปทางสถานี.
towel	ผ้าขนหนู	นำผ้าขนหนูสะอาดมาด้วย.
tower	หอคอย	หอคอยเก่ามาก.
toy	ของเล่น	รถของเล่นสีแดง.
track	ทาง	ทางนี้ไปทางเหนือ.
tradition	ประเพณี	ประเพณีนี้เก่าแก่.
traditional	ดั้งเดิม	เธอสวมเสื้อผ้าแบบดั้งเดิม.
trainer	ผู้ฝึกสอน	ผู้ฝึกสอนของฉันช่วยได้มาก.
training	การฝึกอบรม	การฝึกอบรมเริ่มพรุ่งนี้.
transport	การขนส่ง	การขนส่งสาธารณะมาช้า.
traveller	นักเดินทาง	นักเดินทางขอความช่วยเหลือ.
trouble	ปัญหา	เรามีปัญหาเมื่อวานนี้.
truck	รถบรรทุก	รถบรรทุกอยู่ข้างนอก.
twin	ฝาแฝด	พี่สาวฝาแฝดของฉันสูงกว่า.
typical	ทั่วไป	นี่เป็นวันที่ทั่วไป.
underground	ใต้ดิน	รถไฟวิ่งใต้ดิน.
understanding	ความเข้าใจ	ความเข้าใจของคุณถูกต้อง.
unfortunately	น่าเสียดาย	น่าเสียดายที่ร้านปิด.
unhappy	ไม่มีความสุข	เขาดูไม่มีความสุข.
uniform	เครื่องแบบ	เธอสวมเครื่องแบบนักเรียน.
unit	หน่วย	หน่วยนี้เล็ก.
united	เป็นหนึ่งเดียว	ทีมยังคงเป็นหนึ่งเดียว.
unusual	ผิดปกติ	เสียงนั้นผิดปกติ.
used to modal	เคย	เราเคยอยู่ที่นี่.
user	ผู้ใช้	ผู้ใช้แต่ละคนมีหมายเลข.
usual	ปกติ	ฉันนั่งที่นั่งปกติของฉัน.
valley	หุบเขา	หุบเขาเป็นสีเขียว.
van	รถตู้	รถตู้เต็มแล้ว.
variety	ความหลากหลาย	เราต้องการความหลากหลายมากขึ้น.
vehicle	ยานพาหนะ	ยานพาหนะนี้ช้า.
view	วิว	วิวสวยงาม.
virus	ไวรัส	ไวรัสทำให้เขาป่วย.
voice	เสียง	เสียงของเธอเบา.
war	สงคราม	สงครามจบลงเมื่อหลายปีก่อน.
washing	ผ้าที่ซัก	ผ้าที่ซักอยู่นอกบ้าน.
wave	คลื่น	คลื่นซัดเรือ.
weak	อ่อนแอ	ขาของฉันรู้สึกอ่อนแอ.
web	เว็บ	หน้าเว็บเปิดอยู่.
wedding	งานแต่งงาน	งานแต่งงานเริ่มเร็วๆนี้.
weight	น้ำหนัก	ตรวจน้ำหนักก่อน.
wet	เปียก	รองเท้าของฉันเปียก.
wheel	ล้อ	ล้อเสีย.
while	สักครู่	รอที่นี่สักครู่.
whole	ทั้งหมด	ฉันกินแอปเปิลทั้งลูก.
whose	ของใคร	นี่คือโทรศัพท์ของใคร.
wide	กว้าง	ถนนกว้าง.
wild	ป่า	สัตว์ป่าอาศัยอยู่ที่นี่.
wind1	ลม	ลมแรง.
winner	ผู้ชนะ	ผู้ชนะยิ้ม.
wish	ความปรารถนา	อธิษฐานขอพร.
wood	ไม้	เก้าอี้ทำจากไม้.
wooden	ทำจากไม้	กล่องไม้หนัก.
working	ทำงาน	วันทำงานสิ้นสุดลง.
worried	กังวล	วันนี้ฉันรู้สึกกังวล.
worry	กังวล	อย่ากังวลตอนนี้.
worse	แย่กว่า	ความเจ็บนี้แย่กว่าเดิม.
worst	แย่ที่สุด	นั่นเป็นวันที่แย่ที่สุด.
wow	ว้าว	ว้าวนั่นน่าทึ่งมาก!
yet	ยัง	เราไปถึงแล้วหรือยัง.
yours	ของคุณ	หนังสือเล่มนี้เป็นของคุณ.
zero	ศูนย์	นับถอยหลังถึงศูนย์.
