source_headword	NL	example_NL
literacy	de geletterdheid	De programma's voor volwassenengeletterdheid zijn uitgebreid.
liver	de lever	De lever filtert schadelijke stoffen.
lobby	de lobby	De lobby was na het middaguur druk.
log	het logboek	Het systeem houdt een dagelijks logboek bij.
logic	de logica	De logica van zijn argument ontbrak.
long-standing	langdurig	Ze losten een langdurig geschil op.
long-time	jarenlange	Zij is een jarenlange vrijwilligster.
loom	opdoemen	Donkere wolken doemen op boven de vallei.
loop	de lus	Het pad vormt een lus.
loyalty	de loyaliteit	Zijn loyaliteit maakte indruk op het team.
machinery	de machinerie	De fabriek heeft nieuwe machines geïnstalleerd.
magical	magisch	De tuin zag er 's nachts magisch uit.
magistrate	de magistraat	De magistraat behandelde de zaak.
magnetic	magnetisch	Het magnetische veld beïnvloedde het kompas.
magnitude	de omvang	De omvang van de schade was duidelijk.
mainland	het vasteland	De veerboot verbindt eilanden met het vasteland.
mainstream	de mainstream	Het idee kwam de reguliere politiek binnen.
maintenance	het onderhoud	Regelmatig onderhoud voorkomt storingen.
mandate	het mandaat	De president eiste een sterk mandaat.
mandatory	verplicht	Aanwezigheid is verplicht voor stagiaires.
manifest	zich manifesteren	Symptomen kunnen zich na weken manifesteren.
manipulate	manipuleren	Manipuleer de enquêteresultaten niet.
manipulation	de manipulatie	De datamanipulatie werd ontdekt.
manuscript	het manuscript	De uitgever accepteerde haar manuscript.
march	marcheren	De demonstranten zullen naar het centrum marcheren.
marginal	marginaal	De verandering had marginale voordelen.
marine	marien	Het mariene leven heeft schoon water nodig.
marketplace	de marktplaats	De online marktplaats groeide snel.
mask	het masker	Werknemers moeten een masker dragen.
massacre	het bloedbad	Het bloedbad schokte de hele regio.
mathematical	wiskundig	Het wiskundige model voorspelde de vraag.
mature	volwassen	De volwassen bomen zorgen voor schaduw.
maximize	maximaliseren	De update zal de batterijduur maximaliseren.
meaningful	betekenisvol	Ze hadden een betekenisvol gesprek.
meantime	de tussentijd	Wacht in de tussentijd buiten.
medieval	middeleeuws	Het kasteel heeft middeleeuwse muren.
meditation	de meditatie	Dagelijkse meditatie kalmeert haar geest.
melody	de melodie	De melodie bleef in mijn hoofd hangen.
memo	de memo	De memo legde het beleid uit.
memoir	de memoires	Haar memoires beschrijven een jeugd in ballingschap.
memorial	het monument	Het monument eert lokale soldaten.
mentor	de mentor	Haar mentor beoordeelde het voorstel.
merchant	de koopman	De handelaar verkocht zijde en specerijen.
mercy	de genade	De rechter toonde genade.
mere	louter	Een loutere blik onthulde de fout.
merely	slechts	Ze herhaalde slechts de instructies.
merge	fuseren	De twee bedrijven zullen fuseren.
merger	de fusie	De fusie creëerde een grotere bank.
merit	de verdienste	Het voorstel heeft duidelijke verdienste.
methodology	de methodologie	De studie legt de methodologie uit.
midst	het midden	Ze werkten te midden van chaos.
migration	de migratie	Seizoensgebonden migratie beïnvloedt lokale banen.
militant	militant	De militante groepering wees onderhandelingen af.
militia	de militie	De militie controleerde de weg.
mill	de molen	De oude molen werd een museum.
minimal	minimaal	Het plan vereist minimale inspanning.
minimize	minimaliseren	We moeten onnodig risico minimaliseren.
mining	de mijnbouw	De mijnbouw beschadigde de riviervallei.
ministry	het ministerie	Het ministerie kondigde nieuwe regels aan.
minute2	piepklein	Er verscheen een piepklein scheurtje in het glas.
miracle	het wonder	Zijn herstel leek wel een wonder.
misery	de ellende	De vluchtelingen doorstonden jaren van ellende.
misleading	misleidend	De misleidende grafiek bracht lezers in de war.
missile	de raket	De rakettest verhoogde de spanningen.
mob	de menigte	De boze menigte blokkeerde het verkeer.
mobility	de mobiliteit	Betere bussen verbeteren de stedelijke mobiliteit.
mobilize	mobiliseren	Leiders mobiliseren vrijwilligers snel.
moderate	gematigd	De kandidaat heeft gematigde opvattingen.
modification	de wijziging	Het ontwerp heeft één wijziging nodig.
momentum	het momentum	De campagne kreeg snel momentum.
monk	de monnik	De monnik leefde in stilte.
monopoly	het monopolie	Het bedrijf had een monopolie.
morality	de moraliteit	De cursus onderzoekt de publieke moraliteit.
motive	het motief	De politie zette vraagtekens bij zijn motief.
motorist	de automobilist	De automobilist stopte voor het rode licht.
municipal	gemeentelijk	De gemeentelijke diensten zijn dit jaar verbeterd.
mutual	wederzijds	Ze bereikten een wederzijdse overeenkomst.
namely	namelijk	Er blijft één probleem over, namelijk de financiering.
nationwide	landelijk	De staking veroorzaakte landelijke vertragingen.
naval	marine	De marinebasis is vorig jaar gesloten.
neglect	verwaarlozen	Verwaarloos de basisveiligheid niet.
neighbouring	naburig	Naburige steden deelden het ziekenhuis.
nest	het nest	De vogel bouwde een nest.
net	netto	De nettowinst steeg scherp.
newsletter	de nieuwsbrief	De nieuwsbrief arriveert elke vrijdag.
niche	de niche	Het bedrijf vond een winstgevende niche.
noble	nobel	Haar nobele gebaar maakte op iedereen indruk.
nod	knikken	Knik alsjeblieft als je het begrijpt.
nominate	nomineren	Ze zullen een nieuwe voorzitter nomineren.
nomination	de nominatie	Haar nominatie verraste de commissie.
nominee	de genomineerde	De genomineerde beantwoordde moeilijke vragen.
nonetheless	desondanks	Desondanks ging het plan door.
non-profit	non-profit	Ze werkt voor een non-profit kliniek.
nonsense	de onzin	Dat gerucht is complete onzin.
noon	de middag	De vergadering begint 's middags.
notable	opmerkelijk	Het rapport boekte opmerkelijke vooruitgang.
notably	met name	De kosten daalden met name in mei.
notify	op de hoogte stellen	Stel het personeel op de hoogte voordat je vertrekt.
notorious	berucht	De weg is berucht om zijn ongelukken.
novel	vernieuwend	Ze stelden een vernieuwende oplossing voor.
nursery	de crèche	De crèche zorgt voor baby's.
objection	het bezwaar	De advocaat maakte een bezwaar.
oblige	verplichten	Regels verplichten bestuurders om te stoppen.
obsess	piekeren	Blijf niet piekeren over kleine foutjes.
obsession	de obsessie	Zijn obsessie schaadde zijn werk.
occasional	incidenteel	Incidentele vertragingen worden verwacht.
occurrence	de gebeurtenis	Zo'n gebeurtenis is zeldzaam.
odds	de kansen	De kansen op succes verbeterden.
offering	het aanbod	De universiteit breidde haar aanbod uit.
offspring	de nakomelingen	De vos beschermde zijn nakomelingen.
operational	operationeel	Het nieuwe systeem is operationeel.
opt	kiezen	Veel studenten kiezen voor online lessen.
optical	optisch	De optische lens moet worden schoongemaakt.
optimism	het optimisme	Het optimisme keerde terug na de aankondiging.
oral	mondeling	Het mondelinge examen begint morgen.
organizational	organisatorisch	Organisatorische veranderingen begonnen onmiddellijk.
orientation	de oriëntatie	De workshop behandelde werknemersoriëntatie.
originate	ontstaan	Veel tradities ontstaan in plattelandsdorpen.
outbreak	de uitbraak	De uitbraak verspreidde zich door de stad.
outing	het uitje	De klas genoot van een uitje naar het museum.
outlet	de outlet	De outlet verkoopt afgeprijsde kleding.
outlook	de vooruitzichten	De economische vooruitzichten blijven onzeker.
outrage	de verontwaardiging	De beslissing veroorzaakte publieke verontwaardiging.
outsider	de buitenstaander	Als buitenstaander merkte ze problemen op.
overlook	over het hoofd zien	Zie kleine details niet over het hoofd.
overly	overdreven	De instructies waren overdreven complex.
oversee	toezicht houden op	Zij zal toezicht houden op het project.
overturn	vernietigen	De rechtbank kan de uitspraak vernietigen.
overwhelm	overweldigen	Te veel informatie kan leerlingen overweldigen.
overwhelming	overweldigend	Het bewijs was overweldigend.
pad	de beschermer	Gebruik de beschermer om de knieën te beschermen.
parameter	de parameter	Pas één parameter tegelijk aan.
parental	ouderlijk	Ouderlijke steun verbeterde de aanwezigheid.
parish	de parochie	De parochie organiseerde een liefdadigheidsdiner.
parliamentary	parlementair	Het parlementaire debat duurde uren.
partial	gedeeltelijk	Het rapport gaf een gedeeltelijk antwoord.
partially	gedeeltelijk	Het raam stond gedeeltelijk open.
passing	het overlijden	Haar overlijden kwam plotseling.
passive	passief	Passieve investeerders accepteerden stabiele rendementen.
pastor	de dominee	De dominee bezocht de familie.
patch	de lap	De jas heeft een kleine lap nodig.
patent	het patent	Het bedrijf vroeg een patent aan.
pathway	het pad	Het pad leidt tot certificering.
patrol	patrouilleren	De politie patrouilleert 's nachts in de omgeving.
patron	de beschermheer	Het museum bedankte zijn beschermheer.
peak	de piek	De vraag bereikte een winterpiek.
peasant	de boer	De boer bezat weinig land.
peculiar	eigenaardig	De kamer had een eigenaardige geur.
persist	aanhouden	De symptomen kunnen dagen aanhouden.
persistent	aanhoudend	Een aanhoudende hoest vereist aandacht.
personnel	het personeel	Personeelsdossiers zijn vertrouwelijk.
petition	de petitie	De petitie verzamelde duizenden handtekeningen.
philosopher	de filosoof	De filosoof trok algemene aannames in twijfel.
philosophical	filosofisch	De discussie werd filosofisch.
physician	de arts	De arts bestelde bloedonderzoeken.
pioneer	de pionier	Ze werd een pionier in de geneeskunde.
pipeline	de pijpleiding	De pijpleiding vervoert gas onder de grond.
pirate	de piraat	Het piratenschip verscheen voor de kust.
pit	de kuil	De arbeiders groeven een diepe kuil.
plea	de smeekbede	Zijn smeekbede om hulp werd genegeerd.
plead	bekennen	De verdachte zal schuld bekennen.
pledge	beloven	Ze beloven steun voor hervormingen.
plug	in het stopcontact steken	Steek de kabel in het stopcontact.
plunge	kelderen	Prijzen kunnen kelderen na het schandaal.
pole	de paal	De vlag hing aan een paal.
poll	de peiling	De peiling toonde veranderende meningen.
pond	de vijver	Eenden staken de bevroren vijver over.
pop	knallen	Ballonnen knallen in de buurt van scherpe voorwerpen.
portfolio	het portfolio	Haar portfolio omvat verschillende startups.
portray	afbeelden	De film zal het plattelandsleven afbeelden.
postpone	uitstellen	Ze besloten de hoorzitting uit te stellen.
post-war	naoorlogs	Er was dringend behoefte aan naoorlogse woningen.
practitioner	de arts	De arts legde de behandeling uit.
preach	preken	De dominee zal zondag preken.
precedent	het precedent	De uitspraak schiep een belangrijk precedent.
precision	de precisie	De machine snijdt met precisie.
predator	het roofdier	Het roofdier wachtte bij de rivier.
predecessor	de voorganger	Haar voorganger liet gedetailleerde aantekeningen achter.
predominantly	voornamelijk	Het gebied is voornamelijk residentieel.
pregnancy	de zwangerschap	Een zwangerschap vereist regelmatige medische zorg.
prejudice	het vooroordeel	De campagne daagde raciaal vooroordeel uit.
preliminary	voorlopig	De voorlopige resultaten zien er veelbelovend uit.
premier	de premier	De premier sprak vandaag het parlement toe.
premise	de aanname	Het argument berust op een vals uitgangspunt.
premium	de premie	Klanten betaalden een premie voor snelheid.
prescribe	voorschrijven	Artsen schrijven antibiotica voorzichtig voor.
prescription	het recept	Het recept verloopt volgende maand.
presently	momenteel	Ze is momenteel niet beschikbaar.
preservation	het behoud	Behoud beschermt historische gebouwen.
preside	voorzitten	De rechter zal de rechtszaak voorzitten.
presidency	het presidentschap	Zijn presidentschap duurde acht jaar.
presidential	presidentieel	De presidentiële verkiezing trok de aandacht.
prestigious	prestigieus	Ze won een prestigieuze beurs.
presumably	vermoedelijk	Het kantoor is vermoedelijk vandaag gesloten.
presume	aannemen	We nemen aan dat de documenten echt zijn.
prevail	zegevieren	Het gezonde verstand zou moeten zegevieren.
prevalence	de prevalentie	De prevalentie van astma nam toe.
prevention	de preventie	Preventie is goedkoper dan reparatie.
