source_headword	PT-BR	example_PT-BR
contemporary	contemporâneo	A galeria mostra arte contemporânea.
contest	o concurso	Ela entrou no concurso.
contract	o contrato	Leia o contrato com atenção.
contribute	contribuir	Todos podem contribuir com ideias.
contribution	a contribuição	A contribuição dela foi valiosa.
convert	converter	Eles converteram a garagem.
convinced	convencido	Estou convencido de que ele mentiu.
core	o centro	A confiança é a questão central.
corporate	corporativo	As regras corporativas mudaram de novo.
council	o conselho	O conselho aprovou o plano.
county	o condado	O condado consertou a estrada.
courage	a coragem	Ela mostrou verdadeira coragem.
crash	o acidente	A batida bloqueou o trânsito.
creation	a criação	A criação levou seis meses.
creature	a criatura	A criatura se moveu silenciosamente.
crew	a tripulação	A tripulação preparou o navio.
crisis	a crise	A crise mudou tudo.
criterion	o critério	O preço é um critério.
critic	o crítico	O crítico elogiou a peça.
critical	crítico	A condição dele é crítica.
criticism	a crítica	Ela aceitou a crítica com calma.
criticize	criticar	Não critique cada erro.
crop	a colheita	A colheita fracassou este ano.
crucial	crucial	O tempo é crucial aqui.
cure	a cura	Os médicos encontraram uma cura.
curve	a curva	A estrada segue uma curva.
curved	curvo	A parede é levemente curva.
debate	o debate	O debate continuou por horas.
debt	a dívida	Ele pagou a dívida.
decent	decente	Eles encontraram um apartamento decente.
declare	declarar	Eles declararam o resultado.
decline	diminuir	As vendas continuaram a cair.
decoration	a decoração	A decoração parecia cara.
decrease	diminuir	Os preços podem diminuir em breve.
deeply	profundamente	Ela se importava profundamente com a justiça.
defeat	a derrota	A derrota chocou o time.
defence	a defesa	A defesa questionou a evidência.
defend	defender	Ele tentou se defender.
delay	o atraso / atrasar	O mau tempo causou um atraso.
deliberate	deliberado	Foi uma escolha deliberada.
deliberately	deliberadamente	Ela ignorou o aviso deliberadamente.
delight	o deleite / encantar	A notícia encantou a todos.
delighted	encantado	Nós ficamos encantados com o presente.
delivery	a entrega	A entrega chegou cedo.
demand	a demanda / exigir	Os trabalhadores exigem um pagamento melhor.
demonstrate	demonstrar	Ele demonstrou o novo software.
deny	negar	Ela negou a acusação.
depressed	deprimido	Ele se sentiu deprimido depois de perder.
depressing	deprimente	O filme era deprimente.
depth	a profundidade	A piscina tem uma grande profundidade.
deserve	merecer	Você merece uma pausa.
desire	o desejo / desejar	Ela expressou o desejo de viajar.
desperate	desesperado	Eles fizeram uma ligação desesperada.
detailed	detalhado	O guia é muito detalhado.
detect	detectar	Os cães conseguem detectar fumaça.
dig	cavar	Eles cavam poços no verão.
disc	o disco	O disco estava arranhado.
discipline	a disciplina	A disciplina ajuda os atletas a melhorar.
dishonest	desonesto	A resposta dele soou desonesta.
dismiss	rejeitar	O gerente rejeitou a reclamação.
display	a exibição / exibir	A tela exibe a pontuação.
distribute	distribuir	Os voluntários distribuíram água limpa.
distribution	a distribuição	A distribuição começou depois do nascer do sol.
district	o distrito	O distrito elegeu um prefeito.
division	a divisão	A divisão lida com casos legais.
domestic	doméstico	Os voos domésticos são mais baratos.
dominate	dominar	Uma empresa pode dominar o mercado.
downwards	para baixo	O caminho se inclina para baixo.
dozen	a dúzia	Ela comprou uma dúzia de ovos.
draft	o rascunho / redigir	Por favor, revise o rascunho.
drag	arrastar	Não arraste a mesa.
dramatic	dramático	Os resultados foram dramáticos.
edit	editar	Ela editou o artigo.
edition	a edição	Esta edição inclui novas fotos.
efficient	eficiente	O sistema é eficiente.
elderly	idoso	Os residentes idosos precisam de apoio.
elect	eleger	Os eleitores elegem um novo conselho.
elsewhere	em outro lugar	Nós procuramos ajuda em outro lugar.
emerge	surgir	Os detalhes surgiram depois da meia-noite.
emotional	emocional	O discurso foi emocional.
emphasis	a ênfase	Dê ênfase à segurança.
emphasize	enfatizar	Os professores enfatizam a prática diária.
enable	permitir	O aplicativo permite pagamentos rápidos.
encounter	o encontro / encontrar	Nós encontramos trânsito pesado.
engage	envolver	O curso envolve alunos adultos.
enhance	melhorar	A iluminação pode melhorar o ambiente.
enquiry	a investigação	A investigação durou três meses.
ensure	garantir	Verifique duas vezes para garantir a precisão.
enthusiasm	o entusiasmo	O entusiasmo dela encorajou o grupo.
enthusiastic	entusiasmado	Os voluntários estavam entusiasmados.
entire	inteiro	A vila inteira ficou sem energia.
entirely	inteiramente	A história é inteiramente falsa.
establish	estabelecer	Eles estabeleceram regras claras.
estate	a propriedade	A propriedade inclui várias fazendas.
estimate	estimar	Estimamos dez mil visitantes.
ethical	ético	A decisão levantou questões éticas.
evaluate	avaliar	Especialistas avaliarão o design.
evil	maligno	O rei temia espíritos malignos.
examination	o exame	O exame durou uma hora.
excuse	a desculpa	Aquela desculpa pareceu fraca.
executive	o executivo	O executivo aprovou o acordo.
existence	a existência	A existência deles era desconhecida.
expectation	a expectativa	A expectativa era alta antes do lançamento.
expense	a despesa	Viagens são nossa maior despesa.
exploration	a exploração	A exploração espacial inspira as crianças.
expose	expor	O artigo expôs a corrupção.
extend	estender	Eles estenderam o prazo.
extent	a extensão	Soubemos a extensão mais tarde.
external	externo	A pressão externa os influenciou.
extraordinary	extraordinário	A recuperação dela foi extraordinária.
facility	a instalação	A instalação abriu em junho.
failure	o fracasso	O fracasso lhe ensinou paciência.
faith	a fé	Ela manteve a fé nele.
fault	a culpa	O acidente foi minha culpa.
feather	a pena	Uma pena caiu do travesseiro.
fee	a taxa	A taxa inclui o almoço.
feedback	o feedback	O feedback ajudou a melhorar o curso.
fellow	colega	Os colegas de trabalho a apoiaram.
finance	as finanças	O banco financiará a expansão.
finding	a descoberta	A descoberta surpreendeu os pesquisadores.
firm	a firma	A firma contratou novos funcionários.
flame	a chama	Uma pequena chama apareceu.
flash	o clarão	Um clarão iluminou o céu.
flexible	flexível	O cronograma é flexível.
float	flutuar	As folhas flutuam na água.
folding	dobrável	Ele carregava uma cadeira dobrável.
forgive	perdoar	Você pode perdoá-lo?
former	anterior	O ex-prefeito retornou.
fortune	a fortuna	Eles perderam uma fortuna.
found	fundar	Eles fundaram uma pequena instituição de caridade.
freedom	a liberdade	A liberdade exige responsabilidade.
frequency	a frequência	A frequência aumentou no inverno.
fully	totalmente	O hotel está totalmente reservado.
fund	o fundo	O fundo apoia escolas locais.
fundamental	fundamental	O respeito é fundamental aqui.
funding	o financiamento	O financiamento terminou no ano passado.
furthermore	além disso	Além disso, os custos estão subindo.
gain	ganhar	Os alunos ganham confiança rapidamente.
gang	a gangue	Uma gangue controlava a rua.
generate	gerar	Painéis solares geram energia.
genre	o gênero	A comédia é o gênero favorito dela.
govern	reger / governar	As leis regem os gastos públicos.
grab	agarrar / pegar	Ele agarrou meu braço.
gradually	gradualmente / aos poucos	A dor desapareceu gradualmente.
grand	grandioso / imponente	O hotel tem uma entrada grandiosa.
grant	a subvenção / conceder	A subvenção pagou pelo equipamento.
guarantee	garantir	O ingresso garante a entrada.
handle	lidar com / resolver	Ela lidou com a reclamação calmamente.
harm	prejudicar / o dano	Fumar pode prejudicar a saúde.
harmful	prejudicial / nocivo	Aquele produto químico é prejudicial.
hearing	a audição	A audição dela melhorou.
heaven	o céu / o paraíso	Eles imaginaram o céu acima.
heel	o calcanhar	O calcanhar dele doía muito.
hell	o inferno	A viagem foi um inferno.
hesitate	hesitar	Não hesite em perguntar.
hollow	oco	A árvore era oca por dentro.
holy	sagrado / santo	Eles visitaram um lugar sagrado.
honour	a honra	Eles lutaram por honra.
household	a residência / a família	Cada residência recebeu água.
housing	a habitação / a moradia	Os custos de moradia continuam subindo.
humorous	engraçado / bem-humorado	A história dele era engraçada.
humour	o humor	O humor ajudou a reduzir a tensão.
hunting	a caça	A caça é proibida aqui.
illustrate	ilustrar	Os exemplos ilustram a regra.
illustration	a ilustração	A ilustração mostra o processo.
imagination	a imaginação	As crianças usam a imaginação livremente.
impatient	impaciente	Os motoristas ficaram impacientes.
imply	implicar / sugerir	O silêncio dele pode sugerir concordância.
impose	impor	O tribunal impôs uma multa.
impress	impressionar	A coragem dela impressionou a todos.
impressed	impressionado	Fiquei impressionado com o trabalho dela.
inch	a polegada	Mova isso uma polegada para a esquerda.
incident	o incidente	O incidente causou preocupação.
income	a renda	A renda deles aumentou lentamente.
increasingly	cada vez mais	A moradia está cada vez mais cara.
industrial	industrial	A cidade tem raízes industriais.
infection	a infecção	A infecção se espalhou rapidamente.
inform	informar	Por favor, informe o gerente.
initial	inicial	O custo inicial foi alto.
initially	inicialmente	Inicialmente, ninguém acreditou nele.
initiative	a iniciativa	Ela lançou uma nova iniciativa.
inner	interno / interior	A porta interna estava trancada.
insight	a visão / a percepção	O relatório oferece uma visão útil.
insist	insistir	Eles insistem nas verificações de segurança.
inspire	inspirar	A história dela pode inspirar outros.
install	instalar	Eles instalaram um novo aquecedor.
instance	o exemplo / o caso	Este é um exemplo claro.
