hsk_key	source_word	simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO	DA	example_DA	FI	example_FI
2041:本地	本地	本地	lokalny	Ten sklep sprzedaje głównie lokalne owoce.	lokaal	Deze winkel verkoopt vooral lokaal fruit.	lokal	Den här butiken säljer främst lokal frukt.	lokal	Denne butikken selger hovedsakelig lokal frukt.	lokal	Denne butik sælger hovedsageligt lokal frugt.	paikallinen	Tämä kauppa myy pääasiassa paikallisia hedelmiä.
2046:比分	比分	比分	wynik	Gdy mecz się skończył, wynik był trzy do dwóch.	score; stand	Toen de wedstrijd eindigde, was de stand drie tegen twee.	resultat; poängställning	När matchen slutade var resultatet tre mot två.	resultat; stilling	Da kampen var slutt, var stillingen tre mot to.	resultat; stilling	Da kampen sluttede, var stillingen tre mod to.	tulos; pistetilanne	Ottelun päättyessä tulos oli kolme kaksi.
2049:必	必	必	musi; na pewno	Ważne dokumenty muszą być podpisane osobiście.	moet; zeker	Belangrijke documenten moeten door de betrokkene zelf worden ondertekend.	måste; säkert	Viktiga dokument måste undertecknas av personen själv.	må; sikkert	Viktige dokumenter må signeres av personen selv.	skal; helt sikkert	Vigtige dokumenter skal underskrives af personen selv.	täytyy; varmasti	Tärkeät asiakirjat täytyy allekirjoittaa henkilökohtaisesti.
2052:闭幕式	闭幕式	闭幕式	ceremonia zamknięcia	Ceremonia zamknięcia zawodów sportowych odbywa się wieczorem.	slotceremonie; sluitingsceremonie	De sluitingsceremonie van de sportdag wordt 's avonds gehouden.	avslutningsceremoni	Idrottstävlingens avslutningsceremoni hålls på kvällen.	avslutningsseremoni	Avslutningsseremonien for idrettsstevnet holdes om kvelden.	afslutningsceremoni	Sportsstævnet afslutningsceremoni holdes om aftenen.	päättäjäisseremonia	Urheilutapahtuman päättäjäisseremonia pidetään illalla.
2054:必需	必需	必需	niezbędny; konieczny	Woda i jedzenie są niezbędne w podróży.	noodzakelijk; essentieel	Water en voedsel zijn noodzakelijke dingen tijdens het reizen.	nödvändig; väsentlig	Vatten och mat är nödvändiga saker under resan.	nødvendig; essensiell	Vann og mat er nødvendige ting på reisen.	nødvendig; essentiel	Vand og mad er nødvendige ting på rejsen.	välttämätön; tarpeellinen	Vesi ja ruoka ovat matkalla välttämättömiä.
2057:变动	变动	变动	zmiana; modyfikacja	W harmonogramie pracy na ten miesiąc są zmiany.	verandering; wijziging	Er zijn wijzigingen in de werkplanning van deze maand.	förändring; ändring	Det finns ändringar i månadens arbetsschema.	endring; forandring	Det er endringer i arbeidsplanen denne måneden.	ændring; forandring	Der er ændringer i denne måneds arbejdsplan.	muutos; muokkaus	Tämän kuukauden työjärjestelyissä on muutoksia.
2059:便利店	便利店	便利店	sklep całodobowy; convenience store	Sklep całodobowy na dole jest otwarty dwadzieścia cztery godziny.	gemakswinkel; buurtwinkel	De gemakswinkel beneden is vierentwintig uur per dag open.	närbutik; servicebutik	Närbutiken på nedervåningen är öppen dygnet runt.	nærbutikk; kiosk	Nærbutikken nede er åpen døgnet rundt.	nærbutik; kiosk	Nærbutikken nedenunder har åbent døgnet rundt.	lähikauppa; kioski	Alakerran lähikauppa on auki vuorokauden ympäri.
2067:饼	饼	饼	placek; naleśnik	Mama rano zrobiła mi placek z jajkiem.	plat brood; pannenkoek	Mijn moeder maakte 's ochtends een eierpannenkoek voor mij.	tunnbröd; pannkaka	Mamma gjorde en äggpannkaka åt mig på morgonen.	lefse; pannekake	Mamma lagde en eggepannekake til meg om morgenen.	fladbrød; pandekage	Min mor lavede en æggepandekage til mig om morgenen.	lettu; litteä leipä	Äiti teki minulle aamulla munaletun.
2068:病房	病房	病房	sala szpitalna	Pielęgniarka zaprowadziła pacjenta do sali szpitalnej.	ziekenzaal; ziekenhuiskamer	De verpleegkundige bracht de patiënt naar de ziekenzaal.	sjuksal; vårdrum	Sjuksköterskan tog patienten till sjuksalen.	sykerom; sengepost	Sykepleieren tok pasienten til sykerommet.	hospitalsstue; sygestue	Sygeplejersken førte patienten til hospitalsstuen.	sairaalahuone; osasto	Hoitaja vei potilaan sairaalahuoneeseen.
2069:病情	病情	病情	stan choroby	Lekarz powiedział, że jego stan choroby już się poprawił.	ziektetoestand; conditie	De dokter zei dat zijn toestand al is verbeterd.	sjukdomstillstånd	Läkaren sade att hans tillstånd redan har förbättrats.	sykdomstilstand	Legen sa at tilstanden hans allerede har blitt bedre.	sygdomstilstand	Lægen sagde, at hans tilstand allerede var blevet bedre.	sairauden tila; vointi	Lääkäri sanoi, että hänen vointinsa on jo parantunut.
2070:拨打	拨打	拨打	wybrać numer; zadzwonić	W razie pożaru zadzwoń pod numer alarmowy.	bellen; intoetsen	Bel bij brand het alarmnummer.	ringa; slå numret	Vid brand, ring nödnumret.	ringe; slå nummeret	Ved brann, ring nødnummeret.	ringe; taste nummeret	Ved brand skal du ringe til alarmnummeret.	soittaa; valita numero	Tulipalon sattuessa soita hätänumeroon.
2073:不利	不利	不利	niekorzystny	Silny wiatr jest niekorzystny dla meczu.	ongunstig	Sterke wind is ongunstig voor de wedstrijd.	ogynnsam	Stark vind är ogynnsam för matchen.	ugunstig	Sterk vind er ugunstig for kampen.	ugunstig	Stærk vind er ugunstig for kampen.	epäsuotuisa	Kova tuuli on ottelulle epäsuotuisa.
2074:不幸	不幸	不幸	nieszczęśliwy; nieszczęście	W dzieciństwie miał nieszczęśliwe doświadczenie.	ongelukkig; ongeluk	Hij had in zijn jeugd een ongelukkige ervaring.	olycklig; olycka	Han hade en olycklig upplevelse i barndomen.	ulykkelig; ulykke	Han hadde en ulykkelig opplevelse i barndommen.	ulykkelig; ulykke	Han havde en ulykkelig oplevelse i barndommen.	onneton; onnettomuus	Hänellä oli lapsuudessa onneton kokemus.
2078:不符	不符	不符	nie pasować; nie zgadzać się	Imię na bilecie nie zgadza się z dokumentem.	niet overeenkomen; niet kloppen	De naam op het ticket komt niet overeen met het identiteitsbewijs.	inte stämma; inte överensstämma	Namnet på biljetten stämmer inte med legitimationen.	ikke samsvare; ikke stemme	Navnet på billetten stemmer ikke med ID-en.	ikke stemme; ikke passe	Navnet på billetten stemmer ikke med ID'et.	ei täsmätä; olla ristiriidassa	Lipussa oleva nimi ei täsmää henkilötodistuksen kanssa.
2079:不良	不良	不良	zły; szkodliwy	Długotrwałe siedzenie do późna to zły nawyk.	slecht; schadelijk	Lang opblijven is een slechte gewoonte.	dålig; skadlig	Att vara uppe sent länge är en dålig vana.	dårlig; skadelig	Å være lenge oppe sent er en dårlig vane.	dårlig; skadelig	At være længe oppe sent er en dårlig vane.	huono; haitallinen	Pitkään valvominen on huono tapa.
2081:步行	步行	步行	iść pieszo	Ze stąd do szkoły można iść pieszo.	lopen; te voet gaan	Van hier naar school kun je lopen.	gå; promenera	Från här till skolan kan man gå.	gå; gå til fots	Fra her til skolen kan du gå.	gå; gå til fods	Herfra til skolen kan man gå.	kävellä	Täältä kouluun voi kävellä.
2083:才2	才2	才	talent; zdolność	Od małego wykazywał talent muzyczny.	talent; vermogen	Hij toonde al van jongs af aan muzikaal talent.	talang; förmåga	Han visade musikalisk talang redan som liten.	talent; evne	Han viste musikalsk talent fra han var liten.	talent; evne	Han viste musikalsk talent fra barnsben.	lahjakkuus; kyky	Hän osoitti musiikillista lahjakkuutta jo lapsena.
2087:彩色	彩色	彩色	kolorowy	Dzieci narysowały kolorową mapę.	kleur; veelkleurig	De kinderen tekenden een kleurrijke kaart.	färg; flerfärgad	Barnen ritade en färgglad karta.	farge; flerfarget	Barna tegnet et fargerikt kart.	farve; flerfarvet	Børnene tegnede et farverigt kort.	väri; värikäs	Lapset piirsivät värikkään kartan.
2088:采用	采用	采用	przyjąć; zastosować	Firma zdecydowała się zastosować nową metodę zarządzania.	aannemen; gebruiken	Het bedrijf besloot een nieuwe managementmethode te gebruiken.	anta; använda	Företaget beslutade att använda en ny ledningsmetod.	ta i bruk; bruke	Selskapet bestemte seg for å ta i bruk en ny ledelsesmetode.	indføre; bruge	Virksomheden besluttede at indføre en ny ledelsesmetode.	ottaa käyttöön; käyttää	Yritys päätti ottaa käyttöön uuden johtamistavan.
2090:餐饮	餐饮	餐饮	gastronomia; usługi jedzeniowe	Strefa gastronomiczna w tym centrum handlowym jest na piątym piętrze.	horeca; eet- en drinkdiensten	De eet- en drinkzone van dit winkelcentrum is op de vijfde verdieping.	matservering; restaurangtjänster	Köpcentrets matområde ligger på femte våningen.	servering; mat- og drikketjenester	Spiseområdet i dette kjøpesenteret ligger i femte etasje.	restauration; mad- og drikkeservice	Spiseområdet i dette indkøbscenter ligger på femte sal.	ravintolapalvelut; ruoka- ja juomapalvelut	Tämän ostoskeskuksen ruokailualue on viidennessä kerroksessa.
2092:藏	藏	藏	ukryć; przechowywać	Schowała prezent w szafce.	verbergen; bewaren	Ze verstopte het cadeau in de kast.	gömma; förvara	Hon gömde presenten i skåpet.	gjemme; oppbevare	Hun gjemte gaven i skapet.	gemme; opbevare	Hun gemte gaven i skabet.	piilottaa; säilyttää	Hän piilotti lahjan kaappiin.
2095:测	测	测	mierzyć; testować	Nauczyciel poprosił nas, żebyśmy zmierzyli temperaturę wody.	meten; testen	De leraar vroeg ons de watertemperatuur te meten.	mäta; testa	Läraren bad oss mäta vattentemperaturen.	måle; teste	Læreren ba oss måle vanntemperaturen.	måle; teste	Læreren bad os måle vandtemperaturen.	mitata; testata	Opettaja pyysi meitä mittaamaan veden lämpötilan.
2096:测试	测试	测试	test; testować	Testy nowego oprogramowania zaczną się jutro.	testen; test	De nieuwe software wordt morgen getest.	testa; test	Den nya programvaran börjar testas i morgon.	teste; test	Den nye programvaren begynner å testes i morgen.	teste; test	Den nye software begynder at blive testet i morgen.	testata; testi	Uuden ohjelmiston testaus alkaa huomenna.
2097:曾	曾	曾	kiedyś; dawniej	Kiedyś pracował w Pekinie przez trzy lata.	ooit; vroeger	Hij heeft ooit drie jaar in Beijing gewerkt.	en gång; tidigare	Han arbetade en gång i Peking i tre år.	en gang; tidligere	Han jobbet en gang i Beijing i tre år.	engang; tidligere	Han arbejdede engang i Beijing i tre år.	kerran; aiemmin	Hän työskenteli aiemmin Pekingissä kolme vuotta.
2104:产	产	产	produkować; rodzić	Ten sad produkuje głównie jabłka.	produceren; baren	Deze boomgaard produceert vooral appels.	producera; föda	Den här fruktträdgården producerar främst äpplen.	produsere; føde	Denne frukthagen produserer hovedsakelig epler.	producere; føde	Denne frugthave producerer hovedsageligt æbler.	tuottaa; synnyttää	Tämä hedelmätarha tuottaa pääasiassa omenoita.
2105:产量	产量	产量	produkcja; plon	Tegoroczna produkcja zboża wzrosła.	productie; opbrengst	De graanopbrengst van dit jaar is gestegen.	produktion; avkastning	Årets spannmålsproduktion har ökat.	produksjon; avling	Kornproduksjonen i år har økt.	produktion; udbytte	Årets kornproduktion er steget.	tuotanto; sato	Tämän vuoden viljasato on kasvanut.
2108:长处	长处	长处	mocna strona; zaleta	Cierpliwość jest jego mocną stroną.	sterk punt; voordeel	Geduld is zijn sterke punt.	stark sida; fördel	Tålamod är hans starka sida.	sterk side; fordel	Tålmodighet er hans sterke side.	stærk side; fordel	Tålmodighed er hans stærke side.	vahvuus; hyvä puoli	Kärsivällisyys on hänen vahvuutensa.
2109:长度	长度	长度	długość	Długość tej liny jest w sam raz.	lengte	De lengte van dit touw is precies goed.	längd	Längden på det här repet är precis lagom.	lengde	Lengden på dette tauet passer akkurat.	længde	Længden på dette reb passer lige.	pituus	Tämän köyden pituus on juuri sopiva.
2110:长久	长久	长久	długotrwały; trwały	Prawdziwa przyjaźń może trwać bardzo długo.	langdurig; blijvend	Echte vriendschap kan heel lang duren.	långvarig; länge	Äkta vänskap kan vara mycket länge.	langvarig; lenge	Ekte vennskap kan vare lenge.	langvarig; længe	Ægte venskab kan vare meget længe.	pitkäaikainen; kestävä	Todellinen ystävyys voi kestää pitkään.
2111:长期	长期	长期	długoterminowy; długi okres	Długotrwałe ćwiczenia są dobre dla ciała.	langdurig; lange termijn	Langdurig bewegen is goed voor het lichaam.	långsiktig; långvarig	Långvarig motion är bra för kroppen.	langsiktig; langvarig	Langvarig trening er bra for kroppen.	langsigtet; langvarig	Langvarig motion er godt for kroppen.	pitkäaikainen; pitkän aikavälin	Pitkäaikainen liikunta tekee hyvää keholle.
2115:长远	长远	长远	długofalowy; dalekosiężny	Przy podejmowaniu decyzji trzeba brać pod uwagę długofalowy wpływ.	langetermijn; ver reikend	Bij het nemen van een beslissing moet je rekening houden met de langetermijnimpact.	långsiktig; långräckande	När man fattar beslut bör man tänka på den långsiktiga effekten.	langsiktig; langtrekkende	Når du tar en beslutning, må du vurdere den langsiktige virkningen.	langsigtet; vidtrækkende	Når man træffer en beslutning, skal man overveje den langsigtede virkning.	pitkän aikavälin; kauaskantoinen	Päätöstä tehdessä täytyy ottaa huomioon pitkän aikavälin vaikutus.
2117:超	超	超	przekroczyć; przewyższyć	Wydatki w tym miesiącu przekroczyły budżet.	overschrijden; overtreffen	De uitgaven van deze maand overschreden het budget.	överskrida; överträffa	Den här månadens utgifter överskred budgeten.	overskride; overgå	Denne månedens utgifter overskred budsjettet.	overskride; overgå	Denne måneds udgifter overskred budgettet.	ylittää; päihittää	Tämän kuukauden kulut ylittivät budjetin.
2118:超出	超出	超出	przekroczyć; wyjść poza	Rzeczywisty koszt przekroczył nasz plan.	overschrijden; te boven gaan	De werkelijke kosten gingen boven ons plan uit.	överskrida; gå utöver	Den faktiska kostnaden överskred vår plan.	overskride; gå utover	Den faktiske kostnaden oversteg planen vår.	overskride; gå ud over	De faktiske omkostninger oversteg vores plan.	ylittää; mennä yli	Todelliset kustannukset ylittivät suunnitelmamme.
2120:超速	超速	超速	przekraczać prędkość; jechać za szybko	Ten samochód dostał mandat za przekroczenie prędkości.	te hard rijden; snelheid overschrijden	Deze auto kreeg een boete voor te hard rijden.	köra för fort; överskrida hastighetsgränsen	Bilen fick böter för att ha kört för fort.	kjøre for fort; overskride fartsgrensen	Denne bilen fikk bot for å kjøre for fort.	køre for stærkt; overskride hastighedsgrænsen	Bilen fik en bøde for at køre for stærkt.	ajaa ylinopeutta; ylittää nopeusrajoitus	Tämä auto sai sakot ylinopeudesta.
2124:车祸	车祸	车祸	wypadek drogowy	Ten wypadek drogowy nie spowodował poważnych obrażeń.	verkeersongeval	Dat verkeersongeval veroorzaakte geen ernstig letsel.	trafikolycka	Den trafikolyckan orsakade inga allvarliga skador.	trafikkulykke	Den trafikkulykken førte ikke til alvorlige skader.	trafikulykke	Den trafikulykke gav ingen alvorlige skader.	liikenneonnettomuus	Se liikenneonnettomuus ei aiheuttanut vakavia vammoja.
2126:车辆	车辆	车辆	pojazd	Obcym pojazdom nie wolno wjeżdżać przez bramę osiedla.	voertuig	Voertuigen van buiten mogen de wijkpoort niet in.	fordon	Utomstående fordon får inte köra in vid bostadsområdets port.	kjøretøy	Utenforstående kjøretøy får ikke kjøre inn ved boligområdets port.	køretøj	Udefrakommende køretøjer må ikke køre ind ved boligområdets port.	ajoneuvo	Ulkopuoliset ajoneuvot eivät saa ajaa asuinalueen portista sisään.
2128:车主	车主	车主	właściciel samochodu	Właściciel samochodu już skontaktował się z firmą ubezpieczeniową.	auto-eigenaar	De auto-eigenaar heeft al contact opgenomen met de verzekeringsmaatschappij.	bilägare	Bilägaren har redan kontaktat försäkringsbolaget.	bileier	Bileieren har allerede kontaktet forsikringsselskapet.	bilejer	Bilejeren har allerede kontaktet forsikringsselskabet.	auton omistaja	Auton omistaja on jo ottanut yhteyttä vakuutusyhtiöön.
2130:沉	沉	沉	tonąć; ciężki	Kamień wpadł do wody i szybko zatonął.	zinken; zwaar	De steen viel in het water en zonk snel.	sjunka; tung	Stenen föll i vattnet och sjönk snabbt.	synke; tung	Steinen falt i vannet og sank raskt.	synke; tung	Stenen faldt i vandet og sank hurtigt.	upota; painava	Kivi putosi veteen ja upposi nopeasti.
2134:称为	称为	称为	nazywać; określać	Ten rodzaj herbaty lokalnie nazywa się herbatą wiosenną.	genoemd worden	Deze soort thee wordt lokaal lentethee genoemd.	kallas; benämnas	Den här sortens te kallas lokalt vårte.	kalles; omtales	Denne typen te kalles lokalt vårte.	kaldes; benævnes	Denne type te kaldes lokalt forårste.	kutsua; nimittää	Tällaista teetä kutsutaan paikallisesti kevätteeksi.
2143:成年1	成年1	成年	stawać się dorosłym	W tym roku właśnie stał się dorosły i może sam załatwiać formalności.	volwassen worden	Hij is dit jaar net volwassen geworden en kan de procedures zelf afhandelen.	bli vuxen	Han blev just vuxen i år och kan sköta ärendena själv.	bli voksen	Han ble nettopp voksen i år og kan ordne prosedyrene selv.	blive voksen	Han er lige blevet voksen i år og kan ordne formaliteterne selv.	tulla täysi-ikäiseksi	Hän tuli tänä vuonna juuri täysi-ikäiseksi ja voi hoitaa asiat itse.
2144:城区	城区	城区	dzielnica miejska	Ulice w starej dzielnicy miejskiej są dość wąskie.	stadsdistrict	De straten in het oude stadsdistrict zijn vrij smal.	stadsdel; stadsområde	Gatorna i den gamla stadsdelen är ganska smala.	bydel; byområde	Gatene i den gamle bydelen er ganske smale.	bydel; byområde	Gaderne i den gamle bydel er ret smalle.	kaupunkialue; kaupunginosa	Vanhan kaupunginosan kadut ovat melko kapeita.
2149:乘务员	乘务员	乘务员	obsługa; członek załogi	Obsługa przypomniała wszystkim, żeby zapięli pasy.	steward; bemanningslid	De steward herinnerde iedereen eraan de veiligheidsgordels vast te maken.	ombordpersonal; besättningsmedlem	Ombordpersonalen påminde alla om att spänna säkerhetsbältena.	ombordpersonale; besetningsmedlem	Ombordpersonalet minnet alle på å feste sikkerhetsbeltene.	kabinepersonale; besætningsmedlem	Personalet mindede alle om at spænde sikkerhedsselerne.	henkilökunta; miehistön jäsen	Henkilökunta muistutti kaikkia kiinnittämään turvavyöt.
2153:橙子	橙子	橙子	pomarańcza	Ta pomarańcza jest słodka i bardzo soczysta.	sinaasappel	Deze sinaasappel is zoet en erg sappig.	apelsin	Den här apelsinen är söt och mycket saftig.	appelsin	Denne appelsinen er søt og veldig saftig.	appelsin	Denne appelsin er sød og meget saftig.	appelsiini	Tämä appelsiini on makea ja hyvin mehukas.
2154:池	池	池	staw; basen	Na podwórzu jest mały staw.	vijver; bassin	Er is een kleine vijver op de binnenplaats.	damm; bassäng	Det finns en liten damm på gården.	dam; basseng	Det er en liten dam i gården.	dam; bassin	Der er en lille dam i gården.	lampi; allas	Pihalla on pieni lampi.
2159:充电	充电	充电	ładować; ładowanie	Telefon prawie się rozładował i trzeba go naładować.	opladen	De telefoon is bijna leeg en moet worden opgeladen.	ladda	Mobilen har nästan slut på batteri och behöver laddas.	lade	Telefonen er nesten tom for strøm og må lades.	oplade	Telefonen er næsten løbet tør for strøm og skal oplades.	ladata	Puhelimesta on melkein loppunut virta, ja se täytyy ladata.
2162:充值	充值	充值	doładować; zasilenie	Doładowałem kartę autobusową kwotą stu juanów.	opwaarderen; bijladen	Ik heb mijn buskaart met honderd yuan opgewaardeerd.	fylla på; ladda	Jag fyllde på busskortet med hundra yuan.	fylle på; lade opp	Jeg fylte på busskortet med hundre yuan.	tanke op; genoplade	Jeg tankede buskortet op med hundrede yuan.	ladata rahaa; täyttää	Latasin bussikortille sata yuania.
2165:虫子	虫子	虫子	owad; robak	W doniczce jest kilka małych robaków.	insect; beestje	Er zitten een paar kleine beestjes in de bloempot.	insekt; småkryp	Det finns några små insekter i blomkrukan.	insekt; småkryp	Det er noen små insekter i blomsterpotten.	insekt; smådyr	Der er et par små insekter i urtepotten.	hyönteinen; ötökkä	Kukkaruukussa on muutama pieni ötökkä.
2167:抽	抽	抽	wyciągnąć; palić; pompować	Wyciągnął z pudełka kartkę papieru.	eruit trekken; roken; pompen	Hij trok een vel papier uit de doos.	dra ut; röka; pumpa	Han drog ut ett papper ur lådan.	trekke ut; røyke; pumpe	Han trakk et ark papir ut av esken.	trække ud; ryge; pumpe	Han trak et stykke papir ud af æsken.	vetää ulos; polttaa; pumpata	Hän veti laatikosta paperiarkin.
2170:初	初	初	początek; wczesny	Spotkanie zaplanowano na początek przyszłego miesiąca.	begin; vroeg	De vergadering staat gepland voor het begin van volgende maand.	början; tidig	Mötet är planerat till början av nästa månad.	begynnelse; tidlig	Møtet er planlagt til begynnelsen av neste måned.	begyndelse; tidlig	Mødet er planlagt til begyndelsen af næste måned.	alku; varhainen	Kokous on määrä pitää ensi kuun alussa.
2173:初期	初期	初期	wczesny etap; początek	Projekt potrzebuje więcej funduszy na wczesnym etapie.	beginfase; vroege periode	Het project heeft in de beginfase meer geld nodig.	tidigt skede; inledande fas	Projektet behöver mer finansiering i det tidiga skedet.	tidlig fase; startfase	Prosjektet trenger mer finansiering i den tidlige fasen.	tidlig fase; indledende fase	Projektet har brug for flere midler i den tidlige fase.	alkuvaihe; varhainen vaihe	Hanke tarvitsee alkuvaiheessa lisää rahoitusta.
2175:出售	出售	出售	sprzedawać; wystawić na sprzedaż	To mieszkanie jest obecnie na sprzedaż.	verkopen; te koop aanbieden	Dit appartement staat momenteel te koop.	sälja; bjuda ut till försäljning	Den här lägenheten är just nu till salu.	selge; legge ut for salg	Denne leiligheten er for tiden til salgs.	sælge; udbyde til salg	Denne lejlighed er i øjeblikket til salg.	myydä; tarjota myyntiin	Tämä asunto on parhaillaan myynnissä.
2177:出自	出自	出自	pochodzić z; wywodzić się	To zdanie pochodzi ze starej księgi.	afkomstig zijn uit; komen uit	Deze zin komt uit een oud boek.	komma från; härstamma från	Den här meningen kommer från en gammal bok.	komme fra; stamme fra	Denne setningen kommer fra en gammel bok.	komme fra; stamme fra	Denne sætning kommer fra en gammel bog.	olla peräisin; tulla jostakin	Tämä lause on peräisin vanhasta kirjasta.
2179:处	处	处	załatwiać; radzić sobie z	On właśnie zajmuje się tym skomplikowanym problemem.	afhandelen; omgaan met	Hij behandelt dit ingewikkelde probleem.	hantera; ta itu med	Han hanterar just detta komplicerade problem.	håndtere; ta seg av	Han håndterer dette kompliserte problemet.	håndtere; tage sig af	Han håndterer dette komplicerede problem.	käsitellä; hoitaa	Hän käsittelee parhaillaan tätä monimutkaista ongelmaa.
2181:处于	处于	处于	znajdować się w; być w	Firma jest obecnie w fazie szybkiego rozwoju.	zich bevinden in; zijn in	Het bedrijf bevindt zich momenteel in een fase van snelle ontwikkeling.	befinna sig i; vara i	Företaget befinner sig nu i en snabb utvecklingsfas.	befinne seg i; være i	Selskapet befinner seg nå i en fase med rask utvikling.	befinde sig i; være i	Virksomheden befinder sig nu i en fase med hurtig udvikling.	olla jossakin tilassa; sijaita	Yritys on tällä hetkellä nopean kehityksen vaiheessa.
2182:处	处	处	miejsce; punkt	Ten stary dom został już wyremontowany.	plaats; plek	Dit oude huis is al gerepareerd.	plats; ställe	Det här gamla huset har redan reparerats.	sted; plass	Dette gamle huset er allerede reparert.	sted; plads	Dette gamle hus er allerede blevet repareret.	paikka; kohta	Tämä vanha talo on jo korjattu.
2183:传	传	传	przekazać; rozpowszechnić	Proszę przekazać te materiały wszystkim.	doorgeven; verspreiden	Geef dit materiaal alstublieft aan iedereen door.	föra vidare; sprida	Skicka vidare detta material till alla.	sende videre; spre	Vennligst send dette materialet videre til alle.	videregive; sprede	Giv venligst dette materiale videre til alle.	välittää; levittää	Välitä nämä materiaalit kaikille.
