simplified	CS	example_CS	SK	example_SK	HU	example_HU	RO	example_RO	BG	example_BG	HR	example_HR
歌	píseň	Tato píseň zní hezky.	pieseň	Táto pieseň znie pekne.	dal	Ez a dal szépen hangzik.	cântec	Acest cântec sună frumos.	песен	Тази песен звучи хубаво.	pjesma	Ova pjesma lijepo zvuči.
国	země; stát	Čína je velká země.	krajina; štát	Čína je veľká krajina.	ország; nemzet	Kína nagy ország.	țară; națiune	China este o țară mare.	държава; страна	Китай е голяма държава.	zemlja; država	Kina je velika zemlja.
还	ještě; také	Ještě si chci dát čaj.	ešte; aj	Ešte si chcem dať čaj.	még; is	Még szeretnék teát inni.	încă; de asemenea	Încă vreau să beau ceai.	още; също	Все още искам да пия чай.	još; također	Još želim piti čaj.
汉字	čínský znak	Tento čínský znak není těžký.	čínsky znak	Tento čínsky znak nie je ťažký.	kínai írásjegy	Ez a kínai írásjegy nem nehéz.	caracter chinezesc	Acest caracter chinezesc nu este dificil.	китайски йероглиф	Този китайски йероглиф не е труден.	kineski znak	Ovaj kineski znak nije težak.
好看	hezký; pěkný na pohled	Tato fotografie vypadá hezky.	pekný; pekný na pohľad	Táto fotografia vyzerá pekne.	jól néz ki; szép	Ez a fotó szép.	frumos; plăcut de privit	Această fotografie arată frumos.	красив; приятен за гледане	Тази снимка изглежда красива.	lijep; ugodan za gledanje	Ova fotografija izgleda lijepo.
好听	příjemný na poslech	Tato píseň zní hezky.	príjemný na počúvanie	Táto pieseň znie pekne.	jó hallgatni	Ez a dal szépen hangzik.	plăcut de auzit	Acest cântec sună frumos.	приятен за слушане	Тази песен звучи хубаво.	ugodan za slušanje	Ova pjesma lijepo zvuči.
好玩儿	zábavný	Tato hra je zábavná.	zábavný	Táto hra je zábavná.	szórakoztató; mókás	Ez a játék szórakoztató.	distractiv	Acest joc este distractiv.	забавен	Тази игра е забавна.	zabavan	Ova igra je zabavna.
后	vzadu; po; za	Za školou je park.	vzadu; po; za	Za školou je park.	mögött; után	Az iskola mögött van egy park.	în spate; după	În spatele școlii este un parc.	отзад; след; зад	Зад училището има парк.	iza; poslije	Iza škole je park.
火车	vlak	Jedu vlakem do Pekingu.	vlak	Idem vlakom do Pekingu.	vonat	Vonattal megyek Pekingbe.	tren	Merg cu trenul la Beijing.	влак	Отивам до Пекин с влак.	vlak	Idem vlakom u Peking.
家人	rodina; člen rodiny	Celá moje rodina je v Pekingu.	rodina; člen rodiny	Celá moja rodina je v Pekingu.	család; családtag	Az egész családom Pekingben van.	familie; membru al familiei	Toată familia mea este la Beijing.	семейство; член на семейството	Цялото ми семейство е в Пекин.	obitelj; član obitelji	Cijela moja obitelj je u Pekingu.
见	vidět; setkat se	Zítra se setkám s učitelem.	vidieť; stretnúť sa	Zajtra sa stretnem s učiteľom.	látni; találkozni	Holnap találkozom a tanárral.	a vedea; a întâlni	Mâine mă întâlnesc cu profesorul.	виждам; срещам	Утре ще се срещна с учителя.	vidjeti; susresti	Sutra ću se susresti s učiteljem.
今年	letos; tento rok	Letos se učím čínsky.	tento rok	Tento rok sa učím po čínsky.	idén; ebben az évben	Idén kínaiul tanulok.	anul acesta	Anul acesta învăț chineză.	тази година	Тази година уча китайски.	ove godine	Ove godine učim kineski.
开车	řídit auto	Táta jezdí každý den autem do práce.	šoférovať; riadiť auto	Otec každý deň jazdí autom do práce.	autót vezetni	Apa minden nap autóval megy dolgozni.	a conduce mașina	Tata merge la serviciu cu mașina în fiecare zi.	карам кола	Татко всеки ден ходи на работа с кола.	voziti auto	Tata svaki dan vozi na posao.
看病	jít k lékaři	Zítra půjdu do nemocnice k lékaři.	ísť k lekárovi	Zajtra pôjdem do nemocnice k lekárovi.	orvoshoz menni	Holnap kórházba megyek orvoshoz.	a merge la doctor	Mâine merg la spital să văd un medic.	отивам на лекар	Утре ще отида в болницата на лекар.	ići liječniku	Sutra idem u bolnicu liječniku.
没事	nic se nestalo; být v pořádku	Jsem v pořádku, neboj se.	nič sa nestalo; byť v poriadku	Som v poriadku, neboj sa.	semmi baj; jól lenni	Jól vagyok, ne aggódj.	nu-i nimic; a fi bine	Sunt bine, nu-ți face griji.	няма нищо; добре съм	Добре съм, не се тревожи.	ništa; biti u redu	Dobro sam, ne brini.
没有	nemít; není	Nemám telefon.	nemať; nie je	Nemám telefón.	nincs; nem birtokol	Nincs telefonom.	a nu avea; nu există	Nu am telefon.	нямам; няма	Нямам телефон.	nemati; nema	Nemam telefon.
们	přípona množného čísla pro osoby	Učitelé jsou v kanceláři.	prípona množného čísla pre osoby	Učitelia sú v kancelárii.	többes szám jele emberekre	A tanárok az irodában vannak.	sufix de plural pentru persoane	Profesorii sunt în birou.	суфикс за множествено число при хора	Учителите са в офиса.	nastavak množine za osobe	Učitelji su u uredu.
面条儿	nudle	V poledne jím nudle.	rezance	Na obed jem rezance.	tészta; kínai metélt	Délben tésztát eszem.	tăiței	La prânz mănânc tăiței.	нудли; юфка	На обяд ям нудли.	rezanci	U podne jedem rezance.
明年	příští rok	Příští rok pojedu do Číny.	budúci rok	Budúci rok pôjdem do Číny.	jövőre	Jövőre Kínába megyek.	anul viitor	Anul viitor voi merge în China.	следващата година	Следващата година ще отида в Китай.	sljedeće godine	Sljedeće godine idem u Kinu.
哪个	který; který z nich	Který hrnek se ti líbí?	ktorý; ktorý z nich	Ktorý pohár sa ti páči?	melyik	Melyik csészét szereted?	care; care dintre ele	Care cană îți place?	кой; кой от тях	Коя чаша ти харесва?	koji; koji od njih	Koja šalica ti se sviđa?
哪里	kde	Kde bydlíš?	kde	Kde bývaš?	hol	Hol laksz?	unde	Unde locuiești?	къде	Къде живееш?	gdje	Gdje živiš?
哪儿	kde; kam	Kam jdeš?	kde; kam	Kam ideš?	hol; hová	Hová mész?	unde; încotro	Unde mergi?	къде; накъде	Къде отиваш?	gdje; kamo	Kamo ideš?
哪些	které; které z nich	Které knihy jsou tvoje?	ktoré; ktoré z nich	Ktoré knihy sú tvoje?	melyek	Melyik könyvek a tieid?	care; care dintre ele	Care cărți sunt ale tale?	кои	Кои книги са твои?	koji; koje	Koje knjige su tvoje?
那边	tam; ta strana	Obchod je tam.	tam; tá strana	Obchod je tam.	ott; azon az oldalon	A bolt ott van.	acolo; partea aceea	Magazinul este acolo.	там; онази страна	Магазинът е там.	tamo; ona strana	Trgovina je tamo.
那个	tamten; ten	Ten student je můj kamarád.	tamten; ten	Ten študent je môj priateľ.	az; az ott	Az a diák a barátom.	acela; acel	Acel student este prietenul meu.	онзи; този там	Онзи ученик е мой приятел.	onaj	Taj učenik je moj prijatelj.
那里	tam	Učitel je tam.	tam	Učiteľ je tam.	ott	A tanár ott van.	acolo	Profesorul este acolo.	там	Учителят е там.	tamo	Učitelj je tamo.
那儿	tam	Můj kamarád je tam.	tam	Môj priateľ je tam.	ott	A barátom ott van.	acolo	Prietenul meu este acolo.	там	Моят приятел е там.	tamo	Moj prijatelj je tamo.
那些	tamty; ty	Tamta jablka jsou čerstvá.	tam tie; tie	Tie jablká sú čerstvé.	azok	Azok az almák frissek.	acelea; acei	Acele mere sunt proaspete.	онези; тези там	Онези ябълки са пресни.	oni; one	One jabuke su svježe.
男	mužský; muž	Toto dítě je chlapec.	mužský; muž	Toto dieťa je chlapec.	férfi; hímnemű	Ez a gyerek fiú.	masculin; bărbat	Acest copil este băiat.	мъжки; мъж	Това дете е момче.	muški; muškarac	Ovo dijete je dječak.
男朋友	přítel; partner	Její přítel umí řídit.	priateľ; partner	Jej priateľ vie šoférovať.	barát; fiúbarát	A barátja tud autót vezetni.	iubit; prieten	Băiatul ei știe să conducă.	приятел; гадже	Нейният приятел може да кара кола.	dečko; momak	Njezin dečko zna voziti.
你好	ahoj; dobrý den	Ahoj, jmenuji se Xiao Li.	ahoj; dobrý deň	Ahoj, volám sa Xiao Li.	szia; jó napot	Szia, Xiao Linek hívnak.	bună; salut	Bună, mă numesc Xiao Li.	здравей; добър ден	Здравей, казвам се Сяо Ли.	bok; dobar dan	Bok, zovem se Xiao Li.
你们	vy	Máte dnes hodinu?	vy	Máte dnes hodinu?	ti; önök	Ma van órátok?	voi	Aveți curs astăzi?	вие	Имате ли час днес?	vi	Imate li danas nastavu?
女	ženský; žena	Je lékařka.	ženský; žena	Je lekárka.	női; nő	Ő női orvos.	feminin; femeie	Ea este doctoriță.	женски; жена	Тя е лекарка.	ženski; žena	Ona je liječnica.
女朋友	přítelkyně; partnerka	Jeho přítelkyně má ráda hudbu.	priateľka; partnerka	Jeho priateľka má rada hudbu.	barátnő	A barátnője szereti a zenét.	iubită; prietenă	Prietena lui iubește muzica.	приятелка; гадже	Неговата приятелка обича музика.	djevojka; cura	Njegova djevojka voli glazbu.
前	před; vpředu	Před školou je knihkupectví.	pred; vpredu	Pred školou je kníhkupectvo.	előtt; elöl	Az iskola előtt van egy könyvesbolt.	în față; înainte	În fața școlii este o librărie.	пред; отпред	Пред училището има книжарница.	ispred; prije	Ispred škole je knjižara.
请问	promiňte, smím se zeptat	Promiňte, kde je toaleta?	prepáčte, smiem sa spýtať	Prepáčte, kde je toaleta?	elnézést, kérdezhetek	Elnézést, hol van a mosdó?	scuzați-mă, pot întreba	Scuzați-mă, unde este toaleta?	извинете, може ли да попитам	Извинете, къде е тоалетната?	oprostite, smijem li pitati	Oprostite, gdje je toalet?
上课	mít hodinu; začít hodinu	Máme hodinu v osm.	mať hodinu; začať hodinu	Máme hodinu o ôsmej.	órára menni; kezdődik az óra	Nyolckor van óránk.	a avea curs; a începe ora	Avem curs la ora opt.	имам час; започва часът	Имаме час в осем.	imati nastavu; početi sat	Imamo nastavu u osam.
上学	chodit do školy	Děti chodí do školy každý den.	chodiť do školy	Deti chodia do školy každý deň.	iskolába járni	A gyerekek minden nap iskolába mennek.	a merge la școală	Copiii merg la școală în fiecare zi.	ходя на училище	Децата ходят на училище всеки ден.	ići u školu	Djeca svaki dan idu u školu.
事	věc; záležitost	Dnes mám hodně věcí na práci.	vec; záležitosť	Dnes mám veľa vecí na práci.	dolog; ügy	Ma sok dolgom van.	lucru; treabă	Am multe lucruri de făcut astăzi.	работа; нещо	Днес имам много работа.	stvar; posao	Danas imam puno stvari za obaviti.
书店	knihkupectví	Knihkupectví je vedle kina.	kníhkupectvo	Kníhkupectvo je vedľa kina.	könyvesbolt	A könyvesbolt a mozi mellett van.	librărie	Librăria este lângă cinema.	книжарница	Книжарницата е до киното.	knjižara	Knjižara je pokraj kina.
睡	spát	Dítě už spí.	spať	Dieťa už spí.	aludni	A gyerek már alszik.	a dormi	Copilul deja doarme.	спя	Детето вече спи.	spavati	Dijete već spava.
说	mluvit; říct	Mluví čínsky velmi dobře.	hovoriť; povedať	Hovorí po čínsky veľmi dobre.	beszélni; mondani	Nagyon jól beszél kínaiul.	a vorbi; a spune	El vorbește chineza foarte bine.	говоря; казвам	Той говори китайски много добре.	govoriti; reći	On vrlo dobro govori kineski.
他们	oni	Oni jsou ve třídě.	oni	Oni sú v triede.	ők	Ők az osztályteremben vannak.	ei; lor	Ei sunt în sala de clasă.	те	Те са в класната стая.	oni	Oni su u učionici.
它们	oni pro věci nebo zvířata	Tyto kočky jsou malé; jsou roztomilé.	ony pre veci alebo zvieratá	Tieto mačky sú malé; sú roztomilé.	ők; azok tárgyakra vagy állatokra	Ezek a macskák kicsik; aranyosak.	ele pentru lucruri sau animale	Aceste pisici sunt mici; ele sunt drăguțe.	те за предмети или животни	Тези котки са малки; те са сладки.	one za stvari ili životinje	Ove mačke su male; slatke su.
她们	ony pro ženy	Všechny jsou vysokoškolské studentky.	ony pre ženy	Všetky sú vysokoškoláčky.	ők nőkről	Ők mind egyetemisták.	ele	Ele sunt toate studente universitare.	те за жени	Всички те са студентки.	one za žene	Sve su studentice.
天	den; nebe	Dnes je neděle.	deň; obloha	Dnes je nedeľa.	nap; ég	Ma vasárnap van.	zi; cer	Astăzi este duminică.	ден; небе	Днес е неделя.	dan; nebo	Danas je nedjelja.
听见	uslyšet	Slyšel jsem tvůj telefon.	počuť	Počul som tvoj telefón.	meghallani	Meghallottam a telefonodat.	a auzi	Am auzit telefonul tău.	чувам; дочувам	Чух телефона ти.	čuti	Čuo sam tvoj telefon.
外边	venku	Venku prší.	vonku	Vonku prší.	kint; kívül	Kint esik az eső.	afară	Afară plouă.	навън	Навън вали.	vani	Vani pada kiša.
晚	pozdní; večer	Teď je velmi pozdě.	neskorý; večer	Teraz je veľmi neskoro.	késő; este	Most nagyon késő van.	târziu; seară	Acum este foarte târziu.	късен; вечер	Сега е много късно.	kasno; večer	Sada je vrlo kasno.
晚饭	večeře	K večeři chci jíst rýži.	večera	Na večeru chcem jesť ryžu.	vacsora	Vacsorára rizst szeretnék enni.	cină	La cină vreau să mănânc orez.	вечеря	За вечеря искам да ям ориз.	večera	Za večeru želim jesti rižu.
午饭	oběd	K obědu jíme nudle.	obed	Na obed jeme rezance.	ebéd	Ebédre tésztát eszünk.	prânz	La prânz mâncăm tăiței.	обяд	На обяд ядем нудли.	ručak	Za ručak jedemo rezance.
下班	končit v práci	Mamka končí v práci v pět.	skončiť v práci	Mama končí v práci o piatej.	végezni a munkával	Anya ötkor végez a munkával.	a termina serviciul	Mama termină serviciul la ora cinci.	приключвам работа	Мама приключва работа в пет.	završiti s poslom	Mama završava s poslom u pet.
下课	konec hodiny; skončit hodinu	Po hodině jdu do knihkupectví.	koniec hodiny; skončiť hodinu	Po hodine idem do kníhkupectva.	vége az órának; óra után	Óra után a könyvesboltba megyek.	ora se termină; după curs	După curs merg la librărie.	часът свършва; след час	След часа отивам в книжарницата.	završiti sat; nakon sata	Nakon nastave idem u knjižaru.
小朋友	dítě	Děti si hrají v parku.	dieťa; malé dieťa	Deti sa hrajú v parku.	kisgyerek	A gyerekek a parkban játszanak.	copil; mic prieten	Copiii se joacă în parc.	дете; малък приятел	Децата играят в парка.	dijete; mali prijatelj	Djeca se igraju u parku.
小学	základní škola	Moje mladší sestra chodí do základní školy.	základná škola	Moja mladšia sestra chodí na základnú školu.	általános iskola	A húgom általános iskolába jár.	școală primară	Sora mea mai mică merge la școala primară.	начално училище	Малката ми сестра ходи в начално училище.	osnovna škola	Moja mlađa sestra ide u osnovnu školu.
小学生	žák základní školy	Je žák základní školy.	žiak základnej školy	Je žiak základnej školy.	általános iskolás	Ő általános iskolás.	elev de școală primară	El este elev de școală primară.	ученик в начално училище	Той е ученик в начално училище.	učenik osnovne škole	On je učenik osnovne škole.
星期日	neděle	V neděli nemám hodinu.	nedeľa	V nedeľu nemám hodinu.	vasárnap	Vasárnap nincs órám.	duminică	Duminică nu am curs.	неделя	В неделя нямам час.	nedjelja	U nedjelju nemam nastavu.
星期天	neděle	V neděli jdu do kina.	nedeľa	V nedeľu idem pozerať film.	vasárnap	Vasárnap filmet megyek nézni.	duminică	Duminică merg să văd un film.	неделя	В неделя отивам да гледам филм.	nedjelja	U nedjelju idem gledati film.
学	učit se; studovat	Učím se čínsky.	učiť sa; študovať	Učím sa po čínsky.	tanulni	Kínaiul tanulok.	a învăța; a studia	Învăț chineză.	уча	Уча китайски.	učiti	Učim kineski.
一半	polovina	Snědl jsem polovinu rýže.	polovica	Zjedol som polovicu ryže.	fele; fél	Megettem a rizs felét.	jumătate	Am mâncat jumătate din orez.	половина	Изядох половината ориз.	pola	Pojeo sam pola riže.
一下	chvilka; jednou	Prosím počkej chvíli.	chvíľa; raz	Prosím, počkaj chvíľu.	egy kicsit; egyszer	Kérlek, várj egy kicsit.	puțin; o dată	Te rog, așteaptă puțin.	малко; веднъж	Моля, почакай малко.	malo; jednom	Molim te, pričekaj malo.
一点儿	trochu	Jsem trochu unavený.	trochu	Som trochu unavený.	egy kicsit	Egy kicsit fáradt vagyok.	puțin	Sunt puțin obosit.	малко	Малко съм уморен.	malo	Malo sam umoran.
一些	několik; trochu	Koupil jsem několik jablek.	niekoľko; trochu	Kúpil som niekoľko jabĺk.	néhány; egy kevés	Vettem néhány almát.	câteva; puțin	Am cumpărat câteva mere.	няколко; малко	Купих няколко ябълки.	nekoliko; malo	Kupio sam nekoliko jabuka.
有的	někteří; některé	Někteří studenti rádi zpívají.	niektorí; niektoré	Niektorí študenti radi spievajú.	néhány; egyes	Néhány diák szeret énekelni.	unii; unele	Unii elevi adoră să cânte.	някои	Някои ученици обичат да пеят.	neki	Neki učenici vole pjevati.
有点儿	trochu; poněkud	Dnes je trochu chladno.	trochu; o niečo	Dnes je trochu chladno.	egy kicsit; kissé	Ma egy kicsit hideg van.	puțin; cam	Astăzi este puțin frig.	малко; донякъде	Днес е малко студено.	malo; pomalo	Danas je malo hladno.
有些	některé; pár	Některé knihy jsou u učitele.	niektoré; pár	Niektoré knihy sú u učiteľa.	néhány; egyes	Néhány könyv a tanárnál van.	unele; câteva	Unele cărți sunt la profesor.	някои	Някои книги са при учителя.	neki; neke	Neke knjige su kod učitelja.
雨	déšť	Dnes prší.	dážď	Dnes prší.	eső	Ma esik az eső.	ploaie	Astăzi plouă.	дъжд	Днес вали дъжд.	kiša	Danas pada kiša.
早	brzy; ráno	Každé ráno vstává velmi brzy.	skoro; ráno	Každé ráno vstáva veľmi skoro.	korán; reggel	Minden reggel nagyon korán kel.	devreme; dimineață	El se trezește foarte devreme în fiecare dimineață.	рано; сутрин	Той става много рано всяка сутрин.	rano; jutro	On ustaje vrlo rano svako jutro.
早饭	snídaně	K snídani piju mléko.	raňajky	Na raňajky pijem mlieko.	reggeli	Reggelire tejet iszom.	mic dejun	La micul dejun beau lapte.	закуска	За закуска пия мляко.	doručak	Za doručak pijem mlijeko.
怎么	jak	Jak jdeš do školy?	ako	Ako ideš do školy?	hogyan	Hogyan mész iskolába?	cum	Cum mergi la școală?	как	Как отиваш на училище?	kako	Kako ideš u školu?
这边	tato strana; sem	Prosím pojďte sem.	táto strana; sem	Prosím, poď sem.	ez az oldal; ide	Kérlek, gyere ide.	partea aceasta; pe aici	Te rog, vino pe aici.	тази страна; насам	Моля, ела насам.	ova strana; ovamo	Molim te, dođi ovamo.
这个	tento; tohle	Tento baozi je velmi chutný.	tento; toto	Tento baozi je veľmi chutný.	ez	Ez a baozi nagyon finom.	acesta; aceasta	Acest baozi este foarte gustos.	този	Този баодзъ е много вкусен.	ovaj; ovo	Ovaj baozi je vrlo ukusan.
这里	tady; zde	Tady je moje škola.	tu; tu je	Tu je moja škola.	itt	Ez itt az iskolám.	aici	Aici este școala mea.	тук	Тук е моето училище.	ovdje	Ovdje je moja škola.
这儿	tady; zde	Tady je restaurace.	tu; tu je	Tu je reštaurácia.	itt	Itt van egy étterem.	aici	Aici este un restaurant.	тук	Тук има ресторант.	ovdje	Ovdje je restoran.
这些	tyto	Tyto čínské znaky se snadno píšou.	tieto	Tieto čínske znaky sa ľahko píšu.	ezek	Ezeket a kínai írásjegyeket könnyű leírni.	acestea	Aceste caractere chinezești sunt ușor de scris.	тези	Тези китайски йероглифи се пишат лесно.	ovi; ove	Ove kineske znakove lako je pisati.
只	číslovka pro zvířata nebo jeden z páru	Pod stolem je jedna kočka.	číslovka pre zvieratá alebo jeden z páru	Pod stolom je jedna mačka.	számlálószó állatokra vagy pár egyik darabjára	Az asztal alatt van egy macska.	clasificator pentru animale sau unul dintr-o pereche	Sub masă este o pisică.	броячна дума за животни или единия от чифт	Под масата има една котка.	brojna riječ za životinje ili jedno iz para	Pod stolom je jedna mačka.
中学	střední škola	Starší bratr studuje na střední škole.	stredná škola	Starší brat študuje na strednej škole.	középiskola	A bátyám középiskolában tanul.	școală gimnazială; liceu	Fratele meu mai mare studiază la școala secundară.	средно училище	По-големият ми брат учи в средно училище.	srednja škola	Stariji brat uči u srednjoj školi.
中学生	středoškolák	Je středoškolačka.	stredoškolák	Je stredoškoláčka.	középiskolás	Ő középiskolás.	elev de școală secundară	Ea este elevă de școală secundară.	ученик в средно училище	Тя е ученичка в средно училище.	učenik srednje škole	Ona je učenica srednje škole.
字	znak; písmo	Jeho rukopis je velmi hezký.	znak; písmo	Jeho písmo je veľmi pekné.	írásjegy; kézírás	Nagyon szép a kézírása.	caracter; scris	Scrisul lui este foarte frumos.	йероглиф; почерк	Почеркът му е много красив.	znak; rukopis	Njegov rukopis je vrlo lijep.
做饭	vařit jídlo	Táta vaří v kuchyni.	variť	Otec varí v kuchyni.	főzni	Apa a konyhában főz.	a găti	Tata gătește în bucătărie.	готвя	Татко готви в кухнята.	kuhati	Tata kuha u kuhinji.
