source_headword	VI	example_VI
ironically	trớ trêu thay	Trớ trêu thay, tuyến đường này lại mất nhiều thời gian hơn.
irony	sự trớ trêu	Sự trớ trêu là điều hiển nhiên đối với mọi người.
irrelevant	không liên quan	Chi tiết đó không liên quan ở đây.
isolation	sự cô lập	Sự cô lập có thể gây hại cho sức khỏe tâm thần.
judicial	thuộc tư pháp	Cuộc xem xét tư pháp bắt đầu vào thứ Hai.
junction	giao lộ	Rẽ trái ở giao lộ.
jurisdiction	thẩm quyền	Tòa án có thẩm quyền hạn chế.
just	công bằng	Thẩm phán đã đưa ra một quyết định công bằng.
justification	lý do chính đáng	Chúng ta cần lý do chính đáng rõ ràng cho việc chi tiêu.
kidnap	bắt cóc	Bọn tội phạm đã cố gắng bắt cóc nhà ngoại giao.
kidney	thận	Chức năng thận của cô ấy đã được cải thiện.
kingdom	vương quốc	Vương quốc đã mở rộng dưới sự cai trị của ông ấy.
lad	chàng trai trẻ	Chàng trai trẻ xách những chiếc túi.
landlord	chủ nhà	Chủ nhà đã sửa hệ thống sưởi.
landmark	công trình tiêu biểu	Tòa tháp đã trở thành một công trình tiêu biểu của thành phố.
lap	lòng	Đứa trẻ ngồi trong lòng cô ấy.
large-scale	quy mô lớn	Thành phố đã lên kế hoạch sửa chữa quy mô lớn.
laser	tia laser	Tia laser đã đo khoảng cách.
latter	sau	Lựa chọn sau có vẻ an toàn hơn.
lawn	bãi cỏ	Bọn trẻ chơi trên bãi cỏ.
lawsuit	vụ kiện	Công ty đã giải quyết vụ kiện.
layout	bố cục	Bố cục trang trông rõ ràng hơn.
leak	sự rò rỉ	Vụ rò rỉ ống nước đã làm ngập nhà bếp.
leap	bước nhảy vọt	Doanh số bán hàng đã có một bước nhảy vọt đột ngột.
legacy	di sản	Di sản của bà ấy đã định hình nên trường đại học này.
legendary	huyền thoại	Ca sĩ huyền thoại đã trở lại sân khấu.
legislation	luật pháp	Luật pháp mới bảo vệ người thuê nhà.
legislative	lập pháp	Ủy ban lập pháp đã họp hôm nay.
legislature	cơ quan lập pháp	Cơ quan lập pháp đã phê duyệt ngân sách.
legitimate	chính đáng	Họ đã đưa ra những lo ngại chính đáng.
lengthy	kéo dài	Cuộc tranh luận kéo dài đã làm chậm trễ cuộc bỏ phiếu.
lesbian	đồng tính nữ	Nhà hoạt động đồng tính nữ đã phát biểu tại diễn đàn.
lesser	ít hơn	Hãy chọn rủi ro ít hơn.
lethal	gây chết người	Hóa chất này có thể gây chết người.
liable	có trách nhiệm pháp lý	Người lái xe phải chịu trách nhiệm bồi thường thiệt hại.
liberal	tự do	Anh ấy ủng hộ các chính sách xã hội tự do.
liberation	sự giải phóng	Sự giải phóng đã thay đổi tương lai của đất nước.
liberty	quyền tự do	Luật pháp bảo vệ quyền tự do cá nhân.
license	cấp phép	Tiểu bang có thể cấp phép cho các phòng khám mới.
lifelong	suốt đời	Cô ấy đã kết bạn với những người bạn suốt đời ở đó.
likelihood	khả năng	Khả năng có mưa đã tăng lên.
limb	chi	Chi bị thương lành lại từ từ.
linear	tuyến tính	Biểu đồ cho thấy một xu hướng tuyến tính.
line-up	danh sách	Danh sách tham gia lễ hội bao gồm các ban nhạc địa phương.
linger	đọng lại	Mùi có thể đọng lại trong nhiều giờ.
listing	danh sách	Danh sách căn hộ có vẻ chính xác.
literacy	khả năng đọc viết	Các chương trình xóa mù chữ cho người lớn đã mở rộng.
liver	gan	Gan lọc các chất độc hại.
lobby	sảnh	Sảnh đã đông đúc sau buổi trưa.
log	nhật ký	Hệ thống lưu giữ nhật ký hàng ngày.
logic	logic	Lập luận logic của anh ấy đã thất bại.
long-standing	lâu đời	Họ đã giải quyết một tranh chấp lâu đời.
long-time	lâu năm	Cô ấy là một tình nguyện viên lâu năm.
loom	hiện ra lù lù	Những đám mây đen hiện ra lù lù trên thung lũng.
loop	vòng lặp	Con đường mòn tạo thành một vòng lặp.
loyalty	lòng trung thành	Lòng trung thành của anh ấy đã gây ấn tượng với đội.
machinery	máy móc	Nhà máy đã lắp đặt máy móc mới.
magical	kỳ diệu	Khu vườn trông thật kỳ diệu vào ban đêm.
magistrate	thẩm phán	Vị thẩm phán đã xét xử vụ án.
magnetic	có từ tính	Từ trường ảnh hưởng đến la bàn.
magnitude	mức độ	Mức độ thiệt hại đã rõ ràng.
mainland	đất liền	Phà kết nối các hòn đảo với đất liền.
mainstream	xu hướng chủ đạo	Ý tưởng này đã đi vào nền chính trị chủ đạo.
maintenance	sự bảo trì	Việc bảo trì thường xuyên sẽ ngăn ngừa hỏng hóc.
mandate	sự uỷ thác	Tổng thống tuyên bố một sự uỷ thác mạnh mẽ.
mandatory	bắt buộc	Việc điểm danh là bắt buộc đối với các thực tập sinh.
manifest	biểu hiện	Các triệu chứng có thể biểu hiện sau nhiều tuần.
manipulate	thao túng	Đừng thao túng kết quả khảo sát.
manipulation	sự thao túng	Sự thao túng dữ liệu đã bị phát hiện.
manuscript	bản thảo	Nhà xuất bản đã chấp nhận bản thảo của cô.
march	diễu hành	Những người biểu tình sẽ diễu hành vào trung tâm thành phố.
marginal	không đáng kể	Sự thay đổi mang lại lợi ích không đáng kể.
marine	thuộc về biển	Sinh vật biển cần nước sạch.
marketplace	thị trường	Thị trường trực tuyến đã mở rộng nhanh chóng.
mask	mặt nạ	Công nhân phải đeo mặt nạ.
massacre	cuộc thảm sát	Cuộc thảm sát đã gây rúng động toàn khu vực.
mathematical	thuộc về toán học	Mô hình toán học đã dự đoán được nhu cầu.
mature	trưởng thành	Những cây trưởng thành cung cấp bóng mát.
maximize	tối đa hóa	Bản cập nhật sẽ tối đa hóa thời lượng pin.
meaningful	có ý nghĩa	Họ đã có một cuộc trò chuyện có ý nghĩa.
meantime	trong khi đó	Trong khi đó, hãy đợi ở bên ngoài.
medieval	thời trung cổ	Lâu đài có những bức tường thời trung cổ.
meditation	thiền định	Việc thiền định hàng ngày giúp tâm trí cô ấy tĩnh lặng.
melody	giai điệu	Giai điệu đó vẫn đọng lại trong đầu tôi.
memo	bản ghi nhớ	Bản ghi nhớ đã giải thích chính sách.
memoir	hồi ký	Cuốn hồi ký của cô mô tả cảnh lưu đày thời thơ ấu.
memorial	đài tưởng niệm	Đài tưởng niệm tôn vinh những người lính địa phương.
mentor	người cố vấn	Người cố vấn của cô ấy đã xem xét đề xuất.
merchant	thương gia	Người thương gia bán lụa và gia vị.
mercy	sự khoan hồng	Thẩm phán đã thể hiện sự khoan hồng.
mere	chỉ là	Chỉ một cái liếc mắt đã cho thấy lỗi.
merely	chỉ là	Cô ấy chỉ là lặp lại các hướng dẫn.
merge	sáp nhập	Hai công ty sẽ sáp nhập.
merger	sự sáp nhập	Sự sáp nhập đã tạo ra một ngân hàng lớn hơn.
merit	giá trị	Đề xuất này có giá trị rõ ràng.
methodology	phương pháp luận	Nghiên cứu giải thích phương pháp luận của nó.
midst	ở giữa	Họ làm việc giữa sự hỗn loạn.
migration	sự di cư	Sự di cư theo mùa ảnh hưởng đến việc làm ở địa phương.
militant	chiến binh	Nhóm chiến binh đã từ chối các cuộc đàm phán.
militia	dân quân	Lực lượng dân quân đã kiểm soát con đường.
mill	cối xay	Chiếc cối xay cũ đã trở thành một viện bảo tàng.
minimal	tối thiểu	Kế hoạch đòi hỏi nỗ lực tối thiểu.
minimize	giảm thiểu	Chúng ta phải giảm thiểu rủi ro không cần thiết.
mining	khai thác mỏ	Việc khai thác mỏ đã làm hỏng thung lũng sông.
ministry	bộ	Bộ đã công bố các quy định mới.
minute2	cực nhỏ	Một vết nứt cực nhỏ xuất hiện trên kính.
miracle	phép màu	Sự hồi phục của anh ấy giống như một phép màu.
misery	sự khốn khổ	Những người tị nạn đã chịu đựng nhiều năm khốn khổ.
misleading	dễ gây hiểu lầm	Biểu đồ dễ gây hiểu lầm đã làm người đọc bối rối.
missile	tên lửa	Cuộc thử nghiệm tên lửa đã làm gia tăng căng thẳng.
mob	đám đông	Đám đông giận dữ đã chặn giao thông.
mobility	tính cơ động	Xe buýt tốt hơn giúp cải thiện tính cơ động trong thành phố.
mobilize	huy động	Các nhà lãnh đạo huy động tình nguyện viên một cách nhanh chóng.
moderate	ôn hòa	Ứng cử viên này có quan điểm ôn hòa.
modification	sự sửa đổi	Thiết kế cần một sự sửa đổi.
momentum	động lực	Chiến dịch nhanh chóng lấy được động lực.
monk	nhà sư	Nhà sư sống trong im lặng.
monopoly	sự độc quyền	Công ty này nắm giữ sự độc quyền.
morality	đạo đức	Khóa học xem xét đạo đức cộng đồng.
motive	động cơ	Cảnh sát đã đặt câu hỏi về động cơ của anh ta.
motorist	người lái xe	Người lái xe đã dừng lại ở đèn đỏ.
municipal	thuộc thành phố	Các dịch vụ của thành phố đã được cải thiện trong năm nay.
mutual	lẫn nhau	Họ đã đạt được một thỏa thuận chung.
namely	cụ thể là	Vẫn còn một vấn đề, cụ thể là kinh phí.
nationwide	toàn quốc	Cuộc đình công gây ra sự chậm trễ trên toàn quốc.
naval	thuộc hải quân	Căn cứ hải quân đã đóng cửa vào năm ngoái.
neglect	bỏ bê	Đừng bỏ bê những an toàn cơ bản.
neighbouring	lân cận	Các thị trấn lân cận dùng chung bệnh viện.
nest	tổ	Con chim đã xây một cái tổ.
net	ròng	Lợi nhuận ròng tăng mạnh.
newsletter	bản tin	Bản tin đến vào thứ sáu hàng tuần.
niche	thị trường ngách	Công ty đã tìm thấy một thị trường ngách có lợi nhuận.
noble	cao cả	Nghĩa cử cao cả của cô ấy đã gây ấn tượng với mọi người.
nod	gật đầu	Vui lòng gật đầu nếu bạn hiểu.
nominate	đề cử	Họ sẽ đề cử một chủ tịch mới.
nomination	sự đề cử	Sự đề cử của cô ấy làm ủy ban ngạc nhiên.
nominee	người được đề cử	Người được đề cử đã trả lời những câu hỏi khó.
nonetheless	tuy nhiên	Tuy nhiên, kế hoạch vẫn được tiến hành.
non-profit	phi lợi nhuận	Cô ấy làm việc cho một phòng khám phi lợi nhuận.
nonsense	vô nghĩa	Tin đồn đó hoàn toàn vô lý.
noon	buổi trưa	Cuộc họp bắt đầu vào buổi trưa.
notable	đáng chú ý	Báo cáo đã đạt được tiến bộ đáng chú ý.
notably	đáng chú ý	Đáng chú ý là chi phí đã giảm trong tháng 5.
notify	thông báo	Vui lòng thông báo cho nhân viên trước khi rời đi.
notorious	khét tiếng	Con đường này khét tiếng vì các vụ tai nạn.
novel	mới lạ	Họ đã đề xuất một giải pháp mới lạ.
nursery	nhà trẻ	Nhà trẻ chăm sóc trẻ sơ sinh.
objection	sự phản đối	Luật sư đã nêu lên một sự phản đối.
oblige	bắt buộc	Các quy tắc bắt buộc tài xế phải dừng lại.
obsess	ám ảnh	Đừng ám ảnh về những lỗi nhỏ.
obsession	sự ám ảnh	Sự ám ảnh của anh ấy đã làm hỏng công việc của anh ấy.
occasional	thỉnh thoảng	Dự kiến sẽ có sự chậm trễ thỉnh thoảng.
occurrence	sự cố	Một sự cố như vậy là hiếm gặp.
odds	khả năng	Khả năng thành công đã được cải thiện.
offering	sự cung cấp	Trường đại học đã mở rộng sự cung cấp của mình.
offspring	con cái	Con cáo đã bảo vệ con cái của nó.
operational	hoạt động	Hệ thống mới đang hoạt động.
opt	chọn	Nhiều sinh viên chọn các lớp học trực tuyến.
optical	quang học	Ống kính quang học cần được làm sạch.
optimism	sự lạc quan	Sự lạc quan đã quay trở lại sau thông báo.
oral	vấn đáp	Kỳ thi vấn đáp bắt đầu vào ngày mai.
organizational	thuộc về tổ chức	Những thay đổi thuộc về tổ chức bắt đầu ngay lập tức.
orientation	sự định hướng	Buổi hội thảo đã bao gồm sự định hướng cho nhân viên.
originate	bắt nguồn	Nhiều truyền thống bắt nguồn từ các ngôi làng nông thôn.
outbreak	sự bùng phát	Sự bùng phát đã lan rộng khắp thành phố.
outing	chuyến dã ngoại	Lớp học đã tận hưởng một chuyến dã ngoại ở bảo tàng.
outlet	cửa hàng bán lẻ	Cửa hàng bán lẻ bán quần áo giảm giá.
outlook	triển vọng	Triển vọng kinh tế vẫn chưa chắc chắn.
outrage	sự phẫn nộ	Quyết định này đã gây ra sự phẫn nộ của công chúng.
outsider	người ngoài	Là một người ngoài, cô ấy đã nhận ra các vấn đề.
overlook	bỏ qua	Đừng bỏ qua những chi tiết nhỏ.
overly	quá mức	Các hướng dẫn đã quá mức phức tạp.
oversee	giám sát	Cô ấy sẽ giám sát dự án.
overturn	lật ngược	Tòa án có thể lật ngược phán quyết.
overwhelm	áp đảo	Quá nhiều thông tin có thể áp đảo người học.
overwhelming	áp đảo	Bằng chứng quá áp đảo.
pad	miếng đệm	Hãy sử dụng miếng đệm để bảo vệ đầu gối.
parameter	tham số	Hãy điều chỉnh từng tham số một.
parental	của cha mẹ	Sự hỗ trợ của cha mẹ đã cải thiện việc đi học.
parish	giáo xứ	Giáo xứ đã tổ chức một bữa tối từ thiện.
parliamentary	thuộc nghị viện	Cuộc tranh luận thuộc nghị viện kéo dài hàng giờ.
partial	một phần	Báo cáo đã đưa ra một câu trả lời một phần.
partially	một phần	Cửa sổ đã mở một phần.
passing	sự qua đời	Sự qua đời của cô ấy rất đột ngột.
passive	thụ động	Các nhà đầu tư thụ động đã chấp nhận lợi nhuận ổn định.
pastor	mục sư	Mục sư đã đến thăm gia đình.
patch	miếng vá	Chiếc áo khoác cần một miếng vá nhỏ.
patent	bằng sáng chế	Công ty đã nộp đơn xin bằng sáng chế.
pathway	con đường	Con đường này dẫn đến chứng chỉ.
patrol	tuần tra	Cảnh sát tuần tra khu vực vào ban đêm.
patron	người bảo trợ	Bảo tàng đã cảm ơn người bảo trợ của nó.
peak	đỉnh điểm	Nhu cầu đã đạt đến đỉnh điểm vào mùa đông.
peasant	nông dân	Người nông dân sở hữu rất ít đất.
peculiar	kỳ lạ	Căn phòng có một mùi kỳ lạ.
persist	kéo dài	Các triệu chứng có thể kéo dài trong nhiều ngày.
persistent	dai dẳng	Một cơn ho dai dẳng cần được chú ý.
personnel	nhân sự	Hồ sơ nhân sự là bảo mật.
petition	bản kiến nghị	Bản kiến nghị đã thu thập được hàng ngàn chữ ký.
philosopher	nhà triết học	Nhà triết học đã đặt câu hỏi về những giả định phổ biến.
philosophical	triết học	Cuộc thảo luận trở nên triết học.
physician	bác sĩ	Bác sĩ đã yêu cầu xét nghiệm máu.
pioneer	người tiên phong	Cô ấy đã trở thành một người tiên phong trong y học.
pipeline	đường ống	Đường ống mang khí đốt dưới lòng đất.
pirate	cướp biển	Tàu cướp biển đã xuất hiện ngoài khơi.
pit	cái hố	Các công nhân đã đào một cái hố sâu.
plea	lời cầu xin	Lời cầu xin giúp đỡ của anh ấy đã bị phớt lờ.
plead	nhận tội	Kẻ tình nghi sẽ nhận tội.
pledge	cam kết	Họ cam kết hỗ trợ cho các cải cách.
plug	cắm	Hãy cắm dây cáp vào ổ cắm.
plunge	giảm mạnh	Giá có thể giảm mạnh sau vụ bê bối.
pole	cái cột	Lá cờ được treo trên một cái cột.
poll	cuộc thăm dò	Cuộc thăm dò cho thấy những ý kiến đang thay đổi.
pond	cái ao	Những con vịt đã băng qua cái ao đóng băng.
pop	nổ tung	Bóng bay nổ tung khi ở gần các vật sắc nhọn.
portfolio	danh mục đầu tư	Danh mục đầu tư của cô ấy bao gồm một vài công ty khởi nghiệp.
portray	miêu tả	Bộ phim sẽ miêu tả cuộc sống nông thôn.
postpone	hoãn lại	Họ đã quyết định hoãn lại phiên điều trần.
post-war	hậu chiến	Nhà ở hậu chiến đang rất cần thiết.
practitioner	người hành nghề	Người hành nghề đã giải thích về phương pháp điều trị.
preach	giảng đạo	Mục sư sẽ giảng đạo vào Chủ Nhật.
precedent	tiền lệ	Phán quyết đã tạo ra một tiền lệ quan trọng.
precision	sự chính xác	Cỗ máy cắt với sự chính xác.
predator	động vật ăn thịt	Động vật ăn thịt đã chực chờ gần con sông.
predecessor	người tiền nhiệm	Người tiền nhiệm của cô ấy đã để lại những ghi chú chi tiết.
predominantly	chủ yếu	Khu vực này chủ yếu là khu dân cư.
pregnancy	sự mang thai	Sự mang thai đòi hỏi việc chăm sóc y tế thường xuyên.
prejudice	thành kiến	Chiến dịch đã thách thức thành kiến chủng tộc.
preliminary	sơ bộ	Kết quả sơ bộ có vẻ hứa hẹn.
premier	thủ tướng	Thủ tướng đã phát biểu trước quốc hội vào hôm nay.
premise	tiền đề	Lập luận dựa trên một tiền đề sai lầm.
premium	phí phụ thêm	Khách hàng đã trả thêm tiền để có tốc độ.
prescribe	kê đơn	Các bác sĩ kê đơn thuốc kháng sinh một cách cẩn thận.
prescription	đơn thuốc	Đơn thuốc sẽ hết hạn vào tháng tới.
presently	hiện tại	Cô ấy hiện tại không rảnh.
preservation	sự bảo tồn	Sự bảo tồn bảo vệ các tòa nhà lịch sử.
preside	chủ trì	Thẩm phán sẽ chủ trì phiên tòa.
presidency	nhiệm kỳ tổng thống	Nhiệm kỳ tổng thống của ông kéo dài tám năm.
presidential	thuộc về tổng thống	Cuộc bầu cử tổng thống đã thu hút sự chú ý.
prestigious	uy tín	Cô ấy đã giành được một học bổng uy tín.
presumably	có lẽ	Văn phòng có lẽ đóng cửa vào hôm nay.
presume	cho là	Chúng tôi cho là các tài liệu này là thật.
prevail	thắng thế	Ý thức chung sẽ thắng thế.
prevalence	sự phổ biến	Sự phổ biến của bệnh hen suyễn đã gia tăng.
prevention	sự phòng ngừa	Sự phòng ngừa thì rẻ hơn so với việc sửa chữa.
