source_headword	TR	example_TR
law	yasa	Bu yasa herkesi ilgilendirir.
lawyer	avukat	Avukat mahkemede konuştu.
lazy	tembel	Bugün çok tembel.
lead1	liderlik etmek	Takıma iyi liderlik etti.
leader	lider	Lider planı açıkladı.
learning	öğrenme	Öğrenme her gün gerekir.
least	en az	Bu en düşük fiyat.
lecture	ders	Ders sabah başladı.
lemon	limon	Suya limon ekledi.
lend	ödünç vermek	Lütfen bana kalem ödünç verin.
less	daha az	Bugün daha az insan var.
level	seviye	İngilizce seviyesi gelişti.
lifestyle	yaşam tarzı	Sağlıklı yaşam tarzı önemlidir.
lift	asansör	Asansör üçüncü katta durdu.
light	yakmak	Mumu yaktı.
light (not heavy)	hafif	Bu çanta hafif.
likely	muhtemel	Bugün yağmur muhtemel.
link	bağlantı	Bu iki fikir arasında bağlantı var.
listener	dinleyici	Dinleyici dikkatle dinledi.
lock	kilitlemek	Çıkarken kapıyı kilitleyin.
lorry	kamyon	Kamyon malları getirdi.
lost	kayıp	Kayıp telefon sonra bulundu.
loud	yüksek sesli	Müzik çok yüksek sesliydi.
loudly	yüksek sesle	Yüksek sesle konuştu.
lovely	harika	Bu harika bir gün.
low	düşük	Bugün sıcaklık düşük.
luck	şans	İyi şansı vardı.
lucky	şanslı	Çok şanslı.
mail	posta	Bugün posta geç geldi.
major	başlıca	Bu başlıca sorun.
male	erkek	Erkek kuş renklidir.
manage	yönetmek	Zamanını iyi yönetti.
manager	müdür	Müdür toplantı çağırdı.
manner	tavır	Konuşma tavrı yumuşak.
mark	işaret	Kitapta kırmızı bir işaret var.
marry	evlenmek	Gelecek ay evlenecekler.
material	malzeme	Bu malzeme yumuşak.
mathematics	matematik	Matematik öğreniyor.
maths	matematik	Matematiği seviyor.
matter	mesele	Bu küçük bir mesele değil.
may modal	olabilir	Geç gelebilir.
media	medya	Medya haberi yaydı.
medical	tıbbi	Tıbbi yardıma ihtiyacı var.
medicine	ilaç	İlacı zamanında alın.
memory	anı	Bu gün güzel bir anı.
mention	bahsetmek	Adımdan da bahsetti.
metal	metal	Kapı metalden yapılmış.
method	yöntem	Bu yöntem kolay.
middle	orta	Masa odanın ortasında.
might modal	olabilir	Bugün yağmur yağabilir.
mind	zihin	Aklında bir soru vardı.
mine (belongs to me)	benimki	Bu kitap benimki.
mirror	ayna	Ayna duvarda asılı.
missing	kayıp	Kayıp anahtar bulundu.
mobile	cep telefonu	Cep telefonu masada.
monkey	maymun	Maymun ağaca tırmandı.
moon	ay	Gece ay parlaktı.
mostly	çoğunlukla	Oda çoğunlukla boştu.
motorcycle	motosiklet	Motosiklet hızlı gitti.
movement	hareket	Elinin hareketi hızlıydı.
musical	müzikal	Bu müzikal bir program.
musician	müzisyen	Müzisyen sahnede şarkı söyledi.
myself	kendim	Yemeği kendim hazırladım.
narrow	dar	Yol çok dar.
national	ulusal	Bu ulusal bir bayram.
nature	doğa	Doğa sakin.
nearly	neredeyse	Neredeyse hazır.
necessary	gerekli	Bu belge gerekli.
neck	boyun	Boynu ağrıyor.
neither	hiçbiri	Onların hiçbiri bu rengi sevmedi.
nervous	gergin	Sınavdan önce gergindi.
network	ağ	Burada telefon ağı zayıf.
noise	gürültü	Dışarıda büyük gürültü duyuldu.
noisy	gürültülü	Sokak çok gürültülü.
none	hiçbir şey	Kutuda hiçbir şey yok.
normal	normal	Bu normal bir durum.
normally	normalde	Normalde erken gelir.
notice	fark etmek	Lütfen değişikliği fark edin.
novel	roman	Yeni bir roman okuyor.
nowhere	hiçbir yer	Anahtar hiçbir yerde yok.
nut	fındık	Bir fındık yedi.
ocean	okyanus	Okyanus çok geniş.
offer	teklif	Yardım teklifi yaptılar.
officer	görevli	Görevli belgeyi kontrol etti.
oil	yağ	Tencereye yağ koydu.
onto	üzerine	Kedi sandalyenin üzerine atladı.
opportunity	fırsat	Bu iyi bir fırsat.
option	seçenek	Başka bir seçeneğimiz var.
ordinary	sıradan	Bu sıradan bir gün.
organization	kuruluş	Kuruluş çocuklara yardım ediyor.
organize	düzenlemek	Etkinliği düzenlediler.
original	özgün	Bu özgün bir resim.
ourselves	kendimiz	Odayı kendimiz temizledik.
oven	fırın	Ekmek fırında pişiyor.
owner	sahip	Dükkanın sahibi oradaydı.
pack	paketlemek; toplamak	Çantasını hazırladı.
pain	ağrı	Bacağında ağrı var.
painter	ressam	Ressam resmi boyadı.
palace	saray	Eski saray açık.
pants	pantolon	Yeni pantolon aldı.
parking	otopark	Burada otopark ücretsiz.
particular	belirli	Belirli bir nedeni vardı.
pass	geçmek	Araba köprüden geçti.
passenger	yolcu	Yolcu biletini gösterdi.
patient	sabırlı	Öğretmen çok sabırlıydı.
pattern	desen	Kumaşta güzel bir desen var.
peace	barış	Herkes barış istiyor.
penny	bozuk para	Bozuk parayı aldı.
per	başına	Her kişi başına bir bilet verdiler.
per cent	yüzde	Fiyat yüzde beş düştü.
perform	sergilemek	Çocuklar sahnede dans sergiledi.
perhaps	belki	Belki evdedir.
permission	izin	Gitmesi için izin verdiler.
personality	kişilik	Kişiliği nazik.
pet	evcil hayvan	Evcil hayvanı bir köpek.
petrol	benzin	Arabada benzin az.
physical	fiziksel	Fiziksel egzersiz sağlığa iyi gelir.
physics	fizik	Fizik öğreniyor.
pick	almak	Yerden kalemi aldı.
pilot	pilot	Pilot yolcuları selamladı.
planet	gezegen	Dünya bir gezegendir.
plastic	plastik	Şişe plastikten yapılmış.
plate	tabak	Tabağı masaya koydular.
platform	peron	Tren üçüncü perona geldi.
pleased	memnun	Sonuçtan memnun.
pocket	cep	Anahtarı cebine koydu.
polite	kibar	Bu çocuk çok kibar.
pollution	kirlilik	Şehirde kirlilik artıyor.
pop	pop müzik	Pop müzik dinliyor.
population	nüfus	Şehrin nüfusu büyük.
position	konum	Listedeki konumu yüksek.
possession	mülkiyet	Kitap artık onun mülkiyetinde.
possibility	olasılık	Kazanma olasılığı hala var.
poster	afiş	Afişi duvara astılar.
power	güç	Arabaya daha fazla güç gerekiyor.
predict	tahmin etmek	Yarınki havayı tahmin ettiler.
president	başkan	Başkan konuşma yaptı.
prevent	önlemek	Sorunu önledi.
print	yazdırmak	Lütfen bu sayfayı yazdırın.
printer	yazıcı	Yazıcı bugün çalışmıyor.
prison	hapishane	Hırsız hapishaneye girdi.
prize	ödül	Yarışmada ödül aldı.
process	süreç	Bu süreç zaman alır.
produce	üretmek	Fabrika oyuncak üretiyor.
professional	profesyonel	Profesyonel bir oyuncu.
professor	profesör	Profesör soruyu açıkladı.
profile	profil	Profilini güncelledi.
program	program	Program akşam başlıyor.
progress	ilerleme	Çalışmasında ilerleme var.
promise	söz vermek	Zamanında gelmeye söz verdi.
pronounce	telaffuz etmek	Bu kelimeyi net telaffuz edin.
protect	korumak	Ağaçlar doğayı korur.
provide	sağlamak	Okul ücretsiz yemek sağlıyor.
pub	pub; bar	Akşam barda buluştular.
public	halka açık	Bu halka açık bir park.
publish	yayımlamak	Kitabı gelecek yıl yayımlayacaklar.
pull	çekmek	Kapıyı açmak için kolu çekin.
purpose	amaç	Bu toplantının amacı açık.
push	itmek	Kapıyı açmak için itin.
quality	kalite	Bu gömleğin kalitesi iyi.
quantity	miktar	Miktarı dikkatle ölçün.
queen	kraliçe	Kraliçe sarayda yaşıyordu.
quietly	sessizce	Odaya sessizce girdi.
race (competition)	yarış	Yarış sabah başladı.
railway	demiryolu	Demiryolu istasyonu yakın.
raise	kaldırmak	Elini kaldırdı.
rate	ücret	Odanın ücreti yüksek.
rather	oldukça	Bu oldukça zor.
reach	ulaşmak	Akşam eve ulaştık.
react	tepki vermek	Habere sakin tepki verdi.
realize	fark etmek	Hatasını fark etti.
receive	almak	Mektubu aldı.
recent	son	Son haberler önemli.
recently	yakın zamanda	Yakın zamanda buraya geldi.
reception	resepsiyon	Anahtarı resepsiyondan sorun.
recipe	tarif	Bu tarif kolay.
recognize	tanımak	Eski arkadaşını tanıdı.
recommend	tavsiye etmek	Bu kitabı tavsiye ederim.
record	kaydetmek	Bilgiyi kaydetti.
recording	kayıt	Kayıt şimdi başlıyor.
recycle	geri dönüştürmek	Kağıdı geri dönüştürüyoruz.
reduce	azaltmak	Lütfen sesi azaltın.
refer	atıfta bulunmak	Öğretmen eski derse atıfta bulundu.
refuse1	reddetmek	Yardımı reddetti.
region	bölge	Bu bölge çok sıcak.
regular	düzenli	Düzenli spor yapıyor.
relationship	ilişki	İlişkileri güçlü.
remove	kaldırmak	Kitabı masadan kaldırın.
repair	tamir etmek	Bisikleti tamir etti.
replace	değiştirmek	Eski lambayı değiştirin.
reply	cevap	Cevabı kısaydı.
reporter	muhabir	Muhabir soru sordu.
request	istek	Yardım isteğinde bulundu.
research	araştırma	Yeni bir araştırma yaptı.
researcher	araştırmacı	Araştırmacı sonuçları açıkladı.
respond	cevap vermek	Soruyu cevapladı.
response	cevap	Cevap çok hızlıydı.
rest (remaining part)	kalan kısım	Kalan kısmı yarın bitireceğiz.
rest (sleep/relax)	dinlenmek	Biraz dinlendi.
review	gözden geçirme	Öğretmen dersi gözden geçirdi.
ring1	yüzük	Gümüş yüzük takıyordu.
ring2	çalmak	Telefon birden çaldı.
rise	yükselmek	Sabah güneş yükselir.
rock (stone)	taş	Çocuk küçük bir taş aldı.
