source_headword	VI	example_VI
impossible	không thể	Câu đố này có vẻ không thể giải được.
included	được bao gồm	Bữa sáng đã được bao gồm.
including	bao gồm	Mười người đến, bao gồm cả tôi.
increase	tăng	Giá cả tăng vào mùa hè.
incredible	đáng kinh ngạc	Khung cảnh thật đáng kinh ngạc.
independent	độc lập	Chị gái tôi rất độc lập.
individual	cá nhân	Mỗi cá nhân có một số.
industry	ngành công nghiệp	Ngành công nghiệp địa phương đang phát triển.
informal	thân mật; không trang trọng	Email này khá thân mật.
injury	chấn thương	Chấn thương của anh ấy không nghiêm trọng.
insect	côn trùng	Một con côn trùng đậu lên cái cốc.
inside	bên trong	Hãy đợi bên trong ngôi nhà.
instead	thay vào đó	Hãy uống nước thay vào đó.
instruction	lời hướng dẫn	Hãy đọc kỹ từng lời hướng dẫn.
instructor	người hướng dẫn	Người hướng dẫn giải thích bài tập.
instrument	nhạc cụ	Cô ấy chơi một nhạc cụ.
intelligent	thông minh	Anh ấy là một học sinh thông minh.
international	quốc tế	Đây là sân bay quốc tế.
introduction	lời giới thiệu	Phần giới thiệu rất ngắn.
invent	phát minh; nghĩ ra	Trẻ em có thể nghĩ ra trò chơi mới.
invention	phát minh	Phát minh này tiết kiệm thời gian.
invitation	lời mời	Tôi nhận được một lời mời.
invite	mời	Hãy mời bạn của bạn nữa.
involve	bao gồm; liên quan đến	Công việc này sẽ liên quan đến việc đi lại.
item	món; mục	Hãy chọn một món.
itself	chính nó	Cái máy tự tắt.
jam	mứt	Hãy phết mứt lên bánh mì.
jazz	nhạc jazz	Nhạc jazz tối nay nghe rất hay.
jewellery	trang sức	Cô ấy giữ trang sức trong hộp.
joke	câu chuyện cười	Hãy kể cho tôi một câu chuyện cười.
journalist	nhà báo	Nhà báo đặt câu hỏi.
jump	nhảy	Hãy nhảy qua vạch.
kid	đứa trẻ	Đứa trẻ đang cười.
kill	giết	Đừng giết con côn trùng.
king	vua; quốc vương	Vị vua sống trong cung điện.
knee	đầu gối	Đầu gối của tôi đau.
knife	dao; con dao sắc	Hãy dùng một con dao sắc.
knock	gõ cửa	Hãy gõ cửa trước khi vào.
knowledge	kiến thức	Kiến thức tăng lên nhờ luyện tập.
lab	phòng thí nghiệm	Phòng thí nghiệm đã đóng cửa.
lady	quý bà; người phụ nữ	Người phụ nữ mỉm cười với chúng tôi.
lake	hồ	Cái hồ rất yên tĩnh.
lamp	đèn	Hãy bật đèn lên.
laptop	máy tính xách tay	Máy tính xách tay của tôi còn mới.
last1 (taking time)	kéo dài	Bộ phim kéo dài hai giờ.
laughter	tiếng cười	Chúng tôi nghe tiếng cười bên ngoài.
law	luật	Luật đã thay đổi hôm qua.
lawyer	luật sư	Luật sư đã gọi cho tôi.
lazy	lười biếng	Đừng lười biếng.
lead1	dẫn dắt; lãnh đạo	Người lãnh đạo tốt dẫn dắt bằng ví dụ.
leader	người lãnh đạo	Cô ấy là trưởng nhóm.
learning	việc học	Việc học cần thời gian.
least	ít nhất; kém nhất	Hãy chọn cái ít đắt nhất.
lecture	bài giảng	Bài giảng bắt đầu lúc mười giờ.
lemon	chanh; quả chanh	Hãy thêm chanh vào trà.
lend	cho mượn	Bạn có thể cho tôi mượn năm đô la không?
less	ít hơn	Hãy ăn ít đường hơn.
level	cấp độ	Cấp độ này dễ.
lifestyle	lối sống	Anh ấy có lối sống lành mạnh.
lift	nâng; nhấc	Hãy nâng cái hộp cẩn thận.
light	thắp sáng; châm	Hãy thắp nến cẩn thận.
light (not heavy)	nhẹ	Cái túi này nhẹ.
likely	có khả năng	Có khả năng trời mưa ngày mai.
link	liên kết	Hãy gửi cho tôi liên kết.
listener	người nghe	Hãy là một người nghe tốt.
lock	khóa	Hãy khóa cửa.
lorry	xe tải	Chiếc xe tải chở nhiều hộp.
lost	bị lạc	Chúng tôi bị lạc.
loud	to; ồn	Âm nhạc rất to.
loudly	một cách to tiếng	Xin đừng nói to như vậy.
lovely	đáng yêu	Khu vườn thật đáng yêu!
low	thấp	Chiếc ghế này thấp.
luck	may mắn	Chúc bạn may mắn với bài kiểm tra.
lucky	may mắn	Hôm nay bạn thật may mắn.
mail	thư; bưu phẩm	Tôi nhận được thư sáng nay.
major	lớn; quan trọng	Đây là một vấn đề lớn.
male	đực; nam	Con chim đực có màu sáng.
manage	quản lý; xoay xở	Bạn có thể xoay xở nhiệm vụ này không?
manager	người quản lý	Người quản lý đang bận.
manner	cách thức; thái độ	Hãy nói với thái độ lịch sự.
mark	đánh dấu; điểm	Hãy đánh dấu câu trả lời rõ ràng.
marry	kết hôn	Họ sẽ kết hôn vào tháng sáu.
material	vật liệu; chất liệu	Chất liệu này mềm.
mathematics	toán học	Toán học là môn yêu thích của tôi.
maths	toán	Môn toán khó đối với tôi.
matter	vấn đề; quan trọng	Điều đó không quan trọng.
may modal	có thể; được phép	Bạn có thể rời đi bây giờ.
media	truyền thông	Truyền thông đưa tin về câu chuyện.
medical	thuộc y tế	Cô ấy cần trợ giúp y tế.
medicine	thuốc	Hãy uống thuốc này sau bữa trưa.
memory	trí nhớ; ký ức	Trí nhớ của tôi tốt.
mention	nhắc đến	Đừng nhắc đến tên tôi.
metal	kim loại	Cánh cổng làm bằng kim loại.
method	phương pháp	Phương pháp này hoạt động tốt.
middle	giữa	Hãy đứng ở giữa.
might modal	có thể; có lẽ	Có thể trời sẽ mưa sau đó.
mind	tâm trí; ý định	Tôi đã đổi ý.
mine (belongs to me)	của tôi	Quyển sách này là của tôi.
mirror	gương	Hãy nhìn vào gương.
missing	bị mất	Chìa khóa của tôi bị mất.
mobile	điện thoại di động	Điện thoại di động của tôi ở trên bàn.
monkey	con khỉ	Con khỉ trèo lên cây.
moon	mặt trăng	Mặt trăng rất sáng.
mostly	chủ yếu	Lớp học chủ yếu yên tĩnh.
motorcycle	xe máy	Anh ấy đi xe máy.
movement	chuyển động	Tôi thấy chuyển động trong những cái cây.
musical	thuộc âm nhạc; vở nhạc kịch	Đây là một bộ phim ca nhạc.
musician	nhạc sĩ	Người nhạc sĩ chơi ghi-ta.
myself	chính tôi	Tôi tự làm cái này.
narrow	hẹp	Con đường hẹp.
national	quốc gia	Đó là ngày lễ quốc gia.
nature	thiên nhiên	Tôi yêu thiên nhiên.
nearly	gần như	Chúng ta gần đến nơi rồi.
necessary	cần thiết	Điều này có cần thiết không?
neck	cổ	Cổ của tôi đau.
neither	không cái nào trong hai	Không câu trả lời nào đúng.
nervous	lo lắng	Cô ấy cảm thấy lo lắng.
network	mạng	Mạng bị hỏng.
noise	tiếng ồn	Tôi nghe thấy một tiếng ồn lớn.
noisy	ồn ào	Con phố rất ồn ào.
none	không ai; không cái nào	Không ai trong số họ đến.
normal	bình thường	Điều này bình thường.
normally	thường	Thường thì tôi thức dậy sớm.
notice	nhận thấy; thông báo	Bạn có nhận thấy biển báo không?
novel	tiểu thuyết	Cô ấy viết một cuốn tiểu thuyết.
nowhere	không nơi nào	Không có nơi nào để ngồi.
nut	hạt; quả hạch	Hạt này cứng.
ocean	đại dương	Đại dương rất sâu.
offer	đề nghị; lời đề nghị	Tôi đã chấp nhận lời đề nghị.
officer	viên chức; sĩ quan	Viên chức kiểm tra vé của tôi.
oil	dầu	Hãy cho dầu vào chảo.
onto	lên trên	Hãy đặt nó lên kệ.
opportunity	cơ hội	Đây là một cơ hội tốt.
option	lựa chọn	Hãy chọn lựa chọn tốt nhất.
ordinary	bình thường	Đó là một ngày bình thường.
organization	tổ chức	Tổ chức này giúp học sinh.
organize	tổ chức; sắp xếp	Làm ơn sắp xếp các tệp.
original	gốc; ban đầu	Hãy giữ biên lai gốc.
ourselves	chính chúng tôi	Chúng tôi tự nấu bữa tối.
oven	lò nướng	Lò nướng đang nóng.
owner	chủ sở hữu	Chủ cửa hàng mở cửa tiệm.
pack	đóng gói; xếp đồ	Hãy xếp túi của bạn ngay.
pain	cơn đau	Tôi cảm thấy đau ở lưng.
painter	họa sĩ; thợ sơn	Người thợ sơn hoàn thành bức tường.
palace	cung điện	Cung điện rất cổ.
pants	quần dài	Chiếc quần này quá dài.
parking	việc đỗ xe; chỗ đậu xe	Việc đỗ xe ở đây khó.
particular	cụ thể; riêng	Hôm nay tôi cần một quyển sách cụ thể.
pass	đưa; vượt qua	Hãy đưa muối cho tôi.
passenger	hành khách	Mỗi hành khách cần một vé.
patient	bệnh nhân; kiên nhẫn	Hãy kiên nhẫn với trẻ em.
pattern	mẫu; hoa văn	Mẫu này đơn giản.
peace	hòa bình	Tất cả chúng ta đều muốn hòa bình.
penny	đồng xu nhỏ	Tôi tìm thấy một đồng xu nhỏ.
per	mỗi; trên mỗi	Vé giá mười đô la mỗi người.
per cent	phần trăm	Năm phần trăm là nhỏ.
perform	biểu diễn	Ban nhạc sẽ biểu diễn tối nay.
perhaps	có lẽ	Có lẽ cô ấy ở nhà.
permission	sự cho phép	Hãy xin phép trước.
personality	tính cách	Anh ấy có tính cách thân thiện.
pet	thú cưng	Thú cưng của tôi là một con mèo.
petrol	xăng	Chiếc xe cần xăng.
physical	thuộc thể chất	Tập thể dục giúp sức khỏe.
physics	vật lý	Môn vật lý khó.
pick	chọn; hái	Hãy chọn một lá bài.
pilot	phi công	Phi công nói rõ ràng.
planet	hành tinh	Trái Đất là một hành tinh.
plastic	nhựa	Cái chai này làm bằng nhựa.
plate	đĩa	Hãy đặt thức ăn lên đĩa.
platform	sân ga; nền tảng	Hãy đợi ở sân ga số hai.
pleased	hài lòng; vui	Tôi rất vui được gặp bạn.
pocket	túi áo; túi quần	Vé ở trong túi của tôi.
polite	lịch sự	Hãy lịch sự với mọi người.
pollution	ô nhiễm	Ô nhiễm làm hại đại dương.
pop	nhạc pop	Tôi thích nhạc pop.
population	dân số	Dân số đang tăng.
position	vị trí; tư thế	Hãy thay đổi tư thế của bạn.
possession	tài sản	Chiếc nhẫn này là tài sản của tôi.
possibility	khả năng	Có khả năng trời mưa.
poster	áp phích	Hãy dán áp phích lên tường.
power	điện; sức mạnh	Máy tính cần điện.
predict	dự đoán	Chúng tôi không thể dự đoán thời tiết.
president	tổng thống; chủ tịch	Tổng thống đã phát biểu.
prevent	ngăn ngừa; ngăn chặn	Hãy rửa tay để ngăn ngừa bệnh.
print	in; in ấn	Hãy in tài liệu.
printer	máy in	Máy in bị hỏng.
prison	nhà tù	Anh ấy vào tù.
prize	giải thưởng	Cô ấy đã thắng một giải thưởng.
process	quá trình	Quá trình này mất thời gian.
produce	sản xuất; tạo ra	Nông trại sản xuất thực phẩm.
professional	chuyên nghiệp	Cô ấy là một vũ công chuyên nghiệp.
professor	giáo sư	Giáo sư trả lời câu hỏi.
profile	hồ sơ	Hãy cập nhật hồ sơ của bạn.
program	chương trình	Chương trình bắt đầu bây giờ.
progress	tiến bộ; tiến trình	Hôm nay chúng tôi đã có tiến bộ.
promise	hứa; lời hứa	Hãy giữ lời hứa của bạn.
pronounce	phát âm	Làm ơn phát âm từ này.
protect	bảo vệ	Hãy bảo vệ mắt của bạn.
provide	cung cấp	Họ cung cấp nước miễn phí.
pub	quán rượu	Chúng tôi gặp nhau ở quán rượu.
public	công cộng; công chúng	Công viên này là nơi công cộng.
publish	xuất bản	Họ xuất bản một tạp chí.
pull	kéo	Hãy kéo cửa.
purpose	mục đích	Mục đích là gì?
push	đẩy; bấm	Hãy bấm nút.
quality	chất lượng	Chất lượng rất cao.
quantity	số lượng	Hãy kiểm tra số lượng.
queen	nữ hoàng	Nữ hoàng vẫy tay.
quietly	một cách yên lặng	Hãy nói nhỏ thôi.
race (competition)	cuộc đua	Cuộc đua sắp bắt đầu.
railway	đường sắt	Đường sắt đã đóng.
raise	giơ lên; tăng	Hãy giơ tay lên.
rate	mức giá; tỷ lệ	Mức giá khách sạn cao.
rather	khá	Tôi khá mệt.
reach	với tới; đến được	Bạn có với tới cái kệ không?
react	phản ứng	Anh ấy đã phản ứng thế nào?
realize	nhận ra	Tôi nhận ra lỗi của mình.
receive	nhận	Bạn đã nhận được tin nhắn của tôi chưa?
recent	gần đây	Đây là một bức ảnh gần đây.
recently	gần đây	Gần đây tôi đã chuyển đến đây.
reception	lễ tân; buổi tiếp đón	Buổi tiếp đón diễn ra vào thứ hai.
recipe	công thức nấu ăn	Công thức này dễ.
recognize	nhận ra	Tôi nhận ra bài hát đó.
recommend	giới thiệu; khuyên	Tôi giới thiệu quyển sách này.
record	hồ sơ; ghi lại	Hãy giữ hồ sơ các khoản thanh toán.
recording	bản ghi âm	Bản ghi âm nghe rõ.
recycle	tái chế	Hãy tái chế giấy và nhựa.
reduce	giảm	Hãy giảm nhiệt.
refer	tham khảo; nhắc đến	Hãy tham khảo trang hai.
refuse1	từ chối	Tôi từ chối nói dối.
region	vùng; khu vực	Khu vực này lạnh.
regular	thường xuyên; đều đặn	Anh ấy là khách hàng thường xuyên.
relationship	mối quan hệ	Mối quan hệ của họ rất bền.
remove	tháo ra; loại bỏ	Hãy cởi giày ra.
repair	sửa chữa	Hãy sửa chiếc xe đạp hôm nay.
replace	thay thế	Hãy thay pin cũ.
reply	trả lời	Làm ơn trả lời sớm.
reporter	phóng viên	Phóng viên ghi chép.
request	yêu cầu	Tôi đã đưa ra một yêu cầu.
research	nghiên cứu	Chúng tôi nghiên cứu lịch sử địa phương.
researcher	nhà nghiên cứu	Nhà nghiên cứu kiểm tra dữ liệu.
respond	phản hồi	Làm ơn phản hồi hôm nay.
response	phản hồi	Phản hồi của cô ấy rất nhanh.
rest (remaining part)	phần còn lại	Hãy ăn phần còn lại sau.
rest (sleep/relax)	nghỉ ngơi	Bạn cần nghỉ ngơi.
review	ôn lại; đánh giá	Hãy ôn lại ghi chú tối nay.
ring1	nhẫn	Cô ấy đeo một chiếc nhẫn vàng.
ring2	gọi điện; reo chuông	Hãy gọi cho tôi sau bữa trưa.
rise	tăng; mọc	Giá cả tăng mỗi năm.
rock (stone)	đá	Hòn đá này nặng.
