source_headword	BN	example_BN
mechanic	মিস্ত্রি	মিস্ত্রিটি বাসটি মেরামত করেছেন।
mechanical	যান্ত্রিক	ঘড়িটির একটি যান্ত্রিক ত্রুটি রয়েছে।
mechanism	মেকানিজম	তালার মেকানিজমটি সহজ।
medal	পদক	সে একটি সোনার পদক জিতেছে।
medication	ওষুধ	জলের সাথে ওষুধ খান।
membership	সদস্যপদ	জিমের সদস্যপদ অনলাইনে কম খরচে পাওয়া যায়।
memorable	স্মরণীয়	সফরটি স্মরণীয় ছিল।
metaphor	রূপক	কবিতাটিতে একটি শক্তিশালী রূপক ব্যবহার করা হয়েছে।
miner	খনিশ্রমিক	খনিশ্রমিকটি মাটির নিচে কাজ করেছিল।
miserable	শোচনীয়	বৃষ্টির কারণে পিকনিকটি শোচনীয় হয়ে উঠেছিল।
mode	মোড	ক্যামেরাটি নাইট মোডে পরিবর্তন করুন।
modest	সাধারণ	তারা একটি সাধারণ বাড়িতে বাস করে।
monster	দানব	গল্পটিতে একটি ভীতিকর দানব রয়েছে।
monthly	মাসিক	আমরা মাসিক ভাড়া প্রদান করি।
monument	স্মৃতিস্তম্ভ	স্মৃতিস্তম্ভটি নদীর ধারে দাঁড়িয়ে আছে।
moreover	অধিকন্তু	অধিকন্তু, এই পরিকল্পনাটি অর্থ সাশ্রয় করে।
mortgage	বন্ধক	তারা মর্টগেজের জন্য আবেদন করেছিল।
mosque	মসজিদ	মসজিদটি বাজারের কাছে অবস্থিত।
motion	নড়াচড়া	সেন্সরটি নড়াচড়া শনাক্ত করে।
motivate	অনুপ্রাণিত করা	প্রশংসা শিক্ষার্থীদের অনুপ্রাণিত করতে পারে।
motivation	অনুপ্রেরণা	তার অনুপ্রেরণা প্রবল ছিল।
moving	মর্মস্পর্শী	বক্তৃতাটি মর্মস্পর্শী ছিল।
myth	পৌরাণিক কাহিনী	পৌরাণিক কাহিনীটি পাহাড়ের নামের ব্যাখ্যা দেয়।
naked	নগ্ন	গোসলের পর শিশুটি নগ্ন ছিল।
nasty	ভয়ানক	কাটা দাগটি দেখতে ভয়ানক ছিল।
navigation	নেভিগেশন	অ্যাপটি নেভিগেশন উন্নত করে।
nearby	কাছাকাছি	কাছাকাছি একটি ক্যাফে সকালে খোলে।
necessity	প্রয়োজনীয়তা	বিশুদ্ধ পানি একটি প্রয়োজনীয়তা।
negotiate	আলোচনা করা	তারা আগামীকাল চুক্তির বিষয়ে আলোচনা করবে।
negotiation	দরকষাকষি	দরকষাকষি সারা সকাল ধরে চলেছিল।
neutral	নিরপেক্ষ	বিচারক নিরপেক্ষ ছিলেন।
newly	সদ্য	সদ্য রং করা দরজাটি উজ্জ্বল দেখাচ্ছিল।
norm	রীতি	রিমোট কাজ এখন রীতি হয়ে দাঁড়িয়েছে।
notebook	নোটবই	তোমার নোটবইয়ে নোট লেখো।
novelist	ঔপন্যাসিক	ঔপন্যাসিক তার বইয়ে স্বাক্ষর করেছিলেন।
nowadays	আজকাল	আজকাল অনেকেই অনলাইনে কাজ করে।
nursing	নার্সিং	সে নার্সিং নিয়ে পড়াশোনা করছে।
nutrition	পুষ্টি	ভালো পুষ্টি স্বাস্থ্যকে সমর্থন করে।
obesity	স্থূলতা	স্থূলতা স্বাস্থ্যের ঝুঁকি বাড়ায়।
observer	পর্যবেক্ষক	পর্যবেক্ষক ফলাফলগুলো রেকর্ড করেছেন।
obstacle	বাধা	পড়ে যাওয়া গাছটি একটি বাধা ছিল।
occupation	পেশা	দয়া করে এখানে আপনার পেশা লিখুন।
occupy	দখল করা	পরিবারটি অ্যাপার্টমেন্টে বসবাস করবে।
offender	অপরাধী	অপরাধী আদালতে ক্ষমা চেয়েছিল।
ongoing	চলমান	তদন্তটি চলমান রয়েছে।
openly	খোলাখুলিভাবে	সে তার ভয় সম্পর্কে খোলাখুলিভাবে কথা বলেছিল।
opera	অপেরা	আমরা মিলানে একটি অপেরা দেখেছি।
operator	অপারেটর	অপারেটর কলটি সংযোগ করেছিল।
optimistic	আশাবাদী	সে ভবিষ্যৎ সম্পর্কে আশাবাদী।
orchestra	অর্কেস্ট্রা	অর্কেস্ট্রা মৃদু সুরে বাজছিল।
organic	জৈব	তারা জৈব শাকসবজি কিনেছিল।
outfit	পোশাক	তার পোশাক অনুষ্ঠানের সাথে মানানসই ছিল।
output	উৎপাদন	মেশিনের উৎপাদন বৃদ্ধি পেয়েছে।
outstanding	অসামান্য	তার পারফরম্যান্স অসামান্য ছিল।
overcome	অতিক্রম করা	তারা একসাথে সমস্যাগুলো অতিক্রম করে।
overnight	রাতারাতি	প্যাকেজটি রাতারাতি পৌঁছেছে।
overseas	বিদেশে	সে বিদেশে কাজ পেয়েছে।
ownership	মালিকানা	জমির মালিকানা পরিবর্তন হয়েছে।
oxygen	অক্সিজেন	গাছপালা অক্সিজেন তৈরি করে।
packet	প্যাকেট	প্যাকেটটি সাবধানে খুলুন।
palm	হাতের তালু	মুদ্রাটি আপনার হাতের তালুতে ধরে রাখুন।
panic	আতঙ্ক	ভিড়ের মধ্যে আতঙ্ক ছড়িয়ে পড়ে।
parade	কুচকাওয়াজ	দুপুরে কুচকাওয়াজ শুরু হয়েছিল।
parallel	সমান্তরাল	রাস্তাগুলো সমান্তরালভাবে চলে।
participation	অংশগ্রহণ	ক্লাসে অংশগ্রহণ উন্নত হয়েছে।
partnership	অংশীদারিত্ব	অংশীদারিত্ব উভয় কোম্পানিকে সাহায্য করেছে।
part-time	খণ্ডকালীন	সে একটি খণ্ডকালীন চাকরি পেয়েছে।
passionate	আবেগপ্রবণ	সে সঙ্গীত নিয়ে অত্যন্ত আবেগপ্রবণ।
password	পাসওয়ার্ড	একটি শক্তিশালী পাসওয়ার্ড বেছে নিন।
patience	ধৈর্য	ছোট বাচ্চাদের পড়াতে ধৈর্যের প্রয়োজন হয়।
pause	বিরতি দেওয়া	এখন ভিডিওটি বিরতি দিন।
peer	সমবয়সী	সমবয়সীদের চাপ তার পছন্দকে প্রভাবিত করেছিল।
penalty	জরিমানা	খেলোয়াড়টি শাস্তি পেয়েছিল।
perceive	উপলব্ধি করা	মানুষ ঝুঁকিকে ভিন্নভাবে উপলব্ধি করে।
perception	উপলব্ধি	বিপদ সম্পর্কে তার ধারণা পরিবর্তিত হয়েছে।
permanently	স্থায়ীভাবে	দোকানটি স্থায়ীভাবে বন্ধ হয়ে গেছে।
pill	বড়ি	সকালের নাস্তার পর একটি বড়ি খান।
pity	আফসোস	এটি একটি আক্ষেপের বিষয়।
placement	অবস্থান	সোফার অবস্থান গুরুত্বপূর্ণ।
portion	অংশ	ভাতের একটি ছোট অংশ পরিবেশন করুন।
potentially	সম্ভাব্যভাবে	এই পরিবর্তনটি সম্ভাব্যভাবে দরকারী।
precede	পূর্বে আসা	কালো মেঘ সাধারণত বৃষ্টির পূর্বে আসে।
precious	মূল্যবান	আংটিটি মূল্যবান।
precise	সুনির্দিষ্ট	নির্দেশনাগুলো সুনির্দিষ্ট ছিল।
precisely	সুনির্দিষ্টভাবে	দূরত্ব সুনির্দিষ্টভাবে পরিমাপ করুন।
predictable	পূর্বাভাসযোগ্য	শেষটি পূর্বাভাসযোগ্য ছিল।
preference	পছন্দ	সে চায়ের প্রতি তার পছন্দ ব্যক্ত করেছে।
pride	গর্ব	কাজটি শেষ করার পর সে গর্ব অনুভব করল।
primarily	প্রধানত	কোর্সটি প্রধানত অনলাইনে হয়।
principal	অধ্যক্ষ	অধ্যক্ষ নতুন শিক্ষার্থীদের স্বাগত জানান।
prior	পূর্ববর্তী	আমাদের পূর্বানুমতি প্রয়োজন।
probability	সম্ভাবনা	বৃষ্টির সম্ভাবনা বেশি।
probable	সম্ভাব্য	আজ রাতে বৃষ্টি সম্ভাব্য।
proceed	এগিয়ে যাওয়া	দয়া করে পরবর্তী রুমে এগিয়ে যান।
programming	প্রোগ্রামিং	প্রোগ্রামিংয়ের জন্য অনুশীলন প্রয়োজন।
progressive	প্রগতিশীল	নীতিটি সে সময়ের জন্য প্রগতিশীল ছিল।
prohibit	নিষেধ করা	নিয়মগুলো ধূমপান নিষেধ করে।
promising	প্রতিশ্রুতিশীল	ফলাফলগুলো প্রতিশ্রুতিশীল বলে মনে হচ্ছে।
promotion	পদোন্নতি	সে কর্মক্ষেত্রে পদোন্নতি পেয়েছে।
prompt	তাৎক্ষণিক	তাৎক্ষণিক প্রতিক্রিয়া সময় বাঁচিয়েছিল।
proportion	অনুপাত	একটি বড় অংশ হ্যাঁ ভোট দিয়েছে।
protein	প্রোটিন	শুঁটিজাতীয় খাবারে প্রোটিন থাকে।
protester	প্রতিবাদকারী	প্রতিবাদকারী একটি প্ল্যাকার্ড ধরে রেখেছিল।
psychological	মানসিক	দুর্ঘটনাটি মানসিক চাপ সৃষ্টি করেছিল।
publicity	প্রচার	অনুষ্ঠানটি ব্যাপক প্রচার পেয়েছিল।
publishing	প্রকাশনা	সে প্রকাশনায় কাজ করে।
punk	পাঙ্ক	সেখানে পাঙ্ক সঙ্গীত জনপ্রিয় হয়ে ওঠে।
purely	সম্পূর্ণরূপে	পছন্দটি সম্পূর্ণরূপে বাস্তবসম্মত ছিল।
pursuit	অন্বেষণ	তিনি তার ন্যায়ের অন্বেষণ চালিয়ে যান।
puzzle	ধাঁধা	ধাঁধাটি সমাধান করতে এক ঘণ্টা সময় লেগেছে।
questionnaire	প্রশ্নাবলী	দয়া করে প্রশ্নাবলীটি পূরণ করুন।
racial	জাতিগত	প্রতিবেদনে জাতিগত বৈষম্য নিয়ে আলোচনা করা হয়েছে।
racism	বর্ণবাদ	বর্ণবাদ সমাজের ক্ষতি করে।
racist	বর্ণবাদী	মন্তব্যটি বর্ণবাদী ছিল।
radiation	বিকিরণ	বিকিরণ কোষের ক্ষতি করতে পারে।
rail	রেলিং	সিঁড়ির রেলিংটি ধরুন।
random	এলোমেলো	কম্পিউটার একটি এলোমেলো সংখ্যা বেছে নিয়েছে।
rat	ইঁদুর	ডাস্টবিনের পিছনে একটি ইঁদুর ছুটে গেল।
rating	রেটিং	হোটেলটির একটি উচ্চ রেটিং রয়েছে।
reasonably	মোটামুটি	ঘরটি মোটামুটি পরিষ্কার ছিল।
rebuild	পুনর্নির্মাণ করা	তারা সেতুটি পুনর্নির্মাণ করবে।
receiver	গ্রহণকারী	গ্রহণকারী বলটি ধরে ফেলেছিল।
recession	মন্দা	মন্দার কারণে ব্যয় কমে গেছে।
reckon	মনে করা	আমার মনে হয় ট্রেনটি দেরিতে চলছে।
recognition	স্বীকৃতি	সে তার কাজের জন্য স্বীকৃতি পেয়েছে।
recovery	আরোগ্য	আরোগ্য লাভ করতে কয়েক সপ্তাহ সময় লেগেছিল।
recruit	নিয়োগ করা	কোম্পানিটি ইঞ্জিনিয়ারদের নিয়োগ করবে।
recruitment	নিয়োগ	আগামী সোমবার থেকে নিয়োগ শুরু হবে।
referee	রেফারি	রেফারি ম্যাচটি থামিয়ে দিলেন।
refugee	শরণার্থী	শরণার্থী একটি নিরাপদ বাড়ি খুঁজে পেয়েছিলেন।
registration	নিবন্ধন	শুক্রবার নিবন্ধন বন্ধ হবে।
regulate	নিয়ন্ত্রণ করা	আইনটি নির্গমন নিয়ন্ত্রণ করবে।
reinforce	শক্তিশালী করা	অতিরিক্ত বিম ছাদকে শক্তিশালী করে।
relieve	উপশম করা	ওষুধ ব্যথা উপশম করতে পারে।
relieved	স্বস্তিপ্রাপ্ত	কলটির পরে সে স্বস্তি বোধ করেছিল।
remarkable	অসাধারণ	আরোগ্যটি ছিল অসাধারণ।
remarkably	উল্লেখযোগ্যভাবে	সে উল্লেখযোগ্যভাবে দ্রুত সুস্থ হয়ে উঠল।
reporting	প্রতিবেদন	সঠিক প্রতিবেদন গুরুত্বপূর্ণ।
resign	পদত্যাগ করা	ম্যানেজার আগামীকাল পদত্যাগ করবেন।
resolution	রেজোলিউশন	স্ক্রিনের উচ্চ রেজোলিউশন রয়েছে।
restore	পুনরুদ্ধার করা	কর্মীরা পুরোনো চিত্রকর্মটি পুনরুদ্ধার করে।
restrict	সীমাবদ্ধ করা	নিয়মগুলো পার্কিং সীমাবদ্ধ করে।
restriction	বিধিনিষেধ	বিধিনিষেধ আগামীকাল শেষ হবে।
retail	খুচরা	খুচরা বিক্রি বৃদ্ধি পেয়েছে।
retirement	অবসর	সে তার অবসরের পরিকল্পনা সাবধানে করেছিল।
revenue	রাজস্ব	টিকিটের রাজস্ব দিয়ে মেরামতের খরচ মেটানো হয়েছিল।
revision	পুনর্বিবেচনা	পরীক্ষার আগে পুনর্বিবেচনা সাহায্য করেছিল।
ridiculous	হাস্যকর	দামটি ছিল হাস্যকর।
risky	ঝুঁকিপূর্ণ	পরিকল্পনাটি ঝুঁকিপূর্ণ বলে মনে হয়েছিল।
rival	প্রতিদ্বন্দ্বী	আমাদের প্রতিদ্বন্দ্বী একটি নতুন দোকান খুলেছে।
rob	ডাকাতি করা	লোকগুলো ব্যাংক ডাকাতি করার চেষ্টা করেছিল।
robbery	ডাকাতি	ডাকাতিটি রাতে ঘটেছিল।
rocket	রকেট	রকেটটি সফলভাবে উৎক্ষেপণ করা হয়েছে।
romance	রোমান্স	উপন্যাসটিতে একটি রোমান্স অন্তর্ভুক্ত রয়েছে।
rose	গোলাপ	বেড়ার পাশে একটি লাল গোলাপ ফুটেছে।
roughly	মোটামুটি	মোটামুটি বিশ জন উপস্থিত ছিলেন।
ruin	নষ্ট করা	বৃষ্টি বনভোজনটি নষ্ট করতে পারে।
satisfaction	সন্তুষ্টি	গ্রাহকের সন্তুষ্টি উন্নত হয়েছে।
scandal	কেলেঙ্কারি	কেলেঙ্কারিটি তার ক্যারিয়ার নষ্ট করে দিয়েছে।
scare	ভয়	বিকট শব্দটি আমাকে ভয় পাইয়ে দিয়েছিল।
scenario	দৃশ্যপট	সবচেয়ে খারাপ দৃশ্যপট ঘটার সম্ভাবনা কম।
scholar	পণ্ডিত	পণ্ডিতটি প্রাচীন গ্রন্থগুলি অধ্যয়ন করেছিলেন।
scholarship	বৃত্তি	সে একটি বৃত্তি জিতেছিল।
scratch	আঁচড়	বিড়ালটি একটি আঁচড় রেখে গেছে।
screening	স্ক্রিনিং	হাসপাতাল ক্যান্সার স্ক্রিনিং প্রদান করে।
seeker	প্রার্থী	চাকরিপ্রার্থী আবেদন পাঠিয়েছে।
seminar	সেমিনার	সেমিনারটি নয়টায় শুরু হয়।
settler	বসতি স্থাপনকারী	বসতি স্থাপনকারী একটি ছোট খামার তৈরি করেছিল।
severely	মারাত্মকভাবে	ঝড়টি মারাত্মকভাবে রাস্তাগুলোর ক্ষতি করেছে।
sexy	আকর্ষণীয়	পোশাকটিকে আকর্ষণীয় বলে মনে করা হত।
shocking	মর্মান্তিক	খবরটি মর্মান্তিক ছিল।
shore	তীর	আমরা তীরের ধারে হেঁটেছিলাম।
shortage	ঘাটতি	শহরটি জলের ঘাটতির সম্মুখীন হয়েছিল।
shortly	শীঘ্রই	দুপুরের কিছুক্ষণ পরেই বাসটি এসে পৌঁছায়।
short-term	স্বল্পমেয়াদী	পরিকল্পনাটির স্বল্পমেয়াদী সুবিধা রয়েছে।
sibling	ভাইবোন	প্রতিটি ভাইবোন একটি উপহার পেয়েছিল।
signature	স্বাক্ষর	অনুগ্রহ করে আপনার স্বাক্ষর দিন।
significance	তাৎপর্য	আবিষ্কারটির দারুণ তাৎপর্য রয়েছে।
skilled	দক্ষ	দক্ষ কর্মীরা ছাদটি মেরামত করেছে।
slogan	স্লোগান	প্রচারাভিযানে একটি সাধারণ স্লোগান ব্যবহার করা হয়েছিল।
so-called	তথাকথিত	তথাকথিত বিশেষজ্ঞ ভুল করেছেন।
somehow	কোনোভাবে	কোনোভাবে চাবিগুলো হারিয়ে গেছে।
sometime	কোনো এক সময়	আগামী সপ্তাহে কোনো এক সময় আমাদের সাথে দেখা করুন।
sophisticated	উন্নত	সফটওয়্যারটি উন্নত।
spare	অতিরিক্ত	আমরা একটি অতিরিক্ত চাবি রাখি।
specialize	বিশেষজ্ঞ হওয়া	ডাক্তাররা বিভিন্ন ক্ষেত্রে বিশেষজ্ঞ হন।
specify	নির্দিষ্ট করে বলা	অনুগ্রহ করে আপনার পৌঁছানোর সময় নির্দিষ্ট করে বলুন।
spectacular	দর্শনীয়	আতশবাজিগুলো দর্শনীয় ছিল।
spectator	দর্শক	প্রত্যেক দর্শক একটি প্রোগ্রাম পেয়েছিল।
speculate	অনুমান করা	বিশেষজ্ঞরা কারণ সম্পর্কে অনুমান করেছেন।
speculation	জল্পনা	নিবন্ধটি জল্পনাকে উৎসাহিত করেছে।
spice	মশলা	একবারে একটি মশলা যোগ করুন।
spill	ছড়িয়ে ফেলা	ফলের রস ছড়িয়ে ফেলো না।
spite	সত্ত্বেও	সমস্যা থাকা সত্ত্বেও তিনি সফল হয়েছিলেন।
spoil	নষ্ট করা	খুব বেশি লবণ স্যুপ নষ্ট করতে পারে।
spokesman	মুখপাত্র	মুখপাত্র প্রশ্নের উত্তর দিয়েছিলেন।
spokesperson	মুখপাত্র	মুখপাত্র একটি বিবৃতি পড়ে শোনান।
spokeswoman	নারী মুখপাত্র	নারী মুখপাত্র সংবাদমাধ্যমের উদ্দেশ্যে বক্তব্য রাখেন।
sponsorship	স্পনসরশিপ	দলটির স্পনসরশিপ প্রয়োজন।
sporting	ক্রীড়া	শহরটি ক্রীড়া ইভেন্ট আয়োজন করে।
stall	স্টল	বাজারের স্টলটিতে ফল বিক্রি হয়।
stance	অবস্থান	মন্ত্রী তার অবস্থান পরিবর্তন করেছেন।
starve	অনাহারে থাকা	খাবার ছাড়া প্রাণীরা অনাহারে থাকতে পারে।
steadily	অবিচলিতভাবে	কোম্পানিটি অবিচলিতভাবে বৃদ্ধি পেয়েছে।
steam	বাষ্প	স্যুপ থেকে বাষ্প উঠছিল।
stimulate	উদ্দীপিত করা	উজ্জ্বল রং আগ্রহ উদ্দীপিত করতে পারে।
