hsk_key	source_word	simplified	HI	example_HI	BN	example_BN	TL	example_TL
5029:限度	限度	限度	सीमा; हद	उसका धैर्य अब सीमा तक पहुँच चुका है।	সীমা; মাত্রা	তার ধৈর্য ইতিমধ্যে সীমায় পৌঁছে গেছে।	limitasyon; hangganan	Umabot na sa hangganan ang kanyang pasensya.
5030:现货	现货	现货	स्टॉक में उपलब्ध माल	यह फ़ोन स्टॉक में है और आज ही भेजा जा सकता है।	স্টকে থাকা পণ্য	এই ফোনটি স্টকে আছে, আজই পাঠানো যাবে।	available na stock; nasa imbentaryo	May stock ang modelong teleponong ito at maipapadala ito ngayong araw.
5033:限于	限于	限于	तक सीमित होना	पंजीकरण की संख्या तीस लोगों तक सीमित है।	সীমাবদ্ধ থাকা	নিবন্ধনের সংখ্যা ত্রিশ জনে সীমাবদ্ধ।	limitado sa	Limitado sa tatlumpung tao ang bilang ng maaaring magparehistro.
5036:相传	相传	相传	कहा जाता है; परंपरा के अनुसार	कहा जाता है कि इस पुल का इतिहास तीन सौ साल पुराना है।	কথিত আছে; লোককথা অনুযায়ী	কথিত আছে এই সেতুর ইতিহাস তিনশ বছর পুরোনো।	ayon sa alamat; sinasabing	Sinasabing may tatlong daang taong kasaysayan ang tulay na ito.
5038:相连	相连	相连	जुड़ा होना	दो शहर तेज़ रेलमार्ग से जुड़े हुए हैं।	সংযুক্ত থাকা	দুটি শহর উচ্চগতির রেলপথে সংযুক্ত।	magkakonekta; nakakabit	Magkakonekta ang dalawang lungsod sa pamamagitan ng high-speed rail.
5039:香水	香水	香水	इत्र; परफ़्यूम	उसे बहुत तेज़ गंध वाला इत्र पसंद नहीं है।	সুগন্ধি; পারফিউম	সে খুব তীব্র গন্ধের সুগন্ধি পছন্দ করে না।	pabango	Hindi niya gusto ang pabangong masyadong matapang ang amoy.
5052:小偷儿	小偷儿	小偷儿	चोर	उस चोर को पुलिस ने जल्दी पकड़ लिया।	চোর	ওই চোরকে পুলিশ দ্রুত ধরে ফেলেছিল।	magnanakaw	Mabilis na nahuli ng pulis ang magnanakaw na iyon.
5053:笑容	笑容	笑容	मुस्कान	उसके चेहरे की मुस्कान ने सबको आश्वस्त कर दिया।	হাসি; মুচকি হাসি	তার মুখের হাসি সবাইকে স্বস্তি দিয়েছিল।	ngiti	Nakapagpakalma sa lahat ang ngiti sa kanyang mukha.
5054:效应	效应	效应	प्रभाव	इस नीति के प्रभाव को अभी और देखना होगा।	প্রভাব	এই নীতির প্রভাব এখনও পর্যবেক্ষণ করতে হবে।	epekto	Kailangan pang obserbahan ang epekto ng patakarang ito.
5060:心爱	心爱	心爱	प्रिय; बहुत प्यारा	वह अपना प्रिय कैमरा यात्रा पर ले गया।	প্রিয়; আদরের	সে ভ্রমণে তার প্রিয় ক্যামেরা নিয়ে গেল।	minamahal; paborito	Dinala niya sa biyahe ang paborito niyang kamera.
5061:心底	心底	心底	दिल की गहराई	उसने दिल की गहराई से शिक्षक का धन्यवाद किया।	হৃদয়ের গভীরতা	সে হৃদয়ের গভীর থেকে শিক্ষককে ধন্যবাদ জানাল।	kaibuturan ng puso	Mula sa kaibuturan ng puso, nagpasalamat siya sa guro.
5062:新款	新款	新款	नया मॉडल; नई शैली	इस दुकान ने अभी नए मॉडल के जूतों का एक बैच रखा है।	নতুন মডেল; নতুন ধরন	এই দোকানে সদ্য এক ব্যাচ নতুন মডেলের জুতো এসেছে।	bagong modelo; bagong estilo	Kakalagay lang ng tindahang ito ng bagong modelo ng sapatos.
5064:新媒体	新媒体	新媒体	नया मीडिया	नए मीडिया ने लोगों के सूचना पाने के तरीके को बदल दिया है।	নতুন মাধ্যম; নতুন মিডিয়া	নতুন মিডিয়া মানুষের তথ্য পাওয়ার পদ্ধতি বদলে দিয়েছে।	bagong midya	Binago ng bagong midya ang paraan ng pagkuha ng impormasyon ng mga tao.
5065:心目	心目	心目	मन में; नज़र में	मेरी नज़र में वह एक उत्कृष्ट लेखिका है।	মনে; চোখে	আমার চোখে সে একজন অসাধারণ লেখিকা।	sa isip; sa paningin	Sa paningin ko, isa siyang mahusay na manunulat.
5066:新能源	新能源	新能源	नई ऊर्जा; नवीकरणीय ऊर्जा	नई ऊर्जा उद्योग तेज़ी से विकसित हो रहा है।	নতুন জ্বালানি; নবায়নযোগ্য শক্তি	নতুন জ্বালানি শিল্প দ্রুত বিকশিত হচ্ছে।	bagong enerhiya; nababagong enerhiya	Mabilis na umuunlad ang industriya ng bagong enerhiya.
5069:新兴	新兴	新兴	उभरता हुआ; नया	उभरते उद्योग कई युवाओं को आकर्षित कर रहे हैं।	উদীয়মান; নতুন	উদীয়মান শিল্প অনেক তরুণকে আকর্ষণ করছে।	umuusbong; bago	Nakakaakit ng maraming kabataan ang umuusbong na mga industriya.
5071:心愿	心愿	心愿	मनोकामना; इच्छा	आख़िरकार उसने कई सालों की इच्छा पूरी कर ली।	মনের ইচ্ছা; আকাঙ্ক্ষা	অবশেষে সে বহু বছরের ইচ্ছা পূরণ করল।	taimtim na kahilingan; hangarin	Sa wakas natupad niya ang matagal na niyang hangarin.
5075:兴起	兴起	兴起	उभरना; लोकप्रिय होना	ऑनलाइन पढ़ाई कई क्षेत्रों में लोकप्रिय हो गई है।	উত্থান হওয়া; জনপ্রিয় হওয়া	অনলাইন শিক্ষা অনেক এলাকায় জনপ্রিয় হয়ে উঠেছে।	umusbong; sumikat	Umuusbong ang online na pag-aaral sa maraming lugar.
5076:型号	型号	型号	मॉडल; मॉडल संख्या	कृपया कंप्यूटर का मॉडल फ़ॉर्म में लिखें।	মডেল; মডেল নম্বর	অনুগ্রহ করে কম্পিউটারের মডেলটি ফর্মে লিখুন।	modelo; model number	Pakisulat sa form ang modelo ng computer.
5078:性价比	性价比	性价比	कीमत और गुणवत्ता का अनुपात	इस होटल की कीमत और गुणवत्ता का अनुपात बहुत अच्छा है।	দাম ও মানের অনুপাত	এই হোটেলের দাম ও মানের অনুপাত খুব ভালো।	sulit; halaga kumpara sa kalidad	Sulit na sulit ang hotel na ito.
5081:修订	修订	修订	संशोधित करना; सुधारना	संपादक इस पाठ्यपुस्तक को संशोधित कर रहा है।	সংশোধন করা; পরিমার্জন করা	সম্পাদক এই পাঠ্যবইটি সংশোধন করছেন।	baguhin; rebisahin	Nirerebisa ng editor ang aklat-araling ito.
5083:袖子	袖子	袖子	आस्तीन	इस जैकेट की आस्तीन थोड़ी लंबी है।	হাতা	এই জ্যাকেটের হাতা একটু লম্বা।	manggas	Medyo mahaba ang manggas ng jaket na ito.
5088:选修	选修	选修	वैकल्पिक विषय लेना	मैं अगले सेमेस्टर में मनोविज्ञान वैकल्पिक विषय के रूप में लेना चाहता हूँ।	ঐচ্ছিক বিষয় নেওয়া	আমি পরের সেমিস্টারে মনোবিজ্ঞান ঐচ্ছিক বিষয় হিসেবে নিতে চাই।	kumuha bilang piling asignatura	Gusto kong kunin ang sikolohiya bilang piling asignatura sa susunod na semestre.
5089:学会	学会	学会	समिति; विद्वत् संस्था	वह स्थानीय भाषा समिति में शामिल हो गया।	সমিতি; বিদ্বৎসমাজ	সে স্থানীয় ভাষা সমিতিতে যোগ দিয়েছে।	samahan; asosasyon	Sumali siya sa lokal na samahan sa wika.
5092:学员	学员	学员	प्रशिक्षु; विद्यार्थी	प्रशिक्षण कक्षा में बीस प्रशिक्षु हैं।	প্রশিক্ষণার্থী; শিক্ষার্থী	প্রশিক্ষণ ক্লাসে বিশজন প্রশিক্ষণার্থী আছে।	trainee; mag-aaral	May dalawampung trainee sa klase ng pagsasanay.
5093:血管	血管	血管	रक्त वाहिका	डॉक्टर ने कहा कि इस रक्त वाहिका की और जाँच करनी होगी।	রক্তনালী	ডাক্তার বললেন এই রক্তনালিটি আরও পরীক্ষা করতে হবে।	daluyan ng dugo	Sabi ng doktor, kailangan pang suriin ang daluyang ito ng dugo.
5094:血型	血型	血型	रक्त समूह	पंजीकरण करते समय अपना रक्त समूह भरना होगा।	রক্তের গ্রুপ	নিবন্ধনের সময় নিজের রক্তের গ্রুপ লিখতে হবে।	uri ng dugo	Kailangang ilagay ang sariling uri ng dugo kapag nagpaparehistro.
5096:血液	血液	血液	रक्त	व्यायाम रक्त संचार को बढ़ा सकता है।	রক্ত	ব্যায়াম রক্ত সঞ্চালন বাড়াতে পারে।	dugo	Nakakatulong ang ehersisyo sa pagdaloy ng dugo.
5098:寻求	寻求	寻求	खोजना; तलाश करना	वे बेहतर समाधान खोज रहे हैं।	খোঁজা; সন্ধান করা	তারা আরও ভালো সমাধান খুঁজছে।	hanapin; humanap	Naghahanap sila ng mas magandang solusyon.
5101:淹	淹	淹	डुबो देना; जलमग्न करना	तेज़ बारिश ने निचली सड़क को डुबो दिया।	ডুবিয়ে দেওয়া; প্লাবিত করা	ভারী বৃষ্টি নিচু রাস্তা ডুবিয়ে দিয়েছে।	bahain; lumubog	Binaha ng malakas na ulan ang mababang bahagi ng kalsada.
5103:严	严	严	सख्त; कठोर	स्कूल परीक्षा अनुशासन को लेकर बहुत सख्त है।	কঠোর; কড়া	বিদ্যালয় পরীক্ষার শৃঙ্খলা নিয়ে খুব কড়া।	mahigpit	Mahigpit ang paaralan sa disiplina sa pagsusulit.
5111:研讨	研讨	研讨	चर्चा करना; विचार-विमर्श करना	विशेषज्ञ नए उपचार योजना पर विचार-विमर्श कर रहे हैं।	আলোচনা করা; পর্যালোচনা করা	বিশেষজ্ঞরা নতুন চিকিৎসা পরিকল্পনা নিয়ে আলোচনা করছেন।	talakayin; pag-aralan	Tinatalakay ng mga eksperto ang bagong plano sa paggamot.
5113:言语	言语	言语	बातें; वचन	उसकी बातें बहुत सच्ची थीं।	কথা; বাক্য	তার কথাগুলো খুব আন্তরিক ছিল।	salita; pananalita	Tapat ang kanyang mga salita.
5114:炎症	炎症	炎症	सूजन; प्रदाह	यह दवा सूजन कम कर सकती है।	প্রদাহ; ফোলা	এই ওষুধ প্রদাহ কমাতে পারে।	pamamaga	Maaaring mabawasan ng gamot na ito ang pamamaga.
5116:眼看	眼看	眼看	देखते-देखते; अब बस	देखते-देखते अँधेरा होने वाला है, हमें लौट जाना चाहिए।	চোখের সামনে; এখনই	চোখের সামনে অন্ধকার হয়ে আসছে, আমাদের ফিরে যাওয়া উচিত।	malapit na; kitang-kita na	Malapit nang dumilim, kaya dapat na tayong bumalik.
5120:仰	仰	仰	सिर उठाना; ऊपर देखना	बच्चे ने सिर उठाकर तारों को देखा।	মাথা উঁচু করা; ওপরের দিকে তাকানো	শিশুটি মাথা উঁচু করে তারা দেখল।	umingala; tumingala	Tumingala ang bata at tiningnan ang mga bituin.
5122:养老	养老	养老	बुढ़ापे की देखभाल; सेवानिवृत्ति जीवन	वे सेवानिवृत्ति के बाद की वृद्धावस्था-जीवन योजना बना रहे हैं।	বার্ধক্যকালীন যত্ন; অবসরজীবন	তারা অবসরের পরের বার্ধক্যকালীন জীবন পরিকল্পনা করছে।	pangangalaga sa pagtanda; buhay pagreretiro	Pinaplano nila ang buhay at pangangalaga matapos magretiro.
5123:养老院	养老院	养老院	वृद्धाश्रम	यह वृद्धाश्रम अस्पताल के बहुत पास है।	বৃদ্ধাশ্রম	এই বৃদ্ধাশ্রমটি হাসপাতালের খুব কাছে।	tahanan para sa matatanda	Malapit sa ospital ang tahanang ito para sa matatanda.
5125:样	样	样	किस्म; प्रकार	उसने तीन किस्म की मिठाइयाँ खरीदीं।	ধরন; প্রকার	সে তিন ধরনের নাশতা কিনেছে।	uri; klase	Bumili siya ng tatlong uri ng meryenda.
5128:要么	要么	要么	या तो...या	तुम या तो अभी जाओ, या कल तक इंतज़ार करो।	হয়...নয়	তুমি হয় এখন যাও, নয় কাল পর্যন্ত অপেক্ষা করো।	alinman...o	Alinman sa umalis ka ngayon o maghintay hanggang bukas.
5130:野	野	野	जंगली	इस पहाड़ी इलाके में बहुत से जंगली फूल हैं।	বন্য; জংলি	এই পাহাড়ি এলাকায় অনেক বুনো ফুল আছে।	ligaw; mailap	Maraming ligaw na bulaklak sa kabundukang ito.
5131:也好	也好	也好	चाहे...या	तुम जाओ या न जाओ, मुझे बताना ज़रूरी है।	যাও বা না যাও	তুমি যাও বা না যাও, আমাকে জানাতেই হবে।	maging...o	Humayo ka man o hindi, kailangan mo pa rin akong sabihan.
5132:野生	野生	野生	जंगली; वन्य	यहाँ जंगली जानवर पकड़ना मना है।	বন্য	এখানে বন্য প্রাণী ধরা নিষিদ্ধ।	ligaw; nasa kalikasan	Ipinagbabawal dito ang paghuli ng ligaw na hayop.
5133:野外	野外	野外	खुले मैदान में; प्रकृति में	विद्यार्थी खुले में पौधों का अवलोकन कर रहे हैं।	মাঠে; প্রকৃতিতে	শিক্ষার্থীরা বাইরে প্রকৃতিতে উদ্ভিদ পর্যবেক্ষণ করছে।	sa labas; sa kalikasan	Nagmamasid ng mga halaman ang mga estudyante sa labas.
5134:业	业	业	उद्योग; क्षेत्र	सेवा उद्योग को अधिक पेशेवर प्रतिभाओं की आवश्यकता है।	শিল্প; ক্ষেত্র	সেবা খাতে আরও পেশাদার কর্মী দরকার।	industriya; larangan	Kailangan ng sektor ng serbisyo ng mas maraming propesyonal.
5139:衣食住行	衣食住行	衣食住行	कपड़ा, खाना, आवास और यातायात	इस रिपोर्ट में शहरी निवासियों के कपड़ा, खाना, आवास और यातायात का विश्लेषण है।	পোশাক, খাদ্য, বাসস্থান ও যাতায়াত	এই প্রতিবেদনে শহুরে বাসিন্দাদের পোশাক, খাদ্য, বাসস্থান ও যাতায়াত বিশ্লেষণ করা হয়েছে।	damit, pagkain, tirahan at paglalakbay	Sinuri ng ulat na ito ang damit, pagkain, tirahan at paglalakbay ng mga taga-lungsod.
5140:医药	医药	医药	चिकित्सा और दवा	हाल के वर्षों में चिकित्सा और दवा का खर्च कुछ बढ़ा है।	চিকিৎসা ও ওষুধ	সাম্প্রতিক বছরে চিকিৎসা ও ওষুধের খরচ কিছুটা বেড়েছে।	medisina at gamot	Tumaas nitong mga nakaraang taon ang gastos sa medisina at gamot.
5141:一一	一一	一一	एक-एक करके	शिक्षक ने प्रश्नों को एक-एक करके साफ़ समझाया।	এক এক করে	শিক্ষক প্রশ্নগুলো এক এক করে পরিষ্কারভাবে বুঝিয়ে দিলেন।	isa-isa	Isa-isang ipinaliwanag nang malinaw ng guro ang mga tanong.
5142:姨	姨	姨	मौसी; बुआ	मेरी मौसी आज घर पर खाना खाने आएँगी।	খালা; মাসি	আমার খালা আজ বাড়িতে খেতে আসবেন।	tiya	Darating sa bahay ang tiya ko ngayon upang kumain.
5146:一带	一带	一带	इलाका; आसपास	स्कूल के आसपास बहुत सी किताबों की दुकानें हैं।	এলাকা; আশপাশ	স্কুলের আশপাশে অনেক বইয়ের দোকান আছে।	lugar; paligid	Maraming tindahan ng libro sa paligid ng paaralan.
5147:一道	一道	一道	साथ में	चलो साथ में प्रदर्शनी देखने चलते हैं।	একসঙ্গে	চলো আমরা একসঙ্গে প্রদর্শনী দেখতে যাই।	magkasama; sabay	Sabay tayong pumunta upang makita ang eksibisyon.
5155:一系列	一系列	一系列	श्रृंखला; सिलसिला	कंपनी ने नए उत्पादों की एक श्रृंखला जारी की।	এক সিরিজ; ধারাবাহিক	কোম্পানি নতুন পণ্যের এক সিরিজ প্রকাশ করেছে।	serye; sunod-sunod	Naglabas ang kumpanya ng isang serye ng bagong produkto.
5157:一阵	一阵	一阵	झोंका; थोड़ी देर	खिड़की के बाहर से ठंडी हवा का एक झोंका आया।	এক ঝটকা; অল্প সময়	জানালার বাইরে থেকে ঠান্ডা বাতাসের এক ঝটকা এল।	bugso; saglit	Isang bugso ng malamig na hangin ang pumasok mula sa bintana.
5158:遗址	遗址	遗址	खंडहर; पुरास्थल	इस प्राचीन शहर के पुरास्थल ने बहुत से पर्यटकों को आकर्षित किया।	ধ্বংসাবশেষ; প্রত্নস্থান	এই প্রাচীন নগরীর ধ্বংসাবশেষ অনেক পর্যটককে আকর্ষণ করেছে।	guho; lugar na arkeolohiko	Maraming turista ang naakit ng guho ng sinaunang lungsod na ito.
5163:益处	益处	益处	लाभ; फायदा	रोज़ व्यायाम करने से स्वास्थ्य को बहुत लाभ होता है।	উপকার; লাভ	প্রতিদিন ব্যায়াম করলে স্বাস্থ্যের অনেক উপকার হয়।	benepisyo; pakinabang	Maraming benepisyo sa kalusugan ang araw-araw na ehersisyo.
5164:一帆风顺	一帆风顺	一帆风顺	सब कुछ सुचारू होना	मैं चाहता हूँ कि तुम्हारी नई नौकरी सुचारू रूप से चले।	সবকিছু মসৃণ হওয়া	তোমার নতুন কাজ যেন সবকিছু মসৃণভাবে এগোয়, এই কামনা করি।	maging maayos ang lahat	Nawa ay maging maayos ang lahat sa bago mong trabaho.
5165:一口气	一口气	一口气	एक साँस में; एक बार में	वह एक साँस में पहाड़ की चोटी तक दौड़ गया।	এক নিঃশ্বাসে; একটানে	সে একটানে পাহাড়ের চূড়া পর্যন্ত দৌড়ে গেল।	sa isang hinga; tuloy-tuloy	Tuloy-tuloy siyang tumakbo hanggang tuktok ng bundok.
5167:一模一样	一模一样	一模一样	बिलकुल एक जैसा	ये दो तस्वीरें बिलकुल एक जैसी दिखती हैं।	হুবহু একই	এই দুটি ছবি হুবহু একই দেখায়।	eksaktong pareho	Mukhang eksaktong pareho ang dalawang larawang ito.
5168:艺人	艺人	艺人	कलाकार; प्रस्तोता	यह कलाकार मंच पर बहुत आत्मविश्वासी है।	শিল্পী; পারফর্মার	এই শিল্পী মঞ্চে খুব আত্মবিশ্বাসী।	artista; performer	Napakatiwala sa sarili ng artistang ito sa entablado.
5169:一身	一身	一身	पूरी पोशाक; सिर से पाँव तक	उसने पूरी काली सूट-पोशाक पहनी थी।	পুরো পোশাক; সারা শরীরে	সে সারা শরীরে কালো স্যুট পরেছিল।	buong kasuotan	Nakasuot siya ng buong itim na suit.
5170:一时	一时	一时	क्षण भर के लिए; उस समय	मुझे क्षण भर के लिए उसका नाम याद नहीं आया।	এক মুহূর্তের জন্য; তখন	আমি এক মুহূর্তের জন্য তার নাম মনে করতে পারলাম না।	sandali; pansamantala	Sandali kong hindi maalala ang pangalan niya.
5171:一同	一同	一同	साथ मिलकर	हमने साथ मिलकर यह परियोजना पूरी की।	একসঙ্গে	আমরা একসঙ্গে এই প্রকল্পটি শেষ করেছি।	magkasama	Magkasama naming natapos ang proyektong ito.
5172:易于	易于	易于	आसान होना; सुगम	यह सॉफ़्टवेयर चलाना आसान है।	সহজ; সুবিধাজনক	এই সফটওয়্যারটি চালানো সহজ।	madaling; madaling gamitin	Madaling gamitin ang software na ito.
5173:抑制	抑制	抑制	दबाना; कम करना	यह दवा दर्द को कम कर सकती है।	দমন করা; কমানো	এই ওষুধ ব্যথা কমাতে পারে।	pigilin; bawasan	Maaaring bawasan ng gamot na ito ang sakit.
5174:因	因	因	के कारण	बैठक तेज़ बारिश के कारण स्थगित कर दी गई।	কারণে	ভারী বৃষ্টির কারণে সভা পিছিয়ে দেওয়া হয়েছে।	dahil sa	Ipinagpaliban ang pulong dahil sa malakas na ulan.
5175:音节	音节	音节	अक्षरांश	इस शब्द में तीन अक्षरांश हैं।	সিলেবল; অক্ষরাংশ	এই শব্দে তিনটি সিলেবল আছে।	pantig	May tatlong pantig ang salitang ito.
5177:银牌	银牌	银牌	रजत पदक	उसने प्रतियोगिता में रजत पदक जीता।	রৌপ্য পদক	সে প্রতিযোগিতায় রৌপ্য পদক পেয়েছে।	pilak na medalya	Nakakuha siya ng pilak na medalya sa kompetisyon.
5178:引	引	引	उद्धृत करना; हवाला देना	शिक्षक ने अपना मत समझाने के लिए एक प्राचीन कविता की पंक्ति उद्धृत की।	উদ্ধৃত করা; উল্লেখ করা	শিক্ষক মত ব্যাখ্যা করতে একটি প্রাচীন কবিতার পঙ্‌ক্তি উদ্ধৃত করলেন।	sipiin; banggitin	Sinipi ng guro ang isang lumang tula upang ipaliwanag ang pananaw.
5179:隐藏	隐藏	隐藏	छिपाना; छिपा हुआ	फ़ाइल सिस्टम फ़ोल्डर में छिपी हुई थी।	লুকানো; গোপন করা	ফাইলটি সিস্টেম ফোল্ডারে লুকানো ছিল।	itago; nakatago	Nakatago ang file sa system folder.
5181:引发	引发	引发	भड़काना; उत्पन्न करना	इस खबर ने गर्म चर्चा पैदा कर दी।	উসকে দেওয়া; সৃষ্টি করা	এই খবরটি তীব্র আলোচনা সৃষ্টি করেছে।	magdulot; magpasimula	Nagdulot ng masiglang talakayan ang balitang ito.
5182:引入	引入	引入	लागू करना; शामिल करना	स्कूल नई शिक्षण पद्धति लागू करने की योजना बना रहा है।	প্রবর্তন করা; অন্তর্ভুক্ত করা	স্কুল নতুন শিক্ষণ-পদ্ধতি চালু করার পরিকল্পনা করছে।	ipakilala; ipasok	Plano ng paaralan na magpakilala ng bagong paraan ng pagtuturo.
5184:饮用水	饮用水	饮用水	पीने का पानी	यहाँ का पीने का पानी कड़ी जाँच से गुजरता है।	পানীয় জল	এখানকার পানীয় জল কঠোর পরীক্ষার মধ্য দিয়ে যায়।	inuming tubig	Mahigpit na sinusuri ang inuming tubig dito.
5185:印	印	印	छापना; अंकित करना	कृपया यहाँ कंपनी का चिह्न छापें।	ছাপানো; মুদ্রণ করা	অনুগ্রহ করে এখানে কোম্পানির চিহ্ন ছাপান।	iimprenta; tatakan	Pakiimprenta rito ang logo ng kumpanya.
5192:用餐	用餐	用餐	भोजन करना	मेहमान रेस्तराँ में भोजन कर रहे हैं।	খাবার খাওয়া; ভোজন করা	অতিথিরা রেস্তোরাঁয় খাবার খাচ্ছেন।	kumain; kumain ng pagkain	Kumakain ang mga bisita sa restawran.
5193:用处	用处	用处	उपयोग; काम	इस छोटी चाकू के बहुत उपयोग हैं।	ব্যবহার; উপকার	এই ছোট ছুরিটির অনেক ব্যবহার আছে।	gamit; silbi	Maraming gamit ang maliit na kutsilyong ito.
5195:用人	用人	用人	लोगों को नियुक्त करना; भर्ती	यह कंपनी लोगों की नियुक्ति में बहुत सावधान है।	কর্মী নিয়োগ; লোক নেওয়া	এই কোম্পানি কর্মী নিয়োগে খুব সতর্ক।	pagkuha ng empleyado	Maingat ang kumpanyang ito sa pagkuha ng empleyado.
5196:用心	用心	用心	मन लगाकर; ध्यान से	इस उपहार से साफ़ दिखता है कि बहुत मन लगाया गया है।	মন দিয়ে; যত্নসহকারে	এই উপহার দেখে বোঝা যায় অনেক যত্ন নেওয়া হয়েছে।	may pag-iingat; pinag-isipan	Makikitang pinag-isipan nang mabuti ang regalong ito.
5197:优化	优化	优化	अनुकूलित करना; सुधारना	इंजीनियर सिस्टम की गति को अनुकूलित कर रहे हैं।	উন্নত করা; অপ্টিমাইজ করা	ইঞ্জিনিয়াররা সিস্টেমের গতি উন্নত করছেন।	i-optimize; pagbutihin	Ino-optimize ng mga inhinyero ang bilis ng sistema.
