source_headword	TE	example_TE
investigate	దర్యాప్తు చేయు	పోలీసులు ప్రమాదాన్ని దర్యాప్తు చేస్తారు.
involved	సంబంధం ఉన్న	చాలా మంది విద్యార్థులు సంబంధం ఉన్నారు.
iron	ఇనుము	గేటు ఇనుముతో తయారైంది.
issue	సమస్య	ఇది తీవ్రమైన సమస్య.
IT	సమాచార సాంకేతికత	ఆమె సమాచార సాంకేతికతలో పనిచేస్తుంది.
journal	దినచర్య పుస్తకం	అతను దినచర్య పుస్తకంలో రాస్తాడు.
judge	న్యాయమూర్తి	న్యాయమూర్తి జాగ్రత్తగా విన్నాడు.
keen	ఆసక్తి గల	ఆమె నేర్చుకోవడానికి ఆసక్తి గలది.
keyboard	కీబోర్డు	నా కీబోర్డు పనిచేయడం ఆగింది.
kick	తన్ను	బంతిని మెల్లగా తన్ను.
killing	హత్య	హత్య గ్రామాన్ని దిగ్భ్రాంతికి గురిచేసింది.
kind (caring)	దయగల	అది దయగల పని.
kiss	ముద్దు	ఆమె బిడ్డకు ముద్దు పెట్టింది.
label	లేబుల్	వాడే ముందు లేబుల్ చదవండి.
laboratory	ప్రయోగశాల	ప్రయోగశాల ఈ రోజు మూసివేయబడింది.
lack	కొరత	నిద్ర కొరత జ్ఞాపకశక్తికి హాని చేస్తుంది.
latest	తాజా	నువ్వు తాజా నివేదిక చదివావా?
lay	ఉంచు	పుస్తకాన్ని బల్లపై ఉంచు.
layer	పొర	ఇంకొక రంగు పొర జోడించు.
leading	ప్రముఖ	ఆమె ప్రముఖ శాస్త్రవేత్త.
leaf	ఆకు	ఒక ఆకు నా కోటుపై పడింది.
leather	తోలు	అతని సంచి తోలుతో తయారైంది.
legal	చట్టబద్ధమైన	మాకు చట్టబద్ధమైన సలహా కావాలి.
leisure	విశ్రాంతి	చదవడం నాకు ఇష్టమైన విశ్రాంతి పని.
length	పొడవు	గది పొడవును కొలువు.
lie2 (tell a lie)	అబద్ధం చెప్పు	నీ తల్లిదండ్రులకు అబద్ధం చెప్పకండి.
limit	పరిమితి	వేగ పరిమితి యాభై.
lip	పెదవి	ఆమె తన పెదవిని కొరికింది.
liquid	ద్రవం	నీరు స్పష్టమైన ద్రవం.
literature	సాహిత్యం	ఆమె ఫ్రెంచ్ సాహిత్యం చదువుతుంది.
live2	ప్రత్యక్ష	బ్యాండ్ నిన్న రాత్రి ప్రత్యక్షంగా వాయించింది.
living	సజీవమైన	సజీవమైన మొక్కలకు వెలుగు అవసరం.
locate	కనుగొను	నువ్వు ఫైలును కనుగొనగలవా?
located	అమై ఉన్న	కార్యాలయం నగర కేంద్రంలో అమై ఉంది.
location	స్థానం	ఇది మంచి స్థానం.
lonely	ఒంటరి	ఇల్లు మార్చిన తర్వాత అతనికి ఒంటరితనం అనిపించింది.
loss	నష్టం	నష్టం అందరికీ కష్టంగా ఉంది.
luxury	విలాసం	హోటల్ నిజమైన విలాసాన్ని అందిస్తుంది.
mad	కోపంగా	ఆమె ఆలస్యం గురించి కోపంగా ఉంది.
magic	మాయ	ప్రదర్శన మాయతో నిండింది.
mainly	ప్రధానంగా	గుంపు ప్రధానంగా విద్యార్థులే.
mall	షాపింగ్ మాల్	మేము షాపింగ్ మాల్‌లో కలిశాము.
management	నిర్వహణ	మంచి నిర్వహణ సమయాన్ని ఆదా చేస్తుంది.
marketing	మార్కెటింగ్	మార్కెటింగ్ ఉత్పత్తిని అమ్మడంలో సహాయపడుతుంది.
marriage	వివాహం	వారి వివాహం ముప్పై సంవత్సరాలు నిలిచింది.
meanwhile	ఇంతలో	ఇంతలో నేను రాత్రి భోజనం వండాను.
measure	కొలువు	బల్లను జాగ్రత్తగా కొలువు.
medium	మధ్యస్థ	నేను మధ్యస్థ పిజ్జా ఆర్డర్ చేశాను.
mental	మానసిక	ఒత్తిడి మానసిక ఆరోగ్యాన్ని ప్రభావితం చేస్తుంది.
mess	గందరగోళం	ఈ గందరగోళాన్ని శుభ్రం చేయి.
mild	మృదువైన	సూప్‌కు మృదువైన రుచి ఉంది.
mine (hole in the ground)	గని	గని గత సంవత్సరం మూసివేయబడింది.
mix	కలపు	గుడ్లను పాలతో కలపు.
mixture	మిశ్రమం	మిశ్రమం మందంగా మారింది.
mood	మానసిక స్థితి	సంగీతం ఆమె మానసిక స్థితిని మార్చింది.
mud	బురద	అతని చెప్పులు బురదతో కప్పబడ్డాయి.
murder	హత్య	హత్య రాత్రి జరిగింది.
muscle	కండరం	వ్యాయామం కండరాన్ని పెంచుతుంది.
mystery	రహస్యం	పాత ఇల్లు ఒక రహస్యం.
nail	గోరు	నా గోరు ఒకటి విరిగింది.
narrative	కథనం	నవలకు స్పష్టమైన కథనం ఉంది.
nation	జాతి	మొత్తం జాతి వేడుక చేసుకుంది.
native	స్థానిక	స్పానిష్ ఆమె స్థానిక భాష.
naturally	సహజంగా	పిల్లలు ఆట ద్వారా సహజంగా నేర్చుకుంటారు.
necessarily	తప్పనిసరిగా	ఖరీదైన ఆహారం తప్పనిసరిగా మంచిది కాదు.
needle	సూది	సూది చాలా పదునైనది.
neighbourhood	పరిసర ప్రాంతం	వారు నిశ్శబ్ద పరిసర ప్రాంతంలో ఉంటారు.
net	వల	మత్స్యకారుడు తన వలను దిద్దాడు.
nor	కూడా కాదు	అతను నవ్వలేదు మాట్లాడలేదు కూడా కాదు.
northern	ఉత్తర	వారు ఉత్తర తీరానికి వెళ్లారు.
nuclear	అణు	చర్చ అణు శక్తి గురించి ఉంది.
obvious	స్పష్టమైన	సమాధానం స్పష్టంగా ఉంది.
obviously	స్పష్టంగా	స్పష్టంగా మనకు మరింత సమయం కావాలి.
occasion	సందర్భం	ఇది ప్రత్యేక సందర్భం.
occur	సంభవించు	ప్రమాదాలు ఎక్కడైనా సంభవించవచ్చు.
odd	విచిత్రమైన	అది విచిత్రమైన ప్రశ్న.
official	అధికారిక	అధికారిక ఫలితం ఈ రోజు వచ్చింది.
old-fashioned	పాతశైలి	ఆమె ఫోన్ పాతశైలిగా కనిపిస్తుంది.
operation	శస్త్రచికిత్స	శస్త్రచికిత్స రెండు గంటలు కొనసాగింది.
organized	క్రమబద్ధమైన	ఆమె బల్ల చాలా క్రమబద్ధంగా ఉంది.
organizer	నిర్వాహకుడు	నిర్వాహకుడు అతిథులను స్వాగతించాడు.
originally	మొదట	ఆమె మొదట కెనడా నుంచి వచ్చింది.
ought modal	కావాలి	నీవు విశ్రాంతి తీసుకోవాలి.
ours	మాది	ఈ బల్ల మాది.
outdoor	బయటి	మేము బయటి ఫర్నిచర్ కొనుగోలు చేశాము.
outdoors	బయట	పిల్లలు బయట ఆడాలి.
package	ప్యాకేజీ	ప్యాకేజీ ఈ ఉదయం వచ్చింది.
painful	నొప్పిగల	కట్టు నొప్పిగలది.
pale	వెలిసిన	అతని ముఖం వెలిసినట్టు కనిపించింది.
pan	పెనం	ముందుగా పెనాన్ని వేడి చేయి.
participate	పాల్గొను	ప్రతి ఒక్కరూ పాల్గొనవచ్చు.
particularly	ముఖ్యంగా	నాకు ముఖ్యంగా ఈ పాట నచ్చుతుంది.
passion	గొప్ప ఆసక్తి	సంగీతం ఆమె గొప్ప ఆసక్తి.
path	దారి	పార్క్ గుండా దారిని అనుసరించు.
payment	చెల్లింపు	చెల్లింపు రేపటికి చేయాలి.
peaceful	శాంతియుత	తోట శాంతియుతంగా ఉంది.
percentage	శాతం	చిన్న శాతం అంగీకరించింది.
perfectly	సంపూర్ణంగా	ప్రణాళిక సంపూర్ణంగా పనిచేసింది.
performance	ప్రదర్శన	ఆమె ప్రదర్శన అద్భుతంగా ఉంది.
personally	వ్యక్తిగతంగా	నేను వ్యక్తిగతంగా టీని ఇష్టపడతాను.
persuade	ఒప్పించు	అతన్ని చేరడానికి ఒప్పించగలవా?
photographer	ఛాయాచిత్రకారుడు	ఛాయాచిత్రకారుడు చాలా చిత్రాలు తీశాడు.
photography	ఛాయాచిత్రకళ	ఛాయాచిత్రకళ అతని ఇష్టమైన అభిరుచి.
pin	పిన్	మ్యాప్‌పై పిన్ పెట్టు.
pipe	గొట్టం	గొట్టం నీటిని తీసుకువెళ్తుంది.
planning	ప్రణాళిక	ప్రణాళిక సమయం తీసుకుంటుంది.
pleasant	ఆనందకరమైన	మాకు ఆనందకరమైన సాయంత్రం గడిచింది.
pleasure	ఆనందం	మిమ్మల్ని కలవడం ఆనందం.
plenty	చాలానే	మనకు చాలానే సమయం ఉంది.
plot	కథాంశం	కథాంశం అనుసరించడానికి సులభంగా ఉంది.
plus1	కలుపు	రెండు కలుపు మూడు ఐదు.
poem	కవిత	ఆమె చిన్న కవిత రాసింది.
poet	కవి	కవి గట్టిగా చదివాడు.
poetry	కవిత్వం	అతను ఆధునిక కవిత్వాన్ని ఆస్వాదిస్తాడు.
poison	విషం	విషాన్ని పిల్లల నుండి దూరంగా ఉంచండి.
poisonous	విషపూరితమైన	కొన్ని పుట్టగొడుగులు విషపూరితమైనవి.
policy	విధానం	కంపెనీ తన విధానాన్ని మార్చింది.
political	రాజకీయ	ప్రసంగం రాజకీయంగా ఉంది.
politician	రాజకీయ నాయకుడు	రాజకీయ నాయకుడు ప్రశ్నలకు సమాధానం ఇచ్చాడు.
politics	రాజకీయాలు	రాజకీయాలు సంక్లిష్టంగా ఉండవచ్చు.
port	నౌకాశ్రయం	నౌక నౌకాశ్రయంలోకి ప్రవేశించింది.
portrait	చిత్రపటం	చిత్రపటం హాల్‌లో వేలాడుతోంది.
possibly	కావచ్చు	ఆమె ఆలస్యంగా రావచ్చు.
pot	కుండ	మొక్కకు పెద్ద కుండ కావాలి.
pour	పోయు	పాలను నెమ్మదిగా పోయు.
poverty	పేదరికం	చాలా కుటుంబాలు పేదరికంలో జీవిస్తాయి.
powder	పొడి	పొడిని నీటిలో కలపండి.
powerful	శక్తివంతమైన	ఇంజిన్ శక్తివంతమైనది.
practical	ఆచరణాత్మక	ఇది ఆచరణాత్మక పరిష్కారం.
pray	ప్రార్థించు	వారు ప్రతి ఉదయం ప్రార్థిస్తారు.
prayer	ప్రార్థన	ఆమె నిశ్శబ్ద ప్రార్థన చేసింది.
prediction	అంచనా	అతని అంచనా సరైంది.
prepared	సిద్ధమైన	నేను పరీక్షకు సిద్ధంగా ఉన్నాను.
presentation	ప్రదర్శన	ఆమె ప్రదర్శన స్పష్టంగా ఉంది.
press	నొక్కు	బటన్‌ను ఒక్కసారి నొక్కు.
pressure	ఒత్తిడి	ఒత్తిడి నీ ఆరోగ్యాన్ని ప్రభావితం చేయవచ్చు.
pretend	నటించు	నిద్రపోతున్నట్టు నటించవద్దు.
previous	మునుపటి	మునుపటి పాఠం సులభంగా ఉంది.
previously	ముందు	మేము ముందు రోమ్‌లో నివసించాము.
priest	పూజారి	పూజారి మృదువుగా మాట్లాడాడు.
primary	ప్రాథమిక	ఆరోగ్యం మా ప్రాథమిక చింత.
prince	యువరాజు	యువరాజు పాఠశాలను సందర్శించాడు.
princess	యువరాణి	యువరాణి నీలి దుస్తులు ధరించింది.
printing	ముద్రణ	నివేదికను ముద్రించడానికి కొన్ని నిమిషాలు పట్టింది.
prisoner	ఖైదీ	ఖైదీ రాత్రి పారిపోయాడు.
private	వ్యక్తిగత	ఇది వ్యక్తిగత సంభాషణ.
producer	నిర్మాత	నిర్మాతకు సినిమా నచ్చింది.
production	ఉత్పత్తి	ఉత్పత్తి వచ్చే వారం మొదలవుతుంది.
profession	వృత్తి	బోధన గౌరవనీయమైన వృత్తి.
profit	లాభం	దుకాణం లాభం పొందింది.
promote	ప్రోత్సహించు	వారు ఆరోగ్యకరమైన ఆహారాన్ని ప్రోత్సహిస్తారు.
proper	సరైన	నడకకు సరైన చెప్పులు ధరించండి.
properly	సరిగా	తలుపును సరిగా మూసివేయి.
property	ఆస్తి	వారు నది దగ్గర ఆస్తి కొనుగోలు చేశారు.
protest	నిరసన	నిరసన శాంతియుతంగా ముగిసింది.
proud	గర్వంగా	ఆమె తన కుమారుడి గురించి గర్వపడింది.
prove	నిరూపించు	నీ సమాధానాన్ని నిరూపించగలవా?
punish	శిక్షించు	గురువు అతన్ని శిక్షించలేదు.
punishment	శిక్ష	శిక్ష న్యాయంగా కనిపించింది.
qualification	అర్హత	ఈ ఉద్యోగానికి నీకు అర్హత అవసరం.
qualified	అర్హత కలిగిన	ఆమె అర్హత కలిగిన నర్సు.
qualify	అర్హత పొందు	మా జట్టు అర్హత పొందవచ్చు.
queue	వరుస	మేము పొడవైన వరుసలో వేచి ఉన్నాము.
quit	మానేయు	అతను ధూమపానం మానేయాలని నిర్ణయించాడు.
quotation	ఉల్లేఖనం	వ్యాసం ఉల్లేఖనంతో మొదలవుతుంది.
quote	ఉల్లేఖించు	నీ మాటలను నేను ఉల్లేఖించవచ్చా?
race (people)	జాతి	ఫారం జాతి గురించి అడుగుతుంది.
racing	పందెం	గుర్రపు పందెం అక్కడ ప్రసిద్ధం.
range	పరిధి	దుకాణం విస్తృత పరిధిలో వస్తువులు అమ్ముతుంది.
rare	అరుదైన	ఈ పక్షి అరుదైనది.
rarely	అరుదుగా	మేము అరుదుగా బయట తింటాము.
reaction	ప్రతిస్పందన	ఆమె ప్రతిస్పందన నన్ను ఆశ్చర్యపరిచింది.
reality	వాస్తవం	వాస్తవం అతని కలతో భిన్నంగా ఉంది.
receipt	రసీదు	రసీదును ఉంచు.
recommendation	సిఫార్సు	సిఫార్సుకు ధన్యవాదాలు.
reference	సూచన	చివరలో ఒక సూచనను జోడించండి.
reflect	ప్రతిబింబించు	అద్దం వెలుతురును ప్రతిబింబించగలదు.
regularly	క్రమం తప్పకుండా	ఆమె క్రమం తప్పకుండా వ్యాయామం చేస్తుంది.
reject	తిరస్కరించు	వారు ఆ ఆఫర్‌ను తిరస్కరించవచ్చు.
relate	సంబంధం కలిగి ఉండు	ఆ కథతో నాకు సంబంధం కలిగి ఉండగలదు.
related	సంబంధిత	రెండు సమస్యలు సంబంధితమైనవి.
relation	సంబంధం	వాటికి మధ్య సంబంధం ఉంది.
relative	సాపేక్ష	వేగం సాపేక్షమైనది.
relaxed	ఆరామంగా	రాత్రి భోజనం తర్వాత అతను ఆరామంగా అనిపించాడు.
relaxing	విశ్రాంతినిచ్చే	సంగీతం విశ్రాంతినిచ్చేది.
release	విడుదల చేయు	వారు సినిమాను త్వరలో విడుదల చేస్తారు.
reliable	నమ్మదగిన	ఈ బస్సు సాధారణంగా నమ్మదగినది.
religion	మతం	మతం ఆమెకు ముఖ్యమైనది.
religious	మతపరమైన	వారు మతపరమైన భవనాన్ని సందర్శించారు.
remain	ఉండి పోవు	దయచేసి ప్రశాంతంగా ఉండి పోవండి.
remind	గుర్తు చేయు	రేపు నాకు గుర్తు చేయు.
remote	దూరమైన	వారు దూరమైన గ్రామంలో ఉంటారు.
rent	అద్దె	అద్దె ఈ రోజు చెల్లించాలి.
repeated	పునరావృత	పునరావృత తప్పులు పనిని నెమ్మదింపజేశాయి.
represent	ప్రాతినిధ్యం వహించు	నక్షత్రం ఆశను ప్రాతినిధ్యం వహిస్తుంది.
require	అవసరం అవు	ఈ ఉద్యోగానికి శిక్షణ అవసరం అవుతుంది.
reservation	రిజర్వేషన్	నేను రిజర్వేషన్ చేశాను.
resource	వనరు	గ్రంథాలయం ఉపయోగకరమైన వనరు.
respect	గౌరవం	నీ సహపాఠులను గౌరవించు.
responsibility	బాధ్యత	పిల్లల సంరక్షణ పెద్ద బాధ్యత.
responsible	బాధ్యతగల	టికెట్లకు ఆమె బాధ్యతగలది.
retire	పదవీ విరమణ చేయు	నా తండ్రి త్వరలో పదవీ విరమణ చేస్తారు.
retired	పదవీ విరమణ చేసిన	అతను పదవీ విరమణ చేసిన ఉపాధ్యాయుడు.
revise	సవరించు	ఈ రాత్రి నీ వ్యాసాన్ని సవరించు.
risk	ప్రమాదం	వర్షం ప్రమాదం ఉంది.
robot	రోబో	రోబో నేలను శుభ్రం చేసింది.
roll	దొర్లించు	బంతిని నా వైపు దొర్లించు.
romantic	ప్రేమభరిత	వారికి ప్రేమభరిత రాత్రి భోజనం జరిగింది.
rope	తాడు	తాడును బిగిగా కట్టు.
rough	కఠినమైన	రహదారి కఠినంగా ఉంది.
row1	వరుస	ముందు వరుసలో కూర్చో.
royal	రాజ కుటుంబ	రాజ కుటుంబం వచ్చింది.
rugby	రగ్బీ	మేము టెలివిజన్‌లో రగ్బీ చూశాము.
safety	భద్రత	పనిలో భద్రత ముఖ్యం.
sailor	నావికుడు	నావికుడు పడవను దిద్దాడు.
sample	నమూనా	నర్సు రక్త నమూనా తీసుకుంది.
sand	ఇసుక	ఇసుక నా చెప్పులను కప్పింది.
scan	స్కాన్ చేయు	ముందుగా పత్రాన్ని స్కాన్ చేయు.
scientific	శాస్త్రీయ	ఇది శాస్త్రీయ పద్ధతి.
script	స్క్రిప్ట్	నటుడు స్క్రిప్ట్ చదివాడు.
sculpture	శిల్పం	శిల్పం బయట నిలబడి ఉంది.
secondary	ద్వితీయ	ఇది ద్వితీయ సమస్య.
security	భద్రత	భద్రత మా సంచులను తనిఖీ చేసింది.
seed	విత్తనం	విత్తనాన్ని మట్టిలో నాటు.
sensible	వివేకమైన	అది వివేకమైన ఆలోచన.
seriously	తీవ్రంగా	ఈ సమస్యను తీవ్రంగా తీసుకో.
servant	సేవకుడు	సేవకుడు తలుపు తెరిచాడు.
set (put)	ఉంచు	గ్లాసును బల్లపై ఉంచు.
set (group)	సమాహారం	ఈ సమాహారంలో ఆరు కప్పులు ఉన్నాయి.
setting	నేపథ్యం	కథకు నగర నేపథ్యం ఉంది.
sex	లింగం	ఫారం వయసు మరియు లింగం అడుగుతుంది.
sexual	లైంగిక	తరగతి లైంగిక ఆరోగ్యం గురించి చర్చించింది.
sharp	పదునైన	ఈ కత్తి పదునైనది.
shelf	అలమారి పలక	పుస్తకాన్ని అలమారి పలకపై ఉంచు.
shell	చిప్ప	చిప్ప ఖాళీగా ఉంది.
shift	పూట	నా పూట ఎనిమిదికి మొదలవుతుంది.
shine	ప్రకాశించు	నక్షత్రాలు రాత్రి ప్రకాశిస్తాయి.
shiny	మెరిసే	ఆమె చెప్పులు మెరిసేవి.
shoot	చిత్రీకరించు	ఛాయాచిత్రకారుడు దృశ్యాన్ని చిత్రీకరిస్తాడు.
shy	సిగ్గరిన	అతను అపరిచితులతో సిగ్గరినవాడు.
sight	దృశ్యం	పర్వతం అందమైన దృశ్యం.
signal	సంకేతం	సంకేతం బలహీనంగా ఉంది.
silent	నిశ్శబ్ద	గది నిశ్శబ్దమైంది.
silly	మూర్ఖమైన	అది మూర్ఖమైన తప్పు.
similarity	సారూప్యత	స్పష్టమైన సారూప్యత ఉంది.
similarly	అలాగే	రెండవ ప్రణాళిక అలాగే పనిచేస్తుంది.
simply	సులభంగా	సులభంగా ఈ బటన్ నొక్కు.
sink	మునుగు	బరువైన రాళ్లు త్వరగా మునుగుతాయి.
slice	ముక్క	నేను కేక్ ముక్క తిన్నాను.
slightly	కొద్దిగా	గది కొద్దిగా వెచ్చగా ఉంది.
smart	చక్కని	ఆమె చక్కని జాకెట్ ధరించింది.
smooth	మృదువైన	రహదారి మృదువుగా ఉంది.
software	సాఫ్ట్‌వేర్	సాఫ్ట్‌వేర్‌కు నవీకరణ అవసరం.
soil	మట్టి	మట్టి ఎండిపోయింది.
solid	ఘనమైన	గోడ ఘనమైనది.
southern	దక్షిణ	వారు దక్షిణ తీరంలో ఉంటారు.
specifically	ప్రత్యేకంగా	నేను ప్రత్యేకంగా టీ అడిగాను.
spending	ఖర్చు	ప్రభుత్వ ఖర్చు పెరిగింది.
spicy	కారంగా	ఈ కూర కారంగా ఉంది.
spirit	ఉత్సాహం	జట్టు గొప్ప ఉత్సాహం చూపింది.
spoken	మాట్లాడే	మాట్లాడే ఆంగ్లం అభ్యాసంతో మెరుగవుతుంది.
spot	స్థలం	ఈ స్థలం అద్భుతంగా ఉంది.
spread	పూయు	రొట్టెపై వెన్న పూయు.
stadium	క్రీడా మైదానం	క్రీడా మైదానం నిండిపోయింది.
staff	సిబ్బంది	సిబ్బంది సహాయకరంగా ఉన్నారు.
standard	ప్రమాణం	ప్రమాణం ఉన్నతంగా ఉంది.
statistic	గణాంకం	ఈ గణాంకం ఆశ్చర్యకరంగా ఉంది.
statue	విగ్రహం	విగ్రహం చౌకంలో నిలబడి ఉంది.
stick (push into/attach)	అతికించు	లేబుల్‌ను పెట్టెపై అతికించు.
stick (piece of wood)	కర్ర	అతను ఒక కర్రను ఎత్తుకున్నాడు.
