source_headword	CS	example_CS
mostly	většinou	Třída byla většinou tichá.
motorcycle	motocykl	Jezdí na motocyklu.
movement	pohyb	Viděl jsem pohyb ve stromech.
musical	muzikál; hudební	To je hudební film.
musician	hudebník	Hudebník hrál na kytaru.
myself	sám sebe; já sám	Udělal jsem to sám.
narrow	úzký	Silnice je úzká.
national	národní	Toto je národní svátek.
nature	příroda	Miluji přírodu.
nearly	téměř; skoro	Jsme skoro tam.
necessary	nutný; nezbytný	Je to nutné?
neck	krk; šíje	Bolí mě krk.
neither	ani jeden	Ani jedna odpověď není správná.
nervous	nervózní	Cítí se nervózní.
network	síť	Síť nefunguje.
noise	hluk; zvuk	Slyšel jsem hlasitý zvuk.
noisy	hlučný	Ulice je hlučná.
none	žádný; nikdo	Nikdo z nich nepřišel.
normal	normální	To je normální.
normally	obvykle	Obvykle vstávám brzy.
notice	všimnout si; oznámení	Všiml sis cedule?
novel	román	Napsala román.
nowhere	nikde	Nikde nebylo místo k sezení.
nut	ořech	Ořech je tvrdý.
ocean	oceán	Oceán je hluboký.
offer	nabídnout; nabídka	Přijal jsem nabídku.
officer	policista; důstojník	Policista zkontroloval můj lístek.
oil	olej	Dej olej na pánev.
onto	na; nahoru na	Polož to na polici.
opportunity	příležitost	To je dobrá příležitost.
option	možnost; alternativa	Vyber nejlepší možnost.
ordinary	obyčejný	Byl to obyčejný den.
organization	organizace	Organizace pomáhá studentům.
organize	uspořádat; organizovat	Uspořádej soubory, prosím.
original	původní; originální	Nech si původní účtenku.
ourselves	my sami; sebe	Uvařili jsme večeři sami.
oven	trouba	Trouba je horká.
owner	majitel	Majitel otevřel obchod.
pack	balit; balíček	Sbal si tašku hned.
pain	bolest	Cítím bolest v zádech.
painter	malíř	Malíř dokončil zeď.
palace	palác	Palác je starý.
pants	kalhoty	Tyto kalhoty jsou příliš dlouhé.
parking	parkování	Parkování je tady těžké.
particular	určitý; zvláštní	Potřebuji určitou knihu.
pass	podat; projít	Podej mi sůl.
passenger	cestující	Každý cestující potřebuje jízdenku.
patient	pacient; trpělivý	Buď trpělivý s dětmi.
pattern	vzor; vzorec	Tento vzor je jednoduchý.
peace	mír; klid	Všichni chceme mír.
penny	malá mince	Našel jsem malou minci.
per	za; na	Lístek stojí deset dolarů na osobu.
per cent	procento	Pět procent je málo.
perform	vystupovat; provést	Kapela vystupuje dnes večer.
perhaps	možná	Možná je doma.
permission	povolení	Nejprve požádej o povolení.
personality	osobnost	Má přátelskou osobnost.
pet	domácí mazlíček	Můj mazlíček je kočka.
petrol	benzín	Auto potřebuje benzín.
physical	fyzický	Fyzické cvičení pomáhá zdraví.
physics	fyzika	Fyzika je těžká.
pick	vybrat; sbírat	Vyber jednu kartu.
pilot	pilot	Pilot mluvil jasně.
planet	planeta	Země je planeta.
plastic	plast; plastový	Láhev je z plastu.
plate	talíř	Dej jídlo na talíř.
platform	nástupiště; platforma	Čekej na nástupišti dvě.
pleased	potěšený; rád	Rád tě poznávám.
pocket	kapsa	Lístek je v mé kapse.
polite	zdvořilý	Buď zdvořilý ke všem.
pollution	znečištění	Znečištění škodí moři.
pop	pop; popová hudba	Mám rád popovou hudbu.
population	populace; obyvatelstvo	Populace roste.
position	poloha; pozice	Změň svou polohu.
possession	majetek	Tento prsten je můj majetek.
possibility	možnost	Je tu možnost deště.
poster	plakát	Pověs plakát na zeď.
power	elektřina; síla	Počítač potřebuje elektřinu.
predict	předpovědět	Nemůžeme předpovědět počasí.
president	prezident	Prezident pronesl projev.
prevent	zabránit	Umyj si ruce, abys zabránil nemoci.
print	tisknout	Vytiskni dokument.
printer	tiskárna	Tiskárna je rozbitá.
prison	vězení	Skončil ve vězení.
prize	cena	Vyhrála cenu.
process	proces	Proces trvá dlouho.
produce	produkovat; vyrábět	Farmy produkují jídlo.
professional	profesionální; odborník	Je profesionální tanečnice.
professor	profesor	Profesor odpověděl na otázku.
profile	profil	Aktualizuj svůj profil.
program	program	Program začíná teď.
progress	pokrok	Dnes jsme udělali pokrok.
promise	slíbit; slib	Dodrž svůj slib.
pronounce	vyslovit	Vyslov toto slovo, prosím.
protect	chránit	Chraň si oči.
provide	poskytnout; dát	Poskytují vodu zdarma.
pub	hospoda; bar	Setkali jsme se v hospodě.
public	veřejný	Park je veřejný.
publish	publikovat; vydat	Vydávají časopis.
pull	táhnout	Zatáhni za dveře.
purpose	účel	Jaký je účel?
push	tlačit; stisknout	Stiskni tlačítko.
quality	kvalita	Kvalita je vysoká.
quantity	množství	Zkontroluj množství.
queen	královna	Královna zamávala.
quietly	tiše	Mluv tiše.
race (competition)	závod; soutěž	Závod brzy začne.
railway	železnice	Železnice je zavřená.
raise	zvednout; zvýšit	Zvedni ruku.
rate	cena; sazba	Cena hotelu je vysoká.
rather	docela; raději	Jsem docela unavený.
reach	dosáhnout; dohlédnout	Dosáhneš na polici?
react	reagovat	Jak reagovala?
realize	uvědomit si	Uvědomil jsem si chybu.
receive	obdržet; dostat	Dostal jsi mou zprávu?
recent	nedávný; nový	To je nový obrázek.
recently	nedávno	Nedávno jsem se sem přestěhoval.
reception	recepce; přijetí	Recepce je v pondělí.
recipe	recept	Tento recept je jednoduchý.
recognize	poznat; rozpoznat	Poznávám tu píseň.
recommend	doporučit	Doporučuji tuto knihu.
record	záznam; nahrát	Ulož záznam platby.
recording	nahrávka	Nahrávka zní jasně.
recycle	recyklovat	Recykluj papír a plast.
reduce	snížit	Sniž teplotu.
refer	odkazovat; odkázat	Odkazuj na druhou stránku.
refuse1	odmítnout	Odmítám lhát.
region	region; oblast	Tato oblast je studená.
regular	pravidelný; stálý	Je stálá zákaznice.
relationship	vztah	Jejich vztah je silný.
remove	odstranit; sundat	Sundej si boty.
repair	opravit	Oprav dnes kolo.
replace	nahradit; vyměnit	Vyměň starou baterii.
reply	odpovědět	Odpověz rychle, prosím.
reporter	reportér	Reportér si dělal poznámky.
request	žádost	Podal jsem žádost.
research	výzkum; zkoumat	Zkoumáme místní historii.
researcher	výzkumník	Výzkumník zkontroloval data.
respond	odpovědět; reagovat	Odpověz dnes, prosím.
response	odpověď; reakce	Odpověď byla rychlá.
rest (remaining part)	zbytek	Sněz zbytek později.
rest (sleep/relax)	odpočívat; odpočinek	Potřebuješ odpočinek.
review	projít; recenze	Projdi si dnes večer poznámky.
ring1	prsten	Má na sobě zlatý prsten.
ring2	zavolat	Zavolej mi po obědě.
rise	stoupat; nárůst	Ceny každý rok stoupají.
rock (stone)	kámen	Kámen je těžký.
