source_headword	LV	example_LV
opponent	pretinieks	Viņas pretinieks kritizēja politiku.
oppose	iebilst	Daudzi iedzīvotāji iebilst pret plānu.
opposed	pretējs	Grupām bija pretēji uzskati.
opposition	pretestība	Priekšlikums saskārās ar spēcīgu pretestību.
organ	orgāns	Sirds ir vitāli svarīgs orgāns.
origin	izcelsme	Ugunsgrēka izcelsme nav zināma.
otherwise	citādi	Dodieties tagad, citādi jūs nokavēsiet.
outcome	iznākums	Iznākums visus pārsteidza.
outer	ārējais	Ārējā siena ir jālabo.
outline	ieskicēt	Lūdzu, ieskicējiet savu galveno argumentu.
overall	kopējais	Kopējais rezultāts bija pozitīvs.
owe	būt parādā	Esmu tev parādā atvainošanos.
pace	temps	Ejiet vienmērīgā tempā.
panel	komisija	Komisija apsprieda klimata politiku.
parliament	parlaments	Parlaments apstiprināja jauno likumu.
participant	dalībnieks	Katrs dalībnieks parakstīja veidlapu.
partly	daļēji	Kavēšanās daļēji bija mūsu vaina.
passage	fragments	Pirms atbildēšanas izlasiet fragmentu.
pension1	pensija	Pensija viņu uztur pēc aiziešanas pensijā.
permanent	pastāvīgs	Viņiem nepieciešams pastāvīgs risinājums.
permit	atļaut	Noteikumi atļauj īsas vizītes.
perspective	perspektīva	Mēģiniet izprast viņas perspektīvu.
phase	posms	Projekts iegāja savā pēdējā posmā.
phenomenon	fenomens	Šis fenomens ir sastopams daudzās kultūrās.
philosophy	filozofija	Viņas filozofija augstu vērtē praktisku rīcību.
pile	kaudze	Papīru kaudze klāja rakstāmgaldu.
pitch	laukums	Komanda rūpīgi sagatavoja laukumu.
plain	skaidrs	Norādījumi bija skaidri un tieši.
pointed	ass	Viņš izteica asu piezīmi.
popularity	popularitāte	Dziedātājs ieguva popularitāti internetā.
pose	radīt	Jautājums var radīt problēmu.
possess	piemist	Retam studentam piemīt šī prasme.
potential	potenciāls	Idejai ir reāls potenciāls.
praise	uzslava	Skolotājs izteica godīgu uzslavu.
pregnant	grūtniece	Viņa ir sestajā grūtniecības mēnesī.
preparation	sagatavošanās	Laba sagatavošanās samazina stresu.
presence	klātbūtne	Viņa klātbūtne mainīja noskaņojumu.
preserve	saglabāt	Mums ir jāsaglabā šī vēsturiskā ēka.
prime	galvenais	Galvenais cēlonis bija slikta plānošana.
principle	princips	Lēmums sekoja skaidram principam.
priority	prioritāte	Drošība ir mūsu pirmā prioritāte.
privacy	privātums	Klienti tiešsaistē sagaida privātumu.
procedure	procedūra	Procedūra ilgst trīsdesmit minūtes.
proof	pierādījums	Mums nepieciešams pierādījums pirms rīcības.
proposal	priekšlikums	Priekšlikumam nepieciešams vairāk detaļu.
propose	piedāvāt	Es piedāvāju citu risinājumu.
prospect	izredzes	Neveiksmes izredzes viņus uztrauca.
protection	aizsardzība	Ķivere sniedz pamata aizsardzību.
psychologist	psihologs	Psihologs izskaidroja testa rezultātus.
psychology	psiholoģija	Viņa studē psiholoģiju universitātē.
publication	publikācija	Publikācija piesaistīja sabiedrības uzmanību.
pupil	skolēns	Katrs skolēns saņēma jaunu mācību grāmatu.
purchase	iegādāties	Viņi iegādājas krājumus katru mēnesi.
pure	tīrs	Ūdens bija tīrs un auksts.
pursue	turpināt	Viņš turpinās medicīnas karjeru.
rank	rangs	Viņai ir augsts rangs.
rapid	straujš	Valsts piedzīvoja strauju izaugsmi.
rapidly	strauji	Cenas šogad strauji pieauga.
raw	svaigs	Pavārs sagatavoja svaigus dārzeņus.
realistic	reālistisks	Nosakiet reālistisku termiņu.
reasonable	saprātīgs	Tas šķiet saprātīgs lūgums.
recall	atcerēties	Es atceros viņa precīzos vārdus.
recover	atveseļoties	Viņa atveseļosies pēc ārstēšanas.
reduction	samazinājums	Samazinājums ietaupīja naudu.
regard	uzskatīt	Daudzi cilvēki viņu uzskata par godīgu.
regional	reģionāls	Reģionālais birojs šodien tika slēgts.
register	reģistrēties	Lūdzu, reģistrējieties pirms konferences.
regret	nožēlot	Es nožēloju savu agrāko lēmumu.
regulation	noteikums	Jaunā regula ietekmē visus vadītājus.
relatively	relatīvi	Eksāmens bija relatīvi viegls.
relevant	būtisks	Izvēlieties tikai būtiskas detaļas.
relief	atvieglojums	Ziņa nesa lielu atvieglojumu.
rely	paļauties	Bērni paļaujas uz pieaugušo atbalstu.
remark	piezīme	Viņa piezīme izbeidza diskusiju.
representative	pārstāvis	Pārstāvis tikās ar vietējiem strādniekiem.
reputation	reputācija	Viesnīcai ir laba reputācija.
requirement	prasība	Pieredze ir pamatprasība.
rescue	izglābt	Viņi glābj cilvēkus no plūdiem.
reserve	rezervēt	Mēs rezervējam vietas viesiem.
resident	iedzīvotājs	Katrs iedzīvotājs saņēma paziņojumu.
resist	pretoties	Mēģiniet pretoties spiedienam.
resolve	atrisināt	Viņi mierīgi atrisināja strīdu.
resort	kūrorts	Salas kūrorts tika atvērts maijā.
retain	paturēt	Uzņēmums vēlas paturēt darbiniekus.
reveal	atklāt	Ziņojums atklās patiesību.
revolution	revolūcija	Revolūcija izmainīja valsti.
reward	atlīdzība	Smags darbs ir pelnījis atlīdzību.
rhythm	ritms	Dziesmai ir vienmērīgs ritms.
rid	atbrīvoties	Atbrīvojieties no tiem vecajiem failiem.
root	sakne	Problēmas sakne ir nauda.
rub	berzēt	Berzējiet virsmu ar drānu.
rubber	gumija	Gumijas blīve novērš noplūdes.
rural	lauku	Daudzām lauku skolām ir nepieciešams atbalsts.
rush	steigties	Nesteidzinieties ar šo lēmumu.
satellite	satelīts	Satelīts nosūtīja jaunus attēlus.
satisfied	apmierināts	Klients šķita apmierināts.
satisfy	apmierināt	Atbilde viņu neapmierināja.
saving	taupīšana	Enerģijas taupīšana samazina ikmēneša izmaksas.
scale	mērogs	Bojājumu mērogs bija milzīgs.
scheme	shēma	Shēma palīdz jauniem darbiniekiem.
scream	kliedziens	Viņi ārā dzirdēja kliedzienu.
sector	sektors	Tehnoloģiju sektors aug.
secure	nodrošināt	Aizslēdziet durvis, lai tās nodrošinātu.
seek	meklēt	Viņi meklē padomu pie ekspertiem.
select	izvēlēties	Izvēlieties labāko variantu.
selection	izvēle	Veikals piedāvā plašu izvēli.
self	sevi	Viņa parādīja savu patieso sevi.
senior	vecākais	Vecākais ārsts pārbaudīja pacientu.
sensitive	jutīgs	Šī tēma ir ļoti jutīga.
sequence	secība	Ievērojiet soļu secību.
session	sesija	Treniņu sesija sākas pusdienlaikā.
settle	atrisināt	Viņi ātri atrisināja strīdu.
severe	smags	Vētra izraisīja smagus plūdus.
shade	ēna	Sēdiet ēnā.
shadow	ēna	Ēna slīdēja pār logu.
shallow	sekls	Ezers šeit ir sekls.
shame	kauns	Pēc melošanas viņš juta kaunu.
shelter	patvērums	Skola nodrošināja ārkārtas patvērumu.
shock	šoks	Lēmums bija šoks.
shocked	šokēts	Viņa izskatījās šokēta par ziņām.
shooting	apšaude	Apšaude notika netālu no stacijas.
shot	metiens	Uzvaru nesošais metiens visus pārsteidza.
significant	nozīmīgs	Atklājums bija nozīmīgs.
significantly	ievērojami	Pagājušajā gadā izmaksas ievērojami pieauga.
silence	klusums	Istabā iestājās klusums.
silk	zīds	Kleita bija izgatavota no zīda.
sincere	sirsnīgs	Lūdzu, pieņemiet manu sirsnīgo pateicību.
slave	vergs	Likums atbrīvoja katru vergu.
slide	slīdēt	Bērns nobrauca pa slidkalniņu.
slight	neliels	Bija neliela aizkavēšanās.
slip	paslīdēt	Nepaslīdiet uz slapjās grīdas.
slope	nogāze	Taka iet pa stāvu nogāzi.
solar	saules	Māja izmanto saules enerģiju.
somewhat	nedaudz	Instrukcijas bija nedaudz mulsinošas.
soul	dvēsele	Mūzika pacēla viņas dvēseli.
specialist	speciālists	Speciālists izmeklēja pacientu.
species	suga	Šī suga dzīvo upju tuvumā.
spiritual	garīgs	Viņa aprakstīja garīgu pieredzi.
split	sadalīt	Viņi sadalīja rēķinu vienlīdzīgi.
sponsor	sponsorēt	Uzņēmums sponsorēs pasākumu.
stable	stabils	Pacients ir stabils.
stare	skatīties	Neblenziet uz svešiniekiem.
status	statuss	Viņa statuss mainījās vienas nakts laikā.
steady	vienmērīgs	Saglabājiet vienmērīgu ātrumu.
steel	tērauds	Tilts ir izgatavots no tērauda.
steep	stāvs	Kalns ir stāvs.
sticky	lipīgs	Grīda šķiet lipīga.
stiff	stīvs	Viņa plecs šķita stīvs.
stock	krājums	Veikalā vairs nav krājumu.
stream	strauts	Neliels strauts šķērso lauku.
stretch	izstaipīt	Izstaipiet kājas pēc lidojuma.
strict	stingrs	Skolai ir stingri noteikumi.
strike	streikot	Strādnieki rīt varētu streikot.
struggle	cīnīties	Daudzas ģimenes cīnās ar īres maksu.
submit	iesniegt	Iesniedziet veidlapu līdz piektdienai.
sum	summa	Summa bija lielāka nekā gaidīts.
surgery	operācija	Operācija ilga divas stundas.
surround	ieskaut	Māju ieskauj augsti koki.
surrounding	apkārtējais	Apkārtējā teritorija ir klusa.
suspect	turēt aizdomās	Policija tur aizdomās vietējo vīrieti.
swear	lamāties	Nelamājieties klasē.
sweep	slaucīt	Pirms viesu ierašanās saslaukiet grīdu.
sympathy	līdzjūtība	Viņa izteica līdzjūtību upuriem.
tale	stāsts	Vecāmāte pastāstīja dīvainu pasaku.
tank	tvertne	Tvertnē ir tīrs ūdens.
tear1	plēst	Neplēsiet dokumentu.
tear2	asara	Pār viņas vaigu noripoja asara.
temporary	pagaidu	Birojs ir pagaidu patvērums.
therapy	terapija	Fizikālā terapija palīdzēja viņam atveseļoties.
threat	drauds	Ziņojumā bija izteikts drauds.
threaten	apdraudēt	Vētra var apdraudēt sējumus.
thus	tādējādi	Ceļš bija slēgts, tādējādi mēs gaidījām.
tone	tonis	Viņa balss tonis skanēja mierīgi.
tough	grūts	Intervija bija grūta.
transfer	pārsūtīt	Viņi pārsūta datus katru nakti.
transform	pārveidot	Jaunā politika pārveidos pakalpojumus.
transition	pāreja	Pāreja ilga vairākus mēnešus.
trial	tiesa	Tiesa sākas nākamnedēļ.
tropical	tropisks	Tropiskās vētras šeit ir bieži sastopamas.
truly	patiešām	Es patiešām novērtēju jūsu palīdzību.
trust	uzticība	Uzticības veidošana prasa laiku.
tune	melodija	Grupa spēlēja jautru melodiju.
tunnel	tunelis	Tunelis stiepjas zem upes.
ultimately	galu galā	Galu galā plāns izdevās.
unconscious	bezsamaņā	Pacients palika bezsamaņā.
unexpected	negaidīts	Aizkavēšanās bija negaidīta.
unique	unikāls	Katrs dizains ir unikāls.
universe	visums	Visums paplašinās.
unknown	nezināms	Vārds paliek nezināms.
upper	augšējais	Augšējais plaukts ir tukšs.
upwards	uz augšu	Dūmi virzījās uz augšu.
urban	pilsētas	Pilsētas teritorijām nepieciešams labāks transports.
urge	mudināt	Ārsti mudina cilvēkus sportot.
vary	atšķirties	Cenas atšķiras atkarībā no reģiona.
vast	milzīgs	Tuksnesis aptver plašu teritoriju.
venue	norises vieta	Norises vietā var ietilpt pieci simti cilvēku.
via	caur	Nosūtiet dokumentu pa e-pastu.
victory	uzvara	Komanda svinēja savu uzvaru.
violence	vardarbība	Pilsēta cieta no politiskās vardarbības.
virtual	virtuāls	Sanāksme ir virtuāla.
vision	vīzija	Viņas vīzija veidoja uzņēmumu.
visual	vizuāls	Ziņojumā iekļauti vizuāli piemēri.
vital	vitāli svarīgs	Ūdens ir vitāli svarīgs dzīvībai.
vitamin	vitamīns	Apelsīni satur C vitamīnu.
volume	skaļums	Pagrieziet klusāk skaļumu.
wage	alga	Strādnieki pieprasīja lielāku algu.
weakness	vājība	Plānam ir viena vājā vieta.
wealth	bagātība	Viņa bagātība nāca no tirdzniecības.
wealthy	bagāts	Bagātā ģimene finansēja muzeju.
whereas	turpretī	Viņai garšo tēja, turpretī es dodu priekšroku kafijai.
wherever	vienalga kur	Sēdiet, kur vien jūtaties ērti.
whisper	čukstēt	Lūdzu, čukstiet ceremonijas laikā.
whom	kuru	Kuru jūs uzaicinājāt?
widely	plaši	Grāmata tiek plaši lasīta.
wildlife	savvaļas dzīvnieki	Parks aizsargā vietējos savvaļas dzīvniekus.
willing	gatavs	Viņa ir gatava palīdzēt.
wind2	aptīt	Aptiniet kabeli ap spoli.
wire	vads	Vads savieno abas ierīces.
wise	gudrs	Tā bija gudra izvēle.
witness	liecinieks	Liecinieks aprakstīja negadījumu.
wound	brūce	Uzmanīgi iztīriet brūci.
wrap	iesaiņot	Iesaiņojiet dāvanu papīrā.
zone	zona	Šī zona ir slēgta satiksmei.
