source_headword	NO	example_NO
competitor	en konkurrent	Hovedkonkurrenten vår senket prisene.
complaint	en klage	Hun kom med en klage om støy.
complex	kompleks	Instruksjonene er for komplekse.
concentrate	konsentrere seg	Jeg kan ikke konsentrere meg med musikk på.
conclude	avslutte	Vi avslutter møtet nå.
conclusion	en konklusjon	Konklusjonen hans virket rimelig.
confident	selvsikker	Hun følte seg selvsikker før intervjuet.
confirm	bekrefte	Vennligst bekreft e-postadressen din.
confuse	forvirre	Disse to navnene forvirrer meg.
confused	forvirret	Jeg ble forvirret av kartet.
connection	en forbindelse	Internettforbindelsen er treg.
consequence	en konsekvens	Mangel på søvn har en konsekvens.
consist	bestå	Måltidet består av tre retter.
consume	forbruke	Store biler forbruker mer drivstoff.
consumer	en forbruker	Forbrukeren ønsker tydelig informasjon.
contact	kontakt	Kontakt meg etter lunsj.
container	en beholder	Legg suppen i en beholder.
content1	innhold	Innholdet i kurset er nyttig.
continuous	kontinuerlig	Maskinen laget en kontinuerlig lyd.
contrast	en kontrast	Kontrasten mellom dem er tydelig.
convenient	praktisk	Stasjonen er veldig praktisk.
convince	overbevise	Hun overbeviste ham om å prøve igjen.
costume	et kostyme	Han hadde på seg et piratkostyme.
cottage	en hytte	De leide en liten hytte.
cotton	bomull	Denne skjorten er laget av bomull.
countryside	landsbygda	Vi gikk gjennom landsbygda.
court	en domstol	Saken gikk til retten.
covered	dekket	Bordet var dekket med papirer.
cruel	grusom	Det var grusomt å le.
cultural	kulturell	Museet tilbyr kulturelle arrangementer.
currency	en valuta	Den lokale valutaen er euro.
current	nåværende	Den nåværende situasjonen er vanskelig.
currently	for øyeblikket	Hun studerer for øyeblikket i utlandet.
curtain	en gardin	Lukk gardinen om natten.
custom	en skikk	Denne skikken er veldig gammel.
damage	skade	Stormen forårsaket alvorlig skade.
decade	et tiår	De bodde der i et tiår.
decorate	dekorere	Vi dekorerer rommet sammen.
define	definere	Kan du definere dette begrepet?
definite	bestemt	Vi trenger et bestemt svar.
definition	en definisjon	Skriv definisjonen i notatboken din.
deliver	levere	De leverer mat til huset vårt.
departure	en avgang	Avgangstiden ble endret.
despite	til tross for	Til tross for regnet gikk vi.
destination	et reisemål	Paris var deres endelige reisemål.
determine	avgjøre	Prøver avgjør nivået ditt.
determined	bestemt	Hun var bestemt på å lykkes.
development	en utvikling	Utviklingen av byen var rask.
diagram	et diagram	Tegn et enkelt diagram.
diamond	en diamant	Ringen hadde en liten diamant.
difficulty	en vanskelighet	Han hadde vanskeligheter med å åpne døren.
directly	direkte	Snakk direkte til meg.
dirt	skitt	Skoene hans var dekket av skitt.
disadvantage	en ulempe	Den lange reisen er en ulempe.
disappointed	skuffet	Hun følte seg skuffet over resultatet.
disappointing	skuffende	Slutten var skuffende.
discount	en rabatt	Studenter får rabatt her.
dislike	mislike	Jeg misliker veldig høy musikk.
divide	dele	Del kaken i biter.
documentary	en dokumentar	Vi så en dokumentar om verdensrommet.
donate	donere	Mange donerer gamle klær.
doubt	tvil	Jeg er ikke i tvil om det.
dressed	kledd	Han var kledd i svart.
drum	en tromme	Trommen lød gjennom rommet.
drunk	full	Sjåføren var full.
due	forfallen; skal leveres	Rapporten skal leveres i morgen.
dust	støv	Støv dekket de gamle bøkene.
duty	en plikt	Det er min plikt å hjelpe.
earthquake	et jordskjelv	Jordskjelvet skadet broen.
eastern	østlig	Den østlige kysten er vindfull.
economic	økonomisk	Landet står overfor økonomiske problemer.
economy	en økonomi	Økonomien vokste i år.
edge	en kant	Stå unna kanten.
editor	en redaktør	Redaktøren sjekket artikkelen.
educate	utdanne	Skoler utdanner unge mennesker.
educated	utdannet	Hun er høyt utdannet.
educational	lærerik	Spillet er lærerikt.
effective	effektiv	Denne medisinen er effektiv.
effectively	effektivt	Hun forklarte regelen effektivt.
effort	en innsats	Innsatsen din gjorde en forskjell.
election	et valg	Valgresultatet var jevnt.
element	et element	Tillit er et viktig element.
embarrassed	flau	Han følte seg flau etter å ha falt.
embarrassing	pinlig	Det var en pinlig feil.
emergency	en nødsituasjon	Ring dette nummeret i en nødsituasjon.
emotion	en følelse	Frykt er en sterk følelse.
employment	sysselsetting	Sysselsettingen økte denne måneden.
encourage	oppmuntre	Lærere oppmuntrer elever til å lese.
enemy	en fiende	De to landene var fiender.
engaged	forlovet	De forlovet seg i fjor vår.
engineering	ingeniørfag	Hun studerer ingeniørfag på universitetet.
entertain	underholde	Sangeren skal underholde gjestene.
entertainment	underholdning	Byen tilbyr kveldsunderholdning.
entrance	en inngang	Møt meg ved inngangen.
entry	adgang	Barn har gratis adgang.
environmental	miljømessig	Vi diskuterte miljøproblemer.
episode	en episode	Den siste episoden var spennende.
equal	lik	De får lik lønn.
equally	likt	Arbeidet deles likt.
escape	rømme	Fangene prøvde å rømme.
essential	avgjørende	Vann er avgjørende for livet.
eventually	til slutt	Til slutt fant vi hotellet.
examine	undersøke	Legen undersøkte armen min.
exchange	en utveksling	Vi gjorde en utveksling i butikken.
excitement	spenning	Spillet var fullt av spenning.
exhibition	en utstilling	Kunstutstillingen åpner i morgen.
expand	utvide	Selskapet planlegger å utvide.
expected	forventet	Den forventede kostnaden er høy.
expedition	en ekspedisjon	Ekspedisjonen krysset ørkenen.
experienced	erfaren	Hun er en erfaren sykepleier.
explode	eksplodere	Flasken kan eksplodere i varme.
explore	utforske	Vi utforsket gamlebyen.
explosion	en eksplosjon	Eksplosjonen knuste flere vinduer.
export	en eksportvare	Kaffe er en viktig eksportvare.
fairly	ganske	Prøven var ganske enkel.
familiar	kjent	Ansiktet hennes virket kjent.
fancy	ha lyst på	Har du lyst på en kaffe?
fascinating	fascinerende	Historien var fascinerende.
fashionable	moteriktig	De skoene er moteriktige.
fasten	feste	Fest sikkerhetsbeltet ditt.
favour	en tjeneste	Kan du gjøre meg en tjeneste?
fence	et gjerde	Gjerdet omgir hagen.
fighting	slåssing; kamper	Kampene stoppet ved daggry.
file	en fil	Lagre filen før du lukker.
financial	økonomisk	Hun trenger økonomiske råd.
fitness	kondisjon	Løping forbedrer kondisjonen din.
fixed	fast	Prisen er fast.
flag	et flagg	Flagget vaiet over skolen.
flood	en flom	Flommen skadet mange hjem.
flour	mel	Ha mel i bollen.
flow	flyte	Elven flyter gjennom byen.
fold	brette	Brett papiret i to.
folk	folke-	Folkemusikk fylte salen.
force	en kraft	Vinden hadde stor kraft.
forever	for alltid	Jeg vil huske dette for alltid.
frame	en ramme	Bildet trenger en ramme.
freeze	fryse	Vann vil fryse over natten.
frequently	ofte	Han besøker foreldrene sine ofte.
friendship	et vennskap	Vennskapet deres varte i mange år.
frighten	skremme	Høye lyder skremmer babyen.
frightened	redd	Barnet så redd ut.
frightening	skremmende	Stormen var skremmende.
frozen	frossen	Innsjøen var frossen.
fry	steke	Stek løken i fem minutter.
fuel	drivstoff	Bilen trenger mer drivstoff.
function	en funksjon	Denne knappen har én funksjon.
fur	pels	Katten har myk pels.
garage	en garasje	Bilen står i garasjen.
gather	samle seg	Vi samlet oss rundt bordet.
generally	vanligvis	Hun kommer vanligvis tidlig.
generation	en generasjon	Hver generasjon møter nye problemer.
generous	sjenerøs	Han er sjenerøs med tiden sin.
gentle	mild	Bruk en mild stemme.
gentleman	en herre	Herren åpnet døren.
ghost	et spøkelse	Historien nevner et spøkelse.
giant	gigantisk	En gigantisk skjerm fylte scenen.
glad	glad	Jeg er glad for at du kom.
global	global	Klimaendringer er et globalt problem.
glove	en hanske	Jeg mistet én hanske.
goods	varer	Varene kom sent.
grade	en karakter	Hun fikk en høy karakter.
graduate	en nyutdannet	Han er en nyutdannet.
grain	et korn	Et riskorn falt ned.
grateful	takknemlig	Jeg er takknemlig for støtten din.
growth	vekst	Planten viste jevn vekst.
guard	en vakt	Vakten sjekket billettene våre.
guilty	skyldig	Han følte seg skyldig for å ha løyet.
hang	henge	Heng frakken din her.
happiness	lykke	Penger kan ikke kjøpe lykke.
hardly	knapt	Jeg kunne knapt høre deg.
headline	en overskrift	Overskriften fanget oppmerksomheten min.
heating	oppvarming	Oppvarmingen sluttet å virke.
heavily	kraftig	Det regnet kraftig hele natten.
helicopter	et helikopter	Et helikopter landet i nærheten.
highlight	fremheve	Vennligst fremhev hovedideen.
highly	svært	Hun er svært respektert.
hire	leie	Vi må leie en bil.
historic	historisk	Vi besøkte en historisk bygning.
historical	historisk	Hun elsker historiske romaner.
honest	ærlig	Vennligst gi et ærlig svar.
horrible	fryktelig	Lukten var fryktelig.
horror	skrekk	Han liker skrekkfilmer.
host	en vert	Verten ønsket alle gjester velkommen.
