simplified	KA	example_KA
在	-ში; ყოფნა	სახლში ვარ.
怎么	როგორ	ეს იეროგლიფი როგორ იკითხება?
怎么样	როგორ; როგორ ხარ	დღეს როგორ ხარ?
这	ეს; ესენი	ეს ჩემი წიგნია.
中国	ჩინეთი	მე ჩინეთში მივდივარ.
中午	შუადღე	შუადღეს ბრინჯს ვჭამ.
住	ცხოვრება; დარჩენა	მე პეკინში ვცხოვრობ.
桌子	მაგიდა	წიგნი მაგიდაზეა.
字	იეროგლიფი; ასო; ნიშანი	ეს იეროგლიფი პატარაა.
昨天	გუშინ	გუშინ კინო ვნახე.
坐	ჯდომა; ტრანსპორტით მგზავრობა	პეკინში თვითმფრინავით ვმგზავრობ.
做	გაკეთება; მომზადება	საჭმელს ვამზადებ.
