source_headword	AZ	example_AZ
theory	nəzəriyyə	Onun nəzəriyyəsi problemi izah edir.
therefore	buna görə də	Yağış yağırdı, buna görə də biz içəridə qaldıq.
though	baxmayaraq ki	Yorğun olmasına baxmayaraq, o, işləməyə davam etdi.
throat	boğaz	Bu səhər boğazım ağrıyır.
throughout	ərzində, boyu, başdan-başa	İnsanlar bütün axşam boyu rəqs etdilər.
tight	dar, sıx	Bu ayaqqabılar çox dar gəlir.
till	-qədər, -dək	Mən qayıdana qədər burada gözləyin.
tin	konserv qutusu, qalay	Bir konserv qutusu lobya açın.
tiny	çox kiçik, xırda	Yaxınlığa kiçik bir quş qondu.
toe	ayaq barmağı	Dünən ayaq barmağımı zədələdim.
tongue	dil	O, dilini çayla yandırdı.
total	ümumi, yekun	Ümumi xərc az idi.
totally	tamamilə	Narahatlığınızı tamamilə başa düşürəm.
trade	ticarət	Beynəlxalq ticarət iş yerləri yaradır.
translate	tərcümə etmək	Zəhmət olmasa bu cümləni tərcümə edin.
translation	tərcümə	Tərcümə təbii səslənir.
treat	davranmaq, yanaşmaq	Hər kəslə hörmətlə davranın.
treatment	müalicə	Xəstənin bu gün müalicəyə ehtiyacı var.
trend	trend, meyl	Bu trend bütün dünyada böyüyür.
trick	fənd, hiylə	O kart hiyləsi məni təəccübləndirdi.
truth	həqiqət, doğru	Zəhmət olmasa həqiqəti deyin.
tube	tüb, boru	Tübü ehtiyatla sıxın.
typically	adətən, tipik olaraq	Tələbələr adətən saat doqquzdan əvvəl gəlirlər.
tyre	təkər, şin	Maşına yeni təkər lazımdır.
ugly	çirkin	O divar rəngi çirkin görünür.
unable	bacarmayan, qadir olmayan	O, cavab verə bilmədi.
uncomfortable	narahat	Bu stul narahatdır.
underwear	alt paltarı	Səfər üçün təmiz alt paltarı götürün.
unemployed	işsiz	O, iki ay işsiz qaldı.
unemployment	işsizlik	Qış aylarında işsizlik artdı.
unfair	ədalətsiz, haqsız	Qərar ədalətsiz görünürdü.
union	həmkarlar ittifaqı, birlik	Həmkarlar ittifaqı daha təhlükəsiz iş şəraiti tələb etdi.
unless	əgər ... olmasa, məgər ki	Mən zəng etməyincə getməyin.
unlike	-dən fərqli olaraq	Tomdan fərqli olaraq, Ana qışı sevir.
unlikely	az ehtimal olunan, inandırıcı olmayan	Bu həftə qar yağacağı ehtimalı azdır.
unnecessary	gərəksiz, lazımsız	Əlavə çantalar gərəksizdir.
unpleasant	xoşagəlməz	Otaqda xoşagəlməz qoxu var idi.
update	yeniləmək	Telefonumu yeniləməliyəm.
upon	üzərində, -da	Biri var idi, biri yox idi, bir kral var idi.
upset	məyus, kədərli	O, zəngdən sonra məyus oldu.
used1	istifadə olunmuş	Bu otaq görüşlər üçün istifadə olunur.
used2	öyrəşmiş, vərdiş etmiş	Mən səhərlər tezdən oyanmağa öyrəşmişəm.
valuable	dəyərli, qiymətli	Bu saat dəyərlidir.
value	dəyər, qiymət	Ev keçən il dəyərini itirdi.
various	müxtəlif, fərqli	Biz müxtəlif yerli yeməklərin dadına baxdıq.
version	versiya	Bu versiya daha yaxşı işləyir.
victim	qurban	Qurban polisə zəng etdi.
viewer	izləyici, tamaşaçı	Bir izləyici sual verdi.
violent	şiddətli, zorakı	Film çox şiddətli idi.
volunteer	könüllü	Mən kitabxanada könüllü işləyirəm.
vote	səs vermək, səs	Sabah səs verməyi unutmayın.
warn	xəbərdarlıq etmək	Mən ona xəbərdarlıq etməyə çalışdım.
warning	xəbərdarlıq	Ekranda xəbərdarlıq göründü.
waste	israf etmək, israf	Təmiz suyu israf etməyin.
weapon	silah	Bıçaq silaha çevrildi.
weigh	çəkmək (çəkisini ölçmək)	Unu diqqətlə çəkin.
western	qərb, vestern	Onlar vestern filminə baxdılar.
whatever	hər nə, nə olursa olsun	Nə istəyirsinizsə onu seçin.
whenever	hər nə vaxt, nə vaxt ki	Köməyə ehtiyacınız olduqda zəng edin.
whether	olub-olmadığını, əgər ... olarsa	Onun razı olub-olmadığını bilmirəm.
wing	qanad	Quş bir qanadını zədələdi.
within	daxilində, ərzində	Zəhmət olmasa iki gün ərzində cavab verin.
wonder	maraqlanmaq, bilmək istəmək (görəsən)	Görəsən nə oldu.
wool	yun	Bu palto yundan hazırlanıb.
worldwide	dünya boyu, ümumdünya	Mahnı bütün dünyada məşhurlaşdı.
worth	dəyərində, dəyərli	Bu kitabı oxumağa dəyər.
written	yazılı	Zəhmət olmasa yazılı təlimatları göndərin.
yard	həyət	Uşaqlar həyətdə oynayırdılar.
youth	gənclik, gənclər	Gənclər klubları yerli yeniyetmələri dəstəkləyir.
