source_headword	HR	example_HR
rape	silovanje	Slučajevi silovanja zahtijevaju pažljivu istragu.
ratio	omjer	Razred ima nizak omjer nastavnika i učenika.
rational	racionalan	Njezina je odluka bila racionalna.
ray	zraka	Ušla je zraka sunca.
readily	spremno	Spremno je prihvatio ponudu.
realization	spoznaja	Ta joj je spoznaja promijenila planove.
realm	područje	Ovo pitanje pripada drugom području.
rear	stražnji	Danas koristite stražnji ulaz.
reasoning	zaključivanje	Njegovo je zaključivanje bilo jasno.
reassure	umiriti	Liječnik ju je pokušao umiriti.
rebel	pobunjenik	Vođa pobunjenika izbjegao je uhićenje.
rebellion	pobuna	Pobuna je završila nakon pregovora.
recipient	primatelj	Primatelj je potpisao obrazac.
reconstruction	obnova	Obnova je počela nakon poplave.
recount1	prepričati	Ona može jasno prepričati događaje.
referendum	referendum	Referendum je podijelio zemlju.
reflection	razmišljanje	Esej je zahtijevao dublje razmišljanje.
reform	reforma	Reforma je poboljšala javne usluge.
refuge	utočište	Obitelj je potražila utočište u inozemstvu.
refusal	odbijanje	Njezino je odbijanje iznenadilo odbor.
regain	povratiti	Naporno je radio kako bi povratio povjerenje.
regardless	bez obzira na to	Nastavili su bez obzira na kritike.
regime	režim	Režim je ograničio slobodu govora.
regulator	regulator	Regulator je kaznio tvrtku.
regulatory	regulatorni	Regulatorno odobrenje trajalo je mjesecima.
rehabilitation	rehabilitacija	Rehabilitacija mu je pomogla da ponovno prohoda.
reign	vladavina	Kraljeva je vladavina trajala desetljećima.
rejection	odbijanje	Odbijanje joj je narušilo samopouzdanje.
relevance	važnost	Podaci imaju ograničenu važnost.
reliability	pouzdanost	Pouzdanost je važna u sustavima za hitne slučajeve.
reluctant	nevoljan	Bio je nevoljan govoriti.
remainder	ostatak	Ostatak je otišao u dobrotvorne svrhe.
remains	ostaci	Ostaci su pažljivo ispitani.
remedy	pravni lijek	Zakon predviđa pravni lijek.
reminder	podsjetnik	E-mail je bio koristan podsjetnik.
removal	uklanjanje	Uklanjanje prepreka pomoglo je trgovini.
render	učiniti	Pogreška je ugovor učinila nevažećim.
renew	obnoviti	Uskoro obnovite putovnicu.
renowned	poznat	Poznata je po svom istraživanju.
rental	najam	Najam uključuje osiguranje.
replacement	zamjena	Zamjenski dio stigao je danas.
reportedly	navodno	Ministar je navodno jučer podnio ostavku.
representation	zastupljenost	Pravedna zastupljenost ostaje važna.
reproduce	razmnožavati se	Ove se biljke brzo razmnožavaju.
reproduction	reprodukcija	Digitalna reprodukcija poboljšala je pristup.
republic	republika	Republika je održala izbore.
resemble	nalikovati	Dva dizajna jako nalikuju jedan drugome.
reside	boraviti	Oni borave blizu granice.
residence	rezidencija	Njegova je službena rezidencija pod stražom.
residential	stambeni	Područje je uglavnom stambeno.
residue	ostatak	Sredstvo za čišćenje ostavilo je ljepljiv ostatak.
resignation	ostavka	Njezina je ostavka šokirala upravni odbor.
resistance	otpor	Otpor prema promjenama bio je snažan.
respective	dotični	Vratili su se u svoje urede.
respectively	redom	Rezultati su bili redom 80 i 90.
restoration	obnova	Obnova zgrade trajala je godinama.
restraint	suzdržanost	Policija je pokazala suzdržanost.
resume	nastaviti	Nastava se nastavlja sljedeći tjedan.
retreat	povlačenje	Vojska je započela povlačenje.
retrieve	dohvatiti	Dohvatila je datoteku.
revelation	otkriće	Otkriće mu je narušilo ugled.
revenge	osveta	Želio je osvetu za uvredu.
reverse	poništiti	Sud je poništio odluku.
revival	oporavak	Grad je doživio gospodarski oporavak.
revive	oživjeti	Festival je pomogao oživjeti lokalne tradicije.
revolutionary	revolucionaran	Izum je bio revolucionaran.
rhetoric	retorika	Njegova je retorika zvučala agresivno.
rifle	puška	Puška je bila sigurno pohranjena.
riot	nered	Nered je trajao nekoliko sati.
rip	poderati	Pažljivo poderite papir.
ritual	ritual	Ritual označava žetvu.
robust	robustan	Sustav je robustan.
rock	potresti	Eksplozija je potresla selo.
rod	štap	Zavjesa visi na štapu.
rotate	okretati	Polako okrećite ručku.
rotation	rotacija	Plodored štiti tlo.
ruling	presuda	Sud je donio presudu.
rumour	glasina	Glasina se brzo proširila.
sack	otpustiti	Uprava bi mogla otpustiti trenera.
sacred	svet	Hram je svet.
sacrifice	žrtva	Roditelji se često žrtvuju.
saint	svetac	Crkva slavi lokalnog sveca.
sake	radi	Ostao je radi nje.
sanction	sankcija	Sankcija je utjecala na međunarodnu trgovinu.
say	pravo glasa	Zaposlenici su imali pravo glasa u izradi rasporeda.
scattered	razbacan	Razbacani papiri prekrili su stol.
sceptical	skeptičan	Ostala je skeptična prema toj tvrdnji.
scope	opseg	Opseg projekta se proširio.
screw	vijak	Pažljivo zategnite vijak.
scrutiny	nadzor	Dogovor je bio podložan javnom nadzoru.
seal	zapečatiti	Zapečatite omotnicu prije slanja.
secular	sekularan	Škola slijedi sekularni nastavni plan.
seemingly	naizgled	Zadatak je bio naizgled jednostavan.
segment	segment	Završni segment bio je kraći.
seize	zaplijeniti	Policija je zaplijenila dokumente.
seldom	rijetko	Rijetko izostaje s nastave.
selective	selektivan	Program je vrlo selektivan.
senator	senator	Senator je podržao nacrt zakona.
sensation	senzacija	Otkriće je izazvalo senzaciju.
sensitivity	osjetljivost	To pitanje zahtijeva osjetljivost.
sentiment	raspoloženje	Javno raspoloženje se brzo promijenilo.
separation	razdvajanje	Razdvajanje je bilo teško.
serial	serijski	Nedostaje serijski broj.
settlement	nagodba	Nagodba je okončala spor.
set-up	postavljanje	Postavljanje je trajalo cijelo jutro.
sexuality	seksualnost	Tečaj raspravlja o identitetu i seksualnosti.
shareholder	dioničar	Dioničar je ispitao upravni odbor.
shatter	uništiti / razbiti	Vijest mu je uništila samopouzdanje.
shed	otpustiti / riješiti se	Tvrtka će otpustiti radnike.
sheer	čisti / puki	Sama veličina je sve iznenadila.
shipping	isporuka / dostava	Troškovi dostave su porasli.
shoot	snimanje	Snimanje fotografija je završeno ranije.
shrink	skupiti se	Košulja bi se mogla skupiti.
shrug	slegnuti ramenima	Lagano je slegnula ramenima.
sigh	uzdahnuti	Uzdahnuo je s olakšanjem.
simulate	simulirati	Softver može simulirati promet.
simulation	simulacija	Simulacija je predvidjela poplave.
simultaneously	istovremeno	Dva su alarma zazvonila istovremeno.
sin	grijeh	Ponos se smatra grijehom.
situated	smješten	Hotel je smješten u centru.
sketch	skica	Napravila je brzu skicu.
skip	preskočiti	Nemojte preskočiti doručak.
slam	zalupiti	On može zalupiti vrata.
slap	lupiti / ošamariti	Nemojte lupiti po stolu.
slavery	ropstvo	Ropstvo je oblikovalo povijest regije.
slot	termin / utor	Rezervirajte termin na internetu.
smash	razbiti	Čaša se razbila o pod.
snap	puknuti	Grana je puknula na vjetru.
soak	namočiti	Namočite grah preko noći.
soar	porasti / vinuti se	Cijene goriva mogle bi porasti.
socialist	socijalistički	Stranka podržava socijalističke politike.
sole	jedini	Bio je jedini preživjeli.
solely	isključivo	Odluka je bila isključivo njegova.
solicitor	odvjetnik	Odvjetnik je pripremio ugovor.
solidarity	solidarnost	Radnici su izrazili solidarnost.
solo	solo	Izdala je solo album.
sound	razuman / zvučan	Plan je razuman i praktičan.
sovereignty	suverenitet	Ugovor je štitio nacionalni suverenitet.
spam	neželjena pošta	Neželjena pošta napunila je pretinac.
span	premostiti / obuhvatiti	Most premošćuje rijeku.
spark	izazvati / potaknuti	Mala je primjedba izazvala raspravu.
specialized	specijaliziran	Klinika pruža specijaliziranu skrb.
specification	specifikacija	Dizajn ispunjava svaku specifikaciju.
specimen	uzorak / primjerak	Uzorak je bio sigurno pohranjen.
spectacle	spektakl	Parada je bila živopisan spektakl.
spectrum	spektar	Mišljenja pokrivaju širok spektar.
spell	razdoblje	Suho je razdoblje trajalo tjednima.
sphere	sfera / područje	Politika je ušla u kulturnu sferu.
spin	okretati se / vrtjeti	Kotači su se počeli okretati.
spine	kralježnica	Ozljeda je zahvatila njegovu kralježnicu.
spotlight	središte pozornosti / reflektor	Skandal ga je stavio u središte pozornosti.
spouse	supružnik	Njezin je supružnik prisustvovao ceremoniji.
spy	špijun	Špijun je slao šifrirane poruke.
squad	odred / ekipa	Spasilački je odred brzo stigao.
squeeze	stisnuti	Nježno stisnite ručku.
stab	ubosti	Izvješće je opisalo ubodnu ranu.
stability	stabilnost	Politika je donijela stabilnost.
stabilize	stabilizirati	Lijek ga je pomogao stabilizirati.
stake	udio	Investitori ovdje imaju udio.
standing	ugled / položaj	Njezin je ugled u stranci porastao.
stark	potpun / oštar	Rezultati su pokazali oštar kontrast.
statistical	statistički	Studija je koristila statističke metode.
steer	usmjeriti / upravljati	Pokušao je usmjeriti raspravu.
stem	stabljika	Stabljika se slomila u oluji.
stereotype	stereotip	Film je osporio stereotip.
stimulus	poticaj	Paket je pružio gospodarski poticaj.
stir	miješati	Polako miješajte umak.
storage	skladište / pohrana	Objekt nudi sigurno skladište.
straightforward	jednostavan / izravan	Upute su bile jednostavne.
strain	napetost / pritisak	Dugo je odgađanje izazvalo napetost.
strand	pramen / nit	Pao je pramen kose.
strategic	strateški	Tvrtka je napravila strateško ulaganje.
strip (long narrow piece)	traka	Odrežite usku traku papira.
strip (remove clothes/a layer)	skinuti / oguliti	Pažljivo ogulite staru boju.
strive	težiti / nastojati	Oni teže izvrsnosti.
structural	strukturalni	Most ima strukturalna oštećenja.
stumble	spotaknuti se	Spotaknuo se na stepenicama.
stun	zapanjiti / ošamutiti	Vijest može zapanjiti ljude.
submission	predaja	Rok za predaju je prošao.
subscriber	pretplatnik	Svaki pretplatnik prima ažuriranja.
subscription	pretplata	Pretplata se automatski obnavlja.
subsidy	subvencija	Subvencija je smanjila troškove goriva.
substantial	znatan / bitan	Projektu su potrebna znatna sredstva.
substantially	znatno	Cijena se znatno povećala.
substitute	zamjena	Koristite mlijeko kao zamjenu.
substitution	zamjena	Zamjena je promijenila recept.
subtle	suptilan	Slika ima suptilne detalje.
suburban	prigradski	Preselili su se u prigradsko područje.
succession	niz / slijed	Kriza je uslijedila nakon niza neuspjeha.
successive	uzastopni	Uzastopne vlade ignorirale su problem.
successor	nasljednik	Nasljednik će započeti u ponedjeljak.
suck	usisati	Stroj može usisati prašinu.
sue	tužiti	Odlučila je tužiti tvrtku.
suicide	samoubojstvo	Prevenciji samoubojstva potrebno je kontinuirano financiranje.
suite	apartman	Hotelski je apartman gledao na rijeku.
summit	sastanak na vrhu / samit	Čelnici su se sastali na samitu.
superb	vrhunski / izvanredan	Izvedba je bila vrhunska.
superior	superioran / bolji	Novi je model superioran.
supervise	nadzirati	Ona će nadzirati pripravnike.
supervision	nadzor	Djeca trebaju nadzor odraslih.
supervisor	nadzornik / voditelj	Prvo pitajte svog nadzornika.
supplement	dodatak	Izvješće uključuje dodatak.
supportive	pun podrške	Njezina je obitelj bila puna podrške.
supposedly	navodno	Datoteka je navodno izbrisana.
suppress	suzbiti / ugušiti	Režim je pokušao ugušiti prosvjede.
supreme	vrhovni	Vrhovni sud je saslušao slučaj.
surge	porast / val	Nagli porast oštetio je opremu.
surgical	kirurški	Pacijent treba kirurško liječenje.
surplus	višak	Skladište ima višak.
surrender	predati se	Vojnici su se složili da će se predati.
surveillance	nadzor	Nadzorne kamere snimile su ulaz.
suspension	suspenzija	Suspenzija je trajala dva tjedna.
suspicion	sumnja	Njegovo je ponašanje izazvalo sumnju.
suspicious	sumnjiv	Paket je izgledao sumnjivo.
sustain	održati	Projekt može održati lokalna radna mjesta.
swing	njihati se / okretati se	Vrata su se počela njihati.
sword	mač	Mač je visio na zidu.
symbolic	simboličan	Gesta je bila simbolična.
syndrome	sindrom	Sindrom utječe na pamćenje.
synthesis	sinteza	Poglavlje nudi sintezu.
systematic	sustavan	Pregled je bio sustavan.
tactic	taktika	Taktika je brzo propala.
tactical	taktički	Tim je napravio taktičku promjenu.
taxpayer	porezni obveznik	Novac poreznih obveznika financirao je most.
tempt	dovesti u iskušenje / privući	Ponuda bi mogla privući investitore.
tenant	stanar / najmoprimac	Stanar je rano platio stanarinu.
tender	nježan	Uputila je nježan osmijeh.
tenure	mandat / radni staž	Njegov je mandat trajao šest godina.
terminal	neizlječiv / terminalan	Pacijent je imao neizlječivu bolest.
terminate	raskinuti / okončati	Tvrtka bi mogla raskinuti ugovor.
terrain	teren	Teren je bio težak.
terrific	sjajan / izvrstan	Pogled je bio sjajan.
testify	svjedočiti	Pristala je svjedočiti.
testimony	svjedočanstvo / iskaz	Njegov je iskaz bio detaljan.
texture	tekstura	Tkanina ima grubu teksturu.
thankfully	nasreću	Nasreću, nitko nije ozlijeđen.
theatrical	kazališni / teatralan	Govor je zvučao teatralno.
theology	teologija	Studirao je teologiju na sveučilištu.
theoretical	teoretski	Model je čisto teoretski.
thereafter	nakon toga	Nakon toga su se pravila promijenila.
thereby	time / na taj način	Promjena je smanjila troškove, čime su sačuvana radna mjesta.
thoughtful	promišljen / pažljiv	Njezin je odgovor bio promišljen.
thought-provoking	poticajan za razmišljanje	Članak je bio poticajan za razmišljanje.
thread	konac / nit	Konac je lako puknuo.
threshold	prag	Glasanje je prešlo prag.
thrilled	oduševljen	Bila je oduševljena viješću.
thrive	uspijevati / napredovati	Mala poduzeća ovdje mogu napredovati.
tide	plima	Plima je brzo porasla.
tighten	zategnuti / pritegnuti	Čvrsto pritegnite poklopac.
timber	drvna građa / drvo	Kuća koristi lokalnu drvnu građu.
timely	pravovremen	Upozorenje je bilo pravovremeno.
tobacco	duhan	Prodaja duhana je pala.
tolerance	tolerancija	Politika potiče toleranciju.
tolerate	tolerirati / podnositi	Ne možemo tolerirati zlostavljanje.
toll	danak / cestarina	Oluja je uzela težak danak.
top	premašiti	Prodaja bi mogla premašiti prošlogodišnji rekord.
torture	mučenje	Ugovor apsolutno zabranjuje mučenje.
