source_headword	SW	example_SW
paper	karatasi	Andika kwenye karatasi hii.
paragraph	aya	Soma aya ya kwanza.
parent	mzazi	Mzazi anasubiri nje.
park	bustani; kuegesha	Tunaegesha karibu na kituo.
part	sehemu	Sehemu hii ni rahisi.
partner	mwenza	Fanya kazi na mwenza.
party	sherehe	Sherehe inaanza saa moja.
passport	pasipoti	Onyesha pasipoti yako, tafadhali.
past	iliyopita; kupita	Saa ni sita na nusu.
pay	kulipa	Ninalipa kwa kadi.
pen	kalamu	Kalamu hii ni ya buluu.
pencil	penseli	Ninaandika kwa penseli.
people	watu	Watu wengi wako hapa.
pepper	pilipili	Ongeza pilipili kwenye supu.
perfect	kamilifu	Jibu lako ni kamilifu.
period	kipindi	Kipindi cha darasa ni kifupi.
person	mtu	Mtu mmoja anasubiri.
personal	binafsi	Hii ni simu yangu binafsi.
phone	simu	Simu yangu iko kwenye begi langu.
photo	picha	Piga picha hapa.
photograph	picha	Picha hii ni ya zamani.
phrase	kifungu cha maneno	Rudia kifungu hiki, tafadhali.
piano	piano	Anapiga piano.
picture	picha	Angalia picha hii.
piece	kipande	Chukua kipande kimoja cha keki.
pig	nguruwe	Nguruwe yuko shambani.
pink	rangi ya waridi	Begi lake ni la rangi ya waridi.
place	mahali	Mahali hapa ni patulivu.
plan	mpango	Tunahitaji mpango.
plane	ndege	Ndege imechelewa.
plant	mmea; kupanda	Mwagilia mmea leo.
play	kucheza	Watoto wanacheza bustanini.
player	mchezaji	Mchezaji anakimbia haraka.
please	tafadhali	Tafadhali kaa hapa.
point	hoja; nukta	Hoja hii ni muhimu.
police	polisi	Polisi wako nje.
policeman	askari polisi	Askari polisi anatusaidia.
pool	bwawa	Bwawa ni baridi.
poor	maskini	Mtoto maskini ana njaa.
popular	maarufu	Wimbo huu ni maarufu.
positive	chanya	Hii ni matokeo chanya.
possible	inawezekana	Inawezekana leo?
post	chapisho	Ninasoma chapisho lake mtandaoni.
potato	kiazi	Ninakula kiazi.
pound	pauni	Inagharimu pauni moja.
practice	mazoezi	Mazoezi husaidia kila siku.
practise	kufanya mazoezi	Ninafanya mazoezi ya Kiingereza kila siku.
prefer	kupendelea	Ninapendelea chai.
prepare	kuandaa	Andaa begi lako usiku wa leo.
present	kuwepo; zawadi	Yupo leo.
pretty	mrembo; nzuri	Bustani ni nzuri.
price	bei	Bei ni chini.
probably	labda; huenda	Huenda anajua.
problem	tatizo	Tatizo hili ni dogo.
product	bidhaa	Bidhaa hii ni mpya.
programme	programu	Programu inaanza sasa.
project	mradi	Mradi wetu uko tayari.
purple	zambarau	Shati ni la zambarau.
put	kuweka	Weka kitabu hapa.
quarter	robo	Saa ni mbili na robo.
question	swali	Uliza swali moja.
quick	haraka	Huu ni mtihani wa haraka.
quickly	haraka	Tafadhali tembea haraka.
quiet	kimya	Maktaba iko kimya.
quite	kabisa	Chumba hiki ni kidogo kabisa.
radio	redio	Redio ina sauti kubwa.
rain	mvua; kunyesha	Mvua inaanza sasa.
read	kusoma	Soma sentensi hii.
reader	msomaji	Msomaji anapenda hadithi.
reading	kusoma	Kusoma hunisaidia kujifunza.
ready	tayari	Chakula cha jioni kiko tayari.
real	halisi	Hili ni tatizo halisi.
really	kweli	Ninaupenda sana wimbo huu.
reason	sababu	Niambie sababu.
red	nyekundu	Mlango ni mwekundu.
relax	kupumzika	Pumzika baada ya kazi.
remember	kukumbuka	Kumbuka pasipoti yako.
repeat	kurudia	Rudia sentensi, tafadhali.
report	ripoti	Soma ripoti usiku wa leo.
restaurant	mgahawa	Mgahawa una watu wengi.
result	matokeo	Matokeo ni mazuri.
return	kurudi; kurudisha	Rudisha kitabu kesho.
rice	mchele; wali	Ninakula wali kwa chakula cha mchana.
rich	tajiri	Jiji ni tajiri.
ride	kupanda	Ninapanda baiskeli yangu.
right	kulia; sahihi	Geuka kulia hapa.
river	mto	Mto ni mpana.
road	barabara	Barabara hii ni ndefu.
room	chumba	Chumba changu ni safi.
routine	utaratibu	Utaratibu wangu unaanza mapema.
rule	kanuni	Kanuni hii ni rahisi.
run	kukimbia	Ninakimbia kila asubuhi.
sad	huzuni	Anajisikia huzuni leo.
salad	saladi	Saladi hii ni safi.
salt	chumvi	Ongeza chumvi kidogo.
same	sawa; ile ile	Tuna begi lile lile.
sandwich	sandwichi	Ninakula sandwichi.
Saturday	jumamosi	Tunakutana Jumamosi.
say	kusema	Sema jina lako, tafadhali.
school	shule	Shule yangu iko karibu hapa.
science	sayansi	Ninasoma sayansi.
scientist	mwanasayansi	Mwanasayansi anauliza swali.
sea	bahari	Bahari ni ya buluu.
second1 (unit of time)	sekunde	Subiri sekunde moja.
section	sehemu	Soma sehemu hii.
see	kuona	Ninamwona rafiki yangu.
sell	kuuza	Wanauza matunda mapya.
send	kutuma	Tuma ujumbe sasa.
sentence	sentensi	Andika sentensi moja.
September	septemba	Shule inaanza Septemba.
seven	saba	Watu saba wako hapa.
seventeen	kumi na saba	Ana miaka kumi na saba.
seventy	sabini	Bibi yangu ana miaka sabini.
share	kushiriki; kugawana	Gawana keki.
she	yeye	Yeye ni dada yangu.
sheep	kondoo	Kondoo anakula nyasi.
shirt	shati	Shati lake ni safi.
shoe	kiatu	Kiatu kimoja kiko chini ya kitanda.
shop	duka	Duka linafungwa mapema.
shopping	ununuzi	Ununuzi ni wa kufurahisha leo.
short	fupi	Hadithi hii ni fupi.
should modal	paswa	Unapaswa kupumzika leo.
show	kuonyesha	Nionyeshe tiketi yako.
shower	kuoga; bafu	Ninaoga.
sick	mgonjwa	Ninahisi mgonjwa leo.
similar	fanana	Mabegi yetu yanafanana.
sing	kuimba	Ninaimba darasani.
singer	mwimbaji	Mwimbaji ni maarufu.
sister	dada	Dada yangu ni mdogo.
sit	kukaa	Kaa karibu na dirisha.
situation	hali	Hali hii ni mpya.
six	sita	Vitabu sita viko hapa.
sixteen	kumi na sita	Ana miaka kumi na sita.
sixty	sitini	Baba yangu ana miaka sitini.
skill	ujuzi	Ujuzi huu ni muhimu.
skirt	sketi	Sketi yake ni ya buluu.
sleep	kulala	Ninalala saa nane.
slow	polepole	Basi ni la polepole.
small	ndogo	Chumba ni kidogo.
snake	nyoka	Nyoka ni mrefu.
snow	theluji	Theluji huanguka wakati wa baridi.
so	hivyo	Nimechoka, hivyo napumzika.
some	baadhi; kidogo	Ninahitaji maji kidogo.
somebody	mtu fulani	Mtu fulani yuko mlangoni.
someone	mtu fulani	Mtu fulani aliacha ujumbe.
something	kitu fulani	Nahitaji kitu cha kunywa.
sometimes	wakati mwingine	Wakati mwingine natembea kwenda shule.
son	mwana	Mwana wake yuko shuleni.
song	wimbo	Wimbo huu ni mpya.
soon	karibuni	Tutaonana karibuni.
sorry	samahani	Samahani, nimechelewa.
sound	sauti	Sauti ni kubwa.
soup	supu	Supu ni moto.
south	kusini	Hoteli iko kusini mwa hapa.
space	nafasi	Kuna nafasi ya kiti kimoja.
speak	kuzungumza	Tafadhali zungumza polepole.
special	maalum	Leo ni siku maalum.
spell	kutaja herufi	Taja jina lako kwa herufi.
spelling	tahajia	Angalia tahajia yako.
spend	kutumia	Ninatumia pesa kwa chakula.
sport	mchezo	Mpira wa miguu ni mchezo maarufu.
spring	masika	Maua hukua masika.
stand	kusimama	Simama karibu na mlango.
star	nyota	Ninaona nyota angavu.
start	kuanza	Anza somo sasa.
statement	taarifa	Taarifa hii ni kweli.
station	kituo	Kituo kiko karibu.
stay	kukaa	Kaa nyumbani leo.
still	bado	Bado nina njaa.
stop	kusimama; kituo	Simama kwenye kona.
story	hadithi	Nisimulie hadithi.
street	mtaa	Mtaa huu ni mtulivu.
strong	nguvu	Ana nguvu.
student	mwanafunzi	Mwanafunzi anasoma kitabu.
study	kusoma	Ninasoma Kiingereza.
style	mtindo	Ninapenda mtindo huu.
subject	somo; mada	Kiingereza ni somo langu kuu.
success	mafanikio	Mafanikio yanahitaji mazoezi.
sugar	sukari	Weka sukari kwenye chai.
summer	majira ya joto	Majira ya joto ni moto hapa.
sun	jua	Jua ni angavu.
Sunday	jumapili	Tunapumzika Jumapili.
supermarket	duka kubwa	Duka kubwa liko wazi.
sure	hakika	Nina hakika.
sweater	sweta	Sweta yangu ni ya joto.
swim	kuogelea	Ninaogelea kila wiki.
swimming	kuogelea	Kuogelea ni mazoezi mazuri.
table	meza	Funguo ziko juu ya meza.
