source_headword	KN	example_KN
accomplishment	ಸಾಧನೆ	ಪುಸ್ತಕವನ್ನು ಮುಗಿಸುವುದು ನಿಜವಾದ ಸಾಧನೆಯಾಗಿತ್ತು.
accordance	ಅನುಸಾರವಾಗಿ	ನೀತಿಯ ಅನುಸಾರವಾಗಿ ಕೆಲಸವನ್ನು ಮಾಡಲಾಯಿತು.
accordingly	ಅದಕ್ಕೆ ತಕ್ಕಂತೆ	ಸಾಕ್ಷ್ಯವು ಬದಲಾಯಿತು, ಮತ್ತು ನಾವು ಅದಕ್ಕೆ ತಕ್ಕಂತೆ ವರ್ತಿಸಿದೆವು.
accountability	ಹೊಣೆಗಾರಿಕೆ	ನೀತಿಯು ವ್ಯವಸ್ಥಾಪಕರ ಹೊಣೆಗಾರಿಕೆಯನ್ನು ಹೆಚ್ಚಿಸುತ್ತದೆ.
accountable	ಹೊಣೆಗಾರ	ವ್ಯವಸ್ಥಾಪಕರು ಸುರಕ್ಷತೆಗೆ ಹೊಣೆಗಾರರಾಗಿರುತ್ತಾರೆ.
accumulate	ಸಂಗ್ರಹವಾಗು	ಪರದೆಯ ಹಿಂದೆ ಧೂಳು ಸಂಗ್ರಹವಾಗಬಹುದು.
accumulation	ಸಂಗ್ರಹಣೆ	ದತ್ತಾಂಶದ ಸಂಗ್ರಹಣೆಗೆ ತಿಂಗಳುಗಳು ಬೇಕಾದವು.
accusation	ಆರೋಪ	ಆರೋಪವು ಸಮಿತಿಯನ್ನು ಆಘಾತಗೊಳಿಸಿತು.
accused	ಆರೋಪಿ	ಆರೋಪಿಯು ನ್ಯಾಯಾಲಯದಲ್ಲಿ ಹಾಜರಾದರು.
acquisition	ಸ್ವಾಧೀನ	ಸ್ವಾಧೀನವು ಕಂಪನಿಯನ್ನು ವೇಗವಾಗಿ ವಿಸ್ತರಿಸಿತು.
acre	ಎಕರೆ	ಜಮೀನು ಒಂದು ಎಕರೆ ವಿಸ್ತೀರ್ಣವನ್ನು ಹೊಂದಿದೆ.
activation	ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ	ಕಾರ್ಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲು ನಿಮಿಷಗಳು ಬೇಕಾಗುತ್ತವೆ.
activist	ಕಾರ್ಯಕರ್ತ	ಕಾರ್ಯಕರ್ತರು ರ್ಯಾಲಿಯಲ್ಲಿ ಮಾತನಾಡಿದರು.
acute	ತೀವ್ರ	ಓಡಿದ ನಂತರ ಅವಳಿಗೆ ತೀವ್ರವಾದ ನೋವು ಕಾಣಿಸಿಕೊಂಡಿತು.
adaptation	ರೂಪಾಂತರ	ರೂಪಾಂತರವು ಕಾದಂಬರಿಯ ಅಂತ್ಯವನ್ನು ಬದಲಾಯಿಸಿತು.
adhere	ಪಾಲಿಸು	ಸಿಬ್ಬಂದಿ ಸುರಕ್ಷತಾ ನಿಯಮಗಳನ್ನು ಪಾಲಿಸಬೇಕು.
adjacent	ಪಕ್ಕದ	ಹೋಟೆಲ್ ರೈಲು ನಿಲ್ದಾಣದ ಪಕ್ಕದಲ್ಲಿದೆ.
adjustment	ಹೊಂದಾಣಿಕೆ	ಒಂದು ಸಣ್ಣ ಹೊಂದಾಣಿಕೆಯು ಸಮಸ್ಯೆಯನ್ನು ಬಗೆಹರಿಸಿತು.
administer	ನೀಡು	ದಾದಿಯರು ಲಸಿಕೆಯನ್ನು ಎಚ್ಚರಿಕೆಯಿಂದ ನೀಡುತ್ತಾರೆ.
administrative	ಆಡಳಿತಾತ್ಮಕ	ಆಡಳಿತಾತ್ಮಕ ಸಿಬ್ಬಂದಿ ನಮೂನೆಗಳನ್ನು ನಿರ್ವಹಿಸುತ್ತಾರೆ.
administrator	ಆಡಳಿತಗಾರ	ಆಡಳಿತಗಾರರು ನನ್ನ ಪಾಸ್‌ವರ್ಡ್ ಅನ್ನು ಮರುಹೊಂದಿಸಿದರು.
admission	ಪ್ರವೇಶ	ವಸ್ತುಸಂಗ್ರಹಾಲಯಕ್ಕೆ ಪ್ರವೇಶ ಉಚಿತ.
adolescent	ಹದಿಹರೆಯದ	ಹದಿಹರೆಯದವರಿಗೆ ಹೆಚ್ಚುವರಿ ಬೆಂಬಲದ ಅಗತ್ಯವಿತ್ತು.
adoption	ದತ್ತು	ದತ್ತು ಪಡೆಯುವಿಕೆಯು ಮಗುವಿಗೆ ಸ್ಥಿರವಾದ ನೆಲೆಯನ್ನು ನೀಡಿತು.
adverse	ಪ್ರತಿಕೂಲ	ಔಷಧಿಯು ಪ್ರತಿಕೂಲ ಪರಿಣಾಮಗಳನ್ನು ಉಂಟುಮಾಡಿತು.
advocate	ವಕೀಲ	ವಕೀಲರು ಬಾಡಿಗೆದಾರರ ಹಕ್ಕುಗಳನ್ನು ಸಮರ್ಥಿಸಿದರು.
aesthetic	ಸೌಂದರ್ಯದ	ಕೊಠಡಿಯು ಪ್ರಶಾಂತವಾದ ಸೌಂದರ್ಯದ ಶೈಲಿಯನ್ನು ಹೊಂದಿದೆ.
affection	ವಾತ್ಸಲ್ಯ	ಅವಳು ತನ್ನ ಕುಟುಂಬದ ಬಗ್ಗೆ ವಾತ್ಸಲ್ಯವನ್ನು ತೋರಿದಳು.
aftermath	ಪರಿಣಾಮ	ಚಂಡಮಾರುತದ ನಂತರದ ಪರಿಣಾಮವು ಕಷ್ಟಕರವಾಗಿತ್ತು.
aggression	ಆಕ್ರಮಣಶೀಲತೆ	ವಿರಾಮದ ಸಮಯದಲ್ಲಿ ಶಿಕ್ಷಕರು ಆಕ್ರಮಣಶೀಲತೆಯನ್ನು ಗಮನಿಸಿದರು.
agricultural	ಕೃಷಿ	ಕೃಷಿ ರಫ್ತು ಈ ವರ್ಷ ಹೆಚ್ಚಾಗಿದೆ.
aide	ಸಹಾಯಕ	ಸಹಾಯಕರು ಸಚಿವರ ವೇಳಾಪಟ್ಟಿಯನ್ನು ಆಯೋಜಿಸಿದರು.
albeit	ಆದರೂ	ಯೋಜನೆ ಕೆಲಸ ಮಾಡಿತು, ಆದರೂ ನಿಧಾನವಾಗಿತ್ತು.
alert	ಎಚ್ಚರಿಸು	ದಯವಿಟ್ಟು ತಕ್ಷಣ ಸಿಬ್ಬಂದಿಗೆ ಎಚ್ಚರಿಕೆ ನೀಡಿ.
align	ಹೊಂದಿಸು	ಬಾಣಗಳು ರಸ್ತೆಯೊಂದಿಗೆ ಹೊಂದಾಣಿಕೆಯಾಗುತ್ತವೆ.
alignment	ಜೋಡಣೆ	ಚಕ್ರದ ಜೋಡಣೆಯು ಕಾರಿನ ನಿರ್ವಹಣೆಯನ್ನು ಸುಧಾರಿಸಿತು.
alike	ಒಂದೇ ರೀತಿ	ಅವಳಿ ಮಕ್ಕಳು ವಾರಾಂತ್ಯದಲ್ಲಿ ಒಂದೇ ರೀತಿಯ ಬಟ್ಟೆ ಧರಿಸುತ್ತಾರೆ.
allegation	ಆಪಾದನೆ	ಪತ್ರಿಕೆಯಲ್ಲಿ ಆಪಾದನೆ ಪ್ರಕಟವಾಯಿತು.
allege	ಆರೋಪಿಸು	ಹಣ ಕಳೆದುಹೋಗಿದೆ ಎಂದು ಅವರು ಆರೋಪಿಸುತ್ತಾರೆ.
allegedly	ಆಪಾದಿತವಾಗಿ	ಚಾಲಕನು ಎಚ್ಚರಿಕೆಯನ್ನು ನಿರ್ಲಕ್ಷಿಸಿದನೆಂದು ಆರೋಪಿಸಲಾಗಿದೆ.
alliance	ಮೈತ್ರಿ	ಪಕ್ಷಗಳು ತಾತ್ಕಾಲಿಕ ಮೈತ್ರಿಯನ್ನು ರಚಿಸಿದವು.
allocate	ಹಂಚಿಕೆ ಮಾಡು	ನಗರವು ಶಾಲೆಗಳಿಗೆ ಹಣವನ್ನು ಹಂಚಿಕೆ ಮಾಡುತ್ತದೆ.
allocation	ಹಂಚಿಕೆ	ಸೀಟುಗಳ ಹಂಚಿಕೆಯು ಅನ್ಯಾಯವಾಗಿತ್ತು.
allowance	ಭತ್ಯೆ	ಅವಳ ಭತ್ಯೆಯು ಊಟ ಮತ್ತು ಸಾರಿಗೆಯನ್ನು ಒಳಗೊಂಡಿದೆ.
ally	ಮಿತ್ರ	ಕೆನಡಾ ಆಪ್ತ ಮಿತ್ರ ರಾಷ್ಟ್ರವಾಯಿತು.
aluminium	ಅಲ್ಯೂಮಿನಿಯಂ	ಚೌಕಟ್ಟನ್ನು ಅಲ್ಯೂಮಿನಿಯಂನಿಂದ ಮಾಡಲಾಗಿದೆ.
amateur	ಹವ್ಯಾಸಿ	ಹವ್ಯಾಸಿ ಛಾಯಾಗ್ರಾಹಕ ಚಿತ್ರವನ್ನು ತೆಗೆದಿದ್ದಾರೆ.
ambassador	ರಾಯಭಾರಿ	ರಾಯಭಾರಿಯು ಸ್ಥಳೀಯ ವಿದ್ಯಾರ್ಥಿಗಳನ್ನು ಭೇಟಿಯಾದರು.
amend	ತಿದ್ದುಪಡಿ ಮಾಡು	ಸಂಸತ್ತು ಕಾನೂನನ್ನು ತಿದ್ದುಪಡಿ ಮಾಡಲು ಮತ ಹಾಕಿತು.
amendment	ತಿದ್ದುಪಡಿ	ತಿದ್ದುಪಡಿಯು ಒಂದು ಪ್ಯಾರಾಗ್ರಾಫ್ ಅನ್ನು ಬದಲಾಯಿಸಿತು.
amid	ನಡುವೆ	ಬೆಳೆಯುತ್ತಿರುವ ಉದ್ವಿಗ್ನತೆಯ ನಡುವೆ ಭಾಷಣ ಬಂದಿತು.
analogy	ಸಾದೃಶ್ಯ	ಶಿಕ್ಷಕರು ಸರಳವಾದ ಸಾದೃಶ್ಯವನ್ನು ಬಳಸಿದರು.
anchor	ಲಂಗರು	ದೋಣಿಯು ದ್ವೀಪದ ಬಳಿ ಲಂಗರು ಹಾಕಿತು.
angel	ದೇವತೆ	ಮಗು ದೇವತೆಯ ವೇಷಭೂಷಣವನ್ನು ಧರಿಸಿತ್ತು.
anonymous	ಅನಾಮಧೇಯ	ದೂರು ಅನಾಮಧೇಯವಾಗಿತ್ತು.
apparatus	ಉಪಕರಣ	ಪ್ರಯೋಗಾಲಯದ ಉಪಕರಣವನ್ನು ಸ್ವಚ್ಛಗೊಳಿಸುವ ಅಗತ್ಯವಿದೆ.
appealing	ಆಕರ್ಷಕ	ಪ್ರಸ್ತಾಪವು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಆಕರ್ಷಕವಾಗಿ ಕಾಣುತ್ತದೆ.
appetite	ಹಸಿವು	ವ್ಯಾಯಾಮವು ಅವನ ಹಸಿವನ್ನು ಹೆಚ್ಚಿಸಿತು.
applaud	ಚಪ್ಪಾಳೆ ತಟ್ಟು	ಪ್ರೇಕ್ಷಕರು ಜೋರಾಗಿ ಚಪ್ಪಾಳೆ ತಟ್ಟಲು ಪ್ರಾರಂಭಿಸಿದರು.
applicable	ಅನ್ವಯಿಸುವ	ರಿಯಾಯಿತಿಯು ಇಂದು ಅನ್ವಯವಾಗುತ್ತದೆ.
appoint	ನೇಮಿಸು	ಮಂಡಳಿಯು ನಿರ್ದೇಶಕರನ್ನು ನೇಮಿಸುತ್ತದೆ.
appreciation	ಮೆಚ್ಚುಗೆ	ಅವಳು ಅವರ ಸಹಾಯಕ್ಕಾಗಿ ಮೆಚ್ಚುಗೆಯನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದಳು.
arbitrary	ನಿರಂಕುಶ	ಗಡುವು ಸಿಬ್ಬಂದಿಗೆ ನಿರಂಕುಶವೆಂದು ತೋರಿತು.
architectural	ವಾಸ್ತುಶಿಲ್ಪದ	ನಗರವು ತನ್ನ ವಾಸ್ತುಶಿಲ್ಪದ ಪರಂಪರೆಯನ್ನು ರಕ್ಷಿಸುತ್ತದೆ.
archive	ದಾಖಲೆಗಳ ಸಂಗ್ರಹ	ಆರ್ಕೈವ್ ಹಳೆಯ ಛಾಯಾಚಿತ್ರಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ.
arena	ಅಖಾಡ	ಚರ್ಚೆಯು ಸಾರ್ವಜನಿಕ ಅಖಾಡಕ್ಕೆ ಸ್ಥಳಾಂತರಗೊಂಡಿತು.
arguably	ವಾದಯೋಗ್ಯವಾಗಿ	ಇದು ವಾದಯೋಗ್ಯವಾಗಿ ಅವರ ಅತ್ಯುತ್ತಮ ಕಾದಂಬರಿಯಾಗಿದೆ.
arm	ಶಸ್ತ್ರಸಜ್ಜಿತಗೊಳಿಸು	ಕಾವಲುಗಾರರು ಬೆಂಗಾವಲು ಪಡೆಗೆ ಶಸ್ತ್ರಾಸ್ತ್ರ ನೀಡುತ್ತಾರೆ.
array	ಶ್ರೇಣಿ	ಅಂಗಡಿಯು ಉಪಕರಣಗಳ ಶ್ರೇಣಿಯನ್ನು ನೀಡುತ್ತದೆ.
articulate	ಸ್ಪಷ್ಟವಾಗಿ ವ್ಯಕ್ತಪಡಿಸು	ಅವಳು ಸಂಕೀರ್ಣ ವಿಚಾರಗಳನ್ನು ಸ್ಪಷ್ಟವಾಗಿ ವ್ಯಕ್ತಪಡಿಸಬಲ್ಲಳು.
ash	ಬೂದಿ	ಬೆಂಕಿಯ ನಂತರ ಬೂದಿ ಕಾರನ್ನು ಆವರಿಸಿತು.
aspiration	ಆಕಾಂಕ್ಷೆ	ಶಸ್ತ್ರಚಿಕಿತ್ಸಕಳಾಗುವುದು ಅವಳ ಆಕಾಂಕ್ಷೆಯಾಗಿದೆ.
aspire	ಆಶಿಸು	ಅನೇಕ ವಿದ್ಯಾರ್ಥಿಗಳು ವಿದೇಶದಲ್ಲಿ ಅಧ್ಯಯನ ಮಾಡಲು ಆಶಿಸುತ್ತಾರೆ.
assassination	ಹತ್ಯೆ	ಹತ್ಯೆಯು ದೇಶದ ರಾಜಕೀಯವನ್ನು ಬದಲಾಯಿಸಿತು.
assault	ಹಲ್ಲೆ	ನಿಲ್ದಾಣದ ಬಳಿ ಹಲ್ಲೆ ನಡೆದಿದೆ.
assemble	ಜೋಡಿಸು	ಕಾರ್ಮಿಕರು ಪೀಠೋಪಕರಣಗಳನ್ನು ಕೈಯಿಂದ ಜೋಡಿಸುತ್ತಾರೆ.
assembly	ಸಭೆ	ಶಾಲೆಯ ಸಭೆಯು ಒಂಬತ್ತು ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ.
assert	ಪ್ರತಿಪಾದಿಸು	ಅವನು ತನ್ನ ಅಧಿಕಾರವನ್ನು ಚಲಾಯಿಸಲು ಪ್ರಯತ್ನಿಸಿದನು.
assertion	ಪ್ರತಿಪಾದನೆ	ಅವಳ ಪ್ರತಿಪಾದನೆಯು ಸಮಿತಿಯನ್ನು ಆಶ್ಚರ್ಯಗೊಳಿಸಿತು.
assurance	ಭರವಸೆ	ವ್ಯವಸ್ಥಾಪಕರು ಬೆಂಬಲದ ಭರವಸೆ ನೀಡಿದರು.
asylum	ಆಶ್ರಯ	ಕುಟುಂಬವು ಗಡಿಯಲ್ಲಿ ಆಶ್ರಯ ಕೋರಿತು.
atrocity	ದೌರ್ಜನ್ಯ	ಚಿತ್ರವು ಯುದ್ಧಕಾಲದ ದೌರ್ಜನ್ಯವನ್ನು ವಿವರಿಸಿದೆ.
attain	ಸಾಧಿಸು	ಕೆಲವೇ ಓಟಗಾರರು ಆ ವೇಗವನ್ನು ತಲುಪುತ್ತಾರೆ.
attendance	ಹಾಜರಾತಿ	ಪ್ರಕಟಣೆಯ ನಂತರ ಹಾಜರಾತಿ ಸುಧಾರಿಸಿತು.
attorney	ವಕೀಲ	ವಕೀಲರು ಸಾಕ್ಷಿಯನ್ನು ಪ್ರಶ್ನಿಸಿದರು.
attribute	ಕಾರಣವೆಂದು ಹೇಳು	ವಿಜ್ಞಾನಿಗಳು ಹೆಚ್ಚಳಕ್ಕೆ ಮಾಲಿನ್ಯವೇ ಕಾರಣವೆಂದು ಹೇಳುತ್ತಾರೆ.
audit	ಲೆಕ್ಕಪರಿಶೋಧನೆ	ಲೆಕ್ಕಪರಿಶೋಧನೆಯು ಹಲವಾರು ದೋಷಗಳನ್ನು ಕಂಡುಹಿಡಿದಿದೆ.
authentic	ಅಧಿಕೃತ	ರೆಸ್ಟೋರೆಂಟ್ ಅಧಿಕೃತ ಪ್ರಾದೇಶಿಕ ಆಹಾರವನ್ನು ನೀಡುತ್ತದೆ.
authorize	ಅಧಿಕಾರ ನೀಡು	ವ್ಯವಸ್ಥಾಪಕರು ಮಾತ್ರ ಮರುಪಾವತಿಗೆ ಅಧಿಕಾರ ನೀಡಬಹುದು.
auto	ಆಟೋ	ಆಟೋಮೋಬೈಲ್ ಉದ್ಯಮವು ವೇಗವಾಗಿ ಬದಲಾಯಿತು.
autonomy	ಸ್ವಾಯತ್ತತೆ	ಪ್ರದೇಶವು ಹೆಚ್ಚಿನ ಸ್ವಾಯತ್ತತೆಯನ್ನು ಬಯಸುತ್ತದೆ.
availability	ಲಭ್ಯತೆ	ಆಸನಗಳ ಲಭ್ಯತೆ ಸೀಮಿತವಾಗಿದೆ.
await	ಕಾಯುತ್ತಿರು	ಹಲವಾರು ಸಂದೇಶಗಳು ನಿಮ್ಮ ಪ್ರತ್ಯುತ್ತರಕ್ಕಾಗಿ ಕಾಯುತ್ತಿವೆ.
backdrop	ಹಿನ್ನೆಲೆ	ಪರ್ವತಗಳು ನಾಟಕೀಯ ಹಿನ್ನೆಲೆಯನ್ನು ರೂಪಿಸಿದವು.
backing	ಬೆಂಬಲ	ಪ್ರಸ್ತಾವನೆಗೆ ಮತದಾರರಿಂದ ಬೆಂಬಲ ಸಿಕ್ಕಿತು.
backup	ಬ್ಯಾಕ್ಅಪ್	ಸಿಸ್ಟಮ್ ಪ್ರತಿದಿನ ಬ್ಯಾಕ್ಅಪ್ ರಚಿಸುತ್ತದೆ.
bail	ಜಾಮೀನು	ನ್ಯಾಯಾಧೀಶರು ಮಧ್ಯಾಹ್ನ ಜಾಮೀನು ನಿಗದಿಪಡಿಸಿದರು.
ballot	ಮತಪತ್ರ	ಪ್ರತಿಯೊಬ್ಬ ಮತದಾರರಿಗೆ ಮತಪತ್ರ ನೀಡಲಾಯಿತು.
banner	ಬ್ಯಾನರ್	ಪ್ರವೇಶದ್ವಾರದ ಮೇಲೆ ಬ್ಯಾನರ್ ನೇತುಹಾಕಲಾಗಿತ್ತು.
bare	ಬರಿದಾದ	ಕೊಠಡಿಯು ಬರಿದಾದ ಗೋಡೆಗಳನ್ನು ಹೊಂದಿತ್ತು.
barrel	ಬ್ಯಾರೆಲ್	ಪೀಪಾಯಿ ನೀರಿನಿಂದ ತುಂಬಿತ್ತು.
bass1	ಬಾಸ್	ಬಾಸ್ ಆಳವಾಗಿ ಮತ್ತು ಬೆಚ್ಚಗಾಗಿ ಕೇಳಿಸಿತು.
battlefield	ಯುದ್ಧಭೂಮಿ	ಹಳೆಯ ಯುದ್ಧಭೂಮಿ ಸ್ಮಾರಕವಾಯಿತು.
bay	ಕೊಲ್ಲಿ	ಗ್ರಾಮವು ಶಾಂತವಾದ ಕೊಲ್ಲಿಯ ಪಕ್ಕದಲ್ಲಿದೆ.
beam	ತೊಲೆ	ಉಕ್ಕಿನ ತೊಲೆ ಛಾವಣಿಗೆ ಆಧಾರವಾಗಿದೆ.
beast	ಮೃಗ	ಕಥೆಯು ಕ್ರೂರ ಮೃಗವನ್ನು ವಿವರಿಸುತ್ತದೆ.
behalf	ಪರವಾಗಿ	ಅವಳು ತನ್ನ ತಂಡದ ಪರವಾಗಿ ಮಾತನಾಡಿದಳು.
beloved	ಪ್ರೀತಿಯ	ಪ್ರೀತಿಯ ಶಿಕ್ಷಕರು ಇಂದು ನಿವೃತ್ತರಾದರು.
bench	ಬೆಂಚ್	ಅವರು ಮರದ ಬೆಂಚ್ ಮೇಲೆ ಕುಳಿತರು.
benchmark	ಮಾನದಂಡ	ಪರೀಕ್ಷೆಯು ಉದ್ಯಮದ ಮಾನದಂಡವಾಯಿತು.
beneath	ಕೆಳಗೆ	ದಾಖಲೆಗಳು ಫೋಲ್ಡರ್‌ನ ಕೆಳಗಿದ್ದವು.
beneficiary	ಫಲಾನುಭವಿ	ಅವಳ ಮಗ ಮುಖ್ಯ ಫಲಾನುಭವಿಯಾಗಿದ್ದನು.
betray	ದ್ರೋಹ ಮಾಡು	ನಿಮ್ಮ ಸ್ನೇಹಿತನ ನಂಬಿಕೆಗೆ ದ್ರೋಹ ಮಾಡಬೇಡಿ.
bind	ಬಂಧಿಸು	ಈ ಒಪ್ಪಂದವು ಎರಡೂ ಕಂಪನಿಗಳನ್ನು ಬಂಧಿಸುತ್ತದೆ.
biography	ಜೀವನಚರಿತ್ರೆ	ಅವರ ಜೀವನಚರಿತ್ರೆಯು ಹಲವು ಪ್ರತಿಗಳು ಮಾರಾಟವಾದವು.
bishop	ಬಿಷಪ್	ಬಿಷಪ್ ಗ್ರಾಮದ ಚರ್ಚ್‌ಗೆ ಭೇಟಿ ನೀಡಿದರು.
bizarre	ವಿಲಕ್ಷಣವಾದ	ಚಲನಚಿತ್ರವು ವಿಲಕ್ಷಣ ಅಂತ್ಯವನ್ನು ಹೊಂದಿತ್ತು.
blade	ಬ್ಲೇಡ್	ಅಲಗು ಹಗ್ಗವನ್ನು ಕತ್ತರಿಸಿತು.
blast	ಸ್ಫೋಟ	ಸ್ಫೋಟವು ಹತ್ತಿರದ ಕಿಟಕಿಗಳನ್ನು ಒಡೆದುಹಾಕಿತು.
bleed	ರಕ್ತಸ್ರಾವವಾಗು	ಗಾಯದಿಂದ ಅತಿಯಾಗಿ ರಕ್ತಸ್ರಾವವಾಗಲು ಪ್ರಾರಂಭವಾಯಿತು.
blend	ಮಿಶ್ರಣ ಮಾಡು	ಸಾಸ್ ನಯವಾಗುವವರೆಗೆ ಮಿಶ್ರಣ ಮಾಡಿ.
bless	ಆಶೀರ್ವದಿಸು	ಪಾದ್ರಿಯು ಮನೆಯನ್ನು ಆಶೀರ್ವದಿಸುತ್ತಾರೆ.
blessing	ಆಶೀರ್ವಾದ	ಬೆಂಬಲ ಇರುವುದು ಒಂದು ಆಶೀರ್ವಾದವಾಗಿತ್ತು.
boast	ಬಡಾಯಿ ಕೊಚ್ಚಿಕೊಳ್ಳು	ಅವನು ಹಣದ ಬಗ್ಗೆ ಬಡಾಯಿ ಕೊಚ್ಚಿಕೊಳ್ಳಲು ಇಷ್ಟಪಡುತ್ತಾನೆ.
bonus	ಬೋನಸ್	ನೌಕರರು ರಜಾಕಾಲದ ಬೋನಸ್ ಪಡೆದರು.
boom	ಏರಿಕೆ	ನಗರವು ನಿರ್ಮಾಣದ ಏರಿಕೆಯನ್ನು ಕಂಡಿತು.
bounce	ಜಿಗಿಯು	ಚೆಂಡು ತುಂಬಾ ಎತ್ತರಕ್ಕೆ ಜಿಗಿಯಬಲ್ಲದು.
boundary	ಗಡಿ	ನದಿಯು ಗಡಿಯನ್ನು ಗುರುತಿಸುತ್ತದೆ.
bow1	ತಲೆಬಾಗು	ನಟ ತಲೆಬಾಗಿ ನಮಸ್ಕರಿಸಿದನು.
breach	ಉಲ್ಲಂಘನೆ	ಉಲ್ಲಂಘನೆಯು ಖಾಸಗಿ ಡೇಟಾವನ್ನು ಬಹಿರಂಗಪಡಿಸಿತು.
breakdown	ವಿಭಜನೆ	ವರದಿಯು ವೆಚ್ಚದ ವಿಭಜನೆಯನ್ನು ಒಳಗೊಂಡಿದೆ.
breakthrough	ಪ್ರಗತಿ	ಈ ಆವಿಷ್ಕಾರವು ಒಂದು ದೊಡ್ಡ ಪ್ರಗತಿಯಾಗಿತ್ತು.
breed	ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡು	ಈ ಪಕ್ಷಿಗಳು ವಸಂತಕಾಲದಲ್ಲಿ ಸಂತಾನೋತ್ಪತ್ತಿ ಮಾಡುತ್ತವೆ.
broadband	ಬ್ರಾಡ್ಬ್ಯಾಂಡ್	ಕಚೇರಿಗೆ ವೇಗದ ಬ್ರಾಡ್ಬ್ಯಾಂಡ್ ಅಗತ್ಯವಿದೆ.
browser	ಬ್ರೌಸರ್	ಲಾಗ್ ಇನ್ ಆಗುವ ಮೊದಲು ನಿಮ್ಮ ಬ್ರೌಸರ್ ಅನ್ನು ನವೀಕರಿಸಿ.
brutal	ಕ್ರೂರವಾದ	ಆಕ್ರಮಣವು ಕ್ರೂರ ಮತ್ತು ಹಠಾತ್ ಆಗಿತ್ತು.
buck	ಬಕ್	ಟಿಕೆಟ್‌ಗೆ ಹತ್ತು ಬಕ್ಸ್ ಬೆಲೆಯಿದೆ.
buddy	ಸ್ನೇಹಿತ	ಅವನ ಸ್ನೇಹಿತ ಹೊರಗೆ ಕಾಯುತ್ತಿದ್ದನು.
buffer	ತಡೆಗೋಡೆ	ಮರಗಳು ಶಬ್ದ ತಡೆಗೋಡೆಯನ್ನು ಸೃಷ್ಟಿಸುತ್ತವೆ.
bulk	ಸಗಟು	ಅವರು ದೊಡ್ಡ ಪ್ರಮಾಣದಲ್ಲಿ ಅಕ್ಕಿಯನ್ನು ಖರೀದಿಸಿದರು.
burden	ಹೊರೆ	ಸಾಲವು ದೊಡ್ಡ ಹೊರೆಯಾಯಿತು.
bureaucracy	ಅಧಿಕಾರಶಾಹಿ	ಅಧಿಕಾರಶಾಹಿಯು ಪರವಾನಗಿಯನ್ನು ವಿಳಂಬಗೊಳಿಸಿತು.
burial	ಹೂಳುವಿಕೆ	ಅಂತ್ಯಕ್ರಿಯೆಯು ಮುಂಜಾನೆ ನಡೆಯಿತು.
