source_headword	KO	example_KO
monster	괴물	이야기에는 무서운 괴물이 나옵니다.
monthly	매월	우리는 매월 집세를 냅니다.
monument	기념물	강 근처에 기념물이 서 있습니다.
moreover	게다가	게다가, 이 계획은 돈을 절약합니다.
mortgage	주택 담보 대출	그들은 주택 담보 대출을 신청했습니다.
mosque	모스크	모스크는 시장 근처에 있습니다.
motion	움직임	센서가 움직임을 감지합니다.
motivate	동기를 부여하다	칭찬은 학생들에게 동기를 부여할 수 있습니다.
motivation	동기	그녀의 동기는 여전히 강했습니다.
moving	감동적인	연설은 감동적이었습니다.
myth	신화	신화는 산 이름의 유래를 설명합니다.
naked	벌거벗은	목욕 후 아기는 벌거벗은 상태였습니다.
nasty	끔찍한	상처가 끔찍해 보였습니다.
navigation	내비게이션	앱이 내비게이션을 개선합니다.
nearby	근처의	근처 카페가 일찍 엽니다.
necessity	필수품	깨끗한 물은 필수품입니다.
negotiate	협상하다	그들은 내일 계약을 협상합니다.
negotiation	협상	협상은 아침 내내 계속되었습니다.
neutral	중립적인	판사는 중립을 유지했습니다.
newly	최근에	새로 칠해진 문은 밝아 보였습니다.
norm	표준	원격 근무가 표준이 되었습니다.
notebook	공책	공책에 메모를 적으세요.
novelist	소설가	소설가는 자신의 책에 서명했습니다.
nowadays	요즘	요즘에는 많은 사람들이 온라인으로 일합니다.
nursing	간호	그녀는 간호학을 공부하고 있습니다.
nutrition	영양	좋은 영양은 건강을 지원합니다.
obesity	비만	비만은 건강 위험을 증가시킵니다.
observer	관찰자	관찰자가 결과를 기록했습니다.
obstacle	장애물	쓰러진 나무가 장애물이었습니다.
occupation	직업	여기에 직업을 적어주세요.
occupy	차지하다	가족은 아파트를 차지할 것입니다.
offender	범죄자	범죄자는 법정에서 사과했습니다.
ongoing	진행 중인	조사가 진행 중입니다.
openly	솔직하게	그녀는 자신의 두려움에 대해 솔직하게 말했습니다.
opera	오페라	우리는 밀라노에서 오페라를 보았습니다.
operator	교환원	교환원이 전화를 연결했습니다.
optimistic	낙관적인	그녀는 미래에 대해 낙관적입니다.
orchestra	오케스트라	오케스트라가 부드럽게 연주했습니다.
organic	유기농의	그들은 유기농 채소를 샀습니다.
outfit	옷차림	그녀의 옷차림은 상황에 어울렸습니다.
output	생산량	기계의 생산량이 증가했습니다.
outstanding	뛰어난	그의 성과는 뛰어났습니다.
overcome	극복하다	그들은 함께 문제를 극복합니다.
overnight	하룻밤 사이에	소포가 하룻밤 사이에 도착했습니다.
overseas	해외에서	그는 해외에서 일자리를 찾았습니다.
ownership	소유권	토지 소유권이 변경되었습니다.
oxygen	산소	식물은 산소를 생산합니다.
packet	포장	포장을 조심스럽게 여세요.
palm	손바닥	동전을 손바닥에 쥐세요.
panic	공황	공황이 군중 속에 퍼졌습니다.
parade	퍼레이드	퍼레이드는 정오에 시작되었습니다.
parallel	평행한	도로는 평행하게 달립니다.
participation	참여	수업 참여가 개선되었습니다.
partnership	파트너십	파트너십은 두 회사 모두에 도움이 되었습니다.
part-time	시간제의	그녀는 시간제 일자리를 찾았습니다.
passionate	열정적인	그는 음악에 열정적입니다.
password	비밀번호	강력한 비밀번호를 선택하세요.
patience	인내심	어린 아이들을 가르치려면 인내심이 필요합니다.
pause	일시 정지	지금 비디오를 일시 정지하세요.
peer	또래	또래 압력이 그의 선택에 영향을 미쳤습니다.
penalty	페널티	선수는 페널티를 받았습니다.
perceive	인식하다	사람들은 위험을 다르게 인식합니다.
perception	인식	위험에 대한 그의 인식이 변했습니다.
permanently	영구적으로	가게가 영구적으로 문을 닫았습니다.
pill	알약	아침 식사 후 알약 한 알을 복용하세요.
pity	유감	유감입니다.
placement	배치	소파 배치가 중요합니다.
portion	부분	쌀의 적은 부분을 제공하세요.
potentially	잠재적으로	이 변화는 잠재적으로 유용합니다.
precede	선행하다	짙은 구름은 종종 비에 선행합니다.
precious	귀중한	그 반지는 귀중합니다.
precise	정확한	지시 사항은 정확했습니다.
precisely	정확히	거리를 정확히 측정하세요.
predictable	예측 가능한	결말은 예측 가능했습니다.
preference	선호	그녀는 차에 대한 선호를 표현했습니다.
pride	자부심	그는 끝낸 후 자부심을 느꼈습니다.
primarily	주로	과정은 주로 온라인으로 진행됩니다.
principal	교장	교장 선생님이 신입생을 환영했습니다.
prior	사전의	사전 승인이 필요합니다.
probability	확률	비가 올 확률이 높습니다.
probable	유력한	오늘 밤에 비가 올 것 같습니다.
proceed	진행하다	다음 방으로 진행해 주세요.
programming	프로그래밍	프로그래밍은 연습이 필요합니다.
progressive	진보적인	그 정책은 당시로서는 진보적이었습니다.
prohibit	금지하다	규칙은 흡연을 금지합니다.
promising	유망한	결과가 유망해 보입니다.
promotion	승진	그녀는 직장에서 승진했습니다.
prompt	신속한	신속한 응답으로 시간을 절약했습니다.
proportion	비율	많은 비율이 찬성 투표했습니다.
protein	단백질	콩에는 단백질이 들어 있습니다.
protester	시위자	시위자가 팻말을 들고 있었습니다.
psychological	심리적인	사고로 인해 심리적 스트레스가 발생했습니다.
publicity	홍보	그 행사는 홍보를 얻었습니다.
publishing	출판	그녀는 출판업계에서 일합니다.
punk	펑크	펑크 음악은 그곳에서 인기를 얻었습니다.
purely	순전히	그 선택은 순전히 실용적이었습니다.
pursuit	추구	그는 정의에 대한 추구를 계속했습니다.
puzzle	퍼즐	퍼즐을 맞추는 데 한 시간이 걸렸습니다.
questionnaire	설문지	설문지를 작성해 주세요.
racial	인종의	보고서는 인종 불평등에 대해 논의했습니다.
racism	인종차별	인종차별은 지역 사회에 해를 끼칩니다.
racist	인종차별적인	그 발언은 인종차별적이었습니다.
radiation	방사선	방사선은 세포를 손상시킬 수 있습니다.
rail	난간	계단에서 난간을 잡으세요.
random	무작위의	컴퓨터가 무작위 숫자를 선택했습니다.
rat	쥐	쥐가 쓰레기통 뒤로 달려갔습니다.
rating	등급	호텔의 등급이 높습니다.
reasonably	합리적으로	방은 꽤 깨끗했습니다.
rebuild	재건하다	그들은 다리를 재건할 것입니다.
receiver	리시버	리시버가 공을 잡았습니다.
recession	불경기	불경기로 지출이 줄었습니다.
reckon	생각하다	기차가 늦을 것 같습니다.
recognition	인정	그녀는 작업에 대해 인정을 받았습니다.
recovery	회복	회복에는 몇 주가 걸렸습니다.
recruit	채용하다	회사는 엔지니어를 채용할 것입니다.
recruitment	채용	채용은 다음 주 월요일에 시작됩니다.
referee	심판	심판이 경기를 중단시켰습니다.
refugee	난민	난민은 안전한 집을 찾았습니다.
registration	등록	등록은 금요일에 마감됩니다.
regulate	규제하다	법은 배출량을 규제할 것입니다.
reinforce	보강하다	추가 들보가 지붕을 보강합니다.
relieve	완화하다	약은 통증을 완화할 수 있습니다.
relieved	안도하는	그녀는 전화를 한 후 안도감을 느꼈습니다.
remarkable	놀라운	회복은 놀라웠습니다.
remarkably	놀랍도록	그는 놀랍도록 빨리 회복했습니다.
reporting	보도	정확한 보도가 중요합니다.
resign	사임하다	매니저는 내일 사임할 것입니다.
resolution	해상도	화면의 해상도가 높습니다.
restore	복원하다	작업자들이 오래된 그림을 복원합니다.
restrict	제한하다	규칙은 주차를 제한합니다.
restriction	제한	제한은 내일 끝납니다.
retail	소매	소매 판매가 증가했습니다.
retirement	은퇴	그녀는 은퇴를 신중하게 계획했습니다.
revenue	수익	티켓 수익으로 수리비를 지불했습니다.
revision	복습	시험 전 복습이 도움이 되었습니다.
ridiculous	터무니없는	가격이 터무니없었습니다.
risky	위험한	계획은 위험해 보였습니다.
rival	경쟁자	경쟁자가 새 매장을 열었습니다.
rob	강도질하다	남자들은 은행을 털려고 했습니다.
robbery	강도	강도 사건은 밤에 일어났습니다.
rocket	로켓	로켓이 성공적으로 발사되었습니다.
romance	로맨스	소설에는 로맨스가 포함되어 있습니다.
rose	장미	울타리 옆에 빨간 장미가 자랐습니다.
roughly	대략	대략 20명이 참석했습니다.
ruin	망치다	비가 소풍을 망칠 수도 있습니다.
satisfaction	만족	고객 만족도가 향상되었습니다.
scandal	스캔들	스캔들이 그의 경력을 망쳤습니다.
scare	놀라게 하다	큰 소리가 나를 놀라게 했습니다.
scenario	시나리오	최악의 시나리오는 가능성이 적습니다.
scholar	학자	학자는 고대 문헌을 연구했습니다.
scholarship	장학금	그녀는 장학금을 받았습니다.
scratch	긁힌 자국	고양이가 긁힌 자국을 남겼습니다.
screening	검사	병원에서는 암 검사를 제공합니다.
seeker	구직자	구직자가 지원서를 보냈습니다.
seminar	세미나	세미나는 9시에 시작합니다.
settler	정착민	정착민은 작은 농장을 지었습니다.
severely	심각하게	폭풍이 도로를 심각하게 손상시켰습니다.
sexy	섹시한	그 드레스는 섹시하다고 여겨졌습니다.
shocking	충격적인	뉴스는 충격적이었습니다.
shore	해안	우리는 해안을 따라 걸었습니다.
shortage	부족	도시는 물 부족에 직면했습니다.
shortly	곧	버스는 정오가 조금 지나서 도착했습니다.
short-term	단기적인	이 계획은 단기적인 이점이 있습니다.
sibling	형제자매	각 형제자매가 선물을 받았습니다.
signature	서명	서명을 추가해 주세요.
significance	중요성	그 발견은 큰 중요성을 가지고 있습니다.
skilled	숙련된	숙련된 노동자들이 지붕을 수리했습니다.
slogan	슬로건	캠페인에서는 간단한 슬로건을 사용했습니다.
so-called	소위	소위 전문가가 실수를 했습니다.
somehow	어떻게든	어떻게든 열쇠가 사라졌습니다.
sometime	언젠가	다음 주 언젠가 방문해 주세요.
sophisticated	정교한	소프트웨어가 정교합니다.
spare	여분의	우리는 여분의 열쇠를 보관합니다.
specialize	전공하다	의사들은 각기 다른 분야를 전문으로 합니다.
specify	명시하다	도착 시간을 명시해 주세요.
spectacular	장관인	불꽃놀이는 장관이었습니다.
spectator	관중	각 관중은 프로그램을 받았습니다.
speculate	추측하다	전문가들이 원인에 대해 추측합니다.
speculation	추측	기사는 추측을 불러일으켰습니다.
spice	향신료	한 번에 하나의 향신료를 추가하세요.
spill	엎지르다	주스를 엎지르지 마세요.
spite	악의 / ~에도 불구하고	그는 문제에도 불구하고 성공했습니다.
spoil	망치다	소금을 너무 많이 넣으면 수프를 망칠 수 있습니다.
spokesman	대변인	대변인이 질문에 답했습니다.
spokesperson	대변인	대변인이 성명을 읽었습니다.
spokeswoman	대변인	대변인이 언론에 연설했습니다.
sponsorship	후원	팀에는 후원이 필요합니다.
sporting	스포츠의	도시는 스포츠 행사를 개최합니다.
stall	가판대	시장 가판대에서 과일을 팝니다.
stance	입장	장관은 자신의 입장을 바꿨습니다.
starve	굶주리다	음식이 없으면 동물들은 굶어 죽을 수 있습니다.
steadily	꾸준히	회사는 꾸준히 성장했습니다.
steam	증기	수프에서 증기가 피어올랐습니다.
stimulate	자극하다	밝은 색상은 흥미를 자극할 수 있습니다.
