source_headword	KK	example_KK
desirable	қалаулы	Сыныптарда жақсы жарықтандыру қалаулы болып табылады.
desktop	жұмыс үстелі	Файл менің жұмыс үстелімде.
destructive	жойқын	Дауылдың жойқын күші болды.
detain	қамауға алу	Полиция күдіктілерді түні бойы ұстауы мүмкін.
detection	анықтау	Ерте анықтау қатерлі ісікті емдеуді жақсартады.
detention	қамау	Студенттер қамауда ұстау жағдайларына қарсылық білдірді.
deteriorate	нашарлау	Оның денсаулығы нашарлай бастады.
devastate	қирату	Жер сілкінісі жағалаудағы қалаларды қиратуы мүмкін.
devil	шайтан	Бала күліп тұрған шайтанның суретін салды.
devise	әзірлеу	Инженерлер қауіпсізірек көлік жүйелерін әзірлейді.
diagnose	диагноз қою	Дәрігерлер қан анализі арқылы ауруға диагноз қояды.
diagnosis	диагноз	Диагноз оның симптомдарын түсіндірді.
dictate	белгілеу	Келісімшарт төлем шарттарын белгілейді.
dictator	диктатор	Диктатор бұқаралық ақпарат құралдарын бақылауда ұстады.
differentiate	ажырату	Сіз фактіні пікірден ажырата аласыз ба?
dignity	қадір-қасиет	Жұмыста әркімнің қадір-қасиеті құрметтелуі тиіс.
dilemma	дилемма	Менеджер күрделі дилеммаға тап болды.
dimension	өлшем	Мәселенің саяси өлшемі бар.
diminish	азаю	Ауырсыну бірте-бірте азаюы керек.
dip	түсу	Температура нөлден төмен түсуі мүмкін.
diplomat	дипломат	Дипломат шетелдік көшбасшылармен кездесті.
diplomatic	дипломатиялық	Дипломатиялық келіссөздер түні бойы жалғасты.
directory	анықтамалық	Оның нөмірін анықтамалықтан іздеңіз.
disastrous	апатты	Апатты су тасқыны бірнеше көпірді қиратты.
discard	тастау	Пайдалы жазбаларды тастамаңыз.
discharge	шығару	Аурухана оны ертең шығарады.
disclose	жария ету	Шенеуніктер сандарды жария етуден бас тартты.
disclosure	ақпаратты ашу	Ақпараттың ашылуы басқарманы таң қалдырды.
discourse	пікірталас	Қоғамдық пікірталас сыпайырақ бола түсті.
discretion	сақтық	Сезімтал істерде өз парасатыңызға сүйеніңіз.
discrimination	кемсітушілік	Заң жұмысқа қабылдау кезінде кемсітушілікке тыйым салады.
dismissal	жұмыстан шығару	Оның жұмыстан шығарылуы халықтың ашуын тудырды.
displace	ығыстыру	Соғыс мыңдаған адамды қоныс аударуға мәжбүр етуі мүмкін.
disposal	жою	Қалдықтарды жою жергілікті мәселе күйінде қалып отыр.
dispose	жою	Компания химикаттарды қауіпсіз түрде жоюы керек.
dispute	дау	Дау бірнеше айға созылды.
disrupt	кедергі жасау	Шу зейін қоюға кедергі келтіруі мүмкін.
disruption	іркіліс	Ереуіл үлкен іркілістерге әкелді.
dissolve	еру	Қант ыстық шайда ериді.
distinction	айырмашылық	Олардың арасындағы айырмашылық маңызды.
distinctive	ерекше	Оның ерекше дауысы бар.
distort	бұрмалау	Айна сіздің бейнеңізді бұрмалауы мүмкін.
distress	күйзеліс	Қоңырау қатты күйзеліс тудырды.
disturbing	мазасыздандыратын	Деректі фильм мазасыздандыратын көріністерді көрсетті.
divert	бағытын өзгерту	Полиция қозғалыс бағытын өзгертуге мәжбүр болды.
divine	қасиетті	Часовняда қасиетті атмосфера бар.
doctrine	доктрина	Партия ескі доктринаны жоққа шығарды.
documentation	құжаттама	Іске қосар алдында құжаттаманы аяқтаңыз.
domain	домен	Веб-сайт қауіпсіз доменді пайдаланады.
dominance	үстемдік	Команданың үстемдігі он жылға созылды.
donor	донор	Донор бүгін қан тапсырды.
dose	доза	Таңғы астан кейін бір дозасын қабылдаңыз.
drain	ағызу	Су өзенге ағып кетеді.
drift	қалқып жүру	Түтін жол үстімен қалықтай бастады.
driving	қозғаушы	Жаңбыр кідірістердің қозғаушы факторы болды.
drown	суға бату	Ағыс сізді суға батыруы мүмкін жерде ешқашан жүзбеңіз.
dual	қос	Құрылғының қос функциясы бар.
dub	атау	Сыншылар қаланы мәдени астана деп атайды.
dumb	ақымақ	Бұл ақымақ қателік болды.
duo	дуэт	Комедиялық дуэт Еуропаны аралады.
eager	ынталы	Студенттер бастауға ынталы болды.
earnings	табыс	Компанияның табысы күрт өсті.
ease	жеңілдету	Жаңа жол көлік қозғалысын жеңілдетеді.
echo	жаңғыру	Оның дауысы залда жаңғырды.
ecological	экологиялық	Экологиялық әсері белгісіз болып қалуда.
educator	оқытушы	Оқытушы жаңа курс әзірледі.
effectiveness	тиімділік	Зерттеу вакцинаның тиімділігін өлшеді.
efficiency	өнімділік	Жақсырақ бағдарламалық жасақтама өнімділікті арттырды.
ego	эго	Оның эгосы жұмыста проблемалар тудырды.
elaborate	күрделі	Күрделі костюм апталарды алды.
electoral	сайлау	Сайлау жүйесі өткен жылы өзгерді.
elevate	көтеру	Марапат оның беделін көтереді.
eligible	жарамды	Тек тұрғындардың жеңілдіктерге құқығы бар.
elite	элита	Элита жеке академияда білім алды.
embark	аттану	Олар ұзақ сапарға аттанады.
embarrassment	ұят	Ол ыңғайсыздығын жасыру үшін күлді.
embassy	елшілік	Елшілік саяхатқа қатысты жаңа кеңес берді.
embed	бекіту	Журналист бөлімшеге бекітіледі.
embody	бейнелеу	Мүсін батылдықты бейнелейтін сияқты.
emergence	пайда болу	Телефондардың пайда болуы күнделікті өмірді өзгертті.
empirical	эмпирикалық	Мақала эмпирикалық дәлелдерге сүйенеді.
empower	мүмкіндік беру	Білім беру жергілікті қауымдастықтарға мүмкіндік бере алады.
enact	қабылдау	Парламент реформаны қабылдауға дауыс берді.
encompass	қамту	Курс қазіргі заман тарихын қамтиды.
encouragement	қолдау	Оның қолдауы оған жалғастыруға көмектесті.
encouraging	үміт беретін	Алғашқы нәтижелер үміт беретіндей көрінеді.
endeavour	күш-жігер	Құтқару қиын жұмыс болды.
endless	шексіз	Шөл дала шексіз болып көрінді.
endorse	мақұлдау	Кәсіподақ кандидатты қолдаудан бас тартты.
endorsement	қолдау	Оның қолдауы оның науқанын күшейтті.
endure	төзу	Өсімдіктер қатал қысқа төзе алады.
enforce	орындалуын қамтамасыз ету	Полиция жылдамдықты шектеудің орындалуын қамтамасыз етеді.
enforcement	орындалуын қамтамасыз ету	Қатаң бақылау заңсыз қоқыс тастауды азайтты.
engagement	қатысу	Осы семестрде студенттердің қатысуы жақсарды.
engaging	қызықты	Спикер қызықты баяндама жасады.
enquire	сұрау	Тіркеу бөлімінен сұраңыз.
enrich	байыту	Саяхат сіздің түсінігіңізді байыта алады.
enrol	тіркелу	Студенттер қыркүйекке дейін тіркелуі керек.
ensue	туындау	Хабарландырудан кейін хаос туындауы мүмкін.
enterprise	кәсіпорын	Кәсіпорын жергілікті суретшілерді жұмысқа тартады.
enthusiast	әуесқой	Әрбір велосипед әуесқойы бұл бағытты біледі.
entitle	құқық беру	Билет сізге кіруге құқық береді.
entity	заңды тұлға	Компания жеке заңды тұлға болып табылады.
epidemic	індет	Індет бірнеше аймаққа таралды.
equality	теңдік	Қозғалыс теңдік үшін күресті.
equation	теңдеу	Теңдеуде екі белгісіз бар.
erect	тұрғызу	Жұмысшылар жаңа қоршау тұрғызады.
escalate	шиеленісу	Жанжал тез шиеленісуі мүмкін.
essence	мән	Өлең балалық шақтың мәнін көрсетеді.
establishment	мекеме	Мекеме реформаға қарсы шықты.
eternal	мәңгілік	Олар мәңгілік достыққа уәде берді.
evacuate	эвакуациялау	Өрт сөндірушілер тұрғындарды қауіпсіз эвакуациялауға көмектесті.
evoke	ояту	Өлең күшті естеліктерді оятуы мүмкін.
evolutionary	эволюциялық	Қазба эволюциялық өзгерісті көрсетеді.
exaggerate	асыра сілтеу	Тәжірибеңізді асыра сілтемеңіз.
excellence	үздік	Мектеп академиялық үлгерімді марапаттайды.
exceptional	ерекше	Ол ерекше шеберлік танытты.
excess	артық	Артық су жертөлені басып қалды.
exclusion	шеттету	Әлеуметтік шеттету жастарға зиян тигізеді.
exclusive	айрықша	Клуб айрықша қол жетімділікті ұсынады.
exclusively	тек қана	Бұл бөлмені тек қана қызметкерлер пайдаланады.
execute	орындау	Команда жоспарды мұқият орындайды.
execution	орындау	Стратегияны орындауға бірнеше ай кетті.
exert	жұмсау	Сіз көбірек қысым жасауыңыз керек.
exile	қуғын	Жазушы қуғында өмір сүрді.
expenditure	шығыс	Мемлекеттік шығыстар өткен жылы өсті.
experimental	эксперименталды	Емдеу әлі де эксперименталды болып табылады.
expire	мерзімі біту	Менің төлқұжатымның мерзімі жақында бітеді.
explicit	анық	Нұсқаулар анық болды.
explicitly	нақты	Ережелер шылым шегуге нақты тыйым салады.
exploitation	қанау	Есеп жұмысшыларды қанауды әшкереледі.
explosive	жарылғыш	Жарылғыш құрылғы қауіпсіз түрде алынып тасталды.
extremist	экстремист	Экстремистік топ қолдауын жоғалтты.
facilitate	жеңілдету	Қолданба қашықтан оқытуды жеңілдетеді.
faction	фракция	Бір фракция көшбасшыға қарсы шықты.
faculty	факультет	Факультет ұсынысты мақұлдады.
fade	солу	Бояу күн сәулесінен солып қалады.
fairness	әділдік	Әділдік әрбір жарыста маңызды.
fatal	өлімге әкелетін	Апат өлімге әкелетін жарақаттарға себеп болды.
fate	тағдыр	Оның тағдырын ешкім білмеді.
favourable	қолайлы	Пікір оң болды.
feat	ерлік	Бұл шыңға шығу үлкен ерлік болды.
feminist	феминистік	Феминистік қозғалыс қоғамдық пікірталасты өзгертті.
fibre	талшық	Бұл нанның құрамында қосымша талшық бар.
fierce	күшті	Күшті дауыл шатырларды зақымдады.
film-maker	режиссер	Режиссер кейін сұрақтарға жауап берді.
filter	сүзгі	Сүзгі ауадағы шаңды кетіреді.
fine	айыппұл	Компания айыппұл төледі.
firearm	атыс қаруы	Офицер ұрланған атыс қаруын тапты.
fit	сәйкестік	Жаңа аяқ киім дәл шақ.
fixture	тұрақты жабдық	Шам - тұрақты жабдық.
flaw	кемшілік	Дизайнда бір үлкен кемшілік бар.
flawed	қате	Қате зерттеу жалған нәтижелер берді.
flee	қашу	Отбасылар ұрыстан қашуға мәжбүр болды.
fleet	флот	Әуе компаниясы өз флотын жаңартты.
flesh	ет	Тікенек оның етіне кіріп кетті.
flexibility	икемділік	Қашықтан жұмыс істеу көбірек икемділік береді.
flourish	гүлдену	Шағын бизнес мұнда гүлдене алады.
fluid	сұйықтық	Жаттығудан кейін көп сұйықтық ішіңіз.
footage	бейнежазба	Бейнежазбада апат көрсетілген.
foreigner	шетелдік	Сауалнамада шетелдік екеніңіз сұралады.
forge	құру	Олар жаңа одақ құруға тырысты.
formula	формула	Формула мәселені шешті.
formulate	тұжырымдау	Ғалымдар жаңа теорияны тұжырымдайды.
forth	алға	Өзен қайықты алға апарды.
forthcoming	алдағы	Алдағы есеп бәрін түсіндіреді.
foster	ынталандыру	Бағдарлама тәуелсіздікті ынталандыруға көмектеседі.
fragile	сынғыш	Сынғыш құмыраны абайлап ұстау керек.
franchise	франшиза	Мейрамхана жаһандық франшизаға айналды.
frankly	шынымды айтсам	Шынымды айтсам, бізге көбірек уақыт керек.
frustrated	наразы	Жұмысшылар кідіріске наразы болды.
frustrating	ашуландыратын	Баяу байланыс көңіл қалдырды.
frustration	наразылық	Жиналыс барысында наразылық күшейді.
functional	функционалды	Ескі ас үй әлі де жұмыс істейді.
fundraising	қаражат жинау	Қаражат жинау келесі аптада басталады.
funeral	жерлеу	Жерлеу рәсімі жұма күні өтті.
gallon	галлон	Бакқа бір галлон сыяды.
gambling	құмар ойындар	Құмар ойындарға заңмен шектеу қойылған.
gathering	жиын	Жиын тыныш аяқталды.
gaze	көзқарас	Ол оның көзқарасын қысқа уақыт ұстап тұрды.
gear	жабдық	Шығар алдында қауіпсіздік жабдықтарын жинап алыңыз.
generic	жалпылама	Брендсіз нұсқасы арзанырақ.
genocide	геноцид	Геноцид ұлтқа үлкен жарақат қалдырды.
glance	көз тастау	Ол тез көз тастады.
glimpse	көзі шалу	Менің көзім теңізді шалып қалды.
glorious	даңқты	Команда даңқты жеңіске жетті.
glory	даңқ	Ол Олимпиада даңқын армандады.
governance	басқару	Жақсы басқару ашықтықты талап етеді.
grace	сыпайылық	Ол жеңілісті сыпайылықпен қабылдады.
grasp	түсіну	Ол тұжырымдаманы түсіне алмады.
grave (for dead person)	қабір	Қабір гүлдермен көмкерілді.
grave (serious)	күрделі	Жағдай әлі де күрделі.
gravity	тартылыс күші	Тартылыс күші заттарды Жерге тартады.
grid	тор	Картада қарапайым тор қолданылады.
grief	қайғы	Қайғы оның бүкіл отбасын өзгертті.
grin	жымию	Бала кең жымиды.
grind	ұнтақтау	Жұмысшылар күн сайын таңертең бұршақтарды ұнтақтайды.
grip	ұстау	Арқанды мықтап ұстаңыз.
gross	жалпы	Жалпы кіріс күрт өсті.
guerrilla	партизан	Партизан жауынгерлері төбелерде жасырынды.
guidance	басшылық	Нұсқаулық практикалық басшылық береді.
guilt	кінә	Ол өтірік айтқаннан кейін өзін кінәлі сезінді.
gut	ішкі түйсік	Қиын таңдау кезінде ішкі түйсігіңізге сеніңіз.
hail	мадақтау	Ауыл тұрғындары дәрігерді батыр ретінде мадақтайды.
halfway	жарты жол	Біз төбенің орта жолында тоқтадық.
halt	тоқтау	Пойыз кенеттен тоқтады.
handful	аздаған	Аздаған еріктілер кешке дейін қалды.
handling	қолдану	Дұрыс қолдану зақымданудың алдын алады.
handy	ыңғайлы	Бұл құрал жөндеуге ыңғайлы.
harassment	қудалау	Компания қудалау туралы шағымдарды тексерді.
hardware	жабдық	Дүкен компьютерлік жабдықтарды сатады.
harmony	үйлесімділік	Хор тамаша үйлесімділікте ән айтты.
harsh	қатал	Судья қатал үкім шығарды.
harvest	егін	Егін жинау қыркүйекте басталады.
haunt	маза бермеу	Бұл естелік оған маза бермеді.
hazard	қауіп	Мұз - жолдағы үлкен қауіп.
heighten	күшейту	Бұл сөз шиеленісті күшейтуі мүмкін.
heritage	мұра	Қамал - жергілікті мұраның бір бөлігі.
hierarchy	иерархия	Кеңсе иерархиясы нақты анықталған.
high-profile	аты шулы	Аты шулы сот процесі тілшілерді тартты.
hint	тұспал	Ол маған пайдалы кеңес берді.
homeland	отан	Ол туған жеріне оралды.
hopeful	үмітті	Дәрігерлердің сауығуға үміті зор.
horizon	көкжиек	Күн көкжиектен асып кетті.
horn	дабыл	Көлік дабылы бәрін оятты.
hostage	кепілге алынған адам	Кепілге алынған адам үйіне оралды.
hostile	дұшпандық	Жиналған қауым дұшпандық танытты.
hostility	жауласу	Ашық дұшпандық келіссөздерді аяқтады.
humanitarian	гуманитарлық	Гуманитарлық миссия азық-түлік жеткізді.
humanity	адамзат	Адамзат ортақ қиындықтармен бетпе-бет келеді.
humble	қарапайым	Ол табыстан кейін де қарапайым қалды.
hydrogen	сутегі	Сутегі өте оңай жанады.
identification	сәйкестендіру	Кіреберісте жеке басты куәландыратын құжат қажет.
ideological	идеологиялық	Даудың идеологиялық тамыры болды.
ideology	идеология	Оның идеологиясы әр сөзін қалыптастырды.
idiot	ақымақ	Ешкімді ақымақ деп атамаңыз.
ignorance	надандық	Надандық үрей тудыруы мүмкін.
imagery	бейнелеу	Өлеңде айқын бейнелер қолданылады.
immense	орасан зор	Жоба орасан зор күшті талап етті.
imminent	таяп қалған	Дауыл таяп қалғандай көрінді.
implementation	іске асыру	Заңды іске асыру баяу жүрді.
imprison	түрмеге қамау	Режим сыншыларды түрмеге қамауға тырысты.
imprisonment	бас бостандығынан айыру	Оның бас бостандығынан айырылуы бес жылға созылды.
inability	қабілетсіздік	Оның зейінін шоғырландыра алмауы мұғалімдерді алаңдатты.
inadequate	жеткіліксіз	Баспананың жылытуы жеткіліксіз болды.
inappropriate	орынсыз	Оның әзілі орынсыз болды.
incidence	жиілік	Тұмаумен ауыру жиілігі өсті.
inclined	бейім	Ол келісуге бейім.
inclusion	инклюзия	Мектеп инклюзияны насихаттайды.
