source_headword	KK	example_KK
charge	төлем	Жеткізу үшін қосымша төлем бар.
cheat	алдау	Емтиханда алдауға болмайды.
cheerful	көңілді	Оның көңілді дауысы бөлмені жылытты.
chemical	химиялық зат	Зертханада қауіпті химиялық зат бар.
chest	кеуде	Жаттығудан кейін кеудем ауырды.
childhood	балалық шақ	Ол балалық шағын ауылда өткізді.
claim	талап	Компания оның талабын тексерді.
clause	тармақ	Шарттағы соңғы тармақты оқы.
click	шерту	Сілтемені бір рет шерт.
client	клиент	Клиент құжатқа қол қойды.
cloth	мата	Үстелді жұмсақ матамен сүрт.
clue	тұспал	Бұл тұспал жауапқа жақындатты.
coal	көмір	Пешке көмір салынды.
coin	тиын	Бала жерден тиын тапты.
collection	жинақ	Оның марка жинағы үлкен.
coloured	түсті	Қорапта түсті қарындаштар бар.
combine	біріктіру	Екі топ күшін біріктірді.
commercial	коммерциялық	Бұл коммерциялық жоба емес.
commit	міндеттену	Ол жобаны аяқтауға міндеттенді.
communication	байланыс	Жақсы байланыс жұмысты жеңілдетеді.
comparison	салыстыру	Салыстыру айырмашылықты көрсетті.
competitive	бәсекелі	Нарық өте бәсекелі болды.
competitor	бәсекелес	Жаңа бәсекелес бағасын түсірді.
complaint	шағым	Клиент шағым жазды.
complex	күрделі	Мәселе өте күрделі көрінді.
concentrate	зейін қою	Сабақта зейін қою қиын болды.
conclude	қорытындылау	Мұғалім талқылауды қорытындылады.
conclusion	қорытынды	Оның қорытындысы қисынды болды.
confident	сенімді	Ол жауап берерде сенімді көрінді.
confirm	растау	Кездесуді хатпен раста.
confuse	шатастыру	Ұқсас атаулар адамдарды шатастырады.
confused	абдыраған	Оқушы жаңа ережеден абдырады.
connection	байланыс	Интернет байланысы әлсіз болды.
consequence	салдар	Бұл шешімнің салдары ауыр.
consist	тұру	Команда бес адамнан тұрады.
consume	тұтыну	Бұл көлік аз отын тұтынады.
consumer	тұтынушы	Тұтынушы сапалы өнім күтеді.
contact	байланыс	Қажет болса, менімен байланыс жаса.
container	контейнер	Тағамды жабық контейнерге сал.
content1	мазмұн	Мақаланың мазмұны пайдалы.
continuous	үздіксіз	Үздіксіз жаңбыр жолды жапты.
contrast	қарама-қарсылық	Екі суретте айқын қарама-қарсылық бар.
convenient	ыңғайлы	Бұл аялдама бізге ыңғайлы.
convince	сендіру	Ол топты жаңа жоспарға сендірді.
costume	костюм	Бала мерекеге костюм киді.
cottage	шағын үй	Олар көл жанынан шағын үй жалдады.
cotton	мақта	Бұл жейде мақтадан тігілген.
countryside	ауылдық жер	Демалыста ауылдық жерге бардық.
court	сот	Іс сотта қаралды.
covered	жабылған	Үстел ақ матамен жабылған.
cruel	қатыгез	Қатыгез сөздер оны ренжітті.
cultural	мәдени	Қалада мәдени шаралар көп.
currency	валюта	Сапар алдында валютаны ауыстыр.
current	ағымдағы	Ағымдағы баға тым жоғары.
currently	қазір	Қазір біз жаңа кеңседе жұмыс істейміз.
curtain	перде	Пердені кешке жап.
custom	әдет-ғұрып	Бұл көне әдет-ғұрып әлі сақталған.
damage	зақым	Дауыл шатырға зақым келтірді.
decade	онжылдық	Соңғы онжылдықта қала өсті.
decorate	безендіру	Біз бөлмені гүлдермен безендірдік.
define	анықтау	Ережені анықтау керек.
definite	нақты	Маған нақты жауап керек.
definition	анықтама	Сөздің анықтамасын дәптерге жаз.
deliver	жеткізу	Дүкен тапсырысты кешке жеткізеді.
departure	кету	Ұшақтың кетуі кешікті.
despite	қарамастан	Жаңбырға қарамастан, біз шықтық.
destination	баратын жер	Біздің баратын жеріміз алыс емес.
determine	анықтау	Тексеру себепті анықтайды.
determined	табанды	Ол мақсатқа жетуге табанды болды.
development	даму	Ауылдың дамуы жылдам жүрді.
diagram	диаграмма	Диаграмма процесті анық көрсетеді.
diamond	гауһар	Сақинада кішкентай гауһар бар.
difficulty	қиындық	Ол тапсырмада қиындық көрді.
directly	тікелей	Үйге тікелей бар.
dirt	кір	Аяқ киімде кір қалды.
disadvantage	кемшілік	Бұл әдістің бір кемшілігі бар.
disappointed	көңілі қалған	Ол нәтижеден көңілі қалды.
disappointing	көңіл қалдыратын	Ойын көңіл қалдыратын болды.
discount	жеңілдік	Дүкен студенттерге жеңілдік береді.
dislike	ұнатпау	Мен қатты шуды ұнатпаймын.
divide	бөлу	Тортты алты бөлікке бөл.
documentary	деректі фильм	Біз табиғат туралы деректі фильм көрдік.
donate	қайырымдылық жасау	Олар мектепке кітап қайырымдылық жасады.
doubt	күмән	Менде бұл жоспарға күмән бар.
dressed	киінген	Ол мерекеге әдемі киінген.
drum	барабан	Бала барабанды қатты соқты.
drunk	мас	Мас жүргізуші жолға шықпады.
due	тиісті	Есеп ертең тапсырылуы тиіс.
dust	шаң	Сөренің үстінде шаң жиналды.
duty	міндет	Балаларды қорғау біздің міндетіміз.
earthquake	жер сілкінісі	Жер сілкінісі түнде болды.
eastern	шығыс	Шығыс жағалауда жел күшті.
economic	экономикалық	Экономикалық жағдай жақсарып келеді.
economy	экономика	Ел экономикасы баяу өсті.
edge	шет	Үстелдің шетіне отырма.
editor	редактор	Редактор мәтінді қысқартты.
educate	оқыту	Мектеп балаларды оқытады.
educated	білімді	Білімді адам көп сұрақ қояды.
educational	білім беру	Бұл білім беру бағдарламасы пайдалы.
effective	тиімді	Бұл әдіс өте тиімді болды.
effectively	тиімді түрде	Команда тиімді түрде жұмыс істеді.
effort	күш-жігер	Оның күш-жігері нәтиже берді.
election	сайлау	Сайлау келесі айда өтеді.
element	элемент	Су маңызды элемент болып табылады.
embarrassed	ұялған	Ол қатесінен ұялды.
embarrassing	ыңғайсыз	Бұл өте ыңғайсыз сәт болды.
emergency	төтенше жағдай	Төтенше жағдайда осы нөмірге хабарлас.
emotion	эмоция	Ол эмоциясын жасыра алмады.
employment	жұмыспен қамту	Аймақта жұмыспен қамту артты.
encourage	жігерлендіру	Мұғалім оқушыларды жігерлендірді.
enemy	жау	Ескі жау бейбітшілік ұсынды.
engaged	атастырылған	Олар өткен аптада атастырылды.
engineering	инженерия	Инженерия сабағы қиын болды.
entertain	көңіл көтеру	Музыканттар қонақтардың көңілін көтерді.
entertainment	ойын-сауық	Қалада кешкі ойын-сауық көп.
entrance	кіреберіс	Кіреберіс сол жақта.
entry	кіру	Мұражайға кіру тегін.
environmental	экологиялық	Экологиялық мәселе бәрімізге әсер етеді.
episode	бөлім	Жаңа бөлім бүгін шығады.
equal	тең	Екі команда тең ұпай алды.
equally	тең дәрежеде	Барлық оқушы тең дәрежеде маңызды.
escape	қашу	Тұтқын терезеден қашуға тырысты.
essential	маңызды	Су өмір үшін маңызды.
eventually	ақырында	Ақырында олар дұрыс жолды тапты.
examine	тексеру	Дәрігер науқасты мұқият тексерді.
exchange	айырбастау	Біз дүкенде көйлекті айырбастадық.
excitement	қуаныш	Балалардың қуанышы анық көрінді.
exhibition	көрме	Көрме жексенбіге дейін ашық.
expand	кеңейту	Компания қызметін кеңейтуді жоспарлайды.
expected	күтілетін	Күтілетін нәтиже жақсы болды.
expedition	экспедиция	Экспедиция тауға қарай шықты.
experienced	тәжірибелі	Тәжірибелі дәрігер тез шешім қабылдады.
explode	жарылу	Ескі құбыр кенет жарылды.
explore	зерттеу	Балалар үңгірді зерттеді.
explosion	жарылыс	Жарылыс алыстан естілді.
export	экспорттау	Зауыт бидайды экспорттайды.
fairly	әділ түрде	Төреші ойынды әділ түрде басқарды.
familiar	таныс	Бұл дауыс маған таныс.
fancy	сәнді	Олар сәнді мейрамханада кездесті.
fascinating	қызықты	Дәріс өте қызықты болды.
fashionable	сәнді	Бұл күрте қазір сәнді.
fasten	бекіту	Қауіпсіздік белдігін бекіт.
favour	жақсылық	Маған кішкентай жақсылық жасай аласың ба?
fence	қоршау	Бақтың айналасында қоршау бар.
fighting	ұрыс	Көшедегі ұрыс тез тоқтады.
file	файл	Файлды қазір аш.
financial	қаржылық	Қаржылық есеп дайын болды.
fitness	дене дайындығы	Дене дайындығы денсаулыққа пайдалы.
fixed	бекітілген	Баға бір жылға бекітілген.
flag	ту	Ту ғимарат алдында желбіреді.
flood	су тасқыны	Су тасқыны көпірді жапты.
flour	ұн	Нанға екі кесе ұн керек.
flow	ағу	Өзен баяу ағып жатыр.
fold	бүктеу	Хатты мұқият бүкте.
folk	халықтық	Халықтық ән кеште айтылды.
force	күш	Есікті күшпен ашпа.
forever	мәңгі	Бұл естелік мәңгі қалады.
frame	жақтау	Сурет әдемі жақтауда тұр.
freeze	қату	Су түнде қатып қалды.
frequently	жиі	Ол бұл сөзді жиі қолданады.
friendship	достық	Олардың достығы мектептен басталды.
frighten	қорқыту	Қатты дыбыс баланы қорқытты.
frightened	қорыққан	Қорыққан бала анасына жүгірді.
frightening	қорқынышты	Түнгі дыбыс қорқынышты болды.
frozen	мұздатылған	Мұздатылған көкөніс арзан болды.
fry	қуыру	Пиязды майға қуыру керек.
fuel	отын	Көлікке отын құйдық.
function	қызмет	Бұл батырманың қызметі қарапайым.
fur	жүн	Мысықтың жүні жұмсақ.
garage	гараж	Көлік гаражда тұр.
gather	жиналу	Адамдар алаңға жиналды.
generally	жалпы	Жалпы, нәтиже жақсы.
generation	ұрпақ	Жаңа ұрпақ технологияны тез үйренеді.
generous	жомарт	Жомарт көрші бізге көмектесті.
gentle	жұмсақ	Оның дауысы жұмсақ еді.
gentleman	мырза	Мырза есікті ашып берді.
ghost	елес	Балалар ескі үйде елес көрдік деді.
giant	алып	Алып ағаш жолдың жанында өседі.
glad	қуанышты	Мен сені көргеніме қуаныштымын.
global	жаһандық	Бұл жаһандық мәселе.
glove	қолғап	Суықта қолғап ки.
goods	тауарлар	Дүкен жаңа тауарлар әкелді.
grade	баға	Ол емтиханнан жақсы баға алды.
graduate	түлек	Жас түлек жұмыс іздеп жүр.
grain	дән	Қапта бидай дәні бар.
grateful	риза	Мен көмегіңе ризамын.
growth	өсу	Компанияның өсуі тұрақты.
guard	күзетші	Күзетші есік алдында тұрды.
guilty	кінәлі	Сот оны кінәлі деп тапты.
hang	ілу	Пальтоны ілгішке іл.
happiness	бақыт	Отбасы оған бақыт сыйлайды.
hardly	әрең	Мен оны әрең таныдым.
headline	тақырып	Газеттің тақырыбы үлкен болды.
heating	жылыту	Қыста жылыту жүйесі маңызды.
heavily	қатты	Кеше жаңбыр қатты жауды.
helicopter	тікұшақ	Тікұшақ таудан ұшып өтті.
highlight	ерекшелеп көрсету	Маңызды жолды ерекшеле.
highly	жоғары деңгейде	Бұл кітап жоғары деңгейде бағаланады.
hire	жалдау	Біз бір күнге көлік жалдадық.
historic	тарихи маңызы бар	Бұл тарихи маңызы бар ғимарат.
historical	тарихи	Ол тарихи фильм көрді.
honest	адал	Адал жауап сенім тудырады.
horrible	сұмдық	Иіс өте сұмдық болды.
horror	үрей	Фильм көрерменге үрей сыйлады.
host	қожайын	Қожайын қонақтарды жылы қарсы алды.
