hsk_key	source_word	simplified	MY	example_MY	KM	example_KM	LO	example_LO	NE	example_NE
320:出去	出去	出去	အပြင်သွားသည်	အပြင်သွားပြီး လမ်းလျှောက်ချင်တယ်။	ចេញទៅក្រៅ	ខ្ញុំចង់ចេញទៅដើរលេង។	ອອກໄປ	ຂ້ອຍຢາກອອກໄປຍ່າງຫຼິ້ນ.	बाहिर जानु	म बाहिर हिँड्न जान चाहन्छु।
321:床	床	床	အိပ်ရာ	အိပ်ရာက အခန်းထဲမှာ ရှိတယ်။	គ្រែ	គ្រែនៅក្នុងបន្ទប់។	ຕຽງ	ຕຽງຢູ່ໃນຫ້ອງ.	ओछ्यान	ओछ्यान कोठामा छ।
322:词	词	词	စကားလုံး	ဒီစကားလုံးကို နားမလည်ဘူး။	ពាក្យ	ខ្ញុំមិនយល់ពាក្យនេះទេ។	ຄຳສັບ	ຂ້ອຍບໍ່ເຂົ້າໃຈຄຳສັບນີ້.	शब्द	म यो शब्द बुझ्दिनँ।
325:从小	从小	从小	ငယ်ငယ်ကတည်းက	ငယ်ငယ်ကတည်းက ပန်းချီဆွဲရတာ ကြိုက်တယ်။	តាំងពីតូច	ខ្ញុំចូលចិត្តគូររូបតាំងពីតូច។	ຕັ້ງແຕ່ນ້ອຍ	ຂ້ອຍມັກແຕ້ມຮູບຕັ້ງແຕ່ນ້ອຍ.	सानैदेखि	मलाई सानैदेखि चित्र कोर्न मन पर्छ।
327:打1	打1	打	ဖုန်းခေါ်သည်	အဖေ့ကို ဖုန်းခေါ်တယ်။	ទូរស័ព្ទទៅ	ខ្ញុំទូរស័ព្ទទៅឪពុក។	ໂທຫາ	ຂ້ອຍໂທຫາພໍ່.	फोन गर्नु	म बुबालाई फोन गर्छु।
328:打车	打车	打车	တက္ကစီစီးသည်	လေဆိပ်ကို တက္ကစီနဲ့ သွားတယ်။	ជិះតាក់ស៊ី	យើងជិះតាក់ស៊ីទៅព្រលានយន្តហោះ។	ຂຶ້ນແທັກຊີ	ພວກເຮົາຂຶ້ນແທັກຊີໄປສະໜາມບິນ.	ट्याक्सी लिनु	हामी ट्याक्सी लिएर विमानस्थल जान्छौँ।
329:打开	打开	打开	ဖွင့်သည်	စာအုပ်ကို ဖွင့်ပါ။	បើក	សូមបើកសៀវភៅ។	ເປີດ	ກະລຸນາເປີດປຶ້ມ.	खोल्नु	कृपया किताब खोल।
330:但	但	但	ဒါပေမဲ့	ကျွန်တော် အလုပ်များပေမဲ့ ပျော်တယ်။	ប៉ុន្តែ	ខ្ញុំរវល់ ប៉ុន្តែខ្ញុំសប្បាយចិត្ត។	ແຕ່	ຂ້ອຍຫຍຸ້ງ, ແຕ່ຂ້ອຍດີໃຈ.	तर	म व्यस्त छु, तर खुशी छु।
338:动	动	动	လှုပ်သည်	မလှုပ်နဲ့။	កម្រើក; ផ្លាស់ទី	កុំកម្រើក។	ຂະຫຍັບ	ຢ່າຂະຫຍັບ.	चल्नु; हल्लिनु	नचल।
340:飞	飞	飞	ပျံသည်	ငှက်က မိုးကောင်းကင်မှာ ပျံနေတယ်။	ហោះ	បក្សីហោះនៅលើមេឃ។	ບິນ	ນົກບິນຢູ່ເທິງຟ້າ.	उड्नु	चरा आकाशमा उडिरहेको छ।
342:高中	高中	高中	အထက်တန်းကျောင်း	အစ်ကိုက အထက်တန်းကျောင်းမှာ တက်နေတယ်။	វិទ្យាល័យ	បងប្រុសខ្ញុំរៀននៅវិទ្យាល័យ។	ໂຮງຮຽນມັດທະຍົມປາຍ	ອ້າຍຂອງຂ້ອຍຮຽນຢູ່ໂຮງຮຽນມັດທະຍົມປາຍ.	माध्यमिक विद्यालय	मेरो दाइ माध्यमिक विद्यालयमा पढ्छ।
346:公交车	公交车	公交车	ဘတ်စ်ကား	ကျောင်းကို ဘတ်စ်ကားနဲ့ သွားတယ်။	ឡានក្រុង	ខ្ញុំជិះឡានក្រុងទៅសាលា។	ລົດເມ	ຂ້ອຍຂຶ້ນລົດເມໄປໂຮງຮຽນ.	बस	म बस चढेर विद्यालय जान्छु।
348:过来	过来	过来	ဒီဘက်လာသည်	ခဏ ဒီဘက်လာပါ။	មកនេះ	សូមមកនេះបន្តិច។	ມານີ້	ກະລຸນາມານີ້ສັກຄູ່.	यता आउनु	कृपया एकछिन यता आऊ।
349:过年	过年	过年	နှစ်သစ်ကူးကျင်းပသည်	နှစ်သစ်ကူးကျင်းပဖို့ အိမ်ပြန်တယ်။	អបអរឆ្នាំថ្មី	យើងត្រឡប់ទៅផ្ទះដើម្បីអបអរឆ្នាំថ្មី។	ສະຫຼອງປີໃໝ່	ພວກເຮົາກັບບ້ານໄປສະຫຼອງປີໃໝ່.	नयाँ वर्ष मनाउनु	हामी नयाँ वर्ष मनाउन घर फर्कन्छौँ।
353:黑色	黑色	黑色	အနက်ရောင်	အနက်ရောင်ကျောင်းလွယ်အိတ်က အိပ်ရာပေါ်မှာ ရှိတယ်။	ពណ៌ខ្មៅ	កាបូបសាលាពណ៌ខ្មៅនៅលើគ្រែ។	ສີດຳ	ກະເປົານັກຮຽນສີດຳຢູ່ເທິງຕຽງ.	कालो रङ	कालो स्कुल झोला ओछ्यानमा छ।
354:红茶	红茶	红茶	အနက်ရောင်လက်ဖက်ရည်	အမေက အနက်ရောင်လက်ဖက်ရည် သောက်ရတာ ကြိုက်တယ်။	តែខ្មៅ	ម៉ាក់ចូលចិត្តផឹកតែខ្មៅ។	ຊາດຳ	ແມ່ມັກດື່ມຊາດຳ.	कालो चिया	आमालाई कालो चिया पिउन मन पर्छ।
355:红色	红色	红色	အနီရောင်	ကျွန်တော့်မှာ အနီရောင်အဝတ်တစ်ထည် ရှိတယ်။	ពណ៌ក្រហម	ខ្ញុំមានសម្លៀកបំពាក់ពណ៌ក្រហមមួយ។	ສີແດງ	ຂ້ອຍມີເສື້ອຜ້າສີແດງໜຶ່ງຊຸດ.	रातो रङ	मसँग एउटा रातो लुगा छ।
361:回来	回来	回来	ပြန်လာသည်	သူ ညနေ ပြန်လာမယ်။	ត្រឡប់មកវិញ	គាត់ត្រឡប់មកវិញនៅពេលល្ងាច។	ກັບມາ	ລາວຈະກັບມາຕອນແລງ.	फर्केर आउनु	ऊ साँझ फर्केर आउँछ।
362:回去	回去	回去	ပြန်သွားသည်	အတန်းပြီးရင် ပြန်သွားမယ်။	ត្រឡប់ទៅវិញ	ខ្ញុំត្រឡប់ទៅវិញបន្ទាប់ពីថ្នាក់។	ກັບໄປ	ຂ້ອຍກັບໄປຫຼັງເລີກຮຽນ.	फर्केर जानु	कक्षा पछि म फर्केर जान्छु।
364:机票	机票	机票	လေယာဉ်လက်မှတ်	လေယာဉ်လက်မှတ်တစ်စောင် ဝယ်ခဲ့တယ်။	សំបុត្រយន្តហោះ	ខ្ញុំបានទិញសំបុត្រយន្តហោះមួយ។	ປີ້ຍົນ	ຂ້ອຍຊື້ປີ້ຍົນໜຶ່ງໃບ.	हवाई टिकट	मैले एउटा हवाई टिकट किनेँ।
366:间	间	间	အခန်းများအတွက် ရေတွက်စကားလုံး	ဒါက စာသင်ခန်းတစ်ခန်းပါ။	ពាក្យរាប់សម្រាប់បន្ទប់	នេះជាបន្ទប់រៀនមួយ។	ລັກສະນະນາມສຳລັບຫ້ອງ	ນີ້ແມ່ນຫ້ອງຮຽນໜຶ່ງຫ້ອງ.	कोठाका लागि वर्गसूचक	यो एउटा कक्षा कोठा हो।
372:进来	进来	进来	ဝင်လာသည်	ဝင်လာပါ။	ចូលមក	សូមចូលមក។	ເຂົ້າມາ	ກະລຸນາເຂົ້າມາ.	भित्र आउनु	कृपया भित्र आउनुहोस्।
373:进去	进去	进去	ဝင်သွားသည်	ဝင်ကြစို့။	ចូលទៅក្នុង	យើងចូលទៅក្នុងទៅ។	ເຂົ້າໄປ	ພວກເຮົາເຂົ້າໄປກັນ.	भित्र जानु	भित्र जाऔँ।
375:酒店	酒店	酒店	ဟိုတယ်	ဟိုတယ်က လေဆိပ်နဲ့ အရမ်းနီးတယ်။	សណ្ឋាគារ	សណ្ឋាគារនៅជិតព្រលានយន្តហោះណាស់។	ໂຮງແຮມ	ໂຮງແຮມຢູ່ໃກ້ສະໜາມບິນຫຼາຍ.	होटल	होटल विमानस्थलको धेरै नजिक छ।
379:开学	开学	开学	ကျောင်းစသည်	မနက်ဖြန် ကျောင်းစမယ်။	ចូលរៀនវិញ; បើកសាលា	ស្អែកសាលាចាប់ផ្តើម។	ເປີດຮຽນ	ມື້ອື່ນເປີດຮຽນ.	विद्यालय सुरु हुनु	भोलि विद्यालय सुरु हुन्छ।
380:考	考	考	စာမေးပွဲဖြေသည်; စစ်ဆေးသည်	မနက်ဖြန် တရုတ်စာ စာမေးပွဲ ရှိတယ်။	ប្រឡង; តេស្ត	ស្អែកខ្ញុំមានប្រឡងភាសាចិន។	ສອບເສັງ; ທົດສອບ	ມື້ອື່ນຂ້ອຍມີສອບພາສາຈີນ.	परीक्षा दिनु; जाँच्नु	भोलि मेरो चिनियाँ भाषाको परीक्षा छ।
386:快要	快要	快要	မကြာခင်; နီးပါး	ရထား မကြာခင် ရောက်တော့မယ်။	ជិតនឹង; មិនយូរទៀត	រថភ្លើងជិតមកដល់ហើយ។	ໃກ້ຈະ; ເກືອບ	ລົດໄຟໃກ້ຈະມາຮອດແລ້ວ.	चाँडै; करिब	रेल चाँडै आइपुग्छ।
387:篮球	篮球	篮球	ဘတ်စကက်ဘော	ဘတ်စကက်ဘောကစားရတာ ကြိုက်တယ်။	បាល់បោះ	ខ្ញុំចូលចិត្តលេងបាល់បោះ។	ບານບ້ວງ	ຂ້ອຍມັກຫຼິ້ນບານບ້ວງ.	बास्केटबल	मलाई बास्केटबल खेल्न मन पर्छ।
390:里面	里面	里面	အထဲ; အတွင်း	စာအုပ်က ကျောင်းလွယ်အိတ်အထဲမှာ ရှိတယ်။	ខាងក្នុង	សៀវភៅនៅក្នុងកាបូបសាលា។	ຂ້າງໃນ	ປຶ້ມຢູ່ໃນກະເປົານັກຮຽນ.	भित्र	किताब स्कुल झोलाभित्र छ।
393:路上	路上	路上	လမ်းမှာ; လမ်းပေါ်မှာ	ကျွန်တော် လမ်းမှာ ရှိတယ်။	តាមផ្លូវ; នៅលើផ្លូវ	ខ្ញុំកំពុងនៅតាមផ្លូវ។	ລະຫວ່າງທາງ	ຂ້ອຍຢູ່ລະຫວ່າງທາງ.	बाटोमा	म बाटोमा छु।
395:绿茶	绿茶	绿茶	လက်ဖက်စိမ်းရည်	အဖေက လက်ဖက်စိမ်းရည် သောက်ရတာ ကြိုက်တယ်။	តែបៃតង	ប៉ាចូលចិត្តផឹកតែបៃតង។	ຊາຂຽວ	ພໍ່ມັກດື່ມຊາຂຽວ.	हरियो चिया	बुबालाई हरियो चिया पिउन मन पर्छ।
396:绿色	绿色	绿色	အစိမ်းရောင်	ဒီခွက်က အစိမ်းရောင်ပါ။	ពណ៌បៃតង	ពែងនេះពណ៌បៃតង។	ສີຂຽວ	ຈອກນີ້ເປັນສີຂຽວ.	हरियो रङ	यो कप हरियो छ।
398:没意思	没意思	没意思	စိတ်မဝင်စားစရာ; ပျင်းစရာ	ဒီရုပ်ရှင်က ပျင်းစရာကောင်းတယ်။	ធុញ; មិនគួរឱ្យចាប់អារម្មណ៍	ភាពយន្តនេះធុញ។	ນ່າເບື່ອ; ບໍ່ນ່າສົນໃຈ	ຮູບເງົານີ້ນ່າເບື່ອ.	झ्याउलाग्दो; रोचक छैन	यो फिल्म झ्याउलाग्दो छ।
401:门口	门口	门口	တံခါးဝ; ဝင်ပေါက်	ကျောင်းဝင်ပေါက်မှာ မင်းကို စောင့်နေတယ်။	មាត់ទ្វារ; ច្រកចូល	ខ្ញុំរង់ចាំអ្នកនៅច្រកចូលសាលា។	ປາກປະຕູ; ທາງເຂົ້າ	ຂ້ອຍລໍຖ້າເຈົ້າຢູ່ທາງເຂົ້າໂຮງຮຽນ.	ढोकामुख; प्रवेशद्वार	म तिमीलाई विद्यालयको प्रवेशद्वारमा पर्खिरहेको छु।
402:门票	门票	门票	ဝင်ခွင့်လက်မှတ်	ဝင်ခွင့်လက်မှတ်က မဈေးကြီးဘူး။	សំបុត្រចូល	សំបុត្រចូលមិនថ្លៃទេ។	ປີ້ເຂົ້າ	ປີ້ເຂົ້າບໍ່ແພງ.	प्रवेश टिकट	प्रवेश टिकट महँगो छैन।
403:面1	面1	面	ဘက်; မျက်နှာပြင်; နေရာပြ နောက်ဆက်	အပြင်မှာ မိုးရွာနေတယ်။	ខាង; ផ្ទៃ; បច្ច័យទីតាំង	ខាងក្រៅកំពុងភ្លៀង។	ດ້ານ; ພື້ນຜິວ; ປັດໄຈບອກບ່ອນ	ຂ້າງນອກຝົນຕົກ.	पट्टि; सतह; ठाउँ जनाउने प्रत्यय	बाहिर पानी परिरहेको छ।
404:名	名	名	လူအတွက် ရေတွက်စကားလုံး	ဒါက ဆရာတစ်ယောက်ပါ။	ពាក្យរាប់សម្រាប់មនុស្ស	នេះជាគ្រូម្នាក់។	ລັກສະນະນາມສຳລັບຄົນ	ນີ້ແມ່ນຄູຄົນໜຶ່ງ.	मानिसका लागि वर्गसूचक	यो एक शिक्षक हो।
406:那么	那么	那么	အဲဒီလောက်; အဲဒီလို	သူ အဲဒီလောက် အလုပ်မများဘူး။	ដូច្នោះ; ខ្លាំងដូច្នោះ	គាត់មិនរវល់ដូច្នោះទេ។	ຂະໜາດນັ້ນ; ແບບນັ້ນ	ລາວບໍ່ໄດ້ຫຍຸ້ງຂະໜາດນັ້ນ.	त्यति; त्यसरी	ऊ त्यति व्यस्त छैन।
407:那样	那样	那样	အဲဒီလို; အဲဒီပုံစံ	အဲဒီလို မပြောနဲ့။	ដូចនោះ; របៀបនោះ	កុំនិយាយដូចនោះ។	ແບບນັ້ນ	ຢ່າເວົ້າແບບນັ້ນ.	त्यसरी; त्यो तरिका	त्यसरी नभन।
408:奶茶	奶茶	奶茶	နို့လက်ဖက်ရည်	နို့လက်ဖက်ရည် သောက်ချင်တယ်။	តែទឹកដោះគោ	ខ្ញុំចង់ផឹកតែទឹកដោះគោ។	ຊານົມ	ຂ້ອຍຢາກດື່ມຊານົມ.	दूध चिया	म दूध चिया पिउन चाहन्छु।
410:男孩儿	男孩儿	男孩儿	ကောင်လေး	အဲဒီကောင်လေး ပြေးနေတယ်။	ក្មេងប្រុស	ក្មេងប្រុសនោះកំពុងរត់។	ເດັກຊາຍ	ເດັກຊາຍຄົນນັ້ນກຳລັງແລ່ນ.	केटा	त्यो केटा दौडिरहेको छ।
412:女孩儿	女孩儿	女孩儿	ကောင်မလေး	အဲဒီကောင်မလေးက ကရတာ ကြိုက်တယ်။	ក្មេងស្រី	ក្មេងស្រីនោះចូលចិត្តរាំ។	ເດັກຍິງ	ເດັກຍິງຄົນນັ້ນມັກເຕັ້ນ.	केटी	त्यो केटी नाच्न मन पराउँछे।
414:跑	跑	跑	ပြေးသည်	သူ အရမ်းမြန်မြန် ပြေးတယ်။	រត់	គាត់រត់លឿនណាស់។	ແລ່ນ	ລາວແລ່ນໄວຫຼາຍ.	दौडनु	ऊ धेरै छिटो दौडन्छ।
421:球	球	球	ဘောလုံး	ဒီဘောလုံးက အနီရောင်ပါ။	បាល់	បាល់នេះពណ៌ក្រហម។	ບານ	ບານນີ້ເປັນສີແດງ.	बल	यो बल रातो छ।
423:肉	肉	肉	အသား	ကျွန်တော် အသားမစားဘူး။	សាច់	ខ្ញុំមិនញ៉ាំសាច់ទេ។	ຊີ້ນ	ຂ້ອຍບໍ່ກິນຊີ້ນ.	मासु	म मासु खान्नँ।
424:商场	商场	商场	ကုန်တိုက်	ကုန်တိုက်ထဲမှာ လူအများကြီး ရှိတယ်။	ផ្សារទំនើប	នៅក្នុងផ្សារទំនើបមានមនុស្សច្រើន។	ສູນການຄ້າ	ຢູ່ໃນສູນການຄ້າມີຄົນຫຼາຍ.	सपिङ मल	सपिङ मलमा धेरै मानिस छन्।
425:上来	上来	上来	အပေါ်လာသည်	အပေါ်လာပါ။	ឡើងមក	សូមឡើងមក។	ຂຶ້ນມາ	ກະລຸນາຂຶ້ນມາ.	माथि आउनु	कृपया माथि आऊ।
426:上面	上面	上面	အပေါ်; အပေါ်ပိုင်း	စာအုပ်က စားပွဲပေါ်မှာ ရှိတယ်။	ខាងលើ; លើ	សៀវភៅនៅលើតុ។	ຂ້າງເທິງ; ເທິງ	ປຶ້ມຢູ່ເທິງໂຕະ.	माथि; माथिल्लो भाग	किताब टेबलमाथि छ।
427:上去	上去	上去	အပေါ်သွားသည်	အပေါ်သွားပြီး ကြည့်ကြစို့။	ឡើងទៅ	យើងឡើងទៅមើលគ្នា។	ຂຶ້ນໄປ	ພວກເຮົາຂຶ້ນໄປເບິ່ງກັນ.	माथि जानु	माथि गएर हेरौँ।
431:时	时	时	အချိန်; အဲဒီအချိန်	အဲဒီအချိန်မှာ ကျောင်းမှာ ရှိတယ်။	ពេល; ពេលនោះ	ពេលនោះខ្ញុំនៅសាលា។	ເວລາ; ຕອນນັ້ນ	ຕອນນັ້ນຂ້ອຍຢູ່ໂຮງຮຽນ.	समय; त्यस बेला	त्यस बेला म विद्यालयमा थिएँ।
433:手	手	手	လက်	ကျွန်တော့်လက်တွေ အေးတယ်။	ដៃ	ដៃខ្ញុំត្រជាក់។	ມື	ມືຂອງຂ້ອຍເຢັນ.	हात	मेरा हात चिसा छन्।
435:书包	书包	书包	ကျောင်းလွယ်အိတ်	ကျွန်တော့်ကျောင်းလွယ်အိတ်က ကြီးတယ်။	កាបូបសាលា	កាបូបសាលារបស់ខ្ញុំធំ។	ກະເປົານັກຮຽນ	ກະເປົານັກຮຽນຂອງຂ້ອຍໃຫຍ່.	स्कुल झोला	मेरो स्कुल झोला ठूलो छ।
438:虽然	虽然	虽然	သော်လည်း	မိုးရွာနေပေမဲ့ အပြင်ထွက်ရမယ်။	ទោះបីជា	ទោះបីភ្លៀងក៏ខ្ញុំត្រូវចេញក្រៅដែរ។	ເຖິງແມ່ນວ່າ	ເຖິງແມ່ນຝົນຕົກ, ຂ້ອຍຍັງຕ້ອງອອກໄປ.	यद्यपि	पानी परे पनि मलाई बाहिर जानुपर्छ।
441:踢	踢	踢	ခြေဖြင့်ကန်သည်	သူ ဘောလုံးကစားရတာ ကြိုက်တယ်။	ទាត់	គាត់ចូលចិត្តលេងបាល់ទាត់។	ເຕະ	ລາວມັກເຕະບານ.	लात हान्नु; खुट्टाले खेल्नु	उसलाई फुटबल खेल्न मन पर्छ।
445:头	头	头	ခေါင်း	ကျွန်တော် ခေါင်းကိုက်တယ်။	ក្បាល	ខ្ញុំឈឺក្បាល។	ຫົວ	ຂ້ອຍເຈັບຫົວ.	टाउको	मेरो टाउको दुखेको छ।
446:外国	外国	外国	နိုင်ငံခြား; ပြည်ပနိုင်ငံ	သူ နိုင်ငံခြားမှာ အလုပ်လုပ်တယ်။	ប្រទេសបរទេស	គាត់ធ្វើការនៅប្រទេសបរទេស។	ຕ່າງປະເທດ	ລາວເຮັດວຽກຢູ່ຕ່າງປະເທດ.	विदेश; विदेशी देश	ऊ विदेशमा काम गर्छ।
447:外面	外面	外面	အပြင်	အပြင်မှာ အေးတယ်။	ខាងក្រៅ	ខាងក្រៅត្រជាក់។	ຂ້າງນອກ	ຂ້າງນອກໜາວ.	बाहिर	बाहिर चिसो छ।
450:往	往	往	ဘက်သို့; သို့	ရှေ့ကို လမ်းလျှောက်ပါ။	ទៅកាន់; ឆ្ពោះទៅ	សូមដើរទៅមុខ។	ໄປທາງ; ມຸ່ງໄປ	ກະລຸນາຍ່າງໄປຂ້າງໜ້າ.	तर्फ	कृपया अगाडि हिँड्नुहोस्।
451:网上	网上	网上	အွန်လိုင်း; အင်တာနက်ပေါ်မှာ	စာအုပ်တွေကို အွန်လိုင်းမှာ ဝယ်တယ်။	លើអ៊ីនធឺណិត	ខ្ញុំទិញសៀវភៅលើអ៊ីនធឺណិត។	ອອນລາຍ; ຢູ່ໃນອິນເຕີເນັດ	ຂ້ອຍຊື້ປຶ້ມອອນລາຍ.	अनलाइन; इन्टरनेटमा	म अनलाइन किताब किन्छु।
452:忘	忘	忘	မေ့သည်	သူ့နာမည်ကို မေ့သွားတယ်။	ភ្លេច	ខ្ញុំភ្លេចឈ្មោះគាត់។	ລືມ	ຂ້ອຍລືມຊື່ຂອງລາວ.	बिर्सनु	मैले उसको नाम बिर्सिएँ।
458:下来	下来	下来	အောက်ဆင်းလာသည်	အောက်ဆင်းလာပါ။	ចុះមក	សូមចុះមក។	ລົງມາ	ກະລຸນາລົງມາ.	तल आउनु	कृपया तल आऊ।
459:下面	下面	下面	အောက်; အောက်ပိုင်း	ကြောင်က စားပွဲအောက်မှာ ရှိတယ်။	ខាងក្រោម; ក្រោម	ឆ្មានៅក្រោមតុ។	ຂ້າງລຸ່ມ; ໃຕ້	ແມວຢູ່ໃຕ້ໂຕະ.	तल; मुनि	बिरालो टेबलमुनि छ।
460:下去	下去	下去	အောက်သွားသည်	အောက်သွားကြစို့။	ចុះទៅ	យើងចុះទៅ។	ລົງໄປ	ພວກເຮົາລົງໄປກັນ.	तल जानु	तल जाऔँ।
461:小孩儿	小孩儿	小孩儿	ကလေး	ကလေးက ဘောလုံးနဲ့ ကစားနေတယ်။	ក្មេង	ក្មេងកំពុងលេងបាល់។	ເດັກນ້ອຍ	ເດັກນ້ອຍກຳລັງຫຼິ້ນບານ.	बालक; बच्चा	बच्चा बलसँग खेलिरहेको छ।
462:小时候	小时候	小时候	ငယ်ငယ်က; ကလေးဘဝမှာ	ငယ်ငယ်က ပေကျင်းမှာ နေခဲ့တယ်။	កាលពីក្មេង	កាលពីក្មេងខ្ញុំរស់នៅប៉េកាំង។	ຕອນນ້ອຍ; ໃນໄວເດັກ	ຕອນນ້ອຍຂ້ອຍຢູ່ປັກກິ່ງ.	बाल्यकालमा; सानो हुँदा	सानो हुँदा म बेइजिङमा बस्थेँ।
465:姓名	姓名	姓名	အမည်အပြည့်အစုံ	သင့်အမည်အပြည့်အစုံ ရေးပါ။	ឈ្មោះពេញ	សូមសរសេរឈ្មោះពេញរបស់អ្នក។	ຊື່ເຕັມ	ກະລຸນາຂຽນຊື່ເຕັມຂອງເຈົ້າ.	पूरा नाम	कृपया आफ्नो पूरा नाम लेख्नुहोस्।
469:药店	药店	药店	ဆေးဆိုင်	ဆေးဆိုင်က ဆေးရုံဘေးမှာ ရှိတယ်။	ឱសថស្ថាន	ឱសថស្ថាននៅក្បែរមន្ទីរពេទ្យ។	ຮ້ານຂາຍຢາ	ຮ້ານຂາຍຢາຢູ່ຂ້າງໂຮງໝໍ.	औषधि पसल	औषधि पसल अस्पतालको छेउमा छ।
477:游	游	游	ရေကူးသည်	ငါးက ရေထဲမှာ ရေကူးနေတယ်။	ហែលទឹក	ត្រីហែលក្នុងទឹក។	ລອຍນ້ຳ	ປາລອຍຢູ່ໃນນ້ຳ.	पौडिनु	माछा पानीमा पौडिरहेको छ।
479:有意思	有意思	有意思	စိတ်ဝင်စားစရာကောင်းသော	ဒီစာအုပ်က အရမ်းစိတ်ဝင်စားစရာကောင်းတယ်။	គួរឱ្យចាប់អារម្មណ៍	សៀវភៅនេះគួរឱ្យចាប់អារម្មណ៍ណាស់។	ນ່າສົນໃຈ	ປຶ້ມນີ້ນ່າສົນໃຈຫຼາຍ.	रोचक	यो किताब धेरै रोचक छ।
480:有时	有时	有时	တစ်ခါတစ်ရံ	တစ်ခါတစ်ရံ ကျောင်းကို ဘတ်စ်ကားနဲ့ သွားတယ်။	ពេលខ្លះ	ពេលខ្លះខ្ញុំជិះឡានក្រុងទៅសាលា។	ບາງຄັ້ງ	ບາງຄັ້ງຂ້ອຍຂຶ້ນລົດເມໄປໂຮງຮຽນ.	कहिलेकाहीँ	म कहिलेकाहीँ बस चढेर विद्यालय जान्छु।
