simplified	PL	example_PL
根据	według; na podstawie	Według mapy szkoła jest na wschodzie.
跟	z; za	Idę do parku z przyjacielem.
更	bardziej; jeszcze	Dzisiaj jest jeszcze zimniej niż wczoraj.
公斤	kilogram	Te jabłka ważą jeden kilogram.
公园	park publiczny	Dzieci bawią się w parku.
故事	historia; opowieść	Dziadek opowiada mi historię.
刮风	wiać; być wietrznie	Dzisiaj wieje wiatr, nie jedź rowerem.
关	zamykać; wyłączać	Proszę zamknąć drzwi.
关系	relacja; związek	Moja relacja z kolegą z pracy jest dobra.
关心	troszczyć się; interesować się	Mama bardzo troszczy się o moje zdrowie.
关于	o; dotyczący	Ta książka jest o kulturze chińskiej.
国家	kraj; państwo	Chiny to bardzo duży kraj.
过	partykuła doświadczenia; mieć za sobą	Byłem w Pekinie.
过去	przeszłość; dawniej	Dawniej nie było tu metra.
还是	czy; nadal	Pijesz herbatę czy kawę?
害怕	bać się	Nie boję się egzaminu.
黑板	tablica	Nauczyciel pisze znaki na tablicy.
后来	potem; później	Potem poszliśmy do parku.
护照	paszport	Proszę zabrać paszport.
96:花	wydawać; kosztować	Kupno tego telefonu kosztowało dwa tysiące juanów.
97:花	kwiat	Na stole jest kwiat.
画	rysować; obraz; rysunek	Moja młodsza siostra lubi rysować pandy.
坏	zepsuty; zły	Mój komputer jest zepsuty.
欢迎	witać; powitanie	Witaj w moim domu.
环境	środowisko; otoczenie	Otoczenie tej szkoły jest bardzo dobre.
还	oddawać; zwracać	Proszę oddać mi jutro książkę.
换	wymieniać; zmieniać	Chcę wymienić koszulę.
黄河	Żółta Rzeka	Żółta Rzeka jest bardzo długa.
回答	odpowiadać; odpowiedź	Proszę odpowiedzieć na moje pytanie.
会议	spotkanie; konferencja	Spotkanie zaczyna się o dziewiątej.
或者	albo; lub	Możesz pojechać metrem albo autobusem.
几乎	prawie; niemal	On ćwiczy prawie codziennie.
机会	okazja; szansa	To dobra okazja.
极	bardzo; niezwykle	Ona jest niezwykle szczęśliwa.
季节	pora roku	Jesień to moja ulubiona pora roku.
记得	pamiętać	Czy pamiętasz, żeby zabrać kartę kredytową?
检查	sprawdzać; badać	Lekarz mnie bada.
简单	prosty; łatwy	To zdanie jest bardzo proste.
健康	zdrowie; zdrowy	Ćwiczenia są dobre dla zdrowia.
见面	spotkać się	Jutro spotkamy się w szkole.
讲	wyjaśniać; mówić	Nauczyciel wyjaśnia bardzo jasno.
教	uczyć	On uczy mnie pisać chińskie znaki.
脚	stopa; noga	Trochę boli mnie stopa.
角	róg; kąt	Sklep jest na rogu ulicy.
接	odebrać; przyjąć; odpowiedzieć	Jadę na lotnisko odebrać przyjaciela.
街道	ulica	Ta ulica jest bardzo czysta.
结婚	brać ślub; ożenić się; wyjść za mąż	Oni wezmą ślub w przyszłym roku.
结束	kończyć się; zakończyć	Mecz już się zakończył.
节目	audycja telewizyjna	Ta audycja telewizyjna jest bardzo dobra.
节日	święto; festiwal	Święto Wiosny to ważne chińskie święto.
解决	rozwiązywać	Ten problem został już rozwiązany.
借	pożyczać	Chcę pożyczyć twój słownik.
经常	często	Często chodzę do biblioteki.
经过	przechodzić obok; przez	Codziennie przechodzę obok tego parku.
经理	kierownik; menedżer	Kierownik jest na spotkaniu.
久	długo	Mieszkam tu od dawna.
旧	stary; używany	To ubranie jest bardzo stare.
句子	zdanie	Proszę napisać zdanie.
决定	decydować; decyzja	Zdecydowałem się uczyć chińskiego.
可爱	uroczy; słodki	Ten kot jest bardzo uroczy.
渴	spragniony	Jestem spragniony i chcę napić się wody.
刻	kwadrans; chwila	Jest kwadrans po ósmej.
客人	gość; klient	Dzisiaj do naszego domu przyszedł gość.
空调	klimatyzacja	Proszę włączyć klimatyzację.
口	usta; łyk	On wypił łyk wody.
哭	płakać	Dlaczego to dziecko płacze?
裤子	spodnie	Te spodnie są nowe.
筷子	pałeczki	Potrafię jeść pałeczkami.
蓝	niebieski	Niebo jest niebieskie.
老	stary; starszy	Mój nauczyciel nie jest stary.
离开	opuszczać; wyjeżdżać	Jutro on wyjeżdża z Pekinu.
礼物	prezent	To prezent dla ciebie.
历史	historia	Lubię historię Chin.
脸	twarz	Jej twarz jest bardzo czerwona.
练习	ćwiczenie; ćwiczyć	Proszę więcej ćwiczyć mówienie po chińsku.
辆	klasyfikator dla pojazdów	Przed drzwiami stoi taksówka.
聊天	rozmawiać; gawędzić	Rozmawiam z przyjacielem.
了解	rozumieć; poznawać	Chcę poznać chińską kulturę.
邻居	sąsiad	Mój sąsiad jest bardzo serdeczny.
留学	studiować za granicą	Ona studiuje za granicą w Chinach.
楼	budynek; piętro	Biuro jest na trzecim piętrze.
绿	zielony	Wiosną drzewa stają się zielone.
马	koń	Ten koń biega bardzo szybko.
马上	zaraz; natychmiast	Zaraz wrócę.
满意	zadowolony	Jestem bardzo zadowolony z tego pokoju.
帽子	czapka; kapelusz	Ta czapka jest bardzo ładna.
米	metr; ryż	Ten stół ma dwa metry długości.
面包	chleb	Jem chleb na śniadanie.
明白	rozumieć; jasny	Rozumiem, co masz na myśli.
拿	brać; trzymać	Proszę wziąć dla mnie książkę.
奶奶	babcia ze strony ojca; babcia	Babcia lubi słuchać muzyki.
南	południe	Szkoła jest na południu miasta.
难	trudny	To pytanie nie jest trudne.
难过	smutny	Dzisiaj ona jest trochę smutna.
年级	klasa; rocznik	Moja młodsza siostra jest w trzeciej klasie.
年轻	młody	Ten kierownik jest bardzo młody.
鸟	ptak	Na drzewie jest ptak.
努力	starać się; pilny	On bardzo pilnie się uczy.
爬山	wspinać się na górę; chodzić po górach	W ten weekend idziemy w góry.
盘子	talerz; taca	Na stole są trzy talerze.
胖	gruby; pulchny	Ten pies jest trochę gruby.
啤酒	piwo	Tata nie pije piwa.
皮鞋	skórzane buty	Ta para skórzanych butów jest droga.
瓶子	butelka	W butelce jest woda.
其实	właściwie; tak naprawdę	Tak naprawdę nie lubię piwa.
其他	inny; pozostali	Pozostali koledzy z klasy już przyszli.
奇怪	dziwny	Ten dźwięk jest bardzo dziwny.
骑	jechać na; dosiadać	On codziennie jeździ rowerem do pracy.
起飞	startować	Samolot zaraz startuje.
起来	wstać; podnieść się; zacząć	Proszę wstać.
清楚	jasny; wyraźnie	Mówiłeś bardzo wyraźnie.
请假	prosić o wolne	On jest przeziębiony i musi poprosić o wolne.
秋	jesień	Jesienią pogoda jest przyjemna.
裙子	spódnica	Ta spódnica jest bardzo ładna.
然后	potem; następnie	Najpierw jem, a potem odrabiam pracę domową.
热情	serdeczny; entuzjastyczny	Chińscy przyjaciele są bardzo serdeczni.
认为	uważać; sądzić	Uważam, że ten sposób jest dobry.
认真	poważny; uważny	Proszę uważnie słuchać nauczyciela.
容易	łatwy	Ten chiński znak łatwo napisać.
如果	jeśli	Jeśli będzie padać, pojedziemy metrem.
伞	parasol	Pada deszcz, proszę zabrać parasol.
上网	korzystać z sieci	Wieczorem korzystam z sieci, żeby sprawdzić mapę.
声音	głos; dźwięk	Twój głos brzmi ładnie.
生气	zły; rozzłoszczony	Nie złość się, nie zrobiłem tego celowo.
世界	świat	Świat jest bardzo duży.
试	próbować; testować	Chcę przymierzyć te skórzane buty.
瘦	chudy; szczupły	On jest chudszy niż dawniej.
叔叔	wujek	Wujek odwozi mnie do szkoły.
舒服	wygodny; komfortowy	To krzesło jest wygodne.
数学	matematyka	Lekcja matematyki jest ciekawa.
树	drzewo	Przed domem jest drzewo.
刷牙	myć zęby	Myję zęby każdego ranka.
双	para; podwójny	Kupiłem parę skórzanych butów.
水平	poziom	Jego poziom chińskiego jest wysoki.
司机	kierowca	Kierowca czeka na nas przed drzwiami.
太阳	słońce	Dzisiaj słońce mocno świeci.
特别	szczególnie; specjalny	Ta audycja jest szczególnie ciekawa.
疼	boleć; bolesny	Boli mnie noga.
提高	podnosić; poprawiać	Więcej ćwiczeń może poprawić poziom chińskiego.
体育	sport; wychowanie fizyczne	Lubię lekcję wychowania fizycznego.
甜	słodki	Ten napój jest za słodki.
条	klasyfikator dla długich rzeczy; sztuka	Kupiłem spódnicę.
同事	kolega z pracy	Mój kolega z pracy jest bardzo zajęty.
同意	zgadzać się	Zgadzam się z twoją decyzją.
头发	włosy	Jej włosy są długie.
突然	nagle	On nagle wyszedł.
图书馆	biblioteka	Biblioteka jest dzisiaj zamknięta.
腿	noga	Po wejściu na górę bolą mnie nogi.
完成	ukończyć; skończyć	Skończyłem już pracę domową.
碗	miska	Na stole są dwie miski.
万	dziesięć tysięcy; mnóstwo	To miasto ma dziesięć tysięcy mieszkańców.
忘记	zapominać	Nie zapomnij zabrać paszportu.
为	dla; z powodu	Cieszę się z twojego szczęścia.
为了	żeby; w celu	Żeby zdać egzamin, on codziennie powtarza materiał.
位	grzecznościowy klasyfikator dla osób	Ten nauczyciel jest bardzo znany.
文化	kultura	Chcę poznać chińską kulturę.
西	zachód	Bank jest na zachód od szkoły.
习惯	nawyk; przyzwyczaić się	Jestem przyzwyczajony do ćwiczeń rano.
洗手间	toaleta	Toaleta jest po prawej stronie.
洗澡	kąpać się; brać prysznic	Wieczorem biorę prysznic.
夏	lato	Lato jest bardzo gorące.
先	najpierw; wcześniej	Najpierw ty jedz.
相信	wierzyć	Wierzę, że on przyjdzie.
香蕉	banan	Kupiłem trzy banany.
像	wyglądać jak; podobny do	Ta chmura wygląda jak ptak.
向	w kierunku; ku	Proszę iść w lewo.
小心	ostrożny; uważać	Pada deszcz, uważaj na drodze.
校长	dyrektor szkoły	Dyrektor jest w biurze.
新闻	wiadomości	Tata codziennie ogląda wiadomości.
新鲜	świeży	Te owoce są bardzo świeże.
信用卡	karta kredytowa	Czy mogę zapłacić kartą kredytową?
行李箱	walizka	Moja walizka jest ciężka.
熊猫	panda	Dzieci lubią oglądać pandy.
需要	potrzebować	Potrzebuję twojej pomocy.
选择	wybierać; wybór	Którą koszulę wybierasz?
要求	wymagać; prosić	Nauczyciel wymaga, żebyśmy starannie odrabiali pracę domową.
爷爷	dziadek ze strony ojca; dziadek	Dziadek codziennie chodzi do parku.
一直	cały czas; zawsze	On cały czas na ciebie czeka.
一定	na pewno; z pewnością	Na pewno przyjdę.
一共	łącznie; razem	Ile łącznie kosztują te książki?
一会儿	chwila; przez chwilę	Proszę poczekać na mnie chwilę.
一样	taki sam	Te dwa kubki są takiej samej wielkości.
以前	wcześniej; dawniej	Dawniej mieszkałem w Pekinie.
一般	zwykły; przeciętny	Jedzenie w tej restauracji jest przeciętne.
一边	jedna strona; jednocześnie	On słucha muzyki, odrabiając pracę domową.
音乐	muzyka	Lubię chińską muzykę.
银行	bank	Bank jest obok dużego sklepu.
饮料	napój	Ten napój dobrze smakuje.
应该	powinien; należy	Powinieneś więcej odpoczywać.
影响	wpływ; wpływać	Pogoda wpłynie na mecz.
用	używać; posługiwać się	Używam komputera do odrabiania pracy domowej.
游戏	gra	Dzieci grają w gry.
有名	sławny; znany	Ta restauracja jest bardzo znana.
又	znowu; także	Dzisiaj on znowu się spóźnił.
遇到	spotkać; natrafić na	Spotkałem nauczyciela na ulicy.
元	juan; jednostka waluty	Ten słownik kosztuje pięćdziesiąt juanów.
愿意	chcieć; być gotowym	Czy chcesz wziąć udział?
月亮	księżyc	Dzisiaj wieczorem księżyc jest jasny.
越	im bardziej... tym bardziej	Im więcej uczę się chińskiego, tym ciekawszy się staje.
站	stacja; stać	On stoi przy drzwiach.
张	klasyfikator dla płaskich przedmiotów	Proszę dać mi mapę.
长	rosnąć	Dzieci szybko rosną.
着急	martwić się; niepokoić się	Nie martw się, winda zaraz przyjedzie.
照顾	opiekować się	Ona opiekuje się chorą babcią.
照片	zdjęcie	To zdjęcie wygląda dobrze.
照相机	aparat fotograficzny	Używam aparatu do robienia zdjęć.
283:只	tylko; jedynie	Piję tylko jedną filiżankę herbaty.
284:只	klasyfikator dla zwierząt	Pod stołem jest kot.
只有…才…	tylko jeśli... wtedy...	Tylko jeśli poważnie powtórzysz materiał, dobrze zdasz egzamin.
中间	środek; pośrodku	Stół stoi na środku pokoju.
中文	język chiński; pismo chińskie	Uczę się chińskiego codziennie.
终于	w końcu; nareszcie	W końcu dotarliśmy.
种	rodzaj; typ	Jaki rodzaj napoju lubisz?
重要	ważny	Paszport jest bardzo ważny.
周末	weekend	W weekend chcę pójść do parku.
主要	główny; najważniejszy	Jego głównym hobby jest muzyka.
注意	zwracać uwagę	Proszę zwracać uwagę na nauczyciela.
自己	sam; siebie	Chcę sam odrobić pracę domową.
自行车	rower	Mój rower jest na dole.
总是	zawsze	On zawsze przychodzi do biura wcześnie.
嘴	usta	Proszę otworzyć usta.
最后	ostatni; w końcu	W końcu wszyscy się zgodziliśmy.
最近	ostatnio; niedawno	Ostatnio jestem zajęty.
作业	praca domowa; zadanie	Nie skończyłem jeszcze pracy domowej.
