simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV	ET	example_ET	IS	example_IS
电话	telefon; telefonski poziv	Koji je tvoj broj telefona?	telefon; telefonski klic	Katera je tvoja telefonska številka?	telefonas; telefono skambutis	Koks tavo telefono numeris?	tālrunis; telefona zvans	Kāds ir tavs tālruņa numurs?	telefon; telefonikõne	Mis on sinu telefoninumber?	sími; símtal	Hvað er símanúmerið þitt?
电影院	bioskop	Bioskop je pored škole.	kino	Kino je poleg šole.	kino teatras	Kino teatras yra šalia mokyklos.	kinoteātris	Kinoteātris ir blakus skolai.	kino	Kino on kooli kõrval.	kvikmyndahús	Kvikmyndahúsið er við hlið skólans.
读书	čitati; učiti	Dete čita u sobi.	brati; študirati	Otrok bere v sobi.	skaityti; mokytis	Vaikas skaito kambaryje.	lasīt; mācīties	Bērns lasa istabā.	lugema; õppima	Laps loeb toas.	lesa; læra	Barnið les í herberginu.
饭	obrok; kuvani pirinač	Upravo jedem.	obrok; kuhan riž	Pravkar jem.	valgis; virti ryžiai	Dabar valgau.	maltīte; vārīti rīsi	Es pašlaik ēdu.	toit; keedetud riis	Ma söön praegu.	máltíð; soðin hrísgrjón	Ég er að borða núna.
饭店	restoran; hotel	Ovaj restoran je veoma poznat.	restavracija; hotel	Ta restavracija je zelo znana.	restoranas; viešbutis	Šis restoranas labai garsus.	restorāns; viesnīca	Šis restorāns ir ļoti slavens.	restoran; hotell	See restoran on väga tuntud.	veitingastaður; hótel	Þessi veitingastaður er mjög frægur.
歌	pesma	Ova pesma lepo zvuči.	pesem	Ta pesem zveni lepo.	daina	Ši daina gražiai skamba.	dziesma	Šī dziesma skan skaisti.	laul	See laul kõlab kenasti.	lag	Þetta lag hljómar fallega.
国	zemlja; država	Kina je velika zemlja.	država; dežela	Kitajska je velika država.	šalis; valstybė	Kinija yra didelė šalis.	valsts; zeme	Ķīna ir liela valsts.	riik; maa	Hiina on suur riik.	land; ríki	Kína er stórt land.
还	još; takođe	Još želim da popijem čaj.	še; tudi	Še vedno želim piti čaj.	dar; taip pat	Dar noriu išgerti arbatos.	vēl; arī	Es vēl gribu dzert tēju.	veel; ka	Ma tahan veel teed juua.	enn; líka	Ég vil enn drekka te.
汉字	kineski znak	Ovaj kineski znak nije težak.	kitajska pismenka	Ta kitajska pismenka ni težka.	kinų rašmuo	Šis kinų rašmuo nėra sunkus.	ķīniešu rakstzīme	Šī ķīniešu rakstzīme nav grūta.	hiina kirjamärk	See hiina kirjamärk ei ole raske.	kínverskt tákn	Þetta kínverska tákn er ekki erfitt.
好看	lep; prijatan za gledanje	Ova fotografija lepo izgleda.	lep; prijeten na pogled	Ta fotografija je lepa.	gražus; malonus žiūrėti	Ši nuotrauka gražiai atrodo.	skaists; patīkams skatienam	Šī fotogrāfija izskatās skaista.	ilus; kena vaadata	See foto näeb ilus välja.	fallegur; falleg að sjá	Þessi mynd lítur fallega út.
好听	prijatan za slušanje	Ova pesma lepo zvuči.	prijeten za poslušanje	Ta pesem zveni lepo.	malonus klausytis	Ši daina gražiai skamba.	patīkams klausīties	Šī dziesma skan skaisti.	meeldiv kuulata	See laul kõlab kenasti.	þægilegur að hlusta á	Þetta lag hljómar fallega.
好玩儿	zabavan	Ova igra je zabavna.	zabaven	Ta igra je zabavna.	įdomus; smagus	Šis žaidimas smagus.	jautrs; interesants	Šī spēle ir jautra.	lõbus	See mäng on lõbus.	skemmtilegur	Þessi leikur er skemmtilegur.
后	iza; posle	Iza škole je park.	zadaj; po	Za šolo je park.	už; po	Už mokyklos yra parkas.	aiz; pēc	Aiz skolas ir parks.	taga; pärast	Kooli taga on park.	fyrir aftan; eftir	Fyrir aftan skólann er garður.
火车	voz	Idem vozom u Peking.	vlak	Z vlakom grem v Peking.	traukinys	Į Pekiną važiuoju traukiniu.	vilciens	Es braucu uz Pekinu ar vilcienu.	rong	Ma sõidan rongiga Pekingisse.	lest	Ég fer með lest til Peking.
家人	porodica; član porodice	Cela moja porodica je u Pekingu.	družina; družinski član	Vsa moja družina je v Pekingu.	šeima; šeimos narys	Visa mano šeima yra Pekine.	ģimene; ģimenes loceklis	Visa mana ģimene ir Pekinā.	pere; pereliige	Kogu mu pere on Pekingis.	fjölskylda; fjölskyldumeðlimur	Öll fjölskylda mín er í Peking.
见	videti; sresti	Sutra ću se sresti sa učiteljem.	videti; srečati se	Jutri se bom srečal z učiteljem.	matyti; susitikti	Rytoj susitiksiu su mokytoju.	redzēt; satikt	Rīt es satikšu skolotāju.	nägema; kohtuma	Homme kohtun õpetajaga.	sjá; hitta	Á morgun hitti ég kennarann.
今年	ove godine	Ove godine učim kineski.	letos	Letos se učim kitajščino.	šiemet	Šiemet mokausi kinų kalbos.	šogad	Šogad es mācos ķīniešu valodu.	sel aastal	Sel aastal õpin hiina keelt.	í ár	Í ár læri ég kínversku.
开车	voziti auto	Tata svaki dan vozi na posao.	voziti avto	Oče se vsak dan vozi v službo z avtom.	vairuoti automobilį	Tėtis kasdien važiuoja į darbą automobiliu.	vadīt mašīnu	Tētis katru dienu brauc uz darbu ar mašīnu.	autot juhtima	Isa sõidab iga päev autoga tööle.	aka bíl	Pabbi keyrir í vinnuna á hverjum degi.
看病	ići kod lekara	Sutra idem u bolnicu kod lekara.	iti k zdravniku	Jutri grem v bolnišnico k zdravniku.	eiti pas gydytoją	Rytoj eisiu į ligoninę pas gydytoją.	iet pie ārsta	Rīt es iešu uz slimnīcu pie ārsta.	arsti juurde minema	Homme lähen haiglasse arsti juurde.	fara til læknis	Á morgun fer ég á sjúkrahúsið til læknis.
没事	ništa; biti u redu	Dobro sam, ne brini.	nič ni; biti v redu	V redu sem, ne skrbi.	nieko tokio; viskas gerai	Man viskas gerai, nesijaudink.	nekas; viss kārtībā	Ar mani viss ir kārtībā, neuztraucies.	pole midagi; korras olema	Minuga on kõik korras, ära muretse.	ekkert að; vera í lagi	Það er allt í lagi með mig, hafðu ekki áhyggjur.
没有	nemati; nema	Nemam telefon.	ne imeti; ni	Nimam telefona.	neturėti; nėra	Neturiu telefono.	nebūt; nav	Man nav telefona.	mitte omama; ei ole	Mul ei ole telefoni.	hafa ekki; er ekki til	Ég á ekki síma.
们	nastavak množine za osobe	Nastavnici su u kancelariji.	pripona množine za osebe	Učitelji so v pisarni.	daugiskaitos priesaga žmonėms	Mokytojai yra kabinete.	daudzskaitļa piedēklis personām	Skolotāji ir birojā.	inimeste mitmuse järelliide	Õpetajad on kontoris.	fleirtöluviðskeyti fyrir fólk	Kennararnir eru á skrifstofunni.
面条儿	rezanci	Za ručak jedem rezance.	rezanci	Za kosilo jem rezance.	makaronai; kiniški makaronai	Per pietus valgau makaronus.	nūdeles	Pusdienās es ēdu nūdeles.	nuudlid	Lõunaks söön nuudleid.	núðlur	Í hádeginu borða ég núðlur.
明年	sledeće godine	Sledeće godine idem u Kinu.	naslednje leto	Naslednje leto grem na Kitajsko.	kitais metais	Kitais metais vyksiu į Kiniją.	nākamgad	Nākamgad es došos uz Ķīnu.	järgmisel aastal	Järgmisel aastal lähen Hiinasse.	á næsta ári	Á næsta ári fer ég til Kína.
哪个	koji; koji od njih	Koja šolja ti se sviđa?	kateri; kateri od njih	Katera skodelica ti je všeč?	kuris; kuris iš jų	Kuris puodelis tau patinka?	kurš; kurš no tiem	Kura krūze tev patīk?	milline; kumb neist	Milline tass sulle meeldib?	hver; hvor þeirra	Hvaða bolli líkar þér?
哪里	gde	Gde živiš?	kje	Kje živiš?	kur	Kur gyveni?	kur	Kur tu dzīvo?	kus	Kus sa elad?	hvar	Hvar býrð þú?
哪儿	gde; kuda	Kuda ideš?	kje; kam	Kam greš?	kur; į kur	Į kur eini?	kur; uz kurieni	Uz kurieni tu ej?	kus; kuhu	Kuhu sa lähed?	hvar; hvert	Hvert ertu að fara?
哪些	koji; koje	Koje knjige su tvoje?	kateri; katere	Katere knjige so tvoje?	kurie; kurios	Kurios knygos yra tavo?	kuri; kuras	Kuras grāmatas ir tavas?	millised	Millised raamatud on sinu omad?	hverjir; hvaða	Hvaða bækur eru þínar?
那边	tamo; ona strana	Prodavnica je tamo.	tam; tista stran	Trgovina je tam.	ten; ta pusė	Parduotuvė yra ten.	tur; tā puse	Veikals ir tur.	seal; too pool	Pood on seal.	þarna; hin hliðin	Búðin er þarna.
那个	onaj; taj	Taj učenik je moj prijatelj.	tisti; ta	Tisti učenec je moj prijatelj.	anas; tas	Tas mokinys yra mano draugas.	tas; tas tur	Tas skolēns ir mans draugs.	too; see seal	See õpilane on minu sõber.	sá; þessi þarna	Sá nemandi er vinur minn.
那里	tamo	Učitelj je tamo.	tam	Učitelj je tam.	ten	Mokytojas yra ten.	tur	Skolotājs ir tur.	seal	Õpetaja on seal.	þar	Kennarinn er þar.
那儿	tamo	Moj prijatelj je tamo.	tam	Moj prijatelj je tam.	ten	Mano draugas yra ten.	tur	Mans draugs ir tur.	seal	Mu sõber on seal.	þar	Vinur minn er þar.
那些	oni; one	One jabuke su sveže.	tisti; tiste	Tista jabolka so sveža.	anie; tos	Tie obuoliai švieži.	tie; tās	Tie āboli ir svaigi.	need seal	Need õunad on värsked.	þessir; þær þarna	Þessi epli þarna eru fersk.
男	muški; muškarac	Ovo dete je dečak.	moški; moški spol	Ta otrok je deček.	vyras; vyriškas	Šis vaikas yra berniukas.	vīrietisks; vīrietis	Šis bērns ir zēns.	mees; meessoost	See laps on poiss.	karlkyns; karlmaður	Þetta barn er strákur.
男朋友	dečko; momak	Njen dečko zna da vozi.	fant; partner	Njen fant zna voziti.	vaikinas; mylimasis	Jos vaikinas moka vairuoti.	draugs; puisis	Viņas draugs prot vadīt mašīnu.	poiss-sõber	Tema poiss-sõber oskab autot juhtida.	kærasti	Kærasti hennar kann að keyra.
你好	zdravo; dobar dan	Zdravo, zovem se Xiao Li.	živjo; dober dan	Živjo, ime mi je Xiao Li.	labas; laba diena	Labas, mano vardas Xiao Li.	sveiki; labdien	Sveiki, mani sauc Xiao Li.	tere; head päeva	Tere, minu nimi on Xiao Li.	halló; góðan dag	Halló, ég heiti Xiao Li.
你们	vi	Imate li danas čas?	vi	Imate danes uro?	jūs	Ar šiandien turite pamoką?	jūs	Vai jums šodien ir nodarbība?	teie	Kas teil on täna tund?	þið	Eruð þið með tíma í dag?
女	ženski; žena	Ona je lekarka.	ženski; ženska	Ona je zdravnica.	moteriškas; moteris	Ji yra gydytoja.	sieviete; sievišķīgs	Viņa ir ārste.	naine; naissoost	Ta on arst.	kvenkyns; kona	Hún er læknir.
女朋友	devojka; partnerka	Njegova devojka voli muziku.	dekle; partnerka	Njegovo dekle ima rado glasbo.	mergina; mylimoji	Jo mergina mėgsta muziką.	draudzene; meitene	Viņa draudzenei patīk mūzika.	tüdruksõber	Tema tüdruksõbrale meeldib muusika.	kærasta	Kærasta hans hefur gaman af tónlist.
前	ispred; pre	Ispred škole je knjižara.	spredaj; pred	Pred šolo je knjigarna.	prieš; priekyje	Priešais mokyklą yra knygynas.	priekšā; pirms	Skolas priekšā ir grāmatnīca.	ees; enne	Kooli ees on raamatupood.	fyrir framan; áður	Fyrir framan skólann er bókabúð.
请问	izvinite, mogu li da pitam	Izvinite, gde je toalet?	oprostite, smem vprašati	Oprostite, kje je stranišče?	atsiprašau, ar galiu paklausti	Atsiprašau, kur yra tualetas?	atvainojiet, vai drīkstu jautāt	Atvainojiet, kur ir tualete?	vabandage, kas võin küsida	Vabandage, kus on tualett?	afsakið, má ég spyrja	Afsakið, hvar er salernið?
上课	imati čas; početi čas	Imamo čas u osam.	imeti uro; začeti pouk	Imamo uro ob osmih.	turėti pamoką; pradėti pamoką	Pamoka mums prasideda aštuntą.	būt nodarbībā; sākt nodarbību	Mums ir nodarbība astoņos.	tunnis olema; tund algab	Meil on tund kell kaheksa.	fara í kennslustund; tími hefst	Við erum með tíma klukkan átta.
上学	ići u školu	Deca idu u školu svaki dan.	hoditi v šolo	Otroci hodijo v šolo vsak dan.	eiti į mokyklą	Vaikai kasdien eina į mokyklą.	iet uz skolu	Bērni katru dienu iet uz skolu.	kooli minema	Lapsed käivad iga päev koolis.	fara í skóla	Börnin fara í skóla á hverjum degi.
事	stvar; posao	Danas imam mnogo stvari da uradim.	stvar; zadeva	Danes imam veliko opravkov.	reikalas; dalykas	Šiandien turiu daug reikalų.	lieta; darīšana	Šodien man ir daudz darāmā.	asi; töö	Mul on täna palju teha.	mál; verkefni	Ég hef mikið að gera í dag.
书店	knjižara	Knjižara je pored bioskopa.	knjigarna	Knjigarna je poleg kina.	knygynas	Knygynas yra šalia kino teatro.	grāmatnīca	Grāmatnīca ir blakus kinoteātrim.	raamatupood	Raamatupood on kino kõrval.	bókabúð	Bókabúðin er við hlið kvikmyndahússins.
睡	spavati	Dete već spava.	spati	Otrok že spi.	miegoti	Vaikas jau miega.	gulēt	Bērns jau guļ.	magama	Laps juba magab.	sofa	Barnið sefur nú þegar.
说	govoriti; reći	On veoma dobro govori kineski.	govoriti; reči	Zelo dobro govori kitajsko.	kalbėti; sakyti	Jis labai gerai kalba kiniškai.	runāt; teikt	Viņš ļoti labi runā ķīniski.	rääkima; ütlema	Ta räägib hiina keelt väga hästi.	tala; segja	Hann talar kínversku mjög vel.
他们	oni	Oni su u učionici.	oni	Oni so v učilnici.	jie	Jie yra klasėje.	viņi	Viņi ir klasē.	nemad	Nemad on klassiruumis.	þeir	Þeir eru í kennslustofunni.
它们	oni za stvari ili životinje	Ove mačke su male; slatke su.	oni za stvari ali živali	Te mačke so majhne; ljubke so.	jie; jos daiktams ar gyvūnams	Šios katės mažos; jos mielos.	tie; tās lietām vai dzīvniekiem	Šie kaķi ir mazi; tie ir mīļi.	nemad asjade või loomade kohta	Need kassid on väikesed; nad on armsad.	þau fyrir hluti eða dýr	Þessir kettir eru litlir; þeir eru sætir.
她们	one za žene	Sve su studentkinje.	one za ženske	Vse so študentke.	jos apie moteris	Jos visos yra universiteto studentės.	viņas par sievietēm	Viņas visas ir studentes.	nemad naiste kohta	Nad kõik on üliõpilased.	þær um konur	Þær eru allar háskólanemar.
天	dan; nebo	Danas je nedelja.	dan; nebo	Danes je nedelja.	diena; dangus	Šiandien sekmadienis.	diena; debesis	Šodien ir svētdiena.	päev; taevas	Täna on pühapäev.	dagur; himinn	Í dag er sunnudagur.
听见	čuti	Čuo sam tvoj telefon.	slišati	Slišal sem tvoj telefon.	išgirsti	Išgirdau tavo telefoną.	dzirdēt	Es dzirdēju tavu telefonu.	kuulma	Ma kuulsin su telefoni.	heyra	Ég heyrði símann þinn.
外边	napolju	Napolju pada kiša.	zunaj	Zunaj dežuje.	lauke	Lauke lyja.	ārā	Ārā līst.	väljas	Väljas sajab vihma.	úti	Það rignir úti.
晚	kasno; veče	Sada je veoma kasno.	pozen; večer	Zdaj je zelo pozno.	vėlus; vakaras	Dabar labai vėlu.	vēls; vakars	Tagad ir ļoti vēls.	hiline; õhtu	Praegu on väga hilja.	seinn; kvöld	Núna er mjög seint.
晚饭	večera	Za večeru želim da jedem pirinač.	večerja	Za večerjo želim jesti riž.	vakarienė	Vakarienei noriu valgyti ryžių.	vakariņas	Vakariņās es gribu ēst rīsus.	õhtusöök	Õhtusöögiks tahan riisi süüa.	kvöldmatur	Í kvöldmat vil ég borða hrísgrjón.
午饭	ručak	Za ručak jedemo rezance.	kosilo	Za kosilo jemo rezance.	pietūs	Per pietus valgome makaronus.	pusdienas	Pusdienās mēs ēdam nūdeles.	lõunasöök	Lõunaks sööme nuudleid.	hádegismatur	Í hádegismat borðum við núðlur.
下班	završiti posao	Mama završava posao u pet.	končati službo	Mama konča službo ob petih.	baigti darbą	Mama baigia darbą penktą.	beigt darbu	Mamma beidz darbu piecos.	töölt lahkuma	Ema lõpetab töö kell viis.	hætta í vinnunni	Mamma hættir í vinnunni klukkan fimm.
下课	završiti čas; posle časa	Posle časa idem u knjižaru.	konec ure; po pouku	Po uri grem v knjigarno.	pamoka baigiasi; po pamokos	Po pamokos einu į knygyną.	nodarbība beidzas; pēc nodarbības	Pēc nodarbības es eju uz grāmatnīcu.	tund lõpeb; pärast tundi	Pärast tundi lähen raamatupoodi.	tími lýkur; eftir tíma	Eftir tímann fer ég í bókabúð.
小朋友	dete	Deca se igraju u parku.	otrok	Otroci se igrajo v parku.	vaikas	Vaikai žaidžia parke.	bērns	Bērni spēlējas parkā.	laps	Lapsed mängivad pargis.	barn	Börnin leika sér í garðinum.
小学	osnovna škola	Moja mlađa sestra ide u osnovnu školu.	osnovna šola	Moja mlajša sestra hodi v osnovno šolo.	pradinė mokykla	Mano jaunesnioji sesuo eina į pradinę mokyklą.	sākumskola	Mana jaunākā māsa iet sākumskolā.	algkool	Mu noorem õde käib algkoolis.	grunnskóli	Yngri systir mín gengur í grunnskóla.
小学生	učenik osnovne škole	On je učenik osnovne škole.	učenec osnovne šole	On je učenec osnovne šole.	pradinės mokyklos mokinys	Jis yra pradinės mokyklos mokinys.	sākumskolas skolēns	Viņš ir sākumskolas skolēns.	algkooliõpilane	Ta on algkooliõpilane.	grunnskólanemi	Hann er grunnskólanemi.
星期日	nedelja	U nedelju nemam čas.	nedelja	V nedeljo nimam ure.	sekmadienis	Sekmadienį neturiu pamokos.	svētdiena	Svētdien man nav nodarbības.	pühapäev	Pühapäeval mul tundi ei ole.	sunnudagur	Á sunnudaginn er ég ekki með tíma.
星期天	nedelja	U nedelju idem da gledam film.	nedelja	V nedeljo grem gledat film.	sekmadienis	Sekmadienį einu žiūrėti filmo.	svētdiena	Svētdien es eju skatīties filmu.	pühapäev	Pühapäeval lähen filmi vaatama.	sunnudagur	Á sunnudaginn fer ég að horfa á kvikmynd.
学	učiti; studirati	Učim kineski.	učiti se; študirati	Učim se kitajščino.	mokytis; studijuoti	Mokausi kinų kalbos.	mācīties	Es mācos ķīniešu valodu.	õppima	Ma õpin hiina keelt.	læra	Ég læri kínversku.
一半	pola	Pojeo sam pola pirinča.	polovica	Pojedel sem polovico riža.	pusė	Suvalgiau pusę ryžių.	puse	Es apēdu pusi rīsu.	pool	Ma sõin poole riisist.	helmingur	Ég borðaði helminginn af hrísgrjónunum.
一下	malo; jednom	Molim te, sačekaj malo.	malo; enkrat	Prosim, počakaj malo.	trumpai; kartą	Prašau palauk truputį.	mazliet; vienreiz	Lūdzu, pagaidi mazliet.	korraks; üks kord	Palun oota natuke.	augnablik; einu sinni	Vinsamlegast bíddu aðeins.
一点儿	malo	Malo sam umoran.	malo	Malo sem utrujen.	truputį	Esu truputį pavargęs.	nedaudz	Es esmu nedaudz noguris.	natuke	Ma olen natuke väsinud.	dálítið	Ég er dálítið þreyttur.
一些	nekoliko; malo	Kupio sam nekoliko jabuka.	nekaj; malo	Kupil sem nekaj jabolk.	keletas; šiek tiek	Nusipirkau keletą obuolių.	daži; nedaudz	Es nopirku dažus ābolus.	mõned; natuke	Ostsin mõned õunad.	nokkur; smá	Ég keypti nokkur epli.
有的	neki	Neki učenici vole da pevaju.	nekateri	Nekateri učenci radi pojejo.	kai kurie	Kai kurie mokiniai mėgsta dainuoti.	daži	Dažiem skolēniem patīk dziedāt.	mõned	Mõnele õpilasele meeldib laulda.	sumir	Sumum nemendum finnst gaman að syngja.
有点儿	malo; pomalo	Danas je malo hladno.	malo; nekoliko	Danes je malo hladno.	truputį; kiek	Šiandien truputį šalta.	nedaudz; mazliet	Šodien ir nedaudz auksts.	natuke; veidi	Täna on natuke külm.	dálítið; svolítið	Í dag er svolítið kalt.
有些	neki; neke	Neke knjige su kod učitelja.	nekateri; nekaj	Nekatere knjige so pri učitelju.	kai kurie; kelios	Kai kurios knygos yra pas mokytoją.	daži; dažas	Dažas grāmatas ir pie skolotāja.	mõned	Mõned raamatud on õpetaja juures.	sumir; nokkrir	Sumar bækur eru hjá kennaranum.
雨	kiša	Danas pada kiša.	dež	Danes dežuje.	lietus	Šiandien lyja.	lietus	Šodien līst.	vihm	Täna sajab vihma.	rigning	Í dag rignir.
早	rano; jutro	On ustaje veoma rano svakog jutra.	zgodaj; jutro	Vsako jutro vstane zelo zgodaj.	anksti; rytas	Jis kiekvieną rytą keliasi labai anksti.	agri; rīts	Viņš katru rītu ceļas ļoti agri.	vara; hommik	Ta tõuseb igal hommikul väga vara.	snemma; morgunn	Hann vaknar mjög snemma á hverjum morgni.
早饭	doručak	Za doručak pijem mleko.	zajtrk	Za zajtrk pijem mleko.	pusryčiai	Pusryčiams geriu pieną.	brokastis	Brokastīs es dzeru pienu.	hommikusöök	Hommikusöögiks joon piima.	morgunmatur	Í morgunmat drekk ég mjólk.
怎么	kako	Kako ideš u školu?	kako	Kako greš v šolo?	kaip	Kaip eini į mokyklą?	kā	Kā tu ej uz skolu?	kuidas	Kuidas sa kooli lähed?	hvernig	Hvernig ferð þú í skólann?
这边	ova strana; ovamo	Molim te, dođi ovamo.	ta stran; sem	Prosim, pridi sem.	ši pusė; čia	Prašau ateik čia.	šī puse; šurp	Lūdzu, nāc šurp.	see pool; siia	Palun tule siia.	þessi hlið; hingað	Vinsamlegast komdu hingað.
这个	ovaj; ovo	Ovaj baozi je veoma ukusan.	ta; to	Ta baozi je zelo okusen.	šis; tai	Šis baozi labai skanus.	šis; tas	Šis baozi ir ļoti garšīgs.	see	See baozi on väga maitsev.	þessi; þetta	Þessi baozi er mjög bragðgóður.
这里	ovde	Ovde je moja škola.	tukaj	Tukaj je moja šola.	čia	Čia yra mano mokykla.	šeit	Šeit ir mana skola.	siin	Siin on minu kool.	hér	Hér er skólinn minn.
这儿	ovde	Ovde je restoran.	tukaj	Tukaj je restavracija.	čia	Čia yra restoranas.	šeit	Šeit ir restorāns.	siin	Siin on restoran.	hér	Hér er veitingastaður.
这些	ovi; ove	Ove kineske znakove je lako pisati.	ti; te	Te kitajske pismenke je lahko pisati.	šie; šios	Šiuos kinų rašmenis lengva rašyti.	šie; šīs	Šīs ķīniešu rakstzīmes ir viegli rakstīt.	need	Neid hiina kirjamärke on lihtne kirjutada.	þessir; þessar	Þessi kínversku tákn eru auðveld að skrifa.
只	brojna reč za životinje ili par	Ispod stola je jedna mačka.	števna beseda za živali ali par	Pod mizo je ena mačka.	skaitiklis gyvūnams ar poros daliai	Po stalu yra viena katė.	skaitītājvārds dzīvniekiem vai pāra daļai	Zem galda ir viens kaķis.	loendussõna loomadele või paari osale	Laua all on üks kass.	teljorð fyrir dýr eða par	Undir borðinu er einn köttur.
中学	srednja škola	Stariji brat uči u srednjoj školi.	srednja šola	Starejši brat se uči v srednji šoli.	vidurinė mokykla	Vyresnysis brolis mokosi vidurinėje mokykloje.	vidusskola	Vecākais brālis mācās vidusskolā.	keskkool	Vanem vend õpib keskkoolis.	framhaldsskóli	Eldri bróðir minn stundar nám í framhaldsskóla.
中学生	učenik srednje škole	Ona je učenica srednje škole.	srednješolec	Ona je srednješolka.	vidurinės mokyklos mokinys	Ji yra vidurinės mokyklos mokinė.	vidusskolēns	Viņa ir vidusskolniece.	keskkooliõpilane	Ta on keskkooliõpilane.	framhaldsskólanemi	Hún er framhaldsskólanemi.
字	znak; rukopis	Njegov rukopis je veoma lep.	znak; pisava	Njegova pisava je zelo lepa.	rašmuo; rašysena	Jo rašysena labai graži.	rakstzīme; rokraksts	Viņa rokraksts ir ļoti skaists.	kirjamärk; käekiri	Tema käekiri on väga ilus.	tákn; rithönd	Rithönd hans er mjög falleg.
做饭	kuvati	Tata kuva u kuhinji.	kuhati	Oče kuha v kuhinji.	gaminti valgį	Tėtis gamina virtuvėje.	gatavot ēst	Tētis gatavo virtuvē.	süüa tegema	Isa teeb köögis süüa.	elda	Pabbi eldar í eldhúsinu.
