source_headword	LV	example_LV
such	tāds	Tāda palīdzība ir noderīga.
suddenly	pēkšņi	Pēkšņi suns aizbēga.
suggest	ieteikt	Es iesaku īsu pārtraukumu.
suggestion	ieteikums	Tavs ieteikums ir noderīgs.
suit	uzvalks	Šis uzvalks ir dārgs.
support	atbalstīt	Mēs atbalstām savu komandu.
suppose	pieņemt	Es pieņemu, ka tev ir taisnība.
surprise	pārsteigums	Pārsteigums viņu iepriecināja.
surprised	pārsteigts	Šodien viņa bija pārsteigta.
surprising	pārsteidzošs	Rezultāts bija pārsteidzošs.
survey	aptauja	Lūdzu, aizpildi aptauju.
sweet	salds	Šī tēja ir salda.
symbol	simbols	Šis simbols nozīmē briesmas.
system	sistēma	Sistēma darbojas labi.
tablet	planšete	Mana planšete ir uz galda.
target	mērķis	Uzmanīgi trāpi mērķī.
task	uzdevums	Šis uzdevums ir viegls.
taste	garša; pagaršot	Vispirms pagaršo zupu.
teaching	mācīšana	Mācīšana ir grūts darbs.
technology	tehnoloģija	Tehnoloģija ātri mainās.
teenage	pusaudžu	Mans pusaudžu brālis cītīgi mācās.
temperature	temperatūra	Temperatūra ir zema.
term	termiņš; semestris	Šis semestris drīz beigsies.
themselves	viņi paši	Viņi paši pagatavoja vakariņas.
thick	biezs	Šī grāmata ir bieza.
thief	zaglis	Zaglis aizbēga.
thin	plāns	Papīrs ir plāns.
thinking	domāšana	Domāšana prasa laiku.
thought	doma	Man bija dīvaina doma.
throw	mest	Met bumbu viegli.
tidy	kārtīgs	Uzturi savu istabu kārtīgu.
tie	sasiet	Tagad sasien kurpes.
tip	padoms; dzeramnauda	Atstāj dzeramnaudu par pakalpojumu.
tool	rīks	Izmanto pareizo rīku.
top	augša; augšējā daļa	Augšējais plaukts ir pilns.
touch	pieskarties	Nepieskaries stiklam.
tour	ekskursija	Mēs devāmies pilsētas ekskursijā.
tourism	tūrisms	Tūrisms palīdz šai pilsētai.
towards	uz	Ej uz staciju.
towel	dvielis	Paņem tīru dvieli.
tower	tornis	Tornis ir ļoti vecs.
toy	rotaļlieta	Rotaļu auto ir sarkans.
track	sliede; pēda	Sliede ved uz ziemeļiem.
tradition	tradīcija	Šī tradīcija ir sena.
traditional	tradicionāls	Viņa valkāja tradicionālas drēbes.
trainer	treneris	Mans treneris ir noderīgs.
training	treniņš	Treniņš sākas rīt.
transport	transports	Sabiedriskais transports kavējas.
traveller	ceļotājs	Ceļotājs lūdza palīdzību.
trouble	problēma	Vakar mums bija problēma.
truck	kravas automašīna	Kravas automašīna ir ārā.
twin	dvīnis	Mana dvīņu māsa ir garāka.
typical	tipisks	Šī ir tipiska diena.
underground	pazemes	Vilciens brauc pazemē.
understanding	izpratne	Tava izpratne ir pareiza.
unfortunately	diemžēl	Diemžēl veikals ir slēgts.
unhappy	nelaimīgs	Viņš izskatās nelaimīgs.
uniform	uniforma	Viņa valkā skolas uniformu.
unit	vienība	Šī vienība ir maza.
united	vienots	Komanda palika vienota.
unusual	neparasts	Šī skaņa ir neparasta.
used to modal	agrāk	Agrāk mēs dzīvojām šeit.
user	lietotājs	Katram lietotājam ir numurs.
usual	parasts	Es apsēdos savā parastajā vietā.
valley	ieleja	Ieleja ir zaļa.
van	furgons	Furgons ir pilns.
variety	dažādība	Mums vajag vairāk dažādības.
vehicle	transportlīdzeklis	Šis transportlīdzeklis ir lēns.
view	skats	Skats ir skaists.
virus	vīruss	Vīruss viņu saslimdināja.
voice	balss	Viņas balss ir klusa.
war	karš	Karš beidzās pirms gadiem.
washing	veļa	Veļa ir ārā.
wave	vilnis	Vilnis atsitās pret kuģi.
weak	vājš	Manas kājas ir vājas.
web	tīmeklis	Tīmekļa lapa ir atvērta.
wedding	kāzas	Kāzas drīz sāksies.
weight	svars	Vispirms pārbaudi svaru.
wet	slapjš	Manas kurpes ir slapjas.
wheel	ritenis	Ritenis ir salauzts.
while	kādu laiku	Gaidi šeit kādu laiku.
whole	vesels	Es apēdu veselu ābolu.
whose	kura	Kura telefons tas ir?
wide	plats	Ceļš ir plats.
wild	savvaļas	Šeit dzīvo savvaļas dzīvnieki.
wind1	vējš	Vējš ir stiprs.
winner	uzvarētājs	Uzvarētājs pasmaidīja.
wish	vēlēšanās	Iedomājies vēlēšanos.
wood	koks	Krēsls ir no koka.
wooden	koka	Koka kaste ir smaga.
working	darba	Darba diena ir beigusies.
worried	noraizējies	Šodien esmu noraizējies.
worry	uztraukties	Tagad neuztraucies.
worse	sliktāks	Šīs sāpes ir sliktākas.
worst	vissliktākais	Tā bija vissliktākā diena.
wow	vau	Vau, tas ir neticami!
yet	vēl; jau	Vai mēs jau esam tur?
yours	tavs; jūsu	Šī grāmata ir tava.
zero	nulle	Skaiti atpakaļ līdz nullei.
