source_headword	HY	example_HY
ship	նավ	Նավը այսօր հեռացավ։
shoulder	ուս	Ուսս ցավում է։
shout	բղավել	Դասարանում մի բղավիր։
shut	փակել	Խնդրում եմ, պատուհանը փակիր։
side	կողմ	Այս կողմում նստիր։
sign	նշան	Նշանը ուշադիր կարդա։
silver	արծաթ	Արծաթը փայլուն մետաղ է։
simple	պարզ	Այս վարժությունը պարզ է։
since	սկսած	Ես կեսօրից սկսած սպասում եմ։
singing	երգելը	Երգելը ինձ հանգստացնում է։
single	մեկ	Ես մեկ տոմս գնեցի։
sir	պարոն	Պարոն, ձեր պայուսակը պատրաստ է։
site	կայք	Այս կայքը անվտանգ է։
size	չափ	Ինչ չափ է ձեզ պետք։
ski	դահուկ քշել	Մենք ձմռանը դահուկ ենք քշում։
skiing	դահուկային սահք	Ձմռանը դահուկային սահքը հաճելի է։
skin	մաշկ	Նրա մաշկը չոր է։
sky	երկինք	Երկինքը պարզ է։
slowly	դանդաղ	Սառույցի վրա դանդաղ քայլիր։
smartphone	սմարթֆոն	Իմ սմարթֆոնը նոր է։
smell	հոտ գալ	Ապուրը լավ հոտ ունի։
smile	ժպտալ	Տեսախցիկի համար ժպտա։
smoke	ծուխ	Ծուխը լցվեց սենյակ։
smoking	ծխելը	Ծխելը թույլատրված չէ։
soap	օճառ	Օճառ և ջուր օգտագործիր։
soccer	ֆուտբոլ	Ֆուտբոլը այստեղ հայտնի է։
social	սոցիալական	Սա սոցիալական միջոցառում է։
society	հասարակություն	Հասարակությունը ժամանակի ընթացքում փոխվում է։
sock	գուլպա	Մի գուլպա կորել է։
soft	փափուկ	Այս վերմակը փափուկ է։
soldier	զինվոր	Զինվորը տուն վերադարձավ։
solution	լուծում	Մենք լուծում գտանք։
solve	լուծել	Այս գլուխկոտրուկը լուծիր։
somewhere	ինչ-որ տեղ	Դա ինչ-որ անվտանգ տեղ դիր։
sort	տեսակ	Ինչ տեսակ ես ուզում։
source	աղբյուր	Նախ աղբյուրը ստուգիր։
speaker	խոսնակ	Խոսնակը բարձրաձայն էր խոսում։
specific	կոնկրետ	Ինձ կոնկրետ պատասխան է պետք։
speech	ելույթ	Նրա ելույթը կարճ էր։
speed	արագություն	Այստեղ արագությունդ նվազեցրու։
spider	սարդ	Պատին սարդ կա։
spoon	գդալ	Ապուրի համար գդալ օգտագործիր։
square	քառակուսի	Քառակուսի տուփ նկարիր։
stage	բեմ	Խումբը բեմի վրա է։
stair	աստիճան	Աստիճանը կոտրված է։
stamp	նամականիշ	Նամակի վրա նամականիշ փակցրու։
state	հայտնել	Անունդ հստակ հայտնիր։
steal	գողանալ	Փող մի գողացիր։
step	քայլ	Մի քայլ առաջ գնա։
stomach	ստամոքս	Ստամոքսս ցավում է։
stone	քար	Քարը ծանր է։
store	խանութ	Խանութը շուտ է փակվում։
storm	փոթորիկ	Փոթորիկ է գալիս։
straight	ուղիղ	Ուղիղ տուն գնա։
strange	տարօրինակ	Այդ ձայնը տարօրինակ է։
strategy	ռազմավարություն	Մեզ ռազմավարություն է պետք։
stress	սթրես	Աշխատանքը կարող է սթրես առաջացնել։
structure	կառուցվածք	Այս կառուցվածքը ամուր է։
stupid	հիմար	Դա հիմար սխալ էր։
succeed	հաջողել	Դու այստեղ կարող ես հաջողել։
successful	հաջողակ	Նա հաջողակ դարձավ։
such	այդպիսի	Այդպիսի օգնությունը օգտակար է։
suddenly	հանկարծ	Հանկարծ շունը փախավ։
suggest	առաջարկել	Ես կարճ դադար եմ առաջարկում։
suggestion	առաջարկ	Քո առաջարկը օգտակար է։
suit	կոստյում	Այս կոստյումը թանկ է։
support	աջակցել	Մենք աջակցում ենք մեր թիմին։
suppose	ենթադրել	Ենթադրում եմ, որ դու ճիշտ ես։
surprise	անակնկալ	Անակնկալը նրան ուրախացրեց։
surprised	զարմացած	Նա այսօր զարմացած էր։
surprising	զարմանալի	Արդյունքը զարմանալի էր։
survey	հարցում	Խնդրում եմ, լրացրու հարցումը։
sweet	քաղցր	Այս թեյը քաղցր է։
symbol	խորհրդանիշ	Այս խորհրդանիշը վտանգ է նշանակում։
system	համակարգ	Համակարգը լավ է աշխատում։
tablet	պլանշետ	Իմ պլանշետը սեղանի վրա է։
target	թիրախ	Թիրախին զգուշորեն հարվածիր։
task	առաջադրանք	Այս առաջադրանքը հեշտ է։
taste	համտեսել	Նախ ապուրը համտեսիր։
teaching	դասավանդում	Դասավանդումը դժվար աշխատանք է։
technology	տեխնոլոգիա	Տեխնոլոգիան արագ է փոխվում։
teenage	դեռահաս	Իմ դեռահաս եղբայրը շատ է սովորում։
temperature	ջերմաստիճան	Ջերմաստիճանը ցածր է։
term	կիսամյակ	Այս կիսամյակը շուտով ավարտվում է։
themselves	իրենք	Նրանք ընթրիքը իրենք պատրաստեցին։
thick	հաստ	Այս գիրքը հաստ է։
thief	գող	Գողը փախավ։
thin	բարակ	Թուղթը բարակ է։
thinking	մտածելը	Մտածելը ժամանակ է պահանջում։
thought	միտք	Ես տարօրինակ միտք ունեցա։
throw	նետել	Գնդակը մեղմ նետիր։
tidy	կոկիկ	Սենյակդ կոկիկ պահիր։
tie	կապել	Հիմա կոշիկներդ կապիր։
tip	թեյավճար	Ծառայության համար թեյավճար թող։
tool	գործիք	Ճիշտ գործիքը օգտագործիր։
top	վերին	Վերին դարակը լիքն է։
touch	դիպչել	Ապակուն մի դիպչիր։
tour	շրջագայություն	Մենք քաղաքային շրջագայության գնացինք։
tourism	զբոսաշրջություն	Զբոսաշրջությունը օգնում է այս քաղաքին։
towards	դեպի	Դեպի կայարան քայլիր։
towel	սրբիչ	Մաքուր սրբիչ բեր։
tower	աշտարակ	Աշտարակը շատ հին է։
toy	խաղալիք	Խաղալիք մեքենան կարմիր է։
track	արահետ	Արահետը գնում է հյուսիս։
tradition	ավանդույթ	Այս ավանդույթը հին է։
traditional	ավանդական	Նա ավանդական հագուստ էր հագել։
trainer	մարզիչ	Իմ մարզիչը օգտակար է։
training	մարզում	Մարզումը վաղը սկսվում է։
transport	տրանսպորտ	Հանրային տրանսպորտը ուշանում է։
traveller	ճանապարհորդ	Ճանապարհորդը օգնություն խնդրեց։
trouble	դժվարություն	Երեկ մենք դժվարություն ունեցանք։
truck	բեռնատար	Բեռնատարը դրսում է։
twin	երկվորյակ	Իմ երկվորյակ քույրը ավելի բարձրահասակ է։
typical	տիպիկ	Սա տիպիկ օր է։
underground	ստորգետնյա	Գնացքը ստորգետնյա է շարժվում։
understanding	հասկացողություն	Քո հասկացողությունը ճիշտ է։
unfortunately	ցավոք	Ցավոք, խանութը փակ է։
unhappy	դժգոհ	Նա դժգոհ է թվում։
uniform	համազգեստ	Նա դպրոցական համազգեստ է կրում։
unit	միավոր	Այս միավորը փոքր է։
united	միավորված	Թիմը միավորված մնաց։
unusual	անսովոր	Այդ ձայնը անսովոր է։
used to modal	առաջ	Մենք առաջ այստեղ էինք ապրում։
user	օգտատեր	Յուրաքանչյուր օգտատեր համար ունի։
usual	սովորական	Ես վերցրի իմ սովորական նստատեղը։
valley	հովիտ	Հովիտը կանաչ է։
van	ֆուրգոն	Ֆուրգոնը լիքն է։
variety	բազմազանություն	Մեզ ավելի շատ բազմազանություն է պետք։
vehicle	տրանսպորտային միջոց	Այս տրանսպորտային միջոցը դանդաղ է։
view	տեսարան	Տեսարանը գեղեցիկ է։
virus	վիրուս	Վիրուսը նրան հիվանդացրեց։
voice	ձայն	Նրա ձայնը հանգիստ է։
war	պատերազմ	Պատերազմը տարիներ առաջ ավարտվեց։
washing	լվացք	Լվացքը դրսում է։
wave	ալիք	Ալիքը հարվածեց նավակին։
weak	թույլ	Ոտքերս թույլ են։
web	վեբ	Վեբ էջը բաց է։
wedding	հարսանիք	Հարսանիքը շուտով սկսվում է։
weight	քաշ	Նախ քաշը ստուգիր։
wet	թաց	Կոշիկներս թաց են։
wheel	անիվ	Անիվը կոտրված է։
while	մի պահ	Այստեղ մի պահ սպասիր։
whole	ամբողջ	Ես ամբողջ խնձորը կերա։
whose	ում	Սա ում հեռախոսն է։
wide	լայն	Ճանապարհը լայն է։
wild	վայրի	Վայրի կենդանիները այստեղ են ապրում։
wind1	քամի	Քամին ուժեղ է։
winner	հաղթող	Հաղթողը ժպտաց։
wish	ցանկություն	Ցանկություն պահիր։
wood	փայտ	Աթոռը փայտից է պատրաստված։
wooden	փայտե	Փայտե տուփը ծանր է։
working	աշխատանքային	Աշխատանքային օրը ավարտվեց։
worried	անհանգիստ	Այսօր անհանգիստ եմ։
worry	անհանգստանալ	Հիմա մի անհանգստացիր։
worse	ավելի վատ	Այս ցավը ավելի վատ է։
worst	ամենավատ	Դա ամենավատ օրն էր։
wow	վայ	Վայ, դա զարմանալի է։
yet	դեռ	Մենք դեռ տեղ հասե՞լ ենք։
yours	քոնը	Այս գիրքը քոնն է։
zero	զրո	Մինչև զրո հետ հաշվիր։
