source_headword	display_translation	example_translation
any more	อีกต่อไป;มากกว่านี้	ฉันไม่ต้องการอีกแล้ว.
anyway	อย่างไรก็ตาม;ยังไงก็ตาม	อย่างไรก็ตามเราเริ่มได้ตอนนี้.
anywhere	ที่ไหนก็ได้;ทุกที่	นั่งที่ไหนก็ได้ที่คุณชอบ.
app	แอป;แอปพลิเคชัน	แอปนี้มีประโยชน์.
appear	ปรากฏ;ดูเหมือน	ชื่อของเธอจะปรากฏที่นี่.
appearance	รูปลักษณ์;ลักษณะภายนอก	รูปลักษณ์ของเขาต่างออกไป.
apply	สมัคร;นำไปใช้	สมัครงานวันนี้.
architect	สถาปนิก	สถาปนิกมีแผน.
architecture	สถาปัตยกรรม	ฉันชอบสถาปัตยกรรมสมัยใหม่.
argue	โต้เถียง;ทะเลาะ	อย่าโต้เถียงกับน้องสาวของคุณ.
argument	การโต้เถียง;ข้อโต้แย้ง	การโต้เถียงนั้นสั้น.
army	กองทัพ	กองทัพนั้นใหญ่.
arrange	จัด;จัดเตรียม	โปรดจัดการประชุม.
arrangement	การจัดเตรียม;ข้อตกลง	การจัดเตรียมนี้ได้ผลดี.
asleep	หลับอยู่	ทารกหลับอยู่.
assistant	ผู้ช่วย	ผู้ช่วยช่วยฉัน.
athlete	นักกีฬา	นักกีฬาคนนั้นวิ่งเร็ว.
attack	โจมตี;การโจมตี	สุนัขอาจโจมตี.
attend	เข้าร่วม;เข้าเรียน	วันนี้ฉันเข้าเรียน.
attention	ความสนใจ;การใส่ใจ	โปรดตั้งใจตอนนี้.
attractive	น่าดึงดูด;มีเสน่ห์	สวนนั้นน่าดึงดูด.
audience	ผู้ชม;ผู้ฟัง	ผู้ชมเงียบ.
author	ผู้เขียน;นักเขียน	ผู้เขียนเขียนหนังสือเล่มนี้.
available	มีให้ใช้;ว่าง	ตอนนี้มีอาหารพร้อมแล้ว.
average	เฉลี่ย;ค่าเฉลี่ย	คะแนนเฉลี่ยดี.
avoid	หลีกเลี่ยง	หลีกเลี่ยงถนนที่พลุกพล่าน.
award	รางวัล;มอบรางวัล	เธอได้รับรางวัล.
awful	แย่มาก;น่ากลัว	อากาศแย่มาก.
background	พื้นหลัง;ภูมิหลัง	ภาพนั้นมีพื้นหลังมืด.
badly	แย่;อย่างแย่	วันนี้เขาเล่นแย่.
bar	บาร์;แท่ง	เราพบกันที่บาร์ของโรงแรม.
baseball	เบสบอล	เบสบอลเป็นที่นิยมที่นี่.
based	อิงจาก;มีพื้นฐานจาก	ภาพยนตร์อิงจากหนังสือ.
basketball	บาสเกตบอล	เราเล่นบาสเกตบอลหลังเลิกเรียน.
bean	ถั่ว	ถั่วนี้สีเขียว.
bear (animal)	หมี	หมีอาศัยอยู่ในป่า.
beat	เอาชนะ;ตี	ทีมของเราเอาชนะพวกเขาได้.
beef	เนื้อวัว	ฉันกินเนื้อวัวมื้อเย็น.
behave	ประพฤติ;ทำตัว	โปรดทำตัวดีในชั้นเรียน.
behaviour	พฤติกรรม;การประพฤติ	พฤติกรรมของเขาสุภาพ.
belong	เป็นของ;อยู่ใน	รองเท้านี้เป็นของฉัน.
belt	เข็มขัด	เข็มขัดของเขาสีดำ.
benefit	ประโยชน์;ผลดี	การออกกำลังกายมีประโยชน์จริง.
billion	พันล้าน	พันล้านเป็นจำนวนใหญ่มาก.
bin	ถังขยะ	ใส่กระดาษลงในถังขยะ.
biology	ชีววิทยา	ชีววิทยาเป็นวิชาที่ฉันถนัดที่สุด.
birth	การเกิด;วันเกิด	เธอเกิดในเดือนพฤษภาคม.
biscuit	บิสกิต;คุกกี้	เธอกินบิสกิต.
bit	นิดหน่อย;ส่วนเล็ก	ฉันต้องการเวลาเพิ่มอีกนิด.
blank	ช่องว่าง;ว่างเปล่า	เขียนชื่อของคุณในช่องว่าง.
blood	เลือด	เลือดมีสีแดง.
blow	พัด;เป่า	ลมพัดแรงได้.
board	กระดาน;บอร์ด	เขียนมันบนกระดาน.
boil	ต้ม;เดือด	ต้มน้ำก่อน.
bone	กระดูก	สุนัขมีกระดูก.
borrow	ยืม	ฉันยืมปากกาของคุณได้ไหม?
boss	เจ้านาย;หัวหน้า	เจ้านายของฉันเป็นมิตร.
bottom	ด้านล่าง;ก้น	เซ็นที่ด้านล่าง.
bowl	ชาม	ชามเต็มแล้ว.
brain	สมอง	สมองของคุณต้องพัก.
bridge	สะพาน	สะพานนั้นเก่า.
bright	สว่าง;สดใส	ห้องนี้สว่าง.
brilliant	ยอดเยี่ยม;ฉลาดมาก	ความคิดนั้นยอดเยี่ยม.
broken	แตก;เสีย	เก้าอี้เสีย.
brush	แปรง;แปรงฟัน	แปรงฟันตอนนี้.
burn	เผา;ไหม้	อย่าเผาขนมปัง.
businessman	นักธุรกิจชาย;นักธุรกิจ	นักธุรกิจคนนั้นมาถึงเร็ว.
button	ปุ่ม;กระดุม	กดปุ่มสีแดง.
camp	ค่าย;ตั้งค่าย	เราตั้งค่ายใกล้ทะเลสาบ.
camping	การตั้งแคมป์	การตั้งแคมป์สนุกในฤดูร้อน.
can2	กระป๋อง	เปิดกระป๋องอย่างระวัง.
care	การดูแล;ใส่ใจ	ดูแลสุขภาพของคุณ.
careful	ระมัดระวัง;รอบคอบ	ระวังบนบันได.
carefully	อย่างระมัดระวัง	อ่านคำถามอย่างระมัดระวัง.
carpet	พรม	พรมนุ่ม.
cartoon	การ์ตูน	การ์ตูนนี้ตลก.
case	กล่อง;กรณี	ใส่มันในกล่อง.
cash	เงินสด	ฉันจ่ายด้วยเงินสด.
castle	ปราสาท	ปราสาทนั้นเก่ามาก.
catch	จับ;รับ	จับลูกบอลตอนนี้.
cause	สาเหตุ;ทำให้เกิด	ฝนทำให้เกิดปัญหาได้.
celebrate	ฉลอง;เฉลิมฉลอง	เราฉลองวันเกิดของฉัน.
celebrity	คนดัง	คนดังนั้นใจดีมาก.
certain	แน่ใจ;บางอย่าง	ฉันแน่ใจเกี่ยวกับเรื่องนี้.
certainly	อย่างแน่นอน;แน่นอน	ฉันจะช่วยแน่นอน.
chance	โอกาส	คุณมีโอกาส.
character	ตัวละคร;ลักษณะนิสัย	ตัวละครนี้กล้าหาญ.
charity	องค์กรการกุศล;การกุศล	องค์กรการกุศลช่วยเด็กๆ.
chat	คุย;แชท	เราคุยหลังเลิกเรียน.
chef	เชฟ;พ่อครัว	เชฟทำซุป.
chemistry	เคมี	เคมียากสำหรับฉัน.
chip	ชิป;มันฝรั่งทอด	ชิปนี้เค็ม.
choice	ทางเลือก;การเลือก	ทางเลือกนี้สำคัญ.
church	โบสถ์	โบสถ์อยู่ใกล้ที่นี่.
cigarette	บุหรี่	บุหรี่ไม่ดีต่อสุขภาพ.
circle	วงกลม;ล้อมวง	วาดวงกลมที่นี่.
classical	คลาสสิก;แบบคลาสสิก	ฉันชอบดนตรีคลาสสิก.
clear	ชัดเจน;ใส	คำตอบชัดเจน.
clearly	อย่างชัดเจน	โปรดพูดให้ชัดเจน.
clever	ฉลาด	เธอเป็นเด็กฉลาด.
climate	ภูมิอากาศ	ภูมิอากาศกำลังเปลี่ยน.
close2	ใกล้	โรงเรียนของฉันอยู่ใกล้บ้าน.
closed	ปิด;ถูกปิด	ร้านปิดแล้ว.
clothing	เสื้อผ้า	เสื้อผ้าอุ่นมีประโยชน์.
cloud	เมฆ	เมฆบังดวงอาทิตย์.
coach	โค้ช;ฝึกสอน	โค้ชช่วยทีม.
coast	ชายฝั่ง	เราขับรถเลียบชายฝั่ง.
code	รหัส;โค้ด	ป้อนรหัสที่นี่.
colleague	เพื่อนร่วมงาน	เพื่อนร่วมงานของฉันโทรมา.
collect	สะสม;รวบรวม	ฉันสะสมการ์ดเก่า.
column	คอลัมน์;เสา	อ่านคอลัมน์แรก.
comedy	ตลก;ละครตลก	เรื่องตลกนี้ตลก.
comfortable	สบาย	เก้าอี้นี้นั่งสบาย.
comment	ความคิดเห็น;แสดงความคิดเห็น	ฝากความคิดเห็นไว้ด้านล่าง.
communicate	สื่อสาร	เราสื่อสารทางอีเมล.
community	ชุมชน	ชุมชนของเราเป็นมิตร.
compete	แข่งขัน	พวกเขาแข่งขันทุกปี.
competition	การแข่งขัน	การแข่งขันเริ่มพรุ่งนี้.
complain	บ่น;ร้องเรียน	อย่าบ่นอีก.
completely	อย่างสมบูรณ์;ทั้งหมด	ฉันเห็นด้วยกับคุณทั้งหมด.
condition	สภาพ;เงื่อนไข	รถอยู่ในสภาพดี.
conference	การประชุม	การประชุมเริ่มเก้าโมง.
connect	เชื่อมต่อ	เชื่อมต่อโทรศัพท์กับคอมพิวเตอร์.
connected	เชื่อมต่อ;เกี่ยวข้อง	ความคิดสองอย่างเชื่อมโยงกัน.
consider	พิจารณา	โปรดพิจารณาความคิดของฉัน.
contain	บรรจุ;มี	กล่องนี้มีหนังสือ.
context	บริบท	บริบทช่วยให้คุณเข้าใจ.
continent	ทวีป	ทวีปหนึ่งใหญ่มาก.
continue	ดำเนินต่อ;ต่อไป	โปรดอ่านต่อ.
control	ควบคุม;การควบคุม	ควบคุมความเร็วอย่างระมัดระวัง.
cooker	เตา;หม้อหุง	เตาสะอาด.
copy	สำเนา;คัดลอก	ทำสำเนาให้ฉัน.
corner	มุม	นั่งตรงมุม.
correctly	อย่างถูกต้อง	เขียนคำตอบให้ถูกต้อง.
count	นับ;จำนวน	นับหนังสือ.
couple	คู่รัก;คู่	คู่รักมาถึงเร็ว.
cover	ปิด;คลุม;ปก	ปิดชาม.
crazy	บ้า;แปลกมาก	ความคิดนี้ฟังดูบ้า.
creative	สร้างสรรค์	เธอมีความคิดสร้างสรรค์.
credit	เครดิต;สินเชื่อ	ฉันจ่ายด้วยบัตรเครดิต.
crime	อาชญากรรม	อาชญากรรมเป็นปัญหาร้ายแรง.
criminal	อาชญากร;เกี่ยวกับอาชญากรรม	อาชญากรออกไปอย่างรวดเร็ว.
cross	ข้าม;กากบาท	ข้ามถนนอย่างระมัดระวัง.
crowd	ฝูงชน	ฝูงชนรออยู่ข้างนอก.
crowded	แออัด;คนแน่น	รถไฟแออัด.
cry	ร้องไห้	อย่าร้องไห้ตอนนี้.
cupboard	ตู้กับข้าว;ตู้เก็บของ	ถ้วยอยู่ในตู้กับข้าว.
curly	หยิก	เธอมีผมหยิก.
cycle	ขี่จักรยาน;วงจร	ฉันขี่จักรยานไปโรงเรียน.
daily	รายวัน;ทุกวัน	ฉันอ่านข่าวทุกวัน.
danger	อันตราย	ป้ายแสดงอันตราย.
data	ข้อมูล	ข้อมูลนี้มีประโยชน์.
dead	ตาย;เสียชีวิต	ต้นไม้ตายแล้ว.
deal	ข้อตกลง;จัดการ	นี่เป็นข้อตกลงที่ดี.
death	ความตาย	ความตายเป็นหัวข้อยาก.
decision	การตัดสินใจ	ตัดสินใจวันนี้.
deep	ลึก	น้ำลึก.
definitely	อย่างแน่นอน	ฉันอยากดื่มชาแน่นอน.
degree	ปริญญา;องศา	ปริญญาของฉันเกี่ยวกับประวัติศาสตร์.
dentist	ทันตแพทย์	ทันตแพทย์ตรวจฟันของฉัน.
department	แผนก;ฝ่าย	แผนกรองเท้าอยู่ชั้นบน.
depend	ขึ้นอยู่กับ	มันขึ้นอยู่กับอากาศ.
desert	ทะเลทราย;ทิ้ง	ทะเลทรายแห้งมาก.
designer	นักออกแบบ	นักออกแบบทำชุดนี้.
destroy	ทำลาย	อย่าทำลายไฟล์.
detective	นักสืบ	นักสืบพบกุญแจ.
develop	พัฒนา	พวกเขาพัฒนาแอปใหม่.
device	อุปกรณ์	อุปกรณ์นี้มีประโยชน์.
diary	ไดอารี;สมุดบันทึก	เธอเขียนในไดอารีของเธอ.
differently	แตกต่างกัน;อย่างต่างกัน	เราทำมันแตกต่างกัน.
digital	ดิจิทัล	นี่คือกล้องดิจิทัล.
direct	ตรง;โดยตรง	ขึ้นรถไฟตรง.
direction	ทิศทาง	เดินไปในทิศทางนี้.
director	ผู้กำกับ;ผู้อำนวยการ	ผู้กำกับชอบภาพยนตร์.
disagree	ไม่เห็นด้วย	ฉันไม่เห็นด้วยกับความคิดนั้น.
disappear	หายไป;หายตัว	ดวงอาทิตย์จะหายไปเร็วๆนี้.
disaster	ภัยพิบัติ	พายุนั้นเป็นภัยพิบัติ.
discover	ค้นพบ	พวกเขาค้นพบเกาะใหม่.
discovery	การค้นพบ	การค้นพบนั้นเปลี่ยนวิทยาศาสตร์.
discussion	การอภิปราย;การสนทนา	การอภิปรายจบเร็ว.
disease	โรค	โรคนี้ร้ายแรง.
distance	ระยะทาง	ระยะทางสั้น.
divorced	หย่าร้าง	พ่อแม่ของเธอหย่าร้าง.
document	เอกสาร;บันทึก	บันทึกเอกสารนี้ตอนนี้.
double	คู่;สองเท่า	ฉันต้องการห้องคู่.
download	ดาวน์โหลด	ดาวน์โหลดแอปวันนี้.
drama	ละคร;ดราม่า	ละครเริ่มคืนนี้.
drawing	ภาพวาด;การวาด	ภาพวาดของเธอสวย.
dream	ความฝัน;ฝัน	ฉันฝันแปลก.
driving	การขับรถ	การขับรถตอนกลางคืนยาก.
drop	ทำตก;หยด	อย่าทำแก้วตก.
drug	ยา;ยาเสพติด	ยานั้นช่วยเขา.
dry	แห้ง;ทำให้แห้ง	ผ้าขนหนูแห้ง.
earn	หาเงิน;ได้รับ	ฉันหาเงินจากงาน.
earth	โลก;ดิน	โลกกลม.
easily	อย่างง่ายดาย	เธอเรียนรู้ง่าย.
education	การศึกษา	การศึกษาสำคัญ.
effect	ผล;ผลกระทบ	ผลนั้นชัดเจน.
either	อันใดอันหนึ่ง;ทั้งสองก็ไม่	คำตอบใดก็ได้.
electric	ไฟฟ้า;ใช้ไฟฟ้า	รถคันนี้เป็นรถไฟฟ้า.
electrical	เกี่ยวกับไฟฟ้า	ระบบไฟฟ้าปลอดภัย.
electricity	ไฟฟ้า	ไฟฟ้าที่นี่แพง.
electronic	อิเล็กทรอนิกส์	ตั๋วอิเล็กทรอนิกส์นี้ใช้ได้.
employ	จ้าง	พวกเขาจ้างห้าคน.
employee	พนักงาน	พนักงานทำงานหนัก.
employer	นายจ้าง	นายจ้างของฉันยุติธรรม.
empty	ว่างเปล่า;ทำให้ว่าง	ห้องว่างเปล่า.
ending	ตอนจบ;จุดจบ	ตอนจบน่าประหลาดใจ.
energy	พลังงาน;กำลัง	วันนี้ฉันไม่มีพลังงาน.
engine	เครื่องยนต์	เครื่องยนต์เสียงดัง.
engineer	วิศวกร	วิศวกรซ่อมสะพาน.
enormous	ใหญ่มหึมา	อาคารนั้นใหญ่มหึมา.
enter	เข้า;ป้อน	เข้าห้องอย่างเงียบๆ.
environment	สิ่งแวดล้อม	ปกป้องสิ่งแวดล้อม.
equipment	อุปกรณ์	อุปกรณ์นี้แพง.
error	ข้อผิดพลาด	ฉันพบข้อผิดพลาด.
especially	โดยเฉพาะ	ฉันชอบเพลงนี้โดยเฉพาะ.
essay	เรียงความ	เขียนเรียงความคืนนี้.
everyday	ทุกวัน;ประจำวัน	นี่คือภาษาอังกฤษในชีวิตประจำวัน.
everywhere	ทุกที่	ดอกไม้ขึ้นทุกที่.
evidence	หลักฐาน	หลักฐานชัดเจน.
exact	แน่นอน;แม่นยำ	ให้ตัวเลขที่แน่นอน.
exactly	อย่างแน่นอน;ตรงเป๊ะ	นั่นถูกต้องเป๊ะ.
excellent	ยอดเยี่ยม	งานของคุณยอดเยี่ยม.
except	ยกเว้น	ทุกคนมายกเว้นฉัน.
exist	มีอยู่;ดำรงอยู่	ที่อยู่นี้มีอยู่ไหม?
expect	คาดหวัง;คาดว่า	ฉันคาดว่าพรุ่งนี้ฝนตก.
experience	ประสบการณ์;ประสบ	ฉันมีประสบการณ์กับเด็กๆ.
experiment	การทดลอง;ทดลอง	การทดลองได้ผลดี.
expert	ผู้เชี่ยวชาญ	ถามผู้เชี่ยวชาญเพื่อขอความช่วยเหลือ.
explanation	คำอธิบาย	คำอธิบายของเธอชัดเจน.
express	แสดงออก;แสดงความคิดเห็น	โปรดแสดงความคิดเห็นของคุณ.
expression	สำนวน;การแสดงออก	สำนวนนี้พบบ่อย.
extreme	สุดขีด;รุนแรง	ความร้อนรุนแรงมาก.
extremely	อย่างยิ่ง;มากๆ	มันหนาวมากๆ.
factor	ปัจจัย	ค่าใช้จ่ายเป็นปัจจัยหนึ่ง.
factory	โรงงาน	โรงงานปิดตอนห้าโมง.
fail	ล้มเหลว;สอบตก	ฉันไม่ได้ล้มเหลว.
fair	ยุติธรรม;เหมาะสม	ราคายุติธรรม.
fan	พัดลม;แฟน	เปิดพัดลม.
farming	การทำฟาร์ม;เกษตรกรรม	การทำฟาร์มเป็นงานหนัก.
fashion	แฟชั่น	แฟชั่นเปลี่ยนทุกปี.
fear	ความกลัว;กลัว	ความกลัวหยุดคนได้.
feature	คุณลักษณะ;ฟีเจอร์	โทรศัพท์นี้มีฟีเจอร์มีประโยชน์.
feed	ให้อาหาร;เลี้ยง	ให้อาหารแมวตอนนี้.
female	เพศหญิง;ผู้หญิง	นักกีฬาหญิงชนะ.
fiction	นิยาย;เรื่องแต่ง	เธออ่านนิยายตอนกลางคืน.
field	ทุ่ง;สาขา	ทุ่งนั้นสีเขียว.
fight	ต่อสู้;ทะเลาะ	พวกเขาทะเลาะกันมากเกินไป.
figure	รูป;ตัวเลข;บุคคล	ดูรูปนี้.
finally	ในที่สุด	ในที่สุดเราก็ถึงบ้าน.
finger	นิ้วมือ	นิ้วของฉันเจ็บ.
firstly	อย่างแรก;ประการแรก	อย่างแรกอ่านคำถาม.
fishing	การตกปลา	การตกปลาเป็นที่นิยมที่นี่.
fit	พอดี;เหมาะสม	รองเท้านี้พอดี.
fix	ซ่อม;แก้ไข	ซ่อมเก้าอี้ที่เสีย.
flu	ไข้หวัดใหญ่	ฉันเป็นไข้หวัดใหญ่.
flying	การบิน;บิน	การบินรวดเร็ว.
focus	จดจ่อ;โฟกัส	จดจ่อกับงานนี้.
following	ต่อไปนี้;ถัดไป	อ่านประโยคต่อไปนี้.
foreign	ต่างประเทศ;ต่างชาติ	เธอพูดภาษาต่างประเทศ.
forest	ป่า	ป่าเงียบ.
fork	ส้อม	ใช้ส้อม.
formal	เป็นทางการ	จดหมายนี้เป็นทางการ.
fortunately	โชคดีที่	โชคดีที่ไม่มีใครบาดเจ็บ.
forward	ไปข้างหน้า	เคลื่อนไปข้างหน้าอย่างช้าๆ.
fresh	สด;ใหม่	ขนมปังสด.
