source_headword	RU	example_RU
convention	конвенция	Ежегодный съезд начинается в понедельник.
conventional	традиционный	Он выбрал традиционный дизайн.
convey	передавать	Это сообщение передало сочувствие.
convincing	убедительный	Её объяснение было убедительным.
cope	справляться	Она научилась справляться со стрессом.
corporation	корпорация	Корпорация открыла новый офис.
corridor	коридор	Коридор был узким и тихим.
counter (long flat surface)	прилавок	Ключи лежат на кухонной столешнице.
coverage	охват	Освещение в новостях продолжалось весь вечер.
crack	трещина	В стене появилась трещина.
craft	ремесло	Она продает поделки ручной работы в интернете.
creativity	творчество	Креативность помогает решать проблемы.
critically	критически	Эта статья была критически важной.
cruise	круиз	Они забронировали круиз в Грецию.
cue	сигнал	Актер пропустил свою реплику.
curious	любопытный	Ребенок был очень любопытен насчет космоса.
curriculum	учебная программа	Школа обновила свою учебную программу.
cute	милый	Щенок выглядел мило.
dairy	молочная ферма	Эта ферма производит молочные продукты.
dare	осмеливаться	Я бросаю тебе вызов попробовать это.
darkness	темнота	Комната наполнилась темнотой.
database	база данных	База данных хранит записи клиентов.
deadline	крайний срок	Крайний срок — пятница.
deadly	смертельный	У этой змеи смертельный яд.
dealer	дилер	Автомобильный дилер предложил скидку.
deck	палуба	Стулья стоят на террасе.
defender	защитник	Защитник заблокировал удар.
delete	удалять	Удалите старое сообщение.
democracy	демократия	Демократия зависит от свободных выборов.
democratic	демократический	Голосование следовало демократическим правилам.
demonstration	демонстрация	Студенты присоединились к демонстрации.
depart	отправляться	Поезд отправится в полдень.
dependent	зависимый	Ребенок зависим от взрослых.
deposit	депозит	Она внесла залог за квартиру.
depression	депрессия	Депрессия требует профессиональной поддержки.
derive	извлекать	Многие слова происходят из латыни.
desperately	отчаянно	Он отчаянно нуждался в воде.
destruction	разрушение	Шторм вызвал масштабные разрушения.
determination	решимость	Её решимость впечатлила тренера.
devote	посвящать	Она посвящает выходные учебе.
differ	различаться	Их мнения резко различаются.
disability	инвалидность	В здании есть доступ для людей с инвалидностью.
disabled	инвалидный	Спортсмен-инвалид выиграл медаль.
disagreement	разногласие	Собрание закончилось разногласиями.
disappoint	разочаровывать	Этот результат может разочаровать фанатов.
disappointment	разочарование	Он почувствовал глубокое разочарование.
discourage	отговаривать	Не обескураживайте молодых учеников.
disorder	расстройство	Врач диагностировал расстройство сна.
distant	отдаленный	Горы казались далекими.
distinct	отчетливый	Эти два звука отчетливо различаются.
distinguish	различать	Можете ли вы различить эти цвета?
distract	отвлекать	Шум может отвлекать студентов.
disturb	беспокоить	Пожалуйста, не беспокойте пациента.
dive	нырять	Они будут нырять возле рифа.
diverse	разнообразный	В этом городе разнообразные культуры.
diversity	разнообразие	Мы празднуем культурное разнообразие.
divorce	развод	Развод был тяжелым для всех.
dominant	доминирующий	Доминирующая команда контролировала игру.
donation	пожертвование	Эта благотворительная организация получила пожертвование.
dot	точка	Поставьте точку после цифры.
downtown	центр города	Мы встретились в центре города после работы.
dramatically	драматично	Цена резко упала.
drought	засуха	Засуха повредила урожай.
dull	скучный	Лекция была скучной.
dump	сбрасывать	Не выбрасывайте здесь мусор.
duration	продолжительность	Продолжительность полета составляет три часа.
dynamic	динамичный	В классе царила динамичная атмосфера.
economics	экономика	Она изучает экономику в университете.
economist	экономист	Экономист предсказал более медленный рост.
editorial	редакционный	В передовой статье критиковался этот закон.
efficiently	эффективно	Команда работала эффективно.
elbow	локоть	Он ушиб локоть.
electronics	электроника	В магазине продается электроника.
elegant	элегантный	Платье выглядело элегантным.
elementary	элементарный	В книге объясняется элементарная грамматика.
eliminate	устранять	Команда устранила несколько ошибок.
embrace	принимать	Она приняла новую идею.
emission	выброс	Уровни выбросов автомобилей снизились.
emotionally	эмоционально	Он эмоционально говорил о своей семье.
empire	империя	Империя просуществовала столетия.
enjoyable	приятный	Поездка была приятной.
entertaining	занимательный	Шоу было занимательным.
entrepreneur	предприниматель	Предприниматель открыл кафе.
envelope	конверт	Положи письмо в конверт.
equip	оснащать	Школа оборудует лабораторию.
equivalent	эквивалент	Один доллар здесь не является эквивалентом.
era	эпоха	Открытие положило начало новой эре.
erupt	разразиться	Вулкан может скоро извергнуться.
essentially	по сути	Два метода по сути идентичны.
ethic	этика	У него сильная рабочая этика.
ethnic	этнический	На фестивале прославляются этнические традиции.
evaluation	оценка	Курс включает итоговую оценку.
evident	очевидный	Его нервозность была очевидной.
evolution	эволюция	Эволюция объясняет многие биологические изменения.
evolve	развивать	Языки развиваются со временем.
exceed	превышать	Спрос может превысить предложение.
exception	исключение	Есть одно исключение.
excessive	чрезмерный	Чрезмерный шум мешает соседям.
exclude	исключать	Список исключает временных работников.
exhibit	экспонат	Музей выставит редкие фотографии.
exit	выход	Актёр быстро нашёл выход за сценой.
exotic	экзотический	В магазине продаются экзотические фрукты.
expansion	расширение	Компания планировала расширение.
expertise	опыт	Ее опыт улучшил проект.
exploit	эксплуатировать	Преступники используют слабые пароли.
exposure	воздействие	Воздействие солнца может повредить кожу.
extension	расширение	Продление крайнего срока всем помогло.
extensive	обширный	В библиотеке есть обширные ресурсы.
extensively	подробно	Тема изучалась всесторонне.
extract	экстракт	Экстракт ванили придает вкус.
fabric	ткань	Ткань кажется мягкой на ощупь.
fabulous	невероятный	Еда была потрясающей.
failed	неудачный	Неудачная попытка нас чему-то научила.
fake	поддельный	На сайте продавались поддельные билеты.
fame	слава	Слава изменила его личную жизнь.
fantasy	фантазия	Этот роман — фэнтези.
fare	тариф	Плата за проезд в автобусе выросла.
federal	федеральный	Федеральное правительство объявило о финансировании.
fever	лихорадка	У ребенка температура.
firefighter	пожарный	Пожарный спас собаку.
firework	фейерверк	Над парком взорвался фейерверк.
firm	твердый	Матрас твердый.
firmly	твердо	Она плотно закрыла дверь.
flavour	вкус	У супа насыщенный вкус.
fond	любящий	Он увлекается джазом.
fool	дурак	Не веди себя как дурак.
forbid	запрещать	Закон запрещает здесь курить.
forecast	прогноз	Прогноз обещает дождь.
format	формат	Используйте правильный формат файла.
formation	формирование	Формирование облаков быстро меняется.
formerly	ранее	Ранее здание было школой.
fortunate	удачный	Нам повезло приехать рано.
forum	форум	На форуме обсуждалась климатическая политика.
fossil	ископаемое	Окаменелость была найдена в камне.
foundation	основа	У дома крепкий фундамент.
founder	основатель	Основатель поприветствовал гостей.
fraction	доля	Пришла только часть студентов.
fragment	фрагмент	На полу лежал осколок стекла.
framework	рамки	Закон создает четкие рамки.
fraud	мошенничество	Банк обнаружил мошенничество.
freely	свободно	Дети свободно играли на улице.
frequent	частый	Частые перерывы улучшают концентрацию.
fulfil	выполнять	Я надеюсь выполнить свое обещание.
full-time	полный рабочий день	У нее работа на полный рабочий день.
fundamentally	в корне	План в корне отличается.
furious	яростный	Он был в ярости из-за задержки.
gaming	игры	Видеоигры могут улучшить скорость реакции.
gay	гей	Он поддерживает права геев.
gender	пол	В опросе спрашивалось о поле.
gene	ген	Ген влияет на цвет глаз.
genetic	генетический	У болезни генетические причины.
genius	гений	Молодой пианист — гений.
genuine	подлинный	Ее улыбка казалась искренней.
genuinely	искренне	Он искренне хотел помочь.
gesture	жест	Она сделала дружелюбный жест.
gig	концерт	Группа отыграла концерт в центре.
globalization	глобализация	Глобализация влияет на местный бизнес.
globe	глобус	На глобусе показан каждый континент.
golden	золотой	Закат стал золотым.
goodness	доброта	Она верит в человеческую доброту.
gorgeous	великолепный	Сад выглядел великолепно.
governor	губернатор	Губернатор подписал законопроект.
graphic	графический	Графическое изображение шокировало зрителей.
graphics	графика	В игре простая графика.
greatly	значительно	Ваш совет очень помог.
greenhouse	теплица	Помидоры растут внутри теплицы.
grocery	продуктовый магазин	Она купила продукты после работы.
guideline	руководство	Руководство объясняет безопасную практику.
habitat	среда обитания	Лес — это среда обитания птиц.
harbour	гавань	Лодка вошла в гавань.
headquarters	штаб-квартира	Штаб-квартира компании переехала в центр.
