source_headword	SI	example_SI
dancer	නර්තකයා; නර්තකිය	නර්තකිය වේගයෙන් ගමන් කරයි.
dancing	නැටීම	නැටීම විනෝදජනකය.
dangerous	අනතුරුදායක	මෙම මාර්ගය අනතුරුදායකය.
dark	අඳුරු	කාමරය අඳුරුය.
date	දිනය	අද දිනය කීයද?
daughter	දුව	ඇගේ දුවට අවුරුදු හයයි.
day	දවස	ඔබට හොඳ දවසක් වේවා.
dear	ප්‍රිය	ප්‍රිය මිතුරා, ස්තුතියි.
December	දෙසැම්බර්	මගේ උපන්දිනය දෙසැම්බර් මාසයේය.
decide	තීරණය කරන්න	කරුණාකර දැන් තීරණය කරන්න.
delicious	රසවත්	මෙම සුප් රසවත්ය.
describe	විස්තර කරන්න	ඔබේ කාමරය විස්තර කරන්න.
description	විස්තරය	කෙටි විස්තරය කියවන්න.
design	නිර්මාණය; සැලසුම් කරන්න	මම සරල කාඩ්පතක් සැලසුම් කරමි.
desk	මේසය	පොත මගේ මේසය මත ඇත.
detail	විස්තර කරුණ	එක් විස්තර කරුණක් අඩුය.
dialogue	සංවාදය	දැන් සංවාදය කියවන්න.
dictionary	ශබ්දකෝෂය	පන්තියේදී ශබ්දකෝෂයක් භාවිත කරන්න.
die	මිය යන්න	ජලය නොමැතිව මල් මිය යයි.
diet	ආහාර රටාව	මගේ ආහාර රටාවට පලතුරු ඇතුළත්ය.
difference	වෙනස	එක වෙනසක් ඇත.
different	වෙනස්	අපට වෙනස් නම් ඇත.
difficult	අමාරු	මෙම ප්‍රශ්නය අමාරුය.
dinner	රාත්‍රී ආහාරය	රාත්‍රී ආහාරය සූදානම්ය.
dirty	අපිරිසිදු	මගේ සපත්තු අපිරිසිදුයි.
discuss	සාකච්ඡා කරන්න	අපි සැලැස්ම සාකච්ඡා කරමු.
dish	කෑම වර්ගය; පිඟාන	මෙම කෑම වර්ගය උණුසුම්ය.
do1	කරන්න; සහායක ක්‍රියාව	ඔබ කුමක් කරන්නේද?
doctor	වෛද්‍යවරයා	වෛද්‍යවරයා කාර්යබහුලය.
dog	බල්ලා	බල්ලා පිටත දුවයි.
dollar	ඩොලරය	එයට එක් ඩොලරයක් වැය වේ.
door	දොර	කරුණාකර දොර වසන්න.
down	පහළට	මෙහි පහළට වාඩි වන්න.
downstairs	පහළ මහලේ	මුළුතැන්ගෙය පහළ මහලේය.
draw	අඳින්න	කුඩා නිවසක් අඳින්න.
dress	ගවුම; ඇඳුම් අඳින්න	ඇය රතු ගවුමක් අඳියි.
drink	බොන්න; පානය	මම ජලය බොමි.
drive	පදවන්න	මම වැඩට රථය පදවමි.
driver	රියදුරු	රියදුරු මෙහි නවතයි.
during	අතරතුර	මම ගුවන් ගමන අතරතුර නිදා ගනිමි.
DVD	ඩීවීඩී	මෙම ඩීවීඩී පැරණිය.
each	එක් එක්	එක් එක් දරුවාට පොතක් ඇත.
ear	කන	මගේ කන රිදෙයි.
early	වේලාසන	මම වේලාසන නැගිටිමි.
east	නැගෙනහිර	සූර්යයා නැගෙනහිරින් උදාවේ.
easy	ලේසි	මෙම පරීක්ෂණය ලේසියි.
eat	කන්න	අපි එකට දවල් ආහාරය කමු.
egg	බිත්තරය	මම බිත්තරයක් කමි.
eight	අට	මට කාඩ්පත් අටක් ඇත.
eighteen	දහඅට	ඇයට අවුරුදු දහඅටයි.
eighty	අසූ	මගේ සීයාට අවුරුදු අසූයි.
elephant	ඇතා	ඇතා විශාලය.
eleven	එකොළහ	පන්තිය එකොළහට ආරම්භ වේ.
else	තවත්	ඔබට තවත් කුමක් අවශ්‍යද?
email	විද්‍යුත් තැපෑල	මට විද්‍යුත් තැපෑලක් යවන්න.
end	අවසානය; අවසන් කරන්න	මෙය අවසානයයි.
enjoy	විනෝද වන්න	මම මෙම ගීතයෙන් විනෝද වෙමි.
enough	ප්‍රමාණවත්	අපට ප්‍රමාණවත් කාලය ඇත.
euro	යුරෝ	එයට එක් යුරෝවක් වැය වේ.
even	පවා	මගේ සහෝදරයා පවා දනී.
evening	සවස	අපි අද සවස හමුවෙමු.
event	සිදුවීම; වැඩසටහන	වැඩසටහන අද ආරම්භ වේ.
ever	කවදා හෝ	ඔබ කවදා හෝ උයනවාද?
every	සෑම	මම සෑම දිනකම ඉගෙන ගනිමි.
everybody	සියලු දෙනා	සියලු දෙනා මෙහි සිටිති.
everyone	හැමෝම	හැමෝම සංගීතයට කැමතියි.
everything	සියල්ල	සියල්ල සූදානම්ය.
exam	විභාගය	විභාගය ඉක්මනින් ආරම්භ වේ.
example	උදාහරණය	මෙය හොඳ උදාහරණයකි.
excited	උද්යෝගිමත්	මම අද උද්යෝගිමත්ය.
exciting	උද්යෝගජනක	ක්‍රීඩාව උද්යෝගජනකය.
exercise	ව්‍යායාම; අභ්‍යාසය	මම උදෑසන ආහාරයට පෙර ව්‍යායාම කරමි.
expensive	මිල අධික	මෙම කබාය මිල අධිකය.
explain	පැහැදිලි කරන්න	කරුණාකර මෙම වචනය පැහැදිලි කරන්න.
extra	අමතර	මට අමතර කාලය අවශ්‍යයි.
eye	ඇස	මගේ ඇස රතුය.
face	මුහුණ	ඔබේ මුහුණ සෝදන්න.
fact	කරුණ	මෙම කරුණ වැදගත්ය.
fall	වැටෙන්න; පහළට යන්න	සරත් කාලයේ කොළ වැටේ.
false	වැරදි; අසත්‍ය	එම පිළිතුර වැරදියි.
family	පවුල	මගේ පවුල කුඩාය.
famous	ප්‍රසිද්ධ	ඇය ප්‍රසිද්ධ ගායිකාවකි.
fantastic	අති විශිෂ්ට	සංගීත ප්‍රසංගය අති විශිෂ්ට විය.
far	දුර	පාසල දුරය.
farm	ගොවිපළ	ඔවුන් ගොවිපළක ජීවත් වෙති.
farmer	ගොවියා	ගොවියා ආහාර වගා කරයි.
fast	වේගවත්	මෙම දුම්රිය වේගවත්ය.
fat	මහත	පූසා මහතය.
father	තාත්තා	මගේ තාත්තා උසය.
favourite	ප්‍රියතම	මෙය මගේ ප්‍රියතම ගීතයයි.
February	පෙබරවාරි	මෙහි පෙබරවාරි මාසය සීතලය.
feel	දැනෙන්න	මට සතුටක් දැනේ.
feeling	හැඟීම	මම එම හැඟීම දනිමි.
festival	උත්සවය	උත්සවය හෙට ආරම්භ වේ.
few	කිහිපයක්; ටිකක්	සිසුන් කිහිප දෙනෙක් මෙහි සිටිති.
fifteen	පහළොව	මට අවුරුදු පහළොවයි.
fifth	පස්වන	මෙය පස්වන පාඩමයි.
fifty	පනහ	මගේ අම්මාට අවුරුදු පනහයි.
fill	පුරවන්න	කෝප්පය ජලයෙන් පුරවන්න.
film	චිත්‍රපටය	අපි චිත්‍රපටයක් බලමු.
final	අවසාන	මෙය අවසාන ප්‍රශ්නයයි.
find	සොයා ගන්න	මම මගේ යතුරු සොයා ගනිමි.
fine	හොඳින්	මම දැන් හොඳින් සිටිමි.
finish	අවසන් කරන්න	ඔබේ ගෙදර වැඩ අවසන් කරන්න.
fire	ගින්න	ගින්න උණුසුම්ය.
first	පළමු	ඇය පෝලිමේ පළමුව සිටී.
fish	මාළු	මම රාත්‍රී ආහාරයට මාළු කමි.
five	පහ	මට පොත් පහක් ඇත.
flat	මහල් නිවාසය	මගේ මහල් නිවාසය කුඩාය.
flight	ගුවන් ගමන	ගුවන් ගමන ප්‍රමාදය.
floor	බිම; මහල	බෑගය බිම ඇත.
flower	මල	මෙම මල කහය.
fly	පියාසර කරන්න	කුරුල්ලෝ අහසේ පියාසර කරති.
follow	අනුගමනය කරන්න	කරුණාකර මාව අනුගමනය කරන්න.
food	ආහාර	ආහාර සූදානම්ය.
foot	පාදය	මගේ පාදය රිදෙයි.
football	පාපන්දු	අපි අද පාපන්දු ක්‍රීඩා කරමු.
for	සඳහා	මෙම තෑග්ග ඔබ සඳහාය.
forget	අමතක කරන්න	ඔබේ යතුරු අමතක නොකරන්න.
form	පෝරමය; සැකසීම	පෝරමය පුරවන්න.
forty	හතළිහ	මගේ තාත්තාට අවුරුදු හතළිහයි.
four	හතර	මම කුරුල්ලන් හතරක් දකිමි.
fourteen	දහහතර	ඇයට අවුරුදු දහහතරයි.
fourth	සිව්වන	මෙය සිව්වන මහලයි.
free	නොමිලේ; නිදහස්	ටිකට්පත නොමිලේය.
Friday	සිකුරාදා	අපි සිකුරාදා හමුවෙමු.
friend	මිතුරා	මගේ මිතුරා මෙහි සිටී.
friendly	මිත්‍රශීලී	ගුරුවරයා මිත්‍රශීලීය.
from	සිට; වෙතින්	මම මෙහි සිටිමි.
front	ඉදිරිපස	ඉදිරිපස සිටින්න.
fruit	පලතුරු	මම සෑම දිනකම පලතුරු කමි.
full	පිරුණු	බෝතලය පිරී ඇත.
fun	විනෝදය	මෙම ක්‍රීඩාව විනෝදජනකය.
funny	හාස්‍යජනක	චිත්‍රපටය හාස්‍යජනකය.
future	අනාගතය	ඔබේ අනාගතය ගැන සිතන්න.
game	ක්‍රීඩාව	ක්‍රීඩාව දැන් ආරම්භ වේ.
garden	උද්‍යානය	උද්‍යානය ලස්සනයි.
geography	භූගෝල විද්‍යාව	මම පාසලේ භූගෝල විද්‍යාව ඉගෙන ගනිමි.
get	ලබා ගන්න; පැමිණෙන්න	මම හයට ගෙදර පැමිණෙමි.
girl	ගැහැණු ළමයා	ගැහැණු ළමයා සිනාසෙයි.
girlfriend	පෙම්වතිය	ඔහුගේ පෙම්වතිය කරුණාවන්තය.
give	දෙන්න	මට පොත දෙන්න.
glass	වීදුරුව	මම වීදුරුවකින් බොමි.
go	යන්න	අපි දැන් ගෙදර යමු.
good	හොඳ	මෙම කෝපි හොඳයි.
goodbye	සුබ ගමන්	සුබ ගමන්, හෙට හමුවෙමු.
grandfather	සීයා	මගේ සීයා වයසයි.
grandmother	ආච්චි	මගේ ආච්චි සුප් සාදයි.
grandparent	සීයා හෝ ආච්චි	එක් සීයා හෝ ආච්චි අප සමඟ ජීවත් වේ.
great	මහා; විශිෂ්ට	මෙය විශිෂ්ට අදහසකි.
green	කොළ	දොර කොළ පාටයි.
grey	අළු	අහස අළු පාටයි.
group	කණ්ඩායම	කුඩා කණ්ඩායමක වැඩ කරන්න.
grow	වැඩෙන්න; වගා කරන්න	පැළ උද්‍යානයේ වැඩෙයි.
guess	අනුමාන කරන්න	පිළිතුර අනුමාන කරන්න.
guitar	ගිටාරය	ඔහු ගිටාරය වාදනය කරයි.
gym	ව්‍යායාම් ශාලාව	මම ව්‍යායාම් ශාලාවට යමි.
hair	හිසකෙස්	ඇගේ හිසකෙස් දිගය.
half	අඩක්	කේක් එක අඩකට කපන්න.
hand	අත	ඔබේ අත උස්සන්න.
happen	සිදුවන්න	ඊළඟට කුමක් සිදුවේද?
happy	සතුටු	මම අද සතුටින් සිටිමි.
hard	කඨින; අමාරු	මෙම පුටුව කඨිනයි.
hat	තොප්පිය	මගේ තොප්පිය කළුය.
hate	වෛර කරන්න	මම සීතල තේට අකමැතියි.
have	තිබෙන්න; ලබා තිබෙන්න	මට මෝටර් රථයක් ඇත.
have to modal	අවශ්‍ය වීම	මට ඉගෙන ගන්න අවශ්‍යය.
he	ඔහු	ඔහු මගේ සහෝදරයාය.
head	හිස	මගේ හිස රිදෙයි.
health	සෞඛ්‍යය	හොඳ ආහාර සෞඛ්‍යයට උපකාරී වේ.
healthy	සෞඛ්‍ය සම්පන්න	මෙම ආහාරය සෞඛ්‍ය සම්පන්නය.
hear	ඇසෙන්න	මට සංගීතය ඇසේ.
hello	ආයුබෝවන්	ආයුබෝවන්, ඔබ හමුවීම සතුටකි.
help	උදව් කරන්න; උදව්	කරුණාකර මට උදව් කරන්න.
her	ඇයට; ඇගේ	මෙය ඇගේ බෑගයයි.
here	මෙහි	දැන් මෙහි එන්න.
hey	හේයි	හේයි, මාව බලා සිටින්න.
hi	ආයුබෝවන්	ආයුබෝවන්, ඔබට කොහොමද?
high	උස; ඉහළ	බිත්තිය උසය.
him	ඔහුව	මම ඔහුව හඳුනමි.
his	ඔහුගේ	ඔහුගේ කබාය නිල්ය.
history	ඉතිහාසය	මම ඉතිහාසය ඉගෙන ගනිමි.
hobby	විනෝදාංශය	කියවීම මගේ විනෝදාංශයයි.
holiday	නිවාඩුව	අපි ජූලි මාසයේ නිවාඩුවක් ගනිමු.
home	ගෙදර	මම ගෙදර සිටිමි.
homework	ගෙදර වැඩ	අද රාත්‍රියේ ඔබේ ගෙදර වැඩ කරන්න.
hope	බලාපොරොත්තු වන්න	ඔබ එනු ඇතැයි මම බලාපොරොත්තු වෙමි.
horse	අශ්වයා	අශ්වයා වේගයෙන් දුවයි.
hospital	රෝහල	රෝහල මෙහි අසලය.
hot	උණුසුම්	සුප් උණුසුම්ය.
hotel	හෝටලය	හෝටලය පිරිසිදුය.
hour	පැය	පැයක් බලා සිටින්න.
house	නිවස	මෙම නිවස පැරණිය.
how	කෙසේ	ඔබට කොහොමද?
however	කෙසේ වෙතත්	කෙසේ වෙතත්, මට මෙහි සිටිය හැක.
hundred	සියය	මිනිසුන් සියයක් පැමිණියහ.
hungry	බඩගිනි	මට බඩගිනි දැනේ.
husband	ස්වාමිපුරුෂයා	ඇගේ ස්වාමිපුරුෂයා වෛද්‍යවරයෙකි.
I	මම	මම තේට කැමතියි.
ice	අයිස්	අයිස් සීතලයි.
ice cream	අයිස්ක්‍රීම්	මට අයිස්ක්‍රීම් අවශ්‍යයි.
idea	අදහස	එය හොඳ අදහසකි.
if	නම්	ඔබට උදව් අවශ්‍ය නම් මට අමතන්න.
imagine	සිතන්න; කල්පනා කරන්න	කුඩා නිවසක් සිතන්න.
important	වැදගත්	මෙම පාඩම වැදගත්ය.
improve	වැඩිදියුණු කරන්න	මට වැඩිදියුණු වීමට අවශ්‍යයි.
in	තුළ	යතුරු මගේ බෑගයේ ඇත.
include	ඇතුළත් කරන්න	කරුණාකර ඔබේ නම ඇතුළත් කරන්න.
information	තොරතුරු	මට තවත් තොරතුරු අවශ්‍යයි.
interest	උනන්දුව	ඇයට කලාව පිළිබඳ උනන්දුවක් ඇත.
interested	උනන්දුවක් ඇති	මට සංගීතයට උනන්දුවක් ඇත.
interesting	රසවත්	මෙම පොත රසවත්ය.
internet	අන්තර්ජාලය	අන්තර්ජාලය මන්දගාමීය.
interview	සම්මුඛ පරීක්ෂණය	අද මට සම්මුඛ පරීක්ෂණයක් ඇත.
into	ඇතුළට	පොත් බෑගයට ඇතුළට දමන්න.
introduce	හඳුන්වා දෙන්න	කරුණාකර ඔබේ මිතුරා හඳුන්වා දෙන්න.
island	දූපත	මෙම දූපත කුඩාය.
it	එය	එය සීතලයි.
its	එහි	බල්ලට එහි ඇඳ කැමතියි.
jacket	ජැකට්ටුව	මගේ ජැකට්ටුව අලුත්ය.
January	ජනවාරි	ජනවාරි පළමු මාසයයි.
jeans	ජීන්ස්	මගේ ජීන්ස් නිල් පාටයි.
job	රැකියාව	මට නව රැකියාවක් අවශ්‍යයි.
join	එක් වන්න	අද අපේ පන්තියට එක් වන්න.
journey	ගමන	ගමන දිගය.
juice	යුෂ	මම දොඩම් යුෂ බොමි.
July	ජූලි	අපි ජූලි මාසයේ ගමන් කරමු.
June	ජූනි	පාසල ජූනි මාසයේ අවසන් වේ.
just	පමණක්; දැන්ම	මට ජලය පමණක් අවශ්‍යයි.
keep	තබා ගන්න	මෙම යතුර තබා ගන්න.
key	යතුර	මගේ යතුර නැති විය.
kilometre	කිලෝමීටරය	කිලෝමීටරයක් ඇවිදින්න.
kind (type)	වර්ගය; ආකාරය	ඔබට කුමන වර්ගයේ සංගීතය කැමතිද?
kitchen	මුළුතැන්ගෙය	මුළුතැන්ගෙය පිරිසිදුය.
know	දැනගන්න	මම පිළිතුර දනිමි.
land	භූමිය	ගුවන් යානය භූමිය මත ඇත.
language	භාෂාව	ඉංග්‍රීසි භාෂාවකි.
large	විශාල	මෙම කාමරය විශාලය.
last1 (final)	අවසාන; පසුගිය	මෙය අවසාන පිටුවයි.
late	ප්‍රමාද	බසය ප්‍රමාදයි.
later	පසුව	පසුව හමුවෙමු.
laugh	සිනාසෙන්න	අපි එකට සිනාසෙමු.
learn	ඉගෙන ගන්න	මම ඉංග්‍රීසි ඉගෙන ගනිමි.
leave	හැර යන්න; තබන්න	දොර විවෘතව තබන්න.
left	වම	මෙහි වමට හැරෙන්න.
leg	කකුල	මගේ කකුල රිදෙයි.
lesson	පාඩම	පාඩම දැන් ආරම්භ වේ.
let	ඉඩ දෙන්න	මට ඔබට උදව් කිරීමට ඉඩ දෙන්න.
letter	ලිපිය; අකුර	මම ලිපියක් ලියමි.
library	පුස්තකාලය	පුස්තකාලය නවයට විවෘත වේ.
lie1	පැතලී සිටින්න; වැතිරෙන්න	කරුණාකර ඇඳ මත වැතිරෙන්න.
life	ජීවිතය	නගර ජීවිතය කාර්යබහුලය.
like (similar)	වගේ	එය ක්‍රීඩාවක් වගේය.
like (find sb/sth pleasant)	කැමති වන්න	මම මෙම ගීතයට කැමතියි.
line	පේළිය; රේඛාව	පේළියේ සිටින්න.
lion	සිංහයා	සිංහයා නිදා ගනී.
list	ලැයිස්තුව	මිලදී ගැනීම් ලැයිස්තුවක් සාදන්න.
listen	සවන් දෙන්න	ගුරුවරයාට සවන් දෙන්න.
little	කුඩා; ටිකක්	මට ටිකක් මුදල් ඇත.
live1	ජීවත් වෙන්න	මම පාසල අසල ජීවත් වෙමි.
local	දේශීය	මෙය දේශීය වෙළඳසැලකි.
long1	දිගු	මාර්ගය දිගුය.
look	බලන්න	පින්තූරය බලන්න.
lose	නැති කරගන්න	ඔබේ ටිකට්පත නැති කර නොගන්න.
lot	බොහෝ	මට බොහෝ ගෙදර වැඩ ඇත.
love	ආදරය; ආදරය කරන්න	මම මගේ පවුලට ආදරය කරමි.
lunch	දවල් ආහාරය	දවල් ආහාරය සූදානම්ය.
