source_headword	KK	example_KK
pump	сорғы	Сорғы суды жоғары көтереді.
punch	соққы	Ол ашуланып соққы жасады.
query	сұраныс	Сұранысыңызды қолдау қызметіне жіберіңіз.
quest	ізденіс	Олардың әділеттілікке деген ізденісі жалғасты.
quota	квота	Команда сату квотасын орындады.
radar	радар	Дауыл радарда пайда болды.
radical	радикалды	Топ радикалды реформаларды ұсынды.
rage	ашу-ыза	Оның ашу-ызасы тез басылды.
raid	рейд	Полиция таңғы рейд жүргізді.
rally	митинг	Қолдаушылар қала орталығындағы митингіге қосылды.
ranking	рейтинг	Университет өз рейтингін жақсартты.
rape	зорлау	Зорлау істері мұқият тергеуді қажет етеді.
ratio	қатынас	Сыныпта мұғалімдердің қатынасы төмен.
rational	ұтымды	Оның шешімі ұтымды болды.
ray	сәуле	Күн сәулесі түсті.
readily	бірден	Ол ұсынысты бірден қабылдады.
realization	түсіну	Мұны түсіну оның жоспарларын өзгертті.
realm	сала	Бұл сұрақ басқа салаға жатады.
rear	артқы	Бүгін артқы есікті пайдаланыңыз.
reasoning	пайымдау	Оның пайымдауы анық болды.
reassure	тыныштандыру	Дәрігер оны тыныштандыруға тырысты.
rebel	көтерілісші	Көтерілісшілердің басшысы тұтқыннан қашып құтылды.
rebellion	көтеріліс	Көтеріліс келіссөздерден кейін аяқталды.
recipient	алушы	Алушы формаға қол қойды.
reconstruction	қайта құру	Су тасқынынан кейін қайта құру басталды.
recount1	баяндап беру	Ол оқиғаларды анық баяндап бере алады.
referendum	референдум	Референдум елді екіге бөлді.
reflection	ойлану	Эссе тереңірек ойлануды қажет етті.
reform	реформа	Реформа мемлекеттік қызметтерді жақсартты.
refuge	пана	Отбасы шетелден пана іздеді.
refusal	бас тарту	Оның бас тартуы комитетті таң қалдырды.
regain	қайтарып алу	Ол сенімді қайтарып алу үшін көп еңбектенді.
regardless	қарамастан	Олар сынға қарамастан жалғастырды.
regime	режим	Режим сөз бостандығын шектеді.
regulator	реттеуші	Реттеуші компанияға айыппұл салды.
regulatory	реттеуші	Реттеуші органдардың мақұлдауына бірнеше ай қажет болды.
rehabilitation	оңалту	Оңалту оған қайта жүруге көмектесті.
reign	билік құру	Патшаның билік құруы ондаған жылдарға созылды.
rejection	бас тарту	Бас тарту оның сенімділігіне нұқсан келтірді.
relevance	өзектілік	Деректердің өзектілігі шектеулі.
reliability	сенімділік	Апаттық жүйелерде сенімділік маңызды.
reluctant	құлықсыз	Ол сөйлеуге құлықсыз болды.
remainder	қалғаны	Қалғаны қайырымдылыққа кетті.
remains	қалдықтар	Қалдықтар мұқият зерттелді.
remedy	шешім	Заң шешімді ұсынады.
reminder	еске салу	Электрондық хат пайдалы еске салу болды.
removal	алып тастау	Кедергілерді алып тастау саудаға көмектесті.
render	ету	Қате келісімшартты жарамсыз етті.
renew	жаңарту	Төлқұжатыңызды жақында жаңартыңыз.
renowned	танымал	Ол өз зерттеулерімен танымал.
rental	жалға алу	Жалға алу құнына сақтандыру кіреді.
replacement	ауыстыру	Ауыстыру бөлшегі бүгін келді.
reportedly	хабарламаларға қарағанда	Министр кеше отставкаға кетті деседі.
representation	өкілдік	Әділ өкілдік маңызды болып қала береді.
reproduce	көбею	Бұл өсімдіктер тез көбейеді.
reproduction	көшірме жасау	Цифрлық көшірме жасау қолжетімділікті жақсартты.
republic	республика	Республикада сайлау өтті.
resemble	ұқсау	Екі дизайн бір-біріне қатты ұқсайды.
reside	тұру	Олар шекараға жақын жерде тұрады.
residence	резиденция	Оның ресми резиденциясы күзетіледі.
residential	тұрғын	Бұл аймақ негізінен тұрғын үйлерден тұрады.
residue	қалдық	Тазалағыш жабысқақ қалдық қалдырды.
resignation	отставка	Оның отставкасы басқарманы таң қалдырды.
resistance	қарсылық	Өзгерістерге қарсылық күшті болды.
respective	тиісті	Олар тиісті кеңселеріне оралды.
respectively	тиісінше	Ұпайлар тиісінше 80 және 90 болды.
restoration	қалпына келтіру	Ғимаратты қалпына келтіру бірнеше жылға созылды.
restraint	ұстамдылық	Полиция ұстамдылық танытты.
resume	қайта бастау	Сабақтар келесі аптада қайта басталады.
retreat	шегіну	Армия шегінуді бастады.
retrieve	шығарып алу	Ол файлды шығарып алды.
revelation	әшкерелеу	Әшкерелеу оның беделіне нұқсан келтірді.
revenge	кек	Ол қорлағаны үшін кек алғысы келді.
reverse	бұзу	Сот шешімді бұзды.
revival	қайта жаңғыру	Қала экономикалық қайта жаңғыруды бастан өткерді.
revive	жаңғырту	Фестиваль жергілікті дәстүрлерді жаңғыртуға көмектесті.
revolutionary	революциялық	Өнертабыс революциялық болды.
rhetoric	риторика	Оның риторикасы агрессивті естілді.
rifle	винтовка	Винтовка қауіпсіз жерде сақталды.
riot	тәртіпсіздік	Тәртіпсіздік бірнеше сағатқа созылды.
rip	жырту	Қағазды мұқият жыртыңыз.
ritual	салт	Салт егін жинауды білдіреді.
robust	мықты	Жүйе мықты.
rock	сілкіндіру	Жарылыс ауылды сілкіндірді.
rod	қарнақ	Перде қарнаққа ілінеді.
rotate	бұру	Тұтқаны баяу бұрыңыз.
rotation	кезектесу	Егін кезектесуі топырақты қорғайды.
ruling	қаулы	Сот қаулы шығарды.
rumour	қауесет	Қауесет тез таралды.
sack	жұмыстан шығару	Басқарма жаттықтырушыны жұмыстан шығаруы мүмкін.
sacred	қасиетті	Ғибадатхана қасиетті.
sacrifice	құрбандық	Ата-аналар жиі құрбандықтарға барады.
saint	әулие	Шіркеу жергілікті әулиені құрметтейді.
sake	үшін	Ол оның хақында қалды.
sanction	санкция	Санкция халықаралық саудаға әсер етті.
say	пікір	Қызметкерлердің кесте құруда өз пікірі болды.
scattered	шашыраңқы	Шашыраңқы қағаздар үстелдің үстін жауып қалды.
sceptical	күмәншіл	Ол бұл мәлімдемеге күмәнмен қарады.
scope	ауқым	Жобаның ауқымы кеңейді.
screw	бұранда	Бұранданы мұқият қатайтыңыз.
scrutiny	жіті тексеру	Мәміле қоғамның жіті тексеруіне ұшырады.
seal	жапсыру	Жібермес бұрын конвертті жапсырыңыз.
secular	зайырлы	Мектеп зайырлы оқу бағдарламасын ұстанады.
seemingly	бір қарағанда	Тапсырма бір қарағанда қарапайым болды.
segment	бөлік	Соңғы бөлік қысқарақ болды.
seize	тәркілеу	Полиция құжаттарды тәркіледі.
seldom	сирек	Ол сабақтан сирек қалады.
selective	таңдамалы	Бағдарлама өте таңдамалы.
senator	сенатор	Сенатор заң жобасын қолдады.
sensation	сенсация	Бұл жаңалық сенсация тудырды.
sensitivity	сезімталдық	Бұл мәселе сезімталдықты қажет етеді.
sentiment	көңіл-күй	Қоғамдық көңіл-күй тез өзгерді.
separation	бөліну	Бөліну қиын болды.
serial	сериялық	Сериялық нөмір жоқ.
settlement	келісім	Келісім дауды аяқтады.
set-up	орнату	Орнату бүкіл таңертеңгі уақытты алды.
sexuality	сексуалдық	Курста бірегейлік пен сексуалдық талқыланады.
shareholder	акционер	Акционер басқармаға сұрақ қойды.
shatter	күл-талқан ету	Жаңалық оның сенімін тас-талқан етті.
shed	қысқарту	Компания жұмыс орындарын қысқартады.
sheer	айқын	Оның үлкен көлемі барлығын таңғалдырды.
shipping	тасымалдау	Тасымалдау шығындары өсті.
shoot	түсірілім	Фототүсірілім ерте аяқталды.
shrink	кішірею	Жейде кішірейіп кетуі мүмкін.
shrug	иық қусыру	Ол сәл ғана иығын қусырды.
sigh	күрсіну	Ол жеңілдеп күрсінді.
simulate	модельдеу	Бағдарлама қозғалысты модельдей алады.
simulation	симуляция	Симуляция су тасқынын болжады.
simultaneously	бір мезгілде	Екі дабыл бір мезгілде соғылды.
sin	күнә	Тәкаппарлық күнә болып саналады.
situated	орналасқан	Қонақүй қала орталығында орналасқан.
sketch	нобай	Ол жылдам нобай жасады.
skip	өткізіп жіберу	Таңғы асты өткізіп жібермеңіз.
slam	тарс жабу	Ол есікті тарс жаба алады.
slap	шапалақпен ұру	Үстелді ұрмаңыз.
slavery	құлдық	Құлдық аймақтың тарихын қалыптастырды.
slot	уақыт аралығы	Уақыт аралығын онлайн брондаңыз.
smash	сындыру	Шыны еденге түсіп шағылды.
snap	сыну	Бұтақ желден сынып кетті.
soak	жібіту	Бұршақты түнге суға салып қойыңыз.
soar	шарықтау	Жанармай бағасы шарықтап кетуі мүмкін.
socialist	социалистік	Партия социалистік саясатты қолдайды.
sole	жалғыз	Ол жалғыз тірі қалған адам еді.
solely	тек қана	Бұл тек оның шешімі болды.
solicitor	заңгер	Заңгер келісімшартты дайындады.
solidarity	ынтымақтастық	Жұмысшылар ынтымақтастық білдірді.
solo	жеке	Ол жеке альбомын шығарды.
sound	сенімді	Жоспар сенімді әрі тиімді.
sovereignty	егемендік	Келісім ұлттық егемендікті қорғады.
spam	спам	Кіріс жәшігі спамға толды.
span	жалғасу	Көпір өзенді жалғап тұр.
spark	тудыру	Кішкене ескерту пікірталас тудырды.
specialized	мамандандырылған	Емхана мамандандырылған көмек көрсетеді.
specification	талап	Дизайн барлық талаптарға сай келеді.
specimen	үлгі	Үлгі қауіпсіз сақталды.
spectacle	көрініс	Шеру жарқын көрініс болды.
spectrum	ауқым	Пікірлер кең ауқымды қамтиды.
spell	кезең	Құрғақшылық кезеңі апталарға созылды.
sphere	сала	Саясат мәдени салаға енді.
spin	айналу	Дөңгелектер айнала бастады.
spine	омыртқа	Жарақат оның омыртқасына әсер етті.
spotlight	назар орталығы	Жанжал оны назар орталығына түсірді.
spouse	жұбайы	Оның жұбайы рәсімге қатысты.
spy	тыңшы	Тыңшы құпия хабарламалар жіберді.
squad	жасақ	Құтқару жасағы тез келді.
squeeze	қысу	Тұтқаны ақырын қысыңыз.
stab	пышақтау	Баяндамада пышақ жарақаты сипатталған.
stability	тұрақтылық	Саясат тұрақтылық әкелді.
stabilize	тұрақтандыру	Дәрі оның жағдайын тұрақтандыруға көмектесті.
stake	үлес	Мұнда инвесторлардың үлесі бар.
standing	бедел	Оның партиядағы беделі өсті.
stark	айқын	Нәтижелер айқын қарама-қайшылықты көрсетті.
statistical	статистикалық	Зерттеуде статистикалық әдістер қолданылды.
steer	бағыттау	Ол пікірталасты бағыттауға тырысты.
stem	сабақ	Дауыл кезінде сабақ сынып қалды.
stereotype	стереотип	Фильм стереотипке қарсы шықты.
stimulus	ынталандыру	Пакет экономикалық ынталандыруды қамтамасыз етті.
stir	араластыру	Тұздықты баяу араластырыңыз.
storage	сақтау	Мекеме қауіпсіз сақтауды ұсынады.
straightforward	түсінікті	Нұсқаулар түсінікті болды.
strain	ауыртпалық	Ұзақ кешігу ауыртпалық тудырды.
strand	тал	Бір тал шаш түсті.
strategic	стратегиялық	Компания стратегиялық инвестиция жасады.
strip (long narrow piece)	жолақ	Қағаздың жіңішке жолағын кесіңіз.
strip (remove clothes/a layer)	тазарту	Ескі бояуды мұқият тазартыңыз.
strive	ұмтылу	Олар кемелдікке ұмтылады.
structural	құрылымдық	Көпірдің құрылымдық зақымы бар.
stumble	сүріну	Ол баспалдақта сүрініп кетті.
stun	таңғалдыру	Бұл жаңалық адамдарды таңғалдыруы мүмкін.
submission	тапсыру	Тапсыру мерзімі өтіп кетті.
subscriber	жазылушы	Әрбір жазылушы жаңартулар алады.
subscription	жазылым	Жазылым автоматты түрде жаңартылады.
subsidy	субсидия	Субсидия жанармай құнын төмендетті.
substantial	айтарлықтай	Жобаға айтарлықтай қаржыландыру қажет.
substantially	айтарлықтай	Баға айтарлықтай өсті.
substitute	алмастырғыш	Сүтті алмастырғыш ретінде қолданыңыз.
substitution	алмастыру	Алмастыру рецептті өзгертті.
subtle	нәзік	Картинада нәзік бөлшектер бар.
suburban	қала маңындағы	Олар қала маңындағы ауданға көшті.
succession	тізбек	Дағдарыс сәтсіздіктер тізбегінен кейін болды.
successive	қатарынан	Бірінен соң бірі келген үкіметтер бұл мәселені елемеді.
successor	ізбасар	Ізбасар дүйсенбіде бастайды.
suck	сору	Машина шаңды сора алады.
sue	сотқа беру	Ол компанияны сотқа беруді ұйғарды.
suicide	суицид	Суицидтің алдын алу тұрақты қаржыландыруды қажет етеді.
suite	люкс бөлме	Қонақүйдің люкс бөлмесінен өзен көрінеді.
summit	саммит	Көшбасшылар саммитте кездесті.
superb	тамаша	Қойылым тамаша болды.
superior	үздік	Жаңа модель әлдеқайда үздік.
supervise	қадағалау	Ол тәжірибеден өтушілерді қадағалайтын болады.
supervision	бақылау	Балаларға ересектердің бақылауы қажет.
supervisor	жетекші	Алдымен жетекшіңізден сұраңыз.
supplement	қосымша	Баяндамада қосымша бар.
supportive	қолдау көрсететін	Оның отбасы қолдау көрсетті.
supposedly	шамасы	Файл жойылған сияқты.
suppress	басып тастау	Режим наразылықтарды басып тастауға тырысты.
supreme	жоғарғы	Жоғарғы сот істі қарады.
surge	күрт өсу	Кенеттен болған кернеу жабдықты зақымдады.
surgical	хирургиялық	Науқасқа хирургиялық ем қажет.
surplus	артық	Қоймада артық қор бар.
surrender	берілу	Сарбаздар берілуге келісті.
surveillance	бақылау	Бақылау камералары кіреберісті жазып алды.
suspension	шеттету	Шеттету екі аптаға созылды.
suspicion	күдік	Оның мінез-құлқы күдік тудырды.
suspicious	күдікті	Сәлемдеме күдікті болып көрінді.
sustain	сақтау	Жоба жергілікті жұмыс орындарын сақтап қала алады.
swing	тербелу	Есік тербеле бастады.
sword	қылыш	Қылыш қабырғада ілулі тұрды.
symbolic	символдық	Бұл әрекет символдық болды.
syndrome	синдром	Синдром есте сақтау қабілетіне әсер етеді.
synthesis	синтез	Бұл тарау синтезді ұсынады.
systematic	жүйелі	Шолу жүйелі түрде жүргізілді.
tactic	тактика	Тактика тез сәтсіздікке ұшырады.
tactical	тактикалық	Команда тактикалық өзгеріс жасады.
taxpayer	салық төлеуші	Көпір салық төлеушілердің ақшасына салынды.
tempt	қызықтыру	Ұсыныс инвесторларды қызықтыруы мүмкін.
tenant	жалға алушы	Жалға алушы жалдау ақысын ерте төледі.
tender	нәзік	Ол нәзік жымиды.
tenure	қызмет ету мерзімі	Оның қызмет ету мерзімі алты жылға созылды.
terminal	айықпас	Науқастың айықпас дерті бар еді.
terminate	бұзу	Компания келісімшартты бұзуы мүмкін.
terrain	жер бедері	Жер бедері қиын болды.
terrific	керемет	Көрініс керемет болды.
testify	куәлік ету	Ол куәлік етуге келісті.
testimony	куәлік	Оның берген куәлігі егжей-тегжейлі болды.
texture	құрылым	Матаның құрылымы кедір-бұдыр.
thankfully	қуанышқа орай	Қуанышқа орай, ешкім зардап шеккен жоқ.
theatrical	театрлық	Сөз театрлық болып естілді.
theology	теология	Ол университетте теологияны оқыды.
theoretical	теориялық	Модель тек қана теориялық.
thereafter	содан кейін	Содан кейін ережелер өзгерді.
thereby	осылайша	Өзгеріс шығындарды азайтты, осылайша жұмыс орындарын сақтап қалды.
thoughtful	ойлы	Оның жауабы ойлы болды.
thought-provoking	ойландыратын	Мақала ойландыратын болды.
thread	жіп	Жіп оңай үзіліп қалды.
threshold	шек	Дауыс беру шектен асты.
thrilled	өте қуанышты	Ол жаңалыққа қатты қуанды.
thrive	өркендеу	Шағын бизнес мұнда өркендей алады.
tide	тасқын	Су тез толықты.
tighten	қатайту	Қақпақты мықтап бұраңыз.
timber	ағаш	Үйге жергілікті ағаш қолданылған.
timely	уақытылы	Ескерту уақытылы болды.
tobacco	темекі	Темекі сатылымы төмендеді.
tolerance	төзімділік	Саясат төзімділікті қолдайды.
tolerate	төзу	Біз қорлыққа төзе алмаймыз.
toll	шығын	Дауыл ауыр зардап әкелді.
top	асып түсу	Сатылым өткен жылғы рекордтан асып түсуі мүмкін.
torture	азаптау	Келісім азаптауға үзілді-кесілді тыйым салады.
