source_headword	TA	example_TA
old-fashioned	பழைய பாணி	அவளின் தொலைபேசி பழைய பாணியில் தெரிகிறது.
operation	அறுவை சிகிச்சை	அறுவை சிகிச்சை இரண்டு மணி நேரம் நீடித்தது.
organized	ஒழுங்குபடுத்தப்பட்ட	அவளின் மேசை மிகவும் ஒழுங்குபடுத்தப்பட்டுள்ளது.
organizer	ஏற்பாட்டாளர்	ஏற்பாட்டாளர் விருந்தினர்களை வரவேற்றார்.
originally	ஆரம்பத்தில்	அவள் ஆரம்பத்தில் கனடாவிலிருந்து வந்தாள்.
ought modal	வேண்டும்	நீ ஓய்வு எடுக்க வேண்டும்.
ours	எங்களுடையது	இந்த மேசை எங்களுடையது.
outdoor	வெளிப்புற	நாங்கள் வெளிப்புற மரச்சாமான்களை வாங்கினோம்.
outdoors	வெளியே	குழந்தைகள் வெளியே விளையாட வேண்டும்.
package	பொதி	பொதி இன்று காலை வந்தது.
painful	வலியான	வெட்டு வலியானதாக இருந்தது.
pale	வெளிறிய	அவரின் முகம் வெளிறியதாக தோன்றியது.
pan	சட்டி	முதலில் சட்டியை சூடு செய்.
participate	பங்கேறு	அனைவரும் பங்கேற்க முடியும்.
particularly	குறிப்பாக	எனக்கு குறிப்பாக இந்த பாடல் பிடிக்கும்.
passion	பேரார்வம்	இசை அவளின் பேரார்வம்.
path	பாதை	பூங்காவை கடக்கும் பாதையை பின்பற்று.
payment	கட்டணம்	கட்டணம் நாளை செலுத்தப்பட வேண்டும்.
peaceful	அமைதியான	தோட்டம் அமைதியாக உள்ளது.
percentage	சதவீதம்	சிறிய சதவீதம் ஒப்புக்கொண்டது.
perfectly	சிறப்பாக	திட்டம் சிறப்பாக வேலை செய்தது.
performance	செயல்திறன்	அவளின் செயல்திறன் சிறப்பாக இருந்தது.
personally	தனிப்பட்ட முறையில்	நான் தனிப்பட்ட முறையில் தேநீரை விரும்புகிறேன்.
persuade	சம்மதிக்கச் செய்	அவரை சேர சம்மதிக்கச் செய்ய முடியுமா?
photographer	புகைப்படக் கலைஞர்	புகைப்படக் கலைஞர் பல படங்களை எடுத்தார்.
photography	புகைப்படக்கலை	புகைப்படக்கலை அவரின் விருப்பமான பொழுதுபோக்கு.
pin	முள்	வரைபடத்தில் ஒரு முள் வை.
pipe	குழாய்	குழாய் தண்ணீரை கொண்டு செல்கிறது.
planning	திட்டமிடல்	திட்டமிடல் நேரம் எடுக்கிறது.
pleasant	இனிமையான	எங்களுக்கு இனிமையான மாலை இருந்தது.
pleasure	மகிழ்ச்சி	உங்களை சந்தித்தது மகிழ்ச்சி.
plenty	ஏராளம்	எங்களுக்கு ஏராளமான நேரம் உள்ளது.
plot	கதைச்சரம்	கதைச்சரம் பின்பற்ற எளிதாக இருந்தது.
plus1	கூட்டல்	இரண்டு கூட்டல் மூன்று ஐந்து.
poem	கவிதை	அவள் குறுகிய கவிதை எழுதினாள்.
poet	கவிஞர்	கவிஞர் உரக்க வாசித்தார்.
poetry	கவிதை	அவர் நவீன கவிதையை ரசிக்கிறார்.
poison	விஷம்	விஷத்தை குழந்தைகளிடமிருந்து விலக்கி வை.
poisonous	விஷமுள்ள	சில காளான்கள் விஷமுள்ளவை.
policy	கொள்கை	நிறுவனம் தனது கொள்கையை மாற்றியது.
political	அரசியல்	பேச்சு அரசியல் சார்ந்தது.
politician	அரசியல்வாதி	அரசியல்வாதி கேள்விகளுக்கு பதில் அளித்தார்.
politics	அரசியல்	அரசியல் சிக்கலானதாக இருக்கலாம்.
port	துறைமுகம்	கப்பல் துறைமுகத்துக்குள் நுழைந்தது.
portrait	உருவப்படம்	உருவப்படம் மண்டபத்தில் தொங்குகிறது.
possibly	ஒருவேளை	அவள் ஒருவேளை தாமதமாக வரலாம்.
pot	பானை	செடிக்கு பெரிய பானை தேவை.
pour	ஊற்று	பாலை மெதுவாக ஊற்று.
poverty	வறுமை	பல குடும்பங்கள் வறுமையில் வாழ்கின்றன.
powder	தூள்	தூளை தண்ணீரில் சேர்க்கவும்.
powerful	சக்திவாய்ந்த	இயந்திரம் சக்திவாய்ந்தது.
practical	நடைமுறை	இது நடைமுறை தீர்வு.
pray	பிரார்த்தனை செய்	அவர்கள் ஒவ்வொரு காலையிலும் பிரார்த்தனை செய்கிறார்கள்.
prayer	பிரார்த்தனை	அவள் அமைதியான பிரார்த்தனை சொன்னாள்.
prediction	கணிப்பு	அவரின் கணிப்பு சரியாக இருந்தது.
prepared	தயாரான	நான் தேர்வுக்கு தயாராக உள்ளேன்.
presentation	விளக்கவுரை	அவளின் விளக்கவுரை தெளிவாக இருந்தது.
press	அழுத்து	பொத்தானை ஒருமுறை அழுத்து.
pressure	அழுத்தம்	அழுத்தம் உன் ஆரோக்கியத்தை பாதிக்கலாம்.
pretend	நடிப்பது போல் செய்	தூங்குவது போல் நடிக்காதே.
previous	முந்தைய	முந்தைய பாடம் எளிதாக இருந்தது.
previously	முன்பு	நாங்கள் முன்பு ரோமில் வாழ்ந்தோம்.
priest	மதகுரு	மதகுரு மெதுவாக பேசினார்.
primary	முதன்மை	ஆரோக்கியம் எங்கள் முதன்மை கவலை.
prince	இளவரசன்	இளவரசன் பள்ளியை பார்வையிட்டான்.
princess	இளவரசி	இளவரசி நீல ஆடை அணிந்திருந்தாள்.
printing	அச்சிடுதல்	அறிக்கையை அச்சிட சில நிமிடங்கள் எடுத்தது.
prisoner	கைதி	கைதி இரவில் தப்பித்தான்.
private	தனிப்பட்ட	இது தனிப்பட்ட உரையாடல்.
producer	தயாரிப்பாளர்	தயாரிப்பாளர் திரைப்படத்தை விரும்பினார்.
production	தயாரிப்பு	தயாரிப்பு அடுத்த வாரம் தொடங்கும்.
profession	தொழில்	கற்பித்தல் மதிப்புள்ள தொழில்.
profit	லாபம்	கடை லாபம் பெற்றது.
promote	ஊக்குவி	அவர்கள் ஆரோக்கியமான உணவை ஊக்குவிக்கிறார்கள்.
proper	சரியான	நடைபயணத்திற்கு சரியான காலணிகளை அணியுங்கள்.
properly	சரியாக	கதவை சரியாக மூடு.
property	சொத்து	அவர்கள் ஆற்றருகே சொத்து வாங்கினர்.
protest	போராட்டம்	போராட்டம் அமைதியாக முடிந்தது.
proud	பெருமைப்பட்ட	அவள் தனது மகனைப் பற்றி பெருமைப்பட்டாள்.
prove	நிரூபி	உன் பதிலை நிரூபிக்க முடியுமா?
punish	தண்டி	ஆசிரியர் அவரை தண்டிக்கவில்லை.
punishment	தண்டனை	தண்டனை நியாயமாக தோன்றியது.
qualification	தகுதி	இந்த வேலையை செய்ய உனக்கு தகுதி வேண்டும்.
qualified	தகுதியான	அவள் தகுதியான செவிலியர்.
qualify	தகுதி பெறு	எங்கள் அணி தகுதி பெறலாம்.
queue	வரிசை	நாங்கள் நீண்ட வரிசையில் காத்திருந்தோம்.
quit	விட்டு விடு	அவர் புகைப்பதை விட்டு விட முடிவு செய்தார்.
quotation	மேற்கோள்	கட்டுரை ஒரு மேற்கோளுடன் தொடங்குகிறது.
quote	மேற்கோள் காட்டு	உன் சொற்களை நான் மேற்கோள் காட்டலாமா?
race (people)	இனம்	படிவம் இனத்தை பற்றி கேட்கிறது.
racing	பந்தயம்	குதிரை பந்தயம் அங்கே பிரபலமானது.
range	பரப்பு	கடை பரந்த பரப்பில் பொருட்களை விற்கிறது.
rare	அரிதான	இந்த பறவை அரிதானது.
rarely	அரிதாக	நாங்கள் அரிதாக வெளியே சாப்பிடுகிறோம்.
reaction	எதிர்வினை	அவளின் எதிர்வினை என்னை ஆச்சரியப்படுத்தியது.
reality	நிஜம்	நிஜம் அவரது கனவிலிருந்து வேறுபட்டது.
receipt	ரசீது	ரசீதை வைத்திரு.
recommendation	பரிந்துரை	பரிந்துரைக்கு நன்றி.
reference	குறிப்பு	முடிவில் ஒரு குறிப்பை சேர்க்கவும்.
reflect	பிரதிபலிக்க	கண்ணாடி ஒளியை பிரதிபலிக்க முடியும்.
regularly	தவறாமல்	அவள் தவறாமல் உடற்பயிற்சி செய்கிறாள்.
reject	நிராகரி	அவர்கள் சலுகையை நிராகரிக்கலாம்.
relate	தொடர்புபடு	அந்த கதையுடன் நான் தொடர்புபட முடியும்.
related	தொடர்புடைய	இரண்டு பிரச்சினைகளும் தொடர்புடையவை.
relation	உறவு	அவற்றுக்குள் ஒரு உறவு உள்ளது.
relative	சார்பு	வேகம் சார்பானது.
relaxed	சாந்தமான	இரவு உணவுக்குப் பிறகு அவர் சாந்தமாக உணர்ந்தார்.
relaxing	ஓய்வூட்டும்	இசை ஓய்வூட்டும் வகையில் இருந்தது.
release	வெளியிடு	அவர்கள் திரைப்படத்தை விரைவில் வெளியிடுவார்கள்.
reliable	நம்பகமான	இந்த பேருந்து பொதுவாக நம்பகமானது.
religion	மதம்	மதம் அவளுக்கு முக்கியமானது.
religious	மத சார்ந்த	அவர்கள் மத சார்ந்த கட்டிடத்தை பார்த்தார்கள்.
remain	இரு	தயவு செய்து அமைதியாக இருங்கள்.
remind	நினைவூட்டு	நாளை எனக்கு நினைவூட்டு.
remote	தொலைதூர	அவர்கள் தொலைதூர கிராமத்தில் வாழ்கிறார்கள்.
rent	வாடகை	வாடகை இன்று செலுத்தப்பட வேண்டும்.
repeated	மீண்டும் மீண்டும்	மீண்டும் மீண்டும் நடந்த தவறுகள் வேலையை மெதுவாக்கின.
represent	பிரதிநிதித்துவம் செய்	நட்சத்திரம் நம்பிக்கையை பிரதிநிதித்துவம் செய்கிறது.
require	தேவைப்படு	இந்த வேலைக்கு பயிற்சி தேவைப்படும்.
reservation	முன்பதிவு	நான் முன்பதிவு செய்தேன்.
resource	வளம்	நூலகம் பயனுள்ள வளம்.
respect	மரியாதை	உன் வகுப்பு நண்பர்களை மரியாதை செய்.
responsibility	பொறுப்பு	குழந்தை பராமரிப்பு பெரிய பொறுப்பு.
responsible	பொறுப்பான	டிக்கெட்டுகளுக்கு அவள் பொறுப்பானவள்.
retire	ஓய்வு பெறு	என் தந்தை விரைவில் ஓய்வு பெறுவார்.
retired	ஓய்வு பெற்ற	அவர் ஓய்வு பெற்ற ஆசிரியர்.
revise	திருத்து	இன்றிரவு உன் கட்டுரையை திருத்து.
risk	ஆபத்து	மழை ஆபத்து உள்ளது.
robot	ரோபோ	ரோபோ தரையை சுத்தம் செய்தது.
roll	உருட்டு	பந்தை என்னிடம் உருட்டு.
romantic	காதல் நிறைந்த	அவர்களுக்கு காதல் நிறைந்த இரவு உணவு இருந்தது.
rope	கயிறு	கயிறை இறுக்கமாக கட்டு.
rough	கரடுமுரடான	சாலை கரடுமுரடாக இருந்தது.
row1	வரிசை	முன் வரிசையில் உட்கார்.
royal	அரச	அரச குடும்பம் வந்தது.
rugby	ரக்பி	நாங்கள் தொலைக்காட்சியில் ரக்பி பார்த்தோம்.
safety	பாதுகாப்பு	வேலையில் பாதுகாப்பு முக்கியம்.
sailor	மாலுமி	மாலுமி படகை பழுது பார்த்தார்.
sample	மாதிரி	செவிலியர் இரத்த மாதிரி எடுத்தார்.
sand	மணல்	மணல் என் காலணிகளை மூடியது.
scan	ஸ்கேன் செய்	முதலில் ஆவணத்தை ஸ்கேன் செய்.
scientific	அறிவியல்	இது அறிவியல் முறை.
script	திரைக்கதை	நடிகர் திரைக்கதையை வாசித்தார்.
sculpture	சிற்பம்	சிற்பம் வெளியே நிற்கிறது.
secondary	இரண்டாம் நிலை	இது இரண்டாம் நிலை பிரச்சினை.
security	பாதுகாப்பு	பாதுகாப்பு எங்கள் பைகளை சோதித்தது.
seed	விதை	விதையை மண்ணில் நடு.
sensible	விவேகமான	அது விவேகமான யோசனை.
seriously	தீவிரமாக	இந்த பிரச்சினையை தீவிரமாக எடுத்துக்கொள்.
servant	பணியாளர்	பணியாளர் கதவை திறந்தார்.
set (put)	வை	கண்ணாடியை மேசையின் மீது வை.
set (group)	தொகுப்பு	இந்த தொகுப்பில் ஆறு கோப்பைகள் உள்ளன.
setting	சூழல்	கதைக்கு நகர சூழல் உள்ளது.
sex	பாலினம்	படிவம் வயதும் பாலினமும் கேட்கிறது.
sexual	பாலியல்	வகுப்பு பாலியல் ஆரோக்கியம் பற்றி பேசியது.
sharp	கூர்மையான	இந்த கத்தி கூர்மையானது.
shelf	அலமாரி தட்டு	புத்தகத்தை அலமாரி தட்டில் வை.
shell	ஓடு	ஓடு காலியாக இருந்தது.
shift	பணி நேரம்	என் பணி நேரம் எட்டுக்கு தொடங்குகிறது.
shine	பிரகாசி	நட்சத்திரங்கள் இரவில் பிரகாசிக்கின்றன.
shiny	பளபளப்பான	அவளின் காலணிகள் பளபளப்பானவை.
shoot	படம்பிடி	புகைப்படக் கலைஞர் காட்சியை படம்பிடிப்பார்.
shy	வெட்கமான	அவர் அந்நியர்களிடம் வெட்கமாக இருக்கிறார்.
sight	காட்சி	மலை அழகான காட்சி.
signal	சைகை	சைகை பலவீனமாக இருந்தது.
silent	அமைதியான	அறை அமைதியானது.
silly	முட்டாள்	அது முட்டாள் தவறு.
similarity	ஒற்றுமை	தெளிவான ஒற்றுமை உள்ளது.
similarly	அதேபோல்	இரண்டாவது திட்டம் அதேபோல் வேலை செய்கிறது.
simply	எளிதாக	எளிதாக இந்த பொத்தானை அழுத்து.
sink	மூழ்கு	கனமான கற்கள் விரைவாக மூழ்குகின்றன.
slice	துண்டு	நான் கேக் துண்டு சாப்பிட்டேன்.
slightly	சிறிது	அறை சிறிது சூடாக உள்ளது.
smart	நேர்த்தியான	அவள் நேர்த்தியான ஜாக்கெட்டை அணிந்திருந்தாள்.
smooth	மென்மையான	சாலை மென்மையாக உள்ளது.
software	மென்பொருள்	மென்பொருளுக்கு புதுப்பிப்பு தேவை.
soil	மண்	மண் வறண்டுள்ளது.
solid	திடமான	சுவர் திடமானது.
southern	தெற்கு	அவர்கள் தெற்கு கடற்கரையில் வாழ்கிறார்கள்.
specifically	குறிப்பாகவே	நான் குறிப்பாகவே தேநீர் கேட்டேன்.
spending	செலவு	அரசு செலவு அதிகரித்தது.
spicy	காரமான	இந்த குழம்பு காரமானது.
spirit	உற்சாகம்	அணி பெரிய உற்சாகத்தை காட்டியது.
spoken	பேசப்படும்	பேசப்படும் ஆங்கிலம் பயிற்சியால் மேம்படும்.
spot	இடம்	இந்த இடம் சிறந்தது.
spread	தடவு	ரொட்டியில் வெண்ணெய் தடவு.
stadium	விளையாட்டு அரங்கம்	விளையாட்டு அரங்கம் நிரம்பியிருந்தது.
staff	பணியாளர் குழு	பணியாளர் குழு உதவிகரமாக இருந்தது.
standard	தரம்	தரம் உயரமாக இருந்தது.
statistic	புள்ளிவிவரம்	இந்த புள்ளிவிவரம் ஆச்சரியமானது.
statue	சிலை	சிலை சதுக்கத்தில் நிற்கிறது.
stick (push into/attach)	ஒட்டு	லேபிளை பெட்டியில் ஒட்டு.
stick (piece of wood)	குச்சி	அவர் ஒரு குச்சியை எடுத்தார்.
